assay_id,src_id,tissue_id,confidence_score,doc_id,assay_organism,description,assay_type,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_tissue,assay_cell_type
71,1,,1,3415,Homo sapiens,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,,9606.0,,,1A9
72,1,,1,17099,Homo sapiens,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,,9606.0,,,1A9
73,1,,1,17099,Homo sapiens,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,,9606.0,,,1A9
74,1,,1,17099,Homo sapiens,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,,9606.0,,,1A9
75,1,,1,17099,Homo sapiens,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,,9606.0,,,1A9
76,1,,1,17721,Homo sapiens,Inhibitory concentration against Jurkat cells,F,,,9606.0,,,Jurkat
77,1,,0,1229,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,,,
78,1,,9,11347,Rattus norvegicus,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,,10116.0,,,
79,1,,8,17117,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,,
80,1,,8,17117,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,,
81,1,,8,17117,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,,,
82,1,,8,11375,Candida albicans,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,,5476.0,,,
83,1,,8,11375,Candida albicans,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,,5476.0,,,
84,1,,8,11375,Saccharomyces cerevisiae,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,,4932.0,,,
85,1,,8,11375,Saccharomyces cerevisiae,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,,4932.0,,,
86,1,2107.0,8,11375,Sus scrofa,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,,9823.0,,Liver,
87,1,,8,791,Rattus norvegicus,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,,10116.0,,,
88,1,,8,791,Rattus norvegicus,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,,10116.0,,,
89,1,,8,791,Rattus norvegicus,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,,10116.0,,,
90,1,2107.0,9,11375,Rattus norvegicus,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,,10116.0,,Liver,
91,1,2107.0,9,11375,Rattus norvegicus,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,10116.0,,Liver,
92,1,2107.0,9,153,Rattus norvegicus,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,10116.0,,Liver,
93,1,,8,8269,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,,
94,1,,8,8269,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,,
95,1,,1,17653,Homo sapiens,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,9606.0,,,HepG2
96,1,,1,14277,Homo sapiens,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,,9606.0,,,HepG2
97,1,,1,1717,Homo sapiens,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,,9606.0,,,HepG2
98,1,,1,14091,Homo sapiens,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,,9606.0,,,HepG2
99,1,,1,14091,Homo sapiens,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,,9606.0,,,HepG2
100,1,,1,17653,Hepatitis B virus,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,10407.0,,,
101,1,,1,13105,Homo sapiens,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,,9606.0,,,HepG2
102,1,,1,1717,Homo sapiens,Concentration required to inhibit 50% of 2.2.15 cell line,F,,,9606.0,,,HepG2
103,1,,1,13105,Homo sapiens,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,,9606.0,,,HepG2
104,1,,1,13600,Homo sapiens,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,,9606.0,,,2.2.15
105,1,,1,13467,Homo sapiens,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,,9606.0,,,2.2.15
106,1,,1,17477,Hepatitis B virus,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,,10407.0,,,2.2.15
107,1,,1,1593,Homo sapiens,In vitro anti-HBV activity in 2.2.15 cells,F,,,9606.0,,,2.2.15
108,1,,1,1593,Homo sapiens,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,,9606.0,,,2.2.15
109,1,,1,15089,Homo sapiens,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,,9606.0,,,2.2.15
110,1,,1,15089,Homo sapiens,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,,9606.0,,,2.2.15
111,1,,1,1593,Homo sapiens,Cytotoxicity in 2.2.15 cells,F,,,9606.0,,,2.2.15
112,1,,1,1593,Homo sapiens,Cytotoxicity in 2.2.15 cells; Not determined,F,,,9606.0,,,2.2.15
113,1,,1,13600,Homo sapiens,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,,9606.0,,,2.2.15
114,1,,1,13467,Homo sapiens,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,,9606.0,,,2.2.15
115,1,,1,13467,Homo sapiens,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,,9606.0,,,2.2.15
116,1,,1,14764,Homo sapiens,Antiviral activity against HBV was determined in 2.215 cell line,F,,,9606.0,,,HepG2
117,1,,0,6531,Homo sapiens,Inhibition of 20-HETE synthesis in human renal microsomes,B,,,9606.0,,,
118,1,,0,17322,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,,
119,1,,1,17072,Homo sapiens,Inhibitory concentration against 2008 (ovarian) cells,F,,,9606.0,,,2008
120,1,,1,16936,Homo sapiens,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,,9606.0,,,2008
121,1,,1,16936,Homo sapiens,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,,9606.0,,,2008
122,1,,1,17146,Homo sapiens,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,,9606.0,,,2008
123,1,,1,17146,Homo sapiens,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,,9606.0,,,2008
124,1,,1,10797,Homo sapiens,In vitro inhibition of 2008/R ovarian cancer cell line,F,,,9606.0,,,2008/R
125,1,,1,10797,Homo sapiens,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,,9606.0,,,2008/R
126,1,,1,10797,Homo sapiens,In vitro inhibition of 2008/S ovarian cancer cell line,F,,,9606.0,,,2008/S
127,1,,1,10797,Homo sapiens,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,,9606.0,,,2008/S
128,1,,2,4823,Homo sapiens,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,,9606.0,,,
129,1,,2,12912,Homo sapiens,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,,9606.0,,,
130,1,,2,2957,,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,,,
131,1,,2,2957,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,,,
132,1,,2,3260,,Inhibitory activity against 20S proteosome,B,,,,,,
133,1,,0,3451,Homo sapiens,Compound was tested for inhibitory activity against tryptase,B,,,9606.0,,,
134,1,,1,13885,Homo sapiens,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,,9606.0,,,HepG2
135,1,,1,13885,Homo sapiens,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,,9606.0,,,HepG2
136,1,,0,3676,,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,,,
137,1,,8,6043,,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,,,
138,1,948.0,0,11140,Rattus norvegicus,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,,10116.0,,Heart,
139,1,,8,10543,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,,
140,1,,8,10543,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,,
141,1,,8,10543,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,,,
142,1,,8,10543,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,,
143,1,,1,11365,Mus musculus,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,,10090.0,,,P338
144,1,,1,11365,Mus musculus,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,,10090.0,,,P338
145,1,,1,11803,Homo sapiens,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,,9606.0,,,PBL
146,1,,0,11803,Ovis aries,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,,9940.0,,,
147,1,,0,11803,Ovis aries,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,,9940.0,,,
148,1,,8,12278,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,,,
149,1,,0,8249,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,,9606.0,,,
150,1,,0,8249,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,,9606.0,,,
151,1,,0,8249,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,,9606.0,,,CCRF-CEM
152,1,,0,8249,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,,9606.0,,,CCRF-CEM
153,1,,0,8249,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,,9606.0,,,CCRF-CEM
154,1,,0,8249,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,,9606.0,,,CCRF-CEM
155,1,,0,8249,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,,9606.0,,,
156,1,,0,8249,Homo sapiens,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,,9606.0,,,
157,1,,6,16992,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,,
158,1,,1,10543,Streptococcus pyogenes,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,,1314.0,,,
159,1,,1,17833,Human herpesvirus 3,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,,10335.0,,,
160,1,,1,17290,vericilla zoster virus,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,,10335.0,,,HEL
161,1,,1,17290,vericilla zoster virus,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,,10335.0,,,
162,1,,1,17290,vericilla zoster virus,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,,10335.0,,,
163,1,,1,10932,escherichia cloac,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,,561.0,,,
164,1,,0,9707,,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,,
165,1,,8,2346,Candida albicans,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,,5476.0,,,
166,1,,8,2205,Candida glabrata CBS 138,"Inhibition of 1,3-beta-glucan synthase",B,,,284593.0,,,
167,1,,1,11900,Homo sapiens,Inhibition of growth of 1-87 human tumor cell line,F,,,9606.0,,,1-87 tumor cell line
168,1,,9,14864,Rattus norvegicus,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,,10116.0,,,
169,1,,9,16474,Glycine max,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,,3847.0,,,
170,1,,9,16474,Glycine max,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,,3847.0,,,
171,1,,9,16474,Glycine max,% inhibition against soybean 1-lipoxygenase (SLO),B,,,3847.0,,,
172,1,,9,16474,Glycine max,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,,3847.0,,,
173,1,,9,3094,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,,3847.0,,,
174,1,,9,3094,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,,3847.0,,,
175,1,,9,3094,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,,3847.0,,,
176,1,,9,3094,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,B,,,3847.0,,,
177,1,,9,3094,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,B,,,3847.0,,,
178,1,,9,3094,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,B,,,3847.0,,,
179,1,,9,3094,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,B,,,3847.0,,,
180,1,,9,3094,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,B,,,3847.0,,,
181,1,,9,3094,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,B,,,3847.0,,,
182,1,,9,3094,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,B,,,3847.0,,,
183,1,,9,3094,Glycine max,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,B,,,3847.0,,,
184,1,,0,10413,Mus musculus,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,B,,,10090.0,,,
185,1,,1,16929,Mus musculus,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),F,,,10090.0,,,C3H 10T1/2
186,1,,0,1229,,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,F,,,,,,
187,1,,8,16587,,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,,
188,1,,8,16587,,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,,
189,1,,8,16587,,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,B,,,,,,
190,1,,8,16587,,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,B,,,,,,
191,1,,8,16587,,Inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 2 at a concentration of 0.2 mM; NI means no inhibition,B,,,,,,
192,1,,9,8058,Bos taurus,Evaluated for inhibition of bovine adrenal cortical mitochondrial 11 beta-hydroxylase,F,,,9913.0,,,
193,1,,9,9065,Rattus norvegicus,Effect on adrenal 11-beta-hydroxylase activity at 10e-4 M; No significant effect,B,,,10116.0,,,
194,1,2369.0,9,8865,Rattus norvegicus,Inhibition of 11 beta-hydroxylase from rat adrenal gland,B,,,10116.0,,Adrenal gland,
195,1,,9,9066,Rattus norvegicus,Inhibition of rat adrenal 11-beta-hydroxylase,B,,,10116.0,,,
196,1,,9,8394,Rattus norvegicus,Inhibition of rat adrenal 11-beta-hydroxylase,B,,,10116.0,,,
197,1,,9,8394,Rattus norvegicus,Inhibition of rat adrenal 11-beta-hydroxylase at 10e-5 M,B,,,10116.0,,,
198,1,,8,6431,,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 1 of wistar rat liver cytosol at 10 uM was determined using [3H]cortisone,B,,,,,,
199,1,,8,6431,,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,B,,,,,,
200,1,,8,6431,,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,B,,,,,,
201,1,,8,9295,,Compound was tested for the percent of inhibition against 12-LO at 10 uM,F,,,,,,
202,1,,8,10193,,In vitro inhibitory activity against rat platelet 12-lipoxygenase at 10 uM,B,,,,,,
203,1,,8,13622,,Compound was tested in vitro for inhibition of 12-LO human platelet,B,,,,,,
204,1,,8,12079,,Inhibitory concentration against human platelet 12-lipoxygenase,F,,,,,,
