venue,title,id,authors,year
international conference on management of data,merge replication in microsoft 's sql server 7.0,42,brad hammond,1999
international conference on management of data,in-memory data management for consumer transactions the timesten approach,43,corporate timesten team,1999
international conference on management of data,emc information sharing : direct access to mvs data from unix and nt,44,walt kohler,1999
international conference on management of data,daytona and the foruth-generation language cymbal,45,rick greer,1999
international conference on management of data,datablitz storage manager : main-memory database performance for critical applications,46,"j. baulier , p. bohannon , s. gogate , c. gupta , s. haldar",1999
international conference on management of data,indexing medium-dimensionality data in oracle,47,"k. v. ravi kanth , siva ravada , jayant sharma , jay banerjee",1999
international conference on management of data,storing semistructured data with stored,48,"alin deutsch , mary fernandez , dan suciu",1999
international conference on management of data,efficient geometry-based similarity search of 3d spatial databases,49,daniel a. keim,1999
international conference on management of data,a new method for similarity indexing of market basket data,50,"charu c. aggarwal , joel l. wolf , philip s. yu",1999
international conference on management of data,walrus : a similarity retrieval algorithm for image databases,51,"apostol natsev , rajeev rastogi , kyuseok shim",1999
international conference on management of data,shrinking the warehouse update window,52,"wilburt juan labio , ramana yerneni , hector garcia-molina",1999
international conference on management of data,dynamat : a dynamic view management system for data warehouses,53,"yannis kotidis , nick roussopoulos",1999
international conference on management of data,bottom-up computation of sparse and iceberg cube,54,"kevin beyer , raghu ramakrishnan",1999
international conference on management of data,client-site query extensions,55,"tobias mayr , praveen seshadri",1999
international conference on management of data,data management issues in electronic commerce,56,m. tamer &#214; zsu,1999
international conference on management of data,"of crawlers , portals , mice , and men : is there more to mining the web ?",57,"minos n. garofalakis , sridhar ramaswamy , rajeev rastogi , kyuseok shim",1999
international conference on management of data,"honey , i shrunk the database : footprint , mobility , and beyond",58,praveen seshadri,1999
international conference on management of data,a layered architecture for querying dynamic web content,59,"hasan davulcu , juliana freire , michael kifer , i. v. ramakrishnan",1999
international conference on management of data,automatic discovery of language models for text databases,60,"jamie callan , margaret connell , aiqun du",1999
international conference on management of data,record-boundary discovery in web documents,61,"d. w. embley , y. jiang , y.-k . ng",1999
international conference on management of data,query rewriting for semistructured data,62,"yannis papakonstantinou , vasilis vassalos",1999
international conference on management of data,computing capabilities of mediators,63,"ramana yerneni , chen li , hector garcia-molina , jeffrey ullman",1999
international conference on management of data,high speed on-line backup when using logical log operations,64,david b. lomet,2000
international conference on management of data,efficient resumption of interrupted warehouse loads,65,"wilburt juan labio , janet l. wiener , hector garcia-molina , vlad gorelik",2000
international conference on management of data,on-line reorganization in object databases,66,"mohana k. lakhamraju , rajeev rastogi , s. seshadri , s. sudarshan",2000
international conference on management of data,finding generalized projected clusters in high dimensional spaces,67,"charu c. aggarwal , philip s. yu",2000
international conference on management of data,density biased sampling : an improved method for data mining and clustering,68,"christopher r. palmer , christos faloutsos",2000
international conference on management of data,lof : identifying density-based local outliers,69,"markus m. breunig , hans-peter kriegel , raymond t. ng , j &#246; rg sander",2000
international conference on management of data,answering complex sql queries using automatic summary tables,70,"markos zaharioudakis , roberta cochrane , george lapis , hamid pirahesh , monica urata",2000
international conference on management of data,synchronizing a database to improve freshness,71,"junghoo cho , hector garcia-molina",2000
international conference on management of data,how to roll a join : asynchronous incremental view maintenance,72,"kenneth salem , kevin beyer , bruce lindsay , roberta cochrane",2000
international conference on management of data,on wrapping query languages and efficient xml integration,73,"vassilis christophides , sophie cluet , j &#233; r &#466; me sim &#232; on",2000
international conference on management of data,xmill : an efficient compressor for xml data,74,"hartmut liefke , dan suciu",2000
international conference on management of data,xtract : a system for extracting document type descriptors from xml documents,75,"minos garofalakis , aristides gionis , rajeev rastogi , s. seshadri , kyuseok shim",2000
international conference on management of data,spatial join selectivity using power laws,76,"christos faloutsos , bernhard seeger , agma traina , caetano traina , jr.",2000
international conference on management of data,mocha : a self-extensible database middleware system for distributed data sources,77,"manuel rodr &#237; guez-mart &#237; nez , nick roussopoulos",2000
international conference on management of data,closest pair queries in spatial databases,78,"antonio corral , yannis manolopoulos , yannis theodoridis , michael vassilakopoulos",2000
international conference on management of data,influence sets based on reverse nearest neighbor queries,79,"flip korn , s. muthukrishnan",2000
acm transactions on database systems ( tods ),security of random data perturbation methods,80,"krishnamurty muralidhar , rathindra sarathy",1999
acm transactions on database systems ( tods ),improving database design through the analysis of relationships,81,"debabrata dey , veda c. storey , terence m. barron",1999
acm transactions on database systems ( tods ),the sift information dissemination system,82,"tak w. yan , hector garcia-molina",1999
acm transactions on database systems ( tods ),an ontological analysis of the relationship construct in conceptual modeling,83,"yair wand , veda c. storey , ron weber",1999
acm sigmod record,chorochronos : a research network for spatiotemporal database systems,84,"andrew frank , stephane grumbach , ralf hartmut g &#252; ting , christian s. jensen , manolis koubarakis , nikos lorentzos , yannis manolopoulos , enrico nardelli , barbara pernici , hans-j &#246; rg schek , michel scholl , timos sellis , babis theodoulidis , peter widmayer",1999
acm sigmod record,engineering federated information systems : report of eefis '99 workshop,85,"s. conrad , w. hasselbring , u. hohenstein , r.-d . kutsche , m. roantree , g. saake , f. saltor",1999
acm sigmod record,first-class views : a key to user-centered computing,86,"arnon rosenthal , edward sciore",1999
acm sigmod record,cost estimation of user-defined methods in object-relational database systems,87,"jihad boulos , kinji ono",1999
acm sigmod record,distributed transactions in practice,88,"prabhu ram , lyman do , pamela drew",1999
acm sigmod record,on mutli-resolution document transmission in mobile web,89,"stanley m. t. yau , hong va leong , dennis mcleod , antonio si",1999
acm sigmod record,an overview and classification of mediated query systems,90,"ruxandra domenig , klaus r. dittrich",1999
acm sigmod record,"a distributed scientific data archive using the web , xml and sql/med",91,"mark papiani , jasmin l. wason , alistair n. dunlop , denis a. nicole",1999
international conference on management of data,mining frequent patterns without candidate generation,92,"jiawei han , jian pei , yiwen yin",2000
acm sigmod record,database research at the university of oklahoma,93,"le gruenwald , leonard brown , ravi dirckze , sylvain guinepain , carlos sanchez , brian summers , sirirut vanichayobon",1999
international conference on management of data,turbo-charging vertical mining of large databases,94,"pradeep shenoy , jayant r. haritsa , s. sundarshan , gaurav bhalotia , mayank bawa , devavrat shah",2000
international conference on management of data,data mining on an oltp system ( nearly ) for free,95,"erik riedel , christos faloutsos , gregory r. ganger , david f. nagle",2000
acm sigmod record,a study on data point search for hg-trees,96,"joseph kuan , paul lewis",1999
acm sigmod record,the oasis multidatabase prototype,97,"mark roantree , john murphy , wilhelm hasselbring",1999
acm sigmod record,efficient materialization and use of views in data warehouses,98,"m &#225; rcio farias de souza , marcus costa sampaio",1999
acm sigmod record,design principles for data-intensive web sites,99,"stefano ceri , piero fraternali , stefano paraboschi",1999
acm sigmod record,"sql : 1999 , formerly known as sql3",100,"andrew eisenberg , jim melton",1999
acm transactions on database systems ( tods ),broadcast protocols to support efficient retrieval from databases by mobile users,101,"anindya datta , debra e. vandermeer , aslihan celik , vijay kumar",1999
acm sigmod record,video anywhere : a system for searching and managing distributed heterogeneous video assets,102,"amit sheth , clemens bertram , kshitij shah",1999
acm sigmod record,nsf workshop on industrial/academic cooperation in database systems,103,"mike carey , len seligman",1999
acm transactions on database systems ( tods ),optimization of queries with user-defined predicates,104,"surajit chaudhuri , kyuseok shim",1999
acm transactions on database systems ( tods ),gloss : text-source discovery over the internet,105,"luis gravano , h &#233; ctor garc &#237; a-molina , anthony tomasic",1999
acm transactions on database systems ( tods ),database design for incomplete relations,106,"mark levene , george loizou",1999
acm transactions on database systems ( tods ),temporal fds on complex objects,107,jef wijsen,1999
acm transactions on database systems ( tods ),indexing large metric spaces for similarity search queries,108,"tolga bozkaya , meral ozsoyoglu",1999
acm transactions on database systems ( tods ),specification and implementation of exceptions in workflow management systems,109,"fabio casati , stefano ceri , stefano paraboschi , guiseppe pozzi",1999
acm transactions on database systems ( tods ),distance browsing in spatial databases,110,"g &#237; sli r. hjaltason , hanan samet",1999
acm transactions on database systems ( tods ),type-checking oql queries in the odmg type systems,111,suad alag &#237; c,1999
acm sigmod record,the middleware muddle,112,david ritter,1998
acm sigmod record,the asilomar report on database research,113,"phil bernstein , michael brodie , stefano ceri , david dewitt , mike franklin , hector garcia-molina , jim gray , jerry held , joe hellerstein , h. v. jagadish , michael lesk , dave maier , jeff naughton , hamid pirahesh , mike stonebraker , jeff ullman",1998
acm sigmod record,electronic market : the roadmap for university libraries and members to survive in the information jungle,114,"michael christoffel , sebastian pulkowski , bethina schmitt , peter c. lockemann",1998
acm sigmod record,an anonymous electronic commerce scheme with an off-line authority and untrusted agents,115,"josep domingo-ferrer , jordi herrera-joancomart &#237;",1998
acm sigmod record,semantic and pedagogic interoperability mechanisms in the ariadne educational repository,116,"e. forte , f. haenni , k. warkentyne , e. duval , k. cardinaels , e. vervaet , k. hendrikx , m. wentland forte , f. simillion",1999
acm sigmod record,semantic integration of environmental models for application to global information systems and decision-making,117,d. scott mackay,1999
acm sigmod record,semantic interoperability in global information systems,118,"a. m. ouksel , a. sheth",1999
acm sigmod record,"sqlj part 0 , now known as sql/olb ( object-language bindings )",119,"andrew eisenberg , jim melton",1998
acm sigmod record,dynamic service matchmaking among agents in open information environments,120,"katia sycara , matthias klusch , seth widoff , jianguo lu",1999
acm sigmod record,contextualizing the information space in federated digital libraries,121,"m. p. papazoglou , j. hoppenbrouwers",1999
acm sigmod record,semantic video indexing : approach and issues,122,arun hampapur,1999
acm sigmod record,unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems,123,"ken smith , leo obrst",1999
acm sigmod record,report on the 13th brazilian symposium on database systems ( sbbd ' 98 ),124,"mario a. nascimento , claudia bauzer medeiros",1999
acm sigmod record,semantic interoperability in information services : experiencing with coopware,125,avigdor gal,1999
acm sigmod record,agent-based semantic interoperability in infosleuth,126,"jerry fowler , brad perry , marian nodine , bruce bargmeyer",1999
acm sigmod record,semantic integration of semistructured and structured data sources,127,"s. bergamaschi , s. castano , m. vincini",1999
international conference on management of data,keynote address,128,robert s. epstein,1995
international conference on management of data,keynote address,129,larry j. ellison,1995
acm transactions on database systems ( tods ),object normal forms and dependency constraints for object-oriented schemata,130,"zahir tari , john stokes , stefano spaccapietra",1997
acm transactions on database systems ( tods ),database design with common sense business reasoning and learning,131,"veda c. storey , roger h. l. chiang , debabrata dey , robert c. goldstein , shankar sudaresan",1997
acm transactions on database systems ( tods ),inverted files versus signature files for text indexing,132,"justin zobel , alistair moffat , kotagiri ramamohanarao",1998
acm transactions on database systems ( tods ),ensuring consistency in multidatabases by preserving two-level serializability,133,"sharad mehrotra , rajeev rastogi , henry f. korth , abraham silberschatz",1998
acm transactions on database systems ( tods ),towards a theory of cost management for digital libraries and electronic commerce,134,"a. prasad sistla , ouri wolfson , yelena yesha , robert sloan",1998
acm transactions on database systems ( tods ),information gathering in the world-wide web : the w3ql query language and the w3qs system,135,"david konopnicki , oded shmueli",1998
international conference on management of data,a protein patent query system powered by kleisli,136,"jing chen , limsoon wong , louxin zhang",1998
international conference on management of data,dtl 's dataspot : database exploration as easy as browsing the web ...,137,"shaul dar , gadi entin , shai geva , eran palmon",1998
acm transactions on database systems ( tods ),multiview access protocols for large-scale replication,138,"xiangning liu , abdelsalam helal , weimin du",1998
acm transactions on database systems ( tods ),optimization techniques for queries with expensive methods,139,joseph m. hellerstein,1998
international conference on management of data,multimediaminer : a system prototype for multimedia data mining,140,"osmar r. za &#239; ane , jiawei han , ze-nian li , sonny h. chee , jenny y. chiang",1998
international conference on management of data,xmas : an extensible main-memory storage system for high-performance applications,141,"jang ho park , yong sik kwon , ki hong kim , sang ho lee , byoung dae park , sang kyun cha",1998
international conference on management of data,the idea web lab,142,"stefano ceri , piero fraternali , stefano paraboschi",1998
international conference on management of data,supersql : an extended sql for database publishing and presentation,143,motomichi toyama,1998
international conference on management of data,control : continuous output and navigation technology with refinement on-line,144,"ron avnur , joseph m. hellerstein , bruce lo , chris olston , bhaskaran raman , vijayshankar raman , tali roth , kirk wylie",1998
international conference on management of data,amdb : an access method debugging tool,145,"marcel kornacker , mehul shah , joseph m. hellerstein",1998
international conference on management of data,user-oriented smart-cache for the web : what you seek is what you get !,146,"zo &#233; lacroix , arnaud sahuguet , raman chandrasekar",1998
international conference on management of data,the multidimensional database system rasdaman,147,"p. baumann , a. dehmel , p. furtado , r. ritsch , n. widmann",1998
international conference on management of data,flowback : providing backward recovery for workflow management systems,148,"bartek kiepuszewski , ralf muhlberger , maria e. orlowska",1998
international conference on management of data,providing database-like access to the web using queries based on textual similarity,149,william w. cohen,1998
international conference on management of data,ariadne : a system for constructing mediators for internet sources,150,"jos &#233; luis ambite , naveen ashish , greg barish , craig a. knoblock , steven minton , pragnesh j. modi , ion muslea , andrew philpot , sheila tejada",1998
international conference on management of data,capability based mediation in tsimmis,151,"chen li , ramana yerneni , vasilis vassalos , hector garcia-molina , yannis papakonstantinou , jeffrey ullman , murty valiveti",1998
international conference on management of data,the araneus web-based management system,152,"g. mecca , p. atzeni , a. masci , g. sindoni , p. merialdo",1998
international conference on management of data,cq : a personalized update monitoring toolkit,153,"ling liu , calton pu , wei tang , david buttler , john biggs , tong zhou , paul benninghoff , wei han , fenghua yu",1998
international conference on management of data,datasplash,154,"chris olston , allison woodruff , alexander aiken , michael chu , vuk ercegovac , mark lin , mybrid spalding , michael stonebraker",1998
international conference on management of data,microsoft index turning wizard for sql server 7.0,155,"surajit chaudhuri , vivek narasayya",1998
international conference on management of data,olympic records for data at the 1998 nagano games,156,edwin r. lassettre,1998
international conference on management of data,delivering high availability for inktomi search engines,157,eric a. brewer,1998
international conference on management of data,microsoft.com : a high-scale data management and transaction processing solution,158,sherri kennamer,1998
international conference on management of data,free parallel data mining,159,"bin li , dennis shasha",1998
international conference on management of data,real business processing meets the web,160,james chong,1998
international conference on management of data,"developing a high traffic , read-only web site",161,"john nauman , ray suorsa",1998
international conference on management of data,filenet integrated document management database usage and issues,162,daniel s. whelan,1998
international conference on management of data,about quark digital media system,163,kamar aulakh,1998
international conference on management of data,"50,000 users on an oracle8 universal server database",164,"tirthankar lahiri , ashok joshi , amit jasuja , sumanta chatterjee",1998
international conference on management of data,oracle rdb 's record caching model,165,"richard anderson , gopalan arun , richard frank",1998
international conference on management of data,a data mining application : customer retention at the port of singapore authority ( psa ),166,"kiansing ng , huan liu , hweebong kwah",1998
international conference on management of data,transactional publish/subscribe : the proactive multicast of database changes ( abstract ),167,arvola chan,1998
international conference on management of data,the pointcast network ( abstract ),168,"satish ramakrishnan , vibha dayal",1998
international conference on management of data,data in your face : push technology in perspective,169,"michael franklin , stan zdonik",1998
international conference on management of data,"ubiquitous , self-tuning , scalable servers",170,peter spiro,1998
international conference on management of data,database systems management and oracle8,171,c. gregory doherty,1998
international conference on management of data,managing large systems with db2 udb,172,chris eaton,1998
international conference on management of data,sql open heterogeneous data access,173,"berthold reinwald , hamid pirahesh",1998
international conference on management of data,enterprise java platform data access,174,"seth white , rick cattell , shel finkelstein",1998
international conference on management of data,microsoft universal data access platform,175,"jos &#233; a. blakeley , michael j. pizzo",1998
international conference on management of data,java and relational databases ( tutorial ) : sqlj,176,"gray clossman , phil shaw , mark hapner , johannes klein , richard pledereder , brian becker",1998
international conference on management of data,high-dimensional index structures database support for next decade 's applications ( tutorial ),177,"stefan berchtold , daniel a. keim",1998
international conference on management of data,electronic commerce : tutorial,178,"nabil r. adam , yelena yesha",1998
international conference on management of data,sap r/3 ( tutorial ) : a database application system,179,"alfons kemper , donald kossmann , florian matthes",1998
international conference on management of data,are we working on the right problems ? ( panel ),180,michael stonebraker,1998
international conference on management of data,next generation database systems wo n't work without semantics ! ( panel ),181,john mylopoulos,1998
international conference on management of data,memory management during run generation in external sorting,182,"per - &#197; ke larson , goetz graefe",1998
international conference on management of data,"replication , consistency , and practicality : are these mutually exclusive ?",183,"todd anderson , yuri breitbart , henry f. korth , avishai wool",1998
international conference on management of data,wavelet-based histograms for selectivity estimation,184,"yossi matias , jeffrey scott vitter , min wang",1998
international conference on management of data,efficient transparent application recovery in client-server information systems,185,"david lomet , gerhard weikum",1998
international conference on management of data,approximate medians and other quantiles in one pass and with limited memory,186,"gurmeet singh manku , sridhar rajagopalan , bruce g. lindsay",1998
international conference on management of data,random sampling for histogram construction : how much is enough ?,187,"surajit chaudhuri , rajeev motwani , vivek narasayya",1998
international conference on management of data,a multi-similarity algebra,188,"s. adali , p. bonatti , m. l. sapino , v. s. subrahmanian",1998
international conference on management of data,catching the boat with strudel : experiences with a web-site management system,189,"mary fern &#225; ndez , daniela florescu , jaewoo kang , alon levy , dan suciu",1998
international conference on management of data,on parallel processing of aggregate and scalar functions in object-relational dbms,190,"michael jaedicke , bernhard mitschang",1998
international conference on management of data,secure and portable database extensibility,191,"michael godfrey , tobias mayr , praveen seshadri , thorsten von eicken",1998
international conference on management of data,on random sampling over joins,192,"surajit chaudhuri , rajeev motwani , vivek narasayya",1999
international conference on management of data,random sampling techniques for space efficient online computation of order statistics of large datasets,193,"gurmeet singh manku , sridhar rajagopalan , bruce g. lindsay",1999
international conference on management of data,ripple joins for online aggregation,194,"peter j. haas , joseph m. hellerstein",1999
international conference on management of data,join synopses for approximate query answering,195,"swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy",1999
international conference on management of data,query optimization in the presence of limited access patterns,196,"daniela florescu , alon levy , ioana manolescu , dan suciu",1999
international conference on management of data,an adaptive query execution system for data integration,197,"zachary g. ives , daniela florescu , marc friedman , alon levy , daniel s. weld",1999
international conference on management of data,mind your vocabulary : query mapping across heterogeneous information sources,198,"chen-chuan k. chang , h &#233; ctor garc &#237; a-molina",1999
international conference on management of data,query processing techniques for arrays,199,"arunprasad p. marathe , kenneth salem",1999
international conference on management of data,boat-optimistic decision tree construction,200,"johannes gehrke , venkatesh ganti , raghu ramakrishnan , wei-yin loh",1999
international conference on management of data,optimization of constrained frequent set queries with 2-variable constraints,201,"laks v. s. lakshmanan , raymond ng , jiawei han , alex pang",1999
international conference on management of data,approximate computation of multidimensional aggregates of sparse data using wavelets,202,"jeffrey scott vitter , min wang",1999
international conference on management of data,self-tuning histograms : building histograms without looking at data,203,"ashraf aboulnaga , surajit chaudhuri",1999
international conference on management of data,an efficient bitmap encoding scheme for selection queries,204,"chee-yong chan , yannis e. ioannidis",1999
international conference on management of data,multi-dimensional selectivity estimation using compressed histogram information,205,"ju-hong lee , deok-hwan kim , chin-wan chung",1999
international conference on management of data,a comparison of selectivity estimators for range queries on metric attributes,206,"bj &#246; rn blohsfeld , dieter korus , bernhard seeger",1999
international conference on management of data,query optimization for selections using bitmaps,207,ming-chuan wu,1999
international conference on management of data,fast algorithms for projected clustering,208,"charu c. aggarwal , joel l. wolf , philip s. yu , cecilia procopiuc , jong soo park",1999
international conference on management of data,logical logging to extend recovery to new domains,209,"david lomet , mark tuttle",1999
international conference on management of data,efficient concurrency control for broadcast environments,210,"jayavel shanmugasundaram , arvind nithrakashyap , rajendran sivasankaran , krithi ramamritham",1999
international conference on management of data,update propagation protocols for replicated databates,211,"yuri breitbart , raghavan komondoor , rajeev rastogi , s. seshadri , avi silberschatz",1999
international conference on management of data,belief reasoning in mls deductive databases,212,hasan m. jamil,1999
international conference on management of data,a multimedia presentation algebra,213,"s. adali , m. l. sapino , v. s. subrahmanian",1999
international conference on management of data,querying network directories,214,"h. v. jagadish , laks v. s. lakshmanan , tova milo , divesh srivastava , dimitra vista",1999
international conference on management of data,online association rule mining,215,christian hidber,1999
acm transactions on database systems ( tods ),conceptual schema analysis : techniques and applications,216,"s. castano , v. de antonellis , m. g. fugini , b. pernici",1998
acm transactions on database systems ( tods ),an access control model supporting periodicity constraints and temporal reasoning,217,"elisa bertino , claudio bettini , elena ferrari , pierangela samarati",1998
acm transactions on database systems ( tods ),an efficient method for checking object-oriented database schema correctness,218,"a. formica , h. d. groger , m. missikoff",1998
international conference on management of data,integration of spatial join algorithms for processing multiple inputs,219,"nikos mamoulis , dimitris papadias",1999
international conference on management of data,selectivity estimation in spatial databases,220,"swarup acharya , viswanath poosala , sridhar ramaswamy",1999
international conference on management of data,efficient concurrency control in multidimensional access methods,221,"kaushik chakrabarti , sharad mehrotra",1999
international conference on management of data,snakes and sandwiches : optimal clustering strategies for a data warehouse,222,"h. v. jagadish , laks v. s. lakshmanan , divesh srivastava",1999
international conference on management of data,optics : ordering points to identify the clustering structure,223,"mihael ankerst , markus m. breunig , hans-peter kriegel , j &#246; rg sander",1999
acm sigmod record,a case for intelligent disks ( idisks ),224,"kimberly keeton , david a. patterson , joseph m. hellerstein",1998
acm sigmod record,the trigs active object-oriented database system - an overview,225,"g. kappel , w. retschitzegger",1998
acm sigmod record,reminiscences on influential papers,226,richard snodgrass,1998
acm sigmod record,b-tree page size when caching is considered,227,david lomet,1998
acm sigmod record,the microsoft database research group,228,"david lomet , roger barga , surajit chaudhuri , paul larson , vivek narasayya",1998
acm sigmod record,database research at columbia university,229,"shih-fu chang , luis gravano , gail e. kaiser , kenneth a. ross , salvatore j. stolfo",1998
acm sigmod record,database techniques for the world-wide web : a survey,230,"daniela florescu , alon levy , alberto mendelzon",1998
acm sigmod record,standards in practice,231,"andrew eisenberg , jim melton",1998
acm transactions on database systems ( tods ),safe query languages for constraint databases,232,peter z. revesz,1998
acm transactions on database systems ( tods ),supporting valid-time indeterminacy,233,"curtis e. dyreson , richard thomas snodgrass",1998
international conference on management of data,the garlic project,234,"m. tork roth , m. arya , l. haas , m. carey , w. cody , r. fagin , p. schwarz , j. thomas , e. wimmers",1996
international conference on management of data,bess : storage support for interactive visualization systems,235,"a. biliris , t. a. funkhouser , w. o'connell , e. panagos",1996
acm sigmod record,algebraic change propagation for semijoin and outerjoin queries,236,"timothy griffin , bharat kumar",1998
acm sigmod record,enhanced nearest neighbour search on the r-tree,237,"king lum cheung , ada wai-chee fu",1998
acm sigmod record,report on the 5th international workshop on knowledge representation meets databases ( krdb ' 98 ),238,"alex borgida , vinay k. chaudhri , martin staudt",1998
acm transactions on database systems ( tods ),safe stratified datalog with integer order does not have syntax,239,"alexei p. stolboushkin , michael a. taitslin",1998
international conference on management of data,dbminer : interactive mining of multiple-level knowledge in relational databases,240,"jaiwei han , youngjian fu , wei wang , jenny chiang , osmar r. za &#239; ane , krzysztof koperski",1996
international conference on management of data,prospector : a content-based multimedia server for massively parallel architectures,241,"s. choo , w. o'connell , g. linerman , h. chen , k. ganapathy , a. biliris , e. panagos , d. schrader",1996
international conference on management of data,dbsim : a simulation tool for predicting database performance,242,"mark lefler , mark stokrp , craig wong",1996
international conference on management of data,lore : a lightweight object repository for semistructured data,243,"dallan quass , jennifer widom , roy goldman , kevin haas , qingshan luo , jason mchugh , svetlozar nestorov , anand rajaraman , hugo rivero , serge abiteboul , jeff ullman , janet wiener",1996
international conference on management of data,capbased-ams : a capability-based and event-driven activity management system,244,"patrick c. k. hung , helen p. yeung , kamalakar karlapalem",1996
international conference on management of data,the multiview project : object-oriented view technology and applications,245,"e. a. rundensteiner , h. a. kuno , y.-g . ra , v. crestana-taube , m. c. jones , p. j. marron",1996
