assay_id,src_id,description,assay_tissue,bao_format,src_assay_id,assay_organism,assay_category,curated_by,doc_id,assay_test_type,assay_type,assay_tax_id,assay_strain,assay_cell_type,assay_subcellular_fraction,tid
45,1,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,BAO_0000019,,Homo sapiens,,Autocuration,13163,,B,9606.0,,,,20001
46,1,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,BAO_0000019,,Homo sapiens,,Autocuration,13163,,B,9606.0,,,,20001
47,1,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,BAO_0000019,,Rattus norvegicus,,Expert,10691,,B,10116.0,,,,12971
48,1,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,BAO_0000019,,Rattus norvegicus,,Expert,10691,,B,10116.0,,,,12971
49,1,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,BAO_0000019,,Rattus norvegicus,,Expert,10691,,B,10116.0,,,,12971
50,1,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,BAO_0000019,,Rattus norvegicus,,Expert,10691,,B,10116.0,,,,12971
51,1,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,BAO_0000019,,,,Autocuration,898,,B,,,,,13053
52,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,BAO_0000357,,,,Autocuration,912,,B,,,,,11512
53,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,BAO_0000357,,,,Autocuration,912,,B,,,,,11512
54,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,BAO_0000357,,,,Autocuration,912,,B,,,,,11512
55,1,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,BAO_0000249,,Rattus norvegicus,,Autocuration,15103,,B,10116.0,,,Membranes,104740
56,1,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,BAO_0000219,,Homo sapiens,,Intermediate,5116,,F,9606.0,,1A9,,80002
57,1,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,BAO_0000219,,Rattus norvegicus,,Autocuration,14578,,F,10116.0,,Oocytes,,104835
58,1,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,BAO_0000219,,Rattus norvegicus,,Autocuration,14578,,F,10116.0,,Oocytes,,104821
59,1,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,BAO_0000219,,Rattus norvegicus,,Autocuration,14578,,F,10116.0,,Oocytes,,104848
60,1,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,BAO_0000219,,Homo sapiens,,Expert,4787,,F,9606.0,,1A9,,80002
61,1,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,BAO_0000219,,Homo sapiens,,Intermediate,4787,,F,9606.0,,1A9,,80002
62,1,Cytotoxic activity against human ovarian cancer (1A9) cell line,,BAO_0000219,,Homo sapiens,,Intermediate,3547,,F,9606.0,,1A9,,80002
63,1,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,BAO_0000219,,Homo sapiens,,Intermediate,3547,,F,9606.0,,1A9,,80002
64,1,Effective dose of compound against replication of 1A9 cell line was evaluated,,BAO_0000219,,Homo sapiens,,Intermediate,6726,,F,9606.0,,1A9,,80002
65,1,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,BAO_0000219,,Homo sapiens,,Expert,3455,,F,9606.0,,1A9,,80002
66,1,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,BAO_0000219,,Homo sapiens,,Intermediate,5726,,F,9606.0,,1A9,,80002
67,1,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,BAO_0000219,,Homo sapiens,,Intermediate,5726,,F,9606.0,,1A9,,80002
68,1,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,BAO_0000219,,Homo sapiens,,Intermediate,5726,,F,9606.0,,1A9,,80002
69,1,Inhibitory activity against Taxol resistant 1A9 cell lines,,BAO_0000219,,Homo sapiens,,Intermediate,3395,,F,9606.0,,1A9,,80002
70,1,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,BAO_0000219,,Homo sapiens,,Expert,3415,,F,9606.0,,1A9,,80002
71,1,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,BAO_0000219,,Homo sapiens,,Expert,3415,,F,9606.0,,1A9,,80002
72,1,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,BAO_0000219,,Homo sapiens,,Expert,17099,,F,9606.0,,1A9,,80002
73,1,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,BAO_0000219,,Homo sapiens,,Intermediate,17099,,F,9606.0,,1A9,,80002
74,1,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,BAO_0000219,,Homo sapiens,,Intermediate,17099,,F,9606.0,,1A9,,80002
75,1,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,BAO_0000219,,Homo sapiens,,Intermediate,17099,,F,9606.0,,1A9,,80002
76,1,Inhibitory concentration against Jurkat cells,,BAO_0000219,,Homo sapiens,,Intermediate,17721,,F,9606.0,,Jurkat,,81072
77,1,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,BAO_0000019,,,,Intermediate,1229,,F,,,,,22226
78,1,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,BAO_0000357,,Rattus norvegicus,,Expert,11347,,A,10116.0,,,,100121
79,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,BAO_0000357,,,,Expert,17117,,B,,,,,11231
80,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,BAO_0000357,,,,Expert,17117,,B,,,,,11231
81,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,BAO_0000357,,,,Expert,17117,,B,,,,,11231
82,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,BAO_0000251,,Candida albicans,,Autocuration,11375,,B,5476.0,,,Microsomes,11231
83,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,BAO_0000251,,Candida albicans,,Autocuration,11375,,B,5476.0,,,Microsomes,11231
84,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,BAO_0000251,,Saccharomyces cerevisiae,,Autocuration,11375,,B,4932.0,,,Microsomes,11231
85,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,BAO_0000251,,Saccharomyces cerevisiae,,Autocuration,11375,,B,4932.0,,,Microsomes,11231
86,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",Liver,BAO_0000251,,Sus scrofa,,Autocuration,11375,,B,9823.0,,,Microsomes,12083
87,1,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,BAO_0000019,,Rattus norvegicus,,Autocuration,791,,B,10116.0,,,,11231
88,1,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,BAO_0000019,,Rattus norvegicus,,Autocuration,791,,B,10116.0,,,,11231
89,1,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,BAO_0000019,,Rattus norvegicus,,Autocuration,791,,B,10116.0,,,,11231
90,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",Liver,BAO_0000251,,Rattus norvegicus,,Autocuration,11375,,B,10116.0,,,Microsomes,12083
91,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Liver,BAO_0000251,,Rattus norvegicus,,Autocuration,11375,,B,10116.0,,,Microsomes,12083
92,1,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Liver,BAO_0000251,,Rattus norvegicus,,Autocuration,153,,B,10116.0,,,Microsomes,12083
93,1,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,BAO_0000357,,,,Expert,8269,,B,,,,,11377
94,1,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,BAO_0000357,,,,Expert,8269,,B,,,,,11377
95,1,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,BAO_0000219,,Homo sapiens,,Expert,17653,,F,9606.0,,HepG2,,81020
96,1,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,BAO_0000219,,Homo sapiens,,Intermediate,14277,,F,9606.0,,HepG2,,81020
97,1,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,BAO_0000219,,Homo sapiens,,Intermediate,1717,,F,9606.0,,HepG2,,81020
98,1,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,BAO_0000219,,Homo sapiens,,Intermediate,14091,,F,9606.0,,HepG2,,81020
99,1,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,BAO_0000219,,Homo sapiens,,Intermediate,14091,,F,9606.0,,HepG2,,81020
100,1,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,BAO_0000218,,Hepatitis B virus,,Expert,17653,,F,10407.0,,,,50606
101,1,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,BAO_0000219,,Homo sapiens,,Intermediate,13105,,F,9606.0,,HepG2,,81020
102,1,Concentration required to inhibit 50% of 2.2.15 cell line,,BAO_0000219,,Homo sapiens,,Intermediate,1717,,F,9606.0,,HepG2,,81020
103,1,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,BAO_0000219,,Homo sapiens,,Intermediate,13105,,A,9606.0,,HepG2,,81020
104,1,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,BAO_0000218,,Homo sapiens,,Intermediate,13600,,F,9606.0,,2.2.15,,50587
105,1,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,BAO_0000218,,Homo sapiens,,Intermediate,13467,,F,9606.0,,2.2.15,,50587
106,1,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,BAO_0000218,,Hepatitis B virus,,Expert,17477,,F,10407.0,,2.2.15,,50606
107,1,In vitro anti-HBV activity in 2.2.15 cells,,BAO_0000218,,Homo sapiens,,Intermediate,1593,,F,9606.0,,2.2.15,,50587
108,1,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,BAO_0000218,,Homo sapiens,,Intermediate,1593,,F,9606.0,,2.2.15,,50587
109,1,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,BAO_0000218,,Homo sapiens,,Intermediate,15089,,F,9606.0,,2.2.15,,50587
110,1,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,BAO_0000218,,Homo sapiens,,Intermediate,15089,,F,9606.0,,2.2.15,,50587
111,1,Cytotoxicity in 2.2.15 cells,,BAO_0000218,,Homo sapiens,,Intermediate,1593,,F,9606.0,,2.2.15,,50587
112,1,Cytotoxicity in 2.2.15 cells; Not determined,,BAO_0000218,,Homo sapiens,,Intermediate,1593,,F,9606.0,,2.2.15,,50587
113,1,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,BAO_0000218,,Homo sapiens,,Intermediate,13600,,F,9606.0,,2.2.15,,50587
114,1,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,BAO_0000218,,Homo sapiens,,Intermediate,13467,,F,9606.0,,2.2.15,,50587
115,1,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,BAO_0000218,,Homo sapiens,,Intermediate,13467,,F,9606.0,,2.2.15,,50587
116,1,Antiviral activity against HBV was determined in 2.215 cell line,,BAO_0000219,,Homo sapiens,,Intermediate,14764,,F,9606.0,,HepG2,,81020
117,1,Inhibition of 20-HETE synthesis in human renal microsomes,,BAO_0000251,,Homo sapiens,,Autocuration,6531,,B,9606.0,,,Microsomes,22226
118,1,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,BAO_0000019,,,,Autocuration,17322,,B,,,,,22226
119,1,Inhibitory concentration against 2008 (ovarian) cells,,BAO_0000219,,Homo sapiens,,Intermediate,17072,,F,9606.0,,2008,,80612
120,1,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,BAO_0000219,,Homo sapiens,,Intermediate,16936,,F,9606.0,,2008,,80612
121,1,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,BAO_0000219,,Homo sapiens,,Intermediate,16936,,F,9606.0,,2008,,80612
122,1,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,BAO_0000219,,Homo sapiens,,Intermediate,17146,,F,9606.0,,2008,,80612
123,1,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,BAO_0000219,,Homo sapiens,,Intermediate,17146,,F,9606.0,,2008,,80612
124,1,In vitro inhibition of 2008/R ovarian cancer cell line,,BAO_0000219,,Homo sapiens,,Intermediate,10797,,F,9606.0,,2008/R,,80613
125,1,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,BAO_0000219,,Homo sapiens,,Intermediate,10797,,F,9606.0,,2008/R,,80613
126,1,In vitro inhibition of 2008/S ovarian cancer cell line,,BAO_0000219,,Homo sapiens,,Intermediate,10797,,F,9606.0,,2008/S,,80614
127,1,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,BAO_0000219,,Homo sapiens,,Intermediate,10797,,F,9606.0,,2008/S,,80614
128,1,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,BAO_0000220,,Homo sapiens,,Expert,4823,,B,9606.0,,,,100256
129,1,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,BAO_0000220,,Homo sapiens,,Intermediate,12912,,B,9606.0,,,,100256
130,1,Inhibition of chymotrypsin-like activity of 20S proteasome,,BAO_0000220,,,,Expert,2957,,B,,,,,100256
131,1,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,BAO_0000220,,,,Expert,2957,,B,,,,,100256
132,1,Inhibitory activity against 20S proteosome,,BAO_0000220,,,,Intermediate,3260,,B,,,,,100256
133,1,Compound was tested for inhibitory activity against tryptase,,BAO_0000019,,Homo sapiens,,Autocuration,3451,,B,9606.0,,,,22226
134,1,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,BAO_0000219,,Homo sapiens,,Intermediate,13885,,F,9606.0,,HepG2,,81020
135,1,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,BAO_0000219,,Homo sapiens,,Intermediate,13885,,F,9606.0,,HepG2,,81020
136,1,Compound was tested for the inhibition of Alpha-glucosidase,,BAO_0000019,,,,Autocuration,3676,,B,,,,,22226
137,1,Inhibitory concentration against human neutrophil elastase (HNE),,BAO_0000357,,,,Autocuration,6043,,B,,,,,235
138,1,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,Heart,BAO_0000218,,Rattus norvegicus,,Autocuration,11140,,F,10116.0,,,,22226
139,1,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000019,,,,Autocuration,10543,,F,,,,,19640
140,1,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000019,,,,Expert,10543,,F,,,,,19640
141,1,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000357,,,,Autocuration,10543,,B,,,,,19640
142,1,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000019,,,,Expert,10543,,F,,,,,19640
143,1,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,BAO_0000219,,Mus musculus,,Intermediate,11365,,F,10090.0,,P338,,80360
144,1,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,BAO_0000219,,Mus musculus,,Intermediate,11365,,F,10090.0,,P338,,80360
145,1,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,BAO_0000219,,Homo sapiens,,Intermediate,11803,,F,9606.0,,PBL,,80384
146,1,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,BAO_0000019,,Ovis aries,,Autocuration,11803,,F,9940.0,,,,22226
147,1,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,BAO_0000019,,Ovis aries,,Autocuration,11803,,F,9940.0,,,,22226
148,1,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,BAO_0000357,,,,Autocuration,12278,,B,,,,,191
149,1,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,BAO_0000019,,Homo sapiens,,Autocuration,8249,,F,9606.0,,,,22226
150,1,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,BAO_0000019,,Homo sapiens,,Autocuration,8249,,F,9606.0,,,,22226
151,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,BAO_0000219,,Homo sapiens,,Autocuration,8249,,F,9606.0,,CCRF-CEM,,22226
152,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,BAO_0000219,,Homo sapiens,,Autocuration,8249,,F,9606.0,,CCRF-CEM,,22226
153,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,BAO_0000219,,Homo sapiens,,Autocuration,8249,,F,9606.0,,CCRF-CEM,,22226
154,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,BAO_0000219,,Homo sapiens,,Autocuration,8249,,F,9606.0,,CCRF-CEM,,22226
155,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,BAO_0000019,,Homo sapiens,,Autocuration,8249,,F,9606.0,,,,22226
156,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,BAO_0000019,,Homo sapiens,,Autocuration,8249,,F,9606.0,,,,22226
157,1,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,BAO_0000249,,,,Autocuration,16992,,B,,,,,104290
158,1,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,BAO_0000218,,Streptococcus pyogenes,,Intermediate,10543,,F,1314.0,,,,50264
159,1,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,BAO_0000218,,Human herpesvirus 3,,Intermediate,17833,,F,10335.0,,,,50527
160,1,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,BAO_0000218,,vericilla zoster virus,,Expert,17290,,F,10335.0,,HEL,,50527
161,1,Antiviral activity against 07/1 strain of VZV; ND: No data,,BAO_0000218,,vericilla zoster virus,,Intermediate,17290,,F,10335.0,,,,50527
162,1,Antiviral activity against 07/1 strain of VZV; ND=No data,,BAO_0000218,,vericilla zoster virus,,Intermediate,17290,,F,10335.0,,,,50527
163,1,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,BAO_0000218,,escherichia cloac,,Intermediate,10932,,F,561.0,,,,50145
164,1,Ratio of Ki at A2 to Ki at A1 receptors,,BAO_0000019,,,,Autocuration,9707,,B,,,,,22226
165,1,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,BAO_0000249,,Candida albicans,,Expert,2346,,B,5476.0,,,,11143
