assay_id,cell_id,curated_by,assay_category,variant_id,assay_tissue,doc_id,description,assay_type,assay_test_type,assay_organism,assay_tax_id,assay_strain,assay_cell_type
20,,Autocu4arion,,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
21,,Autoxuratiob,,,,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
22,,zutoc7ration,,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
23,,Aktoc7ration,,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
24,,zutocutation,,,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
25,,Augocurxtion,,,,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,,
26,,Autocutati0n,,,,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,Oryctolagus cuniculus,9986.0,,
27,,A7tocuratuon,,,,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,Oryctolagus cuniculus,9986.0,,
28,,A8tocurat8on,,,,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,,
29,,Autocueatiom,,,,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,soya bean,3847.0,,
30,,Aufocurqtion,,,,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,Glycine max,3847.0,,
31,,Autocugatuon,,,,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,Glycine max,3847.0,,
32,,Ahtocutation,,,,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,Glycine max,3847.0,,
33,,Autocuratlob,,,,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,Glycine max,3847.0,,
34,,Aufocurafion,,,,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,Glycine max,3847.0,,
35,,Autocyfation,,,,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,Glycine max,3847.0,,
36,,Autocuratipj,,,,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,Rattus norvegicus,10116.0,,
37,,Autocurxt7on,,,,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,Escherichia coli,562.0,,
38,,xutocugation,,,,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,,
39,,Intermed8at4,,,,3782,Dissociation constant towards 16S rRNA construct A,B,,,,,
40,,Ibtdrmediate,,,,3782,Dissociation constant towards 16S rRNA construct B,B,,,,,
41,,Ecpert,,,,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,Escherichia coli,562.0,,
42,,3xpert,,,,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,Escherichia coli,562.0,,
43,,wutociration,,,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
44,,suticuration,,,,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
45,,Autoc8ratiln,,,,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,Homo sapiens,9606.0,,
46,,Autofuratiom,,,,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,Homo sapiens,9606.0,,
47,,Experr,,,,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,Rattus norvegicus,10116.0,,
48,,Exper5,,,,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,Rattus norvegicus,10116.0,,
49,,Experr,,,,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,Rattus norvegicus,10116.0,,
50,,Edpert,,,,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,Rattus norvegicus,10116.0,,
51,,A8t0curation,,,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
52,,Autocurqtikn,,,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,,
53,,Autocurwtioj,,,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,,
54,,Autofuratioh,,,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,,
55,,Autocurat8oh,,,,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,Rattus norvegicus,10116.0,,
56,276.0,Intermdciate,,,,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,Homo sapiens,9606.0,,1A9
57,,A8tockration,,,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,Rattus norvegicus,10116.0,,Oocytes
58,,Autocurat9ln,,,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,Rattus norvegicus,10116.0,,Oocytes
59,,Autosurati9n,,,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,Rattus norvegicus,10116.0,,Oocytes
60,797.0,sxpert,,,,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,Homo sapiens,9606.0,,1A9
61,804.0,Intfrm2diate,,,,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,Homo sapiens,9606.0,,1A9
62,404.0,Int4rmeviate,,,,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,Homo sapiens,9606.0,,1A9
63,639.0,Intermedizge,,,,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,Homo sapiens,9606.0,,1A9
64,947.0,Intrrmeduate,,,,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,Homo sapiens,9606.0,,1A9
65,976.0,Ex9ert,,,,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,Homo sapiens,9606.0,,1A9
66,407.0,Ijtefmediate,,,,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,Homo sapiens,9606.0,,1A9
67,655.0,Intetkediate,,,,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,Homo sapiens,9606.0,,1A9
68,736.0,Intrrmedia6e,,,,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,Homo sapiens,9606.0,,1A9
69,936.0,In6ernediate,,,,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,Homo sapiens,9606.0,,1A9
70,986.0,Expdrt,,,,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,9606.0,,1A9
71,1092.0,rxpert,,,,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,9606.0,,1A9
72,564.0,Expe4t,,,,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,Homo sapiens,9606.0,,1A9
73,607.0,Intermedixfe,,,,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,Homo sapiens,9606.0,,1A9
74,1317.0,Imtermedizte,,,,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,Homo sapiens,9606.0,,1A9
75,650.0,Imtermewiate,,,,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,Homo sapiens,9606.0,,1A9
76,911.0,8ntermediatw,,,,17721,Inhibitory concentration against Jurkat cells,F,,Homo sapiens,9606.0,,Jurkat
77,,In4etmediate,,,,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,,
78,,Exp2rt,,,,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,Rattus norvegicus,10116.0,,
79,,Expdrt,,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
80,,4xpert,,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
81,,Expe5t,,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,,
82,,zutocurstion,,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,Candida albicans,5476.0,,
83,,A8tocyration,,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,Candida albicans,5476.0,,
84,,Autocu4ati8n,,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,4932.0,,
85,,Autoc6ratkon,,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,4932.0,,
86,,Ahtocurat8on,,,Liv2r,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,Sus scrofa,9823.0,,
87,,Aut9curagion,,,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,Rattus norvegicus,10116.0,,
88,,sut8curation,,,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,Rattus norvegicus,10116.0,,
89,,Aitovuration,,,,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,Rattus norvegicus,10116.0,,
90,,wutocuratiln,,,Livef,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,,
91,,xutofuration,,,Livef,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,,
92,,Aut0furation,,,Livrr,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,,
93,,Expfrt,,,,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,
94,,wxpert,,,,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,
95,1224.0,Expedt,,,,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Homo sapiens,9606.0,,HepG2
96,1362.0,In4erhediate,,,,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,Homo sapiens,9606.0,,HepG2
97,821.0,Intermecixte,,,,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,Homo sapiens,9606.0,,HepG2
98,1189.0,Intsrmed9ate,,,,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,Homo sapiens,9606.0,,HepG2
99,1079.0,Int2rmefiate,,,,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,HepG2
100,,Expeft,,,,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Hepatitis B virus,10407.0,,
101,323.0,Intsrmedia5e,,,,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,Homo sapiens,9606.0,,HepG2
102,1054.0,Infsrmediate,,,,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,,Homo sapiens,9606.0,,HepG2
103,680.0,Intermrdia5e,,,,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,Homo sapiens,9606.0,,HepG2
104,,Intsrm2diate,,,,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,Homo sapiens,9606.0,,2.2.15
105,,Igterm2diate,,,,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,2.2.15
106,,Expe3t,,,,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,Hepatitis B virus,10407.0,,2.2.15
107,,Intermdsiate,,,,1593,In vitro anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,9606.0,,2.2.15
108,,untermedixte,,,,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,2.2.15
109,,Igterkediate,,,,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,Homo sapiens,9606.0,,2.2.15
110,,Inhermedlate,,,,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,9606.0,,2.2.15
111,,ontermediare,,,,1593,Cytotoxicity in 2.2.15 cells,F,,Homo sapiens,9606.0,,2.2.15
112,,Int4rmedia4e,,,,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,2.2.15
113,,umtermediate,,,,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,Homo sapiens,9606.0,,2.2.15
114,,Ihtermediat3,,,,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,2.2.15
115,,In4egmediate,,,,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,2.2.15
116,592.0,Intermfsiate,,,,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,,Homo sapiens,9606.0,,HepG2
117,,Autocuray7on,,,,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,,Homo sapiens,9606.0,,
118,,Au5ocuratjon,,,,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,
119,770.0,9ntermediqte,,,,17072,Inhibitory concentration against 2008 (ovarian) cells,F,,Homo sapiens,9606.0,,2008
120,562.0,Intermediafr,,,,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,Homo sapiens,9606.0,,2008
121,869.0,Intermediwtw,,,,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,Homo sapiens,9606.0,,2008
122,1175.0,Inherkediate,,,,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,Homo sapiens,9606.0,,2008
123,763.0,Intrrhediate,,,,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,Homo sapiens,9606.0,,2008
124,670.0,Intermefiafe,,,,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,,Homo sapiens,9606.0,,2008/R
125,838.0,ontermeeiate,,,,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,9606.0,,2008/R
126,692.0,Intrrmediafe,,,,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,,Homo sapiens,9606.0,,2008/S
127,827.0,Intermediwt2,,,,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,9606.0,,2008/S
128,,Expeft,,,,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,Homo sapiens,9606.0,,
129,,Intermwdiahe,,,,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,Homo sapiens,9606.0,,
130,,Expe4t,,,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,,
131,,Experh,,,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,,
132,,Intermedia43,,,,3260,Inhibitory activity against 20S proteosome,B,,,,,
133,,Aut0curafion,,,,3451,Compound was tested for inhibitory activity against tryptase,B,,Homo sapiens,9606.0,,
134,409.0,9ntermediat3,,,,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,9606.0,,HepG2
135,1380.0,Imte3mediate,,,,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,9606.0,,HepG2
136,,Auticurat9on,,,,3676,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,,
137,,Autlcuratuon,,,,6043,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,,
138,,xutockration,,,Hear5,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,Rattus norvegicus,10116.0,,
139,,Autocyrstion,,,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
140,,2xpert,,,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
141,,Autosurxtion,,,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,,
142,,Expe4t,,,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
143,980.0,Ihtermedoate,,,,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,Mus musculus,10090.0,,P338
144,591.0,Ihtermediatd,,,,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,Mus musculus,10090.0,,P338
145,719.0,Igte3mediate,,,,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,Homo sapiens,9606.0,,PBL
146,,Au5ocuratikn,,,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,Ovis aries,9940.0,,
147,,Auyocjration,,,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,Ovis aries,9940.0,,
148,,Autocurqtikn,,,,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,,
149,,Autocu5qtion,,,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,Homo sapiens,9606.0,,
150,,xytocuration,,,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,Homo sapiens,9606.0,,
151,1078.0,xufocuration,,,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,Homo sapiens,9606.0,,CCRF-CEM
152,683.0,Autovuratipn,,,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,Homo sapiens,9606.0,,CCRF-CEM
153,301.0,Aytosuration,,,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,Homo sapiens,9606.0,,CCRF-CEM
154,612.0,Autocuratikm,,,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,Homo sapiens,9606.0,,CCRF-CEM
155,,Aytoc6ration,,,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,Homo sapiens,9606.0,,
156,,Autocugatiom,,,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,Homo sapiens,9606.0,,
157,,Au5ockration,,,,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,
158,,Intermed8aye,,,,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,Streptococcus pyogenes,1314.0,,
159,,Igtermedizte,,,,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,Human herpesvirus 3,10335.0,,
160,1074.0,Espert,,,,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,vericilla zoster virus,10335.0,,HEL
161,,knt4rmediate,,,,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,vericilla zoster virus,10335.0,,
162,,Intermddiatw,,,,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,vericilla zoster virus,10335.0,,
163,,Interhedixte,,,,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,escherichia cloac,561.0,,
164,,Aitocurztion,,,,9707,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,
165,,Eapert,,,,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,Candida albicans,5476.0,,
166,,Expeet,,,,2205,"Inhibition of 1,3-beta-glucan synthase",B,,Candida glabrata CBS 138,284593.0,,
167,851.0,Intefmedkate,,,,11900,Inhibition of growth of 1-87 human tumor cell line,F,,Homo sapiens,9606.0,,1-87 tumor cell line
168,,dxpert,,,,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,Rattus norvegicus,10116.0,,
169,,Autocutqtion,,,,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,Glycine max,3847.0,,
170,,Autocuratuin,,,,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,Glycine max,3847.0,,
171,,qutocuratjon,,,,16474,% inhibition against soybean 1-lipoxygenase (SLO),B,,Glycine max,3847.0,,
172,,x7tocuration,,,,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,Glycine max,3847.0,,
173,,Aut9cura6ion,,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,Glycine max,3847.0,,
174,,Autocyratiob,,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,Glycine max,3847.0,,
175,,Aytoc7ration,,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,Glycine max,3847.0,,
176,,Aut9cura6ion,,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,B,,Glycine max,3847.0,,
177,,Aut0curafion,,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,B,,Glycine max,3847.0,,
178,,zutoc8ration,,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,B,,Glycine max,3847.0,,
179,,Au6ocurxtion,,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,B,,Glycine max,3847.0,,
180,,Auhocuratikn,,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,B,,Glycine max,3847.0,,
181,,xutocuratiog,,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,B,,Glycine max,3847.0,,
182,,wutocuragion,,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,B,,Glycine max,3847.0,,
183,,Autocyrati9n,,,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,B,,Glycine max,3847.0,,
184,,Au5ocurarion,,,,10413,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,B,,Mus musculus,10090.0,,
185,830.0,Intermedistd,,,,16929,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),F,,Mus musculus,10090.0,,C3H 10T1/2
186,,Interm4diat2,,,,1229,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,F,,,,,
187,,Au4ofuration,,,,16587,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,
188,,Autocurati9j,,,,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,
