ss_strn,src_ss_d,ss_rgnsm,rltnshp_tp,src_d,ss_sbclllr_frctn,ss_ctgr,b_frmt,ss_tss,ss_tp,ss_cll_tp,td,crtd_b,cll_d,dc_d,ss_tx_d,vrnt_d,ss_d,chmbl_d,dscrptn,ss_tst_tp,cnfdnc_scr,tss_d
,,Rattus norvegicus,N,1,,,BAO_0000218,Blood,A,,50597,Intermediate,,4727,10116.0,,7564,CHEMBL621314,Half life of compound was determined in rat blood,,1,178.0
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17651,10116.0,,7565,CHEMBL621315,Half life at 1 mg/kg was determined in rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17651,10116.0,,7566,CHEMBL621316,Half life at 10 mg/kg was determined in rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,401,10116.0,,7567,CHEMBL621317,Half life in rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,4942,10116.0,,7568,CHEMBL621318,Half life in rats in hours,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17735,10116.0,,7569,CHEMBL621319,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,6056,10116.0,,7570,CHEMBL621377,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,5213,10116.0,,7571,CHEMBL621378,Half life was determined,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,6616,10116.0,,7572,CHEMBL876599,Half life after i.v. administration,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,5937,10116.0,,7573,CHEMBL621379,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,5819,10116.0,,7574,CHEMBL621380,Half life in rat plasma,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,5819,10116.0,,7575,CHEMBL621381,Half life in rat plasma; Not detected,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,6803,10116.0,,7576,CHEMBL618515,Half life in rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17804,10116.0,,7577,CHEMBL618516,Half life period of compound was determined after peroral administration,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17804,10116.0,,7578,CHEMBL618517,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,5948,10116.0,,7579,CHEMBL618518,Half life period in rat,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,1916,10116.0,,7580,CHEMBL618519,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,1916,10116.0,,7581,CHEMBL618698,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,1916,10116.0,,7582,CHEMBL618862,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,4890,10116.0,,7583,CHEMBL618863,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17764,10116.0,,7584,CHEMBL618864,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,4727,10116.0,,7585,CHEMBL618865,Half life time in rat the dose of 2 mg/kg,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17509,10116.0,,7586,CHEMBL618866,Half-life 24 hr after 10 mg/kg iv administration in rats,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17509,10116.0,,7587,CHEMBL618867,Half-life 24 hr after 2 mg/kg iv administration in rats,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,6597,10116.0,,7588,CHEMBL875828,Half-life consistent with the observed metabolic steady state in rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17735,10116.0,,7589,CHEMBL618868,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,6597,10116.0,,7590,CHEMBL618869,Half-life for oxidative metabolic stability was determined using male human,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17670,10116.0,,7591,CHEMBL618870,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",In vivo,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,1696,10116.0,,7592,CHEMBL618871,Half-life in rat plasma,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,1742,10116.0,,7593,CHEMBL618872,Half-life in rat plasma was determined,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17800,10116.0,,7594,CHEMBL873816,Half-life in rats was determined,,1,
,,,U,1,,,BAO_0000218,,A,,22224,Autocuration,,12923,,,7595,CHEMBL618873,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,,0,
,,,U,1,,,BAO_0000019,,A,,22224,Autocuration,,11954,,,7596,CHEMBL621602,Area under curve after oral dose of 0.1 mg//kg,,0,
,,,U,1,,,BAO_0000218,,A,,22224,Autocuration,,11954,,,7597,CHEMBL621603,Area under curve after oral dose of 0.3 mg/kg,,0,
,,,U,1,,,BAO_0000218,,A,,22224,Autocuration,,11954,,,7598,CHEMBL621604,Area under curve after oral dose of 1 mg/kg,,0,
,,,U,1,,,BAO_0000218,,A,,22224,Autocuration,,11954,,,7599,CHEMBL621605,Area under curve after oral dose of 10 mg/kg,,0,
,,,U,1,,,BAO_0000218,,A,,22224,Autocuration,,11954,,,7600,CHEMBL621606,Area under curve after oral dose of 23.4 mg/kg,,0,
,,,U,1,,,BAO_0000218,,A,,22224,Autocuration,,11954,,,7601,CHEMBL621607,Area under curve after oral dose of 3 mg/kg,,0,
,,,U,1,,,BAO_0000218,,A,,22224,Autocuration,,11954,,,7602,CHEMBL621608,Area under curve after oral dose of 3.87 mg/kg,,0,
,,,U,1,,,BAO_0000019,,A,,22224,Autocuration,,5237,,,7603,CHEMBL621609,Area under curve was determined,,0,
,,,U,1,,,BAO_0000218,,A,,22224,Autocuration,,4026,,,7604,CHEMBL621610,Area under curve at a dose of 10 mg/kg,,0,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,5237,10116.0,,7605,CHEMBL621611,Area under curve was determined; ND=No data,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14793,10116.0,,7606,CHEMBL621612,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14793,10116.0,,7607,CHEMBL622308,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14793,10116.0,,7608,CHEMBL622309,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14793,10116.0,,7609,CHEMBL622310,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14793,10116.0,,7610,CHEMBL622311,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14793,10116.0,,7611,CHEMBL622312,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14793,10116.0,,7612,CHEMBL622931,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14793,10116.0,,7613,CHEMBL622932,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,14793,10116.0,,7614,CHEMBL622736,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,14793,10116.0,,7615,CHEMBL622737,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,14793,10116.0,,7616,CHEMBL622738,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,14793,10116.0,,7617,CHEMBL622739,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,14793,10116.0,,7618,CHEMBL622740,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,14793,10116.0,,7619,CHEMBL622741,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,14793,10116.0,,7620,CHEMBL622742,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,1,1969.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Plasma,A,,50597,Intermediate,,14793,10116.0,,7621,CHEMBL622743,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,,1,1969.0
,,Mus musculus,N,1,,,BAO_0000218,Plasma,A,,50594,Intermediate,,11637,10090.0,,7622,CHEMBL622744,AUC in mice,,1,1969.0
,,,U,1,,,BAO_0000019,,A,,22224,Autocuration,,11149,,,7623,CHEMBL624134,Area under curve was measured from the graph obtained from concentration Vs time,,0,
,,,U,1,,,BAO_0000019,,A,,22224,Autocuration,,10016,,,7624,CHEMBL624135,Area under curve value of compound per hour after oral administration,,0,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17796,10116.0,,7625,CHEMBL624136,Area under curve was determined after oral administration in rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17796,10116.0,,7626,CHEMBL624137,Area under curve was determined after oral administration in rats; No data,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,17796,10116.0,,7627,CHEMBL624320,Area under curve was determined after oral administration in rats;No data,,1,
,,Canis lupus familiaris,N,1,,,BAO_0000218,,A,,50588,Intermediate,,12923,9615.0,,7628,CHEMBL624321,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15372,10116.0,,7629,CHEMBL624322,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15372,10116.0,,7630,CHEMBL624323,Area under curve was determined for the compound after iv dose of 5.06 in rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15372,10116.0,,7631,CHEMBL624324,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15372,10116.0,,7632,CHEMBL624325,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15372,10116.0,,7633,CHEMBL624326,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15372,10116.0,,7634,CHEMBL624327,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,15372,10116.0,,7635,CHEMBL624328,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,,1,
,,Canis lupus familiaris,N,1,,,BAO_0000218,,A,,50588,Intermediate,,14169,9615.0,,7636,CHEMBL627848,Area under curve was determined in Dogs after peroral administration,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14169,10116.0,,7637,CHEMBL627849,Area under curve was determined in Rats after peroral administration,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14258,10116.0,,7638,CHEMBL627850,Area under curve was determined in carotid blood of rat when administered intradermally,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,14258,10116.0,,7639,CHEMBL627851,Area under curve was determined in portal blood of rat when administered intradermally,,1,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,15011,10090.0,,7640,CHEMBL627852,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,1,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,15011,10090.0,,7641,CHEMBL627853,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,1,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,15011,10090.0,,7642,CHEMBL627854,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),,1,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,15011,10090.0,,7643,CHEMBL627855,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,1,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,15011,10090.0,,7644,CHEMBL627856,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),,1,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,15011,10090.0,,7645,CHEMBL875339,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,1,
,,Mus musculus,N,1,,,BAO_0000218,,A,,50594,Intermediate,,15011,10090.0,,7646,CHEMBL627857,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,Spleen,A,,50597,Intermediate,,11195,10116.0,,7647,CHEMBL627858,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,In vivo,1,2106.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Blood,A,,50597,Intermediate,,10130,10116.0,,7648,CHEMBL627859,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,,1,178.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Brain,A,,50597,Intermediate,,10130,10116.0,,7649,CHEMBL627860,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,,1,955.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Heart,A,,50597,Intermediate,,10130,10116.0,,7650,CHEMBL627019,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,,1,948.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Liver,A,,50597,Intermediate,,10130,10116.0,,7651,CHEMBL627020,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,,1,2107.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Lung,A,,50597,Intermediate,,10130,10116.0,,7652,CHEMBL627021,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,,1,2048.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Muscle tissue,A,,50597,Intermediate,,10130,10116.0,,7653,CHEMBL627022,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,,1,2385.0
,,Rattus norvegicus,N,1,,,BAO_0000218,,A,,50597,Intermediate,,10130,10116.0,,7654,CHEMBL627023,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,,1,
,,Rattus norvegicus,N,1,,,BAO_0000218,Spleen,A,,50597,Intermediate,,10130,10116.0,,7655,CHEMBL627024,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,,1,2106.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Thyroid gland,A,,50597,Intermediate,,10130,10116.0,,7656,CHEMBL627025,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,,1,2046.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,10130,10116.0,,7657,CHEMBL627026,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,,1,2113.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Blood,A,,50597,Intermediate,,10130,10116.0,,7658,CHEMBL627027,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,,1,178.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Brain,A,,50597,Intermediate,,10130,10116.0,,7659,CHEMBL627028,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,,1,955.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Heart,A,,50597,Intermediate,,10130,10116.0,,7660,CHEMBL627029,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,,1,948.0
,,Rattus norvegicus,N,1,,,BAO_0000218,Kidney,A,,50597,Intermediate,,10130,10116.0,,7661,CHEMBL627030,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,,1,2113.0
