assay_id,assay_cell_type,assay_type,cell_id,assay_test_type,description,confidence_score,src_assay_id,assay_category,tid,assay_tax_id,curated_by,src_id,chembl_id,bao_format,tissue_id,variant_id
12,143B,F,163.0,,In vitro cell cytotoxicity was determined against 143B-LTK cell line,1,,,80001,9606.0,Expert,1,CHEMBL615128,BAO_0000219,,
13,,F,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,,50185,1280.0,Intermediate,1,CHEMBL857900,BAO_0000218,,
14,,F,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,,50185,1280.0,Intermediate,1,CHEMBL615129,BAO_0000218,,
15,,F,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,,50185,1280.0,Intermediate,1,CHEMBL615130,BAO_0000218,,
16,,F,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",1,,,50185,1280.0,Intermediate,1,CHEMBL615131,BAO_0000218,,
17,,A,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,9,,,100122,10116.0,Expert,1,CHEMBL884521,BAO_0000357,,
18,,B,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),8,,,12054,,Autocuration,1,CHEMBL615132,BAO_0000357,,
19,,B,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,8,,,12054,,Autocuration,1,CHEMBL615133,BAO_0000019,,
20,,B,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),8,,,12054,,Autocuration,1,CHEMBL615134,BAO_0000357,,
21,,B,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),8,,,12054,,Autocuration,1,CHEMBL615135,BAO_0000357,,
22,,B,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),8,,,12054,,Autocuration,1,CHEMBL615136,BAO_0000357,,
23,,B,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,8,,,12054,,Autocuration,1,CHEMBL615137,BAO_0000357,,
24,,B,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,8,,,12054,,Autocuration,1,CHEMBL615138,BAO_0000357,,
25,,B,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",0,,,22226,,Autocuration,1,CHEMBL836324,BAO_0000219,,
26,,B,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,8,,,12054,9986.0,Autocuration,1,CHEMBL615139,BAO_0000357,,
27,,B,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),8,,,12054,9986.0,Autocuration,1,CHEMBL615140,BAO_0000357,,
28,,B,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,8,,,12426,,Autocuration,1,CHEMBL615141,BAO_0000219,,
29,,B,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,8,,,12054,3847.0,Autocuration,1,CHEMBL615142,BAO_0000357,,
30,,B,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,8,,,12054,3847.0,Autocuration,1,CHEMBL615143,BAO_0000357,,
31,,B,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,8,,,12054,3847.0,Autocuration,1,CHEMBL615144,BAO_0000357,,
32,,B,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,8,,,12054,3847.0,Autocuration,1,CHEMBL872867,BAO_0000357,,
33,,B,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,8,,,12054,3847.0,Autocuration,1,CHEMBL615145,BAO_0000357,,
34,,B,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,8,,,12054,3847.0,Autocuration,1,CHEMBL615146,BAO_0000357,,
35,,B,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,8,,,12054,3847.0,Autocuration,1,CHEMBL615147,BAO_0000357,,
36,,A,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,0,,,22226,10116.0,Autocuration,1,CHEMBL615148,BAO_0000019,,
37,,B,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,0,,,22226,562.0,Autocuration,1,CHEMBL615149,BAO_0000019,,
38,,B,,,Dissociation constant with dimeric 16S rRNA RNA construct B,0,,,22226,,Autocuration,1,CHEMBL615150,BAO_0000019,,
39,,B,,,Dissociation constant towards 16S rRNA construct A,3,,,22222,,Intermediate,1,CHEMBL615151,BAO_0000225,,
40,,B,,,Dissociation constant towards 16S rRNA construct B,3,,,22222,,Intermediate,1,CHEMBL615152,BAO_0000225,,
41,,B,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,3,,,100263,562.0,Expert,1,CHEMBL615153,BAO_0000225,,
42,,B,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,3,,,100263,562.0,Expert,1,CHEMBL615154,BAO_0000225,,
43,,B,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),8,,,13053,,Autocuration,1,CHEMBL615155,BAO_0000019,,
44,,B,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),8,,,13053,,Autocuration,1,CHEMBL615156,BAO_0000019,,
45,,B,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,8,,,20001,9606.0,Autocuration,1,CHEMBL615157,BAO_0000019,,
46,,B,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,8,,,20001,9606.0,Autocuration,1,CHEMBL615158,BAO_0000019,,
47,,B,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",9,,,12971,10116.0,Expert,1,CHEMBL615159,BAO_0000019,,
48,,B,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",9,,,12971,10116.0,Expert,1,CHEMBL615172,BAO_0000019,,
49,,B,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",9,,,12971,10116.0,Expert,1,CHEMBL615173,BAO_0000019,,
50,,B,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",9,,,12971,10116.0,Expert,1,CHEMBL615174,BAO_0000019,,
51,,B,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),8,,,13053,,Autocuration,1,CHEMBL884518,BAO_0000019,,
52,,B,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),8,,,11512,,Autocuration,1,CHEMBL615175,BAO_0000357,,
53,,B,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,8,,,11512,,Autocuration,1,CHEMBL615176,BAO_0000357,,
54,,B,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,8,,,11512,,Autocuration,1,CHEMBL615177,BAO_0000357,,
55,,B,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,5,,,104740,10116.0,Autocuration,1,CHEMBL615178,BAO_0000249,,
56,1A9,F,506.0,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,1,,,80002,9606.0,Intermediate,1,CHEMBL615179,BAO_0000219,,
57,Oocytes,F,,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,7,,,104835,10116.0,Autocuration,1,CHEMBL615180,BAO_0000219,,
58,Oocytes,F,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,7,,,104821,10116.0,Autocuration,1,CHEMBL615181,BAO_0000219,,
59,Oocytes,F,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,7,,,104848,10116.0,Autocuration,1,CHEMBL615182,BAO_0000219,,
60,1A9,F,506.0,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,1,,,80002,9606.0,Expert,1,CHEMBL615183,BAO_0000219,,
61,1A9,F,506.0,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,1,,,80002,9606.0,Intermediate,1,CHEMBL615184,BAO_0000219,,
62,1A9,F,506.0,,Cytotoxic activity against human ovarian cancer (1A9) cell line,1,,,80002,9606.0,Intermediate,1,CHEMBL615185,BAO_0000219,,
63,1A9,F,506.0,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,1,,,80002,9606.0,Intermediate,1,CHEMBL615186,BAO_0000219,,
64,1A9,F,506.0,,Effective dose of compound against replication of 1A9 cell line was evaluated,1,,,80002,9606.0,Intermediate,1,CHEMBL615187,BAO_0000219,,
65,1A9,F,506.0,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,1,,,80002,9606.0,Expert,1,CHEMBL885343,BAO_0000219,,
66,1A9,F,506.0,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),1,,,80002,9606.0,Intermediate,1,CHEMBL615188,BAO_0000219,,
67,1A9,F,506.0,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,1,,,80002,9606.0,Intermediate,1,CHEMBL615189,BAO_0000219,,
68,1A9,F,506.0,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,1,,,80002,9606.0,Intermediate,1,CHEMBL615190,BAO_0000219,,
69,1A9,F,506.0,,Inhibitory activity against Taxol resistant 1A9 cell lines,1,,,80002,9606.0,Intermediate,1,CHEMBL615191,BAO_0000219,,
70,1A9,F,506.0,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,1,,,80002,9606.0,Expert,1,CHEMBL615192,BAO_0000219,,
71,1A9,F,506.0,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,1,,,80002,9606.0,Expert,1,CHEMBL827083,BAO_0000219,,
72,1A9,F,506.0,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,1,,,80002,9606.0,Expert,1,CHEMBL615193,BAO_0000219,,
73,1A9,F,506.0,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,1,,,80002,9606.0,Intermediate,1,CHEMBL615194,BAO_0000219,,
74,1A9,F,506.0,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,1,,,80002,9606.0,Intermediate,1,CHEMBL615195,BAO_0000219,,
75,1A9,F,506.0,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,1,,,80002,9606.0,Intermediate,1,CHEMBL615196,BAO_0000219,,
76,Jurkat,F,503.0,,Inhibitory concentration against Jurkat cells,1,,,81072,9606.0,Intermediate,1,CHEMBL615197,BAO_0000219,,
77,,F,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,0,,,22226,,Intermediate,1,CHEMBL615198,BAO_0000019,,
78,,A,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,9,,,100121,10116.0,Expert,1,CHEMBL615199,BAO_0000357,,
79,,B,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",8,,,11231,,Expert,1,CHEMBL615200,BAO_0000357,,
80,,B,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",8,,,11231,,Expert,1,CHEMBL615201,BAO_0000357,,
81,,B,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",8,,,11231,,Expert,1,CHEMBL615202,BAO_0000357,,
82,,B,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",8,,,11231,5476.0,Autocuration,1,CHEMBL615203,BAO_0000251,,
83,,B,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",8,,,11231,5476.0,Autocuration,1,CHEMBL615204,BAO_0000251,,
84,,B,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",8,,,11231,4932.0,Autocuration,1,CHEMBL615205,BAO_0000251,,
85,,B,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",8,,,11231,4932.0,Autocuration,1,CHEMBL615206,BAO_0000251,,
86,,B,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",8,,,12083,9823.0,Autocuration,1,CHEMBL615207,BAO_0000251,2107.0,
87,,B,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",8,,,11231,10116.0,Autocuration,1,CHEMBL827084,BAO_0000019,,
88,,B,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",8,,,11231,10116.0,Autocuration,1,CHEMBL615208,BAO_0000019,,
89,,B,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",8,,,11231,10116.0,Autocuration,1,CHEMBL615209,BAO_0000019,,
90,,B,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",9,,,12083,10116.0,Autocuration,1,CHEMBL615210,BAO_0000251,2107.0,
91,,B,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",9,,,12083,10116.0,Autocuration,1,CHEMBL615211,BAO_0000251,2107.0,
92,,B,,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",9,,,12083,10116.0,Autocuration,1,CHEMBL615212,BAO_0000251,2107.0,
93,,B,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),8,,,11377,,Expert,1,CHEMBL615213,BAO_0000357,,
94,,B,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,8,,,11377,,Expert,1,CHEMBL615273,BAO_0000357,,
95,HepG2,F,726.0,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,1,,,81020,9606.0,Expert,1,CHEMBL615274,BAO_0000219,,
96,HepG2,F,726.0,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,1,,,81020,9606.0,Intermediate,1,CHEMBL615275,BAO_0000219,,
97,HepG2,F,726.0,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,1,,,81020,9606.0,Intermediate,1,CHEMBL615276,BAO_0000219,,
98,HepG2,F,726.0,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,1,,,81020,9606.0,Intermediate,1,CHEMBL615277,BAO_0000219,,
99,HepG2,F,726.0,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,1,,,81020,9606.0,Intermediate,1,CHEMBL615326,BAO_0000219,,
100,,F,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,1,,,50606,10407.0,Expert,1,CHEMBL883130,BAO_0000218,,
101,HepG2,F,726.0,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,1,,,81020,9606.0,Intermediate,1,CHEMBL884519,BAO_0000219,,
102,HepG2,F,726.0,,Concentration required to inhibit 50% of 2.2.15 cell line,1,,,81020,9606.0,Intermediate,1,CHEMBL615327,BAO_0000219,,
103,HepG2,A,726.0,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,1,,,81020,9606.0,Intermediate,1,CHEMBL615328,BAO_0000219,,
104,2.2.15,F,,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,1,,,50587,9606.0,Intermediate,1,CHEMBL615329,BAO_0000218,,
105,2.2.15,F,,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,1,,,50587,9606.0,Intermediate,1,CHEMBL615330,BAO_0000218,,
106,2.2.15,F,,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",1,,,50606,10407.0,Expert,1,CHEMBL615331,BAO_0000218,,
107,2.2.15,F,,,In vitro anti-HBV activity in 2.2.15 cells,1,,,50587,9606.0,Intermediate,1,CHEMBL615332,BAO_0000218,,
108,2.2.15,F,,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,1,,,50587,9606.0,Intermediate,1,CHEMBL615333,BAO_0000218,,
109,2.2.15,F,,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,1,,,50587,9606.0,Intermediate,1,CHEMBL615334,BAO_0000218,,
110,2.2.15,F,,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,1,,,50587,9606.0,Intermediate,1,CHEMBL615335,BAO_0000218,,
111,2.2.15,F,,,Cytotoxicity in 2.2.15 cells,1,,,50587,9606.0,Intermediate,1,CHEMBL615336,BAO_0000218,,
112,2.2.15,F,,,Cytotoxicity in 2.2.15 cells; Not determined,1,,,50587,9606.0,Intermediate,1,CHEMBL615337,BAO_0000218,,
113,2.2.15,F,,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,1,,,50587,9606.0,Intermediate,1,CHEMBL615338,BAO_0000218,,
114,2.2.15,F,,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,1,,,50587,9606.0,Intermediate,1,CHEMBL615339,BAO_0000218,,
115,2.2.15,F,,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,1,,,50587,9606.0,Intermediate,1,CHEMBL615340,BAO_0000218,,
116,HepG2,F,726.0,,Antiviral activity against HBV was determined in 2.215 cell line,1,,,81020,9606.0,Intermediate,1,CHEMBL615341,BAO_0000219,,
117,,B,,,Inhibition of 20-HETE synthesis in human renal microsomes,0,,,22226,9606.0,Autocuration,1,CHEMBL615342,BAO_0000251,,
118,,B,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,0,,,22226,,Autocuration,1,CHEMBL615343,BAO_0000019,,
119,2008,F,388.0,,Inhibitory concentration against 2008 (ovarian) cells,1,,,80612,9606.0,Intermediate,1,CHEMBL615344,BAO_0000219,,
120,2008,F,388.0,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,1,,,80612,9606.0,Intermediate,1,CHEMBL615345,BAO_0000219,,
121,2008,F,388.0,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),1,,,80612,9606.0,Intermediate,1,CHEMBL615346,BAO_0000219,,
122,2008,F,388.0,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,1,,,80612,9606.0,Intermediate,1,CHEMBL615347,BAO_0000219,,
123,2008,F,388.0,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,1,,,80612,9606.0,Intermediate,1,CHEMBL615348,BAO_0000219,,
124,2008/R,F,561.0,,In vitro inhibition of 2008/R ovarian cancer cell line,1,,,80613,9606.0,Intermediate,1,CHEMBL827085,BAO_0000219,,
125,2008/R,F,561.0,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,1,,,80613,9606.0,Intermediate,1,CHEMBL615349,BAO_0000219,,
126,2008/S,F,389.0,,In vitro inhibition of 2008/S ovarian cancer cell line,1,,,80614,9606.0,Intermediate,1,CHEMBL615350,BAO_0000219,,
127,2008/S,F,389.0,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,1,,,80614,9606.0,Intermediate,1,CHEMBL615351,BAO_0000219,,
128,,B,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,2,,,100256,9606.0,Expert,1,CHEMBL615352,BAO_0000220,,
129,,B,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,2,,,100256,9606.0,Intermediate,1,CHEMBL615353,BAO_0000220,,
130,,B,,,Inhibition of chymotrypsin-like activity of 20S proteasome,2,,,100256,,Expert,1,CHEMBL615354,BAO_0000220,,
131,,B,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,2,,,100256,,Expert,1,CHEMBL615355,BAO_0000220,,
132,,B,,,Inhibitory activity against 20S proteosome,2,,,100256,,Intermediate,1,CHEMBL615356,BAO_0000220,,
133,,B,,,Compound was tested for inhibitory activity against tryptase,0,,,22226,9606.0,Autocuration,1,CHEMBL615357,BAO_0000019,,
134,HepG2,F,726.0,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,1,,,81020,9606.0,Intermediate,1,CHEMBL615358,BAO_0000219,,
135,HepG2,F,726.0,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,1,,,81020,9606.0,Intermediate,1,CHEMBL827086,BAO_0000219,,
136,,B,,,Compound was tested for the inhibition of Alpha-glucosidase,0,,,22226,,Autocuration,1,CHEMBL615359,BAO_0000019,,
137,,B,,,Inhibitory concentration against human neutrophil elastase (HNE),8,,,235,,Autocuration,1,CHEMBL615360,BAO_0000357,,
138,,F,,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,0,,,22226,10116.0,Autocuration,1,CHEMBL615361,BAO_0000218,948.0,
139,,F,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,8,,,19640,,Autocuration,1,CHEMBL615362,BAO_0000019,,
140,,F,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,8,,,19640,,Expert,1,CHEMBL615363,BAO_0000019,,
141,,B,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,8,,,19640,,Autocuration,1,CHEMBL615364,BAO_0000357,,
142,,F,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,8,,,19640,,Expert,1,CHEMBL615365,BAO_0000019,,
143,P338,F,524.0,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,1,,,80360,10090.0,Intermediate,1,CHEMBL615366,BAO_0000219,,
144,P338,F,524.0,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,1,,,80360,10090.0,Intermediate,1,CHEMBL615367,BAO_0000219,,
145,PBL,F,554.0,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,1,,,80384,9606.0,Intermediate,1,CHEMBL615368,BAO_0000219,,
146,,F,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,0,,,22226,9940.0,Autocuration,1,CHEMBL615369,BAO_0000019,,
147,,F,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,0,,,22226,9940.0,Autocuration,1,CHEMBL615370,BAO_0000019,,
148,,B,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),8,,,191,,Autocuration,1,CHEMBL615673,BAO_0000357,,
149,,F,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,0,,,22226,9606.0,Autocuration,1,CHEMBL615674,BAO_0000019,,
150,,F,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,0,,,22226,9606.0,Autocuration,1,CHEMBL615675,BAO_0000019,,
151,CCRF-CEM,F,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,0,,,22226,9606.0,Autocuration,1,CHEMBL615676,BAO_0000219,,
152,CCRF-CEM,F,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,0,,,22226,9606.0,Autocuration,1,CHEMBL615677,BAO_0000219,,
153,CCRF-CEM,F,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,0,,,22226,9606.0,Autocuration,1,CHEMBL615678,BAO_0000219,,
154,CCRF-CEM,F,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,0,,,22226,9606.0,Autocuration,1,CHEMBL615679,BAO_0000219,,
155,,F,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,0,,,22226,9606.0,Autocuration,1,CHEMBL615680,BAO_0000019,,
156,,F,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,0,,,22226,9606.0,Autocuration,1,CHEMBL615681,BAO_0000019,,
157,,B,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,6,,,104290,,Autocuration,1,CHEMBL857972,BAO_0000249,,
158,,F,,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,1,,,50264,1314.0,Intermediate,1,CHEMBL857899,BAO_0000218,,
159,,F,,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),1,,,50527,10335.0,Intermediate,1,CHEMBL615371,BAO_0000218,,
160,HEL,F,468.0,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,1,,,50527,10335.0,Expert,1,CHEMBL615372,BAO_0000218,,
161,,F,,,Antiviral activity against 07/1 strain of VZV; ND: No data,1,,,50527,10335.0,Intermediate,1,CHEMBL615373,BAO_0000218,,
