ASSI,T,ASSTAI,VARII,CONFISC,RELATT,CHEI,SI,DOI,ASSORGA,ASTY,ASSUBCELFRAC,CURAB,SASI,CI,BAFO,TISI
41,100263,562.0,,3,M,CHEMBL615153,1,4466,Escherichia coli,B,,Expert,,,BAO_0000225,
42,100263,562.0,,3,M,CHEMBL615154,1,6592,Escherichia coli,B,,Expert,,,BAO_0000225,
43,13053,,,8,H,CHEMBL615155,1,898,,B,,Autocuration,,,BAO_0000019,
44,13053,,,8,H,CHEMBL615156,1,898,,B,,Autocuration,,,BAO_0000019,
45,20001,9606.0,,8,H,CHEMBL615157,1,13163,Homo sapiens,B,,Autocuration,,,BAO_0000019,
46,20001,9606.0,,8,H,CHEMBL615158,1,13163,Homo sapiens,B,,Autocuration,,,BAO_0000019,
47,12971,10116.0,,9,D,CHEMBL615159,1,10691,Rattus norvegicus,B,,Expert,,,BAO_0000019,
48,12971,10116.0,,9,D,CHEMBL615172,1,10691,Rattus norvegicus,B,,Expert,,,BAO_0000019,
49,12971,10116.0,,9,D,CHEMBL615173,1,10691,Rattus norvegicus,B,,Expert,,,BAO_0000019,
50,12971,10116.0,,9,D,CHEMBL615174,1,10691,Rattus norvegicus,B,,Expert,,,BAO_0000019,
51,13053,,,8,H,CHEMBL884518,1,898,,B,,Autocuration,,,BAO_0000019,
52,11512,,,8,H,CHEMBL615175,1,912,,B,,Autocuration,,,BAO_0000357,
53,11512,,,8,H,CHEMBL615176,1,912,,B,,Autocuration,,,BAO_0000357,
54,11512,,,8,H,CHEMBL615177,1,912,,B,,Autocuration,,,BAO_0000357,
55,104740,10116.0,,5,D,CHEMBL615178,1,15103,Rattus norvegicus,B,Membranes,Autocuration,,,BAO_0000249,
56,80002,9606.0,,1,N,CHEMBL615179,1,5116,Homo sapiens,F,,Intermediate,,506.0,BAO_0000219,
57,104835,10116.0,,7,D,CHEMBL615180,1,14578,Rattus norvegicus,F,,Autocuration,,,BAO_0000219,
58,104821,10116.0,,7,D,CHEMBL615181,1,14578,Rattus norvegicus,F,,Autocuration,,,BAO_0000219,
59,104848,10116.0,,7,D,CHEMBL615182,1,14578,Rattus norvegicus,F,,Autocuration,,,BAO_0000219,
60,80002,9606.0,,1,N,CHEMBL615183,1,4787,Homo sapiens,F,,Expert,,506.0,BAO_0000219,
61,80002,9606.0,,1,N,CHEMBL615184,1,4787,Homo sapiens,F,,Intermediate,,506.0,BAO_0000219,
62,80002,9606.0,,1,N,CHEMBL615185,1,3547,Homo sapiens,F,,Intermediate,,506.0,BAO_0000219,
63,80002,9606.0,,1,N,CHEMBL615186,1,3547,Homo sapiens,F,,Intermediate,,506.0,BAO_0000219,
64,80002,9606.0,,1,N,CHEMBL615187,1,6726,Homo sapiens,F,,Intermediate,,506.0,BAO_0000219,
65,80002,9606.0,,1,N,CHEMBL885343,1,3455,Homo sapiens,F,,Expert,,506.0,BAO_0000219,
66,80002,9606.0,,1,N,CHEMBL615188,1,5726,Homo sapiens,F,,Intermediate,,506.0,BAO_0000219,
67,80002,9606.0,,1,N,CHEMBL615189,1,5726,Homo sapiens,F,,Intermediate,,506.0,BAO_0000219,
68,80002,9606.0,,1,N,CHEMBL615190,1,5726,Homo sapiens,F,,Intermediate,,506.0,BAO_0000219,
69,80002,9606.0,,1,N,CHEMBL615191,1,3395,Homo sapiens,F,,Intermediate,,506.0,BAO_0000219,
70,80002,9606.0,,1,N,CHEMBL615192,1,3415,Homo sapiens,F,,Expert,,506.0,BAO_0000219,
71,80002,9606.0,,1,N,CHEMBL827083,1,3415,Homo sapiens,F,,Expert,,506.0,BAO_0000219,
72,80002,9606.0,,1,N,CHEMBL615193,1,17099,Homo sapiens,F,,Expert,,506.0,BAO_0000219,
73,80002,9606.0,,1,N,CHEMBL615194,1,17099,Homo sapiens,F,,Intermediate,,506.0,BAO_0000219,
74,80002,9606.0,,1,N,CHEMBL615195,1,17099,Homo sapiens,F,,Intermediate,,506.0,BAO_0000219,
75,80002,9606.0,,1,N,CHEMBL615196,1,17099,Homo sapiens,F,,Intermediate,,506.0,BAO_0000219,
76,81072,9606.0,,1,N,CHEMBL615197,1,17721,Homo sapiens,F,,Intermediate,,503.0,BAO_0000219,
77,22226,,,0,U,CHEMBL615198,1,1229,,F,,Intermediate,,,BAO_0000019,
78,100121,10116.0,,9,D,CHEMBL615199,1,11347,Rattus norvegicus,A,,Expert,,,BAO_0000357,
79,11231,,,8,H,CHEMBL615200,1,17117,,B,,Expert,,,BAO_0000357,
80,11231,,,8,H,CHEMBL615201,1,17117,,B,,Expert,,,BAO_0000357,
81,11231,,,8,H,CHEMBL615202,1,17117,,B,,Expert,,,BAO_0000357,
82,11231,5476.0,,8,H,CHEMBL615203,1,11375,Candida albicans,B,Microsomes,Autocuration,,,BAO_0000251,
83,11231,5476.0,,8,H,CHEMBL615204,1,11375,Candida albicans,B,Microsomes,Autocuration,,,BAO_0000251,
84,11231,4932.0,,8,H,CHEMBL615205,1,11375,Saccharomyces cerevisiae,B,Microsomes,Autocuration,,,BAO_0000251,
85,11231,4932.0,,8,H,CHEMBL615206,1,11375,Saccharomyces cerevisiae,B,Microsomes,Autocuration,,,BAO_0000251,
86,12083,9823.0,,8,H,CHEMBL615207,1,11375,Sus scrofa,B,Microsomes,Autocuration,,,BAO_0000251,2107.0
87,11231,10116.0,,8,H,CHEMBL827084,1,791,Rattus norvegicus,B,,Autocuration,,,BAO_0000019,
88,11231,10116.0,,8,H,CHEMBL615208,1,791,Rattus norvegicus,B,,Autocuration,,,BAO_0000019,
89,11231,10116.0,,8,H,CHEMBL615209,1,791,Rattus norvegicus,B,,Autocuration,,,BAO_0000019,
90,12083,10116.0,,9,D,CHEMBL615210,1,11375,Rattus norvegicus,B,Microsomes,Autocuration,,,BAO_0000251,2107.0
91,12083,10116.0,,9,D,CHEMBL615211,1,11375,Rattus norvegicus,B,Microsomes,Autocuration,,,BAO_0000251,2107.0
92,12083,10116.0,,9,D,CHEMBL615212,1,153,Rattus norvegicus,B,Microsomes,Autocuration,,,BAO_0000251,2107.0
93,11377,,,8,H,CHEMBL615213,1,8269,,B,,Expert,,,BAO_0000357,
94,11377,,,8,H,CHEMBL615273,1,8269,,B,,Expert,,,BAO_0000357,
95,81020,9606.0,,1,N,CHEMBL615274,1,17653,Homo sapiens,F,,Expert,,726.0,BAO_0000219,
96,81020,9606.0,,1,N,CHEMBL615275,1,14277,Homo sapiens,F,,Intermediate,,726.0,BAO_0000219,
97,81020,9606.0,,1,N,CHEMBL615276,1,1717,Homo sapiens,F,,Intermediate,,726.0,BAO_0000219,
98,81020,9606.0,,1,N,CHEMBL615277,1,14091,Homo sapiens,F,,Intermediate,,726.0,BAO_0000219,
99,81020,9606.0,,1,N,CHEMBL615326,1,14091,Homo sapiens,F,,Intermediate,,726.0,BAO_0000219,
100,50606,10407.0,,1,N,CHEMBL883130,1,17653,Hepatitis B virus,F,,Expert,,,BAO_0000218,
101,81020,9606.0,,1,N,CHEMBL884519,1,13105,Homo sapiens,F,,Intermediate,,726.0,BAO_0000219,
102,81020,9606.0,,1,N,CHEMBL615327,1,1717,Homo sapiens,F,,Intermediate,,726.0,BAO_0000219,
103,81020,9606.0,,1,N,CHEMBL615328,1,13105,Homo sapiens,A,,Intermediate,,726.0,BAO_0000219,
104,50587,9606.0,,1,N,CHEMBL615329,1,13600,Homo sapiens,F,,Intermediate,,,BAO_0000218,
105,50587,9606.0,,1,N,CHEMBL615330,1,13467,Homo sapiens,F,,Intermediate,,,BAO_0000218,
106,50606,10407.0,,1,N,CHEMBL615331,1,17477,Hepatitis B virus,F,,Expert,,,BAO_0000218,
107,50587,9606.0,,1,N,CHEMBL615332,1,1593,Homo sapiens,F,,Intermediate,,,BAO_0000218,
108,50587,9606.0,,1,N,CHEMBL615333,1,1593,Homo sapiens,F,,Intermediate,,,BAO_0000218,
109,50587,9606.0,,1,N,CHEMBL615334,1,15089,Homo sapiens,F,,Intermediate,,,BAO_0000218,
110,50587,9606.0,,1,N,CHEMBL615335,1,15089,Homo sapiens,F,,Intermediate,,,BAO_0000218,
111,50587,9606.0,,1,N,CHEMBL615336,1,1593,Homo sapiens,F,,Intermediate,,,BAO_0000218,
112,50587,9606.0,,1,N,CHEMBL615337,1,1593,Homo sapiens,F,,Intermediate,,,BAO_0000218,
113,50587,9606.0,,1,N,CHEMBL615338,1,13600,Homo sapiens,F,,Intermediate,,,BAO_0000218,
114,50587,9606.0,,1,N,CHEMBL615339,1,13467,Homo sapiens,F,,Intermediate,,,BAO_0000218,
115,50587,9606.0,,1,N,CHEMBL615340,1,13467,Homo sapiens,F,,Intermediate,,,BAO_0000218,
116,81020,9606.0,,1,N,CHEMBL615341,1,14764,Homo sapiens,F,,Intermediate,,726.0,BAO_0000219,
117,22226,9606.0,,0,U,CHEMBL615342,1,6531,Homo sapiens,B,Microsomes,Autocuration,,,BAO_0000251,
118,22226,,,0,U,CHEMBL615343,1,17322,,B,,Autocuration,,,BAO_0000019,
119,80612,9606.0,,1,N,CHEMBL615344,1,17072,Homo sapiens,F,,Intermediate,,388.0,BAO_0000219,
120,80612,9606.0,,1,N,CHEMBL615345,1,16936,Homo sapiens,F,,Intermediate,,388.0,BAO_0000219,
121,80612,9606.0,,1,N,CHEMBL615346,1,16936,Homo sapiens,F,,Intermediate,,388.0,BAO_0000219,
122,80612,9606.0,,1,N,CHEMBL615347,1,17146,Homo sapiens,F,,Intermediate,,388.0,BAO_0000219,
123,80612,9606.0,,1,N,CHEMBL615348,1,17146,Homo sapiens,F,,Intermediate,,388.0,BAO_0000219,
124,80613,9606.0,,1,N,CHEMBL827085,1,10797,Homo sapiens,F,,Intermediate,,561.0,BAO_0000219,
125,80613,9606.0,,1,N,CHEMBL615349,1,10797,Homo sapiens,F,,Intermediate,,561.0,BAO_0000219,
126,80614,9606.0,,1,N,CHEMBL615350,1,10797,Homo sapiens,F,,Intermediate,,389.0,BAO_0000219,
127,80614,9606.0,,1,N,CHEMBL615351,1,10797,Homo sapiens,F,,Intermediate,,389.0,BAO_0000219,
128,100256,9606.0,,2,S,CHEMBL615352,1,4823,Homo sapiens,B,,Expert,,,BAO_0000220,
129,100256,9606.0,,2,S,CHEMBL615353,1,12912,Homo sapiens,B,,Intermediate,,,BAO_0000220,
130,100256,,,2,S,CHEMBL615354,1,2957,,B,,Expert,,,BAO_0000220,
131,100256,,,2,S,CHEMBL615355,1,2957,,B,,Expert,,,BAO_0000220,
132,100256,,,2,S,CHEMBL615356,1,3260,,B,,Intermediate,,,BAO_0000220,
133,22226,9606.0,,0,U,CHEMBL615357,1,3451,Homo sapiens,B,,Autocuration,,,BAO_0000019,
134,81020,9606.0,,1,N,CHEMBL615358,1,13885,Homo sapiens,F,,Intermediate,,726.0,BAO_0000219,
135,81020,9606.0,,1,N,CHEMBL827086,1,13885,Homo sapiens,F,,Intermediate,,726.0,BAO_0000219,
136,22226,,,0,U,CHEMBL615359,1,3676,,B,,Autocuration,,,BAO_0000019,
137,235,,,8,H,CHEMBL615360,1,6043,,B,,Autocuration,,,BAO_0000357,
138,22226,10116.0,,0,U,CHEMBL615361,1,11140,Rattus norvegicus,F,,Autocuration,,,BAO_0000218,948.0
139,19640,,,8,H,CHEMBL615362,1,10543,,F,,Autocuration,,,BAO_0000019,
140,19640,,,8,H,CHEMBL615363,1,10543,,F,,Expert,,,BAO_0000019,
141,19640,,,8,H,CHEMBL615364,1,10543,,B,,Autocuration,,,BAO_0000357,
142,19640,,,8,H,CHEMBL615365,1,10543,,F,,Expert,,,BAO_0000019,
143,80360,10090.0,,1,N,CHEMBL615366,1,11365,Mus musculus,F,,Intermediate,,524.0,BAO_0000219,
144,80360,10090.0,,1,N,CHEMBL615367,1,11365,Mus musculus,F,,Intermediate,,524.0,BAO_0000219,
145,80384,9606.0,,1,N,CHEMBL615368,1,11803,Homo sapiens,F,,Intermediate,,554.0,BAO_0000219,
146,22226,9940.0,,0,U,CHEMBL615369,1,11803,Ovis aries,F,,Autocuration,,,BAO_0000019,
147,22226,9940.0,,0,U,CHEMBL615370,1,11803,Ovis aries,F,,Autocuration,,,BAO_0000019,
148,191,,,8,H,CHEMBL615673,1,12278,,B,,Autocuration,,,BAO_0000357,
149,22226,9606.0,,0,U,CHEMBL615674,1,8249,Homo sapiens,F,,Autocuration,,,BAO_0000019,
150,22226,9606.0,,0,U,CHEMBL615675,1,8249,Homo sapiens,F,,Autocuration,,,BAO_0000019,
151,22226,9606.0,,0,U,CHEMBL615676,1,8249,Homo sapiens,F,,Autocuration,,635.0,BAO_0000219,
152,22226,9606.0,,0,U,CHEMBL615677,1,8249,Homo sapiens,F,,Autocuration,,635.0,BAO_0000219,
153,22226,9606.0,,0,U,CHEMBL615678,1,8249,Homo sapiens,F,,Autocuration,,635.0,BAO_0000219,
154,22226,9606.0,,0,U,CHEMBL615679,1,8249,Homo sapiens,F,,Autocuration,,635.0,BAO_0000219,
155,22226,9606.0,,0,U,CHEMBL615680,1,8249,Homo sapiens,F,,Autocuration,,,BAO_0000019,
156,22226,9606.0,,0,U,CHEMBL615681,1,8249,Homo sapiens,F,,Autocuration,,,BAO_0000019,
157,104290,,,6,H,CHEMBL857972,1,16992,,B,,Autocuration,,,BAO_0000249,
158,50264,1314.0,,1,N,CHEMBL857899,1,10543,Streptococcus pyogenes,F,,Intermediate,,,BAO_0000218,
159,50527,10335.0,,1,N,CHEMBL615371,1,17833,Human herpesvirus 3,F,,Intermediate,,,BAO_0000218,
160,50527,10335.0,,1,N,CHEMBL615372,1,17290,vericilla zoster virus,F,,Expert,,468.0,BAO_0000218,
161,50527,10335.0,,1,N,CHEMBL615373,1,17290,vericilla zoster virus,F,,Intermediate,,,BAO_0000218,
162,50527,10335.0,,1,N,CHEMBL615374,1,17290,vericilla zoster virus,F,,Intermediate,,,BAO_0000218,
163,50145,561.0,,1,N,CHEMBL615375,1,10932,escherichia cloac,F,,Intermediate,,,BAO_0000218,
164,22226,,,0,U,CHEMBL615376,1,9707,,B,,Autocuration,,,BAO_0000019,
165,11143,5476.0,,8,H,CHEMBL615377,1,2346,Candida albicans,B,,Expert,,,BAO_0000249,
166,18077,284593.0,,8,H,CHEMBL615378,1,2205,Candida glabrata CBS 138,B,,Expert,,,BAO_0000357,
167,80609,9606.0,,1,N,CHEMBL615379,1,11900,Homo sapiens,F,,Intermediate,,832.0,BAO_0000219,
168,12166,10116.0,,9,D,CHEMBL615380,1,14864,Rattus norvegicus,B,,Expert,,,BAO_0000219,
169,100171,3847.0,,9,D,CHEMBL615381,1,16474,Glycine max,B,,Autocuration,,,BAO_0000357,
170,100171,3847.0,,9,D,CHEMBL615382,1,16474,Glycine max,B,,Autocuration,,,BAO_0000357,
171,100171,3847.0,,9,D,CHEMBL615383,1,16474,Glycine max,B,,Autocuration,,,BAO_0000357,
172,100171,3847.0,,9,D,CHEMBL615384,1,16474,Glycine max,B,,Autocuration,,,BAO_0000357,
173,100171,3847.0,,9,D,CHEMBL615385,1,3094,Glycine max,B,,Autocuration,,,BAO_0000357,
174,100171,3847.0,,9,D,CHEMBL615386,1,3094,Glycine max,B,,Autocuration,,,BAO_0000357,
175,100171,3847.0,,9,D,CHEMBL615387,1,3094,Glycine max,B,,Autocuration,,,BAO_0000357,
176,100171,3847.0,,9,D,CHEMBL615388,1,3094,Glycine max,B,,Autocuration,,,BAO_0000357,
177,100171,3847.0,,9,D,CHEMBL615214,1,3094,Glycine max,B,,Autocuration,,,BAO_0000357,
178,100171,3847.0,,9,D,CHEMBL827087,1,3094,Glycine max,B,,Autocuration,,,BAO_0000357,
179,100171,3847.0,,9,D,CHEMBL615215,1,3094,Glycine max,B,,Autocuration,,,BAO_0000357,
180,100171,3847.0,,9,D,CHEMBL615216,1,3094,Glycine max,B,,Autocuration,,,BAO_0000357,
181,100171,3847.0,,9,D,CHEMBL615217,1,3094,Glycine max,B,,Autocuration,,,BAO_0000357,
182,100171,3847.0,,9,D,CHEMBL615218,1,3094,Glycine max,B,,Autocuration,,,BAO_0000357,
183,100171,3847.0,,9,D,CHEMBL615219,1,3094,Glycine max,B,,Autocuration,,,BAO_0000357,
184,22226,10090.0,,0,U,CHEMBL615220,1,10413,Mus musculus,B,,Autocuration,,,BAO_0000019,
185,80049,10090.0,,1,N,CHEMBL615221,1,16929,Mus musculus,F,,Intermediate,,294.0,BAO_0000219,
186,22226,,,0,U,CHEMBL615222,1,1229,,F,,Intermediate,,,BAO_0000019,
187,11489,,,8,H,CHEMBL615223,1,16587,,B,,Autocuration,,,BAO_0000357,
188,11862,,,8,H,CHEMBL615224,1,16587,,B,,Autocuration,,,BAO_0000357,
189,11862,,,8,H,CHEMBL615225,1,16587,,B,,Autocuration,,,BAO_0000357,
190,11489,,,8,H,CHEMBL615226,1,16587,,B,,Autocuration,,,BAO_0000357,
191,11862,,,8,H,CHEMBL615227,1,16587,,B,,Autocuration,,,BAO_0000357,
192,12347,9913.0,,9,D,CHEMBL615228,1,8058,Bos taurus,F,,Expert,,,BAO_0000019,
193,100120,10116.0,,9,D,CHEMBL615229,1,9065,Rattus norvegicus,B,,Expert,,,BAO_0000357,
194,100120,10116.0,,9,D,CHEMBL615230,1,8865,Rattus norvegicus,B,,Expert,,,BAO_0000357,2369.0
195,100120,10116.0,,9,D,CHEMBL615231,1,9066,Rattus norvegicus,B,,Expert,,,BAO_0000357,
196,100120,10116.0,,9,D,CHEMBL884520,1,8394,Rattus norvegicus,B,,Expert,,,BAO_0000357,
197,100120,10116.0,,9,D,CHEMBL615232,1,8394,Rattus norvegicus,B,,Expert,,,BAO_0000357,
198,10328,,,8,H,CHEMBL615233,1,6431,,B,,Autocuration,,,BAO_0000019,
199,11490,,,8,H,CHEMBL827088,1,6431,,B,,Autocuration,,,BAO_0000357,
200,11490,,,8,H,CHEMBL615234,1,6431,,B,,Autocuration,,,BAO_0000357,
201,11134,,,8,H,CHEMBL615235,1,9295,,F,,Autocuration,,,BAO_0000019,
202,12052,,,8,H,CHEMBL615236,1,10193,,B,,Autocuration,,,BAO_0000019,
203,11134,,,8,H,CHEMBL615237,1,13622,,B,,Autocuration,,,BAO_0000019,
204,11134,,,8,H,CHEMBL615238,1,12079,,F,,Autocuration,,,BAO_0000019,
205,11134,,,8,H,CHEMBL615239,1,13622,,B,,Autocuration,,,BAO_0000019,
206,11134,9606.0,,9,D,CHEMBL615240,1,12079,Homo sapiens,F,,Autocuration,,,BAO_0000019,
207,11835,,,8,H,CHEMBL615241,1,13500,,B,,Expert,,,BAO_0000019,
208,11601,,,8,H,CHEMBL615242,1,13723,,B,,Expert,,,BAO_0000357,
209,11134,,,8,H,CHEMBL615243,1,16474,,B,,Autocuration,,,BAO_0000019,
210,11134,,,8,H,CHEMBL615244,1,1630,,B,,Autocuration,,,BAO_0000019,
211,11134,,,8,H,CHEMBL615245,1,167,,B,,Autocuration,,,BAO_0000019,
212,11134,,,8,H,CHEMBL615246,1,16474,,B,,Autocuration,,,BAO_0000019,
213,11134,,,8,H,CHEMBL615247,1,167,,B,,Autocuration,,,BAO_0000019,
214,11134,,,8,H,CHEMBL615248,1,16474,,B,,Autocuration,,,BAO_0000019,
215,11601,,,8,H,CHEMBL615249,1,10091,,B,,Autocuration,,,BAO_0000357,
216,11601,,,8,H,CHEMBL615250,1,11966,,B,,Autocuration,,,BAO_0000357,
217,12052,,,8,H,CHEMBL615251,1,951,,B,,Autocuration,,,BAO_0000019,
218,12052,,,8,H,CHEMBL615252,1,10997,,B,,Autocuration,,,BAO_0000019,
219,12052,,,8,H,CHEMBL828340,1,10193,,B,,Expert,,,BAO_0000019,
220,12052,,,8,H,CHEMBL615253,1,10193,,B,,Autocuration,,,BAO_0000019,
221,12052,,,8,H,CHEMBL615254,1,10193,,B,,Autocuration,,,BAO_0000019,
222,12052,,,8,H,CHEMBL615255,1,10193,,B,,Autocuration,,,BAO_0000019,
223,12052,,,8,H,CHEMBL615256,1,10193,,B,,Autocuration,,,BAO_0000019,
224,12052,,,8,H,CHEMBL615257,1,10193,,B,,Autocuration,,,BAO_0000019,
225,12052,,,8,H,CHEMBL615258,1,11087,,B,,Autocuration,,,BAO_0000019,
226,80007,9606.0,,1,N,CHEMBL615259,1,15569,Homo sapiens,F,,Intermediate,,621.0,BAO_0000219,
227,80007,9606.0,,1,N,CHEMBL615260,1,12989,Homo sapiens,F,,Expert,,621.0,BAO_0000219,
228,80007,9606.0,,1,N,CHEMBL615261,1,16745,Homo sapiens,F,,Intermediate,,621.0,BAO_0000219,
229,80007,9606.0,,1,N,CHEMBL615262,1,15569,Homo sapiens,F,,Intermediate,,621.0,BAO_0000219,
230,80007,9606.0,,1,N,CHEMBL615263,1,12989,Homo sapiens,F,,Expert,,621.0,BAO_0000219,
231,80007,9606.0,,1,N,CHEMBL838393,1,12989,Homo sapiens,F,,Expert,,621.0,BAO_0000219,
232,80007,9606.0,,1,N,CHEMBL615264,1,16745,Homo sapiens,F,,Intermediate,,621.0,BAO_0000219,
233,84,9606.0,,9,D,CHEMBL615265,1,6210,Homo sapiens,B,,Expert,,,BAO_0000357,
234,68,9606.0,,9,D,CHEMBL615266,1,6210,Homo sapiens,B,,Expert,,,BAO_0000357,
235,68,,,8,H,CHEMBL615267,1,6226,,B,,Expert,,,BAO_0000357,
236,10201,,,8,H,CHEMBL615268,1,17855,,B,,Expert,,,BAO_0000357,
237,10201,,,8,H,CHEMBL615269,1,17855,,B,,Expert,,,BAO_0000357,
238,10201,,,8,H,CHEMBL615270,1,17855,,B,,Expert,,,BAO_0000357,
239,12220,,,8,H,CHEMBL615271,1,10413,,B,,Autocuration,,,BAO_0000357,
240,11303,562.0,,8,H,CHEMBL615272,1,10413,Escherichia coli,B,,Autocuration,,,BAO_0000357,
241,11303,562.0,,8,H,CHEMBL615103,1,10413,Escherichia coli,B,,Autocuration,,,BAO_0000357,
242,11303,562.0,,8,H,CHEMBL615104,1,10413,Escherichia coli,B,,Autocuration,,,BAO_0000357,
243,12220,,,8,H,CHEMBL615105,1,10413,,B,,Autocuration,,,BAO_0000357,
244,12220,,,8,H,CHEMBL872866,1,10413,,B,,Autocuration,,,BAO_0000357,
245,11303,9823.0,,8,H,CHEMBL615106,1,7587,Sus scrofa,B,,Autocuration,,,BAO_0000357,
246,11303,9823.0,,8,H,CHEMBL615107,1,7587,Sus scrofa,B,,Autocuration,,,BAO_0000019,
247,11303,9823.0,,8,H,CHEMBL615108,1,7587,Sus scrofa,B,,Autocuration,,,BAO_0000357,
248,11303,9823.0,,8,H,CHEMBL615109,1,7587,Sus scrofa,B,,Autocuration,,,BAO_0000357,
249,11303,9823.0,,8,H,CHEMBL615110,1,7587,Sus scrofa,B,,Autocuration,,,BAO_0000357,
250,11303,9823.0,,8,H,CHEMBL840105,1,7587,Sus scrofa,B,,Autocuration,,,BAO_0000019,
251,11303,9823.0,,8,H,CHEMBL615111,1,7587,Sus scrofa,B,,Autocuration,,,BAO_0000019,
252,11303,9823.0,,8,H,CHEMBL615112,1,7587,Sus scrofa,B,,Autocuration,,,BAO_0000019,
253,11303,9823.0,,8,H,CHEMBL615113,1,7587,Sus scrofa,B,,Autocuration,,,BAO_0000019,
254,11303,9823.0,,8,H,CHEMBL615114,1,7587,Sus scrofa,B,,Autocuration,,,BAO_0000019,
