Fiscal year,Continent ID,Division ID,Disability issues (marker),Youth issues (marker),Branch ID,Gender equality (marker),Project Browser country ID,Organisation class,Continent name,CountryRegion percent,Division name,Status,Participatory development and good governance,CFLI (marker),Organisation type,CountryRegion name,Amount spent,Bilateral aid (international marker),Project number,ICT as a tool for development (marker),Biodiversity (marker),Indigenous issues (marker),Section ID,Regional program (marker),Climate change mitigation (marker),Desertification (marker),Trade development (marker),Urban issues (marker),Children issues (marker),Knowledge for development (marker),Organisation ID,Organisation name,Organisation sub-class,CountryRegion ID,Sector ID,Sector name,Sector percent
2009/2010,2,D5301,0,0,B5100,0,X1,Civil Society,Africa,0.5,MHDInternational Humanitarian Assistance,Closed,1,0,Foreign Non-Profit Making,Africa MC,150000.0,1,M013176001,0,0,0,S5330,0,0,0,0,0,0,1,1002035,International Crisis Group,NGO,X1,72050,Relief co-ordination; protection and support services,1.0
2009/2010,1,D5301,0,0,B5100,0,X2,Civil Society,America,0.1,MHDInternational Humanitarian Assistance,Closed,1,0,Foreign Non-Profit Making,Americas MC,30000.0,1,M013176001,0,0,0,S5330,0,0,0,0,0,0,1,1002035,International Crisis Group,NGO,X2,72050,Relief co-ordination; protection and support services,1.0
2009/2010,3,D5301,0,0,B5100,0,X3,Civil Society,Asia,0.3,MHDInternational Humanitarian Assistance,Closed,1,0,Foreign Non-Profit Making,Asia MC,90000.0,1,M013176001,0,0,0,S5330,0,0,0,0,0,0,1,1002035,International Crisis Group,NGO,X3,72050,Relief co-ordination; protection and support services,1.0
2009/2010,5,D5301,0,0,B5100,0,X4,Civil Society,Europe,0.1,MHDInternational Humanitarian Assistance,Closed,1,0,Foreign Non-Profit Making,Europe MC,30000.0,1,M013176001,0,0,0,S5330,0,0,0,0,0,0,1,1002035,International Crisis Group,NGO,X4,72050,Relief co-ordination; protection and support services,1.0
2009/2010,3,D5301,0,0,B5100,0,YE,Multilateral,Asia,1.0,MHDInternational Humanitarian Assistance,Closed,0,0,Foreign Non-Profit Making,Yemen,500000.0,1,M013177001,0,0,0,S5320,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,UNITED NATIONS,YE,72040,Emergency food aid,1.0
2009/2010,1,D5301,0,0,B5100,0,CO,Multilateral,America,1.0,MHDInternational Humanitarian Assistance,Closed,0,0,Foreign Non-Profit Making,Colombia,1500000.0,1,M013178001,0,0,0,S5320,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,UNITED NATIONS,CO,72040,Emergency food aid,1.0
2009/2010,2,D5301,0,0,B5100,1,TD,Multilateral,Africa,1.0,MHDInternational Humanitarian Assistance,Closed,0,0,Foreign Non-Profit Making,Chad,6500000.0,1,M013180001,0,0,0,S5320,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,UNITED NATIONS,TD,72040,Emergency food aid,1.0
2009/2010,2,D5301,0,0,B5100,0,SD,Multilateral,Africa,1.0,MHDInternational Humanitarian Assistance,Closed,0,0,Foreign Non-Profit Making,Sudan,3950000.0,1,M013181001,0,0,0,S5320,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,UNITED NATIONS,SD,72040,Emergency food aid,1.0
2009/2010,2,D5301,0,0,B5100,1,X1,Multilateral,Africa,0.45,MHDInternational Humanitarian Assistance,Closed,0,0,Foreign Non-Profit Making,Africa MC,6300000.0,0,M013182001,0,0,0,S5330,0,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,UNITED NATIONS,X1,72010,Material relief assistance and services,1.0
2009/2010,1,D5301,0,0,B5100,1,X2,Multilateral,America,0.05,MHDInternational Humanitarian Assistance,Closed,0,0,Foreign Non-Profit Making,Americas MC,700000.0,0,M013182001,0,0,0,S5330,0,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,UNITED NATIONS,X2,72010,Material relief assistance and services,1.0
2009/2010,3,D5301,0,0,B5100,1,X3,Multilateral,Asia,0.45,MHDInternational Humanitarian Assistance,Closed,0,0,Foreign Non-Profit Making,Asia MC,6300000.0,0,M013182001,0,0,0,S5330,0,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,UNITED NATIONS,X3,72010,Material relief assistance and services,1.0
2009/2010,5,D5301,0,0,B5100,1,X4,Multilateral,Europe,0.05,MHDInternational Humanitarian Assistance,Closed,0,0,Foreign Non-Profit Making,Europe MC,700000.0,0,M013182001,0,0,0,S5330,0,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,UNITED NATIONS,X4,72010,Material relief assistance and services,1.0
2009/2010,3,D5301,0,0,B5100,0,X3,Civil Society,Asia,1.0,MHDInternational Humanitarian Assistance,Closed,0,0,Canadian Non-Profit Making,Asia MC,500000.0,1,M013183001,0,0,0,S5320,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,INTERNATIONAL NGO,X3,72010,Material relief assistance and services,1.0
2009/2010,2,D5301,0,0,B5100,0,X1,Multilateral,Africa,0.5,MHDInternational Humanitarian Assistance,Closed,0,0,Foreign Non-Profit Making,Africa MC,1350000.0,1,M013184001,0,0,0,S5320,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,UNITED NATIONS,X1,72050,Relief co-ordination; protection and support services,1.0
2009/2010,1,D5301,0,0,B5100,0,X2,Multilateral,America,0.15,MHDInternational Humanitarian Assistance,Closed,0,0,Foreign Non-Profit Making,Americas MC,405000.0,1,M013184001,0,0,0,S5320,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,UNITED NATIONS,X2,72050,Relief co-ordination; protection and support services,1.0
2009/2010,3,D5301,0,0,B5100,0,X3,Multilateral,Asia,0.3,MHDInternational Humanitarian Assistance,Closed,0,0,Foreign Non-Profit Making,Asia MC,810000.0,1,M013184001,0,0,0,S5320,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,UNITED NATIONS,X3,72050,Relief co-ordination; protection and support services,1.0
2009/2010,5,D5301,0,0,B5100,0,X4,Multilateral,Europe,0.05,MHDInternational Humanitarian Assistance,Closed,0,0,Foreign Non-Profit Making,Europe MC,135000.0,1,M013184001,0,0,0,S5320,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,UNITED NATIONS,X4,72050,Relief co-ordination; protection and support services,1.0
2009/2010,3,D5430,0,0,B5100,1,AF,Multilateral,Asia,0.0065,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Afghanistan,39000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,AF,31110,Agricultural policy and administrative management,0.2
2009/2010,3,D5430,0,0,B5100,1,AF,Multilateral,Asia,0.0065,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Afghanistan,39000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,AF,31120,Agricultural development,0.2
2009/2010,3,D5430,0,0,B5100,1,AF,Multilateral,Asia,0.0065,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Afghanistan,19500.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,AF,31150,Agricultural inputs,0.1
2009/2010,3,D5430,0,0,B5100,1,AF,Multilateral,Asia,0.0065,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Afghanistan,19500.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,AF,31161,Food crop production,0.1
2009/2010,3,D5430,0,0,B5100,1,AF,Multilateral,Asia,0.0065,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Afghanistan,19500.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,AF,31166,Agricultural extension,0.1
2009/2010,3,D5430,0,0,B5100,1,AF,Multilateral,Asia,0.0065,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Afghanistan,19500.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,AF,31182,Agricultural research,0.1
2009/2010,3,D5430,0,0,B5100,1,AF,Multilateral,Asia,0.0065,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Afghanistan,19500.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,AF,31191,Agricultural services,0.1
2009/2010,3,D5430,0,0,B5100,1,AF,Multilateral,Asia,0.0065,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Afghanistan,19500.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,AF,31193,Agricultural financial services,0.1
2009/2010,3,D5430,0,0,B5100,1,BD,Multilateral,Asia,0.105,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Bangladesh,630000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BD,31110,Agricultural policy and administrative management,0.2
2009/2010,3,D5430,0,0,B5100,1,BD,Multilateral,Asia,0.105,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Bangladesh,630000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BD,31120,Agricultural development,0.2
2009/2010,3,D5430,0,0,B5100,1,BD,Multilateral,Asia,0.105,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Bangladesh,315000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BD,31150,Agricultural inputs,0.1
2009/2010,3,D5430,0,0,B5100,1,BD,Multilateral,Asia,0.105,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Bangladesh,315000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BD,31161,Food crop production,0.1
2009/2010,3,D5430,0,0,B5100,1,BD,Multilateral,Asia,0.105,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Bangladesh,315000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BD,31166,Agricultural extension,0.1
2009/2010,3,D5430,0,0,B5100,1,BD,Multilateral,Asia,0.105,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Bangladesh,315000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BD,31182,Agricultural research,0.1
2009/2010,3,D5430,0,0,B5100,1,BD,Multilateral,Asia,0.105,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Bangladesh,315000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BD,31191,Agricultural services,0.1
2009/2010,3,D5430,0,0,B5100,1,BD,Multilateral,Asia,0.105,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Bangladesh,315000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BD,31193,Agricultural financial services,0.1
2009/2010,2,D5430,0,0,B5100,1,BI,Multilateral,Africa,0.0081,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Burundi,48600.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BI,31110,Agricultural policy and administrative management,0.2
2009/2010,2,D5430,0,0,B5100,1,BI,Multilateral,Africa,0.0081,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Burundi,48600.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BI,31120,Agricultural development,0.2
2009/2010,2,D5430,0,0,B5100,1,BI,Multilateral,Africa,0.0081,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Burundi,24300.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BI,31150,Agricultural inputs,0.1
2009/2010,2,D5430,0,0,B5100,1,BI,Multilateral,Africa,0.0081,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Burundi,24300.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BI,31161,Food crop production,0.1
2009/2010,2,D5430,0,0,B5100,1,BI,Multilateral,Africa,0.0081,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Burundi,24300.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BI,31166,Agricultural extension,0.1
2009/2010,2,D5430,0,0,B5100,1,BI,Multilateral,Africa,0.0081,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Burundi,24300.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BI,31182,Agricultural research,0.1
2009/2010,2,D5430,0,0,B5100,1,BI,Multilateral,Africa,0.0081,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Burundi,24300.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BI,31191,Agricultural services,0.1
2009/2010,2,D5430,0,0,B5100,1,BI,Multilateral,Africa,0.0081,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Burundi,24300.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BI,31193,Agricultural financial services,0.1
2009/2010,2,D5430,0,0,B5100,1,BJ,Multilateral,Africa,0.0073,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Benin,43800.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BJ,31110,Agricultural policy and administrative management,0.2
2009/2010,2,D5430,0,0,B5100,1,BJ,Multilateral,Africa,0.0073,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Benin,43800.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BJ,31120,Agricultural development,0.2
2009/2010,2,D5430,0,0,B5100,1,BJ,Multilateral,Africa,0.0073,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Benin,21900.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BJ,31150,Agricultural inputs,0.1
2009/2010,2,D5430,0,0,B5100,1,BJ,Multilateral,Africa,0.0073,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Benin,21900.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BJ,31161,Food crop production,0.1
2009/2010,2,D5430,0,0,B5100,1,BJ,Multilateral,Africa,0.0073,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Benin,21900.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BJ,31166,Agricultural extension,0.1
2009/2010,2,D5430,0,0,B5100,1,BJ,Multilateral,Africa,0.0073,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Benin,21900.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BJ,31182,Agricultural research,0.1
2009/2010,2,D5430,0,0,B5100,1,BJ,Multilateral,Africa,0.0073,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Benin,21900.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BJ,31191,Agricultural services,0.1
2009/2010,2,D5430,0,0,B5100,1,BJ,Multilateral,Africa,0.0073,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Benin,21900.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,BJ,31193,Agricultural financial services,0.1
2009/2010,2,D5430,0,0,B5100,1,CF,Multilateral,Africa,0.0057,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Central Afr.Rep,34200.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,CF,31110,Agricultural policy and administrative management,0.2
2009/2010,2,D5430,0,0,B5100,1,CF,Multilateral,Africa,0.0057,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Central Afr.Rep,34200.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,CF,31120,Agricultural development,0.2
2009/2010,2,D5430,0,0,B5100,1,CF,Multilateral,Africa,0.0057,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Central Afr.Rep,17100.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,CF,31150,Agricultural inputs,0.1
2009/2010,2,D5430,0,0,B5100,1,CF,Multilateral,Africa,0.0057,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Central Afr.Rep,17100.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,CF,31161,Food crop production,0.1
2009/2010,2,D5430,0,0,B5100,1,CF,Multilateral,Africa,0.0057,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Central Afr.Rep,17100.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,CF,31166,Agricultural extension,0.1
2009/2010,2,D5430,0,0,B5100,1,CF,Multilateral,Africa,0.0057,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Central Afr.Rep,17100.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,CF,31182,Agricultural research,0.1
2009/2010,2,D5430,0,0,B5100,1,CF,Multilateral,Africa,0.0057,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Central Afr.Rep,17100.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,CF,31191,Agricultural services,0.1
2009/2010,2,D5430,0,0,B5100,1,CF,Multilateral,Africa,0.0057,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Central Afr.Rep,17100.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,CF,31193,Agricultural financial services,0.1
2009/2010,2,D5430,0,0,B5100,1,DJ,Multilateral,Africa,0.004,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Djibouti,24000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,DJ,31110,Agricultural policy and administrative management,0.2
2009/2010,2,D5430,0,0,B5100,1,DJ,Multilateral,Africa,0.004,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Djibouti,24000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,DJ,31120,Agricultural development,0.2
2009/2010,2,D5430,0,0,B5100,1,DJ,Multilateral,Africa,0.004,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Djibouti,12000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,DJ,31150,Agricultural inputs,0.1
2009/2010,2,D5430,0,0,B5100,1,DJ,Multilateral,Africa,0.004,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Djibouti,12000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,DJ,31161,Food crop production,0.1
2009/2010,2,D5430,0,0,B5100,1,DJ,Multilateral,Africa,0.004,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Djibouti,12000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,DJ,31166,Agricultural extension,0.1
2009/2010,2,D5430,0,0,B5100,1,DJ,Multilateral,Africa,0.004,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Djibouti,12000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,DJ,31182,Agricultural research,0.1
2009/2010,2,D5430,0,0,B5100,1,DJ,Multilateral,Africa,0.004,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Djibouti,12000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,DJ,31191,Agricultural services,0.1
2009/2010,2,D5430,0,0,B5100,1,DJ,Multilateral,Africa,0.004,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Djibouti,12000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,DJ,31193,Agricultural financial services,0.1
2009/2010,2,D5430,0,0,B5100,1,ET,Multilateral,Africa,0.222,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Ethiopia,1332000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,ET,31110,Agricultural policy and administrative management,0.2
2009/2010,2,D5430,0,0,B5100,1,ET,Multilateral,Africa,0.222,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Ethiopia,1332000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,ET,31120,Agricultural development,0.2
2009/2010,2,D5430,0,0,B5100,1,ET,Multilateral,Africa,0.222,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Ethiopia,666000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,ET,31150,Agricultural inputs,0.1
2009/2010,2,D5430,0,0,B5100,1,ET,Multilateral,Africa,0.222,MED Economic Development,Operational,0,0,Foreign Non-Profit Making,Ethiopia,666000.0,1,M013185001,0,0,0,S5460,0,0,0,1,0,0,0,1001306,World Bank,IFI,ET,31161,Food crop production,0.1
