variant_id,relationship_type,assay_type,chembl_id,src_id,confidence_score,assay_tissue,bao_format,description,assay_organism,assay_category,cell_id,assay_cell_type,curated_by,src_assay_id,assay_strain,assay_test_type,assay_id,tissue_id,assay_tax_id,tid,doc_id,assay_subcellular_fraction
,N,A,CHEMBL621129,1,1,Plasma,BAO_0000218,Biological half-life measured in plasma of rat; 22-25,Rattus norvegicus,,,,Intermediate,,,,7555,1969.0,10116.0,50597,2879,
,N,A,CHEMBL621130,1,1,Plasma,BAO_0000218,Biological half-life measured in plasma of rat; 9-16,Rattus norvegicus,,,,Intermediate,,,,7556,1969.0,10116.0,50597,2879,
,N,A,CHEMBL873808,1,1,,BAO_0000218,Compound was evaluated for its half life when administered intravenously in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,7557,,10116.0,50597,3184,
,N,A,CHEMBL876598,1,1,,BAO_0000218,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,Rattus norvegicus,,,,Intermediate,,,In vivo,7558,,10116.0,50597,4891,
,N,A,CHEMBL621131,1,1,,BAO_0000218,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,Rattus norvegicus,,,,Intermediate,,,In vivo,7559,,10116.0,50597,429,
,N,A,CHEMBL621132,1,1,,BAO_0000218,Half life (T1/2) after oral administration in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,7560,,10116.0,50597,5656,
,N,A,CHEMBL621133,1,1,,BAO_0000218,Half life of compound after iv administration of 20 mg/kg dose in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,7561,,10116.0,50597,4413,
,N,A,CHEMBL621312,1,1,,BAO_0000218,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,Rattus norvegicus,,,,Expert,,,In vivo,7562,,10116.0,50597,3598,
,N,A,CHEMBL621313,1,1,,BAO_0000218,Half life of compound was determined in rat,Rattus norvegicus,,,,Intermediate,,,,7563,,10116.0,50597,17267,
,N,A,CHEMBL621314,1,1,Blood,BAO_0000218,Half life of compound was determined in rat blood,Rattus norvegicus,,,,Intermediate,,,,7564,178.0,10116.0,50597,4727,
,N,A,CHEMBL621315,1,1,,BAO_0000218,Half life at 1 mg/kg was determined in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,7565,,10116.0,50597,17651,
,N,A,CHEMBL621316,1,1,,BAO_0000218,Half life at 10 mg/kg was determined in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,7566,,10116.0,50597,17651,
,N,A,CHEMBL621317,1,1,,BAO_0000218,Half life in rats,Rattus norvegicus,,,,Intermediate,,,,7567,,10116.0,50597,401,
,N,A,CHEMBL621318,1,1,,BAO_0000218,Half life in rats in hours,Rattus norvegicus,,,,Intermediate,,,,7568,,10116.0,50597,4942,
,N,A,CHEMBL621319,1,1,,BAO_0000218,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,Rattus norvegicus,,,,Intermediate,,,In vivo,7569,,10116.0,50597,17735,
,N,A,CHEMBL621377,1,1,,BAO_0000218,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,Rattus norvegicus,,,,Intermediate,,,In vivo,7570,,10116.0,50597,6056,
,N,A,CHEMBL621378,1,1,,BAO_0000218,Half life was determined,Rattus norvegicus,,,,Intermediate,,,,7571,,10116.0,50597,5213,
,N,A,CHEMBL876599,1,1,,BAO_0000218,Half life after i.v. administration,Rattus norvegicus,,,,Intermediate,,,In vivo,7572,,10116.0,50597,6616,
,N,A,CHEMBL621379,1,1,,BAO_0000218,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,Rattus norvegicus,,,,Intermediate,,,In vivo,7573,,10116.0,50597,5937,
,N,A,CHEMBL621380,1,1,Plasma,BAO_0000218,Half life in rat plasma,Rattus norvegicus,,,,Intermediate,,,,7574,1969.0,10116.0,50597,5819,
,N,A,CHEMBL621381,1,1,Plasma,BAO_0000218,Half life in rat plasma; Not detected,Rattus norvegicus,,,,Intermediate,,,,7575,1969.0,10116.0,50597,5819,
,N,A,CHEMBL618515,1,1,,BAO_0000218,Half life in rats,Rattus norvegicus,,,,Intermediate,,,,7576,,10116.0,50597,6803,
,N,A,CHEMBL618516,1,1,,BAO_0000218,Half life period of compound was determined after peroral administration,Rattus norvegicus,,,,Intermediate,,,In vivo,7577,,10116.0,50597,17804,
,N,A,CHEMBL618517,1,1,,BAO_0000218,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,Rattus norvegicus,,,,Intermediate,,,In vivo,7578,,10116.0,50597,17804,
,N,A,CHEMBL618518,1,1,,BAO_0000218,Half life period in rat,Rattus norvegicus,,,,Intermediate,,,,7579,,10116.0,50597,5948,
,N,A,CHEMBL618519,1,1,,BAO_0000218,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,Rattus norvegicus,,,,Intermediate,,,In vivo,7580,,10116.0,50597,1916,
,N,A,CHEMBL618698,1,1,,BAO_0000218,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,Rattus norvegicus,,,,Intermediate,,,In vivo,7581,,10116.0,50597,1916,
,N,A,CHEMBL618862,1,1,,BAO_0000218,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,Rattus norvegicus,,,,Intermediate,,,In vivo,7582,,10116.0,50597,1916,
,N,A,CHEMBL618863,1,1,,BAO_0000218,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,Rattus norvegicus,,,,Intermediate,,,In vivo,7583,,10116.0,50597,4890,
,N,A,CHEMBL618864,1,1,,BAO_0000218,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,Rattus norvegicus,,,,Intermediate,,,In vivo,7584,,10116.0,50597,17764,
,N,A,CHEMBL618865,1,1,,BAO_0000218,Half life time in rat the dose of 2 mg/kg,Rattus norvegicus,,,,Intermediate,,,In vivo,7585,,10116.0,50597,4727,
,N,A,CHEMBL618866,1,1,,BAO_0000218,Half-life 24 hr after 10 mg/kg iv administration in rats,Rattus norvegicus,,,,Intermediate,,,In vivo,7586,,10116.0,50597,17509,
,N,A,CHEMBL618867,1,1,,BAO_0000218,Half-life 24 hr after 2 mg/kg iv administration in rats,Rattus norvegicus,,,,Intermediate,,,In vivo,7587,,10116.0,50597,17509,
,N,A,CHEMBL875828,1,1,,BAO_0000218,Half-life consistent with the observed metabolic steady state in rats,Rattus norvegicus,,,,Intermediate,,,,7588,,10116.0,50597,6597,
,N,A,CHEMBL618868,1,1,,BAO_0000218,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,Rattus norvegicus,,,,Intermediate,,,In vivo,7589,,10116.0,50597,17735,
,N,A,CHEMBL618869,1,1,,BAO_0000218,Half-life for oxidative metabolic stability was determined using male human,Rattus norvegicus,,,,Intermediate,,,,7590,,10116.0,50597,6597,
,N,A,CHEMBL618870,1,1,,BAO_0000218,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",Rattus norvegicus,,,,Intermediate,,,In vivo,7591,,10116.0,50597,17670,
,N,A,CHEMBL618871,1,1,Plasma,BAO_0000218,Half-life in rat plasma,Rattus norvegicus,,,,Intermediate,,,,7592,1969.0,10116.0,50597,1696,
,N,A,CHEMBL618872,1,1,Plasma,BAO_0000218,Half-life in rat plasma was determined,Rattus norvegicus,,,,Intermediate,,,,7593,1969.0,10116.0,50597,1742,
,N,A,CHEMBL873816,1,1,,BAO_0000218,Half-life in rats was determined,Rattus norvegicus,,,,Intermediate,,,,7594,,10116.0,50597,17800,
,U,A,CHEMBL618873,1,0,,BAO_0000218,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,,,,,Autocuration,,,,7595,,,22224,12923,
,U,A,CHEMBL621602,1,0,,BAO_0000019,Area under curve after oral dose of 0.1 mg//kg,,,,,Autocuration,,,,7596,,,22224,11954,
,U,A,CHEMBL621603,1,0,,BAO_0000218,Area under curve after oral dose of 0.3 mg/kg,,,,,Autocuration,,,,7597,,,22224,11954,
,U,A,CHEMBL621604,1,0,,BAO_0000218,Area under curve after oral dose of 1 mg/kg,,,,,Autocuration,,,,7598,,,22224,11954,
,U,A,CHEMBL621605,1,0,,BAO_0000218,Area under curve after oral dose of 10 mg/kg,,,,,Autocuration,,,,7599,,,22224,11954,
,U,A,CHEMBL621606,1,0,,BAO_0000218,Area under curve after oral dose of 23.4 mg/kg,,,,,Autocuration,,,,7600,,,22224,11954,
,U,A,CHEMBL621607,1,0,,BAO_0000218,Area under curve after oral dose of 3 mg/kg,,,,,Autocuration,,,,7601,,,22224,11954,
,U,A,CHEMBL621608,1,0,,BAO_0000218,Area under curve after oral dose of 3.87 mg/kg,,,,,Autocuration,,,,7602,,,22224,11954,
,U,A,CHEMBL621609,1,0,,BAO_0000019,Area under curve was determined,,,,,Autocuration,,,,7603,,,22224,5237,
,U,A,CHEMBL621610,1,0,,BAO_0000218,Area under curve at a dose of 10 mg/kg,,,,,Autocuration,,,,7604,,,22224,4026,
,N,A,CHEMBL621611,1,1,,BAO_0000218,Area under curve was determined; ND=No data,Rattus norvegicus,,,,Intermediate,,,,7605,,10116.0,50597,5237,
,N,A,CHEMBL621612,1,1,,BAO_0000218,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,Rattus norvegicus,,,,Intermediate,,,,7606,,10116.0,50597,14793,
,N,A,CHEMBL622308,1,1,,BAO_0000218,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,Rattus norvegicus,,,,Intermediate,,,,7607,,10116.0,50597,14793,
,N,A,CHEMBL622309,1,1,,BAO_0000218,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,Rattus norvegicus,,,,Intermediate,,,,7608,,10116.0,50597,14793,
,N,A,CHEMBL622310,1,1,,BAO_0000218,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,Rattus norvegicus,,,,Intermediate,,,,7609,,10116.0,50597,14793,
,N,A,CHEMBL622311,1,1,,BAO_0000218,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,Rattus norvegicus,,,,Intermediate,,,,7610,,10116.0,50597,14793,
,N,A,CHEMBL622312,1,1,,BAO_0000218,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,Rattus norvegicus,,,,Intermediate,,,,7611,,10116.0,50597,14793,
,N,A,CHEMBL622931,1,1,,BAO_0000218,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,Rattus norvegicus,,,,Intermediate,,,,7612,,10116.0,50597,14793,
,N,A,CHEMBL622932,1,1,,BAO_0000218,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,Rattus norvegicus,,,,Intermediate,,,,7613,,10116.0,50597,14793,
,N,A,CHEMBL622736,1,1,Plasma,BAO_0000218,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,Rattus norvegicus,,,,Intermediate,,,,7614,1969.0,10116.0,50597,14793,
,N,A,CHEMBL622737,1,1,Plasma,BAO_0000218,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,Rattus norvegicus,,,,Intermediate,,,,7615,1969.0,10116.0,50597,14793,
,N,A,CHEMBL622738,1,1,Plasma,BAO_0000218,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,Rattus norvegicus,,,,Intermediate,,,,7616,1969.0,10116.0,50597,14793,
,N,A,CHEMBL622739,1,1,Plasma,BAO_0000218,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,Rattus norvegicus,,,,Intermediate,,,,7617,1969.0,10116.0,50597,14793,
,N,A,CHEMBL622740,1,1,Plasma,BAO_0000218,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,Rattus norvegicus,,,,Intermediate,,,,7618,1969.0,10116.0,50597,14793,
,N,A,CHEMBL622741,1,1,Plasma,BAO_0000218,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,Rattus norvegicus,,,,Intermediate,,,,7619,1969.0,10116.0,50597,14793,
,N,A,CHEMBL622742,1,1,Plasma,BAO_0000218,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,Rattus norvegicus,,,,Intermediate,,,,7620,1969.0,10116.0,50597,14793,
,N,A,CHEMBL622743,1,1,Plasma,BAO_0000218,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,Rattus norvegicus,,,,Intermediate,,,,7621,1969.0,10116.0,50597,14793,
,N,A,CHEMBL622744,1,1,Plasma,BAO_0000218,AUC in mice,Mus musculus,,,,Intermediate,,,,7622,1969.0,10090.0,50594,11637,
,U,A,CHEMBL624134,1,0,,BAO_0000019,Area under curve was measured from the graph obtained from concentration Vs time,,,,,Autocuration,,,,7623,,,22224,11149,
,U,A,CHEMBL624135,1,0,,BAO_0000019,Area under curve value of compound per hour after oral administration,,,,,Autocuration,,,,7624,,,22224,10016,
,N,A,CHEMBL624136,1,1,,BAO_0000218,Area under curve was determined after oral administration in rats,Rattus norvegicus,,,,Intermediate,,,,7625,,10116.0,50597,17796,
,N,A,CHEMBL624137,1,1,,BAO_0000218,Area under curve was determined after oral administration in rats; No data,Rattus norvegicus,,,,Intermediate,,,,7626,,10116.0,50597,17796,
,N,A,CHEMBL624320,1,1,,BAO_0000218,Area under curve was determined after oral administration in rats;No data,Rattus norvegicus,,,,Intermediate,,,,7627,,10116.0,50597,17796,
,N,A,CHEMBL624321,1,1,,BAO_0000218,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,Canis lupus familiaris,,,,Intermediate,,,,7628,,9615.0,50588,12923,
,N,A,CHEMBL624322,1,1,,BAO_0000218,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,Rattus norvegicus,,,,Intermediate,,,,7629,,10116.0,50597,15372,
,N,A,CHEMBL624323,1,1,,BAO_0000218,Area under curve was determined for the compound after iv dose of 5.06 in rats,Rattus norvegicus,,,,Intermediate,,,,7630,,10116.0,50597,15372,
,N,A,CHEMBL624324,1,1,,BAO_0000218,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,Rattus norvegicus,,,,Intermediate,,,,7631,,10116.0,50597,15372,
,N,A,CHEMBL624325,1,1,,BAO_0000218,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,Rattus norvegicus,,,,Intermediate,,,,7632,,10116.0,50597,15372,
,N,A,CHEMBL624326,1,1,,BAO_0000218,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,Rattus norvegicus,,,,Intermediate,,,,7633,,10116.0,50597,15372,
,N,A,CHEMBL624327,1,1,,BAO_0000218,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,Rattus norvegicus,,,,Intermediate,,,,7634,,10116.0,50597,15372,
,N,A,CHEMBL624328,1,1,,BAO_0000218,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,Rattus norvegicus,,,,Intermediate,,,,7635,,10116.0,50597,15372,
,N,A,CHEMBL627848,1,1,,BAO_0000218,Area under curve was determined in Dogs after peroral administration,Canis lupus familiaris,,,,Intermediate,,,,7636,,9615.0,50588,14169,
,N,A,CHEMBL627849,1,1,,BAO_0000218,Area under curve was determined in Rats after peroral administration,Rattus norvegicus,,,,Intermediate,,,,7637,,10116.0,50597,14169,
,N,A,CHEMBL627850,1,1,,BAO_0000218,Area under curve was determined in carotid blood of rat when administered intradermally,Rattus norvegicus,,,,Intermediate,,,,7638,,10116.0,50597,14258,
,N,A,CHEMBL627851,1,1,,BAO_0000218,Area under curve was determined in portal blood of rat when administered intradermally,Rattus norvegicus,,,,Intermediate,,,,7639,,10116.0,50597,14258,
,N,A,CHEMBL627852,1,1,,BAO_0000218,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,Mus musculus,,,,Intermediate,,,,7640,,10090.0,50594,15011,
,N,A,CHEMBL627853,1,1,,BAO_0000218,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,Mus musculus,,,,Intermediate,,,,7641,,10090.0,50594,15011,
,N,A,CHEMBL627854,1,1,,BAO_0000218,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),Mus musculus,,,,Intermediate,,,,7642,,10090.0,50594,15011,
,N,A,CHEMBL627855,1,1,,BAO_0000218,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,Mus musculus,,,,Intermediate,,,,7643,,10090.0,50594,15011,
,N,A,CHEMBL627856,1,1,,BAO_0000218,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),Mus musculus,,,,Intermediate,,,,7644,,10090.0,50594,15011,
,N,A,CHEMBL875339,1,1,,BAO_0000218,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,Mus musculus,,,,Intermediate,,,,7645,,10090.0,50594,15011,
,N,A,CHEMBL627857,1,1,,BAO_0000218,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),Mus musculus,,,,Intermediate,,,,7646,,10090.0,50594,15011,
,N,A,CHEMBL627858,1,1,Spleen,BAO_0000218,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,Rattus norvegicus,,,,Intermediate,,,In vivo,7647,2106.0,10116.0,50597,11195,
,N,A,CHEMBL627859,1,1,Blood,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,Rattus norvegicus,,,,Intermediate,,,,7648,178.0,10116.0,50597,10130,
,N,A,CHEMBL627860,1,1,Brain,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,Rattus norvegicus,,,,Intermediate,,,,7649,955.0,10116.0,50597,10130,
,N,A,CHEMBL627019,1,1,Heart,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,Rattus norvegicus,,,,Intermediate,,,,7650,948.0,10116.0,50597,10130,
,N,A,CHEMBL627020,1,1,Liver,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,Rattus norvegicus,,,,Intermediate,,,,7651,2107.0,10116.0,50597,10130,
,N,A,CHEMBL627021,1,1,Lung,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,Rattus norvegicus,,,,Intermediate,,,,7652,2048.0,10116.0,50597,10130,
,N,A,CHEMBL627022,1,1,Muscle tissue,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,Rattus norvegicus,,,,Intermediate,,,,7653,2385.0,10116.0,50597,10130,
,N,A,CHEMBL627023,1,1,,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,Rattus norvegicus,,,,Intermediate,,,,7654,,10116.0,50597,10130,
,N,A,CHEMBL627024,1,1,Spleen,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,Rattus norvegicus,,,,Intermediate,,,,7655,2106.0,10116.0,50597,10130,
,N,A,CHEMBL627025,1,1,Thyroid gland,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,Rattus norvegicus,,,,Intermediate,,,,7656,2046.0,10116.0,50597,10130,
,N,A,CHEMBL627026,1,1,Kidney,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,Rattus norvegicus,,,,Intermediate,,,,7657,2113.0,10116.0,50597,10130,
,N,A,CHEMBL627027,1,1,Blood,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,Rattus norvegicus,,,,Intermediate,,,,7658,178.0,10116.0,50597,10130,
,N,A,CHEMBL627028,1,1,Brain,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,Rattus norvegicus,,,,Intermediate,,,,7659,955.0,10116.0,50597,10130,
,N,A,CHEMBL627029,1,1,Heart,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,Rattus norvegicus,,,,Intermediate,,,,7660,948.0,10116.0,50597,10130,
,N,A,CHEMBL627030,1,1,Kidney,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,Rattus norvegicus,,,,Intermediate,,,,7661,2113.0,10116.0,50597,10130,
,N,A,CHEMBL627031,1,1,Liver,BAO_0000218,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,Rattus norvegicus,,,,Intermediate,,,,7662,2107.0,10116.0,50597,10130,
