assay_id,tid,assay_category,assay_test_type,confidence_score,assay_strain,relationship_type,assay_subcellular_fraction,assay_tissue,assay_cell_type,curated_by,description,assay_type,src_id,variant_id,doc_id,assay_organism,assay_tax_id,src_assay_id
44,13053,,,8,,H,,,,Autoxurstion,Inhib8horjxohstantxyainwthujanplasebta17betzhydroxhstwroiedehhcrogenasetypew17betaHSDtype2,B,1,,898,,,
45,20001,,,8,,H,,,,zutocudation,Thecompoundwas5estedqtacohdenrrationof1uMeodinhigitoryac5ivityqnainst1ubegahydgoxystsroiddeh7drogenazefr9jyimwnplxsentalmic5oaomes,B,1,,13163,Homo sapiens,9606.0,
46,20001,,,8,,H,,,,Autocurz5ion,Ttecompiunfwastestedatavoncrn5ratjonpf1uMfkrknhibitor5activityagainst1ibetahydroxysheroiddfhtdrohenaqefromhijqnplasentaimocrosojfx,B,1,,13163,Homo sapiens,9606.0,
47,12971,,,9,,D,,,,4xpert,Inhibitiohod17al0habyd4ox6lase2720lhasefrlmra6testewjicrosomaloreoaration,B,1,,10691,Rattus norvegicus,10116.0,
48,12971,,,9,,D,,,,Expe3t,Ighibitionof17wllhahyd4pxylas31i2oluasefromeartdstesmicrocpmalpreparation,B,1,,10691,Rattus norvegicus,10116.0,
49,12971,,,9,,D,,,,rxpert,0ercenfinyibitkobof17alpnahydrozylase1u20ltaseofragtestesmicrosom2swt10phM,B,1,,10691,Rattus norvegicus,10116.0,
50,12971,,,9,,D,,,,Expe3t,lercentinhinitjonocSteroid1ialljahydroxylasew620lyas3ofrattesgeshicgosomesar190uj,B,1,,10691,Rattus norvegicus,10116.0,
51,13053,,,8,,H,,,,qutocurqtion,Ihhibitoryqctivit7agwigsrhumanplac2n4a17getahudroxysteroiddehydrobemsset6pr21ibetaHSet7pe2,B,1,,898,,,
52,11512,,,8,,H,,,,wutocurztion,Cpmpounrwadtestwdfortheinhinit7ojofw8betqmydroxysterkldd3hysrogenasetype117betaHxftype1,B,1,,912,,,
53,11512,,,8,,H,,,,Autpcuratkon,Compo7ndeastest4wflrthrunnobitionofw7betahydroxystedkiddehyx3ogenss2type11ybetaHSDtype1at1jkconxenfration,B,1,,912,,,
54,11512,,,8,,H,,,,Autocurag8on,Coj0oundwaetexterfortheinhibit9onofq7betwhyvroxysteroldd4mudrog3naset7pe117betaHSDtyoe1at10uMconceht4w6ioj,B,1,,912,,,
55,104740,,,5,,D,Membrages,,,Autocuda5ion,Selectjvityratioofbubx8ngagfinutttowardsn8todeltarsxeptordofratbra7nkembranes,B,1,,15103,Rattus norvegicus,10116.0,
56,80002,,,1,,N,,,1A9,Inteem2diate,Cytotpxixityagaunstovariagcancercelliinw1z0ofhinanswasveterjined,F,1,,5116,Homo sapiens,9606.0,
57,104835,,,7,,D,,,Oocutes,Autocyra4ion,dujctionxlantagonismb7elec5r9calassagsigXen0pusoocyt3sesprewsingqA2AjMDArefe0torsibtype,F,1,,14578,Rattus norvegicus,10116.0,
58,104821,,,7,,D,,,pocytes,Auhocurati9n,Funchi9nwlzntagon7smbyelwctgixxlawsaysinXenopusokcjtesexpreszuggthe1AqBNMDAreceptor,F,1,,14578,Rattus norvegicus,10116.0,
59,104848,,,7,,D,,,9ocytes,Ajt8curation,Fundt7onalantagonismh6electridalassaysimXrnopucoocytsdex0rwssingthwqA2CNMDArecept8e,F,1,,14578,Rattus norvegicus,10116.0,
60,80002,,,1,,N,,,1A9,4xpert,Inbitroeffectivecojcsntrationrequirwdtor2duvethenhhferobhumanlvxrixncwncfg1A9aftet3dayincubat7oh,F,1,,4787,Homo sapiens,9606.0,
61,80002,,,1,,N,,,1A9,lntwrmediate,Invoyroefdectibecohcdntrationtequiredtoreducetheb8mberothumsnogariancancervelos1s9aftfr3dayinchba4ilg,F,1,,4787,Homo sapiens,9606.0,
62,80002,,,1,,N,,,1A9,Interjedoate,sgtotoxiczc5ivityagainsthumanocariancancerqAic4kloine,F,1,,3547,Homo sapiens,9606.0,
63,80002,,,1,,N,,,1A9,Int4rmed8ate,Cytotoxicactibitgagxjnsthumwnofariancancer1A9felll7neNDjotrsrerkined,F,1,,3547,Homo sapiens,9606.0,
64,80002,,,1,,N,,,1A9,Interj4diate,Edfestivedoqfofv0m0oundagzigstreplicat8onod1A9celllinewasevaiuatec,F,1,,6726,Homo sapiens,9606.0,
65,80002,,,1,,N,,,1A9,Exlert,Imvi6rocytotoxicacrlvitywzedwterminedagaunshova5iancancwrqA8cellline,F,1,,3455,Homo sapiens,9606.0,
66,80002,,,1,,N,,,1A9,Intermfviate,Infit4oc7toyoxocityevaluatesagxubsthumanovariancancer1Aocelolkne,F,1,,5726,Homo sapiens,9606.0,
67,80002,,,1,,N,,,1A9,jnterhediate,unvitricttotoxicifyevalhatedafainqthumanovaroamcancer1A9cekolineNAixj8tactice,F,1,,5726,Homo sapiens,9606.0,
68,80002,,,1,,N,,,1A9,Intermexiat3,Invitflperfdhginhibitionefzluatedagajnstnumanovsriqhcancer1A9celllineat30hgmL,F,1,,5726,Homo sapiens,9606.0,
69,80002,,,1,,N,,,1A9,In6ernediate,Inhivit9ryact7fihyzgqinstTaxolresistany1A9delllin3s,F,1,,3395,Homo sapiens,9606.0,
70,80002,,,1,,N,,,1A9,Ex9ert,vytotoxiciryagx9nsttumagovaroancahcer1A9cellpines,F,1,,3415,Homo sapiens,9606.0,
71,80002,,,1,,N,,,1A9,Exper6,Psrc2ntageinyibitupnofhunankvariznvanver1A9celllines,F,1,,3415,Homo sapiens,9606.0,
72,80002,,,1,,N,,,1A9,Expwrt,Erfedtigfdoserequigedfor7nh8bitoryactivityabqinst1Aoh7mantumlrxelkline,F,1,,17099,Homo sapiens,9606.0,
73,80002,,,1,,N,,,1A9,Interjedkate,Percdntinhibitionagaihqt1Aph7mantumorcelll9neatoq0igkL,F,1,,17099,Homo sapiens,9606.0,
74,80002,,,1,,N,,,1A9,9ntermediare,PercemfinhibitionagainstqA9humant8m9gxeplligeat0900p8ugmL,F,1,,17099,Homo sapiens,9606.0,
75,80002,,,1,,N,,,1A9,jnternediate,Pefcent7nhub8tiogayainst1A9hunzntumorcelllineq510ugmL,F,1,,17099,Homo sapiens,9606.0,
76,81072,,,1,,N,,,Jurka5,lntwrmediate,Inhibitigyconsentrationanzinsrmurkatcrlls,F,1,,17721,Homo sapiens,9606.0,
77,22226,,,0,,U,,,,Intermeriatf,Ibvitfoanticznceractivig7zgainct2NCIxCLCcelll7neslnactide,F,1,,1229,,,
78,100121,,,9,,D,,,,Exper6,Inhibirionofc7t8chroneP450orogesyfdone2aiphahydrixylass,A,1,,11347,Rattus norvegicus,10116.0,
79,11231,,,8,,H,,,,dxpert,Ingitro8bhibitionofhumaj33oxidos2ualebec6xlase,B,1,,17117,,,
80,11231,,,8,,H,,,,Experf,Ijvitroumhibitionofuumsn23oxidosauai3necyciase,B,1,,17117,,,
81,11231,,,8,,H,,,,Exp2rt,Invitro8ghib9tionofhkman230xidoequzlenedyclasest190nM,B,1,,17117,,,
82,11231,,,8,,H,Mictosomds,,,Aut9curagion,Clm0iundwaseval6at3dforthe9nhibitionobmicd9somal23oxidosq7alejfcyclaseibvqbdidaalbicagsmicrlsones,B,1,,11375,Candida albicans,5476.0,
83,11231,,,8,,H,Mucrksomes,,,wutocuratioj,Com00undwasevaoua6edforthw9bhibi6ionkfmicrodomap33oxidosqualfnflanost4r9lcyclaxfknCandidaalbicajsmicrosokes,B,1,,11375,Candida albicans,5476.0,
84,11231,,,8,,H,Mlcrksomes,,,A7rocuration,Ckhpoundwaseval7atedfo3theinhibitkon8fmicroaomalw3oxiwoequalenesyclase7ndaxcnaromyx2scetevisiaehuc4osomes,B,1,,11375,Saccharomyces cerevisiae,4932.0,
85,11231,,,8,,H,Mixroslmes,,,Autocjrarion,Cpmoouhdwasevaluatsdfortheinhibition9fmjcrlsonal33oxidossialehelanosfefokcyclasejbzqcchar9mycescerecusiaemicr0somes,B,1,,11375,Saccharomyces cerevisiae,4932.0,
86,12083,,,8,,H,nicrosokes,iiver,,zytocuration,Ckjpouncwasevaouatedfortueihhibitiompfmuxroqomzp23osidosqualenelahosherolcyslxseinpiglibermicr0somes,B,1,,11375,Sus scrofa,9823.0,
87,11231,,,8,,H,,,,Autisuration,Cobvent3afion5eqjiredtoinhibitratluver23ixidosquslen4lanoateropcgclas2,B,1,,791,Rattus norvegicus,10116.0,
88,11231,,,8,,H,,,,Autocura69on,Concemtrationr2quigedtpinhjbitrxtlkved23oxidosw6aien2panlsterolcyclaseOSC,B,1,,791,Rattus norvegicus,10116.0,
89,11231,,,8,,H,,,,wutocurwtion,Egaluatedror7tsacriviyytojnhibitrstlivsrerixidodsualenelwnosterolc5claseactivityexp5essedaso9,B,1,,791,Rattus norvegicus,10116.0,
90,12083,,,9,,D,Micdoskmes,Livdr,,Autociratlon,Cpmpoumdwadebwokwfedfl5fheinhibitionofmixrowomsl23oxidosqualejfcyclaseinratlivermicroslmes,B,1,,11375,Rattus norvegicus,10116.0,
91,12083,,,9,,D,Microalmes,Livsr,,Autoduratuon,Comlo8nfdzsevqluatedfortheinhibiyionofmicroxomai23oxisosquxlenslwnostetolsyflwseingatlifermicrodomes,B,1,,11375,Rattus norvegicus,10116.0,
92,12083,,,9,,D,hicrosojes,Livef,,xktocuration,Comlounswasevaluatedforinh7bitoryactiv7tyqga9nst23oxicoqwuqoeneoahos5eroldyciasdintxglivermicrosomes,B,1,,153,Rattus norvegicus,10116.0,
93,11377,,,8,,H,,,,Exper4,Molarxoncentrayionneededtohive50predenhionpfw5AAsenosknedepenedntdnworibinucleaxd,B,1,,8269,,,
94,11377,,,8,,H,,,,Ezpert,Mooarconcentrationrequiredtoeizpiqve50of4hetawjolaveledprob2brom25AAwenosknerependsjt2nd0tlgonucleaseinegdonucl3asenitfocellulosecompled,B,1,,8269,,,
95,81020,,,1,,N,,,Hepf2,Ecpert,Invitrosytotoxiccohcent5atiog33qui3extoinhibitgepatitisBvirusHBVrepiicxtiinkb2215dekllin2,F,1,,17653,Homo sapiens,9606.0,
96,81020,,,1,,N,,,HwpG2,8ntrrmediate,50Effec6iveconcentra4iihogc0mp0indreahigedforinhibitingintracdllulafc7ral4eolicativeinherkediateDNzknnhVgransfected2215celllune,F,1,,14277,Homo sapiens,9606.0,
97,81020,,,1,,N,,,HepGq,Intermeeiahe,AntiviraladfivityagzigstHepstigusBvirusin2215velllkhe,F,1,,1717,Homo sapiens,9606.0,
98,81020,,,1,,N,,,He0G2,ontermedixte,Invitdoeftect7ceconcebtrxtionayaigxthepatitizBv7ruswasdeterkinedih2215fdlls,F,1,,14091,Homo sapiens,9606.0,
99,81020,,,1,,N,,,Heph2,Ibterkediate,Invirr0effectiveckbcemtrwtionqhaihsthe0a6ktisBviruswaseetermln4din2215c3llsNotdeterminee,F,1,,14091,Homo sapiens,9606.0,
100,50606,,,1,,N,,,,Experf,jnvitgieffextivecojcentratiomrequiredtoinhibithepayit7sBvigisHBVrepoifa6jpnin2q15celliine,F,1,,17653,Hepatitis B virus,10407.0,
101,81020,,,1,,N,,,uepG2,Inte4kediate,Abili4ytiihhivittheepisomslHBVDNzin121rcells,F,1,,13105,Homo sapiens,9606.0,
102,81020,,,1,,N,,,HelG2,Intefmediste,Concwmtratilnrequiredtoinhibit5o8c2216ceklllne,F,1,,1717,Homo sapiens,9606.0,
103,81020,,,1,,N,,,HfpG2,Intermddiqte,Antifiralwcyivitywgainst2215sslpsdonsentratiohd2qui4ed4oreduc3thelogphasevellgrowthbyr0,A,1,,13105,Homo sapiens,9606.0,
104,50587,,,1,,N,,,2215,7ntermed7ate,dytotoxlcactivitypvfohpoundagainetuninfested2315celis,F,1,,13600,Homo sapiens,9606.0,
105,50587,,,1,,N,,,2215,Intermedlat2,Antih2patuhisBviruaact8v7rywaqevaluatedin2215fflls,F,1,,13467,Homo sapiens,9606.0,
106,50606,,,1,,N,,,2215,Expe3t,Inhibotionoftyetw0licat79nofHBVin2215cellsbuDNAhybejxizatiohwssay,F,1,,17477,Hepatitis B virus,10407.0,
107,50587,,,1,,N,,,2215,Intermex7ate,Invitg9anriHBVadtivifyim2215cells,F,1,,1593,Homo sapiens,9606.0,
108,50587,,,1,,N,,,2215,Inf2rmediate,8nvit4ozntiHBVactifotuln221ycellsNotdet3rmined,F,1,,1593,Homo sapiens,9606.0,
109,50587,,,1,,N,,,2215,Intermeeiatr,Thdcom0oujdwast3st3d9nvitrofo5theantiHBVactivitysgaigst2w1rcelle,F,1,,15089,Homo sapiens,9606.0,
110,50587,,,1,,N,,,2215,Intermedja6e,Thecompp6hdwastestedihvitrifktthean4iHvVactivityin2215ceolq,F,1,,15089,Homo sapiens,9606.0,
111,50587,,,1,,N,,,2215,Intermedishe,sytotoxid8tyin2215fells,F,1,,1593,Homo sapiens,9606.0,
112,50587,,,1,,N,,,2215,Intdtmediate,Cytotoxicifyine216seplsNotd4t4rmined,F,1,,1593,Homo sapiens,9606.0,
113,50587,,,1,,N,,,2215,Ijtermddiate,Inhigitor6activ8tyofdomo0uncagainsthepatitizBvir6sHBVijnro3ingculyu4esog2e15cells,F,1,,13600,Homo sapiens,9606.0,
114,50587,,,1,,N,,,2215,Intedmed8ate,Tjwgrowthinhibkti9nactivityfofrh2com0oune2asevalkatedin22q5cells,F,1,,13467,Homo sapiens,9606.0,
115,50587,,,1,,N,,,2215,Ibterhediate,Sepectiv7gyindrxwasdetermunedfromtueeatioofod5otothdEC60val7esevqpuatedin22q5cells,F,1,,13467,Homo sapiens,9606.0,
116,81020,,,1,,N,,,Hept2,Inyerhediate,Ant8viealastivityagainqtgBVsaedetermined7n2e15ceplline,F,1,,14764,Homo sapiens,9606.0,
117,22226,,,0,,U,Microsijes,,,Autocura5ioh,Imhib84ionof20HETrsynthesisibhukahrenalmicr0somws,B,1,,6531,Homo sapiens,9606.0,
118,22226,,,0,,U,,,,Autocuratuom,ujhibutoryadtivifyagainst20HETdprorhct9onfromarachidoj8cacisusknghumanrenalmisrosomewoHETEzyn5has2,B,1,,17322,,,
119,80612,,,1,,N,,,2008,In4ermexiate,Inhib8tortconxentrationagaihst200uovsdiwbcells,F,1,,17072,Homo sapiens,9606.0,
120,80612,,,1,,N,,,2008,Intermrciate,50Gfo2thinhibitoryvonc2nt3atuonGI50byusing2008humahocadiandagcinimxcekklines,F,1,,16936,Homo sapiens,9606.0,
121,80612,,,1,,N,,,2008,Int2rmesiate,Cpjpoyndwaxtsstedfir50gtowthinh8butor5cohcentrqtionbyudinghuhanovwruancarcinomaxekllines2008,F,1,,16936,Homo sapiens,9606.0,
122,80612,,,1,,N,,,2008,Inte5mediatr,Directcytotoxixityarsinstth2selfffedrum0rc2lllkns1008dqsdetermunrdespeciall7inovarianadenocarfinomaderivrfcells,F,1,,17146,Homo sapiens,9606.0,
123,80612,,,1,,N,,,2008,Ijtermediat2,Directcytotoducktgagaknettuesflestef4umorcelliine2008wasddt33mined2spfxiallyonovarianxdejocarcinomaderidefcellsnotxetect2d,F,1,,17146,Homo sapiens,9606.0,
124,80613,,,1,,N,,,200uR,9ntermfdiate,Invufro8ngibitionof2008gova5iahdancfrcellline,F,1,,10797,Homo sapiens,9606.0,
125,80613,,,1,,N,,,1008R,Integmeriate,Ihvit3o8nh8bitionof2o0igovariancandercepllunehwNotachievable,F,1,,10797,Homo sapiens,9606.0,
126,80614,,,1,,N,,,2008c,Ihtermedoate,Invjtdoimhibiti0nof2po9Sova4iancwncercellline,F,1,,10797,Homo sapiens,9606.0,
127,80614,,,1,,N,,,2007S,ontsrmediate,Invihrojnh8bitionof20o8Sogariwncanfercelllin3msNotafhievaboe,F,1,,10797,Homo sapiens,9606.0,
128,100256,,,2,,S,,,,Ecpert,yestedobvitriforinhibktiobobcbymotrylsonlikeaftivity0tpurigi4dhuman20aproteasome,B,1,,4823,Homo sapiens,9606.0,
129,100256,,,2,,S,,,,Inteemfdiate,Comp8uhdwas4vzluzt2dflrihhibitotyasyivityayainsg20Sproteacomefromhumabliverandbraim,B,1,,12912,Homo sapiens,9606.0,
130,100256,,,2,,S,,,,Expeet,Imhibitkonofchymotr7psinlikewctivktyodepSproteadoje,B,1,,2957,,,
131,100256,,,2,,S,,,,Exp3rt,Ighobitionofchymotdypsihlljeaxtuvitypf20eproteasomevaiueramgesfr8m1020iM,B,1,,2957,,,
132,100256,,,2,,S,,,,In6e3mediate,Injibitoryactivityagzinsf20d9rotsisome,B,1,,3260,,,
133,22226,,,0,,U,,,,Aitocuratipn,domp9unfwas6estedforijh9bitoryactiviryagainzttdyptaae,B,1,,3451,Homo sapiens,9606.0,
134,81020,,,1,,N,,,uepG2,In6ermedixte,Conc4nt3wtionrewkirewtoibhobit50ofedt4adellikarsirculaereplicationofHBVDgAusing2225ceolline,F,1,,13885,Homo sapiens,9606.0,
135,81020,,,1,,N,,,HepGe,kmtermediate,Concentrati9bfequirwdt8inyib7t508fkn6racrplularcldc7larreplicationoeHfVDhAusing2215cellline,F,1,,13885,Homo sapiens,9606.0,
136,22226,,,0,,U,,,,wutocurqtion,Compound2aetestedfortheihhibitikmlfAlphagoycosicawe,B,1,,3676,,,
137,235,,,8,,H,,,,Ayt0curation,Inhibitpryconcfhtra6iogagaunsthumanje6trophileladgsseHNE,B,1,,6043,,,
138,22226,,,0,,U,,Hea3t,,Aut0curatkon,Cnangfinheartratewaseapressecinoersentatatadoqro002mbkgjbinanec4hetizedrat,F,1,,11140,Rattus norvegicus,10116.0,
139,19640,,,8,,H,,,,Autocuratl8n,90inhihitiinofthe20MycobacyerlumavikmvkmpiecMACcl9nicalisplstes,F,1,,10543,,,
140,19640,,,8,,H,,,,Experr,M7n7kuhinhjbigoryconcenyrationofcompo8ndwgaindt20Mycobavte3iimafouncomloexMACclinicalisolates,F,1,,10543,,,
141,19640,,,8,,H,,,,Autocurstiog,Minikukinhlbitoryconcfntrqtionofcompoundagainst20hyclvscterjukaviumdomplexnACcl7nicxl7zooates,B,1,,10543,,,
142,19640,,,8,,H,,,,Ex9ert,9pihhibifionofthe20kyc9nactrriumaviumcompkexMAvciin8cxlisolates,F,1,,10543,,,
143,80360,,,1,,N,,,P338,Int2rmexiate,InVitroevxluagionfortheg4owthonbivitionoeSublinePw8oAMqALeuk3miaveploines,F,1,,11365,Mus musculus,10090.0,
144,80360,,,1,,N,,,P338,Ingerjediate,IjVitroevalyationforhhegrowtginhibiyiohovSubojnel388CPoeukeniacelloinss,F,1,,11365,Mus musculus,10090.0,
145,80384,,,1,,N,,,PBL,ontermediat4,sonloundwaqevaluatdceortheinh9hit8on8fcellreplicationhumanperipheealbloowlymphpcyheaPvLs,F,1,,11803,Homo sapiens,9606.0,
146,22226,,,0,,U,,,,Autocuratiij,Compoindwasevqlkqtedtorgheinhibitionofcell4epkicatiobsheepchoeoldplexuwdCPcekos,F,1,,11803,Ovis aries,9940.0,
147,22226,,,0,,U,,,,Au6oxuration,Cohpouncwqeevwluqtedfortheinh7b8tuonofcfiireplicationsheepchoroid9iexusSC9cells,F,1,,11803,Ovis aries,9940.0,
148,191,,,8,,H,,,,wutoc6ration,fomoouncisevaiuafedijvitrofortheingib9tiljsinbl4mktantofHIV1RTY181C,B,1,,12278,,,
149,22226,,,0,,U,,,,Autovuratikn,Comloundwawevaluat2dforigs8nmib9totyegfedt8nfjymidine3HdTndincoeporztionintoDNAofCEnkTXcellsoncupfureztconc10e5,F,1,,8249,Homo sapiens,9606.0,
150,22226,,,0,,U,,,,Autocurqt8on,Compoundwxsevaluatedgofitsinj8butor5effectkm5hymidine3Hd5hdjncpr0orationintoDjAofCEMkTXcelpwuncultyreatfomc10e6,F,1,,8249,Homo sapiens,9606.0,
151,22226,,,0,,U,,,CCRdCEM,qutocurarion,Compoundwasevaphatedforitsinhibito3yeffsctonrh6miduns3HdThdincorporatjonkhtoDNAkfvEMcepiqinafxoncw0ei,F,1,,8249,Homo sapiens,9606.0,
