assays_ss_d,assays_ss_sbclllr_frctn,assays_dc_d,assays_ss_ctgr,assays_ss_tx_d,assays_ss_cll_tp,assays_ss_tss,assays_ss_tp,assays_ss_strn,assays_b_frmt,assays_tss_d,assays_crtd_b,assays_src_d,assays_src_ss_d,assays_chmbl_d,assays_cll_d,assays_vrnt_d
31,,167,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615144,,
32,,11087,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL872867,,
33,,11087,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615145,,
34,,13622,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615146,,
35,,13622,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615147,,
36,,11347,,10116.0,,,A,,BAO_0000019,,Autocuration,1,,CHEMBL615148,,
37,,5926,,562.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615149,,
38,,4567,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615150,,
39,,3782,,,,,B,,BAO_0000225,,Intermediate,1,,CHEMBL615151,,
40,,3782,,,,,B,,BAO_0000225,,Intermediate,1,,CHEMBL615152,,
41,,4466,,562.0,,,B,,BAO_0000225,,Expert,1,,CHEMBL615153,,
42,,6592,,562.0,,,B,,BAO_0000225,,Expert,1,,CHEMBL615154,,
43,,898,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615155,,
44,,898,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615156,,
45,,13163,,9606.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615157,,
46,,13163,,9606.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615158,,
47,,10691,,10116.0,,,B,,BAO_0000019,,Expert,1,,CHEMBL615159,,
48,,10691,,10116.0,,,B,,BAO_0000019,,Expert,1,,CHEMBL615172,,
49,,10691,,10116.0,,,B,,BAO_0000019,,Expert,1,,CHEMBL615173,,
50,,10691,,10116.0,,,B,,BAO_0000019,,Expert,1,,CHEMBL615174,,
51,,898,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL884518,,
52,,912,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615175,,
53,,912,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615176,,
54,,912,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615177,,
55,Membranes,15103,,10116.0,,,B,,BAO_0000249,,Autocuration,1,,CHEMBL615178,,
56,,5116,,9606.0,1A9,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615179,506.0,
57,,14578,,10116.0,Oocytes,,F,,BAO_0000219,,Autocuration,1,,CHEMBL615180,,
58,,14578,,10116.0,Oocytes,,F,,BAO_0000219,,Autocuration,1,,CHEMBL615181,,
59,,14578,,10116.0,Oocytes,,F,,BAO_0000219,,Autocuration,1,,CHEMBL615182,,
60,,4787,,9606.0,1A9,,F,,BAO_0000219,,Expert,1,,CHEMBL615183,506.0,
61,,4787,,9606.0,1A9,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615184,506.0,
62,,3547,,9606.0,1A9,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615185,506.0,
63,,3547,,9606.0,1A9,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615186,506.0,
64,,6726,,9606.0,1A9,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615187,506.0,
65,,3455,,9606.0,1A9,,F,,BAO_0000219,,Expert,1,,CHEMBL885343,506.0,
66,,5726,,9606.0,1A9,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615188,506.0,
67,,5726,,9606.0,1A9,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615189,506.0,
68,,5726,,9606.0,1A9,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615190,506.0,
69,,3395,,9606.0,1A9,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615191,506.0,
70,,3415,,9606.0,1A9,,F,,BAO_0000219,,Expert,1,,CHEMBL615192,506.0,
71,,3415,,9606.0,1A9,,F,,BAO_0000219,,Expert,1,,CHEMBL827083,506.0,
72,,17099,,9606.0,1A9,,F,,BAO_0000219,,Expert,1,,CHEMBL615193,506.0,
73,,17099,,9606.0,1A9,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615194,506.0,
74,,17099,,9606.0,1A9,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615195,506.0,
75,,17099,,9606.0,1A9,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615196,506.0,
76,,17721,,9606.0,Jurkat,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615197,503.0,
77,,1229,,,,,F,,BAO_0000019,,Intermediate,1,,CHEMBL615198,,
78,,11347,,10116.0,,,A,,BAO_0000357,,Expert,1,,CHEMBL615199,,
79,,17117,,,,,B,,BAO_0000357,,Expert,1,,CHEMBL615200,,
80,,17117,,,,,B,,BAO_0000357,,Expert,1,,CHEMBL615201,,
81,,17117,,,,,B,,BAO_0000357,,Expert,1,,CHEMBL615202,,
82,Microsomes,11375,,5476.0,,,B,,BAO_0000251,,Autocuration,1,,CHEMBL615203,,
83,Microsomes,11375,,5476.0,,,B,,BAO_0000251,,Autocuration,1,,CHEMBL615204,,
84,Microsomes,11375,,4932.0,,,B,,BAO_0000251,,Autocuration,1,,CHEMBL615205,,
85,Microsomes,11375,,4932.0,,,B,,BAO_0000251,,Autocuration,1,,CHEMBL615206,,
86,Microsomes,11375,,9823.0,,Liver,B,,BAO_0000251,2107.0,Autocuration,1,,CHEMBL615207,,
87,,791,,10116.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL827084,,
88,,791,,10116.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615208,,
89,,791,,10116.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615209,,
90,Microsomes,11375,,10116.0,,Liver,B,,BAO_0000251,2107.0,Autocuration,1,,CHEMBL615210,,
91,Microsomes,11375,,10116.0,,Liver,B,,BAO_0000251,2107.0,Autocuration,1,,CHEMBL615211,,
92,Microsomes,153,,10116.0,,Liver,B,,BAO_0000251,2107.0,Autocuration,1,,CHEMBL615212,,
93,,8269,,,,,B,,BAO_0000357,,Expert,1,,CHEMBL615213,,
94,,8269,,,,,B,,BAO_0000357,,Expert,1,,CHEMBL615273,,
95,,17653,,9606.0,HepG2,,F,,BAO_0000219,,Expert,1,,CHEMBL615274,726.0,
96,,14277,,9606.0,HepG2,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615275,726.0,
97,,1717,,9606.0,HepG2,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615276,726.0,
98,,14091,,9606.0,HepG2,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615277,726.0,
99,,14091,,9606.0,HepG2,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615326,726.0,
100,,17653,,10407.0,,,F,,BAO_0000218,,Expert,1,,CHEMBL883130,,
101,,13105,,9606.0,HepG2,,F,,BAO_0000219,,Intermediate,1,,CHEMBL884519,726.0,
102,,1717,,9606.0,HepG2,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615327,726.0,
103,,13105,,9606.0,HepG2,,A,,BAO_0000219,,Intermediate,1,,CHEMBL615328,726.0,
104,,13600,,9606.0,2.2.15,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615329,,
105,,13467,,9606.0,2.2.15,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615330,,
106,,17477,,10407.0,2.2.15,,F,,BAO_0000218,,Expert,1,,CHEMBL615331,,
107,,1593,,9606.0,2.2.15,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615332,,
108,,1593,,9606.0,2.2.15,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615333,,
109,,15089,,9606.0,2.2.15,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615334,,
110,,15089,,9606.0,2.2.15,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615335,,
111,,1593,,9606.0,2.2.15,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615336,,
112,,1593,,9606.0,2.2.15,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615337,,
113,,13600,,9606.0,2.2.15,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615338,,
114,,13467,,9606.0,2.2.15,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615339,,
115,,13467,,9606.0,2.2.15,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615340,,
116,,14764,,9606.0,HepG2,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615341,726.0,
117,Microsomes,6531,,9606.0,,,B,,BAO_0000251,,Autocuration,1,,CHEMBL615342,,
118,,17322,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615343,,
119,,17072,,9606.0,2008,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615344,388.0,
120,,16936,,9606.0,2008,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615345,388.0,
121,,16936,,9606.0,2008,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615346,388.0,
122,,17146,,9606.0,2008,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615347,388.0,
123,,17146,,9606.0,2008,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615348,388.0,
124,,10797,,9606.0,2008/R,,F,,BAO_0000219,,Intermediate,1,,CHEMBL827085,561.0,
125,,10797,,9606.0,2008/R,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615349,561.0,
126,,10797,,9606.0,2008/S,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615350,389.0,
127,,10797,,9606.0,2008/S,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615351,389.0,
128,,4823,,9606.0,,,B,,BAO_0000220,,Expert,1,,CHEMBL615352,,
129,,12912,,9606.0,,,B,,BAO_0000220,,Intermediate,1,,CHEMBL615353,,
130,,2957,,,,,B,,BAO_0000220,,Expert,1,,CHEMBL615354,,
131,,2957,,,,,B,,BAO_0000220,,Expert,1,,CHEMBL615355,,
132,,3260,,,,,B,,BAO_0000220,,Intermediate,1,,CHEMBL615356,,
133,,3451,,9606.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615357,,
134,,13885,,9606.0,HepG2,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615358,726.0,
135,,13885,,9606.0,HepG2,,F,,BAO_0000219,,Intermediate,1,,CHEMBL827086,726.0,
136,,3676,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615359,,
137,,6043,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615360,,
138,,11140,,10116.0,,Heart,F,,BAO_0000218,948.0,Autocuration,1,,CHEMBL615361,,
139,,10543,,,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615362,,
140,,10543,,,,,F,,BAO_0000019,,Expert,1,,CHEMBL615363,,
141,,10543,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615364,,
142,,10543,,,,,F,,BAO_0000019,,Expert,1,,CHEMBL615365,,
143,,11365,,10090.0,P338,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615366,524.0,
144,,11365,,10090.0,P338,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615367,524.0,
145,,11803,,9606.0,PBL,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615368,554.0,
146,,11803,,9940.0,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615369,,
147,,11803,,9940.0,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615370,,
148,,12278,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615673,,
149,,8249,,9606.0,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615674,,
150,,8249,,9606.0,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615675,,
151,,8249,,9606.0,CCRF-CEM,,F,,BAO_0000219,,Autocuration,1,,CHEMBL615676,635.0,
152,,8249,,9606.0,CCRF-CEM,,F,,BAO_0000219,,Autocuration,1,,CHEMBL615677,635.0,
153,,8249,,9606.0,CCRF-CEM,,F,,BAO_0000219,,Autocuration,1,,CHEMBL615678,635.0,
154,,8249,,9606.0,CCRF-CEM,,F,,BAO_0000219,,Autocuration,1,,CHEMBL615679,635.0,
155,,8249,,9606.0,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615680,,
156,,8249,,9606.0,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615681,,
157,,16992,,,,,B,,BAO_0000249,,Autocuration,1,,CHEMBL857972,,
158,,10543,,1314.0,,,F,,BAO_0000218,,Intermediate,1,,CHEMBL857899,,
159,,17833,,10335.0,,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615371,,
160,,17290,,10335.0,HEL,,F,,BAO_0000218,,Expert,1,,CHEMBL615372,468.0,
161,,17290,,10335.0,,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615373,,
162,,17290,,10335.0,,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615374,,
163,,10932,,561.0,,,F,,BAO_0000218,,Intermediate,1,,CHEMBL615375,,
164,,9707,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615376,,
165,,2346,,5476.0,,,B,,BAO_0000249,,Expert,1,,CHEMBL615377,,
166,,2205,,284593.0,,,B,,BAO_0000357,,Expert,1,,CHEMBL615378,,
167,,11900,,9606.0,1-87 tumor cell line,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615379,832.0,
168,,14864,,10116.0,,,B,,BAO_0000219,,Expert,1,,CHEMBL615380,,
169,,16474,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615381,,
170,,16474,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615382,,
171,,16474,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615383,,
172,,16474,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615384,,
173,,3094,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615385,,
174,,3094,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615386,,
175,,3094,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615387,,
176,,3094,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615388,,
177,,3094,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615214,,
178,,3094,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL827087,,
179,,3094,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615215,,
180,,3094,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615216,,
181,,3094,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615217,,
182,,3094,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615218,,
183,,3094,,3847.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615219,,
184,,10413,,10090.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615220,,
185,,16929,,10090.0,C3H 10T1/2,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615221,294.0,
186,,1229,,,,,F,,BAO_0000019,,Intermediate,1,,CHEMBL615222,,
187,,16587,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615223,,
188,,16587,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615224,,
189,,16587,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615225,,
190,,16587,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615226,,
191,,16587,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615227,,
192,,8058,,9913.0,,,F,,BAO_0000019,,Expert,1,,CHEMBL615228,,
193,,9065,,10116.0,,,B,,BAO_0000357,,Expert,1,,CHEMBL615229,,
194,,8865,,10116.0,,Adrenal gland,B,,BAO_0000357,2369.0,Expert,1,,CHEMBL615230,,
195,,9066,,10116.0,,,B,,BAO_0000357,,Expert,1,,CHEMBL615231,,
196,,8394,,10116.0,,,B,,BAO_0000357,,Expert,1,,CHEMBL884520,,
197,,8394,,10116.0,,,B,,BAO_0000357,,Expert,1,,CHEMBL615232,,
198,,6431,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615233,,
199,,6431,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL827088,,
200,,6431,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615234,,
201,,9295,,,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615235,,
202,,10193,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615236,,
203,,13622,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615237,,
204,,12079,,,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615238,,
205,,13622,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615239,,
206,,12079,,9606.0,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615240,,
207,,13500,,,,,B,,BAO_0000019,,Expert,1,,CHEMBL615241,,
208,,13723,,,,,B,,BAO_0000357,,Expert,1,,CHEMBL615242,,
209,,16474,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615243,,
210,,1630,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615244,,
211,,167,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615245,,
212,,16474,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615246,,
213,,167,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615247,,
214,,16474,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615248,,
215,,10091,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615249,,
216,,11966,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615250,,
217,,951,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615251,,
218,,10997,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615252,,
219,,10193,,,,,B,,BAO_0000019,,Expert,1,,CHEMBL828340,,
220,,10193,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615253,,
221,,10193,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615254,,
222,,10193,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615255,,
223,,10193,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615256,,
224,,10193,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615257,,
225,,11087,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615258,,
226,,15569,,9606.0,41M,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615259,621.0,
227,,12989,,9606.0,41M,,F,,BAO_0000219,,Expert,1,,CHEMBL615260,621.0,
228,,16745,,9606.0,41M,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615261,621.0,
229,,15569,,9606.0,41M,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615262,621.0,
230,,12989,,9606.0,41M,,F,,BAO_0000219,,Expert,1,,CHEMBL615263,621.0,
231,,12989,,9606.0,41M,,F,,BAO_0000219,,Expert,1,,CHEMBL838393,621.0,
232,,16745,,9606.0,41M,,F,,BAO_0000219,,Intermediate,1,,CHEMBL615264,621.0,
233,,6210,,9606.0,,,B,,BAO_0000357,,Expert,1,,CHEMBL615265,,
234,,6210,,9606.0,,,B,,BAO_0000357,,Expert,1,,CHEMBL615266,,
235,,6226,,,,,B,,BAO_0000357,,Expert,1,,CHEMBL615267,,
236,,17855,,,,,B,,BAO_0000357,,Expert,1,,CHEMBL615268,,
237,,17855,,,,,B,,BAO_0000357,,Expert,1,,CHEMBL615269,,
238,,17855,,,,,B,,BAO_0000357,,Expert,1,,CHEMBL615270,,
239,,10413,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615271,,
240,,10413,,562.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615272,,
241,,10413,,562.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615103,,
242,,10413,,562.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615104,,
243,,10413,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615105,,
244,,10413,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL872866,,
245,,7587,,9823.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615106,,
246,,7587,,9823.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615107,,
247,,7587,,9823.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615108,,
248,,7587,,9823.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615109,,
249,,7587,,9823.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615110,,
250,,7587,,9823.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL840105,,
251,,7587,,9823.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615111,,
252,,7587,,9823.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615112,,
253,,7587,,9823.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615113,,
254,,7587,,9823.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615114,,
255,,7587,,9823.0,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615115,,
256,,7587,,9823.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615116,,
257,,7323,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615698,,
258,,7587,,9823.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615699,,
259,,7587,,9823.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615700,,
260,,13750,,4932.0,,,B,,BAO_0000357,,Expert,1,,CHEMBL615701,,
261,,7662,,10116.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615702,,
262,,7662,,10116.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615703,,
263,,7662,,10116.0,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615704,,
264,,12211,,,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615705,,
265,,12211,,,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615706,,
266,,12211,,10141.0,,Ileum,F,,BAO_0000221,2116.0,Intermediate,1,,CHEMBL615707,,
267,,12211,,,,,F,,BAO_0000019,,Expert,1,,CHEMBL615708,,
268,,15453,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615709,,
269,,11884,,10116.0,,,F,,BAO_0000218,,Autocuration,1,,CHEMBL615710,,
270,,7185,,,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615711,,
271,,6876,,9606.0,,,B,,BAO_0000357,,Expert,1,,CHEMBL615712,,
272,,6876,,9606.0,,,B,,BAO_0000357,,Expert,1,,CHEMBL836325,,
273,,11863,,,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615713,,
274,,11863,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615714,,
275,,11863,,,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615715,,
276,,11863,,,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615716,,
277,,4639,,,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615717,,
278,,15796,,,,,B,,BAO_0000019,,Expert,1,,CHEMBL881818,,
279,,15796,,9913.0,,,B,,BAO_0000357,,Expert,1,,CHEMBL884540,,
280,,12801,,10116.0,,,B,,BAO_0000224,,Autocuration,1,,CHEMBL615718,,
281,,12801,,,,,B,,BAO_0000224,,Autocuration,1,,CHEMBL615719,,
282,Membranes,12120,,,,,B,,BAO_0000249,,Autocuration,1,,CHEMBL615720,,
283,Membranes,12120,,,,,B,,BAO_0000249,,Autocuration,1,,CHEMBL615721,,
284,,11963,,,,,B,,BAO_0000019,,Autocuration,1,,CHEMBL615722,,
285,,11701,,,,,F,,BAO_0000019,,Autocuration,1,,CHEMBL615723,,
286,,9995,,,,Hippocampus,B,,BAO_0000221,10000000.0,Autocuration,1,,CHEMBL615724,,
287,,9995,,,,Hippocampus,B,,BAO_0000221,10000000.0,Autocuration,1,,CHEMBL615725,,
288,,9995,,,,Hippocampus,B,,BAO_0000221,10000000.0,Autocuration,1,,CHEMBL615726,,
289,,16394,,,,,F,,BAO_0000218,,Autocuration,1,,CHEMBL615727,,
290,,11574,,10141.0,,,F,,BAO_0000019,,Intermediate,1,,CHEMBL615728,,
291,,15779,,,CHO,,B,,BAO_0000219,,Autocuration,1,,CHEMBL857971,449.0,
292,,15363,,,,,B,,BAO_0000357,,Autocuration,1,,CHEMBL615729,,
293,,15363,,10116.0,,,F,,BAO_0000019,,Expert,1,,CHEMBL615730,,
294,,15329,,,,,F,,BAO_0000019,,Expert,1,,CHEMBL615731,,
295,,15329,,,,,F,,BAO_0000019,,Expert,1,,CHEMBL615732,,
