title,year,authors,id,venue
a multi-agent system infrastructure for software component market-place : an ontological perspective,2002,"r erdur , o dikenelli",27,sigmod record
improving performance in replicated databases through relaxed coherency,1995,"r gallersdіrfer , m nicola",28,vldb
an active functionality service for e-business applications,2002,"m cilia , a buchmann",29,sigmod record
contracting in the days of ebusiness,2002,"w hќmmer , w lehner , h wedekind",30,sigmod record
redo recovery after system crashes,1995,"d lomet , m tuttle",31,vldb
db2 query parallelism : staging and implementation,1995,y wang,32,vldb
david dewitt speaks out,2002,m winslett,33,ecord
a product specification database for visual prototyping,1995,"k sumiya , k yasutake , h tanaka , n sanada , y imai",34,vldb
from ternary relationship to relational tables : a case against common beliefs,2002,r camps,35,sigmod record
database de-centralization - a practical approach,1995,"t didriksen , c galindo-legaria , e dahle",36,vldb
cluster validity methods : part i,2002,"m halkidi , y batistakis , m vazirgiannis",37,sigmod record
a pictorial query language for querying geographic databases using positional and olap operators,2002,"e pourabbas , m rafanelli",38,sigmod record
benchmarking spatial join operations with spatial output,1995,"e hoel , h samet",39,vldb
bringing order to query optimization,2002,"g slivinskas , c jensen , r snodgrass",40,sigmod record
bigsur : a system for the management of earth science data,1995,"p brown , m stonebraker",41,vldb
editor 's notes,2002,l liu,42,sigmod record
efficient search of multi-dimensional b-trees,1995,"h leslie , r jain , d birdsall , h yaghmai",43,vldb
research activities in database management and information retrieval at the university of illinois at chicago,2002,"i cruz , a khokhar , b liu , a sistla , o wolfson , c yu",44,sigmod record
accessing a relational database through an object-oriented database interface,1995,"j orenstein , d kamber",45,vldb
interviewing during a tight job market,2002,,46,
"db2 common server : technology , progress , & directions",1995,b lindsay,47,vldb
investigating xquery for querying across database object types,2002,n wiegand,48,sigmod record
w3qs : a query system for the world-wide web,1995,"d konopnicki , o shmueli",49,vldb
the design of a retrieval technique for high-dimensional data on tertiary storage,2002,"r orlandic , j lukaszuk , c swietlik",50,sigmod record
oodb bulk loading revisited : the partitioned-list approach,1995,"j wiener , j naughton",51,vldb
chair 's message,2002,,52,
the double life of the transaction abstraction : fundamental principle and evolving system concept,1995,h korth,53,vldb
combining fuzzy information : an overview,2002,r fagin,54,sigmod record
databases and workflow management : what is it all about ? ( panel ),1995,"a reuter , s ceri , j gray , b salzberg , g weikum",55,vldb
index concurrency control in firm real-time database systems,1995,"b goyal , j haritsa , s seshadri , v srinivasan",56,vldb
a brief survey of web data extraction tools,2002,"a laender , b ribeiro-neto , a silva , j teixeira",57,sigmod record
value-cognizant speculative concurrency control,1995,"a bestavros , s braoudakis",58,vldb
data warehousing and business intelligence for e-commerce - book review,2002,f goethals,59,sigmod record
data mining : concepts and techniques - book review,2002,"f galiano , n marэn",60,sigmod record
a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,1995,"k wu , p yu , j chung , j teng",61,vldb
hot block clustering for disk arrays with dynamic striping,1995,"k mogi , m kitsuregawa",62,vldb
book review column,2002,k aberer,63,sigmod record
tods perceptions and misconceptions,2002,r snodgrass,64,sigmod record
an approach for building secure database federations,1994,"d jonscher , k dittrich",65,vldb
the cougar approach to in-network query processing in sensor networks,2002,"y yao , j gehrke",66,sigmod record
dalэ : a high performance main memory storage manager,1994,"h jagadish , d lieuwen , r rastogi , a silberschatz , s sudarshan",67,vldb
introduction to constraint databases - book review,2002,,68,
"fast , randomized join-order selection - why use transformations ?",1994,"c galindo-legaria , a pellenkoft , m kersten",69,vldb
foundations of statistical natural language processing - book review,2002,,70,
bulk loading into an oodb : a performance study,1994,"j wiener , j naughton",71,vldb
efficient and effective clustering methods for spatial data mining,1994,"r ng , j han",72,vldb
automata theory for xml researchers,2002,f neven,73,sigmod record
database research at the university of illinois at urbana-champaign,2002,"m winslett , k chang , a doan , j han , c zhai , y zhou",74,sigmod record
fast incremental indexing for full-text information retrieval,1994,"e brown , j callan , w croft",75,vldb
chair 's message,2002,,76,
a transaction replication scheme for a replicated database with node autonomy,1994,"a fu , d cheung",77,vldb
treasurer 's message,2002,,78,
a top-down approach for two level serializability,1994,"m ouzzani , m atroun , n belkhodja",79,vldb
access to objects by path expressions and rules,1994,"j frohn , g lausen , h uphoff",80,vldb
report on the mobile search workshop at www 2002,2002,,81,
graphdb : modeling and querying graphs in databases,1994,r gќting,82,vldb
report on the web dynamics workshop at www 2002,2002,,83,
report on the 24th european colloquium on information retrieval research,2002,,84,
database graph views : a practical model to manage persistent graphs,1994,"a gutiщrrez , p pucheral , h steffen , j thщvenin",85,vldb
dual-buffering strategies in object bases,1994,"a kemper , d kossmann",86,vldb
sql/med - a status report,2002,"j melton , j michels , v josifovski , k kulkarni , p schwarz",87,sigmod record
hector garcia-molina speaks out,2002,m winslett,88,
2q : a low overhead high performance buffer management replacement algorithm,1994,"t johnson , d shasha",89,vldb
an effective deductive object-oriented database through language integration,1994,"m barja , n paton , a fernandes , m williams , a dinn",90,vldb
toward autonomic computing with db2 universal database,2002,"s lightstone , g lohman , d zilio",91,sigmod record
reminiscences on influential papers,2002,,92,
an algebraic approach to rule analysis in expert database systems,1994,"e baralis , j widom",93,vldb
report on the semantic web workshop at www 2002,2002,,94,
fast algorithms for mining association rules in large databases,1994,"r agrawal , r srikant",95,vldb
ontologies : a silver bullet for knowledge management and electronic commerce - book review,2002,,96,
opossum : desk-top schema management through customizable visualization,1995,"e haber , y ioannidis , m livny",97,vldb
the grid : an application of the semantic web,2002,"c goble , d roure",98,sigmod record
querying shapes of histories,1995,"r agrawal , g psaila , e wimmers , m zaяt",99,vldb
interview with david maier,2002,,100,
"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation",1995,"g evangelidis , d lomet , b salzberg",101,vldb
small worlds : the dynamics of networks between order and randomness - book review,2002,,102,
flexible relations - operational support of variant relational structures,1995,"c kalus , p dadam",103,vldb
query processing in tertiary memory databases,1995,s sarawagi,104,vldb
"agents , turst , and information access on the semantic web",2002,"t finin , a joshi",105,sigmod record
methodology for development and employment of ontology based knowledge management applications,2002,"y sure , s staab , r studer",106,sigmod record
near neighbor search in large metric spaces,1995,s brin,107,vldb
scientific journals : extinction or explosion ? ( panel ),1995,"r ramakrishnan , h garcia-molina , g rossbach , a silberschatz , g wiederhold , j zijlstra",108,vldb
acm-sigmod digital review,2000,h jagadish,109,sigmod record
querying multiple bioinformatics data sources : can semantic web research help ?,2002,"d buttler , m coleman , t critchlow , r fileto , w han , l liu , c pu , d rocco , l xiong",110,sigmod record
the p operator : discovering and ranking associations on the semantic web,2002,"k anyanwu , a sheth",111,sigmod record
similarity based retrieval of pictures using indices on spatial relationships,1995,"a sistla , c yu , c liu , k liu",112,vldb
clustering validity checking methods : part ii,2002,"m halkidi , y batistakis , m vazirgiannis",113,sigmod record
providing database migration tools - a practicioner 's approach,1995,a meier,114,vldb
editor 's notes,2002,l liu,115,sigmod record
metrics for accessing heterogeneous data : is there any hope ? ( panel ),1995,"l seligman , n belkin , e neuhold , m stonebraker , g wiederhold",116,vldb
"very large databases : how large , how different ?",1995,d vaskevitch,117,vldb
book review column,2002,k aberer,118,sigmod record
a study on the management of semantic transaction for efficient data retrieval,2002,"s huang , i kwan , c li",119,sigmod record
promises and realities of active database systems,1995,"e simon , a dittrich",120,vldb
os support for vldbs : unix enhancements for the teradata data base,1995,"j catozzi , s rabinovici",121,vldb
reminiscences on influential papers,2002,,122,
parameterized complexity for the database theorist,2002,m grohe,123,sigmod record
managing a db2 parallel edition database,1995,g fecteau,124,vldb
research in information managment at dublin city university,2002,"m roantree , a smeaton",125,sigmod record
the oracle warehouse,1995,g hallmark,126,vldb
informix-online xps : a dynamically scalable rdbms for open parallel platforms,1995,h spintzik,127,vldb
report on the edbt '02 panel on scientific data integration,2002,,128,
supporting exceptions to schema consistency to ease schema evolution in oodbms,1994,"e amiel , m bellosta , e dujardin , e simon",129,vldb
wrapping web data into xml,2001,"w han , d buttler , c pu",130,sigmod record
on database theory and xml,2001,d suciu,131,sigmod record
naos - efficient and modular reactive capabilities in an object-oriented database system,1994,"c collet , t coupaye , t svensen",132,vldb
xquery formal semantics : state and challenges,2001,p fankhauser,133,sigmod record
towards automated performance tuning for complex workloads,1994,"k brown , m mehta , m carey , m livny",134,vldb
why and how to benchmark xml databases,2001,"a schmidt , f waas , m kersten , d florescu , m carey , i manolescu , r busse",135,sigmod record
query optimization by predicate move-around,1994,"a levy , i mumick , y sagiv",136,vldb
the evolution of effective b-tree : page organization and techniques : a personal account,2001,d lomet,137,sigmod record
optimization algorithms for exploiting the parallelism-communication tradeoff in pipelined parallelism,1994,"w hasan , r motwani",138,vldb
the ecobase project : database and web technologies for environmental information systems,2001,"a tanaka , p valduriez",139,sigmod record
some issues in design of distributed deductive databases,1994,"m mohania , n sarda",140,vldb
semantic integration in heterogeneous databases using neural networks,1994,"w li , c clifton",141,vldb
xml document versioning,2001,"s chien , v tsotras , c zaniolo",142,sigmod record
providing dynamic security control in a federated database,1994,"n idris , w gray , r churchhouse",143,vldb
"preservation of digital data with self-validating , self-instantiating knowledge-based archives",2001,"b ludфscher , r marciano , r moore",144,sigmod record
"semantic web workshop : models , architectures and management",2001,,145,
implementing lazy database updates for an object database system,1994,"f ferrandina , t meyer , r zicari",146,vldb
towards event-driven modelling for database design,1994,"m teisseire , p poncelet , r cicchetti",147,vldb
reminiscences on influential papers,2001,,148,
"jeffrey d. ullman speaks out on the future of higher education , startups , database theory , and more",2001,,149,
new concurrency control algorithms for accessing and compacting b-trees,1994,"v setzer , a zisman",150,vldb
odefs : a file system interface to an object-oriented database,1994,"n gehani , h jagadish , w roome",151,vldb
report on the 2001 sigmod and pods awards,2001,,152,
constraints for semi-structured data and xml,2001,"p buneman , w fan , j simщon , s weinstein",153,sigmod record
indexing multiple sets,1994,"c kilger , g moerkotte",154,vldb
editor 's notes,2001,,155,
the hcc-tree : an efficient index structure for object oriented databases,1994,"b sreenath , s seshadri",156,vldb
performance of data-parallel spatial operations,1994,"e hoel , h samet",157,vldb
sql/xml and the sqlx informal group of companies,2001,"a eisenberg , j melton",158,sigmod record
eiha ?!? : deploying web and wap services using xml technology,2001,"c biancheri , j pazzaglia , g paddeu",159,sigmod record
the impact of global clustering on spatial database systems,1994,"t brinkhoff , h kriegel",160,vldb
java support for data-intensive systems : experiences building the telegraph dataflow system,2001,"m shah , s madden , m franklin , j hellerstein",161,sigmod record
a requirement-based approach to data modeling and re-engineering,1994,"a muntz , c ramiller",162,vldb
sql multimedia and application packages ( sql/mm ),2001,"j melton , a eisenberg",163,sigmod record
from nested-loop to join queries in oodb,1994,"h steenhagen , p apers , h blanken , r by",164,vldb
dimacs summer school tutorial on new frontiers in data mining,2001,"d gunopulos , n koudas",165,sigmod record
"composite events for active databases : semantics , contexts and detection",1994,"s chakravarthy , v krishnaprasad , e anwar , s kim",166,vldb
report on the 8th international workshop on knowledge representation meets databases ( krdb ),2001,,167,
a low-cost storage server for movie on demand databases,1994,"b жzden , a biliris , r rastogi , a silberschatz",168,vldb
editor 's notes,2001,l liu,169,sigmod record
content-based image indexing,1994,t chiueh,170,vldb
client-server paradise,1994,"d dewitt , n kabra , j luo , j patel , j yu",171,vldb
research in multi-organizational processes and semantic information brokering at the lsdis lab,2001,"a sheth , j miller , k kochut , i arpinar",172,sigmod record
on the academic interview circuit : an end-to-end discussion,2001,u чetintemel,173,sigmod record
cumulative updates,1994,"s sripada , b wќthrich",174,vldb
cache conscious algorithms for relational query processing,1994,"a shatdal , c kant , j naughton",175,vldb
introduction to the career forum column,2001,a labrinidis,176,sigmod record
challenges for global information systems,1994,"a levy , a silberschatz , d srivastava , m zemankova",177,vldb
continuous queries over data streams,2001,"s babu , j widom",178,sigmod record
data analysis and mining in the life sciences,2001,n huyn,179,sigmod record
building a laboratory information system around a c++ - based object-oriented dbms,1994,"n goodman , s rozen , l stein",180,vldb
a multidatabase system for tracking and retrieval of financial data,1994,"m cochinwala , j bradley",181,vldb
a general techniques for querying xml documents using a relational database system,2001,"j shanmugasundaram , e shekita , j kiernan , r krishnamurthy , s viglas , j naughton , i tatarinov",182,sigmod record
an overview of repository technology,1994,"p bernstein , u dayal",183,vldb
advanced xml data processing - guest editor 's introduction,2001,k aberer,184,sigmod record
data compression support in databases,1994,"b iyer , d wilhite",185,vldb
accessibility of the database literature,2001,r snodgrass,186,sigmod record
treasurer 's message,2001,,187,
an empirical performance study of the ingres search accelerator for a large property management database system,1994,"s anand , d bell , j hughes",188,vldb
chair 's message,2001,,189,
data integration in the large : the challenge of reuse,1994,"a rosenthal , l seligman",190,vldb
career-enhancing services at sigmod online,2001,"a labrinidis , a mendelzon",191,sigmod record
experiments on access to digital libraries : how can images and text be used together,1994,m lesk,192,vldb
pc database systems - present and future,1994,p bernstein,193,vldb
editor 's notes,2001,l liu,194,sigmod record
data mining-based intrusion detectors : an overview of the columbia ids project,2001,"s stolfo , w lee , p chan , w fan , e eskin",195,sigmod record
distributed top-k monitoring,2003,"b babcock , c olston",196,sigmod conference
approximate join processing over data streams,2003,"a das , j gehrke , m riedewald",197,sigmod conference
adam : a testbed for exploring the use of data mining in intrusion detection,2001,"d barbarс , j couto , s jajodia , n wu",198,sigmod record
detection and classification of intrusions and faults using sequences of system calls,2001,"j cabrera , l lewis , r mehra",199,sigmod record
containment join size estimation : models and methods,2003,"w wang , h jiang , h lu , j yu",200,sigmod conference
relating distributed objects,1994,"b martin , r cattell",201,vldb
book review column,2001,k aberer,202,sigmod record
integrating a structured-text retrieval system with an object-oriented database system,1994,"t yan , j annevelink",203,vldb
describing semistructured data,2001,l cardelli,204,sigmod record
chair 's message,2001,,205,
user interfaces ; who cares ?,1994,s spaccapietra,206,vldb
special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,2001,,207,
scientific databases - state of the art and future directions,1994,"m zemankova , y ioannidis",208,vldb
mining system audit data : opportunities and challenges,2001,"w lee , w fan",209,sigmod record
efficient similarity search and classification via rank aggregation,2003,"r fagin , r kumar , d sivakumar",210,sigmod conference
using unknowns to prevent discovery of association rules,2001,"y saygin , v verykios , c clifton",211,sigmod record
extracting structured data from web pages,2003,"a arasu , h garcia-molina",212,sigmod conference
factorizing complex predicates in queries to exploit indexes,2003,"s chaudhuri , p ganesan , s sarawagi",213,sigmod conference
mining email content for author identification forensics,2001,"o vel , a anderson , m corney , g mohay",214,sigmod record
transactional information systems - book review,2001,,215,
estimating compilation time of a query optimizer,2003,"i ilyas , j rao , g lohman , d gao , e lin",216,sigmod conference
extended wavelets for multiple measures,2003,"a deligiannakis , n roussopoulos",217,sigmod conference
information warfare and security - book review,2001,,218,
treasurer 's message,2000,,219,
"gio wiederhold speaks out on moving into academia in mid-career , how to be an effective consultant , why you should be a program manager as a funding agency , the need for ontology algebra and simulations , and more",2001,,220,
chain : operator scheduling for memory minimization in data stream systems,2003,"b babcock , s babu , m datar , r motwani",221,sigmod conference
sigmod 2001 industry sessions,2001,"g lohman , c galindo-legaria , m franklin , l seligman",222,sigmod record
capturing both types and constraints in data integration,2003,"m benedikt , c chan , w fan , j freire , r rastogi",223,sigmod conference
reminiscences on influential papers,2001,,224,
exchanging intensional xml data,2003,"t milo , s abiteboul , b amann , o benjelloun , f ngoc",225,sigmod conference
the gmap : a versatile tool for physical data independence,1994,"o tsatalos , m solomon , y ioannidis",226,vldb
the design and performance evaluation of alternative xml storage strategies,2002,"f tian , d dewitt , j chen , c zhang",227,sigmod record
guest editor 's introduction,2002,,228,
including group-by in query optimization,1994,"s chaudhuri , k shim",229,vldb
persistent threads,1994,"f matthes , j schmidt",230,vldb
the n-tier hub technology,2002,"r sommer , t gulledge , d bailey",231,sigmod record
supporting global user profiles through trusted authorities,2002,i cingil,232,sigmod record
memory-contention responsive hash joins,1994,"d davison , g graefe",233,vldb
business data management for b2b electronic commerce,2002,"c quix , m schoop , m jeusfeld",234,sigmod record
v-trees - a storage method for long vector data,1994,"m mediano , m casanova , m dreux",235,vldb
qualified answers that reflect user needs and preferences,1994,"t gaasterland , j lobo",236,vldb
semantic b2b integration : issues in ontology-based applications,2002,"z cui , d jones , p o'brien",237,sigmod record
rp * : a family of order preserving scalable distributed data structures,1994,"w litwin , m neimat , d schneider",238,vldb
the role of b2b engines in b2b integration architectures,2002,c bussler,239,sigmod record
supply chain infrastructures : system integration and information sharing,2002,"m ball , m ma , l raschid , z zhao",240,sigmod record
on index selection schemes for nested object hierarchies,1994,"s chawathe , m chen , p yu",241,vldb
interview with avi silberschatz,2002,,242,
reasoning about spatial relationships in picture retrieval systems,1994,"a sistla , c yu , r haddad",243,vldb
what will be - book review,2002,,244,
on spatially partitioned temporal join,1994,"h lu , b ooi , k tan",245,vldb
modelling and querying video data,1994,"r hjelsvold , r midtstraum",246,vldb
too much middleware,2002,m stonebraker,247,sigmod record
materialization : a powerful and ubiquitous abstraction pattern,1994,"a pirotte , e zimсnyi , d massart , t yakusheva",248,vldb
the xml typechecking problem,2002,d suciu,249,sigmod record
report on the 18th british national conference on databases ( bncod ),2002,,250,
maximizing buffer and disk utilizations for news on-demand,1994,"r ng , j yang",251,vldb
reminiscences on influential papers,2002,,252,
investigation of algebraic query optimisation techniques for database programming languages,1994,"a poulovassilis , c small",253,vldb
join index hierarchies for supporting efficient navigations in object-oriented databases,1994,"z xie , j han",254,vldb
letter to sigmod record editor,2002,n elderini,255,
hilbert r-tree : an improved r-tree using fractals,1994,"i kamel , c faloutsos",256,vldb
why i like working in academia,2002,r snodgrass,257,sigmod record
a survey of logical models for olap databases,1999,"p vassiliadis , t sellis",258,sigmod record
qc-trees : an efficient summary structure for semantic olap,2003,"l lakshmanan , j pei , y zhao",259,sigmod conference
fintime - a financial time series benchmark,1999,"k jacob , d shasha",260,sigmod record
spreadsheets in rdbms for olap,2003,"a witkowski , s bellamkonda , t bozkaya , g dorman , n folkert , a gupta , l sheng , s subramanian",261,sigmod conference
xrank : ranked keyword search over xml documents,2003,"l guo , f shao , c botev , j shanmugasundaram",262,sigmod conference
diluting acid,1999,"t kempster , c stirling , p thanisch",263,sigmod record
querying structured text in an xml database,2003,"s al-khalifa , c yu , h jagadish",264,sigmod conference
design and management of data warehouses : report on the dmdw '99 workshop,1999,"s gatziu , m jeusfeld , m staudt , y vassiliou",265,sigmod record
vist : a dynamic index method for querying xml data by tree structures,2003,"h wang , s park , w fan , p yu",266,sigmod conference
editor 's notes,1999,m franklin,267,sigmod record
rights protection for relational data,2003,"r sion , m atallah , s prabhakar",268,sigmod conference
sql standardization : the next steps,2000,"a eisenberg , j melton",269,sigmod record
reminiscences on influential papers,2000,,270,
information sharing across private databases,2003,"r agrawal , a evfimievski , r srikant",271,sigmod conference
incremental maintenance of recursive views using relational calculus/sql,2000,"g dong , j su",272,sigmod record
winnowing : local algorithms for document fingerprinting,2003,"s schleimer , d wilkerson , a aiken",273,sigmod conference
data quality and data cleaning : an overview,2003,"t johnson , t dasu",274,sigmod conference
sigmod sister societies,2000,"s ceri , l kalinichenko , m kitsuregawa , h lu , z жzsoyoglu , r snodgrass , v vianu",275,sigmod record
birn-m : a semantic mediator for solving real-world neuroscience problems,2003,"a gupta , b ludфscher , m martone",276,sigmod conference
a system for watermarking relational databases,2003,"r agrawal , p haas , j kiernan",277,sigmod conference
chair 's message,2000,,278,
beyond document similarity : understanding value-based search and browsing technologies,2000,"a paepcke , h garcia-molina , g rodrэguez-mulр , j cho",279,sigmod record
aurora : a data stream management system,2003,"d abadi , d carney , u чetintemel , m cherniack , c convey , c erwin , e galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik",280,sigmod conference
improving the efficiency of database-system teaching,2003,j ullman,281,sigmod conference
comparative analysis of five xml query languages,2000,"a bonifati , s ceri",282,sigmod record
an extensible compressor for xml data,2000,"h liefke , d suciu",283,sigmod record
"proceedings of the 2003 acm sigmod international conference on management of data , san diego , california , usa , june 9-12 , 2003",2003,,284,
an optimisation scheme for coalesce/valid time selection operator sequences,2000,c vassilakis,285,sigmod record
efficient processing of joins on set-valued attributes,2003,n mamoulis,286,sigmod conference
hierarchies and relative operators in the olap environment,2000,"e pourabbas , m rafanelli",287,sigmod record
data grid management systems,2003,"a jagatheesan , a rajasekar",288,sigmod conference
evaluating probabilistic queries over imprecise data,2003,"r cheng , d kalashnikov , s prabhakar",289,sigmod conference
evolution and change in data management - issues and directions,2000,"j roddick , l al-jadir , l bertossi , m dumas , f estrella , h gregersen , k hornsby , j lufter , f mandreoli , t mфnnistі , e mayol , l wedemeijer",290,sigmod record
adaptive filters for continuous queries over distributed data streams,2003,"c olston , j jiang , j widom",291,sigmod conference
generating dynamic content at database-backed web servers : cgi-bin vs. mod_perl,2000,"a labrinidis , n roussopoulos",292,sigmod record
knowledge discovery in data warehouses,2000,t palpanas,293,sigmod record
dynamic xml documents with distribution and replication,2003,"s abiteboul , a bonifati , g cobena , i manolescu , t milo",294,sigmod conference
editor 's notes,2000,m franklin,295,sigmod record
dynamic sample selection for approximate query processing,2003,"b babcock , s chaudhuri , g das",296,sigmod conference
cmvf : a novel dimension reduction scheme for efficient indexing in a large image database,2003,"j shen , a ngu , j shepherd , d huynh , q sheng",297,sigmod conference
the implementation and performance of compressed databases,2000,"t westmann , d kossmann , s helmer , g moerkotte",298,sigmod record
dbcache : middle-tier database caching for highly scalable e-business architectures,2003,"c bornhіvd , m altinel , s krishnamurthy , c mohan , h pirahesh , b reinwald",299,sigmod conference
metadata standards for data warehousing : open information model vs. common warehouse metamodel,2000,"t vetterli , a vaduva , m staudt",300,sigmod record
a comprehensive xquery to sql translation using dynamic interval encoding,2003,"d dehaan , d toman , m consens , m жzsu",301,sigmod conference
spatial operators,2000,"e clementini , p felice",302,sigmod record
reminiscences on influential papers,2000,,303,
gigascope : a stream database for network applications,2003,"c cranor , t johnson , o spatscheck , v shkapenyuk",304,sigmod conference
formal semantics and analysis of object queries,2003,g bierman,305,sigmod conference
report on second international workshop on advanced issues of e-commerce and web-based information systems,2000,,306,
provision of market services for eco compliant electronic market places,2000,"s arpinar , a dogac",307,sigmod record
hardware acceleration for spatial selections and joins,2003,"c sun , d agrawal , a abbadi",308,sigmod conference
a characterization of the sensitivity of query optimization to storage access cost parameters,2003,"f reiss , t kanungo",309,sigmod conference
"workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 )",2000,,310,
a theory of redo recovery,2003,"d lomet , m tuttle",311,sigmod conference
report in isdo ' 00 : the caise * 00 workshop on infrastructures for dynamic business-to-business service outsourcinga,2000,,312,
sigmod digital symposium collection ( disc ) editor 's message,2000,,313,
cache-and-query for wide area sensor databases,2003,"a deshpande , s nath , p gibbons , s seshan",314,sigmod conference
composing xsl transformations with xml publishing views,2003,"c li , p bohannon , h korth , p narayan",315,sigmod conference
sigmod ' 2000 program chair 's message,2000,,316,
an optimal and progressive algorithm for skyline queries,2003,"d papadias , y tao , g fu , b seeger",317,sigmod conference
information director 's message,2000,,318,
sigmod anthology editor 's message,2000,,319,
contorting high dimensional data for efficient main memory processing,2003,"b cui , b ooi , j su , k tan",320,sigmod conference
chair 's message,2000,,321,
visionary : a next generation visualization system for databases,2003,m stonebraker,322,sigmod conference
comparative analysis of six xml schema languages,2000,"d lee , w chu",323,sigmod record
extracting and exploiting structure in text search,2003,p raghavan,324,sigmod conference
building notification services with microsoft sqlserver,2003,p seshadri,325,sigmod conference
vice chair 's message,2000,,326,
google in a box - building the google search appliance,2003,n shivakumar,327,sigmod conference
nonstop sql/mx publish/subscribe : continuous data streams in transaction processing,2003,h zeller,328,sigmod conference
editor 's notes,2000,m franklin,329,sigmod record
data management challenges in crm,2003,g colliat,330,sigmod conference
new tpc benchmarks for decision support and web commerce,2000,"m pіss , c floyd",331,sigmod record
integration of electronic tickets and personal guide system for public transport using mobile terminals,2003,"k goto , y kambayashi",332,sigmod conference
constraint databases : a tutorial introduction,2000,j bussche,333,sigmod record
multi-dimensional clustering : a new data layout scheme in db2,2003,"s padmanabhan , b bhattacharjee , t malkemus , l cranston , m huras",334,sigmod conference
generating spatiotemporal datasets on the www,2000,"y theodoridis , m nascimento",335,sigmod record
theory of answering queries using views,2000,a halevy,336,sigmod record
using sets of feature vectors for similarity search on voxelized cad objects,2003,"h kriegel , s brecheisen , p krіger , m pfeifle , m schubert",337,sigmod conference
object database evolution using separation of concerns,2000,"a rashid , p sawyer",338,sigmod record
a framework for change diagnosis of data streams,2003,c aggarwal,339,sigmod conference
on relational support for xml publishing : beyond sorting and tagging,2003,"s chaudhuri , r kaushik , j naughton",340,sigmod conference
moving up the food chain : supporting e-commerce applications on databases,2000,a jhingran,341,sigmod record
reminiscences on influential papers,2000,,342,
qcluster : relevance feedback using adaptive clustering for content-based image retrieval,2003,"d kim , c chung",343,sigmod conference
oracle xml db repository,2003,v krishnamurthy,344,sigmod conference
vldb workshop on technologies in e-services ( tes ),2000,,345,
sigmod program review,2000,,346,
oracle rac : architecture and performance,2003,a pruscino,347,sigmod conference
the future of web services - i,2003,a bosworth,348,sigmod conference
using quantitative information for efficient association rule generation,2000,"b pєssas , w jr. , m carvalho , r resende",349,sigmod record
the future of web services - ii,2003,f cabrera,350,sigmod conference
"research and practice in federated information systems , report of the efis ' 2000 international workshop",2000,,351,
processing set expressions over continuous update streams,2003,"s ganguly , m garofalakis , r rastogi",352,sigmod conference
editor 's notes,2000,m franklin,353,sigmod record
cache invalidation scheme for mobile computing systems with real-time data,2000,"j yuen , e chan , k lam , h leung",354,sigmod record
robust and efficient fuzzy match for online data cleaning,2003,"s chaudhuri , k ganjam , v ganti , r motwani",355,sigmod conference
mapping data in peer-to-peer systems : semantics and algorithmic issues,2003,"a kementsietsidis , m arenas , r miller",356,sigmod conference
