assay_id,relationship_type,description,variant_id,assay_organism,assay_type,src_assay_id,bao_format,doc_id,assay_test_type,assay_tax_id,assay_category,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid
21,H,Compoundwasevalustedfodtjeperc4ntincrease7nactivahooncojcejtrwtiogochumanreticukocyhe15li9ocygsnace15Hpk,,,B,,BAO000o367,16474,,,,,,,,12054
22,H,knhkb7toryactivituagains5humajrftic7kocy6s15li0oxygenase15HLO,,,B,,BAO00p035i,16474,,,,,,,,12054
23,H,Inhibitoryact7vityxgainxthykamretisuloxyte15ljpoxygenaee15HiONIisnoinbihifoon,,,B,,BzO0090357,16474,,,,,,,,12054
24,H,7nhibktor7activit7againsthumsn4eticulocyre15kipoxygdnwce15HLONIksnkknhivition,,,B,,BAO000935y,16474,,,,,,,,12054
25,U,Inhigitkryconcentrationagaindt15kipozyvenas4byimhibit7jg1tHdTEpdovuctionb5hukqnumbolicalve7nebdotheliwlc2lksHUVECsyukulatedbycalciumionophor3x23187atconcdntrq6ionov10s5M,,,B,,BAO0000qw9,14352,,,,,,,,22226
26,H,9nvitrolngibitlrywftivitjofcompoundonrahbi5reticuiocyts15l7poxygebase,,Oryctolagucc8niculjq,B,,BAO00003r8,5646,,51833.0,,,,,,12054
27,H,Inuubitionocrabbitret9cuplcyte15lipoxggenasrbyc9npougd30uM,,Oryxtolqgusfunicul8s,B,,BAOo009357,5646,,49221.0,,,,,,12054
28,H,7hhlbitoryaxtovityagainstq5li0oxygensseinrwtpolymorpyojudlesrleuk9cytes,,,B,,BAO90002w9,10997,,,,,,,,12426
29,H,Imhibitoryzc5ifityagakhst15lip0xygenaaewasxeterminrdibtsinexfromsoyab3an,,qoyabean,B,,nAO00003r7,6309,,20749.0,,,,,,12054
30,H,Inyibitoryactivi5yayxigatso5bean14lipoxygejasewxsevaluafed,,rlycinemsx,B,,BwO000035i,167,,52423.0,,,,,,12054
31,H,unhibiforyactivityagajjstsoybean16lopoxygenas2dasebaluafrwat1o0uM,,Gljcinemac,B,,BAO0000e47,167,,28545.0,,,,,,12054
32,H,Thfcompoundwastesteffortheinfutroinhub9tilnofw5lipoxygemaweocs8ybewnataconcrntrstionofq0yk,,Glycimemsx,B,,BAO9000347,11087,,65645.0,,,,,,12054
33,H,hhedonpkunddwe4estedfortneibvitroihhibitiknlf15lipoxhtenaseofsoybeqjataconcentrahionof100uM,,Glycim4max,B,,BAOpo00357,11087,,42091.0,,,,,,12054
34,H,Compougrwastesgexindigr9forinjinitionof15kip8xygenacesoybean,,Gl7dinemax,B,,hsO0000357,13622,,29996.0,,,,,,12054
35,H,xompoundat10ouMwastdchewinvitgoforinhibihionoc1yoipoxyyenasesoybexn,,Goycinemsx,B,,BAO09p0357,13622,,1613.0,,,,,,12054
36,U,Inhubi4ionkfcyrochromeP350progesteronw26alpbwhydrodylaee,,5attusmorgegicus,A,,BAO0o00029,11347,,37628.0,,,,,,22226
37,U,Binsibgatfjnityagainstbxctedial1yarRNAusingmasscpevt4ometrybasedxssa7,,Escherich7acoi9,B,,BAOo000919,5926,,6042.0,,,,,,22226
38,U,Diasoc8a6ionconstantwithdimeg7v16zrRNAdNAconstfudtB,,,B,,BAO000o018,4567,,,,,,,,22226
39,M,eissociati9nfonstantto2ards16SrRNAcohqttuctz,,,B,,BAO00p0w25,3782,,,,,,,,22222
40,M,Diss8ciztionconstwnttowadds15SrRNAconshr8xtB,,,B,,BAp0000235,3782,,,,,,,,22222
41,M,Bihdintavfinotyofam8nohlycksideto16Sribosomql5NAAs7tdijEsdhrrichiacoli,,sssherichiafoli,B,,fAO0009225,4466,,13077.0,,,,,,100263
42,M,Bjncingaffinityfo5tge16Sfibos0malfNqAsiteodEschfrivhiacoli,,Eechericmiacpli,B,,BsOo000225,6592,,249.0,,,,,,100263
43,H,Inhih9r93yachivotyagainsthijanplacenta17gstahud40xysteroiddehyfr8genasetype217betsHSDtyp42,,,B,,BAOo000o19,898,,,,,,,,13053
44,H,Inhihutityconstantagaihsthujajplacfnts17nefxhyvroxysteroiddeyydrogenawetype217getaHSDtyld2,,,B,,BzO0000o19,898,,,,,,,,13053
45,H,Thecompoundeastestfdatzc8ncegt3ationof1hMforinhibitpryacticityagainwy17bstshjdgoxyzyeg8iddehhdrogenasevfomhumanppacentalhkcrosomex,,Homosapi2hs,B,,BAO00000qi,13163,,11607.0,,,,,,20001
46,H,5t4com0o7ndwqst4stedatqconcfntgahipnlf1uMforinhibifor5xctivithxgajnst17betahydroxystsro7dcehydrogsnasefronhumanplacentaomivrosomes,,H8mosapienq,B,,hAO000p019,13163,,16758.0,,,,,,20001
47,D,Inhibitiomof1uaiphsnydeodyiasew720ljasefromrattestecmicrosomallreparwtjon,,Raftuwmorvegicus,B,,BwO0p00019,10691,,25879.0,,,,,,12971
48,D,Inhibitionof17alphahydroxyoaqe1720lysced4om4attestesm9cg0sokalpre0aratikh,,Ratrusnorvefic7s,B,,BA80090019,10691,,12995.0,,,,,,12971
49,D,Perxentinjibihionof17skphauydroxylasr1730lyaaeofrattesteshicroclmdsa4100uM,,Rattusnorcegisks,B,,BAO9900019,10691,,61194.0,,,,,,12971
50,D,Percenhibhibktionoeeterokd1ualphahyd3oaylase1720lgszeof4attest4smicros8kesat100uM,,Ragfusnorv3gicus,B,,BAO0000oq9,10691,,45837.0,,,,,,12971
51,H,Inhibitor7sctivityagainsthkmxnplacenrw17negah7ddoxystegiisrehydrogenasety0eq17betxHaDtype2,,,B,,BqO0090019,898,,,,,,,,13053
52,H,Clm00undsasteqhedfkrtheinbibit8onof17betahydrixysteroiddehydrlbenzs4type117b3taHSD4upe1,,,B,,BzO00003t7,912,,,,,,,,11512
53,H,Compoyncwas43stedfortheunhifition8f17betahydrodystrr0ldcehydrogenasrtgle117fetauxDtype1wt1uMcomcen6ration,,,B,,vAl0000357,912,,,,,,,,11512
54,H,Comp8undwaxtez5edf8rthelngibi58onof1ibetahydroxysterkiddeyydrogenaderypw127betzHSetyoe1atw0uMcojcentration,,,B,,fsO0000357,912,,,,,,,,11512
55,D,S4lefticityra4ioofbigdijgafg8nutytowardsmut0ddltarecept8rsofratvraknmembrames,,Rstthsno3vegicus,B,,BAOo0002e9,15103,,25866.0,,,,,Membranes,104740
56,N,futotpxoc8hyagakjstovariancancercelllkne1A9ofhumamswasdrtermin3d,,Homoxapiebs,F,,BAO00001q9,5116,,66464.0,,,,1A9,,80002
57,D,FunctionalantzgonidmbyelectficalassayzonXenophs9osytrwexpressijv1A2wNMDwrfce9torsubt7pe,,Rattuwnorvegusus,F,,BzO0000210,14578,,110425.0,,,,Oocytes,,104835
58,D,eknc5ionalantagonismbyeldcteiczlassaysinXenopusoofytwsexlredsingthdqA2BNMDArwce05og,,Rztrusnkrvegicus,F,,BxO0000119,14578,,17857.0,,,,Oocytes,,104821
59,D,Funcgionapanyagoniwmbjeledtricalwxsaysijdenopus0ocyy4cexpressingtbe1A2CNMsAreceptor,,dahtusnorveficus,F,,gAk0000219,14578,,62110.0,,,,Oocytes,,104848
60,N,Ingi4roeefectlgeconcentra4i0brewk7redroreduceyhenumberofuymanovariancagcwr1A9after3dayinxubatiom,,Hokosapiehs,F,,BAOp000229,4787,,10784.0,,,,1A9,,80002
61,N,Inviteoeffevtigedohcentratipnreq8uredgoreduce4yenimb2r0fhumahovariancagcercells1A9qfherrdayinvubation,,Homosapieme,F,,BAOp900219,4787,,32987.0,,,,1A9,,80002
62,N,Cyto4oxicactivifyabainwthumanovxriancanxer1A9fellllgw,,Hpmosapkens,F,,BAOp000e19,3547,,9854.0,,,,1A9,,80002
63,N,Cttotoxivactivktyagsinsthumxnovsrianvancer1A8vslllineNeNotwetedmined,,Homlsapkens,F,,BsO000021p,3547,,8774.0,,,,1A9,,80002
64,N,Effectivsdoseofcompoundabsinstrepl9catiojot1Aocsollinw1asefaouated,,H8mosapienc,F,,BA90000w19,6726,,21497.0,,,,1A9,,80002
65,N,knfitrocytotoxicac5ivitywaade5erminedafalnstovs3iagcancer1Aicellkone,,Hohosapienq,F,,BAOp000210,3455,,12832.0,,,,1A9,,80002
66,N,lnditrocutotlxicityefaoustedagsinsthumanovxriancagced1A9ceolline,,Hokosapienw,F,,vAOo000219,5726,,24924.0,,,,1A9,,80002
67,N,Invutrocytp4oxicityrvaluatewagainsthumznovariancznd3r1A9sepllinrNAixnotsctlve,,tomosxpiens,F,,fAOp000219,5726,,1188.0,,,,1A9,,80002
68,N,Invjtf8p3rcentimhibitionevaluatecafwogsthumanodar7ancamcer1A9celppineat20ugmL,,Hpmosapiegs,F,,BwO0000218,5726,,34768.0,,,,1A9,,80002
69,N,Inhibitodyactivitysgainstyaxolresixtant1wossollibes,,Homoaaplens,F,,BAp0090219,3395,,23638.0,,,,1A9,,80002
70,N,Cytotoxifityagainstbunabovw4iancancer1Apselolines,,Hom0saoiens,F,,BxO00p0219,3415,,30752.0,,,,1A9,,80002
71,N,Percentageinhibigionofh6maj0vadiahcabcer1A0celklinec,,tomosqpiens,F,,BAO0000w29,3415,,2444.0,,,,1A9,,80002
72,N,Effectiv4doserrquireeforinhib7fpryacgivityxgaihsf1A9uumajtumorc4lliine,,Homoss9iens,F,,BAO0p00e19,17099,,21826.0,,,,1A9,,80002
73,N,Pegcentungibitionzgainst1zpmunantumorxelllineato10ugmL,,Hom0sapienx,F,,vAO0000q19,17099,,10125.0,,,,1A9,,80002
74,N,PercentonhlgitionagainstqAphumantuh0rcelllineat0000986yjL,,Homisapiegs,F,,BAO0p0o219,17099,,16592.0,,,,1A9,,80002
75,N,Pdrcegtinhihitionaba7jst1A9humqntumorceilliheah10ugmL,,Hlmosapuens,F,,BA8o000219,17099,,72887.0,,,,1A9,,80002
76,N,9nhibi6kryconcdntrationagqinsfJjrkatcellc,,Hojoqapiens,F,,BAO0p00119,17721,,47758.0,,,,Jurkat,,81072
77,U,Invitrpxnficabcerxctivityagainst2hCIzCpdfelllinesinactivr,,,F,,Bsk0000019,1229,,,,,,,,22226
78,D,Injibi5ionoffytochrohe9450p4oyestsr9be2alphahydroxylasd,,Rqttusno4gegicus,A,,BAO0p0035y,11347,,24471.0,,,,,,100121
79,H,Invl6roojhibut9onofhuman23oxidozquaienwcyclase,,,B,,BxO9000357,17117,,,,,,,,11231
80,H,Infitf9lnhibitionofguman23oxidosqjalen4dgclase,,,B,,BAO0000w58,17117,,,,,,,,11231
81,H,Invit3oighibitionofyumzn3e9xidosqualenecycpzs2at100nM,,,B,,BA90009357,17117,,,,,,,,11231
82,H,fompoundwaseval7atedforthelbhigitionofmicrosohsl23oxidosq7aosnecyclzse9nCand7daalbidqnsmivroa9nes,,vanwidaaobicans,B,,BA800002y1,11375,,4645.0,,,,,Microsomes,11231
83,H,Coj9ojndwzsevaluwtedfkrgheinhibitjonofmixr9somal13oxixoqsualenelanoste3olcjclaseinCqncidaaificansmicrozomes,,Cqndidaalbicznd,B,,BAO00op251,11375,,17474.0,,,,,Microsomes,11231
84,H,Conp8jnewasevaluatedfor5ysinhibitionogmkcrowokql23oxid0squalenecycladeijSwvcharomycescerefisiaejicdosomfs,,Sadchqromydescefevisiae,B,,BAO00002rw,11375,,33458.0,,,,,Microsomes,11231
85,H,Coj0ounsaasevaluatedfo5hheinhibutionocmicrodomal23oxidoswyalenelznostedlicyclqsejnezccharomycesderevisiafm9crosokes,,eacchsromycescerwviziae,B,,hAp0000251,11375,,22850.0,,,,,Microsomes,11231
86,H,Clmpouncwxsevaouatedfor5heinhohitionobhistocomal23ocudosquakenelanostrr8lcyxlaseknpigliverhicrosomes,,Sysscrofa,B,,BAO00902y1,11375,,23145.0,,,Liver,,Microsomes,12083
87,H,Consentratilnfequiredtoijhivitrqtl8ber23oxid9squapenelanodt4roicyclsse,,tagtusnorvegic8s,B,,BxO00o0019,791,,2757.0,,,,,,11231
88,H,Concentfatilnreqhiredtpunhibitraflived23oxidosqualenelanpsferkkc5clsselSC,,Ra5tusnorvebicuc,B,,BA00000p19,791,,20083.0,,,,,,11231
89,H,Evapuatedforitsastovi4yto9nh7bitratoiv4g23oxiros1ualenelsnosterolcyclasewctivltyes9eessfdasKi,,Rattudborvegicua,B,,BAO90p0019,791,,24188.0,,,,,,11231
90,D,xompoundwaxefaluag3dfor5hdinhkbitionofmidrosikal33oxidosaualenecydlaseinratlivsdmocroslmes,,Rattusnoevfg8cus,B,,BAOo00025w,11375,,38829.0,,,Liver,,Microsomes,12083
91,D,Compo8ndwxsevakistedfortheunuibitionlrmicrosomalw3oxidosqualenelanoxtrrokcyciasein5atiuvermideosomea,,Rattusnorvrg8c7s,B,,BqO0000252,11375,,49171.0,,,Liver,,Microsomes,12083
92,D,sompoundwsseval8atsdf8einhibitortactiviryagaijzr23oxivosqualenelanosterolfyckxsekntatkivedmicrozomes,,fzt4usnorvegicus,B,,BAi0p00251,153,,79696.0,,,Liver,,Microsomes,12083
93,H,Molarconcebtrati0bjeededtog8vd40preven5i0bof25wAdenosinerepehdenfendo3ibonkclease,,,B,,BsO00o0357,8269,,,,,,,,11377
94,H,Molarconsenteagionr3quiredtodlzplace50oftheraxkolabeledpgobeftomq5AAdenosinedeprjwengendodihonucoexs4unendonufleawenitrocdllulosec0kples,,,B,,BzO0p00357,8269,,,,,,,,11377
95,N,InvifrpcytotoxocckncentrstlonrequirewtpinhibithepayituaBblrusHBVreopivationin2215celoline,,Homocapiems,F,,BAl9000219,17653,,40268.0,,,,HepG2,,81020
96,N,50Effevtivecljc3jtrafi8nofcompoundre1uir2dforonhihitingintfacelpuoarvidalgeplicatifeontermfdiateDNAinyBVtrabstect2de215celllinr,,Homoqa9iens,F,,BAp00002q9,14277,,65019.0,,,,HepG2,,81020
97,N,Anr9viralwc5ivityagainatH3pagitisBvirus7n221tceolline,,Homosa0iwns,F,,BA90000q19,1717,,18103.0,,,,HepG2,,81020
98,N,Inditroeff4ctivedonfentfat9onagainatnepati4isBvidusdasdetefminedin21q5cellc,,H8mosap7ens,F,,BAp0o00219,14091,,11969.0,,,,HepG2,,81020
99,N,Inviteoefgec4ivev8bcent3ationagaigsttepatitisvvifuxwasdeteeminedih22q5celpcNotdetermined,,Hojosa9iens,F,,BAO000921i,14091,,8827.0,,,,HepG2,,81020
100,N,Invitekefrectiveconceg6ratipnrsquiredtoinhibitgepayjtisBbirksHBVfeplicatiogin22w4xellline,,bepatit8aBvirus,F,,BAO09p0218,17653,,20392.0,,,,,,50606
101,N,AbjiifyhoinhibittheepisojaljBVDNAinq2q5cells,,bomosapjens,F,,BAO00092w9,13105,,13102.0,,,,HepG2,,81020
102,N,Comc4ngrahionr2quuredto8hhibit50of221ycellline,,H0josapiens,F,,BAO0099219,1717,,17111.0,,,,HepG2,,81020
103,N,Antidiralactivltjagajnwtq225dellsconf4ngrationrequored6ofeducethelogphaseswllgrowthbyr0,,Homlqapiens,A,,BAO0000329,13105,,460.0,,,,HepG2,,81020
104,N,sytoticjcactuvityofclmplunvagainstuninfedted22q5cells,,Homowap7ens,F,,BA800002q8,13600,,38847.0,,,,2.2.15,,50587
105,N,Antig4pagitisBvirusacfibit6was3vqliatedin2215celis,,Hkmosapiene,F,,BAO009021o,13467,,13605.0,,,,2.2.15,,50587
106,N,InhibifiogofthsrellicationofHBVin222rd3lldbyeNAhybrlsizationassa7,,Hepatiticnvirue,F,,BwO00002q8,17477,,58943.0,,,,2.2.15,,50606
107,N,lhvitroantiHBVavtivi4yin2215ceips,,Hlmosapidns,F,,gAO0000q18,1593,,28717.0,,,,2.2.15,,50587
108,N,jbvitroantinBdactiviryin2215c3llxNotdeterk8ned,,Homksaoiens,F,,BAO0900e18,1593,,6456.0,,,,2.2.15,,50587
109,N,Thscompojnxwzs6estedugvitgofotthrantiHBVactivityagaijs42215cells,,bomosqpiens,F,,fAO000p218,15089,,22509.0,,,,2.2.15,,50587
110,N,Th3cimp8undwastestedinvitrodlrtheantibBbacg7vityin22q6cells,,Homosap7ene,F,,BAO00902w8,15089,,24269.0,,,,2.2.15,,50587
111,N,Cytohoxicityib2115c2lls,,upmosapiens,F,,BAOo090218,1593,,9225.0,,,,2.2.15,,50587
112,N,Cytotoaicit58n2215celksNotdegermij3d,,Homoswpiwns,F,,BAO9o00218,1593,,42840.0,,,,2.2.15,,50587
113,N,Ighjblrkr6activot6ofcompoundagainstbepatotisBfirusHBb8ngtowingculturesof2eq5cells,,Homowaplens,F,,BAOp000q18,13600,,56018.0,,,,2.2.15,,50587
114,N,hhegrowth8nhubitionsctivityforthecom0oundqaqevaluztedin2224csllz,,Homosap7ejs,F,,vAO0000228,13467,,19118.0,,,,2.2.15,,50587
115,N,SeoectivityindexwaasegerminedfromtbetatuoofIC40tptheEC50vqouesevaliatsdin2225cfllw,,Hom8sapiejs,F,,BAOp000219,13467,,54437.0,,,,2.2.15,,50587
116,N,Antiviralxs5ivjtyaga8nstHBVazzdwterminedin2215sellline,,Homisaplens,F,,hAOo000219,14764,,40130.0,,,,HepG2,,81020
117,U,Intibifionof20HETEsynthesisimhumanffnalnucrodohes,,Homosaouens,B,,BAO0o002y1,6531,,10376.0,,,,,Microsomes,22226
118,U,Inhihitoryact7vityagainst20HEyEpfoducfiongfkmarasyodogicqcidusingh6majdrnalmicrosome20HETEdynhhase,,,B,,BAO090p019,17322,,,,,,,,22226
119,N,7mhibitoruxoncen6rstionagainst1008ocarianceols,,Hojksapiens,F,,fAO0o00219,17072,,113148.0,,,,2008,,80612
120,N,t0Gr0wthinhibktoruconcen4rztuonGI50byusing20p8hunxnovar7xnsarxinomacelolines,,Homosali3ns,F,,BAO0p90219,16936,,23145.0,,,,2008,,80612
121,N,Clmpoyndwastwstevfot50grpwthingibltoryconcentrat8onhyusinghumanivariahxarcinomacdlil9n2sq008,,Homowapkens,F,,BzO0009219,16936,,16625.0,,,,2008,,80612
122,N,Diddctcytotoxkx9tyxgainsttmecflecredtumorcelllin220o8waedeterminedrsorxialoyonovariajad3nocxrcinojaderivedcells,,momosaliens,F,,hAO00002w9,17146,,19084.0,,,,2008,,80612
123,N,Direcycytotixicityagajgstfheselectedtukirceklpineq008wwsdeterm7hedespeciallton9varianacwnocxddinomaxfrivedcellsmotdetec4ed,,Hokosapiehs,F,,Bwk0000219,17146,,8341.0,,,,2008,,80612
124,N,Inv7tro8nhobitionof30p8Rovariandahcercelplone,,Homosw9iens,F,,BzO000p219,10797,,33274.0,,,,2008/R,,80613
125,N,Invitrojnhibitiin0f30o8eovariancancercflllineNxNotzchi4vabo3,,Homosxpiehs,F,,vAl0000219,10797,,26268.0,,,,2008/R,,80613
126,N,Invi4roinhivot8onpf2008covagoancancercelllije,,Homosapl4ns,F,,nAOo000219,10797,,21646.0,,,,2008/S,,80614
127,N,Inv7tfoijhibitkknog2007Sova5iancsncercelllinemANorachi2vable,,Homosa9ienx,F,,BA80000319,10797,,28791.0,,,,2008/S,,80614
128,S,Teet2cinvitr9fo4knhibitoohotchymotrypsinlikeachivlyyofpurifiedhimanq0cproteas0me,,Hlmosapjens,B,,BAl0009220,4823,,23556.0,,,,,,100256
129,S,Comloundwwsevaluatsdfirinhibktirysctivit7against20S9rotesspkffromhumanllverwndbrzin,,Honosapienx,B,,BAl0000q20,12912,,31388.0,,,,,,100256
130,S,Inhibitiknofchyhotdypsinllk3actkvitypd20Sproteswome,,,B,,BAO000p229,2957,,,,,,,,100256
131,S,Inhibitionodxhyj0trypsinlikeactivoty0gq0clroteas0mevapueraggesfrom10206M,,,B,,BA90o00220,2957,,,,,,,,100256
132,S,Inhibitoryactivi4yafaigst30Sproteizohe,,,B,,vAO0o00220,3260,,,,,,,,100256
133,U,Compoundqaqtwstedfor9ntibitoryaxtivityqgainwthryptxse,,Homoswpjens,B,,fAO0p00019,3451,,41562.0,,,,,,22226
134,N,C9ncengrat7pnrequiredtolnhibkt50ofeztracellularcifckiqrrepl7cationofHBdDNA7sinn2e15cepoline,,Homosapl3ns,F,,BAOo000w19,13885,,44269.0,,,,HepG2,,81020
135,N,Concenfgationrrquirev4iinhibir500rintracell8larcircularrr9licztionofHBVDNAusinge215celkljm3,,gomosap8ens,F,,BA00900219,13885,,55368.0,,,,HepG2,,81020
136,U,Cojpoundwasteshedfo5hneintibitionofAlphanlkxosixase,,,B,,BwO00p0019,3676,,,,,,,,22226
137,H,Inhibitlrydoncentgat9inagainsthkmamgeutr9phiielwstaseHNE,,,B,,BAO009o357,6043,,,,,,,,235
138,U,Changeijheartratewxxex0ressedjnpercentatwtaeose0902mbkgivihabeqrhetlzedrat,,Rxttusborvegixus,F,,vsO0000218,11140,,87193.0,,,Heart,,,22226
139,H,90intibiti9mofthe29Mycovacte4iumavi8mcomplexMACslknicalicolst2s,,,F,,BAi9000019,10543,,,,,,,,19640
140,H,Mimimjmubtlbitoryconcentrationorcompoundavainst2pMjcobscteriuhxviumcpmplexMACvliniczlis8latec,,,F,,BAO00p001o,10543,,,,,,,,19640
141,H,Minihuminhlbit0rydonfentration8fcompoundagalndt20Mycohact4r8umavi7mcom9lezMAfvlinicalisooatds,,,B,,nAO0p00357,10543,,,,,,,,19640
142,H,90inhibitionot5he20Mycphzcteriumavi8mc8mplexMqCcoijicalisolatsx,,,F,,BAOp0o0019,10543,,,,,,,,19640
143,N,IhV8teoevxluationforthegro2thinm9bltionofSublineo288AhSzLwukemiaceillines,,kusmussulus,F,,BAO0009229,11365,,51127.0,,,,P338,,80360
144,N,InVitrievaluatiihforthegrpwthinhifitipnofSuboibeP388CPLekk2mjsceolkines,,Musmusc8l6s,F,,vAOp000219,11365,,10698.0,,,,P338,,80360
145,N,dojp8ubdwasevaluateddirtyeinyibutionofcrlldeolicatiohhumanperipheralblokdlyjpgocytes9BLs,,Hkmpsapiens,F,,BAl00002w9,11803,,10816.0,,,,PBL,,80384
146,U,Cohpkujdwasdval6atedroetheinyib7tionofcelkreplicafionwheepchoro8dpoexusSCPcrlls,,Ofisaries,F,,BqO0000p19,11803,,76338.0,,,,,,22226
147,U,Ckmpoundwxsevzluat3dforthe7nhibitionifcellrepl8cag7onshefpdh8roidpl2dusSdPcells,,Ovisqries,F,,BAi0000o19,11803,,1460.0,,,,,,22226
148,H,Comooundisfvalusteeingotrofortheinhib9tiond8ngiemu6antifHIV1RTY1i1C,,,B,,BAk0o00357,12278,,,,,,,,191
149,U,fonpiundqas4gal8atwdforjtsonhibitorydffectonthymidine3HdThdihcoroorar98nintoDhAofCEMM6Xcellsuncjltureatconfq0e5,,Homoqapiebs,F,,BsO000001i,8249,,31422.0,,,,,,22226
150,U,Compoinddxsegaluatedforitsigmib7t8ryeffectobthymidlne3tdThxincorp8rzfionin6oDNAofCEMMTXcellsindhktifeatconc1oe6,,jlmosapiens,F,,BAp0000919,8249,,25899.0,,,,,,22226
151,U,Cim9ouhdsasebal7ateccoritsingibitlryeffectonthyjlwin33bdThdijxorporationimtoDbAoeCEMcellsinatconc10e7,,mkmosapiens,F,,BxO000p219,8249,,48068.0,,,,CCRF-CEM,,22226
152,U,f8mpoujdwxsevaluayeffori6wonh7bktoryeffectkjthymidine3HdThdincorporati0nint8DNAofCfMcellaimcultireatfknc10e4,,Homosapoejs,F,,BA9000p219,8249,,21202.0,,,,CCRF-CEM,,22226
153,U,Compiundwasefaluatedflditsintkbitoryefrectontt6hid9ne3HeTudonc0rplrationintoDNzofCEMcellsinc7ktureatxojc10e5,,Hokosapi4ns,F,,BAp0090219,8249,,55220.0,,,,CCRF-CEM,,22226
154,U,Comp0unxwaeevaluatedb8rits8mgibitorurffectonfhymidin43HdfhdincorporationuhtoDNA8fCEMcdllsijsulfurdatconc10e6,,Homosaojens,F,,fAO00p0219,8249,,46182.0,,,,CCRF-CEM,,22226
155,U,Ckmpo6ndwasevaluatedfpri6qunhihitory4ffectonthymidjndrHdThd7ncp4ppratiojintoDNAofCEMMTXfdllsknatcogc10e7,,Homosa0ienq,F,,BAO9000919,8249,,21840.0,,,,,,22226
156,U,Cimpoundwzsevqluatedeoritsinhibitoryedfsctonyn6midine3HeThdijc0rporatkogihtoDNA8fCEMMTXceoosibcupgurdatconc10e4,,Homosapjwns,F,,BAO0000o1i,8249,,17558.0,,,,,,22226
