assay_id,assay_tissue,doc_id,cell_id,assay_type,assay_strain,description,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_cell_type,assay_subcellular_fraction,tid
22,,16474,,B,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,,12054
23,,16474,,B,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,,12054
24,,16474,,B,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,,12054
25,,14352,,B,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,,,,22226
26,,5646,,B,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,Oryctolagus cuniculus,9986.0,,,12054
27,,5646,,B,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,Oryctolagus cuniculus,9986.0,,,12054
28,,10997,,B,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,,,,12426
29,,6309,,B,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,soya bean,3847.0,,,12054
30,,167,,B,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,Glycine max,3847.0,,,12054
31,,167,,B,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,Glycine max,3847.0,,,12054
32,,11087,,B,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,Glycine max,3847.0,,,12054
33,,11087,,B,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,Glycine max,3847.0,,,12054
34,,13622,,B,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,Glycine max,3847.0,,,12054
35,,13622,,B,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,Glycine max,3847.0,,,12054
36,,11347,,A,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,Rattus norvegicus,10116.0,,,22226
37,,5926,,B,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,Escherichia coli,562.0,,,22226
38,,4567,,B,,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,,,,22226
39,,3782,,B,,Dissociation constant towards 16S rRNA construct A,,,,,,,22222
40,,3782,,B,,Dissociation constant towards 16S rRNA construct B,,,,,,,22222
41,,4466,,B,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,Escherichia coli,562.0,,,100263
42,,6592,,B,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,Escherichia coli,562.0,,,100263
43,,898,,B,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,,13053
44,,898,,B,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,,13053
45,,13163,,B,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,Homo sapiens,9606.0,,,20001
46,,13163,,B,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,Homo sapiens,9606.0,,,20001
47,,10691,,B,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,Rattus norvegicus,10116.0,,,12971
48,,10691,,B,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,Rattus norvegicus,10116.0,,,12971
49,,10691,,B,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,Rattus norvegicus,10116.0,,,12971
50,,10691,,B,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,Rattus norvegicus,10116.0,,,12971
51,,898,,B,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,,13053
52,,912,,B,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,,,,11512
53,,912,,B,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,,,,11512
54,,912,,B,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,,,,11512
55,,15103,,B,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,Rattus norvegicus,10116.0,,Membranes,104740
56,,5116,506.0,F,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,,Homo sapiens,9606.0,1A9,,80002
57,,14578,,F,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,,Rattus norvegicus,10116.0,Oocytes,,104835
58,,14578,,F,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,,Rattus norvegicus,10116.0,Oocytes,,104821
59,,14578,,F,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,,Rattus norvegicus,10116.0,Oocytes,,104848
60,,4787,506.0,F,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,,Homo sapiens,9606.0,1A9,,80002
61,,4787,506.0,F,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,,Homo sapiens,9606.0,1A9,,80002
62,,3547,506.0,F,,Cytotoxic activity against human ovarian cancer (1A9) cell line,,,Homo sapiens,9606.0,1A9,,80002
63,,3547,506.0,F,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,,Homo sapiens,9606.0,1A9,,80002
64,,6726,506.0,F,,Effective dose of compound against replication of 1A9 cell line was evaluated,,,Homo sapiens,9606.0,1A9,,80002
65,,3455,506.0,F,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,,Homo sapiens,9606.0,1A9,,80002
66,,5726,506.0,F,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,,Homo sapiens,9606.0,1A9,,80002
67,,5726,506.0,F,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,,Homo sapiens,9606.0,1A9,,80002
68,,5726,506.0,F,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,,Homo sapiens,9606.0,1A9,,80002
69,,3395,506.0,F,,Inhibitory activity against Taxol resistant 1A9 cell lines,,,Homo sapiens,9606.0,1A9,,80002
70,,3415,506.0,F,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,,Homo sapiens,9606.0,1A9,,80002
71,,3415,506.0,F,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,,Homo sapiens,9606.0,1A9,,80002
72,,17099,506.0,F,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,,Homo sapiens,9606.0,1A9,,80002
73,,17099,506.0,F,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,,Homo sapiens,9606.0,1A9,,80002
74,,17099,506.0,F,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,,Homo sapiens,9606.0,1A9,,80002
75,,17099,506.0,F,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,,Homo sapiens,9606.0,1A9,,80002
76,,17721,503.0,F,,Inhibitory concentration against Jurkat cells,,,Homo sapiens,9606.0,Jurkat,,81072
77,,1229,,F,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,,,,22226
78,,11347,,A,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,Rattus norvegicus,10116.0,,,100121
79,,17117,,B,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,,11231
80,,17117,,B,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,,11231
81,,17117,,B,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,,,,11231
82,,11375,,B,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,,Candida albicans,5476.0,,Microsomes,11231
83,,11375,,B,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,,Candida albicans,5476.0,,Microsomes,11231
84,,11375,,B,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,,Saccharomyces cerevisiae,4932.0,,Microsomes,11231
85,,11375,,B,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,,Saccharomyces cerevisiae,4932.0,,Microsomes,11231
86,Liver,11375,,B,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,,Sus scrofa,9823.0,,Microsomes,12083
87,,791,,B,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,Rattus norvegicus,10116.0,,,11231
88,,791,,B,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,Rattus norvegicus,10116.0,,,11231
89,,791,,B,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,Rattus norvegicus,10116.0,,,11231
90,Liver,11375,,B,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,,Rattus norvegicus,10116.0,,Microsomes,12083
91,Liver,11375,,B,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,Rattus norvegicus,10116.0,,Microsomes,12083
92,Liver,153,,B,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,Rattus norvegicus,10116.0,,Microsomes,12083
93,,8269,,B,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,,,,11377
94,,8269,,B,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,,,,11377
95,,17653,726.0,F,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,Homo sapiens,9606.0,HepG2,,81020
96,,14277,726.0,F,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,,Homo sapiens,9606.0,HepG2,,81020
97,,1717,726.0,F,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,,Homo sapiens,9606.0,HepG2,,81020
98,,14091,726.0,F,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,,Homo sapiens,9606.0,HepG2,,81020
99,,14091,726.0,F,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,,Homo sapiens,9606.0,HepG2,,81020
100,,17653,,F,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,Hepatitis B virus,10407.0,,,50606
101,,13105,726.0,F,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,,Homo sapiens,9606.0,HepG2,,81020
102,,1717,726.0,F,,Concentration required to inhibit 50% of 2.2.15 cell line,,,Homo sapiens,9606.0,HepG2,,81020
103,,13105,726.0,A,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,,Homo sapiens,9606.0,HepG2,,81020
104,,13600,,F,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,,Homo sapiens,9606.0,2.2.15,,50587
105,,13467,,F,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,,Homo sapiens,9606.0,2.2.15,,50587
106,,17477,,F,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,,Hepatitis B virus,10407.0,2.2.15,,50606
107,,1593,,F,,In vitro anti-HBV activity in 2.2.15 cells,,,Homo sapiens,9606.0,2.2.15,,50587
108,,1593,,F,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,,Homo sapiens,9606.0,2.2.15,,50587
109,,15089,,F,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,,Homo sapiens,9606.0,2.2.15,,50587
110,,15089,,F,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,,Homo sapiens,9606.0,2.2.15,,50587
111,,1593,,F,,Cytotoxicity in 2.2.15 cells,,,Homo sapiens,9606.0,2.2.15,,50587
112,,1593,,F,,Cytotoxicity in 2.2.15 cells; Not determined,,,Homo sapiens,9606.0,2.2.15,,50587
113,,13600,,F,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,,Homo sapiens,9606.0,2.2.15,,50587
114,,13467,,F,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,,Homo sapiens,9606.0,2.2.15,,50587
115,,13467,,F,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,,Homo sapiens,9606.0,2.2.15,,50587
116,,14764,726.0,F,,Antiviral activity against HBV was determined in 2.215 cell line,,,Homo sapiens,9606.0,HepG2,,81020
117,,6531,,B,,Inhibition of 20-HETE synthesis in human renal microsomes,,,Homo sapiens,9606.0,,Microsomes,22226
118,,17322,,B,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,,,,22226
119,,17072,388.0,F,,Inhibitory concentration against 2008 (ovarian) cells,,,Homo sapiens,9606.0,2008,,80612
120,,16936,388.0,F,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,,Homo sapiens,9606.0,2008,,80612
121,,16936,388.0,F,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,,Homo sapiens,9606.0,2008,,80612
122,,17146,388.0,F,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,,Homo sapiens,9606.0,2008,,80612
123,,17146,388.0,F,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,,Homo sapiens,9606.0,2008,,80612
124,,10797,561.0,F,,In vitro inhibition of 2008/R ovarian cancer cell line,,,Homo sapiens,9606.0,2008/R,,80613
125,,10797,561.0,F,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,,Homo sapiens,9606.0,2008/R,,80613
126,,10797,389.0,F,,In vitro inhibition of 2008/S ovarian cancer cell line,,,Homo sapiens,9606.0,2008/S,,80614
127,,10797,389.0,F,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,,Homo sapiens,9606.0,2008/S,,80614
128,,4823,,B,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,,Homo sapiens,9606.0,,,100256
129,,12912,,B,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,,Homo sapiens,9606.0,,,100256
130,,2957,,B,,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,,,,100256
131,,2957,,B,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,,,,100256
132,,3260,,B,,Inhibitory activity against 20S proteosome,,,,,,,100256
133,,3451,,B,,Compound was tested for inhibitory activity against tryptase,,,Homo sapiens,9606.0,,,22226
134,,13885,726.0,F,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,,Homo sapiens,9606.0,HepG2,,81020
135,,13885,726.0,F,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,,Homo sapiens,9606.0,HepG2,,81020
136,,3676,,B,,Compound was tested for the inhibition of Alpha-glucosidase,,,,,,,22226
137,,6043,,B,,Inhibitory concentration against human neutrophil elastase (HNE),,,,,,,235
138,Heart,11140,,F,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,,Rattus norvegicus,10116.0,,,22226
139,,10543,,F,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,,19640
140,,10543,,F,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,,19640
141,,10543,,B,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,,19640
142,,10543,,F,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,,19640
143,,11365,524.0,F,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,,Mus musculus,10090.0,P338,,80360
144,,11365,524.0,F,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,,Mus musculus,10090.0,P338,,80360
145,,11803,554.0,F,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,,Homo sapiens,9606.0,PBL,,80384
146,,11803,,F,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,,Ovis aries,9940.0,,,22226
147,,11803,,F,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,,Ovis aries,9940.0,,,22226
148,,12278,,B,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,,,,,191
149,,8249,,F,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,,Homo sapiens,9606.0,,,22226
150,,8249,,F,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,,Homo sapiens,9606.0,,,22226
151,,8249,635.0,F,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,,Homo sapiens,9606.0,CCRF-CEM,,22226
152,,8249,635.0,F,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,,Homo sapiens,9606.0,CCRF-CEM,,22226
153,,8249,635.0,F,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,,Homo sapiens,9606.0,CCRF-CEM,,22226
154,,8249,635.0,F,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,,Homo sapiens,9606.0,CCRF-CEM,,22226
155,,8249,,F,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,,Homo sapiens,9606.0,,,22226
156,,8249,,F,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,,Homo sapiens,9606.0,,,22226
157,,16992,,B,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,,,,,104290
158,,10543,,F,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,,Streptococcus pyogenes,1314.0,,,50264
159,,17833,,F,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,,Human herpesvirus 3,10335.0,,,50527
160,,17290,468.0,F,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,,vericilla zoster virus,10335.0,HEL,,50527
161,,17290,,F,,Antiviral activity against 07/1 strain of VZV; ND: No data,,,vericilla zoster virus,10335.0,,,50527
162,,17290,,F,,Antiviral activity against 07/1 strain of VZV; ND=No data,,,vericilla zoster virus,10335.0,,,50527
163,,10932,,F,,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,,escherichia cloac,561.0,,,50145
164,,9707,,B,,Ratio of Ki at A2 to Ki at A1 receptors,,,,,,,22226
165,,2346,,B,,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,,Candida albicans,5476.0,,,11143
166,,2205,,B,,"Inhibition of 1,3-beta-glucan synthase",,,Candida glabrata CBS 138,284593.0,,,18077
167,,11900,832.0,F,,Inhibition of growth of 1-87 human tumor cell line,,,Homo sapiens,9606.0,1-87 tumor cell line,,80609
168,,14864,,B,,Inhibition of 1-lipoxygenase (LOX)in RBL cells,,,Rattus norvegicus,10116.0,,,12166
169,,16474,,B,,Inhibitory activity against soybean 1-lipoxygenase (SLO),,,Glycine max,3847.0,,,100171
170,,16474,,B,,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,,,Glycine max,3847.0,,,100171
171,,16474,,B,,% inhibition against soybean 1-lipoxygenase (SLO),,,Glycine max,3847.0,,,100171
172,,16474,,B,,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,,,Glycine max,3847.0,,,100171
173,,3094,,B,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,,,Glycine max,3847.0,,,100171
174,,3094,,B,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,,,Glycine max,3847.0,,,100171
175,,3094,,B,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,,,Glycine max,3847.0,,,100171
176,,3094,,B,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,,,Glycine max,3847.0,,,100171
177,,3094,,B,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,,,Glycine max,3847.0,,,100171
178,,3094,,B,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,,,Glycine max,3847.0,,,100171
179,,3094,,B,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,,,Glycine max,3847.0,,,100171
180,,3094,,B,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,,,Glycine max,3847.0,,,100171
181,,3094,,B,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,,,Glycine max,3847.0,,,100171
182,,3094,,B,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,,,Glycine max,3847.0,,,100171
183,,3094,,B,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,,,Glycine max,3847.0,,,100171
184,,10413,,B,,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,,,Mus musculus,10090.0,,,22226
185,,16929,294.0,F,,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),,,Mus musculus,10090.0,C3H 10T1/2,,80049
186,,1229,,F,,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,,,,,,,22226
187,,16587,,B,,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),,,,,,,11489
188,,16587,,B,,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),,,,,,,11862
189,,16587,,B,,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,,,,,,,11862
190,,16587,,B,,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,,,,,,,11489
191,,16587,,B,,Inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 2 at a concentration of 0.2 mM; NI means no inhibition,,,,,,,11862
192,,8058,,F,,Evaluated for inhibition of bovine adrenal cortical mitochondrial 11 beta-hydroxylase,,,Bos taurus,9913.0,,,12347
193,,9065,,B,,Effect on adrenal 11-beta-hydroxylase activity at 10e-4 M; No significant effect,,,Rattus norvegicus,10116.0,,,100120
194,Adrenal gland,8865,,B,,Inhibition of 11 beta-hydroxylase from rat adrenal gland,,,Rattus norvegicus,10116.0,,,100120
195,,9066,,B,,Inhibition of rat adrenal 11-beta-hydroxylase,,,Rattus norvegicus,10116.0,,,100120
196,,8394,,B,,Inhibition of rat adrenal 11-beta-hydroxylase,,,Rattus norvegicus,10116.0,,,100120
197,,8394,,B,,Inhibition of rat adrenal 11-beta-hydroxylase at 10e-5 M,,,Rattus norvegicus,10116.0,,,100120
198,,6431,,B,,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 1 of wistar rat liver cytosol at 10 uM was determined using [3H]cortisone,,,,,,,10328
199,,6431,,B,,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,,,,,,,11490
