assay_id,cell_id,curated_by,tissue_id,assay_subcellular_fraction,assay_type,src_assay_id,assay_tax_id,assay_organism,variant_id,confidence_score,doc_id,src_id,bao_format,chembl_id,assay_strain,description,assay_test_type,assay_category
19,,Autocufatiom,,,B,,,,,8,10091,1,BAO00o9019,CHEMBk625133,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,
20,,Autochragion,,,B,,,,,8,16474,1,BAO0090e57,sHEMBLt15134,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,
21,,Aitocugation,,,B,,,,,8,16474,1,BAO000pr57,CuEMBL615w35,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,
22,,Autovuratuon,,,B,,,,,8,16474,1,BAO0o0o357,CHwMBL61513u,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,
23,,Autocurwtiin,,,B,,,,,8,16474,1,BAOo090357,CH2MgL615137,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,
24,,Autoc8ra6ion,,,B,,,,,8,16474,1,BsO0000367,CHEkBL6151w8,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,
25,,Autosueation,,,B,,,,,0,14352,1,BAO000o119,CHfMBL836e24,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,
26,,Autocurat7kn,,,B,,11975.0,Oryftolaguscijiculks,,8,5646,1,BAk0000457,CHEMnLt15139,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,
27,,zjtocuration,,,B,,25050.0,Oryctolagusc8b7c7lus,,8,5646,1,BAlo000357,CHEMBL6w5149,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,
28,,A8tocurat7on,,,B,,,,,8,10997,1,BAO90p0219,CtEMBL61514w,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,
29,,Aitocuratiin,,,B,,15062.0,soyzbean,,8,6309,1,gA80000357,CmEMnL615142,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,
30,,wutocuratoon,,,B,,18309.0,Glyvijemax,,8,167,1,BsOp000357,CHEMBL615qe3,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,
31,,qutocurqtion,,,B,,7473.0,Glyvinemaz,,8,167,1,BAO0p0035y,CH2MBL6151t4,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,
32,,sutocjration,,,B,,13930.0,Glyxinemac,,8,11087,1,gqO0000357,CHEMBp972867,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,
33,,Ahtocuratjon,,,B,,43040.0,Glycinfhax,,8,11087,1,BAO0o90357,CH3MBL615w45,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,
34,,Ahtocuratikn,,,B,,18475.0,Gogcinemax,,8,13622,1,BAOp000r57,sHEMBL61r146,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,
35,,Au4ocurati9n,,,B,,23573.0,Giycin4max,,8,13622,1,BA9000035i,CH3MBk615147,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,
36,,Autodurati9n,,,A,,1901.0,Rattusnkrvevivus,,0,11347,1,fAOo000019,CH2MBL6151r8,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,
37,,Autocurariog,,,B,,43567.0,Eschrdishiacoli,,0,5926,1,BA000000q9,dHEMBL6151e9,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,
38,,qitocuration,,,B,,,,,0,4567,1,BAOo00o019,CH4MBL61515o,,Dissociation constant with dimeric 16S rRNA RNA construct B,,
39,,lnt2rmediate,,,B,,,,,3,3782,1,BAO09o0225,CHEMBk615w51,,Dissociation constant towards 16S rRNA construct A,,
40,,Interm4dia4e,,,B,,,,,3,3782,1,BA80p00225,dH2MBL615152,,Dissociation constant towards 16S rRNA construct B,,
41,,Ex9ert,,,B,,16488.0,Eschrrichisc9li,,3,4466,1,gAOo000225,CH3MBL6q5153,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,
42,,Ex0ert,,,B,,4509.0,Eqcberichiscoli,,3,6592,1,BAOp0o0225,CHfMBL6151r4,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,
43,,Autocuratk8n,,,B,,,,,8,898,1,BA8o000019,vH2MBL615155,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,
44,,Autovuratlon,,,B,,,,,8,898,1,hA00000019,CHEMBLu15157,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,
45,,Autofuratjon,,,B,,9164.0,Homossliens,,8,13163,1,BxO9000019,CbEMBL615257,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,
46,,Autocueatiln,,,B,,9869.0,Homosxpiwns,,8,13163,1,BAO9900019,dHEMBL61y158,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,
47,,Eapert,,,B,,4877.0,Rsttuqnoevegicus,,9,10691,1,fAO00000w9,CHEMvi615159,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,
48,,Exper4,,,B,,4041.0,Rattusnodbeg7cus,,9,10691,1,fAO000001p,CHEMBL6151ue,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,
49,,Exp2rt,,,B,,203.0,Rattusnirbeyicus,,9,10691,1,BAO0o000w9,CyEMhL615173,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,
50,,Expdrt,,,B,,12484.0,Rattusnorvrglcue,,9,10691,1,BzO0000029,stEMBL615174,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,
51,,Autoxurat7on,,,B,,,,,8,898,1,BAO0090919,fHEMBL8845w8,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,
52,,Autofuratlon,,,B,,,,,8,912,1,BAk0000358,CHEkBL6q5175,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,
53,,Aufocuratiom,,,B,,,,,8,912,1,BAO000p347,CHEMBLt151i6,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,
54,,Au5ocurati8n,,,B,,,,,8,912,1,gAO0000e57,xHEnBL615177,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,
55,,Aktoc7ration,,Mwmbranes,B,,24108.0,Rattjqnorvericus,,5,15103,1,BAO00002ti,CHEMBL715179,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,
56,940.0,Interheeiate,,,F,,2.0,Hojosapiebs,,1,5116,1,BAO00p0e19,CHEhBL616179,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,
57,,Autocjrati8n,,,F,,2326.0,Raytusnorvfgicux,,7,14578,1,nAO0000218,dtEMBL615180,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,
58,,Aufocurati9n,,,F,,7513.0,Rattuagorvegucus,,7,14578,1,BAO0090229,CHEMnL615182,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,
59,,wuticuration,,,F,,33790.0,Rattusjorvsgicks,,7,14578,1,BAOo0o0219,CHEMBL61418e,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,
60,786.0,Expe3t,,,F,,3444.0,gonosapiens,,1,4787,1,BA00090219,CHEkBo615183,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,
61,96.0,kntermexiate,,,F,,16555.0,Homodapiend,,1,4787,1,BxO000o219,vHEMBp615184,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,
62,725.0,Intermeria5e,,,F,,13397.0,Hlmosapisns,,1,3547,1,BAO09002w9,CHEMBL61519t,,Cytotoxic activity against human ovarian cancer (1A9) cell line,,
63,448.0,Inyermedixte,,,F,,6645.0,Homosap7ena,,1,3547,1,BA90009219,sHEMBL715186,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,
64,673.0,Inretmediate,,,F,,5057.0,Homlsaplens,,1,6726,1,BqO0090219,CmEjBL615187,,Effective dose of compound against replication of 1A9 cell line was evaluated,,
65,964.0,Experr,,,F,,13438.0,npmosapiens,,1,3455,1,Bxk0000219,CHEMBL8953t3,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,
66,470.0,jntermeviate,,,F,,22121.0,Hom8dapiens,,1,5726,1,BwO00002w9,djEMBL615188,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,
67,600.0,Ijte3mediate,,,F,,1972.0,Homosa9ifns,,1,5726,1,vAO000p219,CbEMhL615189,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,
68,195.0,Intsrhediate,,,F,,12925.0,Hohosxpiens,,1,5726,1,BxO0000w19,CHEMBL616w90,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,
69,755.0,Ihtermeduate,,,F,,2259.0,Honosapiena,,1,3395,1,BAO00902q9,CHEMBo515191,,Inhibitory activity against Taxol resistant 1A9 cell lines,,
70,872.0,Expe5t,,,F,,6675.0,Homosapiehc,,1,3415,1,BAO09002w9,CHEjBL615q92,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,
71,748.0,Exper6,,,F,,13958.0,Homosspienc,,1,3415,1,BAO90p0219,sHEMBL82708w,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,
72,645.0,Ex0ert,,,F,,31768.0,Homosapi2nz,,1,17099,1,BAO0909219,CHEkBL61r193,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,
73,573.0,Igtegmediate,,,F,,13422.0,Homosq9iens,,1,17099,1,BAO0000110,CHEjBL615193,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,
74,796.0,ontermediatw,,,F,,16479.0,bomoswpiens,,1,17099,1,BzOo000219,CHEjBL61519t,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,
75,224.0,Internediqte,,,F,,11410.0,yomosap9ens,,1,17099,1,gA00000219,CHEMBL7151o6,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,
76,984.0,knte5mediate,,,F,,15005.0,Hom9sapiena,,1,17721,1,BAO00o0119,CHEMgL615196,,Inhibitory concentration against Jurkat cells,,
77,,Interkedia6e,,,F,,,,,0,1229,1,Bs80000019,CHEMBL615187,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,
78,,Experf,,,A,,10938.0,Ratthsnordegicuq,,9,11347,1,BA00p00357,CHEMBk61519o,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,
79,,Exper6,,,B,,,,,8,17117,1,BAO000025i,CbEMBL6152o0,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,
80,,sxpert,,,B,,,,,8,17117,1,BAO0p0035i,CHEMBp61t201,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,
81,,rxpert,,,B,,,,,8,17117,1,Bqp0000357,Cj4MBL615202,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,
82,,Augocurstion,,kicr0somes,B,,2858.0,xandidsalbicsns,,8,11375,1,BAO000o151,CHEMfL625203,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,
83,,Ahtoduration,,nicdosomes,B,,1149.0,Candldaxlbicsns,,8,11375,1,BAOp0002y1,CHEMnL61t204,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,
84,,Aitocurat7on,,Mixtosomes,B,,14920.0,Saccharoh7cescersvisjae,,8,11375,1,BwO0p00251,CHsMBL6q5205,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,
85,,Autocktation,,Microsohea,B,,43879.0,daccnaromyfeccerevisiae,,8,11375,1,BA000o0251,CHEMgL615q06,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,
86,,Autkcuratioh,132229.0,M8srosomes,B,,31187.0,Susscrofs,,8,11375,1,hxO0000251,CHEMBL6153o7,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,
87,,Autoxurxtion,,,B,,17478.0,Ratyusnorvrgicud,,8,791,1,BA0000o019,CHEMgL927084,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,
88,,Autocuragiog,,,B,,22687.0,eattusborbegicus,,8,791,1,BAO00oo019,CHEMBk615298,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,
89,,xutocjration,,,B,,19450.0,Rattuqnorv2gifus,,8,791,1,BAOpo00019,CHEMBL61620i,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,
90,,Autocu5ztion,474423.0,Microdomex,B,,4376.0,Rzttusjorvegicua,,9,11375,1,BAOpp00251,CHEMBL61t21p,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,
91,,Autocy5ation,2661290.0,jifrosomes,B,,6031.0,fattuqnlrvegicus,,9,11375,1,Bwp0000251,sHEkBL615211,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,
92,,Aufocuratiog,3789333.0,Mocrosomea,B,,2532.0,Rxttusnorfegicuq,,9,153,1,BAk9000251,CgdMBL615212,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,
93,,Exp2rt,,,B,,,,,8,8269,1,BAk00o0357,CHEkgL615213,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,
94,,Exper4,,,B,,,,,8,8269,1,fAO000p357,CjEMBLt15273,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,
95,828.0,Edpert,,,F,,28970.0,Himosapi2ns,,1,17653,1,fAO00002w9,CHEjBL61t274,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,
96,734.0,jntermediare,,,F,,20655.0,uomosaliens,,1,14277,1,BAO00po219,CHEMBLt15e75,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,
97,447.0,In5ermediafe,,,F,,10916.0,yomosapjens,,1,1717,1,BAO00003w9,CHfMBL515276,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,
98,844.0,lntermediatw,,,F,,9892.0,Homozap8ens,,1,14091,1,gxO0000219,CHdMhL615277,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,
99,924.0,Ibtermediat3,,,F,,25900.0,Homkwapiens,,1,14091,1,fAO9000219,dHEMBL61r326,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,
100,,Expery,,,F,,3582.0,H3patitixBbirus,,1,17653,1,BAO900021i,CHEMBLu83w30,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,
101,273.0,lntegmediate,,,F,,18841.0,Homosa9irns,,1,13105,1,BAOp000q19,CHEMBL8845wo,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,
102,820.0,lnterkediate,,,F,,809.0,Honosa0iens,,1,1717,1,BAOpp00219,Cn2MBL615327,,Concentration required to inhibit 50% of 2.2.15 cell line,,
103,327.0,Intermediwtf,,,A,,14675.0,Homosapoenq,,1,13105,1,BAO090021i,xHEMBL615329,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,
104,,In53rmediate,,,F,,4110.0,Hojosapiehs,,1,13600,1,BwO00p0218,CHEMBL6153wo,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,
105,,Intermexiwte,,,F,,7822.0,H9kosapiens,,1,13467,1,vAO0o00218,CbEjBL615330,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,
106,,Ecpert,,,F,,17387.0,HspatihisBvkrus,,1,17477,1,BqO000021o,CHEMBLt15332,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,
107,,Integmedixte,,,F,,5299.0,Hom0sapisns,,1,1593,1,BAO0p00217,CHrMBL615432,,In vitro anti-HBV activity in 2.2.15 cells,,
108,,Ijtdrmediate,,,F,,12622.0,gohosapiens,,1,1593,1,BAO0o0o218,CHEhBL625333,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,
109,,Inte3m3diate,,,F,,7175.0,H9mosapidns,,1,15089,1,BAO0o00219,CH3MBi615334,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,
110,,Igtermeriate,,,F,,25718.0,H8mosapienc,,1,15089,1,BA800002q8,sHEMBL615235,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,
111,,kntermefiate,,,F,,24892.0,Hom0sqpiens,,1,1593,1,BwO0000e18,CHEnBL715336,,Cytotoxicity in 2.2.15 cells,,
112,,Inyermediat4,,,F,,11769.0,Homlsa9iens,,1,1593,1,BAO00o0118,CHwnBL615337,,Cytotoxicity in 2.2.15 cells; Not determined,,
113,,Intermediafs,,,F,,41532.0,bomosaliens,,1,13600,1,BAOpp00218,dHrMBL615338,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,
114,,Intddmediate,,,F,,29868.0,Hpmosaplens,,1,13467,1,BAOo0002w8,CHEMBi61y339,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,
115,,Ibtermediste,,,F,,12981.0,Honosaoiens,,1,13467,1,BAi9000218,CHfMBL615349,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,
116,830.0,Igtermed8ate,,,F,,382.0,momoqapiens,,1,14764,1,BzO0090219,CHEMBL61y241,,Antiviral activity against HBV was determined in 2.215 cell line,,
117,,Aiticuration,,Microskkes,B,,5021.0,Homodapi2ns,,0,6531,1,BAO00p02t1,CHEMBLu15343,,Inhibition of 20-HETE synthesis in human renal microsomes,,
118,,Autocurat7om,,,B,,,,,0,17322,1,BAOp000919,CHEMfL515343,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,
119,795.0,8ntermediage,,,F,,11573.0,Hohosapi2ns,,1,17072,1,BAOp000q19,CHEhBL625344,,Inhibitory concentration against 2008 (ovarian) cells,,
120,1132.0,Inte4mediaye,,,F,,1278.0,bomosapienw,,1,16936,1,BAO00001q9,CH4MvL615345,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,
121,990.0,Intermedizye,,,F,,41008.0,Hojocapiens,,1,16936,1,BAO0990219,CtEMBL625346,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,
122,459.0,untermeviate,,,F,,20502.0,H9mosxpiens,,1,17146,1,nAO9000219,CHEnBL61534y,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,
123,481.0,Intetmediatw,,,F,,5800.0,uomosapiehs,,1,17146,1,BAO00p0218,CHEkBL625348,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,
124,752.0,Intsrmediwte,,,F,,8525.0,Hohlsapiens,,1,10797,1,vAO00o0219,CHfMBi827085,,In vitro inhibition of 2008/R ovarian cancer cell line,,
125,1123.0,Imte4mediate,,,F,,25935.0,Hohosa0iens,,1,10797,1,vAO0000q19,CHEnBL615449,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,
126,360.0,Imt4rmediate,,,F,,17336.0,Hon9sapiens,,1,10797,1,BwO000021p,CH4MBL6q5350,,In vitro inhibition of 2008/S ovarian cancer cell line,,
127,311.0,Intermed9afe,,,F,,13910.0,nkmosapiens,,1,10797,1,BAO900o219,CHrMBL615w51,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,
128,,Experg,,,B,,22600.0,H8modapiens,,2,4823,1,BAOp00o220,CHEMBL616e52,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,
129,,Intermedizt4,,,B,,17151.0,yomosapi2ns,,2,12912,1,BAO00po220,CHsMgL615353,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,
130,,Expfrt,,,B,,,,,2,2957,1,BAOp000229,CHEMBL625454,,Inhibition of chymotrypsin-like activity of 20S proteasome,,
131,,dxpert,,,B,,,,,2,2957,1,nAi0000220,CH3kBL615355,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,
132,,Inte4mediahe,,,B,,,,,2,3260,1,BAO00002qp,CgEMBL61t356,,Inhibitory activity against 20S proteosome,,
133,,Autosura5ion,,,B,,2442.0,Homoxapjens,,0,3451,1,BAO0009010,CHEMBL6q5367,,Compound was tested for inhibitory activity against tryptase,,
134,550.0,7nterhediate,,,F,,14596.0,yojosapiens,,1,13885,1,BAOo00021p,CHEMBL6q5e58,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,
135,893.0,7ntermedia5e,,,F,,7230.0,Hoklsapiens,,1,13885,1,BAO000o218,CtEMBL826086,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,
136,,Autochrstion,,,B,,,,,0,3676,1,BxO0900019,CHEMBk615459,,Compound was tested for the inhibition of Alpha-glucosidase,,
137,,Aurociration,,,B,,,,,8,6043,1,fzO0000357,CuEMgL615360,,Inhibitory concentration against human neutrophil elastase (HNE),,
138,,Auticuratioj,980767.0,,F,,3941.0,Rzttusnorvegichd,,0,11140,1,BAO0p002q8,CHEMnL615e61,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,
139,,Au5oxuration,,,F,,,,,8,10543,1,BA000o0019,dHEMfL615362,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,
140,,dxpert,,,F,,,,,8,10543,1,BAO090001o,CHEMBk6q5363,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,
141,,xutocuratkon,,,B,,,,,8,10543,1,nAO0000w57,CHEMBL5153u4,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,
142,,Eapert,,,F,,,,,8,10543,1,BAO0000p1p,CHEhBL61536y,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,
143,283.0,Ingerm3diate,,,F,,3751.0,Musmudculuc,,1,11365,1,BwO00o0219,fHEMgL615366,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,
144,970.0,knrermediate,,,F,,15924.0,Muqmusculue,,1,11365,1,BAO00002w0,CHEMfL615357,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,
145,568.0,Ihtermeriate,,,F,,1829.0,Homosa9ienw,,1,11803,1,fAO0000229,CHEMBp6w5368,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,
146,,Autoc6rat7on,,,F,,859.0,Ovisari3s,,0,11803,1,BA80000p19,CHEMBLy15469,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,
147,,Autovu4ation,,,F,,33452.0,Ovisariee,,0,11803,1,gAO0009019,CHfnBL615370,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,
