cell_id,assay_cell_type,tissue_id,assay_subcellular_fraction,description,variant_id,relationship_type,assay_tissue,src_id,assay_strain,assay_organism,confidence_score,assay_type,chembl_id,assay_id,tid,curated_by,assay_tax_id,assay_category,bao_format,assay_test_type,doc_id,src_assay_id
,,,,Dissociation constant with dimeric 16S rRNA RNA construct B,,U,,1,,,0,B,CHEMBL615150,38,22226,Autocuration,,,BAO_0000019,,4567,
,,,,Dissociation constant towards 16S rRNA construct A,,M,,1,,,3,B,CHEMBL615151,39,22222,Intermediate,,,BAO_0000225,,3782,
,,,,Dissociation constant towards 16S rRNA construct B,,M,,1,,,3,B,CHEMBL615152,40,22222,Intermediate,,,BAO_0000225,,3782,
,,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,M,,1,,Escherichia coli,3,B,CHEMBL615153,41,100263,Expert,562.0,,BAO_0000225,,4466,
,,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,M,,1,,Escherichia coli,3,B,CHEMBL615154,42,100263,Expert,562.0,,BAO_0000225,,6592,
,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,H,,1,,,8,B,CHEMBL615155,43,13053,Autocuration,,,BAO_0000019,,898,
,,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,H,,1,,,8,B,CHEMBL615156,44,13053,Autocuration,,,BAO_0000019,,898,
,,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,H,,1,,Homo sapiens,8,B,CHEMBL615157,45,20001,Autocuration,9606.0,,BAO_0000019,,13163,
,,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,H,,1,,Homo sapiens,8,B,CHEMBL615158,46,20001,Autocuration,9606.0,,BAO_0000019,,13163,
,,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,D,,1,,Rattus norvegicus,9,B,CHEMBL615159,47,12971,Expert,10116.0,,BAO_0000019,,10691,
,,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,D,,1,,Rattus norvegicus,9,B,CHEMBL615172,48,12971,Expert,10116.0,,BAO_0000019,,10691,
,,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,D,,1,,Rattus norvegicus,9,B,CHEMBL615173,49,12971,Expert,10116.0,,BAO_0000019,,10691,
,,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,D,,1,,Rattus norvegicus,9,B,CHEMBL615174,50,12971,Expert,10116.0,,BAO_0000019,,10691,
,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,H,,1,,,8,B,CHEMBL884518,51,13053,Autocuration,,,BAO_0000019,,898,
,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,H,,1,,,8,B,CHEMBL615175,52,11512,Autocuration,,,BAO_0000357,,912,
,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,H,,1,,,8,B,CHEMBL615176,53,11512,Autocuration,,,BAO_0000357,,912,
,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,H,,1,,,8,B,CHEMBL615177,54,11512,Autocuration,,,BAO_0000357,,912,
,,,Membranes,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,D,,1,,Rattus norvegicus,5,B,CHEMBL615178,55,104740,Autocuration,10116.0,,BAO_0000249,,15103,
506.0,1A9,,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,N,,1,,Homo sapiens,1,F,CHEMBL615179,56,80002,Intermediate,9606.0,,BAO_0000219,,5116,
,Oocytes,,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,D,,1,,Rattus norvegicus,7,F,CHEMBL615180,57,104835,Autocuration,10116.0,,BAO_0000219,,14578,
,Oocytes,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,D,,1,,Rattus norvegicus,7,F,CHEMBL615181,58,104821,Autocuration,10116.0,,BAO_0000219,,14578,
,Oocytes,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,D,,1,,Rattus norvegicus,7,F,CHEMBL615182,59,104848,Autocuration,10116.0,,BAO_0000219,,14578,
506.0,1A9,,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,N,,1,,Homo sapiens,1,F,CHEMBL615183,60,80002,Expert,9606.0,,BAO_0000219,,4787,
506.0,1A9,,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,N,,1,,Homo sapiens,1,F,CHEMBL615184,61,80002,Intermediate,9606.0,,BAO_0000219,,4787,
506.0,1A9,,,Cytotoxic activity against human ovarian cancer (1A9) cell line,,N,,1,,Homo sapiens,1,F,CHEMBL615185,62,80002,Intermediate,9606.0,,BAO_0000219,,3547,
506.0,1A9,,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,N,,1,,Homo sapiens,1,F,CHEMBL615186,63,80002,Intermediate,9606.0,,BAO_0000219,,3547,
506.0,1A9,,,Effective dose of compound against replication of 1A9 cell line was evaluated,,N,,1,,Homo sapiens,1,F,CHEMBL615187,64,80002,Intermediate,9606.0,,BAO_0000219,,6726,
506.0,1A9,,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,N,,1,,Homo sapiens,1,F,CHEMBL885343,65,80002,Expert,9606.0,,BAO_0000219,,3455,
506.0,1A9,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,N,,1,,Homo sapiens,1,F,CHEMBL615188,66,80002,Intermediate,9606.0,,BAO_0000219,,5726,
506.0,1A9,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,N,,1,,Homo sapiens,1,F,CHEMBL615189,67,80002,Intermediate,9606.0,,BAO_0000219,,5726,
506.0,1A9,,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,N,,1,,Homo sapiens,1,F,CHEMBL615190,68,80002,Intermediate,9606.0,,BAO_0000219,,5726,
506.0,1A9,,,Inhibitory activity against Taxol resistant 1A9 cell lines,,N,,1,,Homo sapiens,1,F,CHEMBL615191,69,80002,Intermediate,9606.0,,BAO_0000219,,3395,
506.0,1A9,,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,N,,1,,Homo sapiens,1,F,CHEMBL615192,70,80002,Expert,9606.0,,BAO_0000219,,3415,
506.0,1A9,,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,N,,1,,Homo sapiens,1,F,CHEMBL827083,71,80002,Expert,9606.0,,BAO_0000219,,3415,
506.0,1A9,,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,N,,1,,Homo sapiens,1,F,CHEMBL615193,72,80002,Expert,9606.0,,BAO_0000219,,17099,
506.0,1A9,,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,N,,1,,Homo sapiens,1,F,CHEMBL615194,73,80002,Intermediate,9606.0,,BAO_0000219,,17099,
506.0,1A9,,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,N,,1,,Homo sapiens,1,F,CHEMBL615195,74,80002,Intermediate,9606.0,,BAO_0000219,,17099,
506.0,1A9,,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,N,,1,,Homo sapiens,1,F,CHEMBL615196,75,80002,Intermediate,9606.0,,BAO_0000219,,17099,
503.0,Jurkat,,,Inhibitory concentration against Jurkat cells,,N,,1,,Homo sapiens,1,F,CHEMBL615197,76,81072,Intermediate,9606.0,,BAO_0000219,,17721,
,,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,U,,1,,,0,F,CHEMBL615198,77,22226,Intermediate,,,BAO_0000019,,1229,
,,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,D,,1,,Rattus norvegicus,9,A,CHEMBL615199,78,100121,Expert,10116.0,,BAO_0000357,,11347,
,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,H,,1,,,8,B,CHEMBL615200,79,11231,Expert,,,BAO_0000357,,17117,
,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,H,,1,,,8,B,CHEMBL615201,80,11231,Expert,,,BAO_0000357,,17117,
,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,H,,1,,,8,B,CHEMBL615202,81,11231,Expert,,,BAO_0000357,,17117,
,,,Microsomes,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,H,,1,,Candida albicans,8,B,CHEMBL615203,82,11231,Autocuration,5476.0,,BAO_0000251,,11375,
,,,Microsomes,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,H,,1,,Candida albicans,8,B,CHEMBL615204,83,11231,Autocuration,5476.0,,BAO_0000251,,11375,
,,,Microsomes,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,H,,1,,Saccharomyces cerevisiae,8,B,CHEMBL615205,84,11231,Autocuration,4932.0,,BAO_0000251,,11375,
,,,Microsomes,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,H,,1,,Saccharomyces cerevisiae,8,B,CHEMBL615206,85,11231,Autocuration,4932.0,,BAO_0000251,,11375,
,,2107.0,Microsomes,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,H,Liver,1,,Sus scrofa,8,B,CHEMBL615207,86,12083,Autocuration,9823.0,,BAO_0000251,,11375,
,,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,H,,1,,Rattus norvegicus,8,B,CHEMBL827084,87,11231,Autocuration,10116.0,,BAO_0000019,,791,
,,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,H,,1,,Rattus norvegicus,8,B,CHEMBL615208,88,11231,Autocuration,10116.0,,BAO_0000019,,791,
,,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,H,,1,,Rattus norvegicus,8,B,CHEMBL615209,89,11231,Autocuration,10116.0,,BAO_0000019,,791,
,,2107.0,Microsomes,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,D,Liver,1,,Rattus norvegicus,9,B,CHEMBL615210,90,12083,Autocuration,10116.0,,BAO_0000251,,11375,
,,2107.0,Microsomes,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,D,Liver,1,,Rattus norvegicus,9,B,CHEMBL615211,91,12083,Autocuration,10116.0,,BAO_0000251,,11375,
,,2107.0,Microsomes,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,D,Liver,1,,Rattus norvegicus,9,B,CHEMBL615212,92,12083,Autocuration,10116.0,,BAO_0000251,,153,
,,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,H,,1,,,8,B,CHEMBL615213,93,11377,Expert,,,BAO_0000357,,8269,
,,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,H,,1,,,8,B,CHEMBL615273,94,11377,Expert,,,BAO_0000357,,8269,
726.0,HepG2,,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,N,,1,,Homo sapiens,1,F,CHEMBL615274,95,81020,Expert,9606.0,,BAO_0000219,,17653,
726.0,HepG2,,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,N,,1,,Homo sapiens,1,F,CHEMBL615275,96,81020,Intermediate,9606.0,,BAO_0000219,,14277,
726.0,HepG2,,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,N,,1,,Homo sapiens,1,F,CHEMBL615276,97,81020,Intermediate,9606.0,,BAO_0000219,,1717,
726.0,HepG2,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,N,,1,,Homo sapiens,1,F,CHEMBL615277,98,81020,Intermediate,9606.0,,BAO_0000219,,14091,
726.0,HepG2,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,N,,1,,Homo sapiens,1,F,CHEMBL615326,99,81020,Intermediate,9606.0,,BAO_0000219,,14091,
,,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,N,,1,,Hepatitis B virus,1,F,CHEMBL883130,100,50606,Expert,10407.0,,BAO_0000218,,17653,
726.0,HepG2,,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,N,,1,,Homo sapiens,1,F,CHEMBL884519,101,81020,Intermediate,9606.0,,BAO_0000219,,13105,
726.0,HepG2,,,Concentration required to inhibit 50% of 2.2.15 cell line,,N,,1,,Homo sapiens,1,F,CHEMBL615327,102,81020,Intermediate,9606.0,,BAO_0000219,,1717,
726.0,HepG2,,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,N,,1,,Homo sapiens,1,A,CHEMBL615328,103,81020,Intermediate,9606.0,,BAO_0000219,,13105,
,2.2.15,,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,N,,1,,Homo sapiens,1,F,CHEMBL615329,104,50587,Intermediate,9606.0,,BAO_0000218,,13600,
,2.2.15,,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,N,,1,,Homo sapiens,1,F,CHEMBL615330,105,50587,Intermediate,9606.0,,BAO_0000218,,13467,
,2.2.15,,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,N,,1,,Hepatitis B virus,1,F,CHEMBL615331,106,50606,Expert,10407.0,,BAO_0000218,,17477,
,2.2.15,,,In vitro anti-HBV activity in 2.2.15 cells,,N,,1,,Homo sapiens,1,F,CHEMBL615332,107,50587,Intermediate,9606.0,,BAO_0000218,,1593,
,2.2.15,,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,N,,1,,Homo sapiens,1,F,CHEMBL615333,108,50587,Intermediate,9606.0,,BAO_0000218,,1593,
,2.2.15,,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,N,,1,,Homo sapiens,1,F,CHEMBL615334,109,50587,Intermediate,9606.0,,BAO_0000218,,15089,
,2.2.15,,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,N,,1,,Homo sapiens,1,F,CHEMBL615335,110,50587,Intermediate,9606.0,,BAO_0000218,,15089,
,2.2.15,,,Cytotoxicity in 2.2.15 cells,,N,,1,,Homo sapiens,1,F,CHEMBL615336,111,50587,Intermediate,9606.0,,BAO_0000218,,1593,
,2.2.15,,,Cytotoxicity in 2.2.15 cells; Not determined,,N,,1,,Homo sapiens,1,F,CHEMBL615337,112,50587,Intermediate,9606.0,,BAO_0000218,,1593,
,2.2.15,,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,N,,1,,Homo sapiens,1,F,CHEMBL615338,113,50587,Intermediate,9606.0,,BAO_0000218,,13600,
,2.2.15,,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,N,,1,,Homo sapiens,1,F,CHEMBL615339,114,50587,Intermediate,9606.0,,BAO_0000218,,13467,
,2.2.15,,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,N,,1,,Homo sapiens,1,F,CHEMBL615340,115,50587,Intermediate,9606.0,,BAO_0000218,,13467,
726.0,HepG2,,,Antiviral activity against HBV was determined in 2.215 cell line,,N,,1,,Homo sapiens,1,F,CHEMBL615341,116,81020,Intermediate,9606.0,,BAO_0000219,,14764,
,,,Microsomes,Inhibition of 20-HETE synthesis in human renal microsomes,,U,,1,,Homo sapiens,0,B,CHEMBL615342,117,22226,Autocuration,9606.0,,BAO_0000251,,6531,
,,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,U,,1,,,0,B,CHEMBL615343,118,22226,Autocuration,,,BAO_0000019,,17322,
388.0,2008,,,Inhibitory concentration against 2008 (ovarian) cells,,N,,1,,Homo sapiens,1,F,CHEMBL615344,119,80612,Intermediate,9606.0,,BAO_0000219,,17072,
388.0,2008,,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,N,,1,,Homo sapiens,1,F,CHEMBL615345,120,80612,Intermediate,9606.0,,BAO_0000219,,16936,
388.0,2008,,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,N,,1,,Homo sapiens,1,F,CHEMBL615346,121,80612,Intermediate,9606.0,,BAO_0000219,,16936,
388.0,2008,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,N,,1,,Homo sapiens,1,F,CHEMBL615347,122,80612,Intermediate,9606.0,,BAO_0000219,,17146,
388.0,2008,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,N,,1,,Homo sapiens,1,F,CHEMBL615348,123,80612,Intermediate,9606.0,,BAO_0000219,,17146,
561.0,2008/R,,,In vitro inhibition of 2008/R ovarian cancer cell line,,N,,1,,Homo sapiens,1,F,CHEMBL827085,124,80613,Intermediate,9606.0,,BAO_0000219,,10797,
561.0,2008/R,,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,N,,1,,Homo sapiens,1,F,CHEMBL615349,125,80613,Intermediate,9606.0,,BAO_0000219,,10797,
389.0,2008/S,,,In vitro inhibition of 2008/S ovarian cancer cell line,,N,,1,,Homo sapiens,1,F,CHEMBL615350,126,80614,Intermediate,9606.0,,BAO_0000219,,10797,
389.0,2008/S,,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,N,,1,,Homo sapiens,1,F,CHEMBL615351,127,80614,Intermediate,9606.0,,BAO_0000219,,10797,
,,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,S,,1,,Homo sapiens,2,B,CHEMBL615352,128,100256,Expert,9606.0,,BAO_0000220,,4823,
,,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,S,,1,,Homo sapiens,2,B,CHEMBL615353,129,100256,Intermediate,9606.0,,BAO_0000220,,12912,
,,,,Inhibition of chymotrypsin-like activity of 20S proteasome,,S,,1,,,2,B,CHEMBL615354,130,100256,Expert,,,BAO_0000220,,2957,
,,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,S,,1,,,2,B,CHEMBL615355,131,100256,Expert,,,BAO_0000220,,2957,
,,,,Inhibitory activity against 20S proteosome,,S,,1,,,2,B,CHEMBL615356,132,100256,Intermediate,,,BAO_0000220,,3260,
,,,,Compound was tested for inhibitory activity against tryptase,,U,,1,,Homo sapiens,0,B,CHEMBL615357,133,22226,Autocuration,9606.0,,BAO_0000019,,3451,
726.0,HepG2,,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,N,,1,,Homo sapiens,1,F,CHEMBL615358,134,81020,Intermediate,9606.0,,BAO_0000219,,13885,
726.0,HepG2,,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,N,,1,,Homo sapiens,1,F,CHEMBL827086,135,81020,Intermediate,9606.0,,BAO_0000219,,13885,
,,,,Compound was tested for the inhibition of Alpha-glucosidase,,U,,1,,,0,B,CHEMBL615359,136,22226,Autocuration,,,BAO_0000019,,3676,
,,,,Inhibitory concentration against human neutrophil elastase (HNE),,H,,1,,,8,B,CHEMBL615360,137,235,Autocuration,,,BAO_0000357,,6043,
,,948.0,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,U,Heart,1,,Rattus norvegicus,0,F,CHEMBL615361,138,22226,Autocuration,10116.0,,BAO_0000218,,11140,
