CHI,Ti,ASST,ASSTIS,ASTET,ASTY,CEI,ASI,ASSTI,TII,Descr,RELATITY,ASSUBCELFRA,CONSC,VAI,CUB,SI,BAFO,SASI,ASOR,DOI,ASSCATE,ASSCETY
CHEMBL618519,50597,,,In vivo,A,,7580,10116.0,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,1916,,
CHEMBL618698,50597,,,In vivo,A,,7581,10116.0,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,1916,,
CHEMBL618862,50597,,,In vivo,A,,7582,10116.0,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,1916,,
CHEMBL618863,50597,,,In vivo,A,,7583,10116.0,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,4890,,
CHEMBL618864,50597,,,In vivo,A,,7584,10116.0,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17764,,
CHEMBL618865,50597,,,In vivo,A,,7585,10116.0,,Half life time in rat the dose of 2 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,4727,,
CHEMBL618866,50597,,,In vivo,A,,7586,10116.0,,Half-life 24 hr after 10 mg/kg iv administration in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17509,,
CHEMBL618867,50597,,,In vivo,A,,7587,10116.0,,Half-life 24 hr after 2 mg/kg iv administration in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17509,,
CHEMBL875828,50597,,,,A,,7588,10116.0,,Half-life consistent with the observed metabolic steady state in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6597,,
CHEMBL618868,50597,,,In vivo,A,,7589,10116.0,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17735,,
CHEMBL618869,50597,,,,A,,7590,10116.0,,Half-life for oxidative metabolic stability was determined using male human,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,6597,,
CHEMBL618870,50597,,,In vivo,A,,7591,10116.0,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17670,,
CHEMBL618871,50597,,Plasma,,A,,7592,10116.0,1969.0,Half-life in rat plasma,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,1696,,
CHEMBL618872,50597,,Plasma,,A,,7593,10116.0,1969.0,Half-life in rat plasma was determined,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,1742,,
CHEMBL873816,50597,,,,A,,7594,10116.0,,Half-life in rats was determined,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17800,,
CHEMBL618873,22224,,,,A,,7595,,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,U,,0,,Autocuration,1,BAO_0000218,,,12923,,
CHEMBL621602,22224,,,,A,,7596,,,Area under curve after oral dose of 0.1 mg//kg,U,,0,,Autocuration,1,BAO_0000019,,,11954,,
CHEMBL621603,22224,,,,A,,7597,,,Area under curve after oral dose of 0.3 mg/kg,U,,0,,Autocuration,1,BAO_0000218,,,11954,,
CHEMBL621604,22224,,,,A,,7598,,,Area under curve after oral dose of 1 mg/kg,U,,0,,Autocuration,1,BAO_0000218,,,11954,,
CHEMBL621605,22224,,,,A,,7599,,,Area under curve after oral dose of 10 mg/kg,U,,0,,Autocuration,1,BAO_0000218,,,11954,,
CHEMBL621606,22224,,,,A,,7600,,,Area under curve after oral dose of 23.4 mg/kg,U,,0,,Autocuration,1,BAO_0000218,,,11954,,
CHEMBL621607,22224,,,,A,,7601,,,Area under curve after oral dose of 3 mg/kg,U,,0,,Autocuration,1,BAO_0000218,,,11954,,
CHEMBL621608,22224,,,,A,,7602,,,Area under curve after oral dose of 3.87 mg/kg,U,,0,,Autocuration,1,BAO_0000218,,,11954,,
CHEMBL621609,22224,,,,A,,7603,,,Area under curve was determined,U,,0,,Autocuration,1,BAO_0000019,,,5237,,
CHEMBL621610,22224,,,,A,,7604,,,Area under curve at a dose of 10 mg/kg,U,,0,,Autocuration,1,BAO_0000218,,,4026,,
CHEMBL621611,50597,,,,A,,7605,10116.0,,Area under curve was determined; ND=No data,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,5237,,
CHEMBL621612,50597,,,,A,,7606,10116.0,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622308,50597,,,,A,,7607,10116.0,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622309,50597,,,,A,,7608,10116.0,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622310,50597,,,,A,,7609,10116.0,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622311,50597,,,,A,,7610,10116.0,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622312,50597,,,,A,,7611,10116.0,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622931,50597,,,,A,,7612,10116.0,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622932,50597,,,,A,,7613,10116.0,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622736,50597,,Plasma,,A,,7614,10116.0,1969.0,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622737,50597,,Plasma,,A,,7615,10116.0,1969.0,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622738,50597,,Plasma,,A,,7616,10116.0,1969.0,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622739,50597,,Plasma,,A,,7617,10116.0,1969.0,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622740,50597,,Plasma,,A,,7618,10116.0,1969.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622741,50597,,Plasma,,A,,7619,10116.0,1969.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622742,50597,,Plasma,,A,,7620,10116.0,1969.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622743,50597,,Plasma,,A,,7621,10116.0,1969.0,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14793,,
CHEMBL622744,50594,,Plasma,,A,,7622,10090.0,1969.0,AUC in mice,N,,1,,Intermediate,1,BAO_0000218,,Mus musculus,11637,,
CHEMBL624134,22224,,,,A,,7623,,,Area under curve was measured from the graph obtained from concentration Vs time,U,,0,,Autocuration,1,BAO_0000019,,,11149,,
CHEMBL624135,22224,,,,A,,7624,,,Area under curve value of compound per hour after oral administration,U,,0,,Autocuration,1,BAO_0000019,,,10016,,
CHEMBL624136,50597,,,,A,,7625,10116.0,,Area under curve was determined after oral administration in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17796,,
CHEMBL624137,50597,,,,A,,7626,10116.0,,Area under curve was determined after oral administration in rats; No data,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17796,,
CHEMBL624320,50597,,,,A,,7627,10116.0,,Area under curve was determined after oral administration in rats;No data,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,17796,,
CHEMBL624321,50588,,,,A,,7628,9615.0,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,N,,1,,Intermediate,1,BAO_0000218,,Canis lupus familiaris,12923,,
CHEMBL624322,50597,,,,A,,7629,10116.0,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15372,,
CHEMBL624323,50597,,,,A,,7630,10116.0,,Area under curve was determined for the compound after iv dose of 5.06 in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15372,,
CHEMBL624324,50597,,,,A,,7631,10116.0,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15372,,
CHEMBL624325,50597,,,,A,,7632,10116.0,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15372,,
CHEMBL624326,50597,,,,A,,7633,10116.0,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15372,,
CHEMBL624327,50597,,,,A,,7634,10116.0,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15372,,
CHEMBL624328,50597,,,,A,,7635,10116.0,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,15372,,
CHEMBL627848,50588,,,,A,,7636,9615.0,,Area under curve was determined in Dogs after peroral administration,N,,1,,Intermediate,1,BAO_0000218,,Canis lupus familiaris,14169,,
CHEMBL627849,50597,,,,A,,7637,10116.0,,Area under curve was determined in Rats after peroral administration,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14169,,
CHEMBL627850,50597,,,,A,,7638,10116.0,,Area under curve was determined in carotid blood of rat when administered intradermally,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14258,,
CHEMBL627851,50597,,,,A,,7639,10116.0,,Area under curve was determined in portal blood of rat when administered intradermally,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,14258,,
CHEMBL627852,50594,,,,A,,7640,10090.0,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Mus musculus,15011,,
CHEMBL627853,50594,,,,A,,7641,10090.0,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Mus musculus,15011,,
CHEMBL627854,50594,,,,A,,7642,10090.0,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),N,,1,,Intermediate,1,BAO_0000218,,Mus musculus,15011,,
CHEMBL627855,50594,,,,A,,7643,10090.0,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Mus musculus,15011,,
CHEMBL627856,50594,,,,A,,7644,10090.0,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),N,,1,,Intermediate,1,BAO_0000218,,Mus musculus,15011,,
CHEMBL875339,50594,,,,A,,7645,10090.0,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,N,,1,,Intermediate,1,BAO_0000218,,Mus musculus,15011,,
CHEMBL627857,50594,,,,A,,7646,10090.0,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),N,,1,,Intermediate,1,BAO_0000218,,Mus musculus,15011,,
CHEMBL627858,50597,,Spleen,In vivo,A,,7647,10116.0,2106.0,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,11195,,
CHEMBL627859,50597,,Blood,,A,,7648,10116.0,178.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,10130,,
CHEMBL627860,50597,,Brain,,A,,7649,10116.0,955.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,10130,,
CHEMBL627019,50597,,Heart,,A,,7650,10116.0,948.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,10130,,
CHEMBL627020,50597,,Liver,,A,,7651,10116.0,2107.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,10130,,
CHEMBL627021,50597,,Lung,,A,,7652,10116.0,2048.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,10130,,
CHEMBL627022,50597,,Muscle tissue,,A,,7653,10116.0,2385.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,10130,,
CHEMBL627023,50597,,,,A,,7654,10116.0,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,10130,,
CHEMBL627024,50597,,Spleen,,A,,7655,10116.0,2106.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,10130,,
CHEMBL627025,50597,,Thyroid gland,,A,,7656,10116.0,2046.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,10130,,
CHEMBL627026,50597,,Kidney,,A,,7657,10116.0,2113.0,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,10130,,
CHEMBL627027,50597,,Blood,,A,,7658,10116.0,178.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,10130,,
CHEMBL627028,50597,,Brain,,A,,7659,10116.0,955.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,10130,,
CHEMBL627029,50597,,Heart,,A,,7660,10116.0,948.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,10130,,
CHEMBL627030,50597,,Kidney,,A,,7661,10116.0,2113.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,10130,,
CHEMBL627031,50597,,Liver,,A,,7662,10116.0,2107.0,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,N,,1,,Intermediate,1,BAO_0000218,,Rattus norvegicus,10130,,
