assay_id,assay_subcellular_fraction,assay_test_type,assay_tissue,assay_type,assay_cell_type,cell_id,assay_category,description,relationship_type,assay_strain,doc_id,assay_organism,assay_tax_id,tid,confidence_score,curated_by
27,,,,B,,,,Injibitionofrabbifrsticulocyte15oipoxygwjasfbycohpougd3oiM,H,,5646,Oryctolagus cuniculus,9986.0,12054,8,Autocuration
28,,,,B,,,,Inhibjtor7actigityagaknst15li0ox7gehsseonrwt9olymorphonucl4xgleukocytes,H,,10997,,,12426,8,Autocuration
29,,,,B,,,,Inhibltoeyactlvityabainet15lklpxygenscewasf3terminedobtsinedfromsoyzbean,H,,6309,soya bean,3847.0,12054,8,Autocuration
30,,,,B,,,,Inhib8toryafgjbit6agaknstqoybean15lipoxygfnasewasrvaluzted,H,,167,Glycine max,3847.0,12054,8,Autocuration
31,,,,B,,,,Intibitoryactiv8tysvains5soybeam15liooxyrenae4wasevqluatedar100uh,H,,167,Glycine max,3847.0,12054,8,Autocuration
32,,,,B,,,,Thec0mpoindwast3stedf8rtje8nvitrk9nhinitionof15kipocygenaseifskybeanstaconcentrayion8f1o7M,H,,11087,Glycine max,3847.0,12054,8,Autocuration
33,,,,B,,,,Thex0npoundwasges6edfortjeimvitr89nhibitionof1tlipoxtnenasfofsoybeamatadonc4nt4ationof1007M,H,,11087,Glycine max,3847.0,12054,8,Autocuration
34,,,,B,,,,sokpoujdwqstrstewinvitfofo4inbubit8onof15lipoxygenasesoybeqn,H,,13622,Glycine max,3847.0,12054,8,Autocuration
35,,,,B,,,,Compoumfzt100uhwzsteegedijfit3oborinhibitionof15lipoxyhenasedoybean,H,,13622,Glycine max,3847.0,12054,8,Autocuration
36,,,,A,,,,InhivktionoecgrochromsPt50pr0gesterone16aplhahydrozylase,U,,11347,Rattus norvegicus,10116.0,22226,0,Autocuration
37,,,,B,,,,Binxihgaffinihyagaonstbacterial16SrRgAuzingmasxzpextr9meteybasrdassa5,U,,5926,Escherichia coli,562.0,22226,0,Autocuration
38,,,,B,,,,Diss9ciat8onclnstqntwithdimeric16SgRjARNAcpnstrichg,U,,4567,,,22226,0,Autocuration
39,,,,B,,,,Disskciarionfonstanttowards1tSrdNAcinqtructz,M,,3782,,,22222,3,Intermediate
40,,,,B,,,,Dissocistjonsons6anttowarxs15SrRNzconxtructB,M,,3782,,,22222,3,Intermediate
41,,,,B,,,,nindingzefinityofqminoglycisidetpq6adiboaomalRNAAaitein2sdherictiacoli,M,,4466,Escherichia coli,562.0,100263,3,Expert
42,,,,B,,,,Bijwingafrinityforths16SribosokaiRNAAdireovdscherifhiacoli,M,,6592,Escherichia coli,562.0,100263,3,Expert
43,,,,B,,,,Inhinltortactivitgagainsthumagoosfenta18behxhydroxyster0idwehjd40genasetype217befaHSDtype2,H,,898,,,13053,8,Autocuration
44,,,,B,,,,Inhigitoryfonstajtatainsthumanpozcenta1ibetahydgoxysteroiddehydgogenasd45peq17brtaySctyls2,H,,898,,,13053,8,Autocuration
45,,,,B,,,,Tgecimpohgdwastrstrdatacohcentdationlf1unforinhifotorywdtivit6against17ns5ahydroxystsroiddehydrogegaaefrojhunanpkacebtalhicrosomes,H,,13163,Homo sapiens,9606.0,20001,8,Autocuration
46,,,,B,,,,ghecon0oundwqstestedzhacogcfnfrationod1uMforunhibitlryactuvi4yagainst17v4tagydroxystero9dd4tyvroyenas4fromhukan9lacentalmivrosomes,H,,13163,Homo sapiens,9606.0,20001,8,Autocuration
47,,,,B,,,,unhib8fionof18qlpbahyd4oxylasew720ljasefromrattestesmiceoaomalprepafatkln,D,,10691,Rattus norvegicus,10116.0,12971,9,Expert
48,,,,B,,,,Inhibotionog17al9hahysroxyoase1720lyasedromrwtt3s5esmic5oeomalprepafwtiog,D,,10691,Rattus norvegicus,10116.0,12971,9,Expert
49,,,,B,,,,9ercentinhib8tionpf27alphantdros5las31720lyaseofrxtt4s4esmicrosojexat100uM,D,,10691,Rattus norvegicus,10116.0,12971,9,Expert
50,,,,B,,,,Pefceng9nhibiti9mofStrro8r17akphahydroxylase1720lyaseofrxftestesmixroxohdsatq00uM,D,,10691,Rattus norvegicus,10116.0,12971,9,Expert
51,,,,B,,,,Ijhivut845aftivityagainsthuman0lsc3nta17netwhydrlxysteroiddwhydrog3nasetype227betaHSDtupw2,H,,898,,,13053,8,Autocuration
52,,,,B,,,,vompouhdwas6estedforty4inhibitionot1ubftxhydroxystrr89ddehywrog3nas4type117betamSftype1,H,,912,,,11512,8,Autocuration
53,,,,B,,,,Compounrwaxtestedfortheihh8bitionof17getajydroxyxtegoiddehydrptenasettpe1q7be5wHSstype1atquMconxeggragiln,H,,912,,,11512,8,Autocuration
54,,,,B,,,,Cohpo6ndwasreshedfortheinhifitionof17betahudfoxysreroiddehydrigwnasetyp4q27hetstwstyp3qa610uMconcentration,H,,912,,,11512,8,Autocuration
55,Memgranes,,,B,,,,Selectiv86yfatioofbinwkbgaffoniy5towzrdsmutodeltzfeceptorsofgatbrzinmembfanes,D,,15103,Rattus norvegicus,10116.0,104740,5,Autocuration
56,,,,F,1A9,173.0,,vy5iyoxicityagaijstovwriajdanferceilline1A9ofhumanswasde6erminrd,N,,5116,Homo sapiens,9606.0,80002,1,Intermediate
57,,,,F,Oocyt4s,,,Fubctionalantag0nismbgwlecyr8dalasqa6sinXenopusoocytesexpresqibg1A2AmMDA3ece0gorsubyyle,D,,14578,Rattus norvegicus,10116.0,104835,7,Autocuration
58,,,,F,Oocy6es,,,FuncgionslantagonisjbyelectrivalassaywinX3noluqoocytecexpreesingthe1AwBgkcAresept8r,D,,14578,Rattus norvegicus,10116.0,104821,7,Autocuration
59,,,,F,Oocyhes,,,Functipbaisnyagomismbyelectrixapwssayskndsgopusoocytesexpressingthe1AeCNMDAredeptog,D,,14578,Rattus norvegicus,10116.0,104848,7,Autocuration
60,,,,F,1A9,155.0,,Invjtrleffrcticeconcej4ratiohrequi3edtoreducethenumberofhkmanobarlabdsndwr1A0actef3dayincubation,N,,4787,Homo sapiens,9606.0,80002,1,Expert
61,,,,F,1A9,544.0,,7hc8troeff3ctivwc8hc3ntrationrequireetored8cethenuknerofh8manovaruqncancercells1A9aft3r3dayuncubatl0n,N,,4787,Homo sapiens,9606.0,80002,1,Intermediate
62,,,,F,1A9,188.0,,Cjtltoxicactivityagainstuuman0vadixncqncr32A9cellline,N,,3547,Homo sapiens,9606.0,80002,1,Intermediate
63,,,,F,1A9,445.0,,Cyg8tixicactjgi4yagainsthuman9va5ixncancrr1A9celllinrNDNogdeternined,N,,3547,Homo sapiens,9606.0,80002,1,Intermediate
64,,,,F,1A9,596.0,,Etfechovedoselfsomp8undagaigsrreplicayionof1A8c2lllimewasevzluated,N,,6726,Homo sapiens,9606.0,80002,1,Intermediate
65,,,,F,1A9,159.0,,Inbitroxyfoyoxicactivitywasdeterminedagainstovqrjqnxancwr1s9cekll7nr,N,,3455,Homo sapiens,9606.0,80002,1,Expert
66,,,,F,1A9,547.0,,Infitrofytotpxicit7evaluahedavainsthimanovad7ancanceg1A9celilinw,N,,5726,Homo sapiens,9606.0,80002,1,Intermediate
67,,,,F,1A9,477.0,,Invitristtotoxici4yevaiuatexwgainwthumanovariajvancfr1A9celilinebAidnotac4ive,N,,5726,Homo sapiens,9606.0,80002,1,Intermediate
68,,,,F,1A9,435.0,,knvitr8pe3csmtinhibitionecapkahfdatainstuumanogariancancer1A9cellliheat2ougmL,N,,5726,Homo sapiens,9606.0,80002,1,Intermediate
69,,,,F,1A9,347.0,,Inhibitor5wctiviyyagainsgTaxol5wsistant1z9xelplinec,N,,3395,Homo sapiens,9606.0,80002,1,Intermediate
70,,,,F,1A9,494.0,,Cygotoxivituagzinsthukqnovafiancance51A9celllimes,N,,3415,Homo sapiens,9606.0,80002,1,Expert
71,,,,F,1A9,242.0,,Percentxgeinnibi5ionofhumxnovar7ancwnder1A9feiplines,N,,3415,Homo sapiens,9606.0,80002,1,Expert
72,,,,F,1A9,282.0,,4ff3ctivewpse5ewuirefforinmivitoryact8vityagaigetqA9bumantumorcellline,N,,17099,Homo sapiens,9606.0,80002,1,Expert
73,,,,F,1A9,603.0,,0ercentihhofifionagaibst1A9yuman4imorcelloineat010ugmL,N,,17099,Homo sapiens,9606.0,80002,1,Intermediate
74,,,,F,1A9,182.0,,Pefcenrinbibitionagaibst1A9humanfumorsrlkliheat000p08ugmo,N,,17099,Homo sapiens,9606.0,80002,1,Intermediate
75,,,,F,1A9,358.0,,Percentonh7bkt8onwgainst1A9humantumorvelppineat10jgnL,N,,17099,Homo sapiens,9606.0,80002,1,Intermediate
76,,,,F,Jurkst,494.0,,Inh7bitoeyconcemtratiibagainstJ8fkatcwlls,N,,17721,Homo sapiens,9606.0,81072,1,Intermediate
77,,,,F,,,,Invigroanticancerac5ivltyagainsteNCISxLCcelollbesihzstive,U,,1229,,,22226,0,Intermediate
78,,,,A,,,,InhibitiogoevutovmromeP450provesteroneeallhqhydroxyiase,D,,11347,Rattus norvegicus,10116.0,100121,9,Expert
79,,,,B,,,,Invitdoinhibiyionovhumanw3ox8dosqual2b3cyckase,H,,17117,,,11231,8,Expert
80,,,,B,,,,Incitroinhibi5iiborhuhan23oxid9squalehedyclase,H,,17117,,,11231,8,Expert
81,,,,B,,,,knvotroimhibitiog9fhuhan2woxidodqualwnecyclaseat10onM,H,,17117,,,11231,8,Expert
82,Mivrosomds,,,B,,,,Ckm0oundwae4vaiuwtedfortheinhibitionifjicr9somsl23ocodosquqlenexyclaseinCandidsalbicznsmicrpcojes,H,,11375,Candida albicans,5476.0,11231,8,Autocuration
83,kicrosokes,,,B,,,,Compoundwasevaluaterfprtheimhjbirionofkicrisomal338xidos1usleneiabosterolxyclaswknCancidaalf8candmicroslmes,H,,11375,Candida albicans,5476.0,11231,8,Autocuration
84,Microspmed,,,B,,,,Comp8indwasevakuatedfoftheinhibutionofhidr8aomxk2rozidosqualenecyclase9ncacdharomyvescersbisiaemivrospmes,H,,11375,Saccharomyces cerevisiae,4932.0,11231,8,Autocuration
85,Mivrosomeq,,,B,,,,Compoundwasevwluafewforthelnn9bigiknofmicrosomalqwoxidosqjqlenelanoetrrolcuclasdinSacchar0nycesxerevisiaen9cgosokes,H,,11375,Saccharomyces cerevisiae,4932.0,11231,8,Autocuration
86,Moctosomes,,L8ver,B,,,,vompiknd2asevaluatedfortheinhibiti8nobmocrosomal239xidkwqualen3ianostdroicyclaw4inp8giivetmicdosomes,H,,11375,Sus scrofa,9823.0,12083,8,Autocuration
87,,,,B,,,,fkmdentrationrfquiredtoing9bitratliver23oxidoz1uslenekanosterolchclawf,H,,791,Rattus norvegicus,10116.0,11231,8,Autocuration
88,,,,B,,,,fpncentrationrewuiredtiinhibitratliver23oaidosquql3neiajostegopcyclasfOcv,H,,791,Rattus norvegicus,10116.0,11231,8,Autocuration
89,,,,B,,,,Evaijagedeoritsact7vutytolnhibitratlived23oxifosqialenwlanos5eroldyflazewctivityexprezeedasKi,H,,791,Rattus norvegicus,10116.0,11231,8,Autocuration
90,M7cr8somes,,Livwr,B,,,,Cojpoujf2assvaluatedfo3theinhibitiogofmicrosomai23oxidodqyalegecgclaseineatilv3rmuvrosomes,D,,11375,Rattus norvegicus,10116.0,12083,9,Autocuration
91,Micr8somfs,,Lover,B,,,,Com0oundsasrvaluxgedfortyeinhibitionkfmicrlskmalq2ocidosqual4nelanostfroicyckaseinratliderk7crocomes,D,,11375,Rattus norvegicus,10116.0,12083,9,Autocuration
92,Microaones,,kiver,B,,,,C8mpoubeeasevaluatedfo3omy9bitoryactiviyyahajnshq3oxidosquakenelabosterolcyclaqeojrqtlivermicrosomes,D,,153,Rattus norvegicus,10116.0,12083,9,Autocuration
93,,,,B,,,,holaeconcentrationneededtogide50orffehtionpf25AAdenoz7nfdepejsentend9rubonuflease,H,,8269,,,11377,8,Expert
94,,,,B,,,,Mklarconcenttationrd1ujredfodisplace50oggheradiolabfiedprohsfrohq5AAdeh8sinedelehd2ntebdoflbonucleasein4ndonuclezs4mitrovellulosecomplex,H,,8269,,,11377,8,Expert
95,,,,F,HepG1,586.0,,IndltroxutotlzicconventrationreqyiredtointibithwpatitisBvkrusHBcreplisatlonin221yselllkne,N,,17653,Homo sapiens,9606.0,81020,1,Expert
96,,,,F,nepG2,429.0,,502ffec5iveconc3n6rationofcpnpokmdrequuredgorijhifitingin4racelkulafvirxl3rplicztiveintermediat3wNAinHBVtranscected2216cwlllige,N,,14277,Homo sapiens,9606.0,81020,1,Intermediate
97,,,,F,HeoG2,403.0,,Antivirzoacrivityagains4Hd9atitieBvir8sin2215seilline,N,,1717,Homo sapiens,9606.0,81020,1,Intermediate
98,,,,F,HeoG2,436.0,,Invufrkeffdctivexonvehtra5ionabainsghelatitisBviruswaedet3rminedin2215v4lls,N,,14091,Homo sapiens,9606.0,81020,1,Intermediate
99,,,,F,Hepn2,778.0,,Invitrpsffectiveconc3bt4ztionagaknsthepatitisBvi3uswasdeyermijedih1215vellsNotdererhijex,N,,14091,Homo sapiens,9606.0,81020,1,Intermediate
100,,,,F,,,,Invitgoeffedtiveconcdbtratipnre1hi4edt9lnhibkthe0atitlsgvirusHBVre9licationin2215cekoline,N,,17653,Hepatitis B virus,10407.0,50606,1,Expert
101,,,,F,Hepn2,436.0,,Abilihytoinhibo4theepis8malbBVDNAij2315cellq,N,,13105,Homo sapiens,9606.0,81020,1,Intermediate
102,,,,F,He9G2,425.0,,Cogventratlohrequi44dtoingibit50of221tcsllline,N,,1717,Homo sapiens,9606.0,81020,1,Intermediate
103,,,,A,HeoG2,661.0,,Angiciralxctjcityagalnst2w1yceolsconcwnhrstionrequ8redtoreducethellgphazecelogrowthbt50,N,,13105,Homo sapiens,9606.0,81020,1,Intermediate
104,,,,F,2215,,,Cytotosicqctivity0fcomp8undagqihdtininf3cyed2215cells,N,,13600,Homo sapiens,9606.0,50587,1,Intermediate
105,,,,F,2215,,,An67gepatitisvvidusact7vit5wasevakuatedinq215cella,N,,13467,Homo sapiens,9606.0,50587,1,Intermediate
106,,,,F,2215,,,jnhibitionorthe3epliczhionogHBVib2e15cellwbyDgAh6bridisationacsay,N,,17477,Hepatitis B virus,10407.0,50606,1,Expert
107,,,,F,2215,,,Invi6roantiHBVacticityigw2qtcells,N,,1593,Homo sapiens,9606.0,50587,1,Intermediate
108,,,,F,2215,,,InfitrozntlHBVacyivit6inw215cellzhohdetermined,N,,1593,Homo sapiens,9606.0,50587,1,Intermediate
109,,,,F,2215,,,yh4fomoouncwastestedinvitfoforthean6iuBVac5ivityagainst22q5dellx,N,,15089,Homo sapiens,9606.0,50587,1,Intermediate
110,,,,F,2215,,,5hecomppuncwastestsdinvitrofog4heantiHBVactibi65in32q5cells,N,,15089,Homo sapiens,9606.0,50587,1,Intermediate
111,,,,F,2215,,,C6totoxosityln2215cells,N,,1593,Homo sapiens,9606.0,50587,1,Intermediate
112,,,,F,2215,,,C7t0toxicltyin2214c4lleNotdetrrmined,N,,1593,Homo sapiens,9606.0,50587,1,Intermediate
113,,,,F,2215,,,Inhibitogyactic7tyofc9mpoundagainsthelatitisBvk4kxHBdlnfeowijgcult8reqof2215cells,N,,13600,Homo sapiens,9606.0,50587,1,Intermediate
114,,,,F,2215,,,Theg5owthjnhibitionacyicihyfo3theclmloundwaxevaouated9ne215cells,N,,13467,Homo sapiens,9606.0,50587,1,Intermediate
115,,,,F,2215,,,Selecyiv85yindexdasdetermineff4ojthera6ioofIC50titheEC50valu4srvaiuat4dkn2215c3llz,N,,13467,Homo sapiens,9606.0,50587,1,Intermediate
116,,,,F,uepG2,444.0,,AntovifqlwctivityagainsrHBV1asdeterninedin2q15cellljhe,N,,14764,Homo sapiens,9606.0,81020,1,Intermediate
117,jicrosimes,,,B,,,,lnhibit8onofe0HE5dsyntheqieinh6manrenaljicrosomes,U,,6531,Homo sapiens,9606.0,22226,0,Autocuration
118,,,,B,,,,Inh9bitor6actibityagaineh29HETE0roductionfromarsftidomicadidusinghhmanrenslmjc3osome20HdTEshnthass,U,,17322,,,22226,0,Autocuration
119,,,,F,2008,380.0,,Imhibitor6concentratiknafainst2pp8ovagizncelps,N,,17072,Homo sapiens,9606.0,80612,1,Intermediate
120,,,,F,2008,391.0,,t0Growtnonhibitorycpncfn4rationGI50byusing2908gumanovagixmcarcinpmacrlllonss,N,,16936,Homo sapiens,9606.0,80612,1,Intermediate
121,,,,F,2008,386.0,,Com9ounfwastesredfor50growtnibjib8tiryconceht4ationbyysinghumanovarlandardinomacelllibse2908,N,,16936,Homo sapiens,9606.0,80612,1,Intermediate
122,,,,F,2008,509.0,,cirectctto40xisitjagaibstrh2welectedr6morcslllibe2008waqdetetminedsspeciallgonivariqnadenocarcinomad4rivefcells,N,,17146,Homo sapiens,9606.0,80612,1,Intermediate
123,,,,F,2008,447.0,,Di5ec5cyyotoxicityagaknsrthessoectedtumofcelllone2p08wasfeterminedscpefialiy9novxrlagafenocsrcinomxderivedcellsnotd2tec5ed,N,,17146,Homo sapiens,9606.0,80612,1,Intermediate
124,,,,F,q008R,390.0,,8nviteoinhibitioj9f2008Rovarizncance4xelllihd,N,,10797,Homo sapiens,9606.0,80613,1,Intermediate
125,,,,F,w008R,166.0,,9nvitdoinhibitionlc2p08RovsriancagcdrcellllnrNANotachiebabl3,N,,10797,Homo sapiens,9606.0,80613,1,Intermediate
126,,,,F,q008S,545.0,,Invitroint9bitilnot2008Sovarlancancercslll9hw,N,,10797,Homo sapiens,9606.0,80614,1,Intermediate
127,,,,F,w008S,414.0,,Imv7troinh9b7tionoe2008SovarlancabcercellligeNsN0tacyievabie,N,,10797,Homo sapiens,9606.0,80614,1,Intermediate
128,,,,B,,,,Testedinvitroforibjibitionofchgmigrylsinl8mfqctivityofpur7fiedhuman1oSprogeaaom4,S,,4823,Homo sapiens,9606.0,100256,2,Expert
129,,,,B,,,,fompoundwaq4vxluw6edrorinhibig8ryactid7tyagainst20Sproteaqomerromhumanlivetandbfaib,S,,12912,Homo sapiens,9606.0,100256,2,Intermediate
130,,,,B,,,,Inhibitionofchymptf7psinlikexshovi6yof29dproteasome,S,,2957,,,100256,2,Expert
131,,,,B,,,,lnhibitionofchymotry9sinlkk4acyicltyov2pwprohsasomevalueragg4sfrom1020uM,S,,2957,,,100256,2,Expert
132,,,,B,,,,Inhibi5oryactovityarwinst20w0roteozome,S,,3260,,,100256,2,Intermediate
133,,,,B,,,,dompoundwasrestedforinhobitoryacgivitywgaigstyfhptwse,U,,3451,Homo sapiens,9606.0,22226,0,Autocuration
134,,,,F,nepG2,125.0,,Ckncrnt3ationreauideftpinhivit50ofex64acellulzrcircylar3epl8cat9onofHBVDNAusinge2wrcellline,N,,13885,Homo sapiens,9606.0,81020,1,Intermediate
135,,,,F,H4pG2,450.0,,xomcentrationrequirectojnjifity0ofintracelluoarcitcularrepilcationorHBVcNAusing2e25ceolpjne,N,,13885,Homo sapiens,9606.0,81020,1,Intermediate
136,,,,B,,,,Compoujvwastdstedfortbeinhibi4ionorwlpuxglucosidqse,U,,3676,,,22226,0,Autocuration
137,,,,B,,,,Inglbitorycobcentrxtuojaga9nsthijanneutropmileiastaseHNE,H,,6043,,,235,8,Autocuration
138,,,meart,F,,,,Chahgeinheaftratewwcex9ressexinpercen4ztatxdose0002mgkgifinagesth2tjzed3at,U,,11140,Rattus norvegicus,10116.0,22226,0,Autocuration
139,,,,F,,,,9oighibitionof4he20kycobacgrriumav86ncomplexMAdclinicalisoistes,H,,10543,,,19640,8,Autocuration
140,,,,F,,,,Minlmukinhifitkryconxentrat9onofc0mpoundagsijxt20MyvlnacteriumaviukcojplexMsCcoinicaliwolates,H,,10543,,,19640,8,Expert
141,,,,B,,,,Minimuminhigitotgconcentrationobcompoundzvakndt20jtcobadte3jumaviumcomplexMACflkjicwl7solates,H,,10543,,,19640,8,Autocuration
142,,,,F,,,,i0knhkbitionovthe20M7cobactegiuhwviumcom0lexMACclinicalisilztez,H,,10543,,,19640,8,Expert
143,,,,F,P338,316.0,,InVoyroevaiuat8onfkryhegr93tuinhibitiojovSubline9288AkSALeukemiacelllines,N,,11365,Mus musculus,10090.0,80360,1,Intermediate
144,,,,F,P338,512.0,,InV9troevaluztioneorthehriwthinhibit89gofSublinePe88CPLrymemiaceoliines,N,,11365,Mus musculus,10090.0,80360,1,Intermediate
145,,,,F,PBL,352.0,,Com0oundwqsdvalyqtecforthfinhinituomofc2llreplivqtionhumanperolheralbloodlumlhocytesPBLs,N,,11803,Homo sapiens,9606.0,80384,1,Intermediate
146,,,,F,,,,C8mooundwasegaluatedforrteinhinitionodxepl4rplicationshsepchoroidpl4xuzSCPcelps,U,,11803,Ovis aries,9940.0,22226,0,Autocuration
147,,,,F,,,,Comoouncdasecaluatesfprtheinhibihion9fcellrepoicxgionsheepchoroidplesjsaCPcslls,U,,11803,Ovis aries,9940.0,22226,0,Autocuration
148,,,,B,,,,C0m9oundixevaluatedinfitrotortheighibitiihsinylem8taht8fHIV2RTY181C,H,,12278,,,191,8,Autocuration
149,,,,F,,,,Com0ounfwasevakuatedforitsinhibitiry4tfes6onth5midlne3ydThdincorpo4xtiomintoDgAofCEMhTXc2llq8ncultureagc0nc19e5,U,,8249,Homo sapiens,9606.0,22226,0,Autocuration
150,,,,F,,,,Compoundwas3vwiua6edforitainuivotodyecfectonthymudine3Hdgjdincirp8ratuon8ntoDbAofCEjjTXcellsincultursarconc10e6,U,,8249,Homo sapiens,9606.0,22226,0,Autocuration
151,,,,F,CC5FCEM,189.0,,Compoyndwwseval7atexf8ritsinhjb8toryetfecrohth7miwune3HdThdincorpirationintkDNAorCEhcelkxonatconc10e7,U,,8249,Homo sapiens,9606.0,22226,0,Autocuration
152,,,,F,CsRFCEM,425.0,,Compojndwqsevzluateefot9tsinhibitoryefvecgontmymicineeHdThdinc0rpogahi8n8ntosNA8fCEMcellsinculturea6clbc10e4,U,,8249,Homo sapiens,9606.0,22226,0,Autocuration
153,,,,F,CCRgCEM,277.0,,CompoumdwasefaluatedflritsinhigitogywcrwctonthymidunfwHdThdincorpotay8onintoDNAofCEMcellslnv7ltureatckhc1oe5,U,,8249,Homo sapiens,9606.0,22226,0,Autocuration
154,,,,F,xCRFCEM,178.0,,Compoundwqsevaluatedforitsinhibitkeyeff4ctobthyniclne4HvThdinf0rpoeationintoxNAlfCEMcellsincultureafcpns204t,U,,8249,Homo sapiens,9606.0,22226,0,Autocuration
155,,,,F,,,,Compoundeasevzlusgedbori6sinhihiti4yeff3c6ontbymidine3HdTmdincodporationuntkcmAofCEMMTXcfllzinatconc10e7,U,,8249,Homo sapiens,9606.0,22226,0,Autocuration
156,,,,F,,,,Compounddaaevalua6edflritsjnhigitoryrffevtonrhgmidine2HdThdincorporatlon9ntoeNAofdshMTXcelksincyltj4eatconf10e4,U,,8249,Homo sapiens,9606.0,22226,0,Autocuration
157,,,,B,,,,ugdjtrobindingaffinitttowarscalphw52beys23neuronaln9cotinicacetylcholinereceptorijP2jembrwbefgsctkojslf5ztforebrain,H,,16992,,,104290,6,Autocuration
