assay_id,assay_test_type,doc_id,curated_by,assay_tax_id,assay_strain,src_id,description,cell_id,src_assay_id,chembl_id,assay_subcellular_fraction,tid,assay_organism,assay_cell_type,variant_id,assay_type,assay_category,assay_tissue
23,,16474,Autocuration,,,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,CHEMBL615137,,12054,,,,B,,
24,,16474,Autocuration,,,1,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,CHEMBL615138,,12054,,,,B,,
25,,14352,Autocuration,,,1,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,CHEMBL836324,,22226,,,,B,,
26,,5646,Autocuration,9986.0,,1,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,CHEMBL615139,,12054,Oryctolagus cuniculus,,,B,,
27,,5646,Autocuration,9986.0,,1,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,CHEMBL615140,,12054,Oryctolagus cuniculus,,,B,,
28,,10997,Autocuration,,,1,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,CHEMBL615141,,12426,,,,B,,
29,,6309,Autocuration,3847.0,,1,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,CHEMBL615142,,12054,soya bean,,,B,,
30,,167,Autocuration,3847.0,,1,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,CHEMBL615143,,12054,Glycine max,,,B,,
31,,167,Autocuration,3847.0,,1,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,CHEMBL615144,,12054,Glycine max,,,B,,
32,,11087,Autocuration,3847.0,,1,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,CHEMBL872867,,12054,Glycine max,,,B,,
33,,11087,Autocuration,3847.0,,1,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,CHEMBL615145,,12054,Glycine max,,,B,,
34,,13622,Autocuration,3847.0,,1,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,CHEMBL615146,,12054,Glycine max,,,B,,
35,,13622,Autocuration,3847.0,,1,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,CHEMBL615147,,12054,Glycine max,,,B,,
36,,11347,Autocuration,10116.0,,1,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,CHEMBL615148,,22226,Rattus norvegicus,,,A,,
37,,5926,Autocuration,562.0,,1,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,CHEMBL615149,,22226,Escherichia coli,,,B,,
38,,4567,Autocuration,,,1,Dissociation constant with dimeric 16S rRNA RNA construct B,,,CHEMBL615150,,22226,,,,B,,
39,,3782,Intermediate,,,1,Dissociation constant towards 16S rRNA construct A,,,CHEMBL615151,,22222,,,,B,,
40,,3782,Intermediate,,,1,Dissociation constant towards 16S rRNA construct B,,,CHEMBL615152,,22222,,,,B,,
41,,4466,Expert,562.0,,1,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,CHEMBL615153,,100263,Escherichia coli,,,B,,
42,,6592,Expert,562.0,,1,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,CHEMBL615154,,100263,Escherichia coli,,,B,,
43,,898,Autocuration,,,1,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,CHEMBL615155,,13053,,,,B,,
44,,898,Autocuration,,,1,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,CHEMBL615156,,13053,,,,B,,
45,,13163,Autocuration,9606.0,,1,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,CHEMBL615157,,20001,Homo sapiens,,,B,,
46,,13163,Autocuration,9606.0,,1,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,CHEMBL615158,,20001,Homo sapiens,,,B,,
47,,10691,Expert,10116.0,,1,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,CHEMBL615159,,12971,Rattus norvegicus,,,B,,
48,,10691,Expert,10116.0,,1,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,CHEMBL615172,,12971,Rattus norvegicus,,,B,,
49,,10691,Expert,10116.0,,1,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,CHEMBL615173,,12971,Rattus norvegicus,,,B,,
50,,10691,Expert,10116.0,,1,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,CHEMBL615174,,12971,Rattus norvegicus,,,B,,
51,,898,Autocuration,,,1,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,CHEMBL884518,,13053,,,,B,,
52,,912,Autocuration,,,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,CHEMBL615175,,11512,,,,B,,
53,,912,Autocuration,,,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,CHEMBL615176,,11512,,,,B,,
54,,912,Autocuration,,,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,CHEMBL615177,,11512,,,,B,,
55,,15103,Autocuration,10116.0,,1,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,CHEMBL615178,Membranes,104740,Rattus norvegicus,,,B,,
56,,5116,Intermediate,9606.0,,1,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,506.0,,CHEMBL615179,,80002,Homo sapiens,1A9,,F,,
57,,14578,Autocuration,10116.0,,1,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,,CHEMBL615180,,104835,Rattus norvegicus,Oocytes,,F,,
58,,14578,Autocuration,10116.0,,1,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,,CHEMBL615181,,104821,Rattus norvegicus,Oocytes,,F,,
59,,14578,Autocuration,10116.0,,1,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,,CHEMBL615182,,104848,Rattus norvegicus,Oocytes,,F,,
60,,4787,Expert,9606.0,,1,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,506.0,,CHEMBL615183,,80002,Homo sapiens,1A9,,F,,
61,,4787,Intermediate,9606.0,,1,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,506.0,,CHEMBL615184,,80002,Homo sapiens,1A9,,F,,
62,,3547,Intermediate,9606.0,,1,Cytotoxic activity against human ovarian cancer (1A9) cell line,506.0,,CHEMBL615185,,80002,Homo sapiens,1A9,,F,,
63,,3547,Intermediate,9606.0,,1,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,506.0,,CHEMBL615186,,80002,Homo sapiens,1A9,,F,,
64,,6726,Intermediate,9606.0,,1,Effective dose of compound against replication of 1A9 cell line was evaluated,506.0,,CHEMBL615187,,80002,Homo sapiens,1A9,,F,,
65,,3455,Expert,9606.0,,1,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,506.0,,CHEMBL885343,,80002,Homo sapiens,1A9,,F,,
66,,5726,Intermediate,9606.0,,1,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),506.0,,CHEMBL615188,,80002,Homo sapiens,1A9,,F,,
67,,5726,Intermediate,9606.0,,1,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,506.0,,CHEMBL615189,,80002,Homo sapiens,1A9,,F,,
68,,5726,Intermediate,9606.0,,1,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,506.0,,CHEMBL615190,,80002,Homo sapiens,1A9,,F,,
69,,3395,Intermediate,9606.0,,1,Inhibitory activity against Taxol resistant 1A9 cell lines,506.0,,CHEMBL615191,,80002,Homo sapiens,1A9,,F,,
70,,3415,Expert,9606.0,,1,Cytotoxicity against human ovarian cancer (1A9) cell lines.,506.0,,CHEMBL615192,,80002,Homo sapiens,1A9,,F,,
71,,3415,Expert,9606.0,,1,Percentage inhibition of human ovarian cancer (1A9) cell lines.,506.0,,CHEMBL827083,,80002,Homo sapiens,1A9,,F,,
72,,17099,Expert,9606.0,,1,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,506.0,,CHEMBL615193,,80002,Homo sapiens,1A9,,F,,
73,,17099,Intermediate,9606.0,,1,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,506.0,,CHEMBL615194,,80002,Homo sapiens,1A9,,F,,
74,,17099,Intermediate,9606.0,,1,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,506.0,,CHEMBL615195,,80002,Homo sapiens,1A9,,F,,
75,,17099,Intermediate,9606.0,,1,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,506.0,,CHEMBL615196,,80002,Homo sapiens,1A9,,F,,
76,,17721,Intermediate,9606.0,,1,Inhibitory concentration against Jurkat cells,503.0,,CHEMBL615197,,81072,Homo sapiens,Jurkat,,F,,
77,,1229,Intermediate,,,1,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,CHEMBL615198,,22226,,,,F,,
78,,11347,Expert,10116.0,,1,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,CHEMBL615199,,100121,Rattus norvegicus,,,A,,
79,,17117,Expert,,,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,CHEMBL615200,,11231,,,,B,,
80,,17117,Expert,,,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,CHEMBL615201,,11231,,,,B,,
81,,17117,Expert,,,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,CHEMBL615202,,11231,,,,B,,
82,,11375,Autocuration,5476.0,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,,CHEMBL615203,Microsomes,11231,Candida albicans,,,B,,
83,,11375,Autocuration,5476.0,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,,CHEMBL615204,Microsomes,11231,Candida albicans,,,B,,
84,,11375,Autocuration,4932.0,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,,CHEMBL615205,Microsomes,11231,Saccharomyces cerevisiae,,,B,,
85,,11375,Autocuration,4932.0,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,,CHEMBL615206,Microsomes,11231,Saccharomyces cerevisiae,,,B,,
86,,11375,Autocuration,9823.0,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,,CHEMBL615207,Microsomes,12083,Sus scrofa,,,B,,Liver
87,,791,Autocuration,10116.0,,1,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,CHEMBL827084,,11231,Rattus norvegicus,,,B,,
88,,791,Autocuration,10116.0,,1,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,CHEMBL615208,,11231,Rattus norvegicus,,,B,,
89,,791,Autocuration,10116.0,,1,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,CHEMBL615209,,11231,Rattus norvegicus,,,B,,
90,,11375,Autocuration,10116.0,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,,CHEMBL615210,Microsomes,12083,Rattus norvegicus,,,B,,Liver
91,,11375,Autocuration,10116.0,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,CHEMBL615211,Microsomes,12083,Rattus norvegicus,,,B,,Liver
92,,153,Autocuration,10116.0,,1,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,CHEMBL615212,Microsomes,12083,Rattus norvegicus,,,B,,Liver
93,,8269,Expert,,,1,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,CHEMBL615213,,11377,,,,B,,
94,,8269,Expert,,,1,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,CHEMBL615273,,11377,,,,B,,
95,,17653,Expert,9606.0,,1,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,726.0,,CHEMBL615274,,81020,Homo sapiens,HepG2,,F,,
96,,14277,Intermediate,9606.0,,1,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,726.0,,CHEMBL615275,,81020,Homo sapiens,HepG2,,F,,
97,,1717,Intermediate,9606.0,,1,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,726.0,,CHEMBL615276,,81020,Homo sapiens,HepG2,,F,,
98,,14091,Intermediate,9606.0,,1,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,726.0,,CHEMBL615277,,81020,Homo sapiens,HepG2,,F,,
99,,14091,Intermediate,9606.0,,1,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,726.0,,CHEMBL615326,,81020,Homo sapiens,HepG2,,F,,
100,,17653,Expert,10407.0,,1,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,CHEMBL883130,,50606,Hepatitis B virus,,,F,,
101,,13105,Intermediate,9606.0,,1,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,726.0,,CHEMBL884519,,81020,Homo sapiens,HepG2,,F,,
102,,1717,Intermediate,9606.0,,1,Concentration required to inhibit 50% of 2.2.15 cell line,726.0,,CHEMBL615327,,81020,Homo sapiens,HepG2,,F,,
103,,13105,Intermediate,9606.0,,1,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,726.0,,CHEMBL615328,,81020,Homo sapiens,HepG2,,A,,
104,,13600,Intermediate,9606.0,,1,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,,CHEMBL615329,,50587,Homo sapiens,2.2.15,,F,,
105,,13467,Intermediate,9606.0,,1,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,,CHEMBL615330,,50587,Homo sapiens,2.2.15,,F,,
106,,17477,Expert,10407.0,,1,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,,CHEMBL615331,,50606,Hepatitis B virus,2.2.15,,F,,
107,,1593,Intermediate,9606.0,,1,In vitro anti-HBV activity in 2.2.15 cells,,,CHEMBL615332,,50587,Homo sapiens,2.2.15,,F,,
108,,1593,Intermediate,9606.0,,1,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,,CHEMBL615333,,50587,Homo sapiens,2.2.15,,F,,
109,,15089,Intermediate,9606.0,,1,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,,CHEMBL615334,,50587,Homo sapiens,2.2.15,,F,,
110,,15089,Intermediate,9606.0,,1,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,,CHEMBL615335,,50587,Homo sapiens,2.2.15,,F,,
111,,1593,Intermediate,9606.0,,1,Cytotoxicity in 2.2.15 cells,,,CHEMBL615336,,50587,Homo sapiens,2.2.15,,F,,
112,,1593,Intermediate,9606.0,,1,Cytotoxicity in 2.2.15 cells; Not determined,,,CHEMBL615337,,50587,Homo sapiens,2.2.15,,F,,
113,,13600,Intermediate,9606.0,,1,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,,CHEMBL615338,,50587,Homo sapiens,2.2.15,,F,,
114,,13467,Intermediate,9606.0,,1,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,,CHEMBL615339,,50587,Homo sapiens,2.2.15,,F,,
115,,13467,Intermediate,9606.0,,1,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,,CHEMBL615340,,50587,Homo sapiens,2.2.15,,F,,
116,,14764,Intermediate,9606.0,,1,Antiviral activity against HBV was determined in 2.215 cell line,726.0,,CHEMBL615341,,81020,Homo sapiens,HepG2,,F,,
117,,6531,Autocuration,9606.0,,1,Inhibition of 20-HETE synthesis in human renal microsomes,,,CHEMBL615342,Microsomes,22226,Homo sapiens,,,B,,
118,,17322,Autocuration,,,1,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,CHEMBL615343,,22226,,,,B,,
119,,17072,Intermediate,9606.0,,1,Inhibitory concentration against 2008 (ovarian) cells,388.0,,CHEMBL615344,,80612,Homo sapiens,2008,,F,,
120,,16936,Intermediate,9606.0,,1,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,388.0,,CHEMBL615345,,80612,Homo sapiens,2008,,F,,
121,,16936,Intermediate,9606.0,,1,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),388.0,,CHEMBL615346,,80612,Homo sapiens,2008,,F,,
122,,17146,Intermediate,9606.0,,1,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,388.0,,CHEMBL615347,,80612,Homo sapiens,2008,,F,,
123,,17146,Intermediate,9606.0,,1,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,388.0,,CHEMBL615348,,80612,Homo sapiens,2008,,F,,
124,,10797,Intermediate,9606.0,,1,In vitro inhibition of 2008/R ovarian cancer cell line,561.0,,CHEMBL827085,,80613,Homo sapiens,2008/R,,F,,
125,,10797,Intermediate,9606.0,,1,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,561.0,,CHEMBL615349,,80613,Homo sapiens,2008/R,,F,,
126,,10797,Intermediate,9606.0,,1,In vitro inhibition of 2008/S ovarian cancer cell line,389.0,,CHEMBL615350,,80614,Homo sapiens,2008/S,,F,,
127,,10797,Intermediate,9606.0,,1,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,389.0,,CHEMBL615351,,80614,Homo sapiens,2008/S,,F,,
128,,4823,Expert,9606.0,,1,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,,CHEMBL615352,,100256,Homo sapiens,,,B,,
129,,12912,Intermediate,9606.0,,1,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,,CHEMBL615353,,100256,Homo sapiens,,,B,,
130,,2957,Expert,,,1,Inhibition of chymotrypsin-like activity of 20S proteasome,,,CHEMBL615354,,100256,,,,B,,
131,,2957,Expert,,,1,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,CHEMBL615355,,100256,,,,B,,
132,,3260,Intermediate,,,1,Inhibitory activity against 20S proteosome,,,CHEMBL615356,,100256,,,,B,,
133,,3451,Autocuration,9606.0,,1,Compound was tested for inhibitory activity against tryptase,,,CHEMBL615357,,22226,Homo sapiens,,,B,,
134,,13885,Intermediate,9606.0,,1,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,726.0,,CHEMBL615358,,81020,Homo sapiens,HepG2,,F,,
135,,13885,Intermediate,9606.0,,1,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,726.0,,CHEMBL827086,,81020,Homo sapiens,HepG2,,F,,
136,,3676,Autocuration,,,1,Compound was tested for the inhibition of Alpha-glucosidase,,,CHEMBL615359,,22226,,,,B,,
137,,6043,Autocuration,,,1,Inhibitory concentration against human neutrophil elastase (HNE),,,CHEMBL615360,,235,,,,B,,
138,,11140,Autocuration,10116.0,,1,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,,CHEMBL615361,,22226,Rattus norvegicus,,,F,,Heart
139,,10543,Autocuration,,,1,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,CHEMBL615362,,19640,,,,F,,
140,,10543,Expert,,,1,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,CHEMBL615363,,19640,,,,F,,
141,,10543,Autocuration,,,1,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,CHEMBL615364,,19640,,,,B,,
142,,10543,Expert,,,1,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,CHEMBL615365,,19640,,,,F,,
143,,11365,Intermediate,10090.0,,1,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,524.0,,CHEMBL615366,,80360,Mus musculus,P338,,F,,
144,,11365,Intermediate,10090.0,,1,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,524.0,,CHEMBL615367,,80360,Mus musculus,P338,,F,,
145,,11803,Intermediate,9606.0,,1,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,554.0,,CHEMBL615368,,80384,Homo sapiens,PBL,,F,,
146,,11803,Autocuration,9940.0,,1,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,,CHEMBL615369,,22226,Ovis aries,,,F,,
147,,11803,Autocuration,9940.0,,1,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,,CHEMBL615370,,22226,Ovis aries,,,F,,
148,,12278,Autocuration,,,1,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,CHEMBL615673,,191,,,,B,,
149,,8249,Autocuration,9606.0,,1,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,,CHEMBL615674,,22226,Homo sapiens,,,F,,
150,,8249,Autocuration,9606.0,,1,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,,CHEMBL615675,,22226,Homo sapiens,,,F,,
151,,8249,Autocuration,9606.0,,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,635.0,,CHEMBL615676,,22226,Homo sapiens,CCRF-CEM,,F,,
152,,8249,Autocuration,9606.0,,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,635.0,,CHEMBL615677,,22226,Homo sapiens,CCRF-CEM,,F,,
153,,8249,Autocuration,9606.0,,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,635.0,,CHEMBL615678,,22226,Homo sapiens,CCRF-CEM,,F,,
154,,8249,Autocuration,9606.0,,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,635.0,,CHEMBL615679,,22226,Homo sapiens,CCRF-CEM,,F,,
155,,8249,Autocuration,9606.0,,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,,CHEMBL615680,,22226,Homo sapiens,,,F,,
156,,8249,Autocuration,9606.0,,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,,CHEMBL615681,,22226,Homo sapiens,,,F,,
157,,16992,Autocuration,,,1,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,CHEMBL857972,,104290,,,,B,,
