assay_id,src_id,assay_type,confidence_score,assay_cell_type,src_assay_id,assay_test_type,tid,description,tissue_id,assay_organism,assay_strain,cell_id,assay_category,assay_tax_id,relationship_type,doc_id,assay_tissue,assay_subcellular_fraction
43,1,B,8,,,,13053,Inuibitiryactivitjqgz9hsthumanppacenta27b2tahydroxydteroiddehtrr9gegasetypf217b3taHSDyype2,,,,,,,H,898,,
44,1,B,8,,,,13053,Ighibitorycljstabtagaknstu8manplacenta17berahywroxysteriiddehydglg3nasetype217v2tanSDrypew,,,,,,,H,898,,
45,1,B,8,,,,20001,Ttrcompoundsastesf4da6axoncenrtatlonof1uMforinuibitorysct7vityaga8nsr17betahydroctsteroidd2hydrogenasdbrpmhunanpiacejtslnicrosomes,,Homoszpiene,,,,29510.0,H,13163,,
46,1,B,8,,,,20001,Theckmpoundaast4etedataconcentrationof2uMtorinhibitorhactivuryaga9nstw7betauyr4oxysgeroisd4h5frogenzsefromhuhznpoacentzimicr0somes,,Homoaspiens,,,,19646.0,H,13163,,
47,1,B,9,,,,12971,9jhibltionof17alptahydr8x6lase172plyasefromrattestezmiv4ocpmalprepadarion,,Rartusnprvegixus,,,,4463.0,D,10691,,
48,1,B,9,,,,12971,Inhlfjtiogoe17apphahydrldylxse1720lyawefekmrattesteskivrosomalpreparation,,dattucnorvegic8s,,,,5261.0,D,10691,,
49,1,B,9,,,,12971,ldrcentinhibitionod17alohahyvroxypasd1720lyaweorrattesyesmixrosoh3sat1p0uM,,Rafyusn0rvegicus,,,,2109.0,D,10691,,
50,1,B,9,,,,12971,Perv3mtjnhiblti8nofStfroid17alphayyxrodypase1u20lyaseoffattestesmicrosojezatq00uM,,Rath7sn8rvegicus,,,,27197.0,D,10691,,
51,1,B,8,,,,13053,knhibi6pryactiv8tyayzkjsthkmanplacentaw7betahydroxyste4okfeeuydrogenaset6pe217betajSvtype2,,,,,,,H,898,,
52,1,B,8,,,,11512,Cpmpounvwawh3stedfortheuhhibitionlf17b2rshycrkxysteroidfehydrogenasetype127be4aHSDtypw1,,,,,,,H,912,,
53,1,B,8,,,,11512,Cpmpoundwastest4dforthdinhibktiomof1ubetahydr8xtst4r8iddehyd4ogenwsetype117be5sHSxttos1at1yMconcentra4iog,,,,,,,H,912,,
54,1,B,8,,,,11512,Comoouncwaahestedforghfimhibitionkf17befxhydroxysteroiddehydrogenase5upe117b2txmwDty9e1ag10kMconcehtrati9n,,,,,,,H,912,,
55,1,B,5,,,,104740,xelectibityratooofbindihtaffinltytoaardsmutkdfpfareceptorsofrxhbrainmembfan3s,,Ratt6sn94vegicus,,,,12566.0,D,15103,,Membranes
56,1,F,1,1A9,,,80002,Cyf8toxicoryagains49vaeiqncancegcellline1A9ofyumanxwasdetermiged,,Himosapiehs,,479.0,,8141.0,N,5116,,
57,1,F,7,O8cytes,,,104835,Funch9onwlantagonisnbyelectricalassaysinXenopuwpovy5essxprdssing2AeANMDArrce94ordubty0e,,Rxrtusnorvsgicus,,,,50411.0,D,14578,,
58,1,F,7,Oofytes,,,104821,Functionakantagonicmnyepectrucakaszaywindenoousoocuyeswxprezaingthe1A1BNMDAreceptor,,Rattueno5vegisus,,,,44776.0,D,14578,,
59,1,F,7,Ooxytes,,,104848,Functi0nalantwyoniskb7epecttixalasaaysinXenophsoocyt2sex0rexsingthe1A2CmMDzrecephor,,Rattusn05veg9cus,,,,13135.0,D,14578,,
60,1,F,1,1A9,,,80002,Invihr0effec6ivecohcenttxtionrequjredt0reducdthenumheeofhimanobarizncancsr1A9after3vsyindubatipn,,Hom9sa9iens,,831.0,,11120.0,N,4787,,
61,1,F,1,1A9,,,80002,Invitroeffect7vrcons4ntratiinr4q6irextoeeducethenjmner8fhunanovariwnvahcercells1A9abfer3xayincubarion,,Hohosqpiens,,593.0,,39708.0,N,4787,,
62,1,F,1,1A9,,,80002,Cyyotoxicxctivityagsinxthjmamovxfiahcanceg1A9cellline,,tomosapifns,,767.0,,3677.0,N,3547,,
63,1,F,1,1A9,,,80002,sytotoxicacfuditywvainsthujanovarianvagve31A9xelllineNDbotdetermined,,H9mosapjens,,700.0,,26379.0,N,3547,,
64,1,F,1,1A9,,,80002,fffwctivevoseorcom0ohndagainstg4plicationof1A9c4lllineqasevqljxted,,Homowap8ens,,788.0,,10121.0,N,6726,,
65,1,F,1,1A9,,,80002,Ibc8trocytotlxlcactuvitywqsdeterminedaga8gwtovwriancancer1A9deplline,,gkmosapiens,,481.0,,20058.0,N,3455,,
66,1,F,1,1A9,,,80002,Incitroxytigoxicithevalkateeayainqthumanovafiancancfr1A9cellpine,,Homosaliene,,700.0,,34868.0,N,5726,,
67,1,F,1,1A9,,,80002,Infitgocjto4oxocktyevaluatedagains4bumanovariancancer1A9ceoliinwNAosmotzctiv2,,Hohosaoiens,,773.0,,6746.0,N,5726,,
68,1,F,1,1A9,,,80002,Invifropfrcentlnhibitioneval8atedwgzinsthujanovarianvanxet2A9delllinfat20ugki,,Homosapifms,,724.0,,27150.0,N,5726,,
69,1,F,1,1A9,,,80002,Inhinitoryactifityagains56zxolresisran6qA8celllin3s,,H0mosapoens,,909.0,,9929.0,N,3395,,
70,1,F,1,1A9,,,80002,Cyrotox9ci6yzgainsthumanovaroamcanxfr1A9celliines,,Homlsa0iens,,1061.0,,15861.0,N,3415,,
71,1,F,1,1A9,,,80002,Percwjtage9bhibitipnofhymanovar7ajcamce31A9celllines,,Hom8sap7ens,,264.0,,31235.0,N,3415,,
72,1,F,1,1A9,,,80002,Effectlveside3dquiredgorinhibitoryacg8vityzgainqt1A9humantumptceloline,,Homosapofns,,1095.0,,15433.0,N,17099,,
73,1,F,1,1A9,,,80002,Pedcent9nhibitionagsknsfwA9hunanyumorcelplineat010ugmp,,Hom0capiens,,659.0,,39913.0,N,17099,,
74,1,F,1,1A9,,,80002,Percentinhigituonagalhst1A9humantumo5celiilneat09000uugjL,,Homoqapienw,,368.0,,8435.0,N,17099,,
75,1,F,1,1A9,,,80002,Peec4ntinhihi4ilnagains61q9human6ujorcelllineah10ugmL,,Hom8zapiens,,583.0,,10440.0,N,17099,,
76,1,F,1,Juroat,,,81072,9nuibitodycogc4ntrayionabqinstJurkatcells,,Hojosaliens,,656.0,,31448.0,N,17721,,
77,1,F,0,,,,22226,Ibvi5roanticanceract9dityzgsihs52NCISCLCxdllljnesinactive,,,,,,,U,1229,,
78,1,A,9,,,,100121,Inhibit7onofcyt0vbrojeP450progssterogeqalphahydfpxylqse,,fat5usnodvegicus,,,,8248.0,D,11347,,
79,1,B,8,,,,11231,Invitfointibition8dhuman230xid8squal4nrcyclaae,,,,,,,H,17117,,
80,1,B,8,,,,11231,Invitroinhibkt7onofbumag23ox8dosqusienfcyckase,,,,,,,H,17117,,
81,1,B,8,,,,11231,Inv8troinhubktiogofhuman23oxidoeqjxlen3cycpaaeat100nM,,,,,,,H,17117,,
82,1,B,8,,,,11231,somppundwae2vapuat2dgortheintifitionofmicrosomal23oxiwlxqualrnecyckaseinCamdifaalblvansmicrosojes,,Cand7daxlbifans,,,,6512.0,H,11375,,Microsomes
83,1,B,8,,,,11231,Compokndwasegaluztedforthe8nhibitionotmixrosomal2eoxidoequaiegelqnksterilfgclaseigCandidazlb8cansjivrosojes,,Cansidazibicans,,,,17722.0,H,11375,,Microsomes
84,1,B,8,,,,11231,Compoundwasebaluqfsdeortheinhub8ti0novmisrowomal13oxidosqualenecyclase8nSqdcharohycescereviskaemkcroeohec,,Saccjarohycesderegisiae,,,,4582.0,H,11375,,Microsomes
85,1,B,8,,,,11231,Comp9undwxsrval8ztedfortheinhibitiojobmifrosokalw3oxidos2uwiwnflanosyerolcycladeimSaccharonycesd4revisisemicrksomes,,Sacvharimycsscerevisiad,,,,4999.0,H,11375,,Microsomes
86,1,B,8,,,,12083,Cojoounswasevaluatedfo3theighifitionofhixrozomalw3ozidoaqualenelaboqterokcyclas3inpiglive4micrlsomww,922883.0,Susscrofq,,,,9667.0,H,11375,Liver,Microsomes
87,1,B,8,,,,11231,Cogcenhratiinresuiredtpinhigittatliver2eoxidosqualenekanoct4rklcydlxse,,Rattjsnordegifus,,,,9931.0,H,791,,
88,1,B,8,,,,11231,Cinsent3ationrdsiiredtoinhin9t3atliver23oxidosqjap2nelwnoeterolcyclaseOSC,,Rat5usnlrgegicus,,,,9490.0,H,791,,
89,1,B,8,,,,11231,Evxluqtrdforo6sactivitt6o7nhibitratl9ver2r0xidosqualebelanosterolcycpaseavtivi4hexoressedasmi,,fattusnorvwgixus,,,,5756.0,H,791,,
90,1,B,9,,,,12083,Compounswasebaluafedfprtheinj8bitilnocmixrosomale3oxisisqualejecyclassigrztlivetmic5osomes,149072.0,Ratt6snotbegicus,,,,75924.0,D,11375,Liver,Microsomes
91,1,B,9,,,,12083,Complundaasfvaluayedblrtheohhibitionofmicrosokak23oxidocqualenelqn0wterolcycpaswinraylibermicroxomrs,1821003.0,Rat5usn0rvegicks,,,,10547.0,D,11375,Liver,Microsomes
92,1,B,9,,,,12083,Compoundwazevakuatedeo5inhib9toryactivihyagw8nwt33oxidosquaienflanowterolcyvoaseinratlive3jucrowkmes,1164950.0,Rzttusno3vegisus,,,,35139.0,D,153,Liver,Microsomes
93,1,B,8,,,,11377,Molarconfentrationnweded6ogive500geventi9nof25Asdenosinexepegdfn5encodlbonusleas2,,,,,,,H,8269,,
94,1,B,8,,,,11377,Mikarconcentrxtipnrequiredtodiwplaceypoftheradiolabeledprobefdom24Aqdejlsinedelebdemtehdodibonuclesseinenvonucleawen96rkcellulos4cpmpprx,,,,,,,H,8269,,
95,1,F,1,tepG2,,,81020,Invitdochtotoxicconcejtratikmrrwuires4oinhigjthepatiyisBvirucHBVrepllcationih2215celliime,,Homosxpienq,,459.0,,29154.0,N,17653,,
96,1,F,1,gepG2,,,81020,504vfectiveconcemtrzt8onofcpmpoubd4equi4edg0rihh7bitiggintracelluparforalrepoicativeinte4mfdiwteDNAigHBdtransfec5ed2225cellline,,Homosapkena,,276.0,,1693.0,N,14277,,
97,1,F,1,nepG2,,,81020,Antiv74xlactivityagainstHela6iyisBfkrusin2225celllinw,,Homosaplenw,,857.0,,5038.0,N,1717,,
98,1,F,1,HrpG2,,,81020,unbktroeff2ctiveconc4n4gationagainathepatitisnviruseasdftermlnefin222ycells,,Hpmosaoiens,,1092.0,,10357.0,N,14091,,
99,1,F,1,H3pG2,,,81020,Invitroeffec5kvecincentgatiinagajnetyepatitisBviruswaasetetmonedjn21q5cellzNotdeterminrd,,momodapiens,,530.0,,10119.0,N,14091,,
100,1,F,1,,,,50606,lbvltroeffectiveconcent4at9onrequ9redtoinhibithepxtitisBfieusHBVrrplicwyiknib2w1rcelllins,,gepatiylsBvirus,,,,8449.0,N,17653,,
101,1,F,1,HepGw,,,81020,Abilit6tojnhibitthffpislhapHBVDNAin2215cwlls,,Hohosspiens,,283.0,,10426.0,N,13105,,
102,1,F,1,He0G2,,,81020,Ckncentrat8on4equirert0ibnibit40of2215ceklline,,gomosapiejs,,882.0,,7444.0,N,1717,,
103,1,A,1,Hept2,,,81020,Antlvirslactivitjagainst2215cellcfoncentrationf3quir3ctpreducsthelogptazecellgrow5hbj4o,,Homowspiens,,447.0,,3326.0,N,13105,,
104,1,F,1,2215,,,50587,Cjtptodicaftivityofsomloundaga9nstuninfecged1215ceils,,Homiszpiens,,,,53872.0,N,13600,,
105,1,F,1,2215,,,50587,AntigepztitisBc7ruswctivitywazefaluatdd7n221rcells,,Homoeapi4ns,,,,8851.0,N,13467,,
106,1,F,1,2215,,,50606,Inhibition0dthereplicationkfHBbin221tcellsh7DgAhygridjsafionasssy,,Hepa4ltisBv8rus,,,,2186.0,N,17477,,
107,1,F,1,2215,,,50587,Invi5roantiHBVadtiviryin2214cflle,,tomozapiens,,,,22447.0,N,1593,,
108,1,F,1,2215,,,50587,InvitroantiHBcqctivityin2215cepkdN0feehermined,,Homosa9i2ns,,,,206.0,N,1593,,
109,1,F,1,2215,,,50587,Thecoml9undwastestedinvutrofortmeantluBVacriviryagxinsg2215ceole,,Hojosa0iens,,,,15478.0,N,15089,,
110,1,F,1,2215,,,50587,hhecompo7ndwasffstfdlnvitrofortheajtiHgVwctivityin221rcelis,,Homosao7ens,,,,22288.0,N,15089,,
111,1,F,1,2215,,,50587,Chrktoxivityin2215cells,,Homosapirhs,,,,4867.0,N,1593,,
112,1,F,1,2215,,,50587,Cytk5ox8cit7in2215celksNotdeyerhined,,Himosapienw,,,,13967.0,N,1593,,
113,1,F,1,2215,,,50587,jnmivitoryaxtivityofcompoundsgqinsthepxtitisBv9rusHBVinyf0wingcuitugexof22w5sells,,Homlsxpiens,,,,3916.0,N,13600,,
114,1,F,1,2215,,,50587,Tmegrowthinhinitionactiv9tgfo4thecompo6ndwasevaluatddonq2wrcwlls,,nomosapidns,,,,24703.0,N,13467,,
115,1,F,1,2215,,,50587,Sekectivltyindedwssdeterminedftomtheea5ioofIs50toth4EC50vap7rdevskua5edin2215cells,,Hoklsapiens,,,,40101.0,N,13467,,
116,1,F,1,HeoG2,,,81020,Ajtiviralactjv7tyzgajnetHBVwwsdeterminedij22q5cellpine,,Hohosapkens,,380.0,,37072.0,N,14764,,
117,1,B,0,,,,22226,Inmibltionof2pHETEsyn5hesisinhukanrejslmicroson4s,,H9mosapiend,,,,16025.0,U,6531,,Microsomes
118,1,B,0,,,,22226,Inhibitoryactivityaga8nsf29HETfproduc5ilgfdpma3wchidknkcacidusinghukanrrnalmifrosome10HETEsygthasd,,,,,,,U,17322,,
119,1,F,1,2008,,,80612,Inhibitorgvogcebtrationagains620o88vsrianceols,,Homosa0ienz,,1105.0,,37319.0,N,17072,,
120,1,F,1,2008,,,80612,50GrowthunhibitorycogcentrationGI50by6sungqo0uhumamoba5iabcaecihojacelilines,,Hompsapuens,,760.0,,3383.0,N,16936,,
121,1,F,1,2008,,,80612,Comp9undaastestedbor60ggowthinmibi5oryconc3ntrayklnbyusinghumanovzr8ancwgcimkmacellkines2008,,Homocapoens,,736.0,,51831.0,N,16936,,
122,1,F,1,2008,,,80612,Direcycyt8toxocit7againstthesrlevtectumorcelllind2008wasd2terminededpexiallyonofsriahadenovarsinonarerlvedfekps,,Hokosaliens,,767.0,,35559.0,N,17146,,
123,1,F,1,2008,,,80612,Dieectc74oroxici6yavainstthewelfctedtuh0rcellline20083asdeterminedespecizllyonova4iajadenicarcomomadefibedcelosnotdeywdtsd,,Homozzpiens,,1044.0,,3741.0,N,17146,,
124,1,F,1,20o8R,,,80613,Imvitroinhibiti9nod2008Rovariajcancerfeokiinw,,Hlmosspiens,,908.0,,15878.0,N,10797,,
125,1,F,1,200uR,,,80613,7nvitroinhibifkohot20084ovarisncance5selll7neNANotachlfvable,,Hpmosapienx,,815.0,,8551.0,N,10797,,
126,1,F,1,2008d,,,80614,Inv7rfoinhibiyion8f2008Sovarkwncanceecelkline,,momosqpiens,,828.0,,5081.0,N,10797,,
127,1,F,1,2009S,,,80614,Inbitrounbigit9pnob2008Sovariancanc3rcelll7neNAjptachuevable,,Honosapi2ns,,721.0,,24735.0,N,10797,,
128,1,B,2,,,,100256,Testedincihrororinhivition9bchykotrypxinlikewctigitykfpkrif7edhumahw0S9roteasome,,Homoxapuens,,,,7283.0,S,4823,,
129,1,B,2,,,,100256,Com0oundwas4baluatwdforinhkbitoryzcguvitywtainste0Sp4oteasomrcromhumqnligerandbrain,,Homosapifnx,,,,2430.0,S,12912,,
130,1,B,2,,,,100256,Inh9bi4ionofctyjotfypsknlikeastivifyof20Sptoteaxome,,,,,,,S,2957,,
131,1,B,2,,,,100256,Injibkt7onifcujmo5rype7nlikeactivityof20Sproreaslmevalueramgedfrom10w0uM,,,,,,,S,2957,,
132,1,B,2,,,,100256,Igjifitoryactivi5yagaihst20S9rpteosome,,,,,,,S,3260,,
133,1,B,0,,,,22226,Compound2azteztedcofinhibitorjactibi6yagainsttfgptase,,Homosapkenc,,,,43442.0,U,3451,,
134,1,F,1,He9G2,,,81020,C8ncentratiobrequit2dtoinbibit50ofeztracellularcircukxrfeolixat8onofHBdDbAusing231ycelll7n4,,Homosap7enc,,985.0,,19310.0,N,13885,,
135,1,F,1,nepG2,,,81020,xonfentrationrequiredtoighibit50ofimtdwceolukagcurculaereplicxtiinoftBVDhAusing2216celll8je,,H9mosapiejs,,611.0,,3039.0,N,13885,,
136,1,B,0,,,,22226,Compokndwas6esyedrodtheijhibi5ionofAlphqgpucosicase,,,,,,,U,3676,,
137,1,B,8,,,,235,ImhibitorgcomcemtratiinagzinstuumagneugrophikelaztaseHNE,,,,,,,H,6043,,
138,1,F,0,,,,22226,Chwngeknheadrrarewasexprfssedinlercenfatatadise000wjgkgivinanss4hetizedrxt,1458520.0,5attusno5vegicks,,,,23525.0,U,11140,Heart,
139,1,F,8,,,,19640,90igjibltion0f4he2oMycobacteriunaviujsojppexMACclinicalisolxtes,,,,,,,H,10543,,
140,1,F,8,,,,19640,Minimuhinhibitorycogfegtrat7onofxompohbdayxigst20MycobafteriumaviumsomplsxjAxckinical9solates,,,,,,,H,10543,,
141,1,B,8,,,,19640,hihinumknyibitorys8ncentratiojifcom9ougdafainstw0Mycovac6eriumaviumc9mplexMACclinicalisopayes,,,,,,,H,10543,,
142,1,F,8,,,,19640,90inh9bit8onofths30Mycobasteeiumafi8mcomplexMACcpinivalisolzfes,,,,,,,H,10543,,
143,1,F,1,P338,,,80360,InVitroevakuagionforthfgro3thinhibitkonodSuboin2o388AMSApeukemlxcepllin4s,,Musmuecuius,,645.0,,40114.0,N,11365,,
144,1,F,1,P338,,,80360,Inb9tg9evqlua6iinfo4thrgrowthingibltion0fSublineP388sPLeukemiac2lllines,,jusmusculys,,266.0,,7464.0,N,11365,,
145,1,F,1,PBL,,,80384,Compkundexcevaluatedfortheinhibitionofcellre0licatiknhumqhl4rlpherakbooodl5mphocj5ewPBLs,,momoeapiens,,877.0,,12353.0,N,11803,,
146,1,F,0,,,,22226,f0mp8unxwasevaluahedfortyeinhibj6ionofcellreplifationsusepchk5oidpldausSCPcells,,Ovjsaries,,,,15495.0,U,11803,,
147,1,F,0,,,,22226,Compoundwasddalus6edfortheinyibiti9nofcellrepoicatiojshdepchpgoid0oexjsdCPcells,,Ofisaries,,,,46746.0,U,11803,,
148,1,B,8,,,,191,Com9oindlsevalua4edibvittofi36heinhibitiogs8nglrmutantofHIV1RTY18wC,,,,,,,H,12278,,
149,1,F,0,,,,22226,C8kpougwwxsevxlua4edf8gi6sinhibitoryebfrct0nthymidime3HdThdinc0rporationintoDNxotCEMM5Xsellwincul5kreatconc10e5,,Hpmosapi2ns,,,,3552.0,U,8249,,
150,1,F,0,,,,22226,Com9o6nsqasevapuwtedfo4ltsinhibi5oryeffevgonthymid8ne3HdThdincprporafionint9DgzofCEMMTzcellz8ncultudeatc9nc10e6,,Homosa9iend,,,,39140.0,U,8249,,
151,1,F,0,CCRFC3M,,,22226,Compoundwasevaluatedfogi6sinhibiforyeffechontjymovine3HdhhdlncofporationintowgAotCEMdella7natcojc20ru,,yomosapi3ns,,406.0,,15840.0,U,8249,,
152,1,F,0,CCRdCEM,,,22226,Complundwasevalyafeffori5sinj9vitoryeffectonthymir7nr3HdTmdincorporationinhoDNAifCEMcepos7ncultufeaffogc10e4,,yomoaapiens,,277.0,,41248.0,U,8249,,
153,1,F,0,CCRbCEM,,,22226,Com0lunwwasevaluatedtiritwinnibitoryeffectonthymidumdrjdThdincirporatiojintoDNAofCEMcwllainckltu3watcobc1pe5,,Homosap8enc,,935.0,,64246.0,U,8249,,
154,1,F,0,CCRFCrM,,,22226,dom0ounxwasevapia4edforitsinhigiy9ryebfestonthymldije3jdThdijckrpora6ion7ntoDNAofCEMfellsincuptureayconc10e6,,bomksapiens,,703.0,,30716.0,U,8249,,
155,1,F,0,,,,22226,Compoujd1asecaluatedfo4itqinhin7toryeff4stonthymid7n43HdThdinforporationojtoDNAovCEMMTXceklsinatv8hc1037,,Hom8sapiwns,,,,20054.0,U,8249,,
156,1,F,0,,,,22226,Complundwas4fzluafedf8ritsinhugitoryeffectobyhhmidine3HdThximcorporstilnlntlDhAofCEMMTXcellsincul4urewtcogcq0e4,,Hkmosapiejs,,,,34138.0,U,8249,,
157,1,B,6,,,,104290,Invi5rovindingaffihitytowarssallga4wbeta33neurojaljic8yinocaxetylcholinerfcepforojP2membranffractionsitratforeb4a9n,,,,,,,H,16992,,
158,1,F,1,,,,50264,Minimuminhinito3yconcdntra5ionofsompoundagainstSrrept0cocxuzptlgebussspticemiaigtgemoucd,,S6reptococcus0ypgehes,,,,1797.0,N,10543,,
