fsclr,dsrtfctn(mrkr),prjctnmbr,ntdmnt(prjct-lvlbdgt),ndgnssss(mrkr),sctrd,ctstlfrdvlpmnt(mrkr),fndcntrd,chldrnsss(mrkr),prgrmmngprcss(nw),knwldgfrdvlpmnt(mrkr),dvsnnm,mxmmcdcntrbtn(prjct-lvl),cntrrgnprcnt,stts,brnchd,trddvlpmnt(mrkr),cntnntnm,rgnstnclss,cntrrgnd,pbtp,rgnlprgrm(mrkr),bdvrst(mrkr),cntnntd,cntrrgnnm,prtcptrdvlpmntndgdgvrnnc,rbnsss(mrkr),thsss(mrkr),dsbltsss(mrkr),gndrqlt(mrkr),rgnstnd,rgnstnnm,rgnstntp,rgnstnsb-clss,prjctbrwsrcntrd,sctrnm,sctrprcnt,mntspnt
2009/2010,0,M013172001,3000000.0,0,72010,0,5311,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,3000000.0,0.3,Terminating,B5100,0,Asia,Civil Society,X3,Not PBA,0,0,3,Asia MC,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,X3,Material relief assistance and services,1.0,900000.0
2009/2010,0,M013172001,3000000.0,0,72010,0,5311,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,3000000.0,0.05,Terminating,B5100,0,Europe,Civil Society,X4,Not PBA,0,0,5,Europe MC,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,X4,Material relief assistance and services,1.0,150000.0
2009/2010,0,M013173001,3000000.0,0,72010,0,5311,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,3000000.0,0.5,Terminating,B5100,0,Africa,Civil Society,X1,Not PBA,0,0,2,Africa MC,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,X1,Material relief assistance and services,1.0,1500000.0
2009/2010,0,M013173001,3000000.0,0,72010,0,5311,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,3000000.0,0.15,Terminating,B5100,0,America,Civil Society,X2,Not PBA,0,0,1,Americas MC,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,X2,Material relief assistance and services,1.0,450000.0
2009/2010,0,M013173001,3000000.0,0,72010,0,5311,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,3000000.0,0.3,Terminating,B5100,0,Asia,Civil Society,X3,Not PBA,0,0,3,Asia MC,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,X3,Material relief assistance and services,1.0,900000.0
2009/2010,0,M013173001,3000000.0,0,72010,0,5311,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,3000000.0,0.05,Terminating,B5100,0,Europe,Civil Society,X4,Not PBA,0,0,5,Europe MC,0,0,0,0,1,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,X4,Material relief assistance and services,1.0,150000.0
2009/2010,0,M013174001,500000.0,0,72010,0,5303,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,500000.0,1.0,Closed,B5100,0,Asia,Civil Society,LK,Not PBA,0,0,3,Sri Lanka,0,0,0,0,0,1015332,Mines Advisory Group,Foreign Non-Profit Making,NGO,LK,Material relief assistance and services,1.0,500000.0
2009/2010,0,M013175001,500000.0,0,72010,0,5303,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,500000.0,1.0,Closed,B5100,0,Asia,Civil Society,LK,Not PBA,0,0,3,Sri Lanka,0,0,0,0,0,1015331,The Halo Trust,Foreign Non-Profit Making,NGO,LK,Material relief assistance and services,1.0,500000.0
2009/2010,0,M013176001,600000.0,0,72050,0,5230,0,Uncoded: Pre-APP,1,MHDInternational Humanitarian Assistance,600000.0,0.5,Closed,B5100,0,Africa,Civil Society,X1,Not PBA,0,0,2,Africa MC,1,0,0,0,0,1002035,International Crisis Group,Foreign Non-Profit Making,NGO,X1,Relief co-ordination; protection and support services,1.0,150000.0
2009/2010,0,M013176001,600000.0,0,72050,0,5230,0,Uncoded: Pre-APP,1,MHDInternational Humanitarian Assistance,600000.0,0.1,Closed,B5100,0,America,Civil Society,X2,Not PBA,0,0,1,Americas MC,1,0,0,0,0,1002035,International Crisis Group,Foreign Non-Profit Making,NGO,X2,Relief co-ordination; protection and support services,1.0,30000.0
2009/2010,0,M013176001,600000.0,0,72050,0,5230,0,Uncoded: Pre-APP,1,MHDInternational Humanitarian Assistance,600000.0,0.3,Closed,B5100,0,Asia,Civil Society,X3,Not PBA,0,0,3,Asia MC,1,0,0,0,0,1002035,International Crisis Group,Foreign Non-Profit Making,NGO,X3,Relief co-ordination; protection and support services,1.0,90000.0
2009/2010,0,M013176001,600000.0,0,72050,0,5230,0,Uncoded: Pre-APP,1,MHDInternational Humanitarian Assistance,600000.0,0.1,Closed,B5100,0,Europe,Civil Society,X4,Not PBA,0,0,5,Europe MC,1,0,0,0,0,1002035,International Crisis Group,Foreign Non-Profit Making,NGO,X4,Relief co-ordination; protection and support services,1.0,30000.0
2009/2010,0,M013177001,1800000.0,0,72040,0,5309,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,1800000.0,1.0,Closed,B5100,0,Asia,Multilateral,YE,Not PBA,0,0,3,Yemen,0,0,0,0,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,UNITED NATIONS,YE,Emergency food aid,1.0,500000.0
2009/2010,0,M013178001,3000000.0,0,72040,0,5309,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,3000000.0,1.0,Closed,B5100,0,America,Multilateral,CO,Not PBA,0,0,1,Colombia,0,0,0,0,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,UNITED NATIONS,CO,Emergency food aid,1.0,1500000.0
2009/2010,0,M013180001,6500000.0,0,72040,0,5309,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,6500000.0,1.0,Closed,B5100,0,Africa,Multilateral,TD,Not PBA,0,0,2,Chad,0,0,0,0,1,1001721,WFP - World Food Programme,Foreign Non-Profit Making,UNITED NATIONS,TD,Emergency food aid,1.0,6500000.0
2009/2010,0,M013181001,22450000.0,0,72040,0,5309,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,22450000.0,1.0,Closed,B5100,0,Africa,Multilateral,SD,Not PBA,0,0,2,Sudan,0,0,0,0,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,UNITED NATIONS,SD,Emergency food aid,1.0,3950000.0
2009/2010,0,M013182001,14000000.0,0,72010,0,5311,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,14000000.0,0.45,Closed,B5100,0,Africa,Multilateral,X1,Not PBA,0,0,2,Africa MC,0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,UNITED NATIONS,X1,Material relief assistance and services,1.0,6300000.0
2009/2010,0,M013182001,14000000.0,0,72010,0,5311,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,14000000.0,0.05,Closed,B5100,0,America,Multilateral,X2,Not PBA,0,0,1,Americas MC,0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,UNITED NATIONS,X2,Material relief assistance and services,1.0,700000.0
2009/2010,0,M013182001,14000000.0,0,72010,0,5311,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,14000000.0,0.45,Closed,B5100,0,Asia,Multilateral,X3,Not PBA,0,0,3,Asia MC,0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,UNITED NATIONS,X3,Material relief assistance and services,1.0,6300000.0
2009/2010,0,M013182001,14000000.0,0,72010,0,5311,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,14000000.0,0.05,Closed,B5100,0,Europe,Multilateral,X4,Not PBA,0,0,5,Europe MC,0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,UNITED NATIONS,X4,Material relief assistance and services,1.0,700000.0
2009/2010,0,M013183001,500000.0,0,72010,0,5303,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,500000.0,1.0,Closed,B5100,0,Asia,Civil Society,X3,Not PBA,0,0,3,Asia MC,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,X3,Material relief assistance and services,1.0,500000.0
2009/2010,0,M013184001,2700000.0,0,72050,0,5303,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,2700000.0,0.5,Closed,B5100,0,Africa,Multilateral,X1,Not PBA,0,0,2,Africa MC,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,UNITED NATIONS,X1,Relief co-ordination; protection and support services,1.0,1350000.0
2009/2010,0,M013184001,2700000.0,0,72050,0,5303,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,2700000.0,0.15,Closed,B5100,0,America,Multilateral,X2,Not PBA,0,0,1,Americas MC,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,UNITED NATIONS,X2,Relief co-ordination; protection and support services,1.0,405000.0
2009/2010,0,M013184001,2700000.0,0,72050,0,5303,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,2700000.0,0.3,Closed,B5100,0,Asia,Multilateral,X3,Not PBA,0,0,3,Asia MC,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,UNITED NATIONS,X3,Relief co-ordination; protection and support services,1.0,810000.0
2009/2010,0,M013184001,2700000.0,0,72050,0,5303,0,Uncoded: Pre-APP,0,MHDInternational Humanitarian Assistance,2700000.0,0.05,Closed,B5100,0,Europe,Multilateral,X4,Not PBA,0,0,5,Europe MC,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,UNITED NATIONS,X4,Relief co-ordination; protection and support services,1.0,135000.0
2009/2010,0,M013185001,30000000.0,0,31110,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0065,Operational,B5100,1,Asia,Multilateral,AF,Not PBA,0,0,3,Afghanistan,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,AF,Agricultural policy and administrative management,0.2,39000.0
2009/2010,0,M013185001,30000000.0,0,31120,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0065,Operational,B5100,1,Asia,Multilateral,AF,Not PBA,0,0,3,Afghanistan,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,AF,Agricultural development,0.2,39000.0
2009/2010,0,M013185001,30000000.0,0,31150,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0065,Operational,B5100,1,Asia,Multilateral,AF,Not PBA,0,0,3,Afghanistan,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,AF,Agricultural inputs,0.1,19500.0
2009/2010,0,M013185001,30000000.0,0,31161,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0065,Operational,B5100,1,Asia,Multilateral,AF,Not PBA,0,0,3,Afghanistan,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,AF,Food crop production,0.1,19500.0
2009/2010,0,M013185001,30000000.0,0,31166,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0065,Operational,B5100,1,Asia,Multilateral,AF,Not PBA,0,0,3,Afghanistan,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,AF,Agricultural extension,0.1,19500.0
2009/2010,0,M013185001,30000000.0,0,31182,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0065,Operational,B5100,1,Asia,Multilateral,AF,Not PBA,0,0,3,Afghanistan,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,AF,Agricultural research,0.1,19500.0
2009/2010,0,M013185001,30000000.0,0,31191,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0065,Operational,B5100,1,Asia,Multilateral,AF,Not PBA,0,0,3,Afghanistan,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,AF,Agricultural services,0.1,19500.0
2009/2010,0,M013185001,30000000.0,0,31193,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0065,Operational,B5100,1,Asia,Multilateral,AF,Not PBA,0,0,3,Afghanistan,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,AF,Agricultural financial services,0.1,19500.0
2009/2010,0,M013185001,30000000.0,0,31110,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.105,Operational,B5100,1,Asia,Multilateral,BD,Not PBA,0,0,3,Bangladesh,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BD,Agricultural policy and administrative management,0.2,630000.0
2009/2010,0,M013185001,30000000.0,0,31120,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.105,Operational,B5100,1,Asia,Multilateral,BD,Not PBA,0,0,3,Bangladesh,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BD,Agricultural development,0.2,630000.0
2009/2010,0,M013185001,30000000.0,0,31150,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.105,Operational,B5100,1,Asia,Multilateral,BD,Not PBA,0,0,3,Bangladesh,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BD,Agricultural inputs,0.1,315000.0
2009/2010,0,M013185001,30000000.0,0,31161,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.105,Operational,B5100,1,Asia,Multilateral,BD,Not PBA,0,0,3,Bangladesh,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BD,Food crop production,0.1,315000.0
2009/2010,0,M013185001,30000000.0,0,31166,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.105,Operational,B5100,1,Asia,Multilateral,BD,Not PBA,0,0,3,Bangladesh,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BD,Agricultural extension,0.1,315000.0
2009/2010,0,M013185001,30000000.0,0,31182,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.105,Operational,B5100,1,Asia,Multilateral,BD,Not PBA,0,0,3,Bangladesh,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BD,Agricultural research,0.1,315000.0
2009/2010,0,M013185001,30000000.0,0,31191,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.105,Operational,B5100,1,Asia,Multilateral,BD,Not PBA,0,0,3,Bangladesh,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BD,Agricultural services,0.1,315000.0
2009/2010,0,M013185001,30000000.0,0,31193,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.105,Operational,B5100,1,Asia,Multilateral,BD,Not PBA,0,0,3,Bangladesh,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BD,Agricultural financial services,0.1,315000.0
2009/2010,0,M013185001,30000000.0,0,31110,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0081,Operational,B5100,1,Africa,Multilateral,BI,Not PBA,0,0,2,Burundi,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BI,Agricultural policy and administrative management,0.2,48600.0
2009/2010,0,M013185001,30000000.0,0,31120,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0081,Operational,B5100,1,Africa,Multilateral,BI,Not PBA,0,0,2,Burundi,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BI,Agricultural development,0.2,48600.0
2009/2010,0,M013185001,30000000.0,0,31150,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0081,Operational,B5100,1,Africa,Multilateral,BI,Not PBA,0,0,2,Burundi,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BI,Agricultural inputs,0.1,24300.0
2009/2010,0,M013185001,30000000.0,0,31161,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0081,Operational,B5100,1,Africa,Multilateral,BI,Not PBA,0,0,2,Burundi,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BI,Food crop production,0.1,24300.0
2009/2010,0,M013185001,30000000.0,0,31166,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0081,Operational,B5100,1,Africa,Multilateral,BI,Not PBA,0,0,2,Burundi,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BI,Agricultural extension,0.1,24300.0
2009/2010,0,M013185001,30000000.0,0,31182,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0081,Operational,B5100,1,Africa,Multilateral,BI,Not PBA,0,0,2,Burundi,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BI,Agricultural research,0.1,24300.0
2009/2010,0,M013185001,30000000.0,0,31191,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0081,Operational,B5100,1,Africa,Multilateral,BI,Not PBA,0,0,2,Burundi,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BI,Agricultural services,0.1,24300.0
2009/2010,0,M013185001,30000000.0,0,31193,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0081,Operational,B5100,1,Africa,Multilateral,BI,Not PBA,0,0,2,Burundi,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BI,Agricultural financial services,0.1,24300.0
2009/2010,0,M013185001,30000000.0,0,31110,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0073,Operational,B5100,1,Africa,Multilateral,BJ,Not PBA,0,0,2,Benin,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BJ,Agricultural policy and administrative management,0.2,43800.0
2009/2010,0,M013185001,30000000.0,0,31120,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0073,Operational,B5100,1,Africa,Multilateral,BJ,Not PBA,0,0,2,Benin,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BJ,Agricultural development,0.2,43800.0
2009/2010,0,M013185001,30000000.0,0,31150,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0073,Operational,B5100,1,Africa,Multilateral,BJ,Not PBA,0,0,2,Benin,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BJ,Agricultural inputs,0.1,21900.0
2009/2010,0,M013185001,30000000.0,0,31161,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0073,Operational,B5100,1,Africa,Multilateral,BJ,Not PBA,0,0,2,Benin,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BJ,Food crop production,0.1,21900.0
2009/2010,0,M013185001,30000000.0,0,31166,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0073,Operational,B5100,1,Africa,Multilateral,BJ,Not PBA,0,0,2,Benin,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BJ,Agricultural extension,0.1,21900.0
2009/2010,0,M013185001,30000000.0,0,31182,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0073,Operational,B5100,1,Africa,Multilateral,BJ,Not PBA,0,0,2,Benin,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BJ,Agricultural research,0.1,21900.0
2009/2010,0,M013185001,30000000.0,0,31191,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0073,Operational,B5100,1,Africa,Multilateral,BJ,Not PBA,0,0,2,Benin,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BJ,Agricultural services,0.1,21900.0
2009/2010,0,M013185001,30000000.0,0,31193,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0073,Operational,B5100,1,Africa,Multilateral,BJ,Not PBA,0,0,2,Benin,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,BJ,Agricultural financial services,0.1,21900.0
2009/2010,0,M013185001,30000000.0,0,31110,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0057,Operational,B5100,1,Africa,Multilateral,CF,Not PBA,0,0,2,Central Afr.Rep,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,CF,Agricultural policy and administrative management,0.2,34200.0
2009/2010,0,M013185001,30000000.0,0,31120,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0057,Operational,B5100,1,Africa,Multilateral,CF,Not PBA,0,0,2,Central Afr.Rep,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,CF,Agricultural development,0.2,34200.0
2009/2010,0,M013185001,30000000.0,0,31150,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0057,Operational,B5100,1,Africa,Multilateral,CF,Not PBA,0,0,2,Central Afr.Rep,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,CF,Agricultural inputs,0.1,17100.0
2009/2010,0,M013185001,30000000.0,0,31161,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0057,Operational,B5100,1,Africa,Multilateral,CF,Not PBA,0,0,2,Central Afr.Rep,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,CF,Food crop production,0.1,17100.0
2009/2010,0,M013185001,30000000.0,0,31166,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0057,Operational,B5100,1,Africa,Multilateral,CF,Not PBA,0,0,2,Central Afr.Rep,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,CF,Agricultural extension,0.1,17100.0
2009/2010,0,M013185001,30000000.0,0,31182,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0057,Operational,B5100,1,Africa,Multilateral,CF,Not PBA,0,0,2,Central Afr.Rep,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,CF,Agricultural research,0.1,17100.0
2009/2010,0,M013185001,30000000.0,0,31191,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0057,Operational,B5100,1,Africa,Multilateral,CF,Not PBA,0,0,2,Central Afr.Rep,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,CF,Agricultural services,0.1,17100.0
2009/2010,0,M013185001,30000000.0,0,31193,0,5461,0,Uncoded: Pre-APP,0,MED Economic Development,30000000.0,0.0057,Operational,B5100,1,Africa,Multilateral,CF,Not PBA,0,0,2,Central Afr.Rep,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,IFI,CF,Agricultural financial services,0.1,17100.0
