ASSI,ASTETY,CHEI,ASSTR,ASCETY,DOI,RELATT,CONFSCO,CUB,SI,SRASI,CI,BFO,TII,VARII
7609,,CHEMBL622310,,,14793,N,1,Intermediate,1,,,BAO_0000218,,
7610,,CHEMBL622311,,,14793,N,1,Intermediate,1,,,BAO_0000218,,
7611,,CHEMBL622312,,,14793,N,1,Intermediate,1,,,BAO_0000218,,
7612,,CHEMBL622931,,,14793,N,1,Intermediate,1,,,BAO_0000218,,
7613,,CHEMBL622932,,,14793,N,1,Intermediate,1,,,BAO_0000218,,
7614,,CHEMBL622736,,,14793,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7615,,CHEMBL622737,,,14793,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7616,,CHEMBL622738,,,14793,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7617,,CHEMBL622739,,,14793,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7618,,CHEMBL622740,,,14793,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7619,,CHEMBL622741,,,14793,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7620,,CHEMBL622742,,,14793,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7621,,CHEMBL622743,,,14793,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7622,,CHEMBL622744,,,11637,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7623,,CHEMBL624134,,,11149,U,0,Autocuration,1,,,BAO_0000019,,
7624,,CHEMBL624135,,,10016,U,0,Autocuration,1,,,BAO_0000019,,
7625,,CHEMBL624136,,,17796,N,1,Intermediate,1,,,BAO_0000218,,
7626,,CHEMBL624137,,,17796,N,1,Intermediate,1,,,BAO_0000218,,
7627,,CHEMBL624320,,,17796,N,1,Intermediate,1,,,BAO_0000218,,
7628,,CHEMBL624321,,,12923,N,1,Intermediate,1,,,BAO_0000218,,
7629,,CHEMBL624322,,,15372,N,1,Intermediate,1,,,BAO_0000218,,
7630,,CHEMBL624323,,,15372,N,1,Intermediate,1,,,BAO_0000218,,
7631,,CHEMBL624324,,,15372,N,1,Intermediate,1,,,BAO_0000218,,
7632,,CHEMBL624325,,,15372,N,1,Intermediate,1,,,BAO_0000218,,
7633,,CHEMBL624326,,,15372,N,1,Intermediate,1,,,BAO_0000218,,
7634,,CHEMBL624327,,,15372,N,1,Intermediate,1,,,BAO_0000218,,
7635,,CHEMBL624328,,,15372,N,1,Intermediate,1,,,BAO_0000218,,
7636,,CHEMBL627848,,,14169,N,1,Intermediate,1,,,BAO_0000218,,
7637,,CHEMBL627849,,,14169,N,1,Intermediate,1,,,BAO_0000218,,
7638,,CHEMBL627850,,,14258,N,1,Intermediate,1,,,BAO_0000218,,
7639,,CHEMBL627851,,,14258,N,1,Intermediate,1,,,BAO_0000218,,
7640,,CHEMBL627852,,,15011,N,1,Intermediate,1,,,BAO_0000218,,
7641,,CHEMBL627853,,,15011,N,1,Intermediate,1,,,BAO_0000218,,
7642,,CHEMBL627854,,,15011,N,1,Intermediate,1,,,BAO_0000218,,
7643,,CHEMBL627855,,,15011,N,1,Intermediate,1,,,BAO_0000218,,
7644,,CHEMBL627856,,,15011,N,1,Intermediate,1,,,BAO_0000218,,
7645,,CHEMBL875339,,,15011,N,1,Intermediate,1,,,BAO_0000218,,
7646,,CHEMBL627857,,,15011,N,1,Intermediate,1,,,BAO_0000218,,
7647,In vivo,CHEMBL627858,,,11195,N,1,Intermediate,1,,,BAO_0000218,2106.0,
7648,,CHEMBL627859,,,10130,N,1,Intermediate,1,,,BAO_0000218,178.0,
7649,,CHEMBL627860,,,10130,N,1,Intermediate,1,,,BAO_0000218,955.0,
7650,,CHEMBL627019,,,10130,N,1,Intermediate,1,,,BAO_0000218,948.0,
7651,,CHEMBL627020,,,10130,N,1,Intermediate,1,,,BAO_0000218,2107.0,
7652,,CHEMBL627021,,,10130,N,1,Intermediate,1,,,BAO_0000218,2048.0,
7653,,CHEMBL627022,,,10130,N,1,Intermediate,1,,,BAO_0000218,2385.0,
7654,,CHEMBL627023,,,10130,N,1,Intermediate,1,,,BAO_0000218,,
7655,,CHEMBL627024,,,10130,N,1,Intermediate,1,,,BAO_0000218,2106.0,
7656,,CHEMBL627025,,,10130,N,1,Intermediate,1,,,BAO_0000218,2046.0,
7657,,CHEMBL627026,,,10130,N,1,Intermediate,1,,,BAO_0000218,2113.0,
7658,,CHEMBL627027,,,10130,N,1,Intermediate,1,,,BAO_0000218,178.0,
7659,,CHEMBL627028,,,10130,N,1,Intermediate,1,,,BAO_0000218,955.0,
7660,,CHEMBL627029,,,10130,N,1,Intermediate,1,,,BAO_0000218,948.0,
7661,,CHEMBL627030,,,10130,N,1,Intermediate,1,,,BAO_0000218,2113.0,
7662,,CHEMBL627031,,,10130,N,1,Intermediate,1,,,BAO_0000218,2107.0,
7663,,CHEMBL627032,,,10130,N,1,Intermediate,1,,,BAO_0000218,2048.0,
7664,,CHEMBL627033,,,10130,N,1,Intermediate,1,,,BAO_0000218,2385.0,
7665,,CHEMBL627034,,,10130,N,1,Intermediate,1,,,BAO_0000218,,
7666,,CHEMBL627035,,,10130,N,1,Intermediate,1,,,BAO_0000218,2106.0,
7667,,CHEMBL627036,,,10130,N,1,Intermediate,1,,,BAO_0000218,2046.0,
7668,,CHEMBL875340,,,10130,N,1,Intermediate,1,,,BAO_0000218,178.0,
7669,,CHEMBL627037,,,10130,N,1,Intermediate,1,,,BAO_0000218,948.0,
7670,,CHEMBL627038,,,10130,N,1,Intermediate,1,,,BAO_0000218,2113.0,
7671,,CHEMBL627039,,,10130,N,1,Intermediate,1,,,BAO_0000218,2107.0,
7672,,CHEMBL627040,,,10130,N,1,Intermediate,1,,,BAO_0000218,2385.0,
7673,,CHEMBL624663,,,10130,N,1,Intermediate,1,,,BAO_0000218,2106.0,
7674,,CHEMBL625963,,,10130,N,1,Intermediate,1,,,BAO_0000218,2046.0,
7675,,CHEMBL876799,,,10130,N,1,Intermediate,1,,,BAO_0000218,955.0,
7676,,CHEMBL626133,,,10130,N,1,Intermediate,1,,,BAO_0000218,2048.0,
7677,,CHEMBL626134,,,10130,N,1,Intermediate,1,,,BAO_0000218,,
7678,,CHEMBL626135,,,6295,N,1,Intermediate,1,,,BAO_0000218,,
7679,,CHEMBL626136,,,6296,N,1,Intermediate,1,,,BAO_0000218,,
7680,,CHEMBL626137,,,6296,N,1,Intermediate,1,,,BAO_0000218,,
7681,,CHEMBL626138,,,6295,N,1,Intermediate,1,,,BAO_0000218,,
7682,,CHEMBL626139,,,6296,N,1,Intermediate,1,,,BAO_0000218,,
7683,In vivo,CHEMBL626140,,,17260,N,1,Intermediate,1,,,BAO_0000218,,
7684,In vivo,CHEMBL626141,,,17260,N,1,Intermediate,1,,,BAO_0000218,,
7685,,CHEMBL626142,,,17686,N,1,Intermediate,1,,,BAO_0000218,,
7686,In vivo,CHEMBL627930,,,9866,N,1,Intermediate,1,,,BAO_0000218,2385.0,
7687,In vivo,CHEMBL627931,,,9866,N,1,Intermediate,1,,,BAO_0000218,2385.0,
7688,In vivo,CHEMBL627932,,,9866,N,1,Intermediate,1,,,BAO_0000218,2385.0,
7689,In vivo,CHEMBL627933,,,9866,N,1,Intermediate,1,,,BAO_0000218,2106.0,
7690,In vivo,CHEMBL627934,,,9866,N,1,Intermediate,1,,,BAO_0000218,2106.0,
7691,In vivo,CHEMBL627935,,,9866,N,1,Intermediate,1,,,BAO_0000218,2106.0,
7692,In vivo,CHEMBL627936,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7693,In vivo,CHEMBL627937,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7694,In vivo,CHEMBL627938,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7695,In vivo,CHEMBL627939,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7696,In vivo,CHEMBL627940,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7697,In vivo,CHEMBL627941,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7698,In vivo,CHEMBL876800,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7699,In vivo,CHEMBL627942,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7700,In vivo,CHEMBL627943,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7701,In vivo,CHEMBL627944,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7702,In vivo,CHEMBL627945,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7703,In vivo,CHEMBL628584,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7704,In vivo,CHEMBL628585,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7705,In vivo,CHEMBL628586,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7706,In vivo,CHEMBL628587,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7707,In vivo,CHEMBL628588,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7708,In vivo,CHEMBL628589,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7709,In vivo,CHEMBL625304,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7710,In vivo,CHEMBL625305,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7711,In vivo,CHEMBL625306,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7712,In vivo,CHEMBL625307,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7713,In vivo,CHEMBL625308,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7714,In vivo,CHEMBL627740,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7715,In vivo,CHEMBL627741,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7716,In vivo,CHEMBL627742,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7717,In vivo,CHEMBL627743,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7718,In vivo,CHEMBL627744,,,9866,N,1,Intermediate,1,,,BAO_0000218,178.0,
7719,In vivo,CHEMBL627745,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7720,In vivo,CHEMBL627746,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7721,In vivo,CHEMBL627747,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7722,In vivo,CHEMBL876810,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7723,In vivo,CHEMBL627748,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7724,In vivo,CHEMBL627749,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7725,In vivo,CHEMBL627750,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7726,In vivo,CHEMBL618728,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7727,In vivo,CHEMBL618729,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7728,In vivo,CHEMBL618730,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7729,In vivo,CHEMBL618731,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7730,In vivo,CHEMBL618732,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7731,In vivo,CHEMBL618733,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7732,In vivo,CHEMBL618734,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7733,In vivo,CHEMBL618735,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7734,In vivo,CHEMBL876602,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7735,In vivo,CHEMBL618736,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7736,In vivo,CHEMBL618737,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7737,In vivo,CHEMBL618738,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7738,In vivo,CHEMBL618739,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7739,In vivo,CHEMBL618740,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7740,In vivo,CHEMBL618741,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7741,In vivo,CHEMBL618742,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7742,In vivo,CHEMBL618743,,,9866,N,1,Intermediate,1,,,BAO_0000218,10000001.0,
7743,In vivo,CHEMBL618744,,,17752,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7744,,CHEMBL618745,,,5610,N,1,Intermediate,1,,,BAO_0000218,,
7745,In vivo,CHEMBL620479,,,5939,N,1,Intermediate,1,,,BAO_0000218,,
7746,In vivo,CHEMBL620480,,,5939,N,1,Intermediate,1,,,BAO_0000218,,
7747,In vivo,CHEMBL620481,,,17771,N,1,Intermediate,1,,,BAO_0000218,,
7748,,CHEMBL620482,,,1974,N,1,Intermediate,1,,,BAO_0000218,,
7749,,CHEMBL876603,,,4239,N,1,Intermediate,1,,,BAO_0000218,,
7750,In vivo,CHEMBL620483,,,6681,N,1,Intermediate,1,,,BAO_0000218,,
7751,In vivo,CHEMBL620484,,,17752,N,1,Intermediate,1,,,BAO_0000218,,
7752,In vivo,CHEMBL620485,,,6046,N,1,Intermediate,1,,,BAO_0000218,,
7753,In vivo,CHEMBL620486,,,6685,N,1,Intermediate,1,,,BAO_0000218,,
7754,In vivo,CHEMBL620487,,,6685,N,1,Intermediate,1,,,BAO_0000218,,
7755,In vivo,CHEMBL620488,,,6685,N,1,Intermediate,1,,,BAO_0000218,,
7756,In vivo,CHEMBL620489,,,4727,N,1,Intermediate,1,,,BAO_0000218,,
7757,In vivo,CHEMBL620490,,,1088,N,1,Intermediate,1,,,BAO_0000218,,
7758,In vivo,CHEMBL620491,,,5610,N,1,Intermediate,1,,,BAO_0000218,,
7759,In vivo,CHEMBL876604,,,3032,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7760,In vivo,CHEMBL620492,,,5199,N,1,Intermediate,1,,,BAO_0000218,,
7761,In vivo,CHEMBL620493,,,14941,N,1,Intermediate,1,,,BAO_0000218,,
7762,In vivo,CHEMBL620494,,,4408,N,1,Intermediate,1,,,BAO_0000218,,
7763,,CHEMBL620495,,,2552,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7764,In vivo,CHEMBL620496,,,5199,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7765,In vivo,CHEMBL620497,,,15662,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7766,,CHEMBL620498,,,1465,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7767,In vivo,CHEMBL620499,,,1446,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7768,,CHEMBL620500,,,6824,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7769,In vivo,CHEMBL873809,,,17533,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7770,In vivo,CHEMBL620501,,,5979,N,1,Intermediate,1,,,BAO_0000218,,
7771,In vivo,CHEMBL620502,,,4689,N,1,Intermediate,1,,,BAO_0000218,,
7772,In vivo,CHEMBL620503,,,4689,N,1,Intermediate,1,,,BAO_0000218,,
7773,In vivo,CHEMBL620504,,,2463,N,1,Intermediate,1,,,BAO_0000218,,
7774,In vivo,CHEMBL876605,,,4883,N,1,Intermediate,1,,,BAO_0000218,,
7775,In vivo,CHEMBL620505,,,4883,N,1,Intermediate,1,,,BAO_0000218,,
7776,In vivo,CHEMBL873811,,,15662,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7777,In vivo,CHEMBL624016,,,3598,N,1,Expert,1,,,BAO_0000218,,
7778,,CHEMBL624017,,,4576,N,1,Intermediate,1,,,BAO_0000218,,
7779,,CHEMBL624018,,,4576,N,1,Intermediate,1,,,BAO_0000218,,
7780,,CHEMBL624019,,,4576,N,1,Intermediate,1,,,BAO_0000218,,
7781,In vivo,CHEMBL624020,,,4910,N,1,Intermediate,1,,,BAO_0000218,955.0,
7782,In vivo,CHEMBL624201,,,4891,N,1,Intermediate,1,,,BAO_0000218,,
7783,In vivo,CHEMBL872528,,,429,N,1,Intermediate,1,,,BAO_0000218,,
7784,In vivo,CHEMBL624202,,,5974,N,1,Intermediate,1,,,BAO_0000218,,
7785,In vivo,CHEMBL624203,,,5974,N,1,Intermediate,1,,,BAO_0000218,,
7786,In vivo,CHEMBL624350,,,5974,N,1,Intermediate,1,,,BAO_0000218,,
7787,In vivo,CHEMBL621320,,,5974,N,1,Intermediate,1,,,BAO_0000218,,
7788,In vivo,CHEMBL621321,,,17582,N,1,Intermediate,1,,,BAO_0000218,,
7789,,CHEMBL621322,,,4026,N,1,Intermediate,1,,,BAO_0000218,,
7790,In vivo,CHEMBL621323,,,4890,N,1,Intermediate,1,,,BAO_0000218,,
7791,In vivo,CHEMBL621324,,,6571,N,1,Intermediate,1,,,BAO_0000218,,
7792,,CHEMBL621325,,,4727,N,1,Intermediate,1,,,BAO_0000218,,
7793,In vivo,CHEMBL875837,,,17651,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7794,In vivo,CHEMBL621326,,,17651,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7795,In vivo,CHEMBL621327,,,14465,N,1,Intermediate,1,,,BAO_0000218,,
7796,In vivo,CHEMBL621328,,,14941,N,1,Intermediate,1,,,BAO_0000218,,
7797,In vivo,CHEMBL621329,,,5960,N,1,Intermediate,1,,,BAO_0000218,,
7798,In vivo,CHEMBL621330,,,5022,N,1,Intermediate,1,,,BAO_0000218,,
7799,In vivo,CHEMBL621331,,,4408,N,1,Intermediate,1,,,BAO_0000218,,
7800,In vivo,CHEMBL621332,,,5983,N,1,Intermediate,1,,,BAO_0000218,,
7801,In vivo,CHEMBL621333,,,4689,N,1,Intermediate,1,,,BAO_0000218,,
7802,In vivo,CHEMBL621334,,,2792,N,1,Intermediate,1,,,BAO_0000218,,
7803,,CHEMBL621335,,,15011,N,1,Intermediate,1,,,BAO_0000218,,
7804,,CHEMBL621336,,,14180,N,1,Intermediate,1,,,BAO_0000218,,
7805,,CHEMBL621337,,,14180,N,1,Intermediate,1,,,BAO_0000218,,
7806,,CHEMBL621338,,,14599,N,1,Intermediate,1,,,BAO_0000218,,
7807,,CHEMBL875838,,,14599,N,1,Intermediate,1,,,BAO_0000218,,
7808,,CHEMBL621339,,,14599,N,1,Intermediate,1,,,BAO_0000218,,
7809,,CHEMBL621340,,,14599,N,1,Intermediate,1,,,BAO_0000218,,
7810,,CHEMBL621341,,,15675,U,0,Autocuration,1,,,BAO_0000218,,
7811,,CHEMBL621342,,,12706,U,0,Autocuration,1,,,BAO_0000019,,
7812,,CHEMBL621343,,,12706,U,0,Autocuration,1,,,BAO_0000019,,
7813,,CHEMBL621344,,,9750,N,1,Intermediate,1,,,BAO_0000218,,
7814,,CHEMBL621345,,,9750,N,1,Intermediate,1,,,BAO_0000218,,
7815,,CHEMBL621346,,,14691,U,0,Autocuration,1,,,BAO_0000019,,
7816,,CHEMBL621347,,,14691,U,0,Autocuration,1,,,BAO_0000218,,
7817,,CHEMBL621348,,,14691,N,1,Intermediate,1,,,BAO_0000218,,
7818,,CHEMBL621349,,,2939,U,0,Autocuration,1,,,BAO_0000019,178.0,
7819,,CHEMBL621350,,,2939,U,0,Autocuration,1,,,BAO_0000019,178.0,
7820,,CHEMBL875839,,,2939,U,0,Autocuration,1,,,BAO_0000019,178.0,
7821,,CHEMBL620211,,,2939,U,0,Autocuration,1,,,BAO_0000019,178.0,
7822,,CHEMBL620212,,,2939,U,0,Autocuration,1,,,BAO_0000019,178.0,
7823,,CHEMBL620213,,,2939,U,0,Autocuration,1,,,BAO_0000019,178.0,
7824,,CHEMBL620214,,,9552,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7825,,CHEMBL620215,,,9552,N,1,Intermediate,1,,,BAO_0000218,1969.0,
7826,,CHEMBL620216,,,9552,N,1,Intermediate,1,,,BAO_0000218,1969.0,
