assay_id,relationship_type,description,variant_id,assay_organism,assay_type,src_assay_id,bao_format,doc_id,assay_test_type,assay_tax_id,confidence_score,curated_by,src_id,chembl_id,cell_id,tissue_id
7598,U,Area under curve after oral dose of 1 mg/kg,,,A,,BAO_0000218,11954,,,0,Autocuration,1,CHEMBL621604,,
7599,U,Area under curve after oral dose of 10 mg/kg,,,A,,BAO_0000218,11954,,,0,Autocuration,1,CHEMBL621605,,
7600,U,Area under curve after oral dose of 23.4 mg/kg,,,A,,BAO_0000218,11954,,,0,Autocuration,1,CHEMBL621606,,
7601,U,Area under curve after oral dose of 3 mg/kg,,,A,,BAO_0000218,11954,,,0,Autocuration,1,CHEMBL621607,,
7602,U,Area under curve after oral dose of 3.87 mg/kg,,,A,,BAO_0000218,11954,,,0,Autocuration,1,CHEMBL621608,,
7603,U,Area under curve was determined,,,A,,BAO_0000019,5237,,,0,Autocuration,1,CHEMBL621609,,
7604,U,Area under curve at a dose of 10 mg/kg,,,A,,BAO_0000218,4026,,,0,Autocuration,1,CHEMBL621610,,
7605,N,Area under curve was determined; ND=No data,,Rattus norvegicus,A,,BAO_0000218,5237,,10116.0,1,Intermediate,1,CHEMBL621611,,
7606,N,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL621612,,
7607,N,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL622308,,
7608,N,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL622309,,
7609,N,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL622310,,
7610,N,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL622311,,
7611,N,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL622312,,
7612,N,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL622931,,
7613,N,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL622932,,
7614,N,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL622736,,1969.0
7615,N,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL622737,,1969.0
7616,N,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL622738,,1969.0
7617,N,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL622739,,1969.0
7618,N,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL622740,,1969.0
7619,N,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL622741,,1969.0
7620,N,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL622742,,1969.0
7621,N,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,,Rattus norvegicus,A,,BAO_0000218,14793,,10116.0,1,Intermediate,1,CHEMBL622743,,1969.0
7622,N,AUC in mice,,Mus musculus,A,,BAO_0000218,11637,,10090.0,1,Intermediate,1,CHEMBL622744,,1969.0
7623,U,Area under curve was measured from the graph obtained from concentration Vs time,,,A,,BAO_0000019,11149,,,0,Autocuration,1,CHEMBL624134,,
7624,U,Area under curve value of compound per hour after oral administration,,,A,,BAO_0000019,10016,,,0,Autocuration,1,CHEMBL624135,,
7625,N,Area under curve was determined after oral administration in rats,,Rattus norvegicus,A,,BAO_0000218,17796,,10116.0,1,Intermediate,1,CHEMBL624136,,
7626,N,Area under curve was determined after oral administration in rats; No data,,Rattus norvegicus,A,,BAO_0000218,17796,,10116.0,1,Intermediate,1,CHEMBL624137,,
7627,N,Area under curve was determined after oral administration in rats;No data,,Rattus norvegicus,A,,BAO_0000218,17796,,10116.0,1,Intermediate,1,CHEMBL624320,,
7628,N,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,,Canis lupus familiaris,A,,BAO_0000218,12923,,9615.0,1,Intermediate,1,CHEMBL624321,,
7629,N,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,,Rattus norvegicus,A,,BAO_0000218,15372,,10116.0,1,Intermediate,1,CHEMBL624322,,
7630,N,Area under curve was determined for the compound after iv dose of 5.06 in rats,,Rattus norvegicus,A,,BAO_0000218,15372,,10116.0,1,Intermediate,1,CHEMBL624323,,
7631,N,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,,Rattus norvegicus,A,,BAO_0000218,15372,,10116.0,1,Intermediate,1,CHEMBL624324,,
7632,N,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,,Rattus norvegicus,A,,BAO_0000218,15372,,10116.0,1,Intermediate,1,CHEMBL624325,,
7633,N,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,,Rattus norvegicus,A,,BAO_0000218,15372,,10116.0,1,Intermediate,1,CHEMBL624326,,
7634,N,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,,Rattus norvegicus,A,,BAO_0000218,15372,,10116.0,1,Intermediate,1,CHEMBL624327,,
7635,N,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,,Rattus norvegicus,A,,BAO_0000218,15372,,10116.0,1,Intermediate,1,CHEMBL624328,,
7636,N,Area under curve was determined in Dogs after peroral administration,,Canis lupus familiaris,A,,BAO_0000218,14169,,9615.0,1,Intermediate,1,CHEMBL627848,,
7637,N,Area under curve was determined in Rats after peroral administration,,Rattus norvegicus,A,,BAO_0000218,14169,,10116.0,1,Intermediate,1,CHEMBL627849,,
7638,N,Area under curve was determined in carotid blood of rat when administered intradermally,,Rattus norvegicus,A,,BAO_0000218,14258,,10116.0,1,Intermediate,1,CHEMBL627850,,
7639,N,Area under curve was determined in portal blood of rat when administered intradermally,,Rattus norvegicus,A,,BAO_0000218,14258,,10116.0,1,Intermediate,1,CHEMBL627851,,
7640,N,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,Mus musculus,A,,BAO_0000218,15011,,10090.0,1,Intermediate,1,CHEMBL627852,,
7641,N,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,Mus musculus,A,,BAO_0000218,15011,,10090.0,1,Intermediate,1,CHEMBL627853,,
7642,N,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),,Mus musculus,A,,BAO_0000218,15011,,10090.0,1,Intermediate,1,CHEMBL627854,,
7643,N,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,Mus musculus,A,,BAO_0000218,15011,,10090.0,1,Intermediate,1,CHEMBL627855,,
7644,N,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),,Mus musculus,A,,BAO_0000218,15011,,10090.0,1,Intermediate,1,CHEMBL627856,,
7645,N,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,Mus musculus,A,,BAO_0000218,15011,,10090.0,1,Intermediate,1,CHEMBL875339,,
7646,N,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),,Mus musculus,A,,BAO_0000218,15011,,10090.0,1,Intermediate,1,CHEMBL627857,,
7647,N,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,,Rattus norvegicus,A,,BAO_0000218,11195,In vivo,10116.0,1,Intermediate,1,CHEMBL627858,,2106.0
7648,N,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627859,,178.0
7649,N,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627860,,955.0
7650,N,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627019,,948.0
7651,N,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627020,,2107.0
7652,N,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627021,,2048.0
7653,N,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627022,,2385.0
7654,N,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627023,,
7655,N,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627024,,2106.0
7656,N,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627025,,2046.0
7657,N,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627026,,2113.0
7658,N,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627027,,178.0
7659,N,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627028,,955.0
7660,N,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627029,,948.0
7661,N,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627030,,2113.0
7662,N,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627031,,2107.0
7663,N,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in lung; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627032,,2048.0
7664,N,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in muscle; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627033,,2385.0
7665,N,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in skin; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627034,,
7666,N,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in spleen; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627035,,2106.0
7667,N,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in thyroid; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627036,,2046.0
7668,N,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in blood; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL875340,,178.0
7669,N,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in heart; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627037,,948.0
7670,N,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in kidney; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627038,,2113.0
7671,N,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in liver; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627039,,2107.0
7672,N,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in muscle; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL627040,,2385.0
7673,N,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in spleen; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL624663,,2106.0
7674,N,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in thyroid; Expressed as percent dose/organ,,Rattus norvegicus,A,,BAO_0000218,10130,,10116.0,1,Intermediate,1,CHEMBL625963,,2046.0
