ASSI,ASSSUBCEFRA,ASCT,ASST,CONFSC,CURAB,ASSTTY,DI,ASSOR,BAFO,CEI,ASSTIS,ASSCA,VARII,Ti,SRI,RELATIT,SRASI,CHI,TISI
7592,,,A,1,Intermediate,,1696,Rattus norvegicus,BAO_0000218,,Plasma,,,50597,1,N,,CHEMBL618871,1969.0
7593,,,A,1,Intermediate,,1742,Rattus norvegicus,BAO_0000218,,Plasma,,,50597,1,N,,CHEMBL618872,1969.0
7594,,,A,1,Intermediate,,17800,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL873816,
7595,,,A,0,Autocuration,,12923,,BAO_0000218,,,,,22224,1,U,,CHEMBL618873,
7596,,,A,0,Autocuration,,11954,,BAO_0000019,,,,,22224,1,U,,CHEMBL621602,
7597,,,A,0,Autocuration,,11954,,BAO_0000218,,,,,22224,1,U,,CHEMBL621603,
7598,,,A,0,Autocuration,,11954,,BAO_0000218,,,,,22224,1,U,,CHEMBL621604,
7599,,,A,0,Autocuration,,11954,,BAO_0000218,,,,,22224,1,U,,CHEMBL621605,
7600,,,A,0,Autocuration,,11954,,BAO_0000218,,,,,22224,1,U,,CHEMBL621606,
7601,,,A,0,Autocuration,,11954,,BAO_0000218,,,,,22224,1,U,,CHEMBL621607,
7602,,,A,0,Autocuration,,11954,,BAO_0000218,,,,,22224,1,U,,CHEMBL621608,
7603,,,A,0,Autocuration,,5237,,BAO_0000019,,,,,22224,1,U,,CHEMBL621609,
7604,,,A,0,Autocuration,,4026,,BAO_0000218,,,,,22224,1,U,,CHEMBL621610,
7605,,,A,1,Intermediate,,5237,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL621611,
7606,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL621612,
7607,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL622308,
7608,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL622309,
7609,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL622310,
7610,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL622311,
7611,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL622312,
7612,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL622931,
7613,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL622932,
7614,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,Plasma,,,50597,1,N,,CHEMBL622736,1969.0
7615,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,Plasma,,,50597,1,N,,CHEMBL622737,1969.0
7616,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,Plasma,,,50597,1,N,,CHEMBL622738,1969.0
7617,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,Plasma,,,50597,1,N,,CHEMBL622739,1969.0
7618,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,Plasma,,,50597,1,N,,CHEMBL622740,1969.0
7619,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,Plasma,,,50597,1,N,,CHEMBL622741,1969.0
7620,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,Plasma,,,50597,1,N,,CHEMBL622742,1969.0
7621,,,A,1,Intermediate,,14793,Rattus norvegicus,BAO_0000218,,Plasma,,,50597,1,N,,CHEMBL622743,1969.0
7622,,,A,1,Intermediate,,11637,Mus musculus,BAO_0000218,,Plasma,,,50594,1,N,,CHEMBL622744,1969.0
7623,,,A,0,Autocuration,,11149,,BAO_0000019,,,,,22224,1,U,,CHEMBL624134,
7624,,,A,0,Autocuration,,10016,,BAO_0000019,,,,,22224,1,U,,CHEMBL624135,
7625,,,A,1,Intermediate,,17796,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL624136,
7626,,,A,1,Intermediate,,17796,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL624137,
7627,,,A,1,Intermediate,,17796,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL624320,
7628,,,A,1,Intermediate,,12923,Canis lupus familiaris,BAO_0000218,,,,,50588,1,N,,CHEMBL624321,
7629,,,A,1,Intermediate,,15372,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL624322,
7630,,,A,1,Intermediate,,15372,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL624323,
7631,,,A,1,Intermediate,,15372,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL624324,
7632,,,A,1,Intermediate,,15372,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL624325,
7633,,,A,1,Intermediate,,15372,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL624326,
7634,,,A,1,Intermediate,,15372,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL624327,
7635,,,A,1,Intermediate,,15372,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL624328,
7636,,,A,1,Intermediate,,14169,Canis lupus familiaris,BAO_0000218,,,,,50588,1,N,,CHEMBL627848,
7637,,,A,1,Intermediate,,14169,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL627849,
7638,,,A,1,Intermediate,,14258,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL627850,
7639,,,A,1,Intermediate,,14258,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL627851,
7640,,,A,1,Intermediate,,15011,Mus musculus,BAO_0000218,,,,,50594,1,N,,CHEMBL627852,
7641,,,A,1,Intermediate,,15011,Mus musculus,BAO_0000218,,,,,50594,1,N,,CHEMBL627853,
7642,,,A,1,Intermediate,,15011,Mus musculus,BAO_0000218,,,,,50594,1,N,,CHEMBL627854,
7643,,,A,1,Intermediate,,15011,Mus musculus,BAO_0000218,,,,,50594,1,N,,CHEMBL627855,
7644,,,A,1,Intermediate,,15011,Mus musculus,BAO_0000218,,,,,50594,1,N,,CHEMBL627856,
7645,,,A,1,Intermediate,,15011,Mus musculus,BAO_0000218,,,,,50594,1,N,,CHEMBL875339,
7646,,,A,1,Intermediate,,15011,Mus musculus,BAO_0000218,,,,,50594,1,N,,CHEMBL627857,
7647,,,A,1,Intermediate,In vivo,11195,Rattus norvegicus,BAO_0000218,,Spleen,,,50597,1,N,,CHEMBL627858,2106.0
7648,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627859,178.0
7649,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Brain,,,50597,1,N,,CHEMBL627860,955.0
7650,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Heart,,,50597,1,N,,CHEMBL627019,948.0
7651,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Liver,,,50597,1,N,,CHEMBL627020,2107.0
7652,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Lung,,,50597,1,N,,CHEMBL627021,2048.0
7653,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Muscle tissue,,,50597,1,N,,CHEMBL627022,2385.0
7654,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL627023,
7655,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Spleen,,,50597,1,N,,CHEMBL627024,2106.0
7656,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Thyroid gland,,,50597,1,N,,CHEMBL627025,2046.0
7657,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Kidney,,,50597,1,N,,CHEMBL627026,2113.0
7658,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627027,178.0
7659,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Brain,,,50597,1,N,,CHEMBL627028,955.0
7660,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Heart,,,50597,1,N,,CHEMBL627029,948.0
7661,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Kidney,,,50597,1,N,,CHEMBL627030,2113.0
7662,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Liver,,,50597,1,N,,CHEMBL627031,2107.0
7663,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Lung,,,50597,1,N,,CHEMBL627032,2048.0
7664,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Muscle tissue,,,50597,1,N,,CHEMBL627033,2385.0
7665,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL627034,
7666,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Spleen,,,50597,1,N,,CHEMBL627035,2106.0
7667,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Thyroid gland,,,50597,1,N,,CHEMBL627036,2046.0
7668,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL875340,178.0
7669,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Heart,,,50597,1,N,,CHEMBL627037,948.0
7670,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Kidney,,,50597,1,N,,CHEMBL627038,2113.0
7671,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Liver,,,50597,1,N,,CHEMBL627039,2107.0
7672,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Muscle tissue,,,50597,1,N,,CHEMBL627040,2385.0
7673,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Spleen,,,50597,1,N,,CHEMBL624663,2106.0
7674,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Thyroid gland,,,50597,1,N,,CHEMBL625963,2046.0
7675,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Brain,,,50597,1,N,,CHEMBL876799,955.0
7676,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,Lung,,,50597,1,N,,CHEMBL626133,2048.0
7677,,,A,1,Intermediate,,10130,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL626134,
7678,,,A,1,Intermediate,,6295,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL626135,
7679,,,A,1,Intermediate,,6296,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL626136,
7680,,,A,1,Intermediate,,6296,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL626137,
7681,,,A,1,Intermediate,,6295,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL626138,
7682,,,A,1,Intermediate,,6296,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL626139,
7683,,,A,1,Intermediate,In vivo,17260,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL626140,
7684,,,A,1,Intermediate,In vivo,17260,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL626141,
7685,,,A,1,Intermediate,,17686,Rattus norvegicus,BAO_0000218,,,,,50597,1,N,,CHEMBL626142,
7686,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Muscle tissue,,,50597,1,N,,CHEMBL627930,2385.0
7687,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Muscle tissue,,,50597,1,N,,CHEMBL627931,2385.0
7688,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Muscle tissue,,,50597,1,N,,CHEMBL627932,2385.0
7689,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Spleen,,,50597,1,N,,CHEMBL627933,2106.0
7690,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Spleen,,,50597,1,N,,CHEMBL627934,2106.0
7691,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Spleen,,,50597,1,N,,CHEMBL627935,2106.0
7692,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627936,178.0
7693,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627937,178.0
7694,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627938,178.0
7695,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627939,178.0
7696,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627940,178.0
7697,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627941,178.0
7698,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL876800,178.0
7699,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627942,178.0
7700,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627943,178.0
7701,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627944,178.0
7702,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627945,178.0
7703,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL628584,178.0
7704,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL628585,178.0
7705,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL628586,178.0
7706,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL628587,178.0
7707,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL628588,178.0
7708,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL628589,178.0
7709,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL625304,178.0
7710,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL625305,178.0
7711,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL625306,178.0
7712,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL625307,178.0
7713,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL625308,178.0
7714,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627740,178.0
7715,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627741,178.0
7716,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627742,178.0
7717,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627743,178.0
7718,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Blood,,,50597,1,N,,CHEMBL627744,178.0
7719,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL627745,10000001.0
7720,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL627746,10000001.0
7721,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL627747,10000001.0
7722,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL876810,10000001.0
7723,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL627748,10000001.0
7724,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL627749,10000001.0
7725,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL627750,10000001.0
7726,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL618728,10000001.0
7727,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL618729,10000001.0
7728,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL618730,10000001.0
7729,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL618731,10000001.0
7730,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL618732,10000001.0
7731,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL618733,10000001.0
7732,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL618734,10000001.0
7733,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL618735,10000001.0
7734,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL876602,10000001.0
7735,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL618736,10000001.0
7736,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL618737,10000001.0
7737,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL618738,10000001.0
7738,,,A,1,Intermediate,In vivo,9866,Rattus norvegicus,BAO_0000218,,Bone,,,50597,1,N,,CHEMBL618739,10000001.0
