Fiscal year,Enviromental sustainability (marker),Organisation sub-class,Sector ID,CIDA business delivery model (old),Untied amount(Project-level budget),Programming process (new),Organisation class,FSTC percent,Division ID,Fund centre name,ICT as a tool for development (marker),Project number,Continent name,Climate change mitigation (marker),Section ID,Bilateral aid (international marker),Gender equality (marker),Organisation ID,Branch ID,Climate change adaptation (marker),Desertification (marker),Division name,CountryRegion ID,Urban issues (marker),Status,Maximum CIDA contribution (project-level),Branch name,Section name,Regional program (marker),Fund centre ID,IRTC percent,CFLI (marker),PBA type,Participatory development and good governance,Trade development (marker),Biodiversity (marker),Children issues (marker)
2009/2010,0,CONSULTING SERVICES,24040,Responsive,3441416.83,Uncoded: Pre-APP,Civil Society,1.0,D4400,Caribbean Regional - Jamaica,1,A019362001,America,0,S4429,1,0,1000378,B4400,0,0,NDD Americas Programming,JM,0,Closed,3441416.83,NGM Americas,Caricom - Adm,0,4439,0.0,0,Not PBA,0,0,0,0
2009/2010,0,CONSULTING SERVICES,24040,Responsive,3441416.83,Uncoded: Pre-APP,Civil Society,1.0,D4400,Caribbean Regional - Jamaica,1,A019362001,America,0,S4429,1,0,1001165,B4400,0,0,NDD Americas Programming,JM,0,Closed,3441416.83,NGM Americas,Caricom - Adm,0,4439,0.0,0,Not PBA,0,0,0,0
2009/2010,1,CONSULTING SERVICES,15150,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D3100,Egypt,1,A019608001,Africa,0,S4256,1,0,1000335,B3100,0,0,EDD Europe-Middle East Programming,EG,0,Closed,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,0,4263,0.0,0,Not PBA,1,0,0,0
2009/2010,1,CONSULTING SERVICES,24030,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D3100,Egypt,1,A019608001,Africa,0,S4256,1,0,1000335,B3100,0,0,EDD Europe-Middle East Programming,EG,0,Closed,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,0,4263,0.0,0,Not PBA,1,0,0,0
2009/2010,1,CONSULTING SERVICES,25010,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D3100,Egypt,1,A019608001,Africa,0,S4256,1,0,1000335,B3100,0,0,EDD Europe-Middle East Programming,EG,0,Closed,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,0,4263,0.0,0,Not PBA,1,0,0,0
2009/2010,1,CONSULTING SERVICES,32110,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D3100,Egypt,1,A019608001,Africa,0,S4256,1,0,1000335,B3100,0,0,EDD Europe-Middle East Programming,EG,0,Closed,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,0,4263,0.0,0,Not PBA,1,0,0,0
2009/2010,1,CONSULTING SERVICES,32130,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D3100,Egypt,1,A019608001,Africa,0,S4256,1,0,1000335,B3100,0,0,EDD Europe-Middle East Programming,EG,0,Closed,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,0,4263,0.0,0,Not PBA,1,0,0,0
2009/2010,1,CONSULTING SERVICES,32182,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D3100,Egypt,1,A019608001,Africa,0,S4256,1,0,1000335,B3100,0,0,EDD Europe-Middle East Programming,EG,0,Closed,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,0,4263,0.0,0,Not PBA,1,0,0,0
2009/2010,1,CONSULTING SERVICES,41010,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D3100,Egypt,1,A019608001,Africa,0,S4256,1,0,1000335,B3100,0,0,EDD Europe-Middle East Programming,EG,0,Closed,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,0,4263,0.0,0,Not PBA,1,0,0,0
2009/2010,1,CONSULTING SERVICES,41020,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D3100,Egypt,1,A019608001,Africa,0,S4256,1,0,1000335,B3100,0,0,EDD Europe-Middle East Programming,EG,0,Closed,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,0,4263,0.0,0,Not PBA,1,0,0,0
2009/2010,0,FEDERAL,43010,Directive,0.0,Uncoded: Pre-APP,Governmental,0.998334353,D3100,*Algeria,0,A020161001,Africa,0,S4256,1,2,10050,B3100,0,0,EDD Europe-Middle East Programming,DZ,0,Closed,328400.96,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,0,4259,0.0,0,Not PBA,0,0,0,0
2009/2010,0,FEDERAL,15150,Directive,4000000.0,Uncoded: Pre-APP,Governmental,1.0,D4400,Haiti,0,A020195001,America,0,S4449,1,3,10050,B4400,0,0,NDD Americas Programming,HT,0,Closed,4610501.0,NGM Americas,Ha�ti & Dominican Republic Section,0,4452,0.0,0,Not PBA,1,0,0,0
2009/2010,0,FEDERAL,15160,Directive,4000000.0,Uncoded: Pre-APP,Governmental,1.0,D4400,Haiti,0,A020195001,America,0,S4449,1,3,10050,B4400,0,0,NDD Americas Programming,HT,0,Closed,4610501.0,NGM Americas,Ha�ti & Dominican Republic Section,0,4452,0.0,0,Not PBA,1,0,0,0
2009/2010,0,SPECIALIZED INSTITUTE,15110,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D4270,Ethiopia,0,A020222001,Africa,0,S4227,1,2,1000852,B4200,0,0,WED Southern & Eastern Africa,ET,0,Closed,4229943.14,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0,Not PBA,1,0,0,0
2009/2010,0,SPECIALIZED INSTITUTE,15111,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D4270,Ethiopia,0,A020222001,Africa,0,S4227,1,2,1000852,B4200,0,0,WED Southern & Eastern Africa,ET,0,Closed,4229943.14,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0,Not PBA,1,0,0,0
2009/2010,0,SPECIALIZED INSTITUTE,15130,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D4270,Ethiopia,0,A020222001,Africa,0,S4227,1,2,1000852,B4200,0,0,WED Southern & Eastern Africa,ET,0,Closed,4229943.14,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0,Not PBA,1,0,0,0
2009/2010,0,SPECIALIZED INSTITUTE,15150,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D4270,Ethiopia,0,A020222001,Africa,0,S4227,1,2,1000852,B4200,0,0,WED Southern & Eastern Africa,ET,0,Closed,4229943.14,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0,Not PBA,1,0,0,0
2009/2010,0,SPECIALIZED INSTITUTE,15160,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D4270,Ethiopia,0,A020222001,Africa,0,S4227,1,2,1000852,B4200,0,0,WED Southern & Eastern Africa,ET,0,Closed,4229943.14,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0,Not PBA,1,0,0,0
2009/2010,0,CONSULTING SERVICES,15110,Directive,4518387.69,Uncoded: Pre-APP,Civil Society,1.0,D4207,Senegal,0,A020246001,Africa,0,S4233,1,2,1014497,B4200,0,0,WWD West & Central Africa,SN,0,Terminating,4518387.69,WGM Sub-Saharan Africa,Senegal Program,0,4238,0.0,0,Not PBA,0,0,0,0
2009/2010,0,CONSULTANT,15110,Directive,4518387.69,Uncoded: Pre-APP,Individual,1.0,D4207,Senegal,0,A020246001,Africa,0,S4233,1,2,Information not available,B4200,0,0,WWD West & Central Africa,SN,0,Terminating,4518387.69,WGM Sub-Saharan Africa,Senegal Program,0,4238,0.0,0,Not PBA,0,0,0,0
2009/2010,0,CONSULTING SERVICES,24040,Directive,4518387.69,Uncoded: Pre-APP,Civil Society,1.0,D4207,Senegal,0,A020246001,Africa,0,S4233,1,2,1014497,B4200,0,0,WWD West & Central Africa,SN,0,Terminating,4518387.69,WGM Sub-Saharan Africa,Senegal Program,0,4238,0.0,0,Not PBA,0,0,0,0
2009/2010,0,CONSULTANT,24040,Directive,4518387.69,Uncoded: Pre-APP,Individual,1.0,D4207,Senegal,0,A020246001,Africa,0,S4233,1,2,Information not available,B4200,0,0,WWD West & Central Africa,SN,0,Terminating,4518387.69,WGM Sub-Saharan Africa,Senegal Program,0,4238,0.0,0,Not PBA,0,0,0,0
2009/2010,0,CONSULTING SERVICES,11130,Directive,7850039.11,Uncoded: Pre-APP,Civil Society,1.0,D4400,Caribbean Regional - Guyana,0,A020252001,America,0,S4429,1,0,1000975,B4400,0,0,NDD Americas Programming,GY,0,Closed,7850039.11,NGM Americas,Caricom - Adm,0,4438,0.0,0,Not PBA,0,0,0,0
2009/2010,1,FEDERAL,15110,Directive,0.0,Uncoded: Pre-APP,Governmental,1.0,D4100,Philippines,1,A020272001,Asia,0,S4130,1,1,10050,B4100,0,0,OAD Asia Programming,PH,0,Closed,13000520.92,OGM Asia Pacific,Philippines and Mongolia,0,4128,0.0,0,Not PBA,1,0,0,0
2009/2010,1,FEDERAL,15111,Directive,0.0,Uncoded: Pre-APP,Governmental,1.0,D4100,Philippines,1,A020272001,Asia,0,S4130,1,1,10050,B4100,0,0,OAD Asia Programming,PH,0,Closed,13000520.92,OGM Asia Pacific,Philippines and Mongolia,0,4128,0.0,0,Not PBA,1,0,0,0
2009/2010,1,FEDERAL,15150,Directive,0.0,Uncoded: Pre-APP,Governmental,1.0,D4100,Philippines,1,A020272001,Asia,0,S4130,1,1,10050,B4100,0,0,OAD Asia Programming,PH,0,Closed,13000520.92,OGM Asia Pacific,Philippines and Mongolia,0,4128,0.0,0,Not PBA,1,0,0,0
2009/2010,0,FEDERAL,15110,Directive,0.0,Uncoded: Pre-APP,Governmental,1.0,D4100,Pakistan,0,A020279001,Asia,0,S4141,1,1,10050,B4100,0,0,OAD Asia Programming,PK,0,Terminating,2645994.04,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,0.0,0,Not PBA,1,0,0,0
2009/2010,0,CONSULTING SERVICES,15110,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D4270,Malawi,0,A020392001,Africa,0,S4271,1,1,1000601,B4200,0,0,WED Southern & Eastern Africa,MW,0,Closed,7747230.74,WGM Sub-Saharan Africa,Mozambique Program,0,4280,0.0,0,Not PBA,1,0,0,0
2009/2010,0,FEDERAL,43010,Directive,0.0,Uncoded: Pre-APP,Governmental,0.5,D4100,Bangladesh,0,A020395001,Asia,0,S4122,1,0,10050,B4100,0,0,OAD Asia Programming,BD,0,Closed,4947637.32,OGM Asia Pacific,Bangladesh Section,0,4122,0.0,0,Not PBA,1,0,0,0
2009/2010,0,Unknown,43010,Directive,0.0,Uncoded: Pre-APP,Unknown,0.5,D4100,Bangladesh,0,A020395001,Asia,0,S4122,1,0,Information not available,B4100,0,0,OAD Asia Programming,BD,0,Closed,4947637.32,OGM Asia Pacific,Bangladesh Section,0,4122,0.0,0,Not PBA,1,0,0,0
2009/2010,0,CONSULTANT,14031,Directive,0.0,Uncoded: Pre-APP,Individual,1.0,D4270,Mozambique,0,A020398001,Africa,0,S4271,1,0,Information not available,B4200,0,0,WED Southern & Eastern Africa,MZ,0,Closed,9096651.0,WGM Sub-Saharan Africa,Mozambique Program,0,4274,0.0,0,Not PBA,0,0,0,0
2009/2010,0,CONSULTANT,14032,Directive,0.0,Uncoded: Pre-APP,Individual,1.0,D4270,Mozambique,0,A020398001,Africa,0,S4271,1,0,Information not available,B4200,0,0,WED Southern & Eastern Africa,MZ,0,Closed,9096651.0,WGM Sub-Saharan Africa,Mozambique Program,0,4274,0.0,0,Not PBA,0,0,0,0
2009/2010,1,FEDERAL,43010,Directive,2457111.5,Uncoded: Pre-APP,Governmental,1.0,D4207,Cameroon,0,A020449003,Africa,0,S4287,1,2,10050,B4200,0,0,WWD West & Central Africa,CM,0,Closed,2457111.5,WGM Sub-Saharan Africa,Central Africa & Great Lakes Program,0,4289,0.0,0,Not PBA,1,0,0,0
2009/2010,1,SUPPLIER OF GOODS/SERVICES,43010,Directive,2457111.5,Uncoded: Pre-APP,Civil Society,1.0,D4207,Cameroon,0,A020449003,Africa,0,S4287,1,2,1000948,B4200,0,0,WWD West & Central Africa,CM,0,Closed,2457111.5,WGM Sub-Saharan Africa,Central Africa & Great Lakes Program,0,4289,0.0,0,Not PBA,1,0,0,0
2009/2010,1,COOPERANT,43010,Directive,2457111.5,Uncoded: Pre-APP,Individual,1.0,D4207,Cameroon,0,A020449003,Africa,0,S4287,1,2,Information not available,B4200,0,0,WWD West & Central Africa,CM,0,Closed,2457111.5,WGM Sub-Saharan Africa,Central Africa & Great Lakes Program,0,4289,0.0,0,Not PBA,1,0,0,0
2009/2010,1,Unknown,43010,Directive,2457111.5,Uncoded: Pre-APP,Unknown,1.0,D4207,Cameroon,0,A020449003,Africa,0,S4287,1,2,Information not available,B4200,0,0,WWD West & Central Africa,CM,0,Closed,2457111.5,WGM Sub-Saharan Africa,Central Africa & Great Lakes Program,0,4289,0.0,0,Not PBA,1,0,0,0
2009/2010,0,ASSOCIATIONS,15150,Directive,11427061.07,Uncoded: Pre-APP,Civil Society,1.0,D4207,*Guinea,0,A020715001,Africa,0,S4233,1,0,1000171,B4200,0,0,WWD West & Central Africa,GN,0,Closed,11427061.07,WGM Sub-Saharan Africa,Senegal Program,0,4242,0.0,0,Not PBA,0,0,0,0
2009/2010,0,CONSULTING SERVICES,15150,Directive,11427061.07,Uncoded: Pre-APP,Civil Society,1.0,D4207,*Guinea,0,A020715001,Africa,0,S4233,1,0,1001142,B4200,0,0,WWD West & Central Africa,GN,0,Closed,11427061.07,WGM Sub-Saharan Africa,Senegal Program,0,4242,0.0,0,Not PBA,0,0,0,0
2009/2010,0,ASSOCIATIONS,31161,Directive,11427061.07,Uncoded: Pre-APP,Civil Society,1.0,D4207,*Guinea,0,A020715001,Africa,0,S4233,1,0,1000171,B4200,0,0,WWD West & Central Africa,GN,0,Closed,11427061.07,WGM Sub-Saharan Africa,Senegal Program,0,4242,0.0,0,Not PBA,0,0,0,0
2009/2010,0,CONSULTING SERVICES,31161,Directive,11427061.07,Uncoded: Pre-APP,Civil Society,1.0,D4207,*Guinea,0,A020715001,Africa,0,S4233,1,0,1001142,B4200,0,0,WWD West & Central Africa,GN,0,Closed,11427061.07,WGM Sub-Saharan Africa,Senegal Program,0,4242,0.0,0,Not PBA,0,0,0,0
2009/2010,0,ASSOCIATIONS,31166,Directive,11427061.07,Uncoded: Pre-APP,Civil Society,1.0,D4207,*Guinea,0,A020715001,Africa,0,S4233,1,0,1000171,B4200,0,0,WWD West & Central Africa,GN,0,Closed,11427061.07,WGM Sub-Saharan Africa,Senegal Program,0,4242,0.0,0,Not PBA,0,0,0,0
2009/2010,0,CONSULTING SERVICES,31166,Directive,11427061.07,Uncoded: Pre-APP,Civil Society,1.0,D4207,*Guinea,0,A020715001,Africa,0,S4233,1,0,1001142,B4200,0,0,WWD West & Central Africa,GN,0,Closed,11427061.07,WGM Sub-Saharan Africa,Senegal Program,0,4242,0.0,0,Not PBA,0,0,0,0
2009/2010,0,ASSOCIATIONS,31181,Directive,11427061.07,Uncoded: Pre-APP,Civil Society,1.0,D4207,*Guinea,0,A020715001,Africa,0,S4233,1,0,1000171,B4200,0,0,WWD West & Central Africa,GN,0,Closed,11427061.07,WGM Sub-Saharan Africa,Senegal Program,0,4242,0.0,0,Not PBA,0,0,0,0
2009/2010,0,CONSULTING SERVICES,31181,Directive,11427061.07,Uncoded: Pre-APP,Civil Society,1.0,D4207,*Guinea,0,A020715001,Africa,0,S4233,1,0,1001142,B4200,0,0,WWD West & Central Africa,GN,0,Closed,11427061.07,WGM Sub-Saharan Africa,Senegal Program,0,4242,0.0,0,Not PBA,0,0,0,0
2009/2010,0,ASSOCIATIONS,31191,Directive,11427061.07,Uncoded: Pre-APP,Civil Society,1.0,D4207,*Guinea,0,A020715001,Africa,0,S4233,1,0,1000171,B4200,0,0,WWD West & Central Africa,GN,0,Closed,11427061.07,WGM Sub-Saharan Africa,Senegal Program,0,4242,0.0,0,Not PBA,0,0,0,0
2009/2010,0,CONSULTING SERVICES,31191,Directive,11427061.07,Uncoded: Pre-APP,Civil Society,1.0,D4207,*Guinea,0,A020715001,Africa,0,S4233,1,0,1001142,B4200,0,0,WWD West & Central Africa,GN,0,Closed,11427061.07,WGM Sub-Saharan Africa,Senegal Program,0,4242,0.0,0,Not PBA,0,0,0,0
2009/2010,0,NGO,15150,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D4100,Sri Lanka,0,A020790001,Asia,0,S4141,1,0,1000136,B4100,0,0,OAD Asia Programming,LK,0,Closed,4308867.95,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,0.0,0,Not PBA,0,0,0,1
2009/2010,0,NGO,15160,Directive,0.0,Uncoded: Pre-APP,Civil Society,1.0,D4100,Sri Lanka,0,A020790001,Asia,0,S4141,1,0,1000136,B4100,0,0,OAD Asia Programming,LK,0,Closed,4308867.95,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,0.0,0,Not PBA,0,0,0,1
2009/2010,0,FEDERAL,11110,Directive,0.0,Uncoded: Pre-APP,Governmental,0.0,D4207,Mali,0,A020891001,Africa,0,S4215,1,2,10050,B4200,0,0,WWD West & Central Africa,ML,0,Closed,3063216.68,WGM Sub-Saharan Africa,Mali Program Section,0,4216,0.0,0,Other PBA,0,0,0,1
2009/2010,0,Unknown,11110,Directive,0.0,Uncoded: Pre-APP,Unknown,0.0,D4207,Mali,0,A020891001,Africa,0,S4215,1,2,Information not available,B4200,0,0,WWD West & Central Africa,ML,0,Closed,3063216.68,WGM Sub-Saharan Africa,Mali Program Section,0,4216,0.0,0,Other PBA,0,0,0,1
2009/2010,0,FEDERAL,11130,Directive,16726210.87,Uncoded: Pre-APP,Governmental,1.0,D4207,Mali,0,A020892001,Africa,0,S4215,1,2,10050,B4200,0,0,WWD West & Central Africa,ML,0,Closed,16726210.87,WGM Sub-Saharan Africa,Mali Program Section,0,4216,0.0,0,Other PBA,0,0,0,0
2009/2010,0,CONSULTING SERVICES,11130,Directive,16726210.87,Uncoded: Pre-APP,Civil Society,1.0,D4207,Mali,0,A020892001,Africa,0,S4215,1,2,1001126,B4200,0,0,WWD West & Central Africa,ML,0,Closed,16726210.87,WGM Sub-Saharan Africa,Mali Program Section,0,4216,0.0,0,Other PBA,0,0,0,0
2009/2010,0,CONSULTING SERVICES,11130,Directive,16726210.87,Uncoded: Pre-APP,Civil Society,1.0,D4207,Mali,0,A020892001,Africa,0,S4215,1,2,1014203,B4200,0,0,WWD West & Central Africa,ML,0,Closed,16726210.87,WGM Sub-Saharan Africa,Mali Program Section,0,4216,0.0,0,Other PBA,0,0,0,0
2009/2010,1,FEDERAL,11220,Responsive,0.0,Uncoded: Pre-APP,Governmental,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,10050,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
2009/2010,1,Unknown,11220,Responsive,0.0,Uncoded: Pre-APP,Unknown,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,Information not available,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
2009/2010,1,FEDERAL,12220,Responsive,0.0,Uncoded: Pre-APP,Governmental,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,10050,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
2009/2010,1,Unknown,12220,Responsive,0.0,Uncoded: Pre-APP,Unknown,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,Information not available,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
2009/2010,1,FEDERAL,13030,Responsive,0.0,Uncoded: Pre-APP,Governmental,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,10050,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
2009/2010,1,Unknown,13030,Responsive,0.0,Uncoded: Pre-APP,Unknown,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,Information not available,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
2009/2010,1,FEDERAL,15110,Responsive,0.0,Uncoded: Pre-APP,Governmental,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,10050,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
2009/2010,1,Unknown,15110,Responsive,0.0,Uncoded: Pre-APP,Unknown,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,Information not available,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
2009/2010,1,FEDERAL,11220,Responsive,0.0,Uncoded: Pre-APP,Governmental,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,10050,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
2009/2010,1,Unknown,11220,Responsive,0.0,Uncoded: Pre-APP,Unknown,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,Information not available,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
2009/2010,1,FEDERAL,12220,Responsive,0.0,Uncoded: Pre-APP,Governmental,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,10050,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
2009/2010,1,Unknown,12220,Responsive,0.0,Uncoded: Pre-APP,Unknown,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,Information not available,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
2009/2010,1,FEDERAL,13030,Responsive,0.0,Uncoded: Pre-APP,Governmental,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,10050,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
2009/2010,1,Unknown,13030,Responsive,0.0,Uncoded: Pre-APP,Unknown,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,Information not available,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
2009/2010,1,FEDERAL,15110,Responsive,0.0,Uncoded: Pre-APP,Governmental,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,10050,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
2009/2010,1,Unknown,15110,Responsive,0.0,Uncoded: Pre-APP,Unknown,1.0,D4400,*Southern Cone,0,A020910001,America,0,S4413,1,0,Information not available,B4400,0,0,NDD Americas Programming,50,0,Closed,1488850.78,NGM Americas,South America,1,4422,0.0,0,Not PBA,1,0,0,1
