assay_strain,assay_subcellular_fraction,relationship_type,cell_id,assay_category,tid,assay_tax_id,assay_organism,description,src_id,assay_tissue,assay_cell_type,src_assay_id,assay_test_type,confidence_score,variant_id,doc_id,assay_type,tissue_id,curated_by,chembl_id,bao_format,assay_id
,,D,,,100122,10116.0,Rattus norvegicus,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,1,,,,,9,,11347,A,,Expert,CHEMBL884521,BAO_0000357,17
,,H,,,12054,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),1,,,,,8,,16474,B,,Autocuration,CHEMBL615132,BAO_0000357,18
,,H,,,12054,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,1,,,,,8,,10091,B,,Autocuration,CHEMBL615133,BAO_0000019,19
,,H,,,12054,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),1,,,,,8,,16474,B,,Autocuration,CHEMBL615134,BAO_0000357,20
,,H,,,12054,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),1,,,,,8,,16474,B,,Autocuration,CHEMBL615135,BAO_0000357,21
,,H,,,12054,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),1,,,,,8,,16474,B,,Autocuration,CHEMBL615136,BAO_0000357,22
,,H,,,12054,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,1,,,,,8,,16474,B,,Autocuration,CHEMBL615137,BAO_0000357,23
,,H,,,12054,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,1,,,,,8,,16474,B,,Autocuration,CHEMBL615138,BAO_0000357,24
,,U,,,22226,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",1,,,,,0,,14352,B,,Autocuration,CHEMBL836324,BAO_0000219,25
,,H,,,12054,9986.0,Oryctolagus cuniculus,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,1,,,,,8,,5646,B,,Autocuration,CHEMBL615139,BAO_0000357,26
,,H,,,12054,9986.0,Oryctolagus cuniculus,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),1,,,,,8,,5646,B,,Autocuration,CHEMBL615140,BAO_0000357,27
,,H,,,12426,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,1,,,,,8,,10997,B,,Autocuration,CHEMBL615141,BAO_0000219,28
,,H,,,12054,3847.0,soya bean,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,1,,,,,8,,6309,B,,Autocuration,CHEMBL615142,BAO_0000357,29
,,H,,,12054,3847.0,Glycine max,Inhibitory activity against soybean 15-lipoxygenase was evaluated,1,,,,,8,,167,B,,Autocuration,CHEMBL615143,BAO_0000357,30
,,H,,,12054,3847.0,Glycine max,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,1,,,,,8,,167,B,,Autocuration,CHEMBL615144,BAO_0000357,31
,,H,,,12054,3847.0,Glycine max,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,1,,,,,8,,11087,B,,Autocuration,CHEMBL872867,BAO_0000357,32
,,H,,,12054,3847.0,Glycine max,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,1,,,,,8,,11087,B,,Autocuration,CHEMBL615145,BAO_0000357,33
,,H,,,12054,3847.0,Glycine max,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,1,,,,,8,,13622,B,,Autocuration,CHEMBL615146,BAO_0000357,34
,,H,,,12054,3847.0,Glycine max,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,1,,,,,8,,13622,B,,Autocuration,CHEMBL615147,BAO_0000357,35
,,U,,,22226,10116.0,Rattus norvegicus,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,1,,,,,0,,11347,A,,Autocuration,CHEMBL615148,BAO_0000019,36
,,U,,,22226,562.0,Escherichia coli,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,1,,,,,0,,5926,B,,Autocuration,CHEMBL615149,BAO_0000019,37
,,U,,,22226,,,Dissociation constant with dimeric 16S rRNA RNA construct B,1,,,,,0,,4567,B,,Autocuration,CHEMBL615150,BAO_0000019,38
,,M,,,22222,,,Dissociation constant towards 16S rRNA construct A,1,,,,,3,,3782,B,,Intermediate,CHEMBL615151,BAO_0000225,39
,,M,,,22222,,,Dissociation constant towards 16S rRNA construct B,1,,,,,3,,3782,B,,Intermediate,CHEMBL615152,BAO_0000225,40
,,M,,,100263,562.0,Escherichia coli,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,1,,,,,3,,4466,B,,Expert,CHEMBL615153,BAO_0000225,41
,,M,,,100263,562.0,Escherichia coli,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,1,,,,,3,,6592,B,,Expert,CHEMBL615154,BAO_0000225,42
,,H,,,13053,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),1,,,,,8,,898,B,,Autocuration,CHEMBL615155,BAO_0000019,43
,,H,,,13053,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),1,,,,,8,,898,B,,Autocuration,CHEMBL615156,BAO_0000019,44
,,H,,,20001,9606.0,Homo sapiens,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,1,,,,,8,,13163,B,,Autocuration,CHEMBL615157,BAO_0000019,45
,,H,,,20001,9606.0,Homo sapiens,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,1,,,,,8,,13163,B,,Autocuration,CHEMBL615158,BAO_0000019,46
,,D,,,12971,10116.0,Rattus norvegicus,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",1,,,,,9,,10691,B,,Expert,CHEMBL615159,BAO_0000019,47
,,D,,,12971,10116.0,Rattus norvegicus,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",1,,,,,9,,10691,B,,Expert,CHEMBL615172,BAO_0000019,48
,,D,,,12971,10116.0,Rattus norvegicus,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",1,,,,,9,,10691,B,,Expert,CHEMBL615173,BAO_0000019,49
,,D,,,12971,10116.0,Rattus norvegicus,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",1,,,,,9,,10691,B,,Expert,CHEMBL615174,BAO_0000019,50
,,H,,,13053,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),1,,,,,8,,898,B,,Autocuration,CHEMBL884518,BAO_0000019,51
,,H,,,11512,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),1,,,,,8,,912,B,,Autocuration,CHEMBL615175,BAO_0000357,52
,,H,,,11512,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,1,,,,,8,,912,B,,Autocuration,CHEMBL615176,BAO_0000357,53
,,H,,,11512,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,1,,,,,8,,912,B,,Autocuration,CHEMBL615177,BAO_0000357,54
,Membranes,D,,,104740,10116.0,Rattus norvegicus,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,1,,,,,5,,15103,B,,Autocuration,CHEMBL615178,BAO_0000249,55
,,N,506.0,,80002,9606.0,Homo sapiens,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,1,,1A9,,,1,,5116,F,,Intermediate,CHEMBL615179,BAO_0000219,56
,,D,,,104835,10116.0,Rattus norvegicus,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,1,,Oocytes,,,7,,14578,F,,Autocuration,CHEMBL615180,BAO_0000219,57
,,D,,,104821,10116.0,Rattus norvegicus,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,1,,Oocytes,,,7,,14578,F,,Autocuration,CHEMBL615181,BAO_0000219,58
,,D,,,104848,10116.0,Rattus norvegicus,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,1,,Oocytes,,,7,,14578,F,,Autocuration,CHEMBL615182,BAO_0000219,59
,,N,506.0,,80002,9606.0,Homo sapiens,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,1,,1A9,,,1,,4787,F,,Expert,CHEMBL615183,BAO_0000219,60
,,N,506.0,,80002,9606.0,Homo sapiens,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,1,,1A9,,,1,,4787,F,,Intermediate,CHEMBL615184,BAO_0000219,61
,,N,506.0,,80002,9606.0,Homo sapiens,Cytotoxic activity against human ovarian cancer (1A9) cell line,1,,1A9,,,1,,3547,F,,Intermediate,CHEMBL615185,BAO_0000219,62
,,N,506.0,,80002,9606.0,Homo sapiens,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,1,,1A9,,,1,,3547,F,,Intermediate,CHEMBL615186,BAO_0000219,63
,,N,506.0,,80002,9606.0,Homo sapiens,Effective dose of compound against replication of 1A9 cell line was evaluated,1,,1A9,,,1,,6726,F,,Intermediate,CHEMBL615187,BAO_0000219,64
,,N,506.0,,80002,9606.0,Homo sapiens,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,1,,1A9,,,1,,3455,F,,Expert,CHEMBL885343,BAO_0000219,65
,,N,506.0,,80002,9606.0,Homo sapiens,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),1,,1A9,,,1,,5726,F,,Intermediate,CHEMBL615188,BAO_0000219,66
,,N,506.0,,80002,9606.0,Homo sapiens,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,1,,1A9,,,1,,5726,F,,Intermediate,CHEMBL615189,BAO_0000219,67
,,N,506.0,,80002,9606.0,Homo sapiens,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,1,,1A9,,,1,,5726,F,,Intermediate,CHEMBL615190,BAO_0000219,68
,,N,506.0,,80002,9606.0,Homo sapiens,Inhibitory activity against Taxol resistant 1A9 cell lines,1,,1A9,,,1,,3395,F,,Intermediate,CHEMBL615191,BAO_0000219,69
,,N,506.0,,80002,9606.0,Homo sapiens,Cytotoxicity against human ovarian cancer (1A9) cell lines.,1,,1A9,,,1,,3415,F,,Expert,CHEMBL615192,BAO_0000219,70
,,N,506.0,,80002,9606.0,Homo sapiens,Percentage inhibition of human ovarian cancer (1A9) cell lines.,1,,1A9,,,1,,3415,F,,Expert,CHEMBL827083,BAO_0000219,71
,,N,506.0,,80002,9606.0,Homo sapiens,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,1,,1A9,,,1,,17099,F,,Expert,CHEMBL615193,BAO_0000219,72
,,N,506.0,,80002,9606.0,Homo sapiens,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,1,,1A9,,,1,,17099,F,,Intermediate,CHEMBL615194,BAO_0000219,73
,,N,506.0,,80002,9606.0,Homo sapiens,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,1,,1A9,,,1,,17099,F,,Intermediate,CHEMBL615195,BAO_0000219,74
,,N,506.0,,80002,9606.0,Homo sapiens,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,1,,1A9,,,1,,17099,F,,Intermediate,CHEMBL615196,BAO_0000219,75
,,N,503.0,,81072,9606.0,Homo sapiens,Inhibitory concentration against Jurkat cells,1,,Jurkat,,,1,,17721,F,,Intermediate,CHEMBL615197,BAO_0000219,76
,,U,,,22226,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,1,,,,,0,,1229,F,,Intermediate,CHEMBL615198,BAO_0000019,77
,,D,,,100121,10116.0,Rattus norvegicus,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,1,,,,,9,,11347,A,,Expert,CHEMBL615199,BAO_0000357,78
,,H,,,11231,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",1,,,,,8,,17117,B,,Expert,CHEMBL615200,BAO_0000357,79
,,H,,,11231,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",1,,,,,8,,17117,B,,Expert,CHEMBL615201,BAO_0000357,80
,,H,,,11231,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",1,,,,,8,,17117,B,,Expert,CHEMBL615202,BAO_0000357,81
,Microsomes,H,,,11231,5476.0,Candida albicans,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",1,,,,,8,,11375,B,,Autocuration,CHEMBL615203,BAO_0000251,82
,Microsomes,H,,,11231,5476.0,Candida albicans,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",1,,,,,8,,11375,B,,Autocuration,CHEMBL615204,BAO_0000251,83
,Microsomes,H,,,11231,4932.0,Saccharomyces cerevisiae,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",1,,,,,8,,11375,B,,Autocuration,CHEMBL615205,BAO_0000251,84
,Microsomes,H,,,11231,4932.0,Saccharomyces cerevisiae,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",1,,,,,8,,11375,B,,Autocuration,CHEMBL615206,BAO_0000251,85
,Microsomes,H,,,12083,9823.0,Sus scrofa,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",1,Liver,,,,8,,11375,B,2107.0,Autocuration,CHEMBL615207,BAO_0000251,86
,,H,,,11231,10116.0,Rattus norvegicus,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",1,,,,,8,,791,B,,Autocuration,CHEMBL827084,BAO_0000019,87
,,H,,,11231,10116.0,Rattus norvegicus,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",1,,,,,8,,791,B,,Autocuration,CHEMBL615208,BAO_0000019,88
,,H,,,11231,10116.0,Rattus norvegicus,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",1,,,,,8,,791,B,,Autocuration,CHEMBL615209,BAO_0000019,89
,Microsomes,D,,,12083,10116.0,Rattus norvegicus,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",1,Liver,,,,9,,11375,B,2107.0,Autocuration,CHEMBL615210,BAO_0000251,90
,Microsomes,D,,,12083,10116.0,Rattus norvegicus,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",1,Liver,,,,9,,11375,B,2107.0,Autocuration,CHEMBL615211,BAO_0000251,91
,Microsomes,D,,,12083,10116.0,Rattus norvegicus,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",1,Liver,,,,9,,153,B,2107.0,Autocuration,CHEMBL615212,BAO_0000251,92
,,H,,,11377,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),1,,,,,8,,8269,B,,Expert,CHEMBL615213,BAO_0000357,93
,,H,,,11377,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,1,,,,,8,,8269,B,,Expert,CHEMBL615273,BAO_0000357,94
,,N,726.0,,81020,9606.0,Homo sapiens,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,1,,HepG2,,,1,,17653,F,,Expert,CHEMBL615274,BAO_0000219,95
,,N,726.0,,81020,9606.0,Homo sapiens,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,1,,HepG2,,,1,,14277,F,,Intermediate,CHEMBL615275,BAO_0000219,96
,,N,726.0,,81020,9606.0,Homo sapiens,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,1,,HepG2,,,1,,1717,F,,Intermediate,CHEMBL615276,BAO_0000219,97
,,N,726.0,,81020,9606.0,Homo sapiens,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,1,,HepG2,,,1,,14091,F,,Intermediate,CHEMBL615277,BAO_0000219,98
,,N,726.0,,81020,9606.0,Homo sapiens,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,1,,HepG2,,,1,,14091,F,,Intermediate,CHEMBL615326,BAO_0000219,99
,,N,,,50606,10407.0,Hepatitis B virus,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,1,,,,,1,,17653,F,,Expert,CHEMBL883130,BAO_0000218,100
,,N,726.0,,81020,9606.0,Homo sapiens,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,1,,HepG2,,,1,,13105,F,,Intermediate,CHEMBL884519,BAO_0000219,101
,,N,726.0,,81020,9606.0,Homo sapiens,Concentration required to inhibit 50% of 2.2.15 cell line,1,,HepG2,,,1,,1717,F,,Intermediate,CHEMBL615327,BAO_0000219,102
,,N,726.0,,81020,9606.0,Homo sapiens,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,1,,HepG2,,,1,,13105,A,,Intermediate,CHEMBL615328,BAO_0000219,103
,,N,,,50587,9606.0,Homo sapiens,Cytotoxic activity of compound against uninfected 2.2.15 cells.,1,,2.2.15,,,1,,13600,F,,Intermediate,CHEMBL615329,BAO_0000218,104
,,N,,,50587,9606.0,Homo sapiens,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,1,,2.2.15,,,1,,13467,F,,Intermediate,CHEMBL615330,BAO_0000218,105
,,N,,,50606,10407.0,Hepatitis B virus,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",1,,2.2.15,,,1,,17477,F,,Expert,CHEMBL615331,BAO_0000218,106
,,N,,,50587,9606.0,Homo sapiens,In vitro anti-HBV activity in 2.2.15 cells,1,,2.2.15,,,1,,1593,F,,Intermediate,CHEMBL615332,BAO_0000218,107
,,N,,,50587,9606.0,Homo sapiens,In vitro anti-HBV activity in 2.2.15 cells; Not determined,1,,2.2.15,,,1,,1593,F,,Intermediate,CHEMBL615333,BAO_0000218,108
,,N,,,50587,9606.0,Homo sapiens,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,1,,2.2.15,,,1,,15089,F,,Intermediate,CHEMBL615334,BAO_0000218,109
,,N,,,50587,9606.0,Homo sapiens,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,1,,2.2.15,,,1,,15089,F,,Intermediate,CHEMBL615335,BAO_0000218,110
,,N,,,50587,9606.0,Homo sapiens,Cytotoxicity in 2.2.15 cells,1,,2.2.15,,,1,,1593,F,,Intermediate,CHEMBL615336,BAO_0000218,111
,,N,,,50587,9606.0,Homo sapiens,Cytotoxicity in 2.2.15 cells; Not determined,1,,2.2.15,,,1,,1593,F,,Intermediate,CHEMBL615337,BAO_0000218,112
,,N,,,50587,9606.0,Homo sapiens,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,1,,2.2.15,,,1,,13600,F,,Intermediate,CHEMBL615338,BAO_0000218,113
,,N,,,50587,9606.0,Homo sapiens,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,1,,2.2.15,,,1,,13467,F,,Intermediate,CHEMBL615339,BAO_0000218,114
,,N,,,50587,9606.0,Homo sapiens,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,1,,2.2.15,,,1,,13467,F,,Intermediate,CHEMBL615340,BAO_0000218,115
,,N,726.0,,81020,9606.0,Homo sapiens,Antiviral activity against HBV was determined in 2.215 cell line,1,,HepG2,,,1,,14764,F,,Intermediate,CHEMBL615341,BAO_0000219,116
,Microsomes,U,,,22226,9606.0,Homo sapiens,Inhibition of 20-HETE synthesis in human renal microsomes,1,,,,,0,,6531,B,,Autocuration,CHEMBL615342,BAO_0000251,117
,,U,,,22226,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,1,,,,,0,,17322,B,,Autocuration,CHEMBL615343,BAO_0000019,118
,,N,388.0,,80612,9606.0,Homo sapiens,Inhibitory concentration against 2008 (ovarian) cells,1,,2008,,,1,,17072,F,,Intermediate,CHEMBL615344,BAO_0000219,119
,,N,388.0,,80612,9606.0,Homo sapiens,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,1,,2008,,,1,,16936,F,,Intermediate,CHEMBL615345,BAO_0000219,120
,,N,388.0,,80612,9606.0,Homo sapiens,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),1,,2008,,,1,,16936,F,,Intermediate,CHEMBL615346,BAO_0000219,121
,,N,388.0,,80612,9606.0,Homo sapiens,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,1,,2008,,,1,,17146,F,,Intermediate,CHEMBL615347,BAO_0000219,122
,,N,388.0,,80612,9606.0,Homo sapiens,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,1,,2008,,,1,,17146,F,,Intermediate,CHEMBL615348,BAO_0000219,123
,,N,561.0,,80613,9606.0,Homo sapiens,In vitro inhibition of 2008/R ovarian cancer cell line,1,,2008/R,,,1,,10797,F,,Intermediate,CHEMBL827085,BAO_0000219,124
,,N,561.0,,80613,9606.0,Homo sapiens,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,1,,2008/R,,,1,,10797,F,,Intermediate,CHEMBL615349,BAO_0000219,125
,,N,389.0,,80614,9606.0,Homo sapiens,In vitro inhibition of 2008/S ovarian cancer cell line,1,,2008/S,,,1,,10797,F,,Intermediate,CHEMBL615350,BAO_0000219,126
,,N,389.0,,80614,9606.0,Homo sapiens,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,1,,2008/S,,,1,,10797,F,,Intermediate,CHEMBL615351,BAO_0000219,127
,,S,,,100256,9606.0,Homo sapiens,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,1,,,,,2,,4823,B,,Expert,CHEMBL615352,BAO_0000220,128
,,S,,,100256,9606.0,Homo sapiens,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,1,,,,,2,,12912,B,,Intermediate,CHEMBL615353,BAO_0000220,129
,,S,,,100256,,,Inhibition of chymotrypsin-like activity of 20S proteasome,1,,,,,2,,2957,B,,Expert,CHEMBL615354,BAO_0000220,130
,,S,,,100256,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,1,,,,,2,,2957,B,,Expert,CHEMBL615355,BAO_0000220,131
,,S,,,100256,,,Inhibitory activity against 20S proteosome,1,,,,,2,,3260,B,,Intermediate,CHEMBL615356,BAO_0000220,132
,,U,,,22226,9606.0,Homo sapiens,Compound was tested for inhibitory activity against tryptase,1,,,,,0,,3451,B,,Autocuration,CHEMBL615357,BAO_0000019,133
,,N,726.0,,81020,9606.0,Homo sapiens,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,1,,HepG2,,,1,,13885,F,,Intermediate,CHEMBL615358,BAO_0000219,134
,,N,726.0,,81020,9606.0,Homo sapiens,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,1,,HepG2,,,1,,13885,F,,Intermediate,CHEMBL827086,BAO_0000219,135
,,U,,,22226,,,Compound was tested for the inhibition of Alpha-glucosidase,1,,,,,0,,3676,B,,Autocuration,CHEMBL615359,BAO_0000019,136
,,H,,,235,,,Inhibitory concentration against human neutrophil elastase (HNE),1,,,,,8,,6043,B,,Autocuration,CHEMBL615360,BAO_0000357,137
,,U,,,22226,10116.0,Rattus norvegicus,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,1,Heart,,,,0,,11140,F,948.0,Autocuration,CHEMBL615361,BAO_0000218,138
