SASSI,Descr,ASTAI,CURAB,VARI,ASSSUBCEFRAC,ASI,TII,CHI,SRI,BFO,ASSCA,ASTTY,ASSTR,RELATT,CEI,ASSTIS,DI,ASSORG,Ti,ASSTY,ASCETY,CONFSCO
,Half-life in rats with metabolic oxidation,10116.0,Intermediate,,,7548,,CHEMBL620441,1,BAO_0000218,,,,N,,,3169,Rattus norvegicus,50597,A,,1
,Half-life in rats,10116.0,Intermediate,,,7549,,CHEMBL620442,1,BAO_0000218,,,,N,,,3169,Rattus norvegicus,50597,A,,1
,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,10116.0,Intermediate,,,7550,,CHEMBL620443,1,BAO_0000218,,In vivo,,N,,,17260,Rattus norvegicus,50597,A,,1
,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,10116.0,Intermediate,,,7551,,CHEMBL620444,1,BAO_0000218,,In vivo,,N,,,17260,Rattus norvegicus,50597,A,,1
,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,10116.0,Intermediate,,,7552,,CHEMBL620445,1,BAO_0000218,,In vivo,,N,,,17260,Rattus norvegicus,50597,A,,1
,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,10116.0,Intermediate,,,7553,,CHEMBL620446,1,BAO_0000218,,In vivo,,N,,,17260,Rattus norvegicus,50597,A,,1
,Biological half-life measured in plasma of rat,10116.0,Intermediate,,,7554,1969.0,CHEMBL620447,1,BAO_0000218,,,,N,,Plasma,2879,Rattus norvegicus,50597,A,,1
,Biological half-life measured in plasma of rat; 22-25,10116.0,Intermediate,,,7555,1969.0,CHEMBL621129,1,BAO_0000218,,,,N,,Plasma,2879,Rattus norvegicus,50597,A,,1
,Biological half-life measured in plasma of rat; 9-16,10116.0,Intermediate,,,7556,1969.0,CHEMBL621130,1,BAO_0000218,,,,N,,Plasma,2879,Rattus norvegicus,50597,A,,1
,Compound was evaluated for its half life when administered intravenously in rat,10116.0,Intermediate,,,7557,,CHEMBL873808,1,BAO_0000218,,In vivo,,N,,,3184,Rattus norvegicus,50597,A,,1
,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,10116.0,Intermediate,,,7558,,CHEMBL876598,1,BAO_0000218,,In vivo,,N,,,4891,Rattus norvegicus,50597,A,,1
,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,10116.0,Intermediate,,,7559,,CHEMBL621131,1,BAO_0000218,,In vivo,,N,,,429,Rattus norvegicus,50597,A,,1
,Half life (T1/2) after oral administration in rat,10116.0,Intermediate,,,7560,,CHEMBL621132,1,BAO_0000218,,In vivo,,N,,,5656,Rattus norvegicus,50597,A,,1
,Half life of compound after iv administration of 20 mg/kg dose in rat,10116.0,Intermediate,,,7561,,CHEMBL621133,1,BAO_0000218,,In vivo,,N,,,4413,Rattus norvegicus,50597,A,,1
,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,10116.0,Expert,,,7562,,CHEMBL621312,1,BAO_0000218,,In vivo,,N,,,3598,Rattus norvegicus,50597,A,,1
,Half life of compound was determined in rat,10116.0,Intermediate,,,7563,,CHEMBL621313,1,BAO_0000218,,,,N,,,17267,Rattus norvegicus,50597,A,,1
,Half life of compound was determined in rat blood,10116.0,Intermediate,,,7564,178.0,CHEMBL621314,1,BAO_0000218,,,,N,,Blood,4727,Rattus norvegicus,50597,A,,1
,Half life at 1 mg/kg was determined in rat,10116.0,Intermediate,,,7565,,CHEMBL621315,1,BAO_0000218,,In vivo,,N,,,17651,Rattus norvegicus,50597,A,,1
,Half life at 10 mg/kg was determined in rat,10116.0,Intermediate,,,7566,,CHEMBL621316,1,BAO_0000218,,In vivo,,N,,,17651,Rattus norvegicus,50597,A,,1
,Half life in rats,10116.0,Intermediate,,,7567,,CHEMBL621317,1,BAO_0000218,,,,N,,,401,Rattus norvegicus,50597,A,,1
,Half life in rats in hours,10116.0,Intermediate,,,7568,,CHEMBL621318,1,BAO_0000218,,,,N,,,4942,Rattus norvegicus,50597,A,,1
,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,10116.0,Intermediate,,,7569,,CHEMBL621319,1,BAO_0000218,,In vivo,,N,,,17735,Rattus norvegicus,50597,A,,1
,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,10116.0,Intermediate,,,7570,,CHEMBL621377,1,BAO_0000218,,In vivo,,N,,,6056,Rattus norvegicus,50597,A,,1
,Half life was determined,10116.0,Intermediate,,,7571,,CHEMBL621378,1,BAO_0000218,,,,N,,,5213,Rattus norvegicus,50597,A,,1
,Half life after i.v. administration,10116.0,Intermediate,,,7572,,CHEMBL876599,1,BAO_0000218,,In vivo,,N,,,6616,Rattus norvegicus,50597,A,,1
,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,10116.0,Intermediate,,,7573,,CHEMBL621379,1,BAO_0000218,,In vivo,,N,,,5937,Rattus norvegicus,50597,A,,1
,Half life in rat plasma,10116.0,Intermediate,,,7574,1969.0,CHEMBL621380,1,BAO_0000218,,,,N,,Plasma,5819,Rattus norvegicus,50597,A,,1
,Half life in rat plasma; Not detected,10116.0,Intermediate,,,7575,1969.0,CHEMBL621381,1,BAO_0000218,,,,N,,Plasma,5819,Rattus norvegicus,50597,A,,1
,Half life in rats,10116.0,Intermediate,,,7576,,CHEMBL618515,1,BAO_0000218,,,,N,,,6803,Rattus norvegicus,50597,A,,1
,Half life period of compound was determined after peroral administration,10116.0,Intermediate,,,7577,,CHEMBL618516,1,BAO_0000218,,In vivo,,N,,,17804,Rattus norvegicus,50597,A,,1
,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,10116.0,Intermediate,,,7578,,CHEMBL618517,1,BAO_0000218,,In vivo,,N,,,17804,Rattus norvegicus,50597,A,,1
,Half life period in rat,10116.0,Intermediate,,,7579,,CHEMBL618518,1,BAO_0000218,,,,N,,,5948,Rattus norvegicus,50597,A,,1
,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,10116.0,Intermediate,,,7580,,CHEMBL618519,1,BAO_0000218,,In vivo,,N,,,1916,Rattus norvegicus,50597,A,,1
,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,10116.0,Intermediate,,,7581,,CHEMBL618698,1,BAO_0000218,,In vivo,,N,,,1916,Rattus norvegicus,50597,A,,1
,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,10116.0,Intermediate,,,7582,,CHEMBL618862,1,BAO_0000218,,In vivo,,N,,,1916,Rattus norvegicus,50597,A,,1
,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,10116.0,Intermediate,,,7583,,CHEMBL618863,1,BAO_0000218,,In vivo,,N,,,4890,Rattus norvegicus,50597,A,,1
,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,10116.0,Intermediate,,,7584,,CHEMBL618864,1,BAO_0000218,,In vivo,,N,,,17764,Rattus norvegicus,50597,A,,1
,Half life time in rat the dose of 2 mg/kg,10116.0,Intermediate,,,7585,,CHEMBL618865,1,BAO_0000218,,In vivo,,N,,,4727,Rattus norvegicus,50597,A,,1
,Half-life 24 hr after 10 mg/kg iv administration in rats,10116.0,Intermediate,,,7586,,CHEMBL618866,1,BAO_0000218,,In vivo,,N,,,17509,Rattus norvegicus,50597,A,,1
,Half-life 24 hr after 2 mg/kg iv administration in rats,10116.0,Intermediate,,,7587,,CHEMBL618867,1,BAO_0000218,,In vivo,,N,,,17509,Rattus norvegicus,50597,A,,1
,Half-life consistent with the observed metabolic steady state in rats,10116.0,Intermediate,,,7588,,CHEMBL875828,1,BAO_0000218,,,,N,,,6597,Rattus norvegicus,50597,A,,1
,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,10116.0,Intermediate,,,7589,,CHEMBL618868,1,BAO_0000218,,In vivo,,N,,,17735,Rattus norvegicus,50597,A,,1
,Half-life for oxidative metabolic stability was determined using male human,10116.0,Intermediate,,,7590,,CHEMBL618869,1,BAO_0000218,,,,N,,,6597,Rattus norvegicus,50597,A,,1
,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",10116.0,Intermediate,,,7591,,CHEMBL618870,1,BAO_0000218,,In vivo,,N,,,17670,Rattus norvegicus,50597,A,,1
,Half-life in rat plasma,10116.0,Intermediate,,,7592,1969.0,CHEMBL618871,1,BAO_0000218,,,,N,,Plasma,1696,Rattus norvegicus,50597,A,,1
,Half-life in rat plasma was determined,10116.0,Intermediate,,,7593,1969.0,CHEMBL618872,1,BAO_0000218,,,,N,,Plasma,1742,Rattus norvegicus,50597,A,,1
,Half-life in rats was determined,10116.0,Intermediate,,,7594,,CHEMBL873816,1,BAO_0000218,,,,N,,,17800,Rattus norvegicus,50597,A,,1
,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,,Autocuration,,,7595,,CHEMBL618873,1,BAO_0000218,,,,U,,,12923,,22224,A,,0
,Area under curve after oral dose of 0.1 mg//kg,,Autocuration,,,7596,,CHEMBL621602,1,BAO_0000019,,,,U,,,11954,,22224,A,,0
,Area under curve after oral dose of 0.3 mg/kg,,Autocuration,,,7597,,CHEMBL621603,1,BAO_0000218,,,,U,,,11954,,22224,A,,0
,Area under curve after oral dose of 1 mg/kg,,Autocuration,,,7598,,CHEMBL621604,1,BAO_0000218,,,,U,,,11954,,22224,A,,0
,Area under curve after oral dose of 10 mg/kg,,Autocuration,,,7599,,CHEMBL621605,1,BAO_0000218,,,,U,,,11954,,22224,A,,0
,Area under curve after oral dose of 23.4 mg/kg,,Autocuration,,,7600,,CHEMBL621606,1,BAO_0000218,,,,U,,,11954,,22224,A,,0
,Area under curve after oral dose of 3 mg/kg,,Autocuration,,,7601,,CHEMBL621607,1,BAO_0000218,,,,U,,,11954,,22224,A,,0
,Area under curve after oral dose of 3.87 mg/kg,,Autocuration,,,7602,,CHEMBL621608,1,BAO_0000218,,,,U,,,11954,,22224,A,,0
,Area under curve was determined,,Autocuration,,,7603,,CHEMBL621609,1,BAO_0000019,,,,U,,,5237,,22224,A,,0
,Area under curve at a dose of 10 mg/kg,,Autocuration,,,7604,,CHEMBL621610,1,BAO_0000218,,,,U,,,4026,,22224,A,,0
,Area under curve was determined; ND=No data,10116.0,Intermediate,,,7605,,CHEMBL621611,1,BAO_0000218,,,,N,,,5237,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,10116.0,Intermediate,,,7606,,CHEMBL621612,1,BAO_0000218,,,,N,,,14793,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,10116.0,Intermediate,,,7607,,CHEMBL622308,1,BAO_0000218,,,,N,,,14793,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,10116.0,Intermediate,,,7608,,CHEMBL622309,1,BAO_0000218,,,,N,,,14793,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,10116.0,Intermediate,,,7609,,CHEMBL622310,1,BAO_0000218,,,,N,,,14793,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,10116.0,Intermediate,,,7610,,CHEMBL622311,1,BAO_0000218,,,,N,,,14793,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,10116.0,Intermediate,,,7611,,CHEMBL622312,1,BAO_0000218,,,,N,,,14793,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,10116.0,Intermediate,,,7612,,CHEMBL622931,1,BAO_0000218,,,,N,,,14793,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,10116.0,Intermediate,,,7613,,CHEMBL622932,1,BAO_0000218,,,,N,,,14793,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,10116.0,Intermediate,,,7614,1969.0,CHEMBL622736,1,BAO_0000218,,,,N,,Plasma,14793,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,10116.0,Intermediate,,,7615,1969.0,CHEMBL622737,1,BAO_0000218,,,,N,,Plasma,14793,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,10116.0,Intermediate,,,7616,1969.0,CHEMBL622738,1,BAO_0000218,,,,N,,Plasma,14793,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,10116.0,Intermediate,,,7617,1969.0,CHEMBL622739,1,BAO_0000218,,,,N,,Plasma,14793,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,10116.0,Intermediate,,,7618,1969.0,CHEMBL622740,1,BAO_0000218,,,,N,,Plasma,14793,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,10116.0,Intermediate,,,7619,1969.0,CHEMBL622741,1,BAO_0000218,,,,N,,Plasma,14793,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,10116.0,Intermediate,,,7620,1969.0,CHEMBL622742,1,BAO_0000218,,,,N,,Plasma,14793,Rattus norvegicus,50597,A,,1
,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,10116.0,Intermediate,,,7621,1969.0,CHEMBL622743,1,BAO_0000218,,,,N,,Plasma,14793,Rattus norvegicus,50597,A,,1
,AUC in mice,10090.0,Intermediate,,,7622,1969.0,CHEMBL622744,1,BAO_0000218,,,,N,,Plasma,11637,Mus musculus,50594,A,,1
,Area under curve was measured from the graph obtained from concentration Vs time,,Autocuration,,,7623,,CHEMBL624134,1,BAO_0000019,,,,U,,,11149,,22224,A,,0
,Area under curve value of compound per hour after oral administration,,Autocuration,,,7624,,CHEMBL624135,1,BAO_0000019,,,,U,,,10016,,22224,A,,0
,Area under curve was determined after oral administration in rats,10116.0,Intermediate,,,7625,,CHEMBL624136,1,BAO_0000218,,,,N,,,17796,Rattus norvegicus,50597,A,,1
,Area under curve was determined after oral administration in rats; No data,10116.0,Intermediate,,,7626,,CHEMBL624137,1,BAO_0000218,,,,N,,,17796,Rattus norvegicus,50597,A,,1
,Area under curve was determined after oral administration in rats;No data,10116.0,Intermediate,,,7627,,CHEMBL624320,1,BAO_0000218,,,,N,,,17796,Rattus norvegicus,50597,A,,1
,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,9615.0,Intermediate,,,7628,,CHEMBL624321,1,BAO_0000218,,,,N,,,12923,Canis lupus familiaris,50588,A,,1
,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,10116.0,Intermediate,,,7629,,CHEMBL624322,1,BAO_0000218,,,,N,,,15372,Rattus norvegicus,50597,A,,1
,Area under curve was determined for the compound after iv dose of 5.06 in rats,10116.0,Intermediate,,,7630,,CHEMBL624323,1,BAO_0000218,,,,N,,,15372,Rattus norvegicus,50597,A,,1
,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,10116.0,Intermediate,,,7631,,CHEMBL624324,1,BAO_0000218,,,,N,,,15372,Rattus norvegicus,50597,A,,1
,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,10116.0,Intermediate,,,7632,,CHEMBL624325,1,BAO_0000218,,,,N,,,15372,Rattus norvegicus,50597,A,,1
,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,10116.0,Intermediate,,,7633,,CHEMBL624326,1,BAO_0000218,,,,N,,,15372,Rattus norvegicus,50597,A,,1
,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,10116.0,Intermediate,,,7634,,CHEMBL624327,1,BAO_0000218,,,,N,,,15372,Rattus norvegicus,50597,A,,1
,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,10116.0,Intermediate,,,7635,,CHEMBL624328,1,BAO_0000218,,,,N,,,15372,Rattus norvegicus,50597,A,,1
,Area under curve was determined in Dogs after peroral administration,9615.0,Intermediate,,,7636,,CHEMBL627848,1,BAO_0000218,,,,N,,,14169,Canis lupus familiaris,50588,A,,1
,Area under curve was determined in Rats after peroral administration,10116.0,Intermediate,,,7637,,CHEMBL627849,1,BAO_0000218,,,,N,,,14169,Rattus norvegicus,50597,A,,1
,Area under curve was determined in carotid blood of rat when administered intradermally,10116.0,Intermediate,,,7638,,CHEMBL627850,1,BAO_0000218,,,,N,,,14258,Rattus norvegicus,50597,A,,1
,Area under curve was determined in portal blood of rat when administered intradermally,10116.0,Intermediate,,,7639,,CHEMBL627851,1,BAO_0000218,,,,N,,,14258,Rattus norvegicus,50597,A,,1
,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,10090.0,Intermediate,,,7640,,CHEMBL627852,1,BAO_0000218,,,,N,,,15011,Mus musculus,50594,A,,1
,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,10090.0,Intermediate,,,7641,,CHEMBL627853,1,BAO_0000218,,,,N,,,15011,Mus musculus,50594,A,,1
,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),10090.0,Intermediate,,,7642,,CHEMBL627854,1,BAO_0000218,,,,N,,,15011,Mus musculus,50594,A,,1
,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,10090.0,Intermediate,,,7643,,CHEMBL627855,1,BAO_0000218,,,,N,,,15011,Mus musculus,50594,A,,1
,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),10090.0,Intermediate,,,7644,,CHEMBL627856,1,BAO_0000218,,,,N,,,15011,Mus musculus,50594,A,,1
,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,10090.0,Intermediate,,,7645,,CHEMBL875339,1,BAO_0000218,,,,N,,,15011,Mus musculus,50594,A,,1
,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),10090.0,Intermediate,,,7646,,CHEMBL627857,1,BAO_0000218,,,,N,,,15011,Mus musculus,50594,A,,1
,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,10116.0,Intermediate,,,7647,2106.0,CHEMBL627858,1,BAO_0000218,,In vivo,,N,,Spleen,11195,Rattus norvegicus,50597,A,,1
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,10116.0,Intermediate,,,7648,178.0,CHEMBL627859,1,BAO_0000218,,,,N,,Blood,10130,Rattus norvegicus,50597,A,,1
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,10116.0,Intermediate,,,7649,955.0,CHEMBL627860,1,BAO_0000218,,,,N,,Brain,10130,Rattus norvegicus,50597,A,,1
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,10116.0,Intermediate,,,7650,948.0,CHEMBL627019,1,BAO_0000218,,,,N,,Heart,10130,Rattus norvegicus,50597,A,,1
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,10116.0,Intermediate,,,7651,2107.0,CHEMBL627020,1,BAO_0000218,,,,N,,Liver,10130,Rattus norvegicus,50597,A,,1
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,10116.0,Intermediate,,,7652,2048.0,CHEMBL627021,1,BAO_0000218,,,,N,,Lung,10130,Rattus norvegicus,50597,A,,1
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,10116.0,Intermediate,,,7653,2385.0,CHEMBL627022,1,BAO_0000218,,,,N,,Muscle tissue,10130,Rattus norvegicus,50597,A,,1
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,10116.0,Intermediate,,,7654,,CHEMBL627023,1,BAO_0000218,,,,N,,,10130,Rattus norvegicus,50597,A,,1
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,10116.0,Intermediate,,,7655,2106.0,CHEMBL627024,1,BAO_0000218,,,,N,,Spleen,10130,Rattus norvegicus,50597,A,,1
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,10116.0,Intermediate,,,7656,2046.0,CHEMBL627025,1,BAO_0000218,,,,N,,Thyroid gland,10130,Rattus norvegicus,50597,A,,1
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,10116.0,Intermediate,,,7657,2113.0,CHEMBL627026,1,BAO_0000218,,,,N,,Kidney,10130,Rattus norvegicus,50597,A,,1
,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,10116.0,Intermediate,,,7658,178.0,CHEMBL627027,1,BAO_0000218,,,,N,,Blood,10130,Rattus norvegicus,50597,A,,1
,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,10116.0,Intermediate,,,7659,955.0,CHEMBL627028,1,BAO_0000218,,,,N,,Brain,10130,Rattus norvegicus,50597,A,,1
,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,10116.0,Intermediate,,,7660,948.0,CHEMBL627029,1,BAO_0000218,,,,N,,Heart,10130,Rattus norvegicus,50597,A,,1
,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,10116.0,Intermediate,,,7661,2113.0,CHEMBL627030,1,BAO_0000218,,,,N,,Kidney,10130,Rattus norvegicus,50597,A,,1
,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,10116.0,Intermediate,,,7662,2107.0,CHEMBL627031,1,BAO_0000218,,,,N,,Liver,10130,Rattus norvegicus,50597,A,,1
