Fiscal year,Programming process (new),Climate change adaptation (marker),Regional program (marker),Urban issues (marker),Sector percent,Project number,Untied amount(Project-level budget),Gender equality (marker),Sector name,Biodiversity (marker),CountryRegion name,CFLI (marker),Organisation class,Maximum CIDA contribution (project-level),Status,Branch ID,Branch name,Division ID,Division name,Section ID,Section name,Fund centre ID,Fund centre name,FSTC percent,IRTC percent,CIDA business delivery model (old),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A019362001,3441416.83,0,Informal/semi-formal financial intermediaries,0,Jamaica,0,Civil Society,3441416.83,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,4439,Caribbean Regional - Jamaica,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A019362001,3441416.83,0,Informal/semi-formal financial intermediaries,0,Jamaica,0,Civil Society,3441416.83,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,4439,Caribbean Regional - Jamaica,1.0,0.0,Responsive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A019608001,0.0,0,Democratic participation and civil society,0,Egypt,0,Civil Society,16700508.62,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,Egypt,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.05,A019608001,0.0,0,Formal sector financial intermediaries,0,Egypt,0,Civil Society,16700508.62,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,Egypt,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.05,A019608001,0.0,0,Business support services and institutions,0,Egypt,0,Civil Society,16700508.62,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,Egypt,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.05,A019608001,0.0,0,Industrial policy and administrative management,0,Egypt,0,Civil Society,16700508.62,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,Egypt,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.25,A019608001,0.0,0,Small and medium-sized enterprises (SME) development,0,Egypt,0,Civil Society,16700508.62,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,Egypt,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.15,A019608001,0.0,0,Technological research and development,0,Egypt,0,Civil Society,16700508.62,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,Egypt,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.05,A019608001,0.0,0,Environmental policy and administrative management,0,Egypt,0,Civil Society,16700508.62,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,Egypt,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A019608001,0.0,0,Biosphere protection,0,Egypt,0,Civil Society,16700508.62,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4263,Egypt,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A020161001,0.0,2,Multisector aid,0,Algeria,0,Governmental,328400.96,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,4259,*Algeria,0.998334353,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A020195001,4000000.0,3,Democratic participation and civil society,0,Haiti,0,Governmental,4610501.0,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.8,A020195001,4000000.0,3,Human rights,0,Haiti,0,Governmental,4610501.0,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,4452,Haiti,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A020222001,0.0,2,Public sector policy and administrative management,0,Ethiopia,0,Civil Society,4229943.14,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A020222001,0.0,2,Public finance management,0,Ethiopia,0,Civil Society,4229943.14,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A020222001,0.0,2,Legal and judicial development,0,Ethiopia,0,Civil Society,4229943.14,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A020222001,0.0,2,Democratic participation and civil society,0,Ethiopia,0,Civil Society,4229943.14,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A020222001,0.0,2,Human rights,0,Ethiopia,0,Civil Society,4229943.14,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.34,A020246001,4518387.69,2,Public sector policy and administrative management,0,Senegal,0,Civil Society,4518387.69,Terminating,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,4238,Senegal,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.34,A020246001,4518387.69,2,Public sector policy and administrative management,0,Senegal,0,Individual,4518387.69,Terminating,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,4238,Senegal,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.66,A020246001,4518387.69,2,Informal/semi-formal financial intermediaries,0,Senegal,0,Civil Society,4518387.69,Terminating,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,4238,Senegal,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.66,A020246001,4518387.69,2,Informal/semi-formal financial intermediaries,0,Senegal,0,Individual,4518387.69,Terminating,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,4238,Senegal,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A020252001,7850039.11,0,Teacher training,0,Guyana,0,Civil Society,7850039.11,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,4438,Caribbean Regional - Guyana,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.5,A020272001,0.0,1,Public sector policy and administrative management,0,Philippines,0,Governmental,13000520.92,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,4128,Philippines,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.4,A020272001,0.0,1,Public finance management,0,Philippines,0,Governmental,13000520.92,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,4128,Philippines,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A020272001,0.0,1,Democratic participation and civil society,0,Philippines,0,Governmental,13000520.92,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,4128,Philippines,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A020279001,0.0,1,Public sector policy and administrative management,0,Pakistan,0,Governmental,2645994.04,Terminating,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A020392001,0.0,1,Public sector policy and administrative management,0,Malawi,0,Civil Society,7747230.74,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,4280,Malawi,1.0,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A020395001,0.0,0,Multisector aid,0,Bangladesh,0,Governmental,4947637.32,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,4122,Bangladesh,0.5,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A020395001,0.0,0,Multisector aid,0,Bangladesh,0,Unknown,4947637.32,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,4122,Bangladesh,0.5,0.0,Directive,1,Not PBA,0,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.5,A020398001,0.0,0,Basic drinking water supply,0,Mozambique,0,Individual,9096651.0,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,4274,Mozambique,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.5,A020398001,0.0,0,Basic sanitation,0,Mozambique,0,Individual,9096651.0,Closed,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,4274,Mozambique,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A020449003,2457111.5,2,Multisector aid,0,Cameroon,0,Governmental,2457111.5,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A020449003,2457111.5,2,Multisector aid,0,Cameroon,0,Civil Society,2457111.5,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A020449003,2457111.5,2,Multisector aid,0,Cameroon,0,Individual,2457111.5,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A020449003,2457111.5,2,Multisector aid,0,Cameroon,0,Unknown,2457111.5,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,4289,Cameroon,1.0,0.0,Directive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,0,0,0.5,A020715001,11427061.07,0,Democratic participation and civil society,0,Guinea,0,Civil Society,11427061.07,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,4242,*Guinea,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.5,A020715001,11427061.07,0,Democratic participation and civil society,0,Guinea,0,Civil Society,11427061.07,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,4242,*Guinea,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.15,A020715001,11427061.07,0,Food crop production,0,Guinea,0,Civil Society,11427061.07,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,4242,*Guinea,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.15,A020715001,11427061.07,0,Food crop production,0,Guinea,0,Civil Society,11427061.07,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,4242,*Guinea,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A020715001,11427061.07,0,Agricultural extension,0,Guinea,0,Civil Society,11427061.07,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,4242,*Guinea,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A020715001,11427061.07,0,Agricultural extension,0,Guinea,0,Civil Society,11427061.07,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,4242,*Guinea,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.15,A020715001,11427061.07,0,Agricultural education/training,0,Guinea,0,Civil Society,11427061.07,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,4242,*Guinea,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.15,A020715001,11427061.07,0,Agricultural education/training,0,Guinea,0,Civil Society,11427061.07,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,4242,*Guinea,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A020715001,11427061.07,0,Agricultural services,0,Guinea,0,Civil Society,11427061.07,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,4242,*Guinea,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.1,A020715001,11427061.07,0,Agricultural services,0,Guinea,0,Civil Society,11427061.07,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,4242,*Guinea,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.8,A020790001,0.0,0,Democratic participation and civil society,0,Sri Lanka,0,Civil Society,4308867.95,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4118,Sri Lanka,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,0.2,A020790001,0.0,0,Human rights,0,Sri Lanka,0,Civil Society,4308867.95,Closed,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",4118,Sri Lanka,1.0,0.0,Directive,1,Not PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A020891001,0.0,2,Education policy and administrative management,0,Mali,0,Governmental,3063216.68,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,4216,Mali,0.0,0.0,Directive,1,Other PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A020891001,0.0,2,Education policy and administrative management,0,Mali,0,Unknown,3063216.68,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,4216,Mali,0.0,0.0,Directive,1,Other PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A020892001,16726210.87,2,Teacher training,0,Mali,0,Governmental,16726210.87,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,4216,Mali,1.0,0.0,Directive,1,Other PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A020892001,16726210.87,2,Teacher training,0,Mali,0,Civil Society,16726210.87,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,4216,Mali,1.0,0.0,Directive,1,Other PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,0,0,1.0,A020892001,16726210.87,2,Teacher training,0,Mali,0,Civil Society,16726210.87,Closed,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,4216,Mali,1.0,0.0,Directive,1,Other PBA,0,0,0,0
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A020910001,0.0,0,Primary education,0,South America,0,Governmental,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A020910001,0.0,0,Primary education,0,South America,0,Unknown,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.08,A020910001,0.0,0,Basic health care,0,South America,0,Governmental,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.08,A020910001,0.0,0,Basic health care,0,South America,0,Unknown,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.02,A020910001,0.0,0,Family planning,0,South America,0,Governmental,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.02,A020910001,0.0,0,Family planning,0,South America,0,Unknown,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.8,A020910001,0.0,0,Public sector policy and administrative management,0,South America,0,Governmental,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.8,A020910001,0.0,0,Public sector policy and administrative management,0,South America,0,Unknown,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A020910001,0.0,0,Primary education,0,South America,0,Governmental,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A020910001,0.0,0,Primary education,0,South America,0,Unknown,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.08,A020910001,0.0,0,Basic health care,0,South America,0,Governmental,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.08,A020910001,0.0,0,Basic health care,0,South America,0,Unknown,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.02,A020910001,0.0,0,Family planning,0,South America,0,Governmental,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.02,A020910001,0.0,0,Family planning,0,South America,0,Unknown,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.8,A020910001,0.0,0,Public sector policy and administrative management,0,South America,0,Governmental,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.8,A020910001,0.0,0,Public sector policy and administrative management,0,South America,0,Unknown,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A020910001,0.0,0,Primary education,0,South America,0,Governmental,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.1,A020910001,0.0,0,Primary education,0,South America,0,Unknown,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.08,A020910001,0.0,0,Basic health care,0,South America,0,Governmental,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.08,A020910001,0.0,0,Basic health care,0,South America,0,Unknown,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.02,A020910001,0.0,0,Family planning,0,South America,0,Governmental,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
2009/2010,Uncoded: Pre-APP,0,1,0,0.02,A020910001,0.0,0,Family planning,0,South America,0,Unknown,1488850.78,Closed,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,4422,*Southern Cone,1.0,0.0,Responsive,1,Not PBA,1,0,0,1
