assay_cell_type,assay_organism,assay_category,src_assay_id,description,chembl_id,doc_id,tid,assay_subcellular_fraction,cell_id,assay_tissue,tissue_id,curated_by,assay_strain,src_id,variant_id,confidence_score,assay_tax_id,assay_id,assay_type,relationship_type,bao_format,assay_test_type
,,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),CHEMBL615132,16474,12054,,,,,Autocuration,,1,,8,,18,B,H,BAO_0000357,
,,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,CHEMBL615133,10091,12054,,,,,Autocuration,,1,,8,,19,B,H,BAO_0000019,
,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),CHEMBL615134,16474,12054,,,,,Autocuration,,1,,8,,20,B,H,BAO_0000357,
,,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),CHEMBL615135,16474,12054,,,,,Autocuration,,1,,8,,21,B,H,BAO_0000357,
,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),CHEMBL615136,16474,12054,,,,,Autocuration,,1,,8,,22,B,H,BAO_0000357,
,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,CHEMBL615137,16474,12054,,,,,Autocuration,,1,,8,,23,B,H,BAO_0000357,
,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,CHEMBL615138,16474,12054,,,,,Autocuration,,1,,8,,24,B,H,BAO_0000357,
,,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",CHEMBL836324,14352,22226,,,,,Autocuration,,1,,0,,25,B,U,BAO_0000219,
,Oryctolagus cuniculus,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,CHEMBL615139,5646,12054,,,,,Autocuration,,1,,8,9986.0,26,B,H,BAO_0000357,
,Oryctolagus cuniculus,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),CHEMBL615140,5646,12054,,,,,Autocuration,,1,,8,9986.0,27,B,H,BAO_0000357,
,,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,CHEMBL615141,10997,12426,,,,,Autocuration,,1,,8,,28,B,H,BAO_0000219,
,soya bean,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,CHEMBL615142,6309,12054,,,,,Autocuration,,1,,8,3847.0,29,B,H,BAO_0000357,
,Glycine max,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,CHEMBL615143,167,12054,,,,,Autocuration,,1,,8,3847.0,30,B,H,BAO_0000357,
,Glycine max,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,CHEMBL615144,167,12054,,,,,Autocuration,,1,,8,3847.0,31,B,H,BAO_0000357,
,Glycine max,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,CHEMBL872867,11087,12054,,,,,Autocuration,,1,,8,3847.0,32,B,H,BAO_0000357,
,Glycine max,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,CHEMBL615145,11087,12054,,,,,Autocuration,,1,,8,3847.0,33,B,H,BAO_0000357,
,Glycine max,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,CHEMBL615146,13622,12054,,,,,Autocuration,,1,,8,3847.0,34,B,H,BAO_0000357,
,Glycine max,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,CHEMBL615147,13622,12054,,,,,Autocuration,,1,,8,3847.0,35,B,H,BAO_0000357,
,Rattus norvegicus,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,CHEMBL615148,11347,22226,,,,,Autocuration,,1,,0,10116.0,36,A,U,BAO_0000019,
,Escherichia coli,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,CHEMBL615149,5926,22226,,,,,Autocuration,,1,,0,562.0,37,B,U,BAO_0000019,
,,,,Dissociation constant with dimeric 16S rRNA RNA construct B,CHEMBL615150,4567,22226,,,,,Autocuration,,1,,0,,38,B,U,BAO_0000019,
,,,,Dissociation constant towards 16S rRNA construct A,CHEMBL615151,3782,22222,,,,,Intermediate,,1,,3,,39,B,M,BAO_0000225,
,,,,Dissociation constant towards 16S rRNA construct B,CHEMBL615152,3782,22222,,,,,Intermediate,,1,,3,,40,B,M,BAO_0000225,
,Escherichia coli,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,CHEMBL615153,4466,100263,,,,,Expert,,1,,3,562.0,41,B,M,BAO_0000225,
,Escherichia coli,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,CHEMBL615154,6592,100263,,,,,Expert,,1,,3,562.0,42,B,M,BAO_0000225,
,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),CHEMBL615155,898,13053,,,,,Autocuration,,1,,8,,43,B,H,BAO_0000019,
,,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),CHEMBL615156,898,13053,,,,,Autocuration,,1,,8,,44,B,H,BAO_0000019,
,Homo sapiens,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,CHEMBL615157,13163,20001,,,,,Autocuration,,1,,8,9606.0,45,B,H,BAO_0000019,
,Homo sapiens,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,CHEMBL615158,13163,20001,,,,,Autocuration,,1,,8,9606.0,46,B,H,BAO_0000019,
,Rattus norvegicus,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",CHEMBL615159,10691,12971,,,,,Expert,,1,,9,10116.0,47,B,D,BAO_0000019,
,Rattus norvegicus,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",CHEMBL615172,10691,12971,,,,,Expert,,1,,9,10116.0,48,B,D,BAO_0000019,
,Rattus norvegicus,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",CHEMBL615173,10691,12971,,,,,Expert,,1,,9,10116.0,49,B,D,BAO_0000019,
,Rattus norvegicus,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",CHEMBL615174,10691,12971,,,,,Expert,,1,,9,10116.0,50,B,D,BAO_0000019,
,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),CHEMBL884518,898,13053,,,,,Autocuration,,1,,8,,51,B,H,BAO_0000019,
,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),CHEMBL615175,912,11512,,,,,Autocuration,,1,,8,,52,B,H,BAO_0000357,
,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,CHEMBL615176,912,11512,,,,,Autocuration,,1,,8,,53,B,H,BAO_0000357,
,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,CHEMBL615177,912,11512,,,,,Autocuration,,1,,8,,54,B,H,BAO_0000357,
,Rattus norvegicus,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,CHEMBL615178,15103,104740,Membranes,,,,Autocuration,,1,,5,10116.0,55,B,D,BAO_0000249,
1A9,Homo sapiens,,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,CHEMBL615179,5116,80002,,506.0,,,Intermediate,,1,,1,9606.0,56,F,N,BAO_0000219,
Oocytes,Rattus norvegicus,,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,CHEMBL615180,14578,104835,,,,,Autocuration,,1,,7,10116.0,57,F,D,BAO_0000219,
Oocytes,Rattus norvegicus,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,CHEMBL615181,14578,104821,,,,,Autocuration,,1,,7,10116.0,58,F,D,BAO_0000219,
Oocytes,Rattus norvegicus,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,CHEMBL615182,14578,104848,,,,,Autocuration,,1,,7,10116.0,59,F,D,BAO_0000219,
1A9,Homo sapiens,,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,CHEMBL615183,4787,80002,,506.0,,,Expert,,1,,1,9606.0,60,F,N,BAO_0000219,
1A9,Homo sapiens,,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,CHEMBL615184,4787,80002,,506.0,,,Intermediate,,1,,1,9606.0,61,F,N,BAO_0000219,
1A9,Homo sapiens,,,Cytotoxic activity against human ovarian cancer (1A9) cell line,CHEMBL615185,3547,80002,,506.0,,,Intermediate,,1,,1,9606.0,62,F,N,BAO_0000219,
1A9,Homo sapiens,,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,CHEMBL615186,3547,80002,,506.0,,,Intermediate,,1,,1,9606.0,63,F,N,BAO_0000219,
1A9,Homo sapiens,,,Effective dose of compound against replication of 1A9 cell line was evaluated,CHEMBL615187,6726,80002,,506.0,,,Intermediate,,1,,1,9606.0,64,F,N,BAO_0000219,
1A9,Homo sapiens,,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,CHEMBL885343,3455,80002,,506.0,,,Expert,,1,,1,9606.0,65,F,N,BAO_0000219,
1A9,Homo sapiens,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),CHEMBL615188,5726,80002,,506.0,,,Intermediate,,1,,1,9606.0,66,F,N,BAO_0000219,
1A9,Homo sapiens,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,CHEMBL615189,5726,80002,,506.0,,,Intermediate,,1,,1,9606.0,67,F,N,BAO_0000219,
1A9,Homo sapiens,,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,CHEMBL615190,5726,80002,,506.0,,,Intermediate,,1,,1,9606.0,68,F,N,BAO_0000219,
1A9,Homo sapiens,,,Inhibitory activity against Taxol resistant 1A9 cell lines,CHEMBL615191,3395,80002,,506.0,,,Intermediate,,1,,1,9606.0,69,F,N,BAO_0000219,
1A9,Homo sapiens,,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,CHEMBL615192,3415,80002,,506.0,,,Expert,,1,,1,9606.0,70,F,N,BAO_0000219,
1A9,Homo sapiens,,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,CHEMBL827083,3415,80002,,506.0,,,Expert,,1,,1,9606.0,71,F,N,BAO_0000219,
1A9,Homo sapiens,,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,CHEMBL615193,17099,80002,,506.0,,,Expert,,1,,1,9606.0,72,F,N,BAO_0000219,
1A9,Homo sapiens,,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,CHEMBL615194,17099,80002,,506.0,,,Intermediate,,1,,1,9606.0,73,F,N,BAO_0000219,
1A9,Homo sapiens,,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,CHEMBL615195,17099,80002,,506.0,,,Intermediate,,1,,1,9606.0,74,F,N,BAO_0000219,
1A9,Homo sapiens,,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,CHEMBL615196,17099,80002,,506.0,,,Intermediate,,1,,1,9606.0,75,F,N,BAO_0000219,
Jurkat,Homo sapiens,,,Inhibitory concentration against Jurkat cells,CHEMBL615197,17721,81072,,503.0,,,Intermediate,,1,,1,9606.0,76,F,N,BAO_0000219,
,,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,CHEMBL615198,1229,22226,,,,,Intermediate,,1,,0,,77,F,U,BAO_0000019,
,Rattus norvegicus,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,CHEMBL615199,11347,100121,,,,,Expert,,1,,9,10116.0,78,A,D,BAO_0000357,
,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",CHEMBL615200,17117,11231,,,,,Expert,,1,,8,,79,B,H,BAO_0000357,
,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",CHEMBL615201,17117,11231,,,,,Expert,,1,,8,,80,B,H,BAO_0000357,
,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",CHEMBL615202,17117,11231,,,,,Expert,,1,,8,,81,B,H,BAO_0000357,
,Candida albicans,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",CHEMBL615203,11375,11231,Microsomes,,,,Autocuration,,1,,8,5476.0,82,B,H,BAO_0000251,
,Candida albicans,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",CHEMBL615204,11375,11231,Microsomes,,,,Autocuration,,1,,8,5476.0,83,B,H,BAO_0000251,
,Saccharomyces cerevisiae,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",CHEMBL615205,11375,11231,Microsomes,,,,Autocuration,,1,,8,4932.0,84,B,H,BAO_0000251,
,Saccharomyces cerevisiae,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",CHEMBL615206,11375,11231,Microsomes,,,,Autocuration,,1,,8,4932.0,85,B,H,BAO_0000251,
,Sus scrofa,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",CHEMBL615207,11375,12083,Microsomes,,Liver,2107.0,Autocuration,,1,,8,9823.0,86,B,H,BAO_0000251,
,Rattus norvegicus,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",CHEMBL827084,791,11231,,,,,Autocuration,,1,,8,10116.0,87,B,H,BAO_0000019,
,Rattus norvegicus,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",CHEMBL615208,791,11231,,,,,Autocuration,,1,,8,10116.0,88,B,H,BAO_0000019,
,Rattus norvegicus,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",CHEMBL615209,791,11231,,,,,Autocuration,,1,,8,10116.0,89,B,H,BAO_0000019,
,Rattus norvegicus,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",CHEMBL615210,11375,12083,Microsomes,,Liver,2107.0,Autocuration,,1,,9,10116.0,90,B,D,BAO_0000251,
,Rattus norvegicus,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",CHEMBL615211,11375,12083,Microsomes,,Liver,2107.0,Autocuration,,1,,9,10116.0,91,B,D,BAO_0000251,
,Rattus norvegicus,,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",CHEMBL615212,153,12083,Microsomes,,Liver,2107.0,Autocuration,,1,,9,10116.0,92,B,D,BAO_0000251,
,,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),CHEMBL615213,8269,11377,,,,,Expert,,1,,8,,93,B,H,BAO_0000357,
,,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,CHEMBL615273,8269,11377,,,,,Expert,,1,,8,,94,B,H,BAO_0000357,
HepG2,Homo sapiens,,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,CHEMBL615274,17653,81020,,726.0,,,Expert,,1,,1,9606.0,95,F,N,BAO_0000219,
HepG2,Homo sapiens,,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,CHEMBL615275,14277,81020,,726.0,,,Intermediate,,1,,1,9606.0,96,F,N,BAO_0000219,
HepG2,Homo sapiens,,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,CHEMBL615276,1717,81020,,726.0,,,Intermediate,,1,,1,9606.0,97,F,N,BAO_0000219,
HepG2,Homo sapiens,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,CHEMBL615277,14091,81020,,726.0,,,Intermediate,,1,,1,9606.0,98,F,N,BAO_0000219,
HepG2,Homo sapiens,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,CHEMBL615326,14091,81020,,726.0,,,Intermediate,,1,,1,9606.0,99,F,N,BAO_0000219,
,Hepatitis B virus,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,CHEMBL883130,17653,50606,,,,,Expert,,1,,1,10407.0,100,F,N,BAO_0000218,
HepG2,Homo sapiens,,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,CHEMBL884519,13105,81020,,726.0,,,Intermediate,,1,,1,9606.0,101,F,N,BAO_0000219,
HepG2,Homo sapiens,,,Concentration required to inhibit 50% of 2.2.15 cell line,CHEMBL615327,1717,81020,,726.0,,,Intermediate,,1,,1,9606.0,102,F,N,BAO_0000219,
HepG2,Homo sapiens,,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,CHEMBL615328,13105,81020,,726.0,,,Intermediate,,1,,1,9606.0,103,A,N,BAO_0000219,
2.2.15,Homo sapiens,,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,CHEMBL615329,13600,50587,,,,,Intermediate,,1,,1,9606.0,104,F,N,BAO_0000218,
2.2.15,Homo sapiens,,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,CHEMBL615330,13467,50587,,,,,Intermediate,,1,,1,9606.0,105,F,N,BAO_0000218,
2.2.15,Hepatitis B virus,,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",CHEMBL615331,17477,50606,,,,,Expert,,1,,1,10407.0,106,F,N,BAO_0000218,
2.2.15,Homo sapiens,,,In vitro anti-HBV activity in 2.2.15 cells,CHEMBL615332,1593,50587,,,,,Intermediate,,1,,1,9606.0,107,F,N,BAO_0000218,
2.2.15,Homo sapiens,,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,CHEMBL615333,1593,50587,,,,,Intermediate,,1,,1,9606.0,108,F,N,BAO_0000218,
2.2.15,Homo sapiens,,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,CHEMBL615334,15089,50587,,,,,Intermediate,,1,,1,9606.0,109,F,N,BAO_0000218,
2.2.15,Homo sapiens,,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,CHEMBL615335,15089,50587,,,,,Intermediate,,1,,1,9606.0,110,F,N,BAO_0000218,
2.2.15,Homo sapiens,,,Cytotoxicity in 2.2.15 cells,CHEMBL615336,1593,50587,,,,,Intermediate,,1,,1,9606.0,111,F,N,BAO_0000218,
2.2.15,Homo sapiens,,,Cytotoxicity in 2.2.15 cells; Not determined,CHEMBL615337,1593,50587,,,,,Intermediate,,1,,1,9606.0,112,F,N,BAO_0000218,
2.2.15,Homo sapiens,,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,CHEMBL615338,13600,50587,,,,,Intermediate,,1,,1,9606.0,113,F,N,BAO_0000218,
2.2.15,Homo sapiens,,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,CHEMBL615339,13467,50587,,,,,Intermediate,,1,,1,9606.0,114,F,N,BAO_0000218,
2.2.15,Homo sapiens,,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,CHEMBL615340,13467,50587,,,,,Intermediate,,1,,1,9606.0,115,F,N,BAO_0000218,
HepG2,Homo sapiens,,,Antiviral activity against HBV was determined in 2.215 cell line,CHEMBL615341,14764,81020,,726.0,,,Intermediate,,1,,1,9606.0,116,F,N,BAO_0000219,
,Homo sapiens,,,Inhibition of 20-HETE synthesis in human renal microsomes,CHEMBL615342,6531,22226,Microsomes,,,,Autocuration,,1,,0,9606.0,117,B,U,BAO_0000251,
,,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,CHEMBL615343,17322,22226,,,,,Autocuration,,1,,0,,118,B,U,BAO_0000019,
2008,Homo sapiens,,,Inhibitory concentration against 2008 (ovarian) cells,CHEMBL615344,17072,80612,,388.0,,,Intermediate,,1,,1,9606.0,119,F,N,BAO_0000219,
2008,Homo sapiens,,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,CHEMBL615345,16936,80612,,388.0,,,Intermediate,,1,,1,9606.0,120,F,N,BAO_0000219,
2008,Homo sapiens,,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),CHEMBL615346,16936,80612,,388.0,,,Intermediate,,1,,1,9606.0,121,F,N,BAO_0000219,
2008,Homo sapiens,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,CHEMBL615347,17146,80612,,388.0,,,Intermediate,,1,,1,9606.0,122,F,N,BAO_0000219,
2008,Homo sapiens,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,CHEMBL615348,17146,80612,,388.0,,,Intermediate,,1,,1,9606.0,123,F,N,BAO_0000219,
2008/R,Homo sapiens,,,In vitro inhibition of 2008/R ovarian cancer cell line,CHEMBL827085,10797,80613,,561.0,,,Intermediate,,1,,1,9606.0,124,F,N,BAO_0000219,
2008/R,Homo sapiens,,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,CHEMBL615349,10797,80613,,561.0,,,Intermediate,,1,,1,9606.0,125,F,N,BAO_0000219,
2008/S,Homo sapiens,,,In vitro inhibition of 2008/S ovarian cancer cell line,CHEMBL615350,10797,80614,,389.0,,,Intermediate,,1,,1,9606.0,126,F,N,BAO_0000219,
2008/S,Homo sapiens,,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,CHEMBL615351,10797,80614,,389.0,,,Intermediate,,1,,1,9606.0,127,F,N,BAO_0000219,
,Homo sapiens,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,CHEMBL615352,4823,100256,,,,,Expert,,1,,2,9606.0,128,B,S,BAO_0000220,
,Homo sapiens,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,CHEMBL615353,12912,100256,,,,,Intermediate,,1,,2,9606.0,129,B,S,BAO_0000220,
,,,,Inhibition of chymotrypsin-like activity of 20S proteasome,CHEMBL615354,2957,100256,,,,,Expert,,1,,2,,130,B,S,BAO_0000220,
,,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,CHEMBL615355,2957,100256,,,,,Expert,,1,,2,,131,B,S,BAO_0000220,
,,,,Inhibitory activity against 20S proteosome,CHEMBL615356,3260,100256,,,,,Intermediate,,1,,2,,132,B,S,BAO_0000220,
,Homo sapiens,,,Compound was tested for inhibitory activity against tryptase,CHEMBL615357,3451,22226,,,,,Autocuration,,1,,0,9606.0,133,B,U,BAO_0000019,
HepG2,Homo sapiens,,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,CHEMBL615358,13885,81020,,726.0,,,Intermediate,,1,,1,9606.0,134,F,N,BAO_0000219,
HepG2,Homo sapiens,,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,CHEMBL827086,13885,81020,,726.0,,,Intermediate,,1,,1,9606.0,135,F,N,BAO_0000219,
,,,,Compound was tested for the inhibition of Alpha-glucosidase,CHEMBL615359,3676,22226,,,,,Autocuration,,1,,0,,136,B,U,BAO_0000019,
,,,,Inhibitory concentration against human neutrophil elastase (HNE),CHEMBL615360,6043,235,,,,,Autocuration,,1,,8,,137,B,H,BAO_0000357,
,Rattus norvegicus,,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,CHEMBL615361,11140,22226,,,Heart,948.0,Autocuration,,1,,0,10116.0,138,F,U,BAO_0000218,
