ss_d,ss_tx_d,src_ss_d,crtd_b,ss_sbclllr_frctn,td,ss_tst_tp,chmbl_d,tss_d,ss_ctgr,src_d,ss_cll_tp,rltnshp_tp,cnfdnc_scr,cll_d,b_frmt,vrnt_d
7544,10116.0,,Intermediate,,50597,In vivo,CHEMBL618665,,,1,,N,1,,BAO_0000218,
7545,10116.0,,Intermediate,,50597,,CHEMBL876498,,,1,,N,1,,BAO_0000218,
7546,10116.0,,Intermediate,,50597,,CHEMBL618666,,,1,,N,1,,BAO_0000218,
7547,10116.0,,Intermediate,,50597,,CHEMBL620440,,,1,,N,1,,BAO_0000218,
7548,10116.0,,Intermediate,,50597,,CHEMBL620441,,,1,,N,1,,BAO_0000218,
7549,10116.0,,Intermediate,,50597,,CHEMBL620442,,,1,,N,1,,BAO_0000218,
7550,10116.0,,Intermediate,,50597,In vivo,CHEMBL620443,,,1,,N,1,,BAO_0000218,
7551,10116.0,,Intermediate,,50597,In vivo,CHEMBL620444,,,1,,N,1,,BAO_0000218,
7552,10116.0,,Intermediate,,50597,In vivo,CHEMBL620445,,,1,,N,1,,BAO_0000218,
7553,10116.0,,Intermediate,,50597,In vivo,CHEMBL620446,,,1,,N,1,,BAO_0000218,
7554,10116.0,,Intermediate,,50597,,CHEMBL620447,1969.0,,1,,N,1,,BAO_0000218,
7555,10116.0,,Intermediate,,50597,,CHEMBL621129,1969.0,,1,,N,1,,BAO_0000218,
7556,10116.0,,Intermediate,,50597,,CHEMBL621130,1969.0,,1,,N,1,,BAO_0000218,
7557,10116.0,,Intermediate,,50597,In vivo,CHEMBL873808,,,1,,N,1,,BAO_0000218,
7558,10116.0,,Intermediate,,50597,In vivo,CHEMBL876598,,,1,,N,1,,BAO_0000218,
7559,10116.0,,Intermediate,,50597,In vivo,CHEMBL621131,,,1,,N,1,,BAO_0000218,
7560,10116.0,,Intermediate,,50597,In vivo,CHEMBL621132,,,1,,N,1,,BAO_0000218,
7561,10116.0,,Intermediate,,50597,In vivo,CHEMBL621133,,,1,,N,1,,BAO_0000218,
7562,10116.0,,Expert,,50597,In vivo,CHEMBL621312,,,1,,N,1,,BAO_0000218,
7563,10116.0,,Intermediate,,50597,,CHEMBL621313,,,1,,N,1,,BAO_0000218,
7564,10116.0,,Intermediate,,50597,,CHEMBL621314,178.0,,1,,N,1,,BAO_0000218,
7565,10116.0,,Intermediate,,50597,In vivo,CHEMBL621315,,,1,,N,1,,BAO_0000218,
7566,10116.0,,Intermediate,,50597,In vivo,CHEMBL621316,,,1,,N,1,,BAO_0000218,
7567,10116.0,,Intermediate,,50597,,CHEMBL621317,,,1,,N,1,,BAO_0000218,
7568,10116.0,,Intermediate,,50597,,CHEMBL621318,,,1,,N,1,,BAO_0000218,
7569,10116.0,,Intermediate,,50597,In vivo,CHEMBL621319,,,1,,N,1,,BAO_0000218,
7570,10116.0,,Intermediate,,50597,In vivo,CHEMBL621377,,,1,,N,1,,BAO_0000218,
7571,10116.0,,Intermediate,,50597,,CHEMBL621378,,,1,,N,1,,BAO_0000218,
7572,10116.0,,Intermediate,,50597,In vivo,CHEMBL876599,,,1,,N,1,,BAO_0000218,
7573,10116.0,,Intermediate,,50597,In vivo,CHEMBL621379,,,1,,N,1,,BAO_0000218,
7574,10116.0,,Intermediate,,50597,,CHEMBL621380,1969.0,,1,,N,1,,BAO_0000218,
7575,10116.0,,Intermediate,,50597,,CHEMBL621381,1969.0,,1,,N,1,,BAO_0000218,
7576,10116.0,,Intermediate,,50597,,CHEMBL618515,,,1,,N,1,,BAO_0000218,
7577,10116.0,,Intermediate,,50597,In vivo,CHEMBL618516,,,1,,N,1,,BAO_0000218,
7578,10116.0,,Intermediate,,50597,In vivo,CHEMBL618517,,,1,,N,1,,BAO_0000218,
7579,10116.0,,Intermediate,,50597,,CHEMBL618518,,,1,,N,1,,BAO_0000218,
7580,10116.0,,Intermediate,,50597,In vivo,CHEMBL618519,,,1,,N,1,,BAO_0000218,
7581,10116.0,,Intermediate,,50597,In vivo,CHEMBL618698,,,1,,N,1,,BAO_0000218,
7582,10116.0,,Intermediate,,50597,In vivo,CHEMBL618862,,,1,,N,1,,BAO_0000218,
7583,10116.0,,Intermediate,,50597,In vivo,CHEMBL618863,,,1,,N,1,,BAO_0000218,
7584,10116.0,,Intermediate,,50597,In vivo,CHEMBL618864,,,1,,N,1,,BAO_0000218,
7585,10116.0,,Intermediate,,50597,In vivo,CHEMBL618865,,,1,,N,1,,BAO_0000218,
7586,10116.0,,Intermediate,,50597,In vivo,CHEMBL618866,,,1,,N,1,,BAO_0000218,
7587,10116.0,,Intermediate,,50597,In vivo,CHEMBL618867,,,1,,N,1,,BAO_0000218,
7588,10116.0,,Intermediate,,50597,,CHEMBL875828,,,1,,N,1,,BAO_0000218,
7589,10116.0,,Intermediate,,50597,In vivo,CHEMBL618868,,,1,,N,1,,BAO_0000218,
7590,10116.0,,Intermediate,,50597,,CHEMBL618869,,,1,,N,1,,BAO_0000218,
7591,10116.0,,Intermediate,,50597,In vivo,CHEMBL618870,,,1,,N,1,,BAO_0000218,
7592,10116.0,,Intermediate,,50597,,CHEMBL618871,1969.0,,1,,N,1,,BAO_0000218,
7593,10116.0,,Intermediate,,50597,,CHEMBL618872,1969.0,,1,,N,1,,BAO_0000218,
7594,10116.0,,Intermediate,,50597,,CHEMBL873816,,,1,,N,1,,BAO_0000218,
7595,,,Autocuration,,22224,,CHEMBL618873,,,1,,U,0,,BAO_0000218,
7596,,,Autocuration,,22224,,CHEMBL621602,,,1,,U,0,,BAO_0000019,
7597,,,Autocuration,,22224,,CHEMBL621603,,,1,,U,0,,BAO_0000218,
7598,,,Autocuration,,22224,,CHEMBL621604,,,1,,U,0,,BAO_0000218,
7599,,,Autocuration,,22224,,CHEMBL621605,,,1,,U,0,,BAO_0000218,
7600,,,Autocuration,,22224,,CHEMBL621606,,,1,,U,0,,BAO_0000218,
7601,,,Autocuration,,22224,,CHEMBL621607,,,1,,U,0,,BAO_0000218,
7602,,,Autocuration,,22224,,CHEMBL621608,,,1,,U,0,,BAO_0000218,
7603,,,Autocuration,,22224,,CHEMBL621609,,,1,,U,0,,BAO_0000019,
7604,,,Autocuration,,22224,,CHEMBL621610,,,1,,U,0,,BAO_0000218,
7605,10116.0,,Intermediate,,50597,,CHEMBL621611,,,1,,N,1,,BAO_0000218,
7606,10116.0,,Intermediate,,50597,,CHEMBL621612,,,1,,N,1,,BAO_0000218,
7607,10116.0,,Intermediate,,50597,,CHEMBL622308,,,1,,N,1,,BAO_0000218,
7608,10116.0,,Intermediate,,50597,,CHEMBL622309,,,1,,N,1,,BAO_0000218,
7609,10116.0,,Intermediate,,50597,,CHEMBL622310,,,1,,N,1,,BAO_0000218,
7610,10116.0,,Intermediate,,50597,,CHEMBL622311,,,1,,N,1,,BAO_0000218,
7611,10116.0,,Intermediate,,50597,,CHEMBL622312,,,1,,N,1,,BAO_0000218,
7612,10116.0,,Intermediate,,50597,,CHEMBL622931,,,1,,N,1,,BAO_0000218,
7613,10116.0,,Intermediate,,50597,,CHEMBL622932,,,1,,N,1,,BAO_0000218,
7614,10116.0,,Intermediate,,50597,,CHEMBL622736,1969.0,,1,,N,1,,BAO_0000218,
7615,10116.0,,Intermediate,,50597,,CHEMBL622737,1969.0,,1,,N,1,,BAO_0000218,
7616,10116.0,,Intermediate,,50597,,CHEMBL622738,1969.0,,1,,N,1,,BAO_0000218,
7617,10116.0,,Intermediate,,50597,,CHEMBL622739,1969.0,,1,,N,1,,BAO_0000218,
7618,10116.0,,Intermediate,,50597,,CHEMBL622740,1969.0,,1,,N,1,,BAO_0000218,
7619,10116.0,,Intermediate,,50597,,CHEMBL622741,1969.0,,1,,N,1,,BAO_0000218,
7620,10116.0,,Intermediate,,50597,,CHEMBL622742,1969.0,,1,,N,1,,BAO_0000218,
7621,10116.0,,Intermediate,,50597,,CHEMBL622743,1969.0,,1,,N,1,,BAO_0000218,
7622,10090.0,,Intermediate,,50594,,CHEMBL622744,1969.0,,1,,N,1,,BAO_0000218,
7623,,,Autocuration,,22224,,CHEMBL624134,,,1,,U,0,,BAO_0000019,
7624,,,Autocuration,,22224,,CHEMBL624135,,,1,,U,0,,BAO_0000019,
7625,10116.0,,Intermediate,,50597,,CHEMBL624136,,,1,,N,1,,BAO_0000218,
7626,10116.0,,Intermediate,,50597,,CHEMBL624137,,,1,,N,1,,BAO_0000218,
7627,10116.0,,Intermediate,,50597,,CHEMBL624320,,,1,,N,1,,BAO_0000218,
7628,9615.0,,Intermediate,,50588,,CHEMBL624321,,,1,,N,1,,BAO_0000218,
7629,10116.0,,Intermediate,,50597,,CHEMBL624322,,,1,,N,1,,BAO_0000218,
7630,10116.0,,Intermediate,,50597,,CHEMBL624323,,,1,,N,1,,BAO_0000218,
7631,10116.0,,Intermediate,,50597,,CHEMBL624324,,,1,,N,1,,BAO_0000218,
7632,10116.0,,Intermediate,,50597,,CHEMBL624325,,,1,,N,1,,BAO_0000218,
7633,10116.0,,Intermediate,,50597,,CHEMBL624326,,,1,,N,1,,BAO_0000218,
7634,10116.0,,Intermediate,,50597,,CHEMBL624327,,,1,,N,1,,BAO_0000218,
7635,10116.0,,Intermediate,,50597,,CHEMBL624328,,,1,,N,1,,BAO_0000218,
7636,9615.0,,Intermediate,,50588,,CHEMBL627848,,,1,,N,1,,BAO_0000218,
7637,10116.0,,Intermediate,,50597,,CHEMBL627849,,,1,,N,1,,BAO_0000218,
7638,10116.0,,Intermediate,,50597,,CHEMBL627850,,,1,,N,1,,BAO_0000218,
7639,10116.0,,Intermediate,,50597,,CHEMBL627851,,,1,,N,1,,BAO_0000218,
7640,10090.0,,Intermediate,,50594,,CHEMBL627852,,,1,,N,1,,BAO_0000218,
7641,10090.0,,Intermediate,,50594,,CHEMBL627853,,,1,,N,1,,BAO_0000218,
7642,10090.0,,Intermediate,,50594,,CHEMBL627854,,,1,,N,1,,BAO_0000218,
7643,10090.0,,Intermediate,,50594,,CHEMBL627855,,,1,,N,1,,BAO_0000218,
7644,10090.0,,Intermediate,,50594,,CHEMBL627856,,,1,,N,1,,BAO_0000218,
7645,10090.0,,Intermediate,,50594,,CHEMBL875339,,,1,,N,1,,BAO_0000218,
7646,10090.0,,Intermediate,,50594,,CHEMBL627857,,,1,,N,1,,BAO_0000218,
7647,10116.0,,Intermediate,,50597,In vivo,CHEMBL627858,2106.0,,1,,N,1,,BAO_0000218,
7648,10116.0,,Intermediate,,50597,,CHEMBL627859,178.0,,1,,N,1,,BAO_0000218,
7649,10116.0,,Intermediate,,50597,,CHEMBL627860,955.0,,1,,N,1,,BAO_0000218,
7650,10116.0,,Intermediate,,50597,,CHEMBL627019,948.0,,1,,N,1,,BAO_0000218,
7651,10116.0,,Intermediate,,50597,,CHEMBL627020,2107.0,,1,,N,1,,BAO_0000218,
7652,10116.0,,Intermediate,,50597,,CHEMBL627021,2048.0,,1,,N,1,,BAO_0000218,
7653,10116.0,,Intermediate,,50597,,CHEMBL627022,2385.0,,1,,N,1,,BAO_0000218,
7654,10116.0,,Intermediate,,50597,,CHEMBL627023,,,1,,N,1,,BAO_0000218,
7655,10116.0,,Intermediate,,50597,,CHEMBL627024,2106.0,,1,,N,1,,BAO_0000218,
7656,10116.0,,Intermediate,,50597,,CHEMBL627025,2046.0,,1,,N,1,,BAO_0000218,
7657,10116.0,,Intermediate,,50597,,CHEMBL627026,2113.0,,1,,N,1,,BAO_0000218,
7658,10116.0,,Intermediate,,50597,,CHEMBL627027,178.0,,1,,N,1,,BAO_0000218,
7659,10116.0,,Intermediate,,50597,,CHEMBL627028,955.0,,1,,N,1,,BAO_0000218,
7660,10116.0,,Intermediate,,50597,,CHEMBL627029,948.0,,1,,N,1,,BAO_0000218,
7661,10116.0,,Intermediate,,50597,,CHEMBL627030,2113.0,,1,,N,1,,BAO_0000218,
7662,10116.0,,Intermediate,,50597,,CHEMBL627031,2107.0,,1,,N,1,,BAO_0000218,
7663,10116.0,,Intermediate,,50597,,CHEMBL627032,2048.0,,1,,N,1,,BAO_0000218,
7664,10116.0,,Intermediate,,50597,,CHEMBL627033,2385.0,,1,,N,1,,BAO_0000218,
7665,10116.0,,Intermediate,,50597,,CHEMBL627034,,,1,,N,1,,BAO_0000218,
7666,10116.0,,Intermediate,,50597,,CHEMBL627035,2106.0,,1,,N,1,,BAO_0000218,
7667,10116.0,,Intermediate,,50597,,CHEMBL627036,2046.0,,1,,N,1,,BAO_0000218,
7668,10116.0,,Intermediate,,50597,,CHEMBL875340,178.0,,1,,N,1,,BAO_0000218,
7669,10116.0,,Intermediate,,50597,,CHEMBL627037,948.0,,1,,N,1,,BAO_0000218,
7670,10116.0,,Intermediate,,50597,,CHEMBL627038,2113.0,,1,,N,1,,BAO_0000218,
7671,10116.0,,Intermediate,,50597,,CHEMBL627039,2107.0,,1,,N,1,,BAO_0000218,
7672,10116.0,,Intermediate,,50597,,CHEMBL627040,2385.0,,1,,N,1,,BAO_0000218,
7673,10116.0,,Intermediate,,50597,,CHEMBL624663,2106.0,,1,,N,1,,BAO_0000218,
7674,10116.0,,Intermediate,,50597,,CHEMBL625963,2046.0,,1,,N,1,,BAO_0000218,
7675,10116.0,,Intermediate,,50597,,CHEMBL876799,955.0,,1,,N,1,,BAO_0000218,
7676,10116.0,,Intermediate,,50597,,CHEMBL626133,2048.0,,1,,N,1,,BAO_0000218,
7677,10116.0,,Intermediate,,50597,,CHEMBL626134,,,1,,N,1,,BAO_0000218,
7678,10116.0,,Intermediate,,50597,,CHEMBL626135,,,1,,N,1,,BAO_0000218,
7679,10116.0,,Intermediate,,50597,,CHEMBL626136,,,1,,N,1,,BAO_0000218,
7680,10116.0,,Intermediate,,50597,,CHEMBL626137,,,1,,N,1,,BAO_0000218,
7681,10116.0,,Intermediate,,50597,,CHEMBL626138,,,1,,N,1,,BAO_0000218,
7682,10116.0,,Intermediate,,50597,,CHEMBL626139,,,1,,N,1,,BAO_0000218,
7683,10116.0,,Intermediate,,50597,In vivo,CHEMBL626140,,,1,,N,1,,BAO_0000218,
7684,10116.0,,Intermediate,,50597,In vivo,CHEMBL626141,,,1,,N,1,,BAO_0000218,
7685,10116.0,,Intermediate,,50597,,CHEMBL626142,,,1,,N,1,,BAO_0000218,
7686,10116.0,,Intermediate,,50597,In vivo,CHEMBL627930,2385.0,,1,,N,1,,BAO_0000218,
7687,10116.0,,Intermediate,,50597,In vivo,CHEMBL627931,2385.0,,1,,N,1,,BAO_0000218,
7688,10116.0,,Intermediate,,50597,In vivo,CHEMBL627932,2385.0,,1,,N,1,,BAO_0000218,
7689,10116.0,,Intermediate,,50597,In vivo,CHEMBL627933,2106.0,,1,,N,1,,BAO_0000218,
7690,10116.0,,Intermediate,,50597,In vivo,CHEMBL627934,2106.0,,1,,N,1,,BAO_0000218,
7691,10116.0,,Intermediate,,50597,In vivo,CHEMBL627935,2106.0,,1,,N,1,,BAO_0000218,
7692,10116.0,,Intermediate,,50597,In vivo,CHEMBL627936,178.0,,1,,N,1,,BAO_0000218,
7693,10116.0,,Intermediate,,50597,In vivo,CHEMBL627937,178.0,,1,,N,1,,BAO_0000218,
7694,10116.0,,Intermediate,,50597,In vivo,CHEMBL627938,178.0,,1,,N,1,,BAO_0000218,
7695,10116.0,,Intermediate,,50597,In vivo,CHEMBL627939,178.0,,1,,N,1,,BAO_0000218,
7696,10116.0,,Intermediate,,50597,In vivo,CHEMBL627940,178.0,,1,,N,1,,BAO_0000218,
7697,10116.0,,Intermediate,,50597,In vivo,CHEMBL627941,178.0,,1,,N,1,,BAO_0000218,
7698,10116.0,,Intermediate,,50597,In vivo,CHEMBL876800,178.0,,1,,N,1,,BAO_0000218,
7699,10116.0,,Intermediate,,50597,In vivo,CHEMBL627942,178.0,,1,,N,1,,BAO_0000218,
7700,10116.0,,Intermediate,,50597,In vivo,CHEMBL627943,178.0,,1,,N,1,,BAO_0000218,
7701,10116.0,,Intermediate,,50597,In vivo,CHEMBL627944,178.0,,1,,N,1,,BAO_0000218,
7702,10116.0,,Intermediate,,50597,In vivo,CHEMBL627945,178.0,,1,,N,1,,BAO_0000218,
7703,10116.0,,Intermediate,,50597,In vivo,CHEMBL628584,178.0,,1,,N,1,,BAO_0000218,
7704,10116.0,,Intermediate,,50597,In vivo,CHEMBL628585,178.0,,1,,N,1,,BAO_0000218,
7705,10116.0,,Intermediate,,50597,In vivo,CHEMBL628586,178.0,,1,,N,1,,BAO_0000218,
7706,10116.0,,Intermediate,,50597,In vivo,CHEMBL628587,178.0,,1,,N,1,,BAO_0000218,
7707,10116.0,,Intermediate,,50597,In vivo,CHEMBL628588,178.0,,1,,N,1,,BAO_0000218,
7708,10116.0,,Intermediate,,50597,In vivo,CHEMBL628589,178.0,,1,,N,1,,BAO_0000218,
7709,10116.0,,Intermediate,,50597,In vivo,CHEMBL625304,178.0,,1,,N,1,,BAO_0000218,
7710,10116.0,,Intermediate,,50597,In vivo,CHEMBL625305,178.0,,1,,N,1,,BAO_0000218,
7711,10116.0,,Intermediate,,50597,In vivo,CHEMBL625306,178.0,,1,,N,1,,BAO_0000218,
7712,10116.0,,Intermediate,,50597,In vivo,CHEMBL625307,178.0,,1,,N,1,,BAO_0000218,
7713,10116.0,,Intermediate,,50597,In vivo,CHEMBL625308,178.0,,1,,N,1,,BAO_0000218,
7714,10116.0,,Intermediate,,50597,In vivo,CHEMBL627740,178.0,,1,,N,1,,BAO_0000218,
7715,10116.0,,Intermediate,,50597,In vivo,CHEMBL627741,178.0,,1,,N,1,,BAO_0000218,
7716,10116.0,,Intermediate,,50597,In vivo,CHEMBL627742,178.0,,1,,N,1,,BAO_0000218,
7717,10116.0,,Intermediate,,50597,In vivo,CHEMBL627743,178.0,,1,,N,1,,BAO_0000218,
7718,10116.0,,Intermediate,,50597,In vivo,CHEMBL627744,178.0,,1,,N,1,,BAO_0000218,
7719,10116.0,,Intermediate,,50597,In vivo,CHEMBL627745,10000001.0,,1,,N,1,,BAO_0000218,
7720,10116.0,,Intermediate,,50597,In vivo,CHEMBL627746,10000001.0,,1,,N,1,,BAO_0000218,
7721,10116.0,,Intermediate,,50597,In vivo,CHEMBL627747,10000001.0,,1,,N,1,,BAO_0000218,
7722,10116.0,,Intermediate,,50597,In vivo,CHEMBL876810,10000001.0,,1,,N,1,,BAO_0000218,
7723,10116.0,,Intermediate,,50597,In vivo,CHEMBL627748,10000001.0,,1,,N,1,,BAO_0000218,
7724,10116.0,,Intermediate,,50597,In vivo,CHEMBL627749,10000001.0,,1,,N,1,,BAO_0000218,
7725,10116.0,,Intermediate,,50597,In vivo,CHEMBL627750,10000001.0,,1,,N,1,,BAO_0000218,
7726,10116.0,,Intermediate,,50597,In vivo,CHEMBL618728,10000001.0,,1,,N,1,,BAO_0000218,
7727,10116.0,,Intermediate,,50597,In vivo,CHEMBL618729,10000001.0,,1,,N,1,,BAO_0000218,
7728,10116.0,,Intermediate,,50597,In vivo,CHEMBL618730,10000001.0,,1,,N,1,,BAO_0000218,
7729,10116.0,,Intermediate,,50597,In vivo,CHEMBL618731,10000001.0,,1,,N,1,,BAO_0000218,
7730,10116.0,,Intermediate,,50597,In vivo,CHEMBL618732,10000001.0,,1,,N,1,,BAO_0000218,
7731,10116.0,,Intermediate,,50597,In vivo,CHEMBL618733,10000001.0,,1,,N,1,,BAO_0000218,
7732,10116.0,,Intermediate,,50597,In vivo,CHEMBL618734,10000001.0,,1,,N,1,,BAO_0000218,
7733,10116.0,,Intermediate,,50597,In vivo,CHEMBL618735,10000001.0,,1,,N,1,,BAO_0000218,
7734,10116.0,,Intermediate,,50597,In vivo,CHEMBL876602,10000001.0,,1,,N,1,,BAO_0000218,
7735,10116.0,,Intermediate,,50597,In vivo,CHEMBL618736,10000001.0,,1,,N,1,,BAO_0000218,
7736,10116.0,,Intermediate,,50597,In vivo,CHEMBL618737,10000001.0,,1,,N,1,,BAO_0000218,
7737,10116.0,,Intermediate,,50597,In vivo,CHEMBL618738,10000001.0,,1,,N,1,,BAO_0000218,
7738,10116.0,,Intermediate,,50597,In vivo,CHEMBL618739,10000001.0,,1,,N,1,,BAO_0000218,
7739,10116.0,,Intermediate,,50597,In vivo,CHEMBL618740,10000001.0,,1,,N,1,,BAO_0000218,
7740,10116.0,,Intermediate,,50597,In vivo,CHEMBL618741,10000001.0,,1,,N,1,,BAO_0000218,
7741,10116.0,,Intermediate,,50597,In vivo,CHEMBL618742,10000001.0,,1,,N,1,,BAO_0000218,
7742,10116.0,,Intermediate,,50597,In vivo,CHEMBL618743,10000001.0,,1,,N,1,,BAO_0000218,
7743,10116.0,,Intermediate,,50597,In vivo,CHEMBL618744,1969.0,,1,,N,1,,BAO_0000218,
7744,10116.0,,Intermediate,,50597,,CHEMBL618745,,,1,,N,1,,BAO_0000218,
7745,10116.0,,Intermediate,,50597,In vivo,CHEMBL620479,,,1,,N,1,,BAO_0000218,
7746,10116.0,,Intermediate,,50597,In vivo,CHEMBL620480,,,1,,N,1,,BAO_0000218,
7747,10116.0,,Intermediate,,50597,In vivo,CHEMBL620481,,,1,,N,1,,BAO_0000218,
7748,10116.0,,Intermediate,,50597,,CHEMBL620482,,,1,,N,1,,BAO_0000218,
7749,10116.0,,Intermediate,,50597,,CHEMBL876603,,,1,,N,1,,BAO_0000218,
7750,10116.0,,Intermediate,,50597,In vivo,CHEMBL620483,,,1,,N,1,,BAO_0000218,
7751,10116.0,,Intermediate,,50597,In vivo,CHEMBL620484,,,1,,N,1,,BAO_0000218,
7752,10116.0,,Intermediate,,50597,In vivo,CHEMBL620485,,,1,,N,1,,BAO_0000218,
7753,10116.0,,Intermediate,,50597,In vivo,CHEMBL620486,,,1,,N,1,,BAO_0000218,
7754,10116.0,,Intermediate,,50597,In vivo,CHEMBL620487,,,1,,N,1,,BAO_0000218,
7755,10116.0,,Intermediate,,50597,In vivo,CHEMBL620488,,,1,,N,1,,BAO_0000218,
7756,10116.0,,Intermediate,,50597,In vivo,CHEMBL620489,,,1,,N,1,,BAO_0000218,
7757,10116.0,,Intermediate,,50597,In vivo,CHEMBL620490,,,1,,N,1,,BAO_0000218,
7758,10116.0,,Intermediate,,50597,In vivo,CHEMBL620491,,,1,,N,1,,BAO_0000218,
7759,10116.0,,Intermediate,,50597,In vivo,CHEMBL876604,1969.0,,1,,N,1,,BAO_0000218,
7760,10116.0,,Intermediate,,50597,In vivo,CHEMBL620492,,,1,,N,1,,BAO_0000218,
7761,10116.0,,Intermediate,,50597,In vivo,CHEMBL620493,,,1,,N,1,,BAO_0000218,
7762,10116.0,,Intermediate,,50597,In vivo,CHEMBL620494,,,1,,N,1,,BAO_0000218,
7763,10116.0,,Intermediate,,50597,,CHEMBL620495,1969.0,,1,,N,1,,BAO_0000218,
7764,10116.0,,Intermediate,,50597,In vivo,CHEMBL620496,1969.0,,1,,N,1,,BAO_0000218,
7765,10116.0,,Intermediate,,50597,In vivo,CHEMBL620497,1969.0,,1,,N,1,,BAO_0000218,
7766,10116.0,,Intermediate,,50597,,CHEMBL620498,1969.0,,1,,N,1,,BAO_0000218,
7767,10116.0,,Intermediate,,50597,In vivo,CHEMBL620499,1969.0,,1,,N,1,,BAO_0000218,
7768,10116.0,,Intermediate,,50597,,CHEMBL620500,1969.0,,1,,N,1,,BAO_0000218,
7769,10116.0,,Intermediate,,50597,In vivo,CHEMBL873809,1969.0,,1,,N,1,,BAO_0000218,
7770,10116.0,,Intermediate,,50597,In vivo,CHEMBL620501,,,1,,N,1,,BAO_0000218,
7771,10116.0,,Intermediate,,50597,In vivo,CHEMBL620502,,,1,,N,1,,BAO_0000218,
7772,10116.0,,Intermediate,,50597,In vivo,CHEMBL620503,,,1,,N,1,,BAO_0000218,
7773,10116.0,,Intermediate,,50597,In vivo,CHEMBL620504,,,1,,N,1,,BAO_0000218,
7774,10116.0,,Intermediate,,50597,In vivo,CHEMBL876605,,,1,,N,1,,BAO_0000218,
7775,10116.0,,Intermediate,,50597,In vivo,CHEMBL620505,,,1,,N,1,,BAO_0000218,
7776,10116.0,,Intermediate,,50597,In vivo,CHEMBL873811,1969.0,,1,,N,1,,BAO_0000218,
7777,10116.0,,Expert,,50597,In vivo,CHEMBL624016,,,1,,N,1,,BAO_0000218,
7778,10116.0,,Intermediate,,50597,,CHEMBL624017,,,1,,N,1,,BAO_0000218,
7779,10116.0,,Intermediate,,50597,,CHEMBL624018,,,1,,N,1,,BAO_0000218,
7780,10116.0,,Intermediate,,50597,,CHEMBL624019,,,1,,N,1,,BAO_0000218,
7781,10116.0,,Intermediate,,50597,In vivo,CHEMBL624020,955.0,,1,,N,1,,BAO_0000218,
7782,10116.0,,Intermediate,,50597,In vivo,CHEMBL624201,,,1,,N,1,,BAO_0000218,
7783,10116.0,,Intermediate,,50597,In vivo,CHEMBL872528,,,1,,N,1,,BAO_0000218,
7784,10116.0,,Intermediate,,50597,In vivo,CHEMBL624202,,,1,,N,1,,BAO_0000218,
7785,10116.0,,Intermediate,,50597,In vivo,CHEMBL624203,,,1,,N,1,,BAO_0000218,
7786,10116.0,,Intermediate,,50597,In vivo,CHEMBL624350,,,1,,N,1,,BAO_0000218,
7787,10116.0,,Intermediate,,50597,In vivo,CHEMBL621320,,,1,,N,1,,BAO_0000218,
7788,10116.0,,Intermediate,,50597,In vivo,CHEMBL621321,,,1,,N,1,,BAO_0000218,
7789,10116.0,,Intermediate,,50597,,CHEMBL621322,,,1,,N,1,,BAO_0000218,
