confidence_score,assay_strain,src_id,cell_id,assay_tax_id,assay_id,assay_category,assay_test_type,assay_type,tissue_id,src_assay_id,variant_id,assay_organism,assay_cell_type,relationship_type,chembl_id,bao_format,description,doc_id,assay_subcellular_fraction,assay_tissue,tid,curated_by
1,,1,,1280.0,13,,,F,,,,Staphylococcus aureus,,N,CHEMBL857900,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",11324,,,50185,Intermediate
1,,1,,1280.0,14,,,F,,,,Staphylococcus aureus,,N,CHEMBL615129,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",11324,,,50185,Intermediate
1,,1,,1280.0,15,,,F,,,,Staphylococcus aureus,,N,CHEMBL615130,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",11324,,,50185,Intermediate
1,,1,,1280.0,16,,,F,,,,Staphylococcus aureus,,N,CHEMBL615131,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",11324,,,50185,Intermediate
9,,1,,10116.0,17,,,A,,,,Rattus norvegicus,,D,CHEMBL884521,BAO_0000357,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,11347,,,100122,Expert
8,,1,,,18,,,B,,,,,,H,CHEMBL615132,BAO_0000357,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),16474,,,12054,Autocuration
8,,1,,,19,,,B,,,,,,H,CHEMBL615133,BAO_0000019,Inhibition of partially purified 15-lipoxygenase from human leukocytes,10091,,,12054,Autocuration
8,,1,,,20,,,B,,,,,,H,CHEMBL615134,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),16474,,,12054,Autocuration
8,,1,,,21,,,B,,,,,,H,CHEMBL615135,BAO_0000357,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),16474,,,12054,Autocuration
8,,1,,,22,,,B,,,,,,H,CHEMBL615136,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),16474,,,12054,Autocuration
8,,1,,,23,,,B,,,,,,H,CHEMBL615137,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,16474,,,12054,Autocuration
8,,1,,,24,,,B,,,,,,H,CHEMBL615138,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,16474,,,12054,Autocuration
0,,1,,,25,,,B,,,,,,U,CHEMBL836324,BAO_0000219,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",14352,,,22226,Autocuration
8,,1,,9986.0,26,,,B,,,,Oryctolagus cuniculus,,H,CHEMBL615139,BAO_0000357,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,5646,,,12054,Autocuration
8,,1,,9986.0,27,,,B,,,,Oryctolagus cuniculus,,H,CHEMBL615140,BAO_0000357,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),5646,,,12054,Autocuration
8,,1,,,28,,,B,,,,,,H,CHEMBL615141,BAO_0000219,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,10997,,,12426,Autocuration
8,,1,,3847.0,29,,,B,,,,soya bean,,H,CHEMBL615142,BAO_0000357,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,6309,,,12054,Autocuration
8,,1,,3847.0,30,,,B,,,,Glycine max,,H,CHEMBL615143,BAO_0000357,Inhibitory activity against soybean 15-lipoxygenase was evaluated,167,,,12054,Autocuration
8,,1,,3847.0,31,,,B,,,,Glycine max,,H,CHEMBL615144,BAO_0000357,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,167,,,12054,Autocuration
8,,1,,3847.0,32,,,B,,,,Glycine max,,H,CHEMBL872867,BAO_0000357,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,11087,,,12054,Autocuration
8,,1,,3847.0,33,,,B,,,,Glycine max,,H,CHEMBL615145,BAO_0000357,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,11087,,,12054,Autocuration
8,,1,,3847.0,34,,,B,,,,Glycine max,,H,CHEMBL615146,BAO_0000357,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,13622,,,12054,Autocuration
8,,1,,3847.0,35,,,B,,,,Glycine max,,H,CHEMBL615147,BAO_0000357,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,13622,,,12054,Autocuration
0,,1,,10116.0,36,,,A,,,,Rattus norvegicus,,U,CHEMBL615148,BAO_0000019,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,11347,,,22226,Autocuration
0,,1,,562.0,37,,,B,,,,Escherichia coli,,U,CHEMBL615149,BAO_0000019,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,5926,,,22226,Autocuration
0,,1,,,38,,,B,,,,,,U,CHEMBL615150,BAO_0000019,Dissociation constant with dimeric 16S rRNA RNA construct B,4567,,,22226,Autocuration
3,,1,,,39,,,B,,,,,,M,CHEMBL615151,BAO_0000225,Dissociation constant towards 16S rRNA construct A,3782,,,22222,Intermediate
3,,1,,,40,,,B,,,,,,M,CHEMBL615152,BAO_0000225,Dissociation constant towards 16S rRNA construct B,3782,,,22222,Intermediate
3,,1,,562.0,41,,,B,,,,Escherichia coli,,M,CHEMBL615153,BAO_0000225,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,4466,,,100263,Expert
3,,1,,562.0,42,,,B,,,,Escherichia coli,,M,CHEMBL615154,BAO_0000225,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,6592,,,100263,Expert
8,,1,,,43,,,B,,,,,,H,CHEMBL615155,BAO_0000019,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),898,,,13053,Autocuration
8,,1,,,44,,,B,,,,,,H,CHEMBL615156,BAO_0000019,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),898,,,13053,Autocuration
8,,1,,9606.0,45,,,B,,,,Homo sapiens,,H,CHEMBL615157,BAO_0000019,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,13163,,,20001,Autocuration
8,,1,,9606.0,46,,,B,,,,Homo sapiens,,H,CHEMBL615158,BAO_0000019,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,13163,,,20001,Autocuration
9,,1,,10116.0,47,,,B,,,,Rattus norvegicus,,D,CHEMBL615159,BAO_0000019,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",10691,,,12971,Expert
9,,1,,10116.0,48,,,B,,,,Rattus norvegicus,,D,CHEMBL615172,BAO_0000019,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",10691,,,12971,Expert
9,,1,,10116.0,49,,,B,,,,Rattus norvegicus,,D,CHEMBL615173,BAO_0000019,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",10691,,,12971,Expert
9,,1,,10116.0,50,,,B,,,,Rattus norvegicus,,D,CHEMBL615174,BAO_0000019,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",10691,,,12971,Expert
8,,1,,,51,,,B,,,,,,H,CHEMBL884518,BAO_0000019,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),898,,,13053,Autocuration
8,,1,,,52,,,B,,,,,,H,CHEMBL615175,BAO_0000357,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),912,,,11512,Autocuration
8,,1,,,53,,,B,,,,,,H,CHEMBL615176,BAO_0000357,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,912,,,11512,Autocuration
8,,1,,,54,,,B,,,,,,H,CHEMBL615177,BAO_0000357,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,912,,,11512,Autocuration
5,,1,,10116.0,55,,,B,,,,Rattus norvegicus,,D,CHEMBL615178,BAO_0000249,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,15103,Membranes,,104740,Autocuration
1,,1,506.0,9606.0,56,,,F,,,,Homo sapiens,1A9,N,CHEMBL615179,BAO_0000219,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,5116,,,80002,Intermediate
7,,1,,10116.0,57,,,F,,,,Rattus norvegicus,Oocytes,D,CHEMBL615180,BAO_0000219,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,14578,,,104835,Autocuration
7,,1,,10116.0,58,,,F,,,,Rattus norvegicus,Oocytes,D,CHEMBL615181,BAO_0000219,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,14578,,,104821,Autocuration
7,,1,,10116.0,59,,,F,,,,Rattus norvegicus,Oocytes,D,CHEMBL615182,BAO_0000219,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,14578,,,104848,Autocuration
1,,1,506.0,9606.0,60,,,F,,,,Homo sapiens,1A9,N,CHEMBL615183,BAO_0000219,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,4787,,,80002,Expert
1,,1,506.0,9606.0,61,,,F,,,,Homo sapiens,1A9,N,CHEMBL615184,BAO_0000219,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,4787,,,80002,Intermediate
1,,1,506.0,9606.0,62,,,F,,,,Homo sapiens,1A9,N,CHEMBL615185,BAO_0000219,Cytotoxic activity against human ovarian cancer (1A9) cell line,3547,,,80002,Intermediate
1,,1,506.0,9606.0,63,,,F,,,,Homo sapiens,1A9,N,CHEMBL615186,BAO_0000219,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,3547,,,80002,Intermediate
1,,1,506.0,9606.0,64,,,F,,,,Homo sapiens,1A9,N,CHEMBL615187,BAO_0000219,Effective dose of compound against replication of 1A9 cell line was evaluated,6726,,,80002,Intermediate
1,,1,506.0,9606.0,65,,,F,,,,Homo sapiens,1A9,N,CHEMBL885343,BAO_0000219,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,3455,,,80002,Expert
1,,1,506.0,9606.0,66,,,F,,,,Homo sapiens,1A9,N,CHEMBL615188,BAO_0000219,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),5726,,,80002,Intermediate
1,,1,506.0,9606.0,67,,,F,,,,Homo sapiens,1A9,N,CHEMBL615189,BAO_0000219,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,5726,,,80002,Intermediate
1,,1,506.0,9606.0,68,,,F,,,,Homo sapiens,1A9,N,CHEMBL615190,BAO_0000219,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,5726,,,80002,Intermediate
1,,1,506.0,9606.0,69,,,F,,,,Homo sapiens,1A9,N,CHEMBL615191,BAO_0000219,Inhibitory activity against Taxol resistant 1A9 cell lines,3395,,,80002,Intermediate
1,,1,506.0,9606.0,70,,,F,,,,Homo sapiens,1A9,N,CHEMBL615192,BAO_0000219,Cytotoxicity against human ovarian cancer (1A9) cell lines.,3415,,,80002,Expert
1,,1,506.0,9606.0,71,,,F,,,,Homo sapiens,1A9,N,CHEMBL827083,BAO_0000219,Percentage inhibition of human ovarian cancer (1A9) cell lines.,3415,,,80002,Expert
1,,1,506.0,9606.0,72,,,F,,,,Homo sapiens,1A9,N,CHEMBL615193,BAO_0000219,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,17099,,,80002,Expert
1,,1,506.0,9606.0,73,,,F,,,,Homo sapiens,1A9,N,CHEMBL615194,BAO_0000219,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,17099,,,80002,Intermediate
1,,1,506.0,9606.0,74,,,F,,,,Homo sapiens,1A9,N,CHEMBL615195,BAO_0000219,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,17099,,,80002,Intermediate
1,,1,506.0,9606.0,75,,,F,,,,Homo sapiens,1A9,N,CHEMBL615196,BAO_0000219,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,17099,,,80002,Intermediate
1,,1,503.0,9606.0,76,,,F,,,,Homo sapiens,Jurkat,N,CHEMBL615197,BAO_0000219,Inhibitory concentration against Jurkat cells,17721,,,81072,Intermediate
0,,1,,,77,,,F,,,,,,U,CHEMBL615198,BAO_0000019,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,1229,,,22226,Intermediate
9,,1,,10116.0,78,,,A,,,,Rattus norvegicus,,D,CHEMBL615199,BAO_0000357,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,11347,,,100121,Expert
8,,1,,,79,,,B,,,,,,H,CHEMBL615200,BAO_0000357,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",17117,,,11231,Expert
8,,1,,,80,,,B,,,,,,H,CHEMBL615201,BAO_0000357,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",17117,,,11231,Expert
8,,1,,,81,,,B,,,,,,H,CHEMBL615202,BAO_0000357,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",17117,,,11231,Expert
8,,1,,5476.0,82,,,B,,,,Candida albicans,,H,CHEMBL615203,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",11375,Microsomes,,11231,Autocuration
8,,1,,5476.0,83,,,B,,,,Candida albicans,,H,CHEMBL615204,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",11375,Microsomes,,11231,Autocuration
8,,1,,4932.0,84,,,B,,,,Saccharomyces cerevisiae,,H,CHEMBL615205,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",11375,Microsomes,,11231,Autocuration
8,,1,,4932.0,85,,,B,,,,Saccharomyces cerevisiae,,H,CHEMBL615206,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",11375,Microsomes,,11231,Autocuration
8,,1,,9823.0,86,,,B,2107.0,,,Sus scrofa,,H,CHEMBL615207,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",11375,Microsomes,Liver,12083,Autocuration
8,,1,,10116.0,87,,,B,,,,Rattus norvegicus,,H,CHEMBL827084,BAO_0000019,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",791,,,11231,Autocuration
8,,1,,10116.0,88,,,B,,,,Rattus norvegicus,,H,CHEMBL615208,BAO_0000019,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",791,,,11231,Autocuration
8,,1,,10116.0,89,,,B,,,,Rattus norvegicus,,H,CHEMBL615209,BAO_0000019,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",791,,,11231,Autocuration
9,,1,,10116.0,90,,,B,2107.0,,,Rattus norvegicus,,D,CHEMBL615210,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",11375,Microsomes,Liver,12083,Autocuration
9,,1,,10116.0,91,,,B,2107.0,,,Rattus norvegicus,,D,CHEMBL615211,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",11375,Microsomes,Liver,12083,Autocuration
9,,1,,10116.0,92,,,B,2107.0,,,Rattus norvegicus,,D,CHEMBL615212,BAO_0000251,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",153,Microsomes,Liver,12083,Autocuration
8,,1,,,93,,,B,,,,,,H,CHEMBL615213,BAO_0000357,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),8269,,,11377,Expert
8,,1,,,94,,,B,,,,,,H,CHEMBL615273,BAO_0000357,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,8269,,,11377,Expert
1,,1,726.0,9606.0,95,,,F,,,,Homo sapiens,HepG2,N,CHEMBL615274,BAO_0000219,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,17653,,,81020,Expert
1,,1,726.0,9606.0,96,,,F,,,,Homo sapiens,HepG2,N,CHEMBL615275,BAO_0000219,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,14277,,,81020,Intermediate
1,,1,726.0,9606.0,97,,,F,,,,Homo sapiens,HepG2,N,CHEMBL615276,BAO_0000219,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,1717,,,81020,Intermediate
1,,1,726.0,9606.0,98,,,F,,,,Homo sapiens,HepG2,N,CHEMBL615277,BAO_0000219,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,14091,,,81020,Intermediate
1,,1,726.0,9606.0,99,,,F,,,,Homo sapiens,HepG2,N,CHEMBL615326,BAO_0000219,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,14091,,,81020,Intermediate
1,,1,,10407.0,100,,,F,,,,Hepatitis B virus,,N,CHEMBL883130,BAO_0000218,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,17653,,,50606,Expert
1,,1,726.0,9606.0,101,,,F,,,,Homo sapiens,HepG2,N,CHEMBL884519,BAO_0000219,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,13105,,,81020,Intermediate
1,,1,726.0,9606.0,102,,,F,,,,Homo sapiens,HepG2,N,CHEMBL615327,BAO_0000219,Concentration required to inhibit 50% of 2.2.15 cell line,1717,,,81020,Intermediate
1,,1,726.0,9606.0,103,,,A,,,,Homo sapiens,HepG2,N,CHEMBL615328,BAO_0000219,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,13105,,,81020,Intermediate
1,,1,,9606.0,104,,,F,,,,Homo sapiens,2.2.15,N,CHEMBL615329,BAO_0000218,Cytotoxic activity of compound against uninfected 2.2.15 cells.,13600,,,50587,Intermediate
1,,1,,9606.0,105,,,F,,,,Homo sapiens,2.2.15,N,CHEMBL615330,BAO_0000218,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,13467,,,50587,Intermediate
1,,1,,10407.0,106,,,F,,,,Hepatitis B virus,2.2.15,N,CHEMBL615331,BAO_0000218,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",17477,,,50606,Expert
1,,1,,9606.0,107,,,F,,,,Homo sapiens,2.2.15,N,CHEMBL615332,BAO_0000218,In vitro anti-HBV activity in 2.2.15 cells,1593,,,50587,Intermediate
1,,1,,9606.0,108,,,F,,,,Homo sapiens,2.2.15,N,CHEMBL615333,BAO_0000218,In vitro anti-HBV activity in 2.2.15 cells; Not determined,1593,,,50587,Intermediate
1,,1,,9606.0,109,,,F,,,,Homo sapiens,2.2.15,N,CHEMBL615334,BAO_0000218,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,15089,,,50587,Intermediate
1,,1,,9606.0,110,,,F,,,,Homo sapiens,2.2.15,N,CHEMBL615335,BAO_0000218,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,15089,,,50587,Intermediate
1,,1,,9606.0,111,,,F,,,,Homo sapiens,2.2.15,N,CHEMBL615336,BAO_0000218,Cytotoxicity in 2.2.15 cells,1593,,,50587,Intermediate
1,,1,,9606.0,112,,,F,,,,Homo sapiens,2.2.15,N,CHEMBL615337,BAO_0000218,Cytotoxicity in 2.2.15 cells; Not determined,1593,,,50587,Intermediate
1,,1,,9606.0,113,,,F,,,,Homo sapiens,2.2.15,N,CHEMBL615338,BAO_0000218,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,13600,,,50587,Intermediate
1,,1,,9606.0,114,,,F,,,,Homo sapiens,2.2.15,N,CHEMBL615339,BAO_0000218,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,13467,,,50587,Intermediate
1,,1,,9606.0,115,,,F,,,,Homo sapiens,2.2.15,N,CHEMBL615340,BAO_0000218,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,13467,,,50587,Intermediate
1,,1,726.0,9606.0,116,,,F,,,,Homo sapiens,HepG2,N,CHEMBL615341,BAO_0000219,Antiviral activity against HBV was determined in 2.215 cell line,14764,,,81020,Intermediate
0,,1,,9606.0,117,,,B,,,,Homo sapiens,,U,CHEMBL615342,BAO_0000251,Inhibition of 20-HETE synthesis in human renal microsomes,6531,Microsomes,,22226,Autocuration
0,,1,,,118,,,B,,,,,,U,CHEMBL615343,BAO_0000019,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,17322,,,22226,Autocuration
1,,1,388.0,9606.0,119,,,F,,,,Homo sapiens,2008,N,CHEMBL615344,BAO_0000219,Inhibitory concentration against 2008 (ovarian) cells,17072,,,80612,Intermediate
1,,1,388.0,9606.0,120,,,F,,,,Homo sapiens,2008,N,CHEMBL615345,BAO_0000219,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,16936,,,80612,Intermediate
1,,1,388.0,9606.0,121,,,F,,,,Homo sapiens,2008,N,CHEMBL615346,BAO_0000219,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),16936,,,80612,Intermediate
1,,1,388.0,9606.0,122,,,F,,,,Homo sapiens,2008,N,CHEMBL615347,BAO_0000219,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,17146,,,80612,Intermediate
1,,1,388.0,9606.0,123,,,F,,,,Homo sapiens,2008,N,CHEMBL615348,BAO_0000219,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,17146,,,80612,Intermediate
1,,1,561.0,9606.0,124,,,F,,,,Homo sapiens,2008/R,N,CHEMBL827085,BAO_0000219,In vitro inhibition of 2008/R ovarian cancer cell line,10797,,,80613,Intermediate
1,,1,561.0,9606.0,125,,,F,,,,Homo sapiens,2008/R,N,CHEMBL615349,BAO_0000219,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,10797,,,80613,Intermediate
1,,1,389.0,9606.0,126,,,F,,,,Homo sapiens,2008/S,N,CHEMBL615350,BAO_0000219,In vitro inhibition of 2008/S ovarian cancer cell line,10797,,,80614,Intermediate
1,,1,389.0,9606.0,127,,,F,,,,Homo sapiens,2008/S,N,CHEMBL615351,BAO_0000219,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,10797,,,80614,Intermediate
2,,1,,9606.0,128,,,B,,,,Homo sapiens,,S,CHEMBL615352,BAO_0000220,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,4823,,,100256,Expert
2,,1,,9606.0,129,,,B,,,,Homo sapiens,,S,CHEMBL615353,BAO_0000220,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,12912,,,100256,Intermediate
2,,1,,,130,,,B,,,,,,S,CHEMBL615354,BAO_0000220,Inhibition of chymotrypsin-like activity of 20S proteasome,2957,,,100256,Expert
2,,1,,,131,,,B,,,,,,S,CHEMBL615355,BAO_0000220,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,2957,,,100256,Expert
2,,1,,,132,,,B,,,,,,S,CHEMBL615356,BAO_0000220,Inhibitory activity against 20S proteosome,3260,,,100256,Intermediate
0,,1,,9606.0,133,,,B,,,,Homo sapiens,,U,CHEMBL615357,BAO_0000019,Compound was tested for inhibitory activity against tryptase,3451,,,22226,Autocuration
1,,1,726.0,9606.0,134,,,F,,,,Homo sapiens,HepG2,N,CHEMBL615358,BAO_0000219,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,13885,,,81020,Intermediate
1,,1,726.0,9606.0,135,,,F,,,,Homo sapiens,HepG2,N,CHEMBL827086,BAO_0000219,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,13885,,,81020,Intermediate
0,,1,,,136,,,B,,,,,,U,CHEMBL615359,BAO_0000019,Compound was tested for the inhibition of Alpha-glucosidase,3676,,,22226,Autocuration
8,,1,,,137,,,B,,,,,,H,CHEMBL615360,BAO_0000357,Inhibitory concentration against human neutrophil elastase (HNE),6043,,,235,Autocuration
0,,1,,10116.0,138,,,F,948.0,,,Rattus norvegicus,,U,CHEMBL615361,BAO_0000218,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,11140,,Heart,22226,Autocuration
