SRASSI,Descri,ASI,RELTY,ASSORG,ASSSTR,VAI,DOI,Ti,CONFISC,ASST,BAFO,CI,ASTET,SRI,CHI,TISI,ASCAT,ASSTI,CURB,ASTIS,ASSSUBCELFRA,ASSCTY
,Half life period after 3 mg/kg iv administration,7542,N,Rattus norvegicus,,,2864,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618663,,,10116.0,Intermediate,,,
,Half life period after 3 mg/kg iv administration in rat,7543,N,Rattus norvegicus,,,2864,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618664,,,10116.0,Intermediate,,,
,Half life period after 3 mg/kg iv administration in the rat,7544,N,Rattus norvegicus,,,2864,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618665,,,10116.0,Intermediate,,,
,Half life period in female Sprague-Dawley rats,7545,N,Rattus norvegicus,,,6362,50597,1,A,BAO_0000218,,,1,CHEMBL876498,,,10116.0,Intermediate,,,
,Half life period in rat,7546,N,Rattus norvegicus,,,6249,50597,1,A,BAO_0000218,,,1,CHEMBL618666,,,10116.0,Intermediate,,,
,Half-life in rats was determined,7547,N,Rattus norvegicus,,,3169,50597,1,A,BAO_0000218,,,1,CHEMBL620440,,,10116.0,Intermediate,,,
,Half-life in rats with metabolic oxidation,7548,N,Rattus norvegicus,,,3169,50597,1,A,BAO_0000218,,,1,CHEMBL620441,,,10116.0,Intermediate,,,
,Half-life in rats,7549,N,Rattus norvegicus,,,3169,50597,1,A,BAO_0000218,,,1,CHEMBL620442,,,10116.0,Intermediate,,,
,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,7550,N,Rattus norvegicus,,,17260,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL620443,,,10116.0,Intermediate,,,
,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,7551,N,Rattus norvegicus,,,17260,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL620444,,,10116.0,Intermediate,,,
,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,7552,N,Rattus norvegicus,,,17260,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL620445,,,10116.0,Intermediate,,,
,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,7553,N,Rattus norvegicus,,,17260,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL620446,,,10116.0,Intermediate,,,
,Biological half-life measured in plasma of rat,7554,N,Rattus norvegicus,,,2879,50597,1,A,BAO_0000218,,,1,CHEMBL620447,1969.0,,10116.0,Intermediate,Plasma,,
,Biological half-life measured in plasma of rat; 22-25,7555,N,Rattus norvegicus,,,2879,50597,1,A,BAO_0000218,,,1,CHEMBL621129,1969.0,,10116.0,Intermediate,Plasma,,
,Biological half-life measured in plasma of rat; 9-16,7556,N,Rattus norvegicus,,,2879,50597,1,A,BAO_0000218,,,1,CHEMBL621130,1969.0,,10116.0,Intermediate,Plasma,,
,Compound was evaluated for its half life when administered intravenously in rat,7557,N,Rattus norvegicus,,,3184,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL873808,,,10116.0,Intermediate,,,
,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,7558,N,Rattus norvegicus,,,4891,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL876598,,,10116.0,Intermediate,,,
,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,7559,N,Rattus norvegicus,,,429,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL621131,,,10116.0,Intermediate,,,
,Half life (T1/2) after oral administration in rat,7560,N,Rattus norvegicus,,,5656,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL621132,,,10116.0,Intermediate,,,
,Half life of compound after iv administration of 20 mg/kg dose in rat,7561,N,Rattus norvegicus,,,4413,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL621133,,,10116.0,Intermediate,,,
,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,7562,N,Rattus norvegicus,,,3598,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL621312,,,10116.0,Expert,,,
,Half life of compound was determined in rat,7563,N,Rattus norvegicus,,,17267,50597,1,A,BAO_0000218,,,1,CHEMBL621313,,,10116.0,Intermediate,,,
,Half life of compound was determined in rat blood,7564,N,Rattus norvegicus,,,4727,50597,1,A,BAO_0000218,,,1,CHEMBL621314,178.0,,10116.0,Intermediate,Blood,,
,Half life at 1 mg/kg was determined in rat,7565,N,Rattus norvegicus,,,17651,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL621315,,,10116.0,Intermediate,,,
,Half life at 10 mg/kg was determined in rat,7566,N,Rattus norvegicus,,,17651,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL621316,,,10116.0,Intermediate,,,
,Half life in rats,7567,N,Rattus norvegicus,,,401,50597,1,A,BAO_0000218,,,1,CHEMBL621317,,,10116.0,Intermediate,,,
,Half life in rats in hours,7568,N,Rattus norvegicus,,,4942,50597,1,A,BAO_0000218,,,1,CHEMBL621318,,,10116.0,Intermediate,,,
,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,7569,N,Rattus norvegicus,,,17735,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL621319,,,10116.0,Intermediate,,,
,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,7570,N,Rattus norvegicus,,,6056,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL621377,,,10116.0,Intermediate,,,
,Half life was determined,7571,N,Rattus norvegicus,,,5213,50597,1,A,BAO_0000218,,,1,CHEMBL621378,,,10116.0,Intermediate,,,
,Half life after i.v. administration,7572,N,Rattus norvegicus,,,6616,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL876599,,,10116.0,Intermediate,,,
,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,7573,N,Rattus norvegicus,,,5937,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL621379,,,10116.0,Intermediate,,,
,Half life in rat plasma,7574,N,Rattus norvegicus,,,5819,50597,1,A,BAO_0000218,,,1,CHEMBL621380,1969.0,,10116.0,Intermediate,Plasma,,
,Half life in rat plasma; Not detected,7575,N,Rattus norvegicus,,,5819,50597,1,A,BAO_0000218,,,1,CHEMBL621381,1969.0,,10116.0,Intermediate,Plasma,,
,Half life in rats,7576,N,Rattus norvegicus,,,6803,50597,1,A,BAO_0000218,,,1,CHEMBL618515,,,10116.0,Intermediate,,,
,Half life period of compound was determined after peroral administration,7577,N,Rattus norvegicus,,,17804,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618516,,,10116.0,Intermediate,,,
,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,7578,N,Rattus norvegicus,,,17804,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618517,,,10116.0,Intermediate,,,
,Half life period in rat,7579,N,Rattus norvegicus,,,5948,50597,1,A,BAO_0000218,,,1,CHEMBL618518,,,10116.0,Intermediate,,,
,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,7580,N,Rattus norvegicus,,,1916,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618519,,,10116.0,Intermediate,,,
,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,7581,N,Rattus norvegicus,,,1916,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618698,,,10116.0,Intermediate,,,
,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,7582,N,Rattus norvegicus,,,1916,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618862,,,10116.0,Intermediate,,,
,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,7583,N,Rattus norvegicus,,,4890,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618863,,,10116.0,Intermediate,,,
,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,7584,N,Rattus norvegicus,,,17764,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618864,,,10116.0,Intermediate,,,
,Half life time in rat the dose of 2 mg/kg,7585,N,Rattus norvegicus,,,4727,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618865,,,10116.0,Intermediate,,,
,Half-life 24 hr after 10 mg/kg iv administration in rats,7586,N,Rattus norvegicus,,,17509,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618866,,,10116.0,Intermediate,,,
,Half-life 24 hr after 2 mg/kg iv administration in rats,7587,N,Rattus norvegicus,,,17509,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618867,,,10116.0,Intermediate,,,
,Half-life consistent with the observed metabolic steady state in rats,7588,N,Rattus norvegicus,,,6597,50597,1,A,BAO_0000218,,,1,CHEMBL875828,,,10116.0,Intermediate,,,
,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,7589,N,Rattus norvegicus,,,17735,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618868,,,10116.0,Intermediate,,,
,Half-life for oxidative metabolic stability was determined using male human,7590,N,Rattus norvegicus,,,6597,50597,1,A,BAO_0000218,,,1,CHEMBL618869,,,10116.0,Intermediate,,,
,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",7591,N,Rattus norvegicus,,,17670,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL618870,,,10116.0,Intermediate,,,
,Half-life in rat plasma,7592,N,Rattus norvegicus,,,1696,50597,1,A,BAO_0000218,,,1,CHEMBL618871,1969.0,,10116.0,Intermediate,Plasma,,
,Half-life in rat plasma was determined,7593,N,Rattus norvegicus,,,1742,50597,1,A,BAO_0000218,,,1,CHEMBL618872,1969.0,,10116.0,Intermediate,Plasma,,
,Half-life in rats was determined,7594,N,Rattus norvegicus,,,17800,50597,1,A,BAO_0000218,,,1,CHEMBL873816,,,10116.0,Intermediate,,,
,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,7595,U,,,,12923,22224,0,A,BAO_0000218,,,1,CHEMBL618873,,,,Autocuration,,,
,Area under curve after oral dose of 0.1 mg//kg,7596,U,,,,11954,22224,0,A,BAO_0000019,,,1,CHEMBL621602,,,,Autocuration,,,
,Area under curve after oral dose of 0.3 mg/kg,7597,U,,,,11954,22224,0,A,BAO_0000218,,,1,CHEMBL621603,,,,Autocuration,,,
,Area under curve after oral dose of 1 mg/kg,7598,U,,,,11954,22224,0,A,BAO_0000218,,,1,CHEMBL621604,,,,Autocuration,,,
,Area under curve after oral dose of 10 mg/kg,7599,U,,,,11954,22224,0,A,BAO_0000218,,,1,CHEMBL621605,,,,Autocuration,,,
,Area under curve after oral dose of 23.4 mg/kg,7600,U,,,,11954,22224,0,A,BAO_0000218,,,1,CHEMBL621606,,,,Autocuration,,,
,Area under curve after oral dose of 3 mg/kg,7601,U,,,,11954,22224,0,A,BAO_0000218,,,1,CHEMBL621607,,,,Autocuration,,,
,Area under curve after oral dose of 3.87 mg/kg,7602,U,,,,11954,22224,0,A,BAO_0000218,,,1,CHEMBL621608,,,,Autocuration,,,
,Area under curve was determined,7603,U,,,,5237,22224,0,A,BAO_0000019,,,1,CHEMBL621609,,,,Autocuration,,,
,Area under curve at a dose of 10 mg/kg,7604,U,,,,4026,22224,0,A,BAO_0000218,,,1,CHEMBL621610,,,,Autocuration,,,
,Area under curve was determined; ND=No data,7605,N,Rattus norvegicus,,,5237,50597,1,A,BAO_0000218,,,1,CHEMBL621611,,,10116.0,Intermediate,,,
,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,7606,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL621612,,,10116.0,Intermediate,,,
,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,7607,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL622308,,,10116.0,Intermediate,,,
,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,7608,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL622309,,,10116.0,Intermediate,,,
,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,7609,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL622310,,,10116.0,Intermediate,,,
,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,7610,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL622311,,,10116.0,Intermediate,,,
,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,7611,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL622312,,,10116.0,Intermediate,,,
,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,7612,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL622931,,,10116.0,Intermediate,,,
,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,7613,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL622932,,,10116.0,Intermediate,,,
,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,7614,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL622736,1969.0,,10116.0,Intermediate,Plasma,,
,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,7615,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL622737,1969.0,,10116.0,Intermediate,Plasma,,
,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,7616,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL622738,1969.0,,10116.0,Intermediate,Plasma,,
,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,7617,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL622739,1969.0,,10116.0,Intermediate,Plasma,,
,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,7618,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL622740,1969.0,,10116.0,Intermediate,Plasma,,
,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,7619,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL622741,1969.0,,10116.0,Intermediate,Plasma,,
,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,7620,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL622742,1969.0,,10116.0,Intermediate,Plasma,,
,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,7621,N,Rattus norvegicus,,,14793,50597,1,A,BAO_0000218,,,1,CHEMBL622743,1969.0,,10116.0,Intermediate,Plasma,,
,AUC in mice,7622,N,Mus musculus,,,11637,50594,1,A,BAO_0000218,,,1,CHEMBL622744,1969.0,,10090.0,Intermediate,Plasma,,
,Area under curve was measured from the graph obtained from concentration Vs time,7623,U,,,,11149,22224,0,A,BAO_0000019,,,1,CHEMBL624134,,,,Autocuration,,,
,Area under curve value of compound per hour after oral administration,7624,U,,,,10016,22224,0,A,BAO_0000019,,,1,CHEMBL624135,,,,Autocuration,,,
,Area under curve was determined after oral administration in rats,7625,N,Rattus norvegicus,,,17796,50597,1,A,BAO_0000218,,,1,CHEMBL624136,,,10116.0,Intermediate,,,
,Area under curve was determined after oral administration in rats; No data,7626,N,Rattus norvegicus,,,17796,50597,1,A,BAO_0000218,,,1,CHEMBL624137,,,10116.0,Intermediate,,,
,Area under curve was determined after oral administration in rats;No data,7627,N,Rattus norvegicus,,,17796,50597,1,A,BAO_0000218,,,1,CHEMBL624320,,,10116.0,Intermediate,,,
,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,7628,N,Canis lupus familiaris,,,12923,50588,1,A,BAO_0000218,,,1,CHEMBL624321,,,9615.0,Intermediate,,,
,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,7629,N,Rattus norvegicus,,,15372,50597,1,A,BAO_0000218,,,1,CHEMBL624322,,,10116.0,Intermediate,,,
,Area under curve was determined for the compound after iv dose of 5.06 in rats,7630,N,Rattus norvegicus,,,15372,50597,1,A,BAO_0000218,,,1,CHEMBL624323,,,10116.0,Intermediate,,,
,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,7631,N,Rattus norvegicus,,,15372,50597,1,A,BAO_0000218,,,1,CHEMBL624324,,,10116.0,Intermediate,,,
,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,7632,N,Rattus norvegicus,,,15372,50597,1,A,BAO_0000218,,,1,CHEMBL624325,,,10116.0,Intermediate,,,
,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,7633,N,Rattus norvegicus,,,15372,50597,1,A,BAO_0000218,,,1,CHEMBL624326,,,10116.0,Intermediate,,,
,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,7634,N,Rattus norvegicus,,,15372,50597,1,A,BAO_0000218,,,1,CHEMBL624327,,,10116.0,Intermediate,,,
,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,7635,N,Rattus norvegicus,,,15372,50597,1,A,BAO_0000218,,,1,CHEMBL624328,,,10116.0,Intermediate,,,
,Area under curve was determined in Dogs after peroral administration,7636,N,Canis lupus familiaris,,,14169,50588,1,A,BAO_0000218,,,1,CHEMBL627848,,,9615.0,Intermediate,,,
,Area under curve was determined in Rats after peroral administration,7637,N,Rattus norvegicus,,,14169,50597,1,A,BAO_0000218,,,1,CHEMBL627849,,,10116.0,Intermediate,,,
,Area under curve was determined in carotid blood of rat when administered intradermally,7638,N,Rattus norvegicus,,,14258,50597,1,A,BAO_0000218,,,1,CHEMBL627850,,,10116.0,Intermediate,,,
,Area under curve was determined in portal blood of rat when administered intradermally,7639,N,Rattus norvegicus,,,14258,50597,1,A,BAO_0000218,,,1,CHEMBL627851,,,10116.0,Intermediate,,,
,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,7640,N,Mus musculus,,,15011,50594,1,A,BAO_0000218,,,1,CHEMBL627852,,,10090.0,Intermediate,,,
,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,7641,N,Mus musculus,,,15011,50594,1,A,BAO_0000218,,,1,CHEMBL627853,,,10090.0,Intermediate,,,
,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),7642,N,Mus musculus,,,15011,50594,1,A,BAO_0000218,,,1,CHEMBL627854,,,10090.0,Intermediate,,,
,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,7643,N,Mus musculus,,,15011,50594,1,A,BAO_0000218,,,1,CHEMBL627855,,,10090.0,Intermediate,,,
,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),7644,N,Mus musculus,,,15011,50594,1,A,BAO_0000218,,,1,CHEMBL627856,,,10090.0,Intermediate,,,
,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,7645,N,Mus musculus,,,15011,50594,1,A,BAO_0000218,,,1,CHEMBL875339,,,10090.0,Intermediate,,,
,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),7646,N,Mus musculus,,,15011,50594,1,A,BAO_0000218,,,1,CHEMBL627857,,,10090.0,Intermediate,,,
,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,7647,N,Rattus norvegicus,,,11195,50597,1,A,BAO_0000218,,In vivo,1,CHEMBL627858,2106.0,,10116.0,Intermediate,Spleen,,
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,7648,N,Rattus norvegicus,,,10130,50597,1,A,BAO_0000218,,,1,CHEMBL627859,178.0,,10116.0,Intermediate,Blood,,
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,7649,N,Rattus norvegicus,,,10130,50597,1,A,BAO_0000218,,,1,CHEMBL627860,955.0,,10116.0,Intermediate,Brain,,
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,7650,N,Rattus norvegicus,,,10130,50597,1,A,BAO_0000218,,,1,CHEMBL627019,948.0,,10116.0,Intermediate,Heart,,
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,7651,N,Rattus norvegicus,,,10130,50597,1,A,BAO_0000218,,,1,CHEMBL627020,2107.0,,10116.0,Intermediate,Liver,,
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,7652,N,Rattus norvegicus,,,10130,50597,1,A,BAO_0000218,,,1,CHEMBL627021,2048.0,,10116.0,Intermediate,Lung,,
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,7653,N,Rattus norvegicus,,,10130,50597,1,A,BAO_0000218,,,1,CHEMBL627022,2385.0,,10116.0,Intermediate,Muscle tissue,,
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,7654,N,Rattus norvegicus,,,10130,50597,1,A,BAO_0000218,,,1,CHEMBL627023,,,10116.0,Intermediate,,,
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,7655,N,Rattus norvegicus,,,10130,50597,1,A,BAO_0000218,,,1,CHEMBL627024,2106.0,,10116.0,Intermediate,Spleen,,
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,7656,N,Rattus norvegicus,,,10130,50597,1,A,BAO_0000218,,,1,CHEMBL627025,2046.0,,10116.0,Intermediate,Thyroid gland,,
,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,7657,N,Rattus norvegicus,,,10130,50597,1,A,BAO_0000218,,,1,CHEMBL627026,2113.0,,10116.0,Intermediate,Kidney,,
,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,7658,N,Rattus norvegicus,,,10130,50597,1,A,BAO_0000218,,,1,CHEMBL627027,178.0,,10116.0,Intermediate,Blood,,
,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,7659,N,Rattus norvegicus,,,10130,50597,1,A,BAO_0000218,,,1,CHEMBL627028,955.0,,10116.0,Intermediate,Brain,,
,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,7660,N,Rattus norvegicus,,,10130,50597,1,A,BAO_0000218,,,1,CHEMBL627029,948.0,,10116.0,Intermediate,Heart,,
,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,7661,N,Rattus norvegicus,,,10130,50597,1,A,BAO_0000218,,,1,CHEMBL627030,2113.0,,10116.0,Intermediate,Kidney,,
,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,7662,N,Rattus norvegicus,,,10130,50597,1,A,BAO_0000218,,,1,CHEMBL627031,2107.0,,10116.0,Intermediate,Liver,,
