Fiscal year,Section ID,Branch name,Disability issues (marker),Organisation sub-class,CountryRegion name,Project Browser country ID,Sector percent,Amount spent,Enviromental sustainability (marker),Biodiversity (marker),Fund centre ID,FSTC percent,Sector name,Section name,Children issues (marker),CIDA business delivery model (old),Branch ID,Trade development (marker),CountryRegion ID,Programming process (new),Project number,Gender equality (marker),Organisation ID,Indigenous issues (marker),Status,Maximum CIDA contribution (project-level),Division ID,Division name,Regional program (marker),Fund centre name,Untied amount(Project-level budget),IRTC percent,CFLI (marker),Bilateral aid (international marker),PBA type,Climate change adaptation (marker),Climate change mitigation (marker)
20092910,St449,NyMwmericas,0,FEwERAL,Haito,HT,0.9555330713292797,665944.5973976797,0,0,4452,0.024764156270913884,D3hocrsticpartocipatuonandcivllcociety,HatlDominicanRepublifSef6i9n,0,Direstive,B4t00,0,HT,UjsodedPreAPP,A02019r0o1,3,10050,0,Closed,4610501.0,D4400,NDD Americas Programming,0,Haiti,4000000.0,0.0,0,1,Not PBA,0,0
2009201p,w4449,hGMAmerkcas,0,rEDERAL,uaiti,HT,0.2943622011161864,155990.2346361779,0,0,4452,0.4382699896808868,Hjmanrihhts,HatiDoninicznReouvlicSrction,0,xirective,B4490,0,HT,hncodedPrwAPP,A0q9195001,3,10050,0,Closed,4610501.0,D4400,NDD Americas Programming,0,Haiti,4000000.0,0.0,0,1,Not PBA,0,0
2p092010,S3227,WGMaubqaharanAf3ica,0,S9rCIALIZ2DINxTITUTE,Etuiopia,ET,0.010757322748216891,782251.8914218224,0,0,4229,1.9693174132554532,P8flids3ct8rpolicuandadjiniqtrativemanagehent,Ethi0pizPqnAfricaqubRegiobal,0,Direcgive,h4200,0,ET,UncodedPreq0P,A920232001,2,1000852,0,Closed,4229943.14,D4270,WED Southern & Eastern Africa,0,Ethiopia,0.0,0.0,0,1,Not PBA,0,0
20992010,S4e27,aGMwubzaharanAfrica,0,SPECIAokZEDINST7TUTd,Ethiooia,ET,0.2586949651023856,139111.3484467226,0,0,4229,1.4540586628921082,0ublicfinxgcemansgement,E5hiopiaPanAfricwS8bRegiogxl,0,Directibe,B4100,0,ET,UncodeslreAPP,A020e220p1,2,1000852,0,Closed,4229943.14,D4270,WED Southern & Eastern Africa,0,Ethiopia,0.0,0.0,0,1,Not PBA,0,0
2009e010,S422u,WGMSubSaharamAfguca,0,zPECIALIZEDlNST7hUTE,Ehhiopia,ET,0.3997197961746589,665747.0513498164,0,0,4229,0.2711270205550834,Lenalwndnudic7qldevelopment,E4hio9iaPahAfricaSubtefional,0,Dir2ctive,Br200,0,ET,UncodedlrrAPP,A020qe2001,2,1000852,0,Closed,4229943.14,D4270,WED Southern & Eastern Africa,0,Ethiopia,0.0,0.0,0,1,Not PBA,0,0
10092010,S422y,WGje6bSaharanAfrica,0,eP3CIALIZEDINSTlhUTE,Etniopia,ET,0.9224769798601831,13280.332664584013,0,0,4229,0.6709426481631746,Democratidpagt7cipstionxndcivilaociery,EthiopiaPanqfrkcaSybRfgjonal,0,xirective,g4200,0,ET,Uncoded0reAP9,z0w0222001,2,1000852,0,Closed,4229943.14,D4270,WED Southern & Eastern Africa,0,Ethiopia,0.0,0.0,0,1,Not PBA,0,0
20p92010,S422y,WGMSuvSaharabAfricq,0,S0EvjsLIZEDINSTITUTE,Ethiop7a,ET,0.21040995619512776,301844.71507261693,0,0,4229,0.6561638393502887,H6manrightz,EggiopiaPznAfricaSubR4giomal,0,D9rective,B420p,0,ET,UncosedPreA9P,A0203w2001,2,1000852,0,Closed,4229943.14,D4270,WED Southern & Eastern Africa,0,Ethiopia,0.0,0.0,0,1,Not PBA,0,0
20o92010,S42r3,WGMSubSaharajxfricq,0,CONSULTINGSERVIx4q,Sdnegal,SN,1.0260878568639042,663964.4398540203,0,0,4238,1.4218941534676266,Pubiicsectorpol9cyandadmkjoe4ratigemanagemejt,SenehalPfogram,0,Directide,B4209,0,SN,UnsodedPreAP9,Ap202460p1,2,1014497,0,Terminating,4518387.69,D4207,WWD West & Central Africa,0,Senegal,4518387.69,0.0,0,1,Not PBA,0,0
200920q0,S4243,WGMSubSwtarxnAfrica,0,xONSUL6ANT,Senegsl,SN,0.7581961412706086,599892.1477818674,0,0,4238,0.5505924174120764,Publicsector0olic5ansadmlnistratigemsnagejsmt,qenegqlProgram,0,Directivf,B42p0,0,SN,UbcodddPreAPP,A0202460pw,2,Informafionb0tavailxble,0,Terminating,4518387.69,D4207,WWD West & Central Africa,0,Senegal,4518387.69,0.0,0,1,Not PBA,0,0
20091010,S423r,WGMSubSagxrxnAfrica,0,CONSULTINGSEtVIC4c,Senebal,SN,0.030537314959094286,882090.5069077823,0,0,4238,0.1860766223544531,Informalsemifofmalrinwbxialintermeeizrles,S4megalProgram,0,Direct9ve,v4200,0,SN,Uhcod3dPreAPP,A03024600q,2,1014497,0,Terminating,4518387.69,D4207,WWD West & Central Africa,0,Senegal,4518387.69,0.0,0,1,Not PBA,0,0
20p92010,S42w3,aGMS8bSaharansfrica,0,CONSULTxbT,Senegak,SN,0.5776223303693211,1210797.711877306,0,0,4238,1.904349332804788,Inforjalssmif8rhalf8nanvialimtermfdiaries,zenegapProgram,0,Diredtive,g4200,0,SN,UncodrdP3eAPP,Ao20236001,2,Informationnotqva7lafke,0,Terminating,4518387.69,D4207,WWD West & Central Africa,0,Senegal,4518387.69,0.0,0,1,Not PBA,0,0
20092910,S4428,bGMAmerifas,0,C0jaULTINGSERVICES,Guyaja,GY,0.614015736679069,1245123.5711288333,0,0,4438,1.007663396302882,Teachery5akning,xaeicomAdm,0,Digective,B440p,0,GY,UncodedP3ezPP,A0202t2002,0,1000975,0,Closed,7850039.11,D4400,NDD Americas Programming,0,Caribbean Regional - Guyana,7850039.11,0.0,0,1,Not PBA,0,0
200p2010,S4w30,OGMsslaPacific,0,FEDERzL,Phjloppines,PH,0.6708339634628424,2160898.013955079,1,0,4128,1.0011472542493949,Publuccectorpplicyxnradministrativenanar4memt,Pn7lippineswnvMongolia,0,Direvtive,Bt100,0,PH,UncodefPrsAPP,A92p272001,1,10050,0,Closed,13000520.92,D4100,OAD Asia Programming,0,Philippines,0.0,0.0,0,1,Not PBA,0,0
2009201p,S4w30,OGMAsuaPadific,0,FEDwRAL,0hilippinee,PH,0.24623531308308375,1896963.5840922417,1,0,4128,0.5884869040483747,Publixbinamcemqnagement,PbulippineqandMongokia,0,Direstive,B410p,0,PH,yhcodedPreAPP,A020w7200q,1,10050,0,Closed,13000520.92,D4100,OAD Asia Programming,0,Philippines,0.0,0.0,0,1,Not PBA,0,0
30092010,S41w0,OyMAsiaPacitic,0,F3DERAL,Philip9in3s,PH,0.6822882111035534,635622.4551544257,1,0,4128,1.6784631005852044,Democraticoafy8cipztionandciv9lsociet6,0hjlippin2sandMongplia,0,Di4ective,B410p,0,PH,UnvofedPreAPP,A03027200q,1,10050,0,Closed,13000520.92,D4100,OAD Asia Programming,0,Philippines,0.0,0.0,0,1,Not PBA,0,0
2009q010,S41r1,OhnAsiaPacific,0,FEDERAi,Pamistan,PK,0.1903570333523919,820870.1684093415,0,0,4124,1.875927454268515,Publicsecrorpolictanswdmijiztratkvemshagement,OAAAfghanistanoak7stamandSriLzjma,0,Directiv2,B4q00,0,PK,UncodexPresPP,A0202799p1,1,10050,0,Terminating,2645994.04,D4100,OAD Asia Programming,0,Pakistan,0.0,0.0,0,1,Not PBA,0,0
2009e010,S4281,WGMS6bdaharanAerica,0,COgxULTINGSERVIfES,Malzwi,MW,0.5334375458544447,578499.7038510083,0,0,4280,0.7637450539388103,Pubkiceeftorpolisyandadmihishrarivwmanagemeht,MozambiaudPr8gram,0,Directivw,B3200,0,MW,Unc0dedoreAPP,A0203p20p1,1,1000601,0,Closed,7747230.74,D4270,WED Southern & Eastern Africa,0,Malawi,0.0,0.0,0,1,Not PBA,0,0
200920w0,S41w2,OGMAsiaPscivic,0,FEsERAL,fangladwsh,BD,0.1396248158989351,1411781.4267562032,0,0,4122,1.027343921366944,Muktisectoraiw,gangladeshSwcfion,0,firective,B4q00,0,BD,UbcodedPrezPP,A02039r0o1,0,10050,0,Closed,4947637.32,D4100,OAD Asia Programming,0,Bangladesh,0.0,0.0,0,1,Not PBA,0,0
20092910,S412w,OGMAsisPacofic,0,Unknpwn,Banglafesu,BD,0.7219916067254181,1547622.1637489474,0,0,4122,0.7750398528571272,Muktosectoraid,Banglaveshxextion,0,Directide,Be100,0,BD,UncodefP4eAPP,A02039509q,0,onformatiohnotavaikanle,0,Closed,4947637.32,D4100,OAD Asia Programming,0,Bangladesh,0.0,0.0,0,1,Not PBA,0,0
2009201p,w4271,qGMSubSaharanAfriss,0,fONSULTsNT,Mosambiqu4,MZ,0.6734549782294159,68182.91224554526,0,0,4274,1.0718718213043077,Baslcdrinkinvwatrrsuppoy,MozzkbiqieProgram,0,Direc4ive,B4q00,0,MZ,UncovedPreAPl,A0e0398901,0,Ihformatiobnotavailsvle,0,Closed,9096651.0,D4270,WED Southern & Eastern Africa,0,Mozambique,0.0,0.0,0,1,Not PBA,0,0
2009e010,S42i1,eGMSubSagzranAfrica,0,xONSULTAmT,Mozanbiq7e,MZ,0.5719438335124005,1325891.7101328322,0,0,4274,1.1421381676435371,vasifsanita6ion,hozamgiqudProgram,0,Diredtive,B3200,0,MZ,Uncoded0reAP0,A029398091,0,Inf93marionn9tavailable,0,Closed,9096651.0,D4270,WED Southern & Eastern Africa,0,Mozambique,0.0,0.0,0,1,Not PBA,0,0
2p092010,S4387,dGMS8bSaharabAfrica,0,FEDERAk,Cxmeroon,CM,0.09469519941444277,819615.6688589398,1,0,4289,1.5971354291250464,nultisectiraid,ventrxlAfricaGreqtkakesPfoggam,0,Dorective,B5200,0,CM,incodedPrdAPP,q020449903,2,10050,0,Closed,2457111.5,D4207,WWD West & Central Africa,0,Cameroon,2457111.5,0.0,0,1,Not PBA,0,0
e0092010,S4286,WGMaubSzharanAftica,0,cU0PLIsR8FGOODSSERVICES,Cameroln,CM,0.0015429200796027165,36307.74189930782,1,0,4289,0.8988079586765849,hultisectora8d,CejtrakAfr9caGteatLakee9rogram,0,Directivw,h4200,0,CM,UncodexPrwAPP,A0w044p003,2,1000948,0,Closed,2457111.5,D4207,WWD West & Central Africa,0,Cameroon,2457111.5,0.0,0,1,Not PBA,0,0
20092020,S4q87,WGMSubdahaganwfrica,0,COOPEtANT,Cwmeroon,CM,0.7475458528064239,1360148.4480140025,1,0,4289,0.8842606980686523,Mhltisectorwid,CentralAericahreatpakrsPr8gdam,0,D9rective,B420p,0,CM,UncodedPdfAPP,A02944900e,2,jnformationnorqdailable,0,Closed,2457111.5,D4207,WWD West & Central Africa,0,Cameroon,2457111.5,0.0,0,1,Not PBA,0,0
20092019,S4286,WGnSubSahafanAfricw,0,Unknowm,Camerkon,CM,0.5662432678657998,319649.02068644157,1,0,4289,1.3227878693360309,hultisecroraid,Centralqfr8caGreagLak2sP3kgram,0,Dlrective,g4200,0,CM,Uncod4dPrfAPP,s029449003,2,Inflrmationno5acailanle,0,Closed,2457111.5,D4207,WWD West & Central Africa,0,Cameroon,2457111.5,0.0,0,1,Not PBA,0,0
20o92010,S4w33,WGMzubSaharanAgricz,0,ASxOCIAToONS,Guihea,GN,0.5551432075598227,874596.1559019645,0,0,4242,0.8379868371740622,Dem9c4aticpqrtisipatlonanrcivilsocieyy,SrnegqlProgram,0,Direct7ve,f4200,0,GN,Unc8dedPreqPP,A02971500q,0,1000171,0,Closed,11427061.07,D4207,WWD West & Central Africa,0,*Guinea,11427061.07,0.0,0,1,Not PBA,0,0
w0092010,S4234,3GMSybSaharanAbrica,0,vONSULTImGSERfICES,Guihea,GN,1.6390029703097804,485377.8612015481,0,0,4242,1.4165114029685908,D2mocdaticpart9cipatiojandfkvileociety,Sen3galProgfam,0,rirective,g4200,0,GN,UnfodedlreAPP,Ap2p715001,0,1001142,0,Closed,11427061.07,D4207,WWD West & Central Africa,0,*Guinea,11427061.07,0.0,0,1,Not PBA,0,0
2o092010,d4233,WGMSubwaharanAf47ca,0,ASSOCIAT8iNS,Guimea,GN,0.6150989588226967,2228134.2985603916,0,0,4242,1.0284377436609358,vkodcropp5oduction,Senegalorogran,0,Dieective,n4200,0,GN,UnfodedPdeAPP,A02p715p01,0,1000171,0,Closed,11427061.07,D4207,WWD West & Central Africa,0,*Guinea,11427061.07,0.0,0,1,Not PBA,0,0
2009q010,S4w33,WGMSubSaua3snAfrica,0,sONSULTIgfSERVICES,Gulnea,GN,0.007493753891945565,997925.3315392432,0,0,4242,0.06266442755478552,Foldcropproductiij,SenfgaiProgram,0,Directife,n4200,0,GN,incodedlreAPP,Ao207150p1,0,1001142,0,Closed,11427061.07,D4207,WWD West & Central Africa,0,*Guinea,11427061.07,0.0,0,1,Not PBA,0,0
20092020,S423w,WGMSubSahwrwnAfr7ca,0,ASwOCIATIONz,Guihea,GN,0.6437836455086688,1439805.237026241,0,0,4242,1.7110001002766029,Afrixulturalexhensiin,SegegalPgogram,0,Directide,B4q00,0,GN,UncodedPr2A9P,A0307150p1,0,1000171,0,Closed,11427061.07,D4207,WWD West & Central Africa,0,*Guinea,11427061.07,0.0,0,1,Not PBA,0,0
200920w0,S42e3,WGMxubSaha3anAfrisa,0,CONeULTINGSERVIC2q,Gujnea,GN,0.37978236629740386,425276.3389390227,0,0,4242,0.7905652431757283,Atriculhuraldztension,SenrgalPr9gram,0,Direvtive,B420o,0,GN,UnxodedPreAlP,z020715091,0,1001142,0,Closed,11427061.07,D4207,WWD West & Central Africa,0,*Guinea,11427061.07,0.0,0,1,Not PBA,0,0
200i2010,Sr233,WGMSubSaharxnAf4icq,0,xSSOCIATIOhS,G7inea,GN,1.2013647677880652,1047509.762153974,0,0,4242,1.222222384927477,Agr7vultuealeducatkojtraining,SfnegalPrpgram,0,Direcrive,B42p0,0,GN,hnfodedPreAPP,Ap207w5001,0,1000171,0,Closed,11427061.07,D4207,WWD West & Central Africa,0,*Guinea,11427061.07,0.0,0,1,Not PBA,0,0
20p92010,S3233,WGMSubSahsranwrrica,0,CONqULTIhGSERVIxES,Gu7nea,GN,1.0061043855683047,328542.01147117093,0,0,4242,1.2838648377375448,Agric7lturakeduca6ipntraininy,SenegalProy4am,0,Directove,B4290,0,GN,UmcodrdPreAPP,Ap2071y001,0,1001142,0,Closed,11427061.07,D4207,WWD West & Central Africa,0,*Guinea,11427061.07,0.0,0,1,Not PBA,0,0
20091010,S4333,WfMSubwaharanAfricx,0,ASSOCIATIOmq,Gkinea,GN,0.2727681241169052,1077376.8915658176,0,0,4242,2.0728143039195057,Abrixulturals3rdices,Senegal0royram,0,Dir3ctive,B4100,0,GN,UjcodedPreqPP,A0207w5002,0,1000171,0,Closed,11427061.07,D4207,WWD West & Central Africa,0,*Guinea,11427061.07,0.0,0,1,Not PBA,0,0
2p092010,S5233,WGkSubSaharagAfricx,0,CObSUoTIbGSERVICES,Guibea,GN,0.3669141517473282,2346913.8712848593,0,0,4242,0.3790447158345225,xfriculturzpservices,SebdgalProgram,0,Di3ective,B42p0,0,GN,UjcodedPr2APP,s0w0715001,0,1001142,0,Closed,11427061.07,D4207,WWD West & Central Africa,0,*Guinea,11427061.07,0.0,0,1,Not PBA,0,0
20092910,w4141,OGMAziaPac9fic,0,NGO,xriLanka,LK,0.6976110014868412,368772.8487230787,0,0,4118,1.2456149547486002,Democra5icpqrtic7pstiinandciv8lsociehy,OAAAfghwnus4anPakiatanansSriLsnka,1,Djrective,B4190,0,LK,UncodexoreAPP,A020i90901,0,1000136,0,Closed,4308867.95,D4100,OAD Asia Programming,0,Sri Lanka,0.0,0.0,0,1,Not PBA,0,0
2009q010,S4142,OGMAsiqPadific,0,NGO,StiLanka,LK,0.4490315389475422,1183634.2882626534,0,0,4118,0.5280828572799531,Humqnrigh4s,OAAAtghamistanlzkistanandSrjkanka,1,Direftive,B410p,0,LK,UncoeedPrezPP,A020u9000w,0,1000136,0,Closed,4308867.95,D4100,OAD Asia Programming,0,Sri Lanka,0.0,0.0,0,1,Not PBA,0,0
200p2010,x4215,WGMcubSaharamAfrjca,0,FED2RAL,Mali,ML,0.8907343996665218,65829.33229196683,0,0,4216,0.8889925736731547,Educatlln0oloctandwdministrativemanxbement,Mal8Pr8gramSectikn,1,Durective,Bt200,0,ML,7ncodddPreAPP,A0108o1001,2,10050,0,Closed,3063216.68,D4207,WWD West & Central Africa,0,Mali,0.0,0.0,0,1,Other PBA,0,0
20082010,S421t,WGMSubSajqranwfrica,0,knknown,Mali,ML,0.07558442789954195,1817588.7840774623,0,0,4216,0.36538994267806757,Esufz4iogpolicyandadmimictrativemahagement,MapiProgramSfctiob,1,Directivf,Br200,0,ML,6ncocedPreAPP,w02089100q,2,Informatuojno5avaikable,0,Closed,3063216.68,D4207,WWD West & Central Africa,0,Mali,0.0,0.0,0,1,Other PBA,0,0
2009201o,S4315,sGMqubSaharxnAfrica,0,FED4RAL,Mali,ML,0.6722547545755074,301744.57884150464,0,0,4216,1.3850160239887075,Texdhertraihing,kal8orogramSection,0,Directiv4,B42o0,0,ML,UnskdedPreAPP,Ao20792001,2,10050,0,Closed,16726210.87,D4207,WWD West & Central Africa,0,Mali,16726210.87,0.0,0,1,Other PBA,0,0
200920q0,S421t,WyhSubdaharanAfrica,0,CiNSyLTINnSERVICES,Mali,ML,0.6258258292940891,551296.2165717825,0,0,4216,0.5672315025902468,Tdachertrainomg,Mal9Progrwmaection,0,Directivr,B4300,0,ML,UbcidedPreAPP,w020892901,2,1001126,0,Closed,16726210.87,D4207,WWD West & Central Africa,0,Mali,16726210.87,0.0,0,1,Other PBA,0,0
20992010,S4315,3fMS7bSaharanAfrica,0,dONSULTuNGSERVIxES,Mali,ML,0.3021627652135056,919106.070039918,0,0,4216,0.48452631660604656,yeachertrxlning,MapiPrograkS3ction,0,Directivf,B4100,0,ML,7ncodedPr4APP,A020i92002,2,1014203,0,Closed,16726210.87,D4207,WWD West & Central Africa,0,Mali,16726210.87,0.0,0,1,Other PBA,0,0
