assay_id,chembl_id,assay_tissue,tid,assay_category,description,relationship_type,assay_tax_id,assay_cell_type,curated_by,assay_strain,confidence_score,src_assay_id,assay_type,assay_organism,cell_id,src_id,bao_format,tissue_id,variant_id
7604,CHEMBL621610,,22224,,Area under curve at a dose of 10 mg/kg,U,,,Autocuration,,0,,A,,,1,BAO_0000218,,
7605,CHEMBL621611,,50597,,Area under curve was determined; ND=No data,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7606,CHEMBL621612,,50597,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7607,CHEMBL622308,,50597,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7608,CHEMBL622309,,50597,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7609,CHEMBL622310,,50597,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7610,CHEMBL622311,,50597,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7611,CHEMBL622312,,50597,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7612,CHEMBL622931,,50597,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7613,CHEMBL622932,,50597,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7614,CHEMBL622736,Plasma,50597,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,1969.0,
7615,CHEMBL622737,Plasma,50597,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,1969.0,
7616,CHEMBL622738,Plasma,50597,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,1969.0,
7617,CHEMBL622739,Plasma,50597,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,1969.0,
7618,CHEMBL622740,Plasma,50597,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,1969.0,
7619,CHEMBL622741,Plasma,50597,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,1969.0,
7620,CHEMBL622742,Plasma,50597,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,1969.0,
7621,CHEMBL622743,Plasma,50597,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,1969.0,
7622,CHEMBL622744,Plasma,50594,,AUC in mice,N,10090.0,,Intermediate,,1,,A,Mus musculus,,1,BAO_0000218,1969.0,
7623,CHEMBL624134,,22224,,Area under curve was measured from the graph obtained from concentration Vs time,U,,,Autocuration,,0,,A,,,1,BAO_0000019,,
7624,CHEMBL624135,,22224,,Area under curve value of compound per hour after oral administration,U,,,Autocuration,,0,,A,,,1,BAO_0000019,,
7625,CHEMBL624136,,50597,,Area under curve was determined after oral administration in rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7626,CHEMBL624137,,50597,,Area under curve was determined after oral administration in rats; No data,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7627,CHEMBL624320,,50597,,Area under curve was determined after oral administration in rats;No data,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7628,CHEMBL624321,,50588,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,N,9615.0,,Intermediate,,1,,A,Canis lupus familiaris,,1,BAO_0000218,,
7629,CHEMBL624322,,50597,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7630,CHEMBL624323,,50597,,Area under curve was determined for the compound after iv dose of 5.06 in rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7631,CHEMBL624324,,50597,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7632,CHEMBL624325,,50597,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7633,CHEMBL624326,,50597,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7634,CHEMBL624327,,50597,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7635,CHEMBL624328,,50597,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7636,CHEMBL627848,,50588,,Area under curve was determined in Dogs after peroral administration,N,9615.0,,Intermediate,,1,,A,Canis lupus familiaris,,1,BAO_0000218,,
7637,CHEMBL627849,,50597,,Area under curve was determined in Rats after peroral administration,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7638,CHEMBL627850,,50597,,Area under curve was determined in carotid blood of rat when administered intradermally,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7639,CHEMBL627851,,50597,,Area under curve was determined in portal blood of rat when administered intradermally,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7640,CHEMBL627852,,50594,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,N,10090.0,,Intermediate,,1,,A,Mus musculus,,1,BAO_0000218,,
7641,CHEMBL627853,,50594,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,N,10090.0,,Intermediate,,1,,A,Mus musculus,,1,BAO_0000218,,
7642,CHEMBL627854,,50594,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),N,10090.0,,Intermediate,,1,,A,Mus musculus,,1,BAO_0000218,,
7643,CHEMBL627855,,50594,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,N,10090.0,,Intermediate,,1,,A,Mus musculus,,1,BAO_0000218,,
7644,CHEMBL627856,,50594,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),N,10090.0,,Intermediate,,1,,A,Mus musculus,,1,BAO_0000218,,
7645,CHEMBL875339,,50594,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,N,10090.0,,Intermediate,,1,,A,Mus musculus,,1,BAO_0000218,,
7646,CHEMBL627857,,50594,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),N,10090.0,,Intermediate,,1,,A,Mus musculus,,1,BAO_0000218,,
7647,CHEMBL627858,Spleen,50597,,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2106.0,
7648,CHEMBL627859,Blood,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,178.0,
7649,CHEMBL627860,Brain,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,955.0,
7650,CHEMBL627019,Heart,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,948.0,
7651,CHEMBL627020,Liver,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2107.0,
7652,CHEMBL627021,Lung,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2048.0,
7653,CHEMBL627022,Muscle tissue,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2385.0,
7654,CHEMBL627023,,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7655,CHEMBL627024,Spleen,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2106.0,
7656,CHEMBL627025,Thyroid gland,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2046.0,
7657,CHEMBL627026,Kidney,50597,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2113.0,
7658,CHEMBL627027,Blood,50597,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,178.0,
7659,CHEMBL627028,Brain,50597,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,955.0,
7660,CHEMBL627029,Heart,50597,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,948.0,
7661,CHEMBL627030,Kidney,50597,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2113.0,
7662,CHEMBL627031,Liver,50597,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2107.0,
7663,CHEMBL627032,Lung,50597,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in lung; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2048.0,
7664,CHEMBL627033,Muscle tissue,50597,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in muscle; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2385.0,
7665,CHEMBL627034,,50597,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in skin; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,,
7666,CHEMBL627035,Spleen,50597,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in spleen; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2106.0,
7667,CHEMBL627036,Thyroid gland,50597,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in thyroid; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2046.0,
7668,CHEMBL875340,Blood,50597,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in blood; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,178.0,
7669,CHEMBL627037,Heart,50597,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in heart; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,948.0,
7670,CHEMBL627038,Kidney,50597,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in kidney; Expressed as percent dose/organ,N,10116.0,,Intermediate,,1,,A,Rattus norvegicus,,1,BAO_0000218,2113.0,
