src_assay_id,confidence_score,cell_id,description,assay_strain,assay_id,doc_id,assay_subcellular_fraction,src_id,assay_organism,curated_by,tid,assay_category,assay_tax_id,assay_tissue,relationship_type,tissue_id,assay_test_type,assay_cell_type,bao_format,assay_type,variant_id,chembl_id
,9,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,47,10691,,1,Rattus norvegicus,Expert,12971,,10116.0,,D,,,,BAO_0000019,B,,CHEMBL615159
,9,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,48,10691,,1,Rattus norvegicus,Expert,12971,,10116.0,,D,,,,BAO_0000019,B,,CHEMBL615172
,9,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,49,10691,,1,Rattus norvegicus,Expert,12971,,10116.0,,D,,,,BAO_0000019,B,,CHEMBL615173
,9,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,50,10691,,1,Rattus norvegicus,Expert,12971,,10116.0,,D,,,,BAO_0000019,B,,CHEMBL615174
,8,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,51,898,,1,,Autocuration,13053,,,,H,,,,BAO_0000019,B,,CHEMBL884518
,8,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,52,912,,1,,Autocuration,11512,,,,H,,,,BAO_0000357,B,,CHEMBL615175
,8,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,53,912,,1,,Autocuration,11512,,,,H,,,,BAO_0000357,B,,CHEMBL615176
,8,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,54,912,,1,,Autocuration,11512,,,,H,,,,BAO_0000357,B,,CHEMBL615177
,5,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,55,15103,Membranes,1,Rattus norvegicus,Autocuration,104740,,10116.0,,D,,,,BAO_0000249,B,,CHEMBL615178
,1,506.0,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,56,5116,,1,Homo sapiens,Intermediate,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL615179
,7,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,57,14578,,1,Rattus norvegicus,Autocuration,104835,,10116.0,,D,,,Oocytes,BAO_0000219,F,,CHEMBL615180
,7,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,58,14578,,1,Rattus norvegicus,Autocuration,104821,,10116.0,,D,,,Oocytes,BAO_0000219,F,,CHEMBL615181
,7,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,59,14578,,1,Rattus norvegicus,Autocuration,104848,,10116.0,,D,,,Oocytes,BAO_0000219,F,,CHEMBL615182
,1,506.0,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,60,4787,,1,Homo sapiens,Expert,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL615183
,1,506.0,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,61,4787,,1,Homo sapiens,Intermediate,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL615184
,1,506.0,Cytotoxic activity against human ovarian cancer (1A9) cell line,,62,3547,,1,Homo sapiens,Intermediate,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL615185
,1,506.0,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,63,3547,,1,Homo sapiens,Intermediate,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL615186
,1,506.0,Effective dose of compound against replication of 1A9 cell line was evaluated,,64,6726,,1,Homo sapiens,Intermediate,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL615187
,1,506.0,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,65,3455,,1,Homo sapiens,Expert,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL885343
,1,506.0,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,66,5726,,1,Homo sapiens,Intermediate,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL615188
,1,506.0,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,67,5726,,1,Homo sapiens,Intermediate,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL615189
,1,506.0,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,68,5726,,1,Homo sapiens,Intermediate,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL615190
,1,506.0,Inhibitory activity against Taxol resistant 1A9 cell lines,,69,3395,,1,Homo sapiens,Intermediate,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL615191
,1,506.0,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,70,3415,,1,Homo sapiens,Expert,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL615192
,1,506.0,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,71,3415,,1,Homo sapiens,Expert,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL827083
,1,506.0,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,72,17099,,1,Homo sapiens,Expert,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL615193
,1,506.0,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,73,17099,,1,Homo sapiens,Intermediate,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL615194
,1,506.0,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,74,17099,,1,Homo sapiens,Intermediate,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL615195
,1,506.0,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,75,17099,,1,Homo sapiens,Intermediate,80002,,9606.0,,N,,,1A9,BAO_0000219,F,,CHEMBL615196
,1,503.0,Inhibitory concentration against Jurkat cells,,76,17721,,1,Homo sapiens,Intermediate,81072,,9606.0,,N,,,Jurkat,BAO_0000219,F,,CHEMBL615197
,0,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,77,1229,,1,,Intermediate,22226,,,,U,,,,BAO_0000019,F,,CHEMBL615198
,9,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,78,11347,,1,Rattus norvegicus,Expert,100121,,10116.0,,D,,,,BAO_0000357,A,,CHEMBL615199
,8,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,79,17117,,1,,Expert,11231,,,,H,,,,BAO_0000357,B,,CHEMBL615200
,8,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,80,17117,,1,,Expert,11231,,,,H,,,,BAO_0000357,B,,CHEMBL615201
,8,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,81,17117,,1,,Expert,11231,,,,H,,,,BAO_0000357,B,,CHEMBL615202
,8,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,82,11375,Microsomes,1,Candida albicans,Autocuration,11231,,5476.0,,H,,,,BAO_0000251,B,,CHEMBL615203
,8,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,83,11375,Microsomes,1,Candida albicans,Autocuration,11231,,5476.0,,H,,,,BAO_0000251,B,,CHEMBL615204
,8,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,84,11375,Microsomes,1,Saccharomyces cerevisiae,Autocuration,11231,,4932.0,,H,,,,BAO_0000251,B,,CHEMBL615205
,8,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,85,11375,Microsomes,1,Saccharomyces cerevisiae,Autocuration,11231,,4932.0,,H,,,,BAO_0000251,B,,CHEMBL615206
,8,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,86,11375,Microsomes,1,Sus scrofa,Autocuration,12083,,9823.0,Liver,H,2107.0,,,BAO_0000251,B,,CHEMBL615207
,8,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,87,791,,1,Rattus norvegicus,Autocuration,11231,,10116.0,,H,,,,BAO_0000019,B,,CHEMBL827084
,8,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,88,791,,1,Rattus norvegicus,Autocuration,11231,,10116.0,,H,,,,BAO_0000019,B,,CHEMBL615208
,8,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,89,791,,1,Rattus norvegicus,Autocuration,11231,,10116.0,,H,,,,BAO_0000019,B,,CHEMBL615209
,9,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,90,11375,Microsomes,1,Rattus norvegicus,Autocuration,12083,,10116.0,Liver,D,2107.0,,,BAO_0000251,B,,CHEMBL615210
,9,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,91,11375,Microsomes,1,Rattus norvegicus,Autocuration,12083,,10116.0,Liver,D,2107.0,,,BAO_0000251,B,,CHEMBL615211
,9,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,92,153,Microsomes,1,Rattus norvegicus,Autocuration,12083,,10116.0,Liver,D,2107.0,,,BAO_0000251,B,,CHEMBL615212
,8,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,93,8269,,1,,Expert,11377,,,,H,,,,BAO_0000357,B,,CHEMBL615213
,8,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,94,8269,,1,,Expert,11377,,,,H,,,,BAO_0000357,B,,CHEMBL615273
,1,726.0,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,95,17653,,1,Homo sapiens,Expert,81020,,9606.0,,N,,,HepG2,BAO_0000219,F,,CHEMBL615274
,1,726.0,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,96,14277,,1,Homo sapiens,Intermediate,81020,,9606.0,,N,,,HepG2,BAO_0000219,F,,CHEMBL615275
,1,726.0,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,97,1717,,1,Homo sapiens,Intermediate,81020,,9606.0,,N,,,HepG2,BAO_0000219,F,,CHEMBL615276
,1,726.0,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,98,14091,,1,Homo sapiens,Intermediate,81020,,9606.0,,N,,,HepG2,BAO_0000219,F,,CHEMBL615277
,1,726.0,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,99,14091,,1,Homo sapiens,Intermediate,81020,,9606.0,,N,,,HepG2,BAO_0000219,F,,CHEMBL615326
,1,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,100,17653,,1,Hepatitis B virus,Expert,50606,,10407.0,,N,,,,BAO_0000218,F,,CHEMBL883130
,1,726.0,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,101,13105,,1,Homo sapiens,Intermediate,81020,,9606.0,,N,,,HepG2,BAO_0000219,F,,CHEMBL884519
,1,726.0,Concentration required to inhibit 50% of 2.2.15 cell line,,102,1717,,1,Homo sapiens,Intermediate,81020,,9606.0,,N,,,HepG2,BAO_0000219,F,,CHEMBL615327
,1,726.0,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,103,13105,,1,Homo sapiens,Intermediate,81020,,9606.0,,N,,,HepG2,BAO_0000219,A,,CHEMBL615328
,1,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,104,13600,,1,Homo sapiens,Intermediate,50587,,9606.0,,N,,,2.2.15,BAO_0000218,F,,CHEMBL615329
,1,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,105,13467,,1,Homo sapiens,Intermediate,50587,,9606.0,,N,,,2.2.15,BAO_0000218,F,,CHEMBL615330
,1,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,106,17477,,1,Hepatitis B virus,Expert,50606,,10407.0,,N,,,2.2.15,BAO_0000218,F,,CHEMBL615331
,1,,In vitro anti-HBV activity in 2.2.15 cells,,107,1593,,1,Homo sapiens,Intermediate,50587,,9606.0,,N,,,2.2.15,BAO_0000218,F,,CHEMBL615332
,1,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,108,1593,,1,Homo sapiens,Intermediate,50587,,9606.0,,N,,,2.2.15,BAO_0000218,F,,CHEMBL615333
,1,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,109,15089,,1,Homo sapiens,Intermediate,50587,,9606.0,,N,,,2.2.15,BAO_0000218,F,,CHEMBL615334
,1,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,110,15089,,1,Homo sapiens,Intermediate,50587,,9606.0,,N,,,2.2.15,BAO_0000218,F,,CHEMBL615335
,1,,Cytotoxicity in 2.2.15 cells,,111,1593,,1,Homo sapiens,Intermediate,50587,,9606.0,,N,,,2.2.15,BAO_0000218,F,,CHEMBL615336
,1,,Cytotoxicity in 2.2.15 cells; Not determined,,112,1593,,1,Homo sapiens,Intermediate,50587,,9606.0,,N,,,2.2.15,BAO_0000218,F,,CHEMBL615337
,1,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,113,13600,,1,Homo sapiens,Intermediate,50587,,9606.0,,N,,,2.2.15,BAO_0000218,F,,CHEMBL615338
,1,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,114,13467,,1,Homo sapiens,Intermediate,50587,,9606.0,,N,,,2.2.15,BAO_0000218,F,,CHEMBL615339
,1,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,115,13467,,1,Homo sapiens,Intermediate,50587,,9606.0,,N,,,2.2.15,BAO_0000218,F,,CHEMBL615340
,1,726.0,Antiviral activity against HBV was determined in 2.215 cell line,,116,14764,,1,Homo sapiens,Intermediate,81020,,9606.0,,N,,,HepG2,BAO_0000219,F,,CHEMBL615341
,0,,Inhibition of 20-HETE synthesis in human renal microsomes,,117,6531,Microsomes,1,Homo sapiens,Autocuration,22226,,9606.0,,U,,,,BAO_0000251,B,,CHEMBL615342
,0,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,118,17322,,1,,Autocuration,22226,,,,U,,,,BAO_0000019,B,,CHEMBL615343
,1,388.0,Inhibitory concentration against 2008 (ovarian) cells,,119,17072,,1,Homo sapiens,Intermediate,80612,,9606.0,,N,,,2008,BAO_0000219,F,,CHEMBL615344
,1,388.0,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,120,16936,,1,Homo sapiens,Intermediate,80612,,9606.0,,N,,,2008,BAO_0000219,F,,CHEMBL615345
,1,388.0,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,121,16936,,1,Homo sapiens,Intermediate,80612,,9606.0,,N,,,2008,BAO_0000219,F,,CHEMBL615346
,1,388.0,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,122,17146,,1,Homo sapiens,Intermediate,80612,,9606.0,,N,,,2008,BAO_0000219,F,,CHEMBL615347
,1,388.0,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,123,17146,,1,Homo sapiens,Intermediate,80612,,9606.0,,N,,,2008,BAO_0000219,F,,CHEMBL615348
,1,561.0,In vitro inhibition of 2008/R ovarian cancer cell line,,124,10797,,1,Homo sapiens,Intermediate,80613,,9606.0,,N,,,2008/R,BAO_0000219,F,,CHEMBL827085
,1,561.0,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,125,10797,,1,Homo sapiens,Intermediate,80613,,9606.0,,N,,,2008/R,BAO_0000219,F,,CHEMBL615349
,1,389.0,In vitro inhibition of 2008/S ovarian cancer cell line,,126,10797,,1,Homo sapiens,Intermediate,80614,,9606.0,,N,,,2008/S,BAO_0000219,F,,CHEMBL615350
,1,389.0,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,127,10797,,1,Homo sapiens,Intermediate,80614,,9606.0,,N,,,2008/S,BAO_0000219,F,,CHEMBL615351
,2,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,128,4823,,1,Homo sapiens,Expert,100256,,9606.0,,S,,,,BAO_0000220,B,,CHEMBL615352
,2,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,129,12912,,1,Homo sapiens,Intermediate,100256,,9606.0,,S,,,,BAO_0000220,B,,CHEMBL615353
,2,,Inhibition of chymotrypsin-like activity of 20S proteasome,,130,2957,,1,,Expert,100256,,,,S,,,,BAO_0000220,B,,CHEMBL615354
,2,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,131,2957,,1,,Expert,100256,,,,S,,,,BAO_0000220,B,,CHEMBL615355
,2,,Inhibitory activity against 20S proteosome,,132,3260,,1,,Intermediate,100256,,,,S,,,,BAO_0000220,B,,CHEMBL615356
,0,,Compound was tested for inhibitory activity against tryptase,,133,3451,,1,Homo sapiens,Autocuration,22226,,9606.0,,U,,,,BAO_0000019,B,,CHEMBL615357
,1,726.0,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,134,13885,,1,Homo sapiens,Intermediate,81020,,9606.0,,N,,,HepG2,BAO_0000219,F,,CHEMBL615358
,1,726.0,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,135,13885,,1,Homo sapiens,Intermediate,81020,,9606.0,,N,,,HepG2,BAO_0000219,F,,CHEMBL827086
,0,,Compound was tested for the inhibition of Alpha-glucosidase,,136,3676,,1,,Autocuration,22226,,,,U,,,,BAO_0000019,B,,CHEMBL615359
,8,,Inhibitory concentration against human neutrophil elastase (HNE),,137,6043,,1,,Autocuration,235,,,,H,,,,BAO_0000357,B,,CHEMBL615360
,0,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,138,11140,,1,Rattus norvegicus,Autocuration,22226,,10116.0,Heart,U,948.0,,,BAO_0000218,F,,CHEMBL615361
