assay_id,assay_tax_id,assay_test_type,relationship_type,assay_category,doc_id,assay_strain,tid,assay_type,assay_organism,assay_cell_type,description,assay_tissue,assay_subcellular_fraction,confidence_score,curated_by,src_id
60,35766.0,,N,,4787,,80002,F,momodapiens,1A9,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,,1,Expert,1
61,31249.0,,N,,4787,,80002,F,nomisapiens,1A9,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,,1,Intermediate,1
62,21317.0,,N,,3547,,80002,F,bomosapienw,1A9,Cytotoxic activity against human ovarian cancer (1A9) cell line,,,1,Intermediate,1
63,21627.0,,N,,3547,,80002,F,Hokosapienq,1A9,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,,1,Intermediate,1
64,13793.0,,N,,6726,,80002,F,Homossp8ens,1A9,Effective dose of compound against replication of 1A9 cell line was evaluated,,,1,Intermediate,1
65,22041.0,,N,,3455,,80002,F,Homosa9ienx,1A9,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,,1,Expert,1
66,9937.0,,N,,5726,,80002,F,momosapiena,1A9,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,,1,Intermediate,1
67,20675.0,,N,,5726,,80002,F,Homlsapiena,1A9,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,,1,Intermediate,1
68,27375.0,,N,,5726,,80002,F,Honoaapiens,1A9,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,,1,Intermediate,1
69,9446.0,,N,,3395,,80002,F,Homosa9irns,1A9,Inhibitory activity against Taxol resistant 1A9 cell lines,,,1,Intermediate,1
70,28817.0,,N,,3415,,80002,F,H0mosaoiens,1A9,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,,1,Expert,1
71,36896.0,,N,,3415,,80002,F,Hompsaliens,1A9,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,,1,Expert,1
72,20426.0,,N,,17099,,80002,F,Hom9sapiena,1A9,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,,1,Expert,1
73,25808.0,,N,,17099,,80002,F,Homiszpiens,1A9,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,,1,Intermediate,1
74,27936.0,,N,,17099,,80002,F,Hojosaplens,1A9,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,,1,Intermediate,1
75,7838.0,,N,,17099,,80002,F,Homoxapidns,1A9,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,,1,Intermediate,1
76,12088.0,,N,,17721,,81072,F,Homoxapienw,Jurkah,Inhibitory concentration against Jurkat cells,,,1,Intermediate,1
77,,,U,,1229,,22226,F,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,0,Intermediate,1
78,20240.0,,D,,11347,,100121,A,Rxttusgorvegicux,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,9,Expert,1
79,,,H,,17117,,11231,B,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,8,Expert,1
80,,,H,,17117,,11231,B,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,8,Expert,1
81,,,H,,17117,,11231,B,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,8,Expert,1
82,31219.0,,H,,11375,,11231,B,xandidqaibicans,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,Microsomes,8,Autocuration,1
83,25085.0,,H,,11375,,11231,B,Candkdaalnicabs,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,Microsomes,8,Autocuration,1
84,15990.0,,H,,11375,,11231,B,Szcchar9mucesverevisiae,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,Microsomes,8,Autocuration,1
85,1945.0,,H,,11375,,11231,B,Safchqromycescerevixise,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,Microsomes,8,Autocuration,1
86,4079.0,,H,,11375,,12083,B,Susscroea,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",Liver,Microsomes,8,Autocuration,1
87,21445.0,,H,,791,,11231,B,Rattksnorven9cus,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,8,Autocuration,1
88,26074.0,,H,,791,,11231,B,Rz65usnorvegicus,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,8,Autocuration,1
89,24163.0,,H,,791,,11231,B,Rattusjorvefidus,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,8,Autocuration,1
90,34116.0,,D,,11375,,12083,B,Rattusnorvegjsuz,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",Liver,Microsomes,9,Autocuration,1
91,3425.0,,D,,11375,,12083,B,Rattusnorv2tixus,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Liver,Microsomes,9,Autocuration,1
92,4739.0,,D,,153,,12083,B,Rattucgo5vegicus,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Liver,Microsomes,9,Autocuration,1
93,,,H,,8269,,11377,B,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,8,Expert,1
94,,,H,,8269,,11377,B,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,8,Expert,1
95,24692.0,,N,,17653,,81020,F,Homosaporns,Heph2,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,1,Expert,1
96,1928.0,,N,,14277,,81020,F,Hojosapkens,He0G2,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,,1,Intermediate,1
97,12463.0,,N,,1717,,81020,F,Homoszp7ens,Hepn2,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,,1,Intermediate,1
98,54724.0,,N,,14091,,81020,F,Homoeapirns,HepGw,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,,1,Intermediate,1
99,32121.0,,N,,14091,,81020,F,H9mosapjens,yepG2,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,,1,Intermediate,1
100,11081.0,,N,,17653,,50606,F,t4pztitisBvirus,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,1,Expert,1
101,1046.0,,N,,13105,,81020,F,Homosali2ns,H4pG2,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,,1,Intermediate,1
102,3201.0,,N,,1717,,81020,F,H9m9sapiens,HepGw,Concentration required to inhibit 50% of 2.2.15 cell line,,,1,Intermediate,1
103,10830.0,,N,,13105,,81020,A,Hom0sapienq,HdpG2,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,,1,Intermediate,1
104,14153.0,,N,,13600,,50587,F,Homoxapidns,2215,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,,1,Intermediate,1
105,47975.0,,N,,13467,,50587,F,Homosa9iejs,2215,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,,1,Intermediate,1
106,13915.0,,N,,17477,,50606,F,g4patitisBvi4us,2215,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,,1,Expert,1
107,18696.0,,N,,1593,,50587,F,Homodapjens,2215,In vitro anti-HBV activity in 2.2.15 cells,,,1,Intermediate,1
108,2579.0,,N,,1593,,50587,F,Homksapiebs,2215,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,,1,Intermediate,1
109,6967.0,,N,,15089,,50587,F,Hokosapi2ns,2215,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,,1,Intermediate,1
110,23067.0,,N,,15089,,50587,F,momosapienz,2215,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,,1,Intermediate,1
111,8366.0,,N,,1593,,50587,F,Homoxapiejs,2215,Cytotoxicity in 2.2.15 cells,,,1,Intermediate,1
112,5442.0,,N,,1593,,50587,F,Hpmoszpiens,2215,Cytotoxicity in 2.2.15 cells; Not determined,,,1,Intermediate,1
113,49581.0,,N,,13600,,50587,F,jomosap9ens,2215,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,,1,Intermediate,1
114,11863.0,,N,,13467,,50587,F,yomosapidns,2215,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,,1,Intermediate,1
115,35753.0,,N,,13467,,50587,F,Homoxa9iens,2215,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,,1,Intermediate,1
116,33956.0,,N,,14764,,81020,F,bomlsapiens,H4pG2,Antiviral activity against HBV was determined in 2.215 cell line,,,1,Intermediate,1
117,24697.0,,U,,6531,,22226,B,Homosapi2ms,,Inhibition of 20-HETE synthesis in human renal microsomes,,Microsomes,0,Autocuration,1
118,,,U,,17322,,22226,B,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,0,Autocuration,1
119,8052.0,,N,,17072,,80612,F,Hlmosap9ens,2008,Inhibitory concentration against 2008 (ovarian) cells,,,1,Intermediate,1
120,8935.0,,N,,16936,,80612,F,Hom8sap9ens,2008,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,,1,Intermediate,1
121,33302.0,,N,,16936,,80612,F,Homosapjene,2008,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,,1,Intermediate,1
122,1667.0,,N,,17146,,80612,F,Homowap7ens,2008,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,,1,Intermediate,1
123,39334.0,,N,,17146,,80612,F,yomosapjens,2008,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,,1,Intermediate,1
124,1313.0,,N,,10797,,80613,F,Homosalkens,e008R,In vitro inhibition of 2008/R ovarian cancer cell line,,,1,Intermediate,1
125,1103.0,,N,,10797,,80613,F,y9mosapiens,20o8R,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,,1,Intermediate,1
126,17896.0,,N,,10797,,80614,F,Homosapi3js,2p08S,In vitro inhibition of 2008/S ovarian cancer cell line,,,1,Intermediate,1
127,12582.0,,N,,10797,,80614,F,Himosaoiens,2908S,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,,1,Intermediate,1
128,3407.0,,S,,4823,,100256,B,yomosa0iens,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,,2,Expert,1
129,12338.0,,S,,12912,,100256,B,Hom0sapienz,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,,2,Intermediate,1
130,,,S,,2957,,100256,B,,,Inhibition of chymotrypsin-like activity of 20S proteasome,,,2,Expert,1
131,,,S,,2957,,100256,B,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,2,Expert,1
132,,,S,,3260,,100256,B,,,Inhibitory activity against 20S proteosome,,,2,Intermediate,1
133,12595.0,,U,,3451,,22226,B,Homosa9ienc,,Compound was tested for inhibitory activity against tryptase,,,0,Autocuration,1
134,9992.0,,N,,13885,,81020,F,Homosa9iems,Hepf2,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,,1,Intermediate,1
135,4324.0,,N,,13885,,81020,F,Hpmosapiene,HrpG2,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,,1,Intermediate,1
136,,,U,,3676,,22226,B,,,Compound was tested for the inhibition of Alpha-glucosidase,,,0,Autocuration,1
137,,,H,,6043,,235,B,,,Inhibitory concentration against human neutrophil elastase (HNE),,,8,Autocuration,1
138,29229.0,,U,,11140,,22226,F,3agt6snorvegicus,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,Heart,,0,Autocuration,1
139,,,H,,10543,,19640,F,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,8,Autocuration,1
140,,,H,,10543,,19640,F,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,8,Expert,1
141,,,H,,10543,,19640,B,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,8,Autocuration,1
142,,,H,,10543,,19640,F,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,8,Expert,1
143,21614.0,,N,,11365,,80360,F,Musmksxulus,P338,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,,1,Intermediate,1
144,18369.0,,N,,11365,,80360,F,Musmuwsulus,P338,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,,1,Intermediate,1
145,50008.0,,N,,11803,,80384,F,Hlmlsapiens,PBL,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,,1,Intermediate,1
146,55350.0,,U,,11803,,22226,F,Ovisarirs,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,,0,Autocuration,1
147,28633.0,,U,,11803,,22226,F,Ovisarirs,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,,0,Autocuration,1
148,,,H,,12278,,191,B,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,8,Autocuration,1
149,15399.0,,U,,8249,,22226,F,Hom9saplens,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,,0,Autocuration,1
150,21927.0,,U,,8249,,22226,F,Homosa9i3ns,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,,0,Autocuration,1
151,38042.0,,U,,8249,,22226,F,Homlsapienw,CCRFfEM,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,,0,Autocuration,1
152,12411.0,,U,,8249,,22226,F,Hokosapjens,CsRFCEM,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,,0,Autocuration,1
153,4979.0,,U,,8249,,22226,F,Homosapisms,CCRFCdM,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,,0,Autocuration,1
154,8896.0,,U,,8249,,22226,F,Homisapkens,CCRdCEM,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,,0,Autocuration,1
155,26935.0,,U,,8249,,22226,F,nomosapkens,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,,0,Autocuration,1
156,16091.0,,U,,8249,,22226,F,Honpsapiens,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,,0,Autocuration,1
157,,,H,,16992,,104290,B,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,6,Autocuration,1
158,3125.0,,N,,10543,,50264,F,Streprodoccusp6ogenee,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,,1,Intermediate,1
159,20450.0,,N,,17833,,50527,F,Hunanherlesdirus3,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,,1,Intermediate,1
160,35553.0,,N,,17290,,50527,F,vericillaa8st2rvirjs,HEL,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,,1,Expert,1
161,266.0,,N,,17290,,50527,F,vericillazlsterbi5uc,,Antiviral activity against 07/1 strain of VZV; ND: No data,,,1,Intermediate,1
162,28235.0,,N,,17290,,50527,F,ve4iciloazosterviriz,,Antiviral activity against 07/1 strain of VZV; ND=No data,,,1,Intermediate,1
163,15421.0,,N,,10932,,50145,F,ewcher9chiacl9ac,,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,,1,Intermediate,1
164,,,U,,9707,,22226,B,,,Ratio of Ki at A2 to Ki at A1 receptors,,,0,Autocuration,1
165,10506.0,,H,,2346,,11143,B,Cand8daakbicanw,,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,,8,Expert,1
166,6618.0,,H,,2205,,18077,B,CansidaglahratxCBS137,,"Inhibition of 1,3-beta-glucan synthase",,,8,Expert,1
167,19147.0,,N,,11900,,80609,F,Homodapienz,1i7tuhorcelpline,Inhibition of growth of 1-87 human tumor cell line,,,1,Intermediate,1
168,3014.0,,D,,14864,,12166,B,3attusnorvsgucus,,Inhibition of 1-lipoxygenase (LOX)in RBL cells,,,9,Expert,1
169,14399.0,,D,,16474,,100171,B,Glycinemza,,Inhibitory activity against soybean 1-lipoxygenase (SLO),,,9,Autocuration,1
170,18494.0,,D,,16474,,100171,B,Glyxinwmax,,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,,,9,Autocuration,1
171,9566.0,,D,,16474,,100171,B,tlycinfmax,,% inhibition against soybean 1-lipoxygenase (SLO),,,9,Autocuration,1
172,1523.0,,D,,16474,,100171,B,Glycinrmwx,,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,,,9,Autocuration,1
173,23123.0,,D,,3094,,100171,B,Glycihwmax,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,,,9,Autocuration,1
174,31477.0,,D,,3094,,100171,B,Glysinwmax,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,,,9,Autocuration,1
175,28133.0,,D,,3094,,100171,B,Gl5cihemax,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,,,9,Autocuration,1
