Fiscal year,IRTC percent,Untied amount(Project-level budget),Disability issues (marker),Gender equality (marker),Fund centre name,Organisation type,Project Browser country ID,CountryRegion name,Urban issues (marker),Fund centre ID,FSTC percent,Enviromental sustainability (marker),Section ID,Division name,Amount spent,Sector ID,Climate change mitigation (marker),Organisation class,Bilateral aid (international marker),Continent ID,Organisation ID,CountryRegion percent,Youth issues (marker),Sector name,Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Section name,Regional program (marker),CFLI (marker),CIDA business delivery model (old),Programming process (new),PBA type,Climate change adaptation (marker)
2009/2010,0.0,3441416.83,0,0,Caribbean Regional - Jamaica,Canadian Profit Making,JM,Jamaica,0,4439,1.0,0,S4429,NDD Americas Programming,13163.27,24040,0,Civil Society,1,1,1000378,1.0,0,Informal/semi-formal financial intermediaries,A019362001,Closed,3441416.83,B4400,NGM Americas,D4400,Caricom - Adm,0,0,Responsive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,3441416.83,0,0,Caribbean Regional - Jamaica,Canadian Profit Making,JM,Jamaica,0,4439,1.0,0,S4429,NDD Americas Programming,7256.25,24040,0,Civil Society,1,1,1001165,1.0,0,Informal/semi-formal financial intermediaries,A019362001,Closed,3441416.83,B4400,NGM Americas,D4400,Caricom - Adm,0,0,Responsive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,Egypt,Canadian Profit Making,EG,Egypt,0,4263,1.0,1,S4256,EDD Europe-Middle East Programming,73931.99,15150,0,Civil Society,1,2,1000335,1.0,0,Democratic participation and civil society,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,Egypt,Canadian Profit Making,EG,Egypt,0,4263,1.0,1,S4256,EDD Europe-Middle East Programming,18482.9975,24030,0,Civil Society,1,2,1000335,1.0,0,Formal sector financial intermediaries,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,Egypt,Canadian Profit Making,EG,Egypt,0,4263,1.0,1,S4256,EDD Europe-Middle East Programming,18482.9975,25010,0,Civil Society,1,2,1000335,1.0,0,Business support services and institutions,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,Egypt,Canadian Profit Making,EG,Egypt,0,4263,1.0,1,S4256,EDD Europe-Middle East Programming,18482.9975,32110,0,Civil Society,1,2,1000335,1.0,0,Industrial policy and administrative management,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,Egypt,Canadian Profit Making,EG,Egypt,0,4263,1.0,1,S4256,EDD Europe-Middle East Programming,92414.9875,32130,0,Civil Society,1,2,1000335,1.0,0,Small and medium-sized enterprises (SME) development,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,Egypt,Canadian Profit Making,EG,Egypt,0,4263,1.0,1,S4256,EDD Europe-Middle East Programming,55448.9925,32182,0,Civil Society,1,2,1000335,1.0,0,Technological research and development,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,Egypt,Canadian Profit Making,EG,Egypt,0,4263,1.0,1,S4256,EDD Europe-Middle East Programming,18482.9975,41010,0,Civil Society,1,2,1000335,1.0,0,Environmental policy and administrative management,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,Egypt,Canadian Profit Making,EG,Egypt,0,4263,1.0,1,S4256,EDD Europe-Middle East Programming,73931.99,41020,0,Civil Society,1,2,1000335,1.0,0,Biosphere protection,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,2,*Algeria,Canadian Non-Profit Making,DZ,Algeria,0,4259,0.998334353,0,S4256,EDD Europe-Middle East Programming,114.33,43010,0,Governmental,1,2,10050,1.0,0,Multisector aid,A020161001,Closed,328400.96,B3100,"EGM Europe, Middle East and Maghreb",D3100,Middle East and North Africa,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,4000000.0,0,3,Haiti,Canadian Non-Profit Making,HT,Haiti,0,4452,1.0,0,S4449,NDD Americas Programming,103009.4,15150,0,Governmental,1,1,10050,1.0,0,Democratic participation and civil society,A020195001,Closed,4610501.0,B4400,NGM Americas,D4400,Ha�ti & Dominican Republic Section,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,4000000.0,0,3,Haiti,Canadian Non-Profit Making,HT,Haiti,0,4452,1.0,0,S4449,NDD Americas Programming,412037.6,15160,0,Governmental,1,1,10050,1.0,0,Human rights,A020195001,Closed,4610501.0,B4400,NGM Americas,D4400,Ha�ti & Dominican Republic Section,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,2,Ethiopia,Canadian Non-Profit Making,ET,Ethiopia,0,4229,1.0,0,S4227,WED Southern & Eastern Africa,799.502,15110,0,Civil Society,1,2,1000852,1.0,0,Public sector policy and administrative management,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,2,Ethiopia,Canadian Non-Profit Making,ET,Ethiopia,0,4229,1.0,0,S4227,WED Southern & Eastern Africa,799.502,15111,0,Civil Society,1,2,1000852,1.0,0,Public finance management,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,2,Ethiopia,Canadian Non-Profit Making,ET,Ethiopia,0,4229,1.0,0,S4227,WED Southern & Eastern Africa,799.502,15130,0,Civil Society,1,2,1000852,1.0,0,Legal and judicial development,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,2,Ethiopia,Canadian Non-Profit Making,ET,Ethiopia,0,4229,1.0,0,S4227,WED Southern & Eastern Africa,799.502,15150,0,Civil Society,1,2,1000852,1.0,0,Democratic participation and civil society,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,2,Ethiopia,Canadian Non-Profit Making,ET,Ethiopia,0,4229,1.0,0,S4227,WED Southern & Eastern Africa,799.502,15160,0,Civil Society,1,2,1000852,1.0,0,Human rights,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,"Ethiopia, PanAfrica, SubRegional",0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,4518387.69,0,2,Senegal,Canadian Profit Making,SN,Senegal,0,4238,1.0,0,S4233,WWD West & Central Africa,2307.3284,15110,0,Civil Society,1,2,1014497,1.0,0,Public sector policy and administrative management,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,4518387.69,0,2,Senegal,Canadian Profit Making,SN,Senegal,0,4238,1.0,0,S4233,WWD West & Central Africa,2157.8406,15110,0,Individual,1,2,Information not available,1.0,0,Public sector policy and administrative management,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,4518387.69,0,2,Senegal,Canadian Profit Making,SN,Senegal,0,4238,1.0,0,S4233,WWD West & Central Africa,4478.9316,24040,0,Civil Society,1,2,1014497,1.0,0,Informal/semi-formal financial intermediaries,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,4518387.69,0,2,Senegal,Canadian Profit Making,SN,Senegal,0,4238,1.0,0,S4233,WWD West & Central Africa,4188.7494,24040,0,Individual,1,2,Information not available,1.0,0,Informal/semi-formal financial intermediaries,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,7850039.11,0,0,Caribbean Regional - Guyana,Canadian Profit Making,GY,Guyana,0,4438,1.0,0,S4429,NDD Americas Programming,539373.76,11130,0,Civil Society,1,1,1000975,1.0,0,Teacher training,A020252001,Closed,7850039.11,B4400,NGM Americas,D4400,Caricom - Adm,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,1,Philippines,Canadian Non-Profit Making,PH,Philippines,0,4128,1.0,1,S4130,OAD Asia Programming,12432.9,15110,0,Governmental,1,3,10050,1.0,0,Public sector policy and administrative management,A020272001,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,Philippines and Mongolia,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,1,Philippines,Canadian Non-Profit Making,PH,Philippines,0,4128,1.0,1,S4130,OAD Asia Programming,9946.32,15111,0,Governmental,1,3,10050,1.0,0,Public finance management,A020272001,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,Philippines and Mongolia,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,1,Philippines,Canadian Non-Profit Making,PH,Philippines,0,4128,1.0,1,S4130,OAD Asia Programming,2486.58,15150,0,Governmental,1,3,10050,1.0,0,Democratic participation and civil society,A020272001,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,Philippines and Mongolia,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,1,Pakistan,Canadian Non-Profit Making,PK,Pakistan,0,4124,1.0,0,S4141,OAD Asia Programming,106986.01,15110,0,Governmental,1,3,10050,1.0,0,Public sector policy and administrative management,A020279001,Terminating,2645994.04,B4100,OGM Asia Pacific,D4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,1,Malawi,Canadian Profit Making,MW,Malawi,0,4280,1.0,0,S4271,WED Southern & Eastern Africa,73711.97,15110,0,Civil Society,1,2,1000601,1.0,0,Public sector policy and administrative management,A020392001,Closed,7747230.74,B4200,WGM Sub-Saharan Africa,D4270,Mozambique Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,Bangladesh,Canadian Non-Profit Making,BD,Bangladesh,0,4122,0.5,0,S4122,OAD Asia Programming,500000.0,43010,0,Governmental,1,3,10050,1.0,0,Multisector aid,A020395001,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,Bangladesh Section,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,Bangladesh,Uncoded,BD,Bangladesh,0,4122,0.5,0,S4122,OAD Asia Programming,2362.0,43010,0,Unknown,1,3,Information not available,1.0,0,Multisector aid,A020395001,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,Bangladesh Section,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,Mozambique,Canadian Profit Making,MZ,Mozambique,0,4274,1.0,0,S4271,WED Southern & Eastern Africa,667.81,14031,0,Individual,1,2,Information not available,1.0,0,Basic drinking water supply,A020398001,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,Mozambique Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,Mozambique,Canadian Profit Making,MZ,Mozambique,0,4274,1.0,0,S4271,WED Southern & Eastern Africa,667.81,14032,0,Individual,1,2,Information not available,1.0,0,Basic sanitation,A020398001,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,Mozambique Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,2457111.5,0,2,Cameroon,Canadian Non-Profit Making,CM,Cameroon,0,4289,1.0,1,S4287,WWD West & Central Africa,582248.05,43010,0,Governmental,1,2,10050,1.0,0,Multisector aid,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,Central Africa & Great Lakes Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,2457111.5,0,2,Cameroon,Canadian Profit Making,CM,Cameroon,0,4289,1.0,1,S4287,WWD West & Central Africa,863.16,43010,0,Civil Society,1,2,1000948,1.0,0,Multisector aid,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,Central Africa & Great Lakes Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,2457111.5,0,2,Cameroon,Canadian Profit Making,CM,Cameroon,0,4289,1.0,1,S4287,WWD West & Central Africa,140613.87,43010,0,Individual,1,2,Information not available,1.0,0,Multisector aid,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,Central Africa & Great Lakes Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,2457111.5,0,2,Cameroon,Uncoded,CM,Cameroon,0,4289,1.0,1,S4287,WWD West & Central Africa,2361.97,43010,0,Unknown,1,2,Information not available,1.0,0,Multisector aid,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,Central Africa & Great Lakes Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,11427061.07,0,0,*Guinea,Canadian Non-Profit Making,GN,Guinea,0,4242,1.0,0,S4233,WWD West & Central Africa,442790.91,15150,0,Civil Society,1,2,1000171,1.0,0,Democratic participation and civil society,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,11427061.07,0,0,*Guinea,Canadian Profit Making,GN,Guinea,0,4242,1.0,0,S4233,WWD West & Central Africa,4131.87,15150,0,Civil Society,1,2,1001142,1.0,0,Democratic participation and civil society,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,11427061.07,0,0,*Guinea,Canadian Non-Profit Making,GN,Guinea,0,4242,1.0,0,S4233,WWD West & Central Africa,132837.27300000002,31161,0,Civil Society,1,2,1000171,1.0,0,Food crop production,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,11427061.07,0,0,*Guinea,Canadian Profit Making,GN,Guinea,0,4242,1.0,0,S4233,WWD West & Central Africa,1239.5610000000001,31161,0,Civil Society,1,2,1001142,1.0,0,Food crop production,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,11427061.07,0,0,*Guinea,Canadian Non-Profit Making,GN,Guinea,0,4242,1.0,0,S4233,WWD West & Central Africa,88558.18199999999,31166,0,Civil Society,1,2,1000171,1.0,0,Agricultural extension,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,11427061.07,0,0,*Guinea,Canadian Profit Making,GN,Guinea,0,4242,1.0,0,S4233,WWD West & Central Africa,826.3739999999999,31166,0,Civil Society,1,2,1001142,1.0,0,Agricultural extension,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,11427061.07,0,0,*Guinea,Canadian Non-Profit Making,GN,Guinea,0,4242,1.0,0,S4233,WWD West & Central Africa,132837.27300000002,31181,0,Civil Society,1,2,1000171,1.0,0,Agricultural education/training,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,11427061.07,0,0,*Guinea,Canadian Profit Making,GN,Guinea,0,4242,1.0,0,S4233,WWD West & Central Africa,1239.5610000000001,31181,0,Civil Society,1,2,1001142,1.0,0,Agricultural education/training,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,11427061.07,0,0,*Guinea,Canadian Non-Profit Making,GN,Guinea,0,4242,1.0,0,S4233,WWD West & Central Africa,88558.18199999999,31191,0,Civil Society,1,2,1000171,1.0,0,Agricultural services,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,11427061.07,0,0,*Guinea,Canadian Profit Making,GN,Guinea,0,4242,1.0,0,S4233,WWD West & Central Africa,826.3739999999999,31191,0,Civil Society,1,2,1001142,1.0,0,Agricultural services,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,Senegal Program,0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,Sri Lanka,Canadian Non-Profit Making,LK,Sri Lanka,0,4118,1.0,0,S4141,OAD Asia Programming,92293.62400000001,15150,0,Civil Society,1,3,1000136,1.0,0,Democratic participation and civil society,A020790001,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,Sri Lanka,Canadian Non-Profit Making,LK,Sri Lanka,0,4118,1.0,0,S4141,OAD Asia Programming,23073.406000000003,15160,0,Civil Society,1,3,1000136,1.0,0,Human rights,A020790001,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,0,Directive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,2,Mali,Canadian Non-Profit Making,ML,Mali,0,4216,0.0,0,S4215,WWD West & Central Africa,57631.03,11110,0,Governmental,1,2,10050,1.0,0,Education policy and administrative management,A020891001,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,0,0,Directive,Uncoded: Pre-APP,Other PBA,0
2009/2010,0.0,0.0,0,2,Mali,Uncoded,ML,Mali,0,4216,0.0,0,S4215,WWD West & Central Africa,23.9,11110,0,Unknown,1,2,Information not available,1.0,0,Education policy and administrative management,A020891001,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,0,0,Directive,Uncoded: Pre-APP,Other PBA,0
2009/2010,0.0,16726210.87,0,2,Mali,Canadian Non-Profit Making,ML,Mali,0,4216,1.0,0,S4215,WWD West & Central Africa,10023.66,11130,0,Governmental,1,2,10050,1.0,0,Teacher training,A020892001,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,0,0,Directive,Uncoded: Pre-APP,Other PBA,0
2009/2010,0.0,16726210.87,0,2,Mali,Canadian Profit Making,ML,Mali,0,4216,1.0,0,S4215,WWD West & Central Africa,50605.0,11130,0,Civil Society,1,2,1001126,1.0,0,Teacher training,A020892001,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,0,0,Directive,Uncoded: Pre-APP,Other PBA,0
2009/2010,0.0,16726210.87,0,2,Mali,Canadian Profit Making,ML,Mali,0,4216,1.0,0,S4215,WWD West & Central Africa,2019764.66,11130,0,Civil Society,1,2,1014203,1.0,0,Teacher training,A020892001,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,Mali Program Section,0,0,Directive,Uncoded: Pre-APP,Other PBA,0
2009/2010,0.0,0.0,0,0,*Southern Cone,Canadian Non-Profit Making,UY,South America,0,4422,1.0,1,S4413,NDD Americas Programming,64.46300000000001,11220,0,Governmental,1,1,10050,0.1,0,Primary education,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,South America,1,0,Responsive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,*Southern Cone,Uncoded,UY,South America,0,4422,1.0,1,S4413,NDD Americas Programming,24.000999999999998,11220,0,Unknown,1,1,Information not available,0.1,0,Primary education,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,South America,1,0,Responsive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,*Southern Cone,Canadian Non-Profit Making,UY,South America,0,4422,1.0,1,S4413,NDD Americas Programming,51.5704,12220,0,Governmental,1,1,10050,0.1,0,Basic health care,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,South America,1,0,Responsive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,*Southern Cone,Uncoded,UY,South America,0,4422,1.0,1,S4413,NDD Americas Programming,19.2008,12220,0,Unknown,1,1,Information not available,0.1,0,Basic health care,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,South America,1,0,Responsive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,*Southern Cone,Canadian Non-Profit Making,UY,South America,0,4422,1.0,1,S4413,NDD Americas Programming,12.8926,13030,0,Governmental,1,1,10050,0.1,0,Family planning,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,South America,1,0,Responsive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,*Southern Cone,Uncoded,UY,South America,0,4422,1.0,1,S4413,NDD Americas Programming,4.8002,13030,0,Unknown,1,1,Information not available,0.1,0,Family planning,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,South America,1,0,Responsive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,*Southern Cone,Canadian Non-Profit Making,UY,South America,0,4422,1.0,1,S4413,NDD Americas Programming,515.7040000000001,15110,0,Governmental,1,1,10050,0.1,0,Public sector policy and administrative management,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,South America,1,0,Responsive,Uncoded: Pre-APP,Not PBA,0
2009/2010,0.0,0.0,0,0,*Southern Cone,Uncoded,UY,South America,0,4422,1.0,1,S4413,NDD Americas Programming,192.00799999999998,15110,0,Unknown,1,1,Information not available,0.1,0,Public sector policy and administrative management,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,South America,1,0,Responsive,Uncoded: Pre-APP,Not PBA,0
