Fiscal year,Continent ID,Division ID,Disability issues (marker),Youth issues (marker),Branch ID,Gender equality (marker),Project Browser country ID,Organisation class,Continent name,CountryRegion percent,Division name,Status,Participatory development and good governance,CFLI (marker),Organisation type,CountryRegion name,Amount spent,Bilateral aid (international marker),Project number,ICT as a tool for development (marker),Biodiversity (marker),Indigenous issues (marker),Section ID,Regional program (marker),Maximum CIDA contribution (project-level),Branch name,Section name,Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CIDA business delivery model (old),Programming process (new),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker)
2009/2010,2,D3100,0,0,B3100,0,EG,Civil Society,Africa,1.0,EDD Europe-Middle East Programming,Closed,1,0,Canadian Profit Making,Egypt,18482.9975,1,A019608001,1,0,0,S4256,0,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,4263,Egypt,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,2,D3100,0,0,B3100,0,EG,Civil Society,Africa,1.0,EDD Europe-Middle East Programming,Closed,1,0,Canadian Profit Making,Egypt,73931.99,1,A019608001,1,0,0,S4256,0,16700508.62,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,4263,Egypt,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,2,D3100,0,0,B3100,2,DZ,Governmental,Africa,1.0,EDD Europe-Middle East Programming,Closed,0,0,Canadian Non-Profit Making,Algeria,114.33,1,A020161001,0,0,0,S4256,0,328400.96,"EGM Europe, Middle East and Maghreb",Middle East and North Africa,4259,*Algeria,0.0,0.998334353,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1,D4400,0,0,B4400,3,HT,Governmental,America,1.0,NDD Americas Programming,Closed,1,0,Canadian Non-Profit Making,Haiti,103009.4,1,A020195001,0,0,0,S4449,0,4610501.0,NGM Americas,Ha�ti & Dominican Republic Section,4452,Haiti,4000000.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1,D4400,0,0,B4400,3,HT,Governmental,America,1.0,NDD Americas Programming,Closed,1,0,Canadian Non-Profit Making,Haiti,412037.6,1,A020195001,0,0,0,S4449,0,4610501.0,NGM Americas,Ha�ti & Dominican Republic Section,4452,Haiti,4000000.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4270,0,0,B4200,2,ET,Civil Society,Africa,1.0,WED Southern & Eastern Africa,Closed,1,0,Canadian Non-Profit Making,Ethiopia,799.502,1,A020222001,0,0,0,S4227,0,4229943.14,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4270,0,0,B4200,2,ET,Civil Society,Africa,1.0,WED Southern & Eastern Africa,Closed,1,0,Canadian Non-Profit Making,Ethiopia,799.502,1,A020222001,0,0,0,S4227,0,4229943.14,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4270,0,0,B4200,2,ET,Civil Society,Africa,1.0,WED Southern & Eastern Africa,Closed,1,0,Canadian Non-Profit Making,Ethiopia,799.502,1,A020222001,0,0,0,S4227,0,4229943.14,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4270,0,0,B4200,2,ET,Civil Society,Africa,1.0,WED Southern & Eastern Africa,Closed,1,0,Canadian Non-Profit Making,Ethiopia,799.502,1,A020222001,0,0,0,S4227,0,4229943.14,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4270,0,0,B4200,2,ET,Civil Society,Africa,1.0,WED Southern & Eastern Africa,Closed,1,0,Canadian Non-Profit Making,Ethiopia,799.502,1,A020222001,0,0,0,S4227,0,4229943.14,WGM Sub-Saharan Africa,"Ethiopia, PanAfrica, SubRegional",4229,Ethiopia,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,2,SN,Civil Society,Africa,1.0,WWD West & Central Africa,Terminating,0,0,Canadian Profit Making,Senegal,2307.3284,1,A020246001,0,0,0,S4233,0,4518387.69,WGM Sub-Saharan Africa,Senegal Program,4238,Senegal,4518387.69,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,2,SN,Individual,Africa,1.0,WWD West & Central Africa,Terminating,0,0,Canadian Profit Making,Senegal,2157.8406,1,A020246001,0,0,0,S4233,0,4518387.69,WGM Sub-Saharan Africa,Senegal Program,4238,Senegal,4518387.69,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,2,SN,Civil Society,Africa,1.0,WWD West & Central Africa,Terminating,0,0,Canadian Profit Making,Senegal,4478.9316,1,A020246001,0,0,0,S4233,0,4518387.69,WGM Sub-Saharan Africa,Senegal Program,4238,Senegal,4518387.69,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,2,SN,Individual,Africa,1.0,WWD West & Central Africa,Terminating,0,0,Canadian Profit Making,Senegal,4188.7494,1,A020246001,0,0,0,S4233,0,4518387.69,WGM Sub-Saharan Africa,Senegal Program,4238,Senegal,4518387.69,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,1,D4400,0,0,B4400,0,GY,Civil Society,America,1.0,NDD Americas Programming,Closed,0,0,Canadian Profit Making,Guyana,539373.76,1,A020252001,0,0,0,S4429,0,7850039.11,NGM Americas,Caricom - Adm,4438,Caribbean Regional - Guyana,7850039.11,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,3,D4100,0,0,B4100,1,PH,Governmental,Asia,1.0,OAD Asia Programming,Closed,1,0,Canadian Non-Profit Making,Philippines,12432.9,1,A020272001,1,0,0,S4130,0,13000520.92,OGM Asia Pacific,Philippines and Mongolia,4128,Philippines,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,3,D4100,0,0,B4100,1,PH,Governmental,Asia,1.0,OAD Asia Programming,Closed,1,0,Canadian Non-Profit Making,Philippines,9946.32,1,A020272001,1,0,0,S4130,0,13000520.92,OGM Asia Pacific,Philippines and Mongolia,4128,Philippines,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,3,D4100,0,0,B4100,1,PH,Governmental,Asia,1.0,OAD Asia Programming,Closed,1,0,Canadian Non-Profit Making,Philippines,2486.58,1,A020272001,1,0,0,S4130,0,13000520.92,OGM Asia Pacific,Philippines and Mongolia,4128,Philippines,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,3,D4100,0,0,B4100,1,PK,Governmental,Asia,1.0,OAD Asia Programming,Terminating,1,0,Canadian Non-Profit Making,Pakistan,106986.01,1,A020279001,0,0,0,S4141,0,2645994.04,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",4124,Pakistan,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4270,0,0,B4200,1,MW,Civil Society,Africa,1.0,WED Southern & Eastern Africa,Closed,1,0,Canadian Profit Making,Malawi,73711.97,1,A020392001,0,0,0,S4271,0,7747230.74,WGM Sub-Saharan Africa,Mozambique Program,4280,Malawi,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,3,D4100,0,0,B4100,0,BD,Governmental,Asia,1.0,OAD Asia Programming,Closed,1,0,Canadian Non-Profit Making,Bangladesh,500000.0,1,A020395001,0,0,0,S4122,0,4947637.32,OGM Asia Pacific,Bangladesh Section,4122,Bangladesh,0.0,0.5,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,3,D4100,0,0,B4100,0,BD,Unknown,Asia,1.0,OAD Asia Programming,Closed,1,0,Uncoded,Bangladesh,2362.0,1,A020395001,0,0,0,S4122,0,4947637.32,OGM Asia Pacific,Bangladesh Section,4122,Bangladesh,0.0,0.5,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4270,0,0,B4200,0,MZ,Individual,Africa,1.0,WED Southern & Eastern Africa,Closed,0,0,Canadian Profit Making,Mozambique,667.81,1,A020398001,0,0,0,S4271,0,9096651.0,WGM Sub-Saharan Africa,Mozambique Program,4274,Mozambique,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4270,0,0,B4200,0,MZ,Individual,Africa,1.0,WED Southern & Eastern Africa,Closed,0,0,Canadian Profit Making,Mozambique,667.81,1,A020398001,0,0,0,S4271,0,9096651.0,WGM Sub-Saharan Africa,Mozambique Program,4274,Mozambique,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,2,CM,Governmental,Africa,1.0,WWD West & Central Africa,Closed,1,0,Canadian Non-Profit Making,Cameroon,582248.05,1,A020449003,0,0,0,S4287,0,2457111.5,WGM Sub-Saharan Africa,Central Africa & Great Lakes Program,4289,Cameroon,2457111.5,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,2,D4207,0,0,B4200,2,CM,Civil Society,Africa,1.0,WWD West & Central Africa,Closed,1,0,Canadian Profit Making,Cameroon,863.16,1,A020449003,0,0,0,S4287,0,2457111.5,WGM Sub-Saharan Africa,Central Africa & Great Lakes Program,4289,Cameroon,2457111.5,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,2,D4207,0,0,B4200,2,CM,Individual,Africa,1.0,WWD West & Central Africa,Closed,1,0,Canadian Profit Making,Cameroon,140613.87,1,A020449003,0,0,0,S4287,0,2457111.5,WGM Sub-Saharan Africa,Central Africa & Great Lakes Program,4289,Cameroon,2457111.5,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,2,D4207,0,0,B4200,2,CM,Unknown,Africa,1.0,WWD West & Central Africa,Closed,1,0,Uncoded,Cameroon,2361.97,1,A020449003,0,0,0,S4287,0,2457111.5,WGM Sub-Saharan Africa,Central Africa & Great Lakes Program,4289,Cameroon,2457111.5,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,2,D4207,0,0,B4200,0,GN,Civil Society,Africa,1.0,WWD West & Central Africa,Closed,0,0,Canadian Non-Profit Making,Guinea,442790.91,1,A020715001,0,0,0,S4233,0,11427061.07,WGM Sub-Saharan Africa,Senegal Program,4242,*Guinea,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,0,GN,Civil Society,Africa,1.0,WWD West & Central Africa,Closed,0,0,Canadian Profit Making,Guinea,4131.87,1,A020715001,0,0,0,S4233,0,11427061.07,WGM Sub-Saharan Africa,Senegal Program,4242,*Guinea,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,0,GN,Civil Society,Africa,1.0,WWD West & Central Africa,Closed,0,0,Canadian Non-Profit Making,Guinea,132837.27300000002,1,A020715001,0,0,0,S4233,0,11427061.07,WGM Sub-Saharan Africa,Senegal Program,4242,*Guinea,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,0,GN,Civil Society,Africa,1.0,WWD West & Central Africa,Closed,0,0,Canadian Profit Making,Guinea,1239.5610000000001,1,A020715001,0,0,0,S4233,0,11427061.07,WGM Sub-Saharan Africa,Senegal Program,4242,*Guinea,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,0,GN,Civil Society,Africa,1.0,WWD West & Central Africa,Closed,0,0,Canadian Non-Profit Making,Guinea,88558.18199999999,1,A020715001,0,0,0,S4233,0,11427061.07,WGM Sub-Saharan Africa,Senegal Program,4242,*Guinea,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,0,GN,Civil Society,Africa,1.0,WWD West & Central Africa,Closed,0,0,Canadian Profit Making,Guinea,826.3739999999999,1,A020715001,0,0,0,S4233,0,11427061.07,WGM Sub-Saharan Africa,Senegal Program,4242,*Guinea,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,0,GN,Civil Society,Africa,1.0,WWD West & Central Africa,Closed,0,0,Canadian Non-Profit Making,Guinea,132837.27300000002,1,A020715001,0,0,0,S4233,0,11427061.07,WGM Sub-Saharan Africa,Senegal Program,4242,*Guinea,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,0,GN,Civil Society,Africa,1.0,WWD West & Central Africa,Closed,0,0,Canadian Profit Making,Guinea,1239.5610000000001,1,A020715001,0,0,0,S4233,0,11427061.07,WGM Sub-Saharan Africa,Senegal Program,4242,*Guinea,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,0,GN,Civil Society,Africa,1.0,WWD West & Central Africa,Closed,0,0,Canadian Non-Profit Making,Guinea,88558.18199999999,1,A020715001,0,0,0,S4233,0,11427061.07,WGM Sub-Saharan Africa,Senegal Program,4242,*Guinea,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,0,GN,Civil Society,Africa,1.0,WWD West & Central Africa,Closed,0,0,Canadian Profit Making,Guinea,826.3739999999999,1,A020715001,0,0,0,S4233,0,11427061.07,WGM Sub-Saharan Africa,Senegal Program,4242,*Guinea,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,3,D4100,0,0,B4100,0,LK,Civil Society,Asia,1.0,OAD Asia Programming,Closed,0,0,Canadian Non-Profit Making,Sri Lanka,92293.62400000001,1,A020790001,0,0,0,S4141,0,4308867.95,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",4118,Sri Lanka,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,3,D4100,0,0,B4100,0,LK,Civil Society,Asia,1.0,OAD Asia Programming,Closed,0,0,Canadian Non-Profit Making,Sri Lanka,23073.406000000003,1,A020790001,0,0,0,S4141,0,4308867.95,OGM Asia Pacific,"OAA Afghanistan, Pakistan and Sri Lanka",4118,Sri Lanka,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,Not PBA,0,0
2009/2010,2,D4207,0,0,B4200,2,ML,Governmental,Africa,1.0,WWD West & Central Africa,Closed,0,0,Canadian Non-Profit Making,Mali,57631.03,1,A020891001,0,0,0,S4215,0,3063216.68,WGM Sub-Saharan Africa,Mali Program Section,4216,Mali,0.0,0.0,0.0,Directive,Uncoded: Pre-APP,Other PBA,0,0
2009/2010,2,D4207,0,0,B4200,2,ML,Unknown,Africa,1.0,WWD West & Central Africa,Closed,0,0,Uncoded,Mali,23.9,1,A020891001,0,0,0,S4215,0,3063216.68,WGM Sub-Saharan Africa,Mali Program Section,4216,Mali,0.0,0.0,0.0,Directive,Uncoded: Pre-APP,Other PBA,0,0
2009/2010,2,D4207,0,0,B4200,2,ML,Governmental,Africa,1.0,WWD West & Central Africa,Closed,0,0,Canadian Non-Profit Making,Mali,10023.66,1,A020892001,0,0,0,S4215,0,16726210.87,WGM Sub-Saharan Africa,Mali Program Section,4216,Mali,16726210.87,1.0,0.0,Directive,Uncoded: Pre-APP,Other PBA,0,0
2009/2010,2,D4207,0,0,B4200,2,ML,Civil Society,Africa,1.0,WWD West & Central Africa,Closed,0,0,Canadian Profit Making,Mali,50605.0,1,A020892001,0,0,0,S4215,0,16726210.87,WGM Sub-Saharan Africa,Mali Program Section,4216,Mali,16726210.87,1.0,0.0,Directive,Uncoded: Pre-APP,Other PBA,0,0
2009/2010,2,D4207,0,0,B4200,2,ML,Civil Society,Africa,1.0,WWD West & Central Africa,Closed,0,0,Canadian Profit Making,Mali,2019764.66,1,A020892001,0,0,0,S4215,0,16726210.87,WGM Sub-Saharan Africa,Mali Program Section,4216,Mali,16726210.87,1.0,0.0,Directive,Uncoded: Pre-APP,Other PBA,0,0
2009/2010,1,D4400,0,0,B4400,0,UY,Governmental,America,0.1,NDD Americas Programming,Closed,1,0,Canadian Non-Profit Making,South America,64.46300000000001,1,A020910001,0,0,0,S4413,1,1488850.78,NGM Americas,South America,4422,*Southern Cone,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,1,D4400,0,0,B4400,0,UY,Unknown,America,0.1,NDD Americas Programming,Closed,1,0,Uncoded,South America,24.000999999999998,1,A020910001,0,0,0,S4413,1,1488850.78,NGM Americas,South America,4422,*Southern Cone,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,1,D4400,0,0,B4400,0,UY,Governmental,America,0.1,NDD Americas Programming,Closed,1,0,Canadian Non-Profit Making,South America,51.5704,1,A020910001,0,0,0,S4413,1,1488850.78,NGM Americas,South America,4422,*Southern Cone,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,1,D4400,0,0,B4400,0,UY,Unknown,America,0.1,NDD Americas Programming,Closed,1,0,Uncoded,South America,19.2008,1,A020910001,0,0,0,S4413,1,1488850.78,NGM Americas,South America,4422,*Southern Cone,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,1,D4400,0,0,B4400,0,UY,Governmental,America,0.1,NDD Americas Programming,Closed,1,0,Canadian Non-Profit Making,South America,12.8926,1,A020910001,0,0,0,S4413,1,1488850.78,NGM Americas,South America,4422,*Southern Cone,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,1,D4400,0,0,B4400,0,UY,Unknown,America,0.1,NDD Americas Programming,Closed,1,0,Uncoded,South America,4.8002,1,A020910001,0,0,0,S4413,1,1488850.78,NGM Americas,South America,4422,*Southern Cone,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,1,D4400,0,0,B4400,0,UY,Governmental,America,0.1,NDD Americas Programming,Closed,1,0,Canadian Non-Profit Making,South America,515.7040000000001,1,A020910001,0,0,0,S4413,1,1488850.78,NGM Americas,South America,4422,*Southern Cone,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,1,D4400,0,0,B4400,0,UY,Unknown,America,0.1,NDD Americas Programming,Closed,1,0,Uncoded,South America,192.00799999999998,1,A020910001,0,0,0,S4413,1,1488850.78,NGM Americas,South America,4422,*Southern Cone,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,1,D4400,0,0,B4400,0,AR,Governmental,America,0.3,NDD Americas Programming,Closed,1,0,Canadian Non-Profit Making,South America,193.389,1,A020910001,0,0,0,S4413,1,1488850.78,NGM Americas,South America,4422,*Southern Cone,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,1,D4400,0,0,B4400,0,AR,Unknown,America,0.3,NDD Americas Programming,Closed,1,0,Uncoded,South America,72.003,1,A020910001,0,0,0,S4413,1,1488850.78,NGM Americas,South America,4422,*Southern Cone,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,1,D4400,0,0,B4400,0,AR,Governmental,America,0.3,NDD Americas Programming,Closed,1,0,Canadian Non-Profit Making,South America,154.7112,1,A020910001,0,0,0,S4413,1,1488850.78,NGM Americas,South America,4422,*Southern Cone,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,1,0
2009/2010,1,D4400,0,0,B4400,0,AR,Unknown,America,0.3,NDD Americas Programming,Closed,1,0,Uncoded,South America,57.6024,1,A020910001,0,0,0,S4413,1,1488850.78,NGM Americas,South America,4422,*Southern Cone,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,Not PBA,1,0
