assay_id,src_assay_id,assay_tax_id,assay_tissue,variant_id,assay_subcellular_fraction,confidence_score,assay_type,relationship_type,curated_by,doc_id,description,assay_test_type,assay_category,assay_organism,assay_strain,assay_cell_type
27,,6304.0,,,,8,B,H,Autoxurstion,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,Oryctolagus cuniculus,,
28,,,,,,8,B,H,Auyocurayion,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,,
29,,83832.0,,,,8,B,H,Autovufation,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,soya bean,,
30,,28826.0,,,,8,B,H,Au5ocudation,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,Glycine max,,
31,,2788.0,,,,8,B,H,Autocurat9ln,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,Glycine max,,
32,,19363.0,,,,8,B,H,Aut8curati9n,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,Glycine max,,
33,,54752.0,,,,8,B,H,Aut0curati9n,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,Glycine max,,
34,,22572.0,,,,8,B,H,Aufocurxtion,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,Glycine max,,
35,,2716.0,,,,8,B,H,Aurocurafion,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,Glycine max,,
36,,9502.0,,,,0,A,U,Auticurztion,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,Rattus norvegicus,,
37,,29574.0,,,,0,B,U,Autocurariln,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,Escherichia coli,,
38,,,,,,0,B,U,Aytocuratioj,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,,
39,,,,,,3,B,M,9ntermeriate,3782,Dissociation constant towards 16S rRNA construct A,,,,,
40,,,,,,3,B,M,Ibtermeduate,3782,Dissociation constant towards 16S rRNA construct B,,,,,
41,,71742.0,,,,3,B,M,Edpert,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,Escherichia coli,,
42,,37459.0,,,,3,B,M,Exp4rt,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,Escherichia coli,,
43,,,,,,8,B,H,Autocufati8n,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,
44,,,,,,8,B,H,Autocurat9ob,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,
45,,21715.0,,,,8,B,H,Autocurstiob,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,Homo sapiens,,
46,,10768.0,,,,8,B,H,Autodurati8n,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,Homo sapiens,,
47,,573.0,,,,9,B,D,4xpert,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,Rattus norvegicus,,
48,,11776.0,,,,9,B,D,Exprrt,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,Rattus norvegicus,,
49,,48791.0,,,,9,B,D,Exp4rt,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,Rattus norvegicus,,
50,,48607.0,,,,9,B,D,Exlert,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,Rattus norvegicus,,
51,,,,,,8,B,H,Autocuratjpn,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,
52,,,,,,8,B,H,Autosurat8on,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,,
53,,,,,,8,B,H,A6tocura5ion,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,,
54,,,,,,8,B,H,zutocurafion,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,,
55,,5278.0,,,Memhranes,5,B,D,Autoch5ation,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,Rattus norvegicus,,
56,,13376.0,,,,1,F,N,Interj2diate,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,,Homo sapiens,,1A9
57,,35654.0,,,,7,F,D,Autocueat7on,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,,Rattus norvegicus,,Oocytes
58,,51588.0,,,,7,F,D,Autocurariob,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,,Rattus norvegicus,,Oocytes
59,,22332.0,,,,7,F,D,Aurocuratuon,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,,Rattus norvegicus,,Oocytes
60,,53235.0,,,,1,F,N,Exp4rt,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,,Homo sapiens,,1A9
61,,54080.0,,,,1,F,N,Ihternediate,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,,Homo sapiens,,1A9
62,,17351.0,,,,1,F,N,9jtermediate,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,,,Homo sapiens,,1A9
63,,15070.0,,,,1,F,N,Intrrmed9ate,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,,Homo sapiens,,1A9
64,,1173.0,,,,1,F,N,Interkeciate,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,,,Homo sapiens,,1A9
65,,9578.0,,,,1,F,N,Exlert,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,,Homo sapiens,,1A9
66,,41389.0,,,,1,F,N,Intermediayr,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,,Homo sapiens,,1A9
67,,34295.0,,,,1,F,N,Infermexiate,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,,Homo sapiens,,1A9
68,,27395.0,,,,1,F,N,Intermed7a6e,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,,Homo sapiens,,1A9
69,,31307.0,,,,1,F,N,Intermed7atr,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,,,Homo sapiens,,1A9
70,,9820.0,,,,1,F,N,Edpert,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,,Homo sapiens,,1A9
71,,31099.0,,,,1,F,N,wxpert,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,,Homo sapiens,,1A9
72,,102526.0,,,,1,F,N,Expett,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,,Homo sapiens,,1A9
73,,21988.0,,,,1,F,N,lhtermediate,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,,Homo sapiens,,1A9
74,,20571.0,,,,1,F,N,Intermevizte,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,,Homo sapiens,,1A9
75,,259.0,,,,1,F,N,In5erm3diate,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,,Homo sapiens,,1A9
76,,24297.0,,,,1,F,N,untermexiate,17721,Inhibitory concentration against Jurkat cells,,,Homo sapiens,,Jurkat
77,,,,,,0,F,U,Intwrmesiate,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,,
78,,25185.0,,,,9,A,D,Expe5t,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,Rattus norvegicus,,
79,,,,,,8,B,H,Experf,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,
80,,,,,,8,B,H,Exoert,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,
81,,,,,,8,B,H,Experg,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,,
82,,6045.0,,,Mic4oqomes,8,B,H,Autocufatioj,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,,Candida albicans,,
83,,42362.0,,,Microqomex,8,B,H,Autosuratiob,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,,Candida albicans,,
84,,47941.0,,,k7crosomes,8,B,H,Aurocuratioj,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,,Saccharomyces cerevisiae,,
85,,20923.0,,,Micr9somfs,8,B,H,zutovuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,,Saccharomyces cerevisiae,,
86,,14767.0,Lifer,,Mocr0somes,8,B,H,Auyocurarion,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,,Sus scrofa,,
87,,17938.0,,,,8,B,H,wktocuration,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,Rattus norvegicus,,
88,,20864.0,,,,8,B,H,Autofuratikn,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,Rattus norvegicus,,
89,,15220.0,,,,8,B,H,A6tocuratioh,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,Rattus norvegicus,,
90,,5440.0,Livdr,,Micr8sojes,9,B,D,Aurocurxtion,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,,Rattus norvegicus,,
91,,8229.0,Ljver,,Misrozomes,9,B,D,Autociratipn,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,Rattus norvegicus,,
92,,49823.0,Liber,,Micf9somes,9,B,D,wutocuragion,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,Rattus norvegicus,,
93,,,,,,8,B,H,Expe5t,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,,
94,,,,,,8,B,H,Ex0ert,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,,
95,,32130.0,,,,1,F,N,Expe5t,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,Homo sapiens,,HepG2
96,,28216.0,,,,1,F,N,In4erhediate,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,,Homo sapiens,,HepG2
97,,5506.0,,,,1,F,N,lntermediwte,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,,Homo sapiens,,HepG2
98,,26931.0,,,,1,F,N,unte3mediate,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,,Homo sapiens,,HepG2
99,,19454.0,,,,1,F,N,Intermed7xte,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,,Homo sapiens,,HepG2
100,,32.0,,,,1,F,N,4xpert,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,Hepatitis B virus,,
101,,73418.0,,,,1,F,N,Ijte4mediate,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,,Homo sapiens,,HepG2
102,,8405.0,,,,1,F,N,Intetmedizte,1717,Concentration required to inhibit 50% of 2.2.15 cell line,,,Homo sapiens,,HepG2
103,,56231.0,,,,1,A,N,Intermeciatf,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,,Homo sapiens,,HepG2
104,,43256.0,,,,1,F,N,Intdrmedoate,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,,Homo sapiens,,2.2.15
105,,27203.0,,,,1,F,N,Ijtermrdiate,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,,Homo sapiens,,2.2.15
106,,56754.0,,,,1,F,N,Ecpert,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,,Hepatitis B virus,,2.2.15
107,,80112.0,,,,1,F,N,Interk4diate,1593,In vitro anti-HBV activity in 2.2.15 cells,,,Homo sapiens,,2.2.15
108,,12346.0,,,,1,F,N,Imrermediate,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,,Homo sapiens,,2.2.15
109,,26235.0,,,,1,F,N,Int4rmediage,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,,Homo sapiens,,2.2.15
110,,56741.0,,,,1,F,N,Imt2rmediate,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,,Homo sapiens,,2.2.15
111,,38790.0,,,,1,F,N,Inhernediate,1593,Cytotoxicity in 2.2.15 cells,,,Homo sapiens,,2.2.15
112,,26684.0,,,,1,F,N,Ingerm2diate,1593,Cytotoxicity in 2.2.15 cells; Not determined,,,Homo sapiens,,2.2.15
113,,29813.0,,,,1,F,N,Interheduate,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,,Homo sapiens,,2.2.15
114,,3273.0,,,,1,F,N,Intsrmed7ate,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,,Homo sapiens,,2.2.15
115,,455.0,,,,1,F,N,Inteekediate,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,,Homo sapiens,,2.2.15
116,,44177.0,,,,1,F,N,Igtermeriate,14764,Antiviral activity against HBV was determined in 2.215 cell line,,,Homo sapiens,,HepG2
117,,5193.0,,,hicrosomea,0,B,U,Autocuraglon,6531,Inhibition of 20-HETE synthesis in human renal microsomes,,,Homo sapiens,,
118,,,,,,0,B,U,Autocurwtioh,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,,
119,,29958.0,,,,1,F,N,Intdfmediate,17072,Inhibitory concentration against 2008 (ovarian) cells,,,Homo sapiens,,2008
120,,80726.0,,,,1,F,N,Ihterjediate,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,,Homo sapiens,,2008
121,,20613.0,,,,1,F,N,9ntermediatf,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,,Homo sapiens,,2008
122,,20316.0,,,,1,F,N,Infermeeiate,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,,Homo sapiens,,2008
123,,84357.0,,,,1,F,N,Internediare,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,,Homo sapiens,,2008
124,,11058.0,,,,1,F,N,Ihtermediat2,10797,In vitro inhibition of 2008/R ovarian cancer cell line,,,Homo sapiens,,2008/R
125,,16933.0,,,,1,F,N,Ibtermedlate,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,,Homo sapiens,,2008/R
126,,10095.0,,,,1,F,N,Ingerm2diate,10797,In vitro inhibition of 2008/S ovarian cancer cell line,,,Homo sapiens,,2008/S
127,,28578.0,,,,1,F,N,7ntermediahe,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,,Homo sapiens,,2008/S
128,,9630.0,,,,2,B,S,Exp4rt,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,,Homo sapiens,,
129,,15911.0,,,,2,B,S,Intefmediwte,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,,Homo sapiens,,
130,,,,,,2,B,S,Exlert,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,,
131,,,,,,2,B,S,Experh,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,,
132,,,,,,2,B,S,ontrrmediate,3260,Inhibitory activity against 20S proteosome,,,,,
133,,58080.0,,,,0,B,U,xutochration,3451,Compound was tested for inhibitory activity against tryptase,,,Homo sapiens,,
134,,6403.0,,,,1,F,N,Inte5kediate,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,,Homo sapiens,,HepG2
135,,68085.0,,,,1,F,N,Intermerlate,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,,Homo sapiens,,HepG2
136,,,,,,0,B,U,Auyocura6ion,3676,Compound was tested for the inhibition of Alpha-glucosidase,,,,,
137,,,,,,8,B,H,Autocurar7on,6043,Inhibitory concentration against human neutrophil elastase (HNE),,,,,
138,,86708.0,Heaft,,,0,F,U,A6tocurat7on,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,,Rattus norvegicus,,
139,,,,,,8,F,H,Auticurati0n,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
140,,,,,,8,F,H,Expsrt,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
141,,,,,,8,B,H,Auypcuration,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
142,,,,,,8,F,H,Expery,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
143,,6516.0,,,,1,F,N,Intermeckate,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,,Mus musculus,,P338
144,,33640.0,,,,1,F,N,Inte4med9ate,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,,Mus musculus,,P338
145,,47578.0,,,,1,F,N,9ntermediatd,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,,Homo sapiens,,PBL
146,,52497.0,,,,0,F,U,Autockratjon,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,,Ovis aries,,
147,,21993.0,,,,0,F,U,Autocuratipj,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,,Ovis aries,,
148,,,,,,8,B,H,Autocuragkon,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,,,
149,,2528.0,,,,0,F,U,Autoc8rqtion,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,,Homo sapiens,,
150,,51177.0,,,,0,F,U,A6toc7ration,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,,Homo sapiens,,
151,,15681.0,,,,0,F,U,Autocuragiob,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,,Homo sapiens,,CCRF-CEM
152,,914.0,,,,0,F,U,Au4ocueation,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,,Homo sapiens,,CCRF-CEM
153,,13825.0,,,,0,F,U,qutpcuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,,Homo sapiens,,CCRF-CEM
154,,19896.0,,,,0,F,U,Aktocu4ation,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,,Homo sapiens,,CCRF-CEM
155,,1915.0,,,,0,F,U,Autocudatioh,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,,Homo sapiens,,
156,,19988.0,,,,0,F,U,Autocurat80n,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,,Homo sapiens,,
157,,,,,,6,B,H,Autoc6ra5ion,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,,,
158,,21324.0,,,,1,F,N,Interheeiate,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,,Streptococcus pyogenes,,
159,,49962.0,,,,1,F,N,Interkddiate,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,,Human herpesvirus 3,,
160,,29267.0,,,,1,F,N,Exper5,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,,vericilla zoster virus,,HEL
161,,6015.0,,,,1,F,N,Inte3mwdiate,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,,,vericilla zoster virus,,
162,,58546.0,,,,1,F,N,Intermddlate,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,,,vericilla zoster virus,,
163,,20304.0,,,,1,F,N,Inte5m3diate,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,,escherichia cloac,,
164,,,,,,0,B,U,Auypcuration,9707,Ratio of Ki at A2 to Ki at A1 receptors,,,,,
165,,50257.0,,,,8,B,H,Ecpert,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,,Candida albicans,,
166,,12348.0,,,,8,B,H,Ex0ert,2205,"Inhibition of 1,3-beta-glucan synthase",,,Candida glabrata CBS 138,,
167,,94140.0,,,,1,F,N,Imtfrmediate,11900,Inhibition of growth of 1-87 human tumor cell line,,,Homo sapiens,,1-87 tumor cell line
168,,65782.0,,,,9,B,D,Ex9ert,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,,,Rattus norvegicus,,
169,,11467.0,,,,9,B,D,A8rocuration,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),,,Glycine max,,
170,,57837.0,,,,9,B,D,Autoduratiom,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,,,Glycine max,,
171,,16165.0,,,,9,B,D,Auticuratikn,16474,% inhibition against soybean 1-lipoxygenase (SLO),,,Glycine max,,
172,,57058.0,,,,9,B,D,Autocurst8on,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,,,Glycine max,,
173,,26526.0,,,,9,B,D,Aut8duration,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,,,Glycine max,,
174,,63560.0,,,,9,B,D,Autocuray8on,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,,,Glycine max,,
175,,2001.0,,,,9,B,D,Autpcuratlon,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,,,Glycine max,,
176,,12035.0,,,,9,B,D,Autocurq6ion,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,,,Glycine max,,
177,,5753.0,,,,9,B,D,xut9curation,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,,,Glycine max,,
178,,141430.0,,,,9,B,D,zutocurahion,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,,,Glycine max,,
