relationship_type,src_assay_id,assay_strain,assay_tax_id,assay_organism,doc_id,tid,curated_by,description,variant_id,assay_cell_type,assay_test_type,assay_category,assay_tissue,bao_format,confidence_score,assay_subcellular_fraction,src_id,assay_id,cell_id,chembl_id,assay_type,tissue_id
N,,,1280.0,Staphylococcus aureus,11324,50185,Intermediate,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,,,,,BAO_0000218,1,,1,16,,CHEMBL615131,F,
D,,,10116.0,Rattus norvegicus,11347,100122,Expert,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,,,,BAO_0000357,9,,1,17,,CHEMBL884521,A,
H,,,,,16474,12054,Autocuration,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,BAO_0000357,8,,1,18,,CHEMBL615132,B,
H,,,,,10091,12054,Autocuration,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,,,BAO_0000019,8,,1,19,,CHEMBL615133,B,
H,,,,,16474,12054,Autocuration,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,BAO_0000357,8,,1,20,,CHEMBL615134,B,
H,,,,,16474,12054,Autocuration,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,,,BAO_0000357,8,,1,21,,CHEMBL615135,B,
H,,,,,16474,12054,Autocuration,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,,BAO_0000357,8,,1,22,,CHEMBL615136,B,
H,,,,,16474,12054,Autocuration,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,BAO_0000357,8,,1,23,,CHEMBL615137,B,
H,,,,,16474,12054,Autocuration,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,,BAO_0000357,8,,1,24,,CHEMBL615138,B,
U,,,,,14352,22226,Autocuration,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,,,BAO_0000219,0,,1,25,,CHEMBL836324,B,
H,,,9986.0,Oryctolagus cuniculus,5646,12054,Autocuration,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,,,,BAO_0000357,8,,1,26,,CHEMBL615139,B,
H,,,9986.0,Oryctolagus cuniculus,5646,12054,Autocuration,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,,,,BAO_0000357,8,,1,27,,CHEMBL615140,B,
H,,,,,10997,12426,Autocuration,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,,,BAO_0000219,8,,1,28,,CHEMBL615141,B,
H,,,3847.0,soya bean,6309,12054,Autocuration,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,,,,BAO_0000357,8,,1,29,,CHEMBL615142,B,
H,,,3847.0,Glycine max,167,12054,Autocuration,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,,,,BAO_0000357,8,,1,30,,CHEMBL615143,B,
H,,,3847.0,Glycine max,167,12054,Autocuration,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,,,,BAO_0000357,8,,1,31,,CHEMBL615144,B,
H,,,3847.0,Glycine max,11087,12054,Autocuration,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,,,,BAO_0000357,8,,1,32,,CHEMBL872867,B,
H,,,3847.0,Glycine max,11087,12054,Autocuration,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,,,,BAO_0000357,8,,1,33,,CHEMBL615145,B,
H,,,3847.0,Glycine max,13622,12054,Autocuration,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,,,,BAO_0000357,8,,1,34,,CHEMBL615146,B,
H,,,3847.0,Glycine max,13622,12054,Autocuration,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,,,,BAO_0000357,8,,1,35,,CHEMBL615147,B,
U,,,10116.0,Rattus norvegicus,11347,22226,Autocuration,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,,,,BAO_0000019,0,,1,36,,CHEMBL615148,A,
U,,,562.0,Escherichia coli,5926,22226,Autocuration,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,,,,BAO_0000019,0,,1,37,,CHEMBL615149,B,
U,,,,,4567,22226,Autocuration,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,,,BAO_0000019,0,,1,38,,CHEMBL615150,B,
M,,,,,3782,22222,Intermediate,Dissociation constant towards 16S rRNA construct A,,,,,,BAO_0000225,3,,1,39,,CHEMBL615151,B,
M,,,,,3782,22222,Intermediate,Dissociation constant towards 16S rRNA construct B,,,,,,BAO_0000225,3,,1,40,,CHEMBL615152,B,
M,,,562.0,Escherichia coli,4466,100263,Expert,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,,,,BAO_0000225,3,,1,41,,CHEMBL615153,B,
M,,,562.0,Escherichia coli,6592,100263,Expert,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,,,,BAO_0000225,3,,1,42,,CHEMBL615154,B,
H,,,,,898,13053,Autocuration,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,BAO_0000019,8,,1,43,,CHEMBL615155,B,
H,,,,,898,13053,Autocuration,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,BAO_0000019,8,,1,44,,CHEMBL615156,B,
H,,,9606.0,Homo sapiens,13163,20001,Autocuration,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,,,,BAO_0000019,8,,1,45,,CHEMBL615157,B,
H,,,9606.0,Homo sapiens,13163,20001,Autocuration,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,,,,BAO_0000019,8,,1,46,,CHEMBL615158,B,
D,,,10116.0,Rattus norvegicus,10691,12971,Expert,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,,,,BAO_0000019,9,,1,47,,CHEMBL615159,B,
D,,,10116.0,Rattus norvegicus,10691,12971,Expert,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,,,,BAO_0000019,9,,1,48,,CHEMBL615172,B,
D,,,10116.0,Rattus norvegicus,10691,12971,Expert,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,,,,BAO_0000019,9,,1,49,,CHEMBL615173,B,
D,,,10116.0,Rattus norvegicus,10691,12971,Expert,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,,,,BAO_0000019,9,,1,50,,CHEMBL615174,B,
H,,,,,898,13053,Autocuration,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,,BAO_0000019,8,,1,51,,CHEMBL884518,B,
H,,,,,912,11512,Autocuration,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,,,BAO_0000357,8,,1,52,,CHEMBL615175,B,
H,,,,,912,11512,Autocuration,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,,,BAO_0000357,8,,1,53,,CHEMBL615176,B,
H,,,,,912,11512,Autocuration,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,,,BAO_0000357,8,,1,54,,CHEMBL615177,B,
D,,,10116.0,Rattus norvegicus,15103,104740,Autocuration,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,,,,BAO_0000249,5,Membranes,1,55,,CHEMBL615178,B,
N,,,9606.0,Homo sapiens,5116,80002,Intermediate,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,1A9,,,,BAO_0000219,1,,1,56,506.0,CHEMBL615179,F,
D,,,10116.0,Rattus norvegicus,14578,104835,Autocuration,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,Oocytes,,,,BAO_0000219,7,,1,57,,CHEMBL615180,F,
D,,,10116.0,Rattus norvegicus,14578,104821,Autocuration,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,Oocytes,,,,BAO_0000219,7,,1,58,,CHEMBL615181,F,
D,,,10116.0,Rattus norvegicus,14578,104848,Autocuration,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,Oocytes,,,,BAO_0000219,7,,1,59,,CHEMBL615182,F,
N,,,9606.0,Homo sapiens,4787,80002,Expert,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,1A9,,,,BAO_0000219,1,,1,60,506.0,CHEMBL615183,F,
N,,,9606.0,Homo sapiens,4787,80002,Intermediate,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,1A9,,,,BAO_0000219,1,,1,61,506.0,CHEMBL615184,F,
N,,,9606.0,Homo sapiens,3547,80002,Intermediate,Cytotoxic activity against human ovarian cancer (1A9) cell line,,1A9,,,,BAO_0000219,1,,1,62,506.0,CHEMBL615185,F,
N,,,9606.0,Homo sapiens,3547,80002,Intermediate,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,1A9,,,,BAO_0000219,1,,1,63,506.0,CHEMBL615186,F,
N,,,9606.0,Homo sapiens,6726,80002,Intermediate,Effective dose of compound against replication of 1A9 cell line was evaluated,,1A9,,,,BAO_0000219,1,,1,64,506.0,CHEMBL615187,F,
N,,,9606.0,Homo sapiens,3455,80002,Expert,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,1A9,,,,BAO_0000219,1,,1,65,506.0,CHEMBL885343,F,
N,,,9606.0,Homo sapiens,5726,80002,Intermediate,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,1A9,,,,BAO_0000219,1,,1,66,506.0,CHEMBL615188,F,
N,,,9606.0,Homo sapiens,5726,80002,Intermediate,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,1A9,,,,BAO_0000219,1,,1,67,506.0,CHEMBL615189,F,
N,,,9606.0,Homo sapiens,5726,80002,Intermediate,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,1A9,,,,BAO_0000219,1,,1,68,506.0,CHEMBL615190,F,
N,,,9606.0,Homo sapiens,3395,80002,Intermediate,Inhibitory activity against Taxol resistant 1A9 cell lines,,1A9,,,,BAO_0000219,1,,1,69,506.0,CHEMBL615191,F,
N,,,9606.0,Homo sapiens,3415,80002,Expert,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,1A9,,,,BAO_0000219,1,,1,70,506.0,CHEMBL615192,F,
N,,,9606.0,Homo sapiens,3415,80002,Expert,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,1A9,,,,BAO_0000219,1,,1,71,506.0,CHEMBL827083,F,
N,,,9606.0,Homo sapiens,17099,80002,Expert,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,1A9,,,,BAO_0000219,1,,1,72,506.0,CHEMBL615193,F,
N,,,9606.0,Homo sapiens,17099,80002,Intermediate,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,1A9,,,,BAO_0000219,1,,1,73,506.0,CHEMBL615194,F,
N,,,9606.0,Homo sapiens,17099,80002,Intermediate,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,1A9,,,,BAO_0000219,1,,1,74,506.0,CHEMBL615195,F,
N,,,9606.0,Homo sapiens,17099,80002,Intermediate,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,1A9,,,,BAO_0000219,1,,1,75,506.0,CHEMBL615196,F,
N,,,9606.0,Homo sapiens,17721,81072,Intermediate,Inhibitory concentration against Jurkat cells,,Jurkat,,,,BAO_0000219,1,,1,76,503.0,CHEMBL615197,F,
U,,,,,1229,22226,Intermediate,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,,,BAO_0000019,0,,1,77,,CHEMBL615198,F,
D,,,10116.0,Rattus norvegicus,11347,100121,Expert,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,,,,BAO_0000357,9,,1,78,,CHEMBL615199,A,
H,,,,,17117,11231,Expert,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,BAO_0000357,8,,1,79,,CHEMBL615200,B,
H,,,,,17117,11231,Expert,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,BAO_0000357,8,,1,80,,CHEMBL615201,B,
H,,,,,17117,11231,Expert,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,,,BAO_0000357,8,,1,81,,CHEMBL615202,B,
H,,,5476.0,Candida albicans,11375,11231,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,,,,,BAO_0000251,8,Microsomes,1,82,,CHEMBL615203,B,
H,,,5476.0,Candida albicans,11375,11231,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,,,,,BAO_0000251,8,Microsomes,1,83,,CHEMBL615204,B,
H,,,4932.0,Saccharomyces cerevisiae,11375,11231,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,,,,,BAO_0000251,8,Microsomes,1,84,,CHEMBL615205,B,
H,,,4932.0,Saccharomyces cerevisiae,11375,11231,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,,,,,BAO_0000251,8,Microsomes,1,85,,CHEMBL615206,B,
H,,,9823.0,Sus scrofa,11375,12083,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,,,,Liver,BAO_0000251,8,Microsomes,1,86,,CHEMBL615207,B,2107.0
H,,,10116.0,Rattus norvegicus,791,11231,Autocuration,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,,,,BAO_0000019,8,,1,87,,CHEMBL827084,B,
H,,,10116.0,Rattus norvegicus,791,11231,Autocuration,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,,,,BAO_0000019,8,,1,88,,CHEMBL615208,B,
H,,,10116.0,Rattus norvegicus,791,11231,Autocuration,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,,,,BAO_0000019,8,,1,89,,CHEMBL615209,B,
D,,,10116.0,Rattus norvegicus,11375,12083,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,,,,Liver,BAO_0000251,9,Microsomes,1,90,,CHEMBL615210,B,2107.0
D,,,10116.0,Rattus norvegicus,11375,12083,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,,,Liver,BAO_0000251,9,Microsomes,1,91,,CHEMBL615211,B,2107.0
D,,,10116.0,Rattus norvegicus,153,12083,Autocuration,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,,,Liver,BAO_0000251,9,Microsomes,1,92,,CHEMBL615212,B,2107.0
H,,,,,8269,11377,Expert,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,,,BAO_0000357,8,,1,93,,CHEMBL615213,B,
H,,,,,8269,11377,Expert,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,,,BAO_0000357,8,,1,94,,CHEMBL615273,B,
N,,,9606.0,Homo sapiens,17653,81020,Expert,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,HepG2,,,,BAO_0000219,1,,1,95,726.0,CHEMBL615274,F,
N,,,9606.0,Homo sapiens,14277,81020,Intermediate,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,HepG2,,,,BAO_0000219,1,,1,96,726.0,CHEMBL615275,F,
N,,,9606.0,Homo sapiens,1717,81020,Intermediate,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,HepG2,,,,BAO_0000219,1,,1,97,726.0,CHEMBL615276,F,
N,,,9606.0,Homo sapiens,14091,81020,Intermediate,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,HepG2,,,,BAO_0000219,1,,1,98,726.0,CHEMBL615277,F,
N,,,9606.0,Homo sapiens,14091,81020,Intermediate,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,HepG2,,,,BAO_0000219,1,,1,99,726.0,CHEMBL615326,F,
N,,,10407.0,Hepatitis B virus,17653,50606,Expert,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,,,,BAO_0000218,1,,1,100,,CHEMBL883130,F,
N,,,9606.0,Homo sapiens,13105,81020,Intermediate,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,HepG2,,,,BAO_0000219,1,,1,101,726.0,CHEMBL884519,F,
N,,,9606.0,Homo sapiens,1717,81020,Intermediate,Concentration required to inhibit 50% of 2.2.15 cell line,,HepG2,,,,BAO_0000219,1,,1,102,726.0,CHEMBL615327,F,
N,,,9606.0,Homo sapiens,13105,81020,Intermediate,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,HepG2,,,,BAO_0000219,1,,1,103,726.0,CHEMBL615328,A,
N,,,9606.0,Homo sapiens,13600,50587,Intermediate,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,2.2.15,,,,BAO_0000218,1,,1,104,,CHEMBL615329,F,
N,,,9606.0,Homo sapiens,13467,50587,Intermediate,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,2.2.15,,,,BAO_0000218,1,,1,105,,CHEMBL615330,F,
N,,,10407.0,Hepatitis B virus,17477,50606,Expert,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,2.2.15,,,,BAO_0000218,1,,1,106,,CHEMBL615331,F,
N,,,9606.0,Homo sapiens,1593,50587,Intermediate,In vitro anti-HBV activity in 2.2.15 cells,,2.2.15,,,,BAO_0000218,1,,1,107,,CHEMBL615332,F,
N,,,9606.0,Homo sapiens,1593,50587,Intermediate,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,2.2.15,,,,BAO_0000218,1,,1,108,,CHEMBL615333,F,
N,,,9606.0,Homo sapiens,15089,50587,Intermediate,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,2.2.15,,,,BAO_0000218,1,,1,109,,CHEMBL615334,F,
N,,,9606.0,Homo sapiens,15089,50587,Intermediate,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,2.2.15,,,,BAO_0000218,1,,1,110,,CHEMBL615335,F,
N,,,9606.0,Homo sapiens,1593,50587,Intermediate,Cytotoxicity in 2.2.15 cells,,2.2.15,,,,BAO_0000218,1,,1,111,,CHEMBL615336,F,
N,,,9606.0,Homo sapiens,1593,50587,Intermediate,Cytotoxicity in 2.2.15 cells; Not determined,,2.2.15,,,,BAO_0000218,1,,1,112,,CHEMBL615337,F,
N,,,9606.0,Homo sapiens,13600,50587,Intermediate,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,2.2.15,,,,BAO_0000218,1,,1,113,,CHEMBL615338,F,
N,,,9606.0,Homo sapiens,13467,50587,Intermediate,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,2.2.15,,,,BAO_0000218,1,,1,114,,CHEMBL615339,F,
N,,,9606.0,Homo sapiens,13467,50587,Intermediate,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,2.2.15,,,,BAO_0000218,1,,1,115,,CHEMBL615340,F,
N,,,9606.0,Homo sapiens,14764,81020,Intermediate,Antiviral activity against HBV was determined in 2.215 cell line,,HepG2,,,,BAO_0000219,1,,1,116,726.0,CHEMBL615341,F,
U,,,9606.0,Homo sapiens,6531,22226,Autocuration,Inhibition of 20-HETE synthesis in human renal microsomes,,,,,,BAO_0000251,0,Microsomes,1,117,,CHEMBL615342,B,
U,,,,,17322,22226,Autocuration,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,,,BAO_0000019,0,,1,118,,CHEMBL615343,B,
N,,,9606.0,Homo sapiens,17072,80612,Intermediate,Inhibitory concentration against 2008 (ovarian) cells,,2008,,,,BAO_0000219,1,,1,119,388.0,CHEMBL615344,F,
N,,,9606.0,Homo sapiens,16936,80612,Intermediate,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,2008,,,,BAO_0000219,1,,1,120,388.0,CHEMBL615345,F,
N,,,9606.0,Homo sapiens,16936,80612,Intermediate,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,2008,,,,BAO_0000219,1,,1,121,388.0,CHEMBL615346,F,
N,,,9606.0,Homo sapiens,17146,80612,Intermediate,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,2008,,,,BAO_0000219,1,,1,122,388.0,CHEMBL615347,F,
N,,,9606.0,Homo sapiens,17146,80612,Intermediate,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,2008,,,,BAO_0000219,1,,1,123,388.0,CHEMBL615348,F,
N,,,9606.0,Homo sapiens,10797,80613,Intermediate,In vitro inhibition of 2008/R ovarian cancer cell line,,2008/R,,,,BAO_0000219,1,,1,124,561.0,CHEMBL827085,F,
N,,,9606.0,Homo sapiens,10797,80613,Intermediate,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,2008/R,,,,BAO_0000219,1,,1,125,561.0,CHEMBL615349,F,
N,,,9606.0,Homo sapiens,10797,80614,Intermediate,In vitro inhibition of 2008/S ovarian cancer cell line,,2008/S,,,,BAO_0000219,1,,1,126,389.0,CHEMBL615350,F,
N,,,9606.0,Homo sapiens,10797,80614,Intermediate,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,2008/S,,,,BAO_0000219,1,,1,127,389.0,CHEMBL615351,F,
S,,,9606.0,Homo sapiens,4823,100256,Expert,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,,,,,BAO_0000220,2,,1,128,,CHEMBL615352,B,
S,,,9606.0,Homo sapiens,12912,100256,Intermediate,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,,,,,BAO_0000220,2,,1,129,,CHEMBL615353,B,
S,,,,,2957,100256,Expert,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,,,BAO_0000220,2,,1,130,,CHEMBL615354,B,
S,,,,,2957,100256,Expert,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,,,BAO_0000220,2,,1,131,,CHEMBL615355,B,
S,,,,,3260,100256,Intermediate,Inhibitory activity against 20S proteosome,,,,,,BAO_0000220,2,,1,132,,CHEMBL615356,B,
U,,,9606.0,Homo sapiens,3451,22226,Autocuration,Compound was tested for inhibitory activity against tryptase,,,,,,BAO_0000019,0,,1,133,,CHEMBL615357,B,
N,,,9606.0,Homo sapiens,13885,81020,Intermediate,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,HepG2,,,,BAO_0000219,1,,1,134,726.0,CHEMBL615358,F,
N,,,9606.0,Homo sapiens,13885,81020,Intermediate,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,HepG2,,,,BAO_0000219,1,,1,135,726.0,CHEMBL827086,F,
U,,,,,3676,22226,Autocuration,Compound was tested for the inhibition of Alpha-glucosidase,,,,,,BAO_0000019,0,,1,136,,CHEMBL615359,B,
H,,,,,6043,235,Autocuration,Inhibitory concentration against human neutrophil elastase (HNE),,,,,,BAO_0000357,8,,1,137,,CHEMBL615360,B,
U,,,10116.0,Rattus norvegicus,11140,22226,Autocuration,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,,,,Heart,BAO_0000218,0,,1,138,,CHEMBL615361,F,948.0
