miller2_fsclr,miller2_mxmmcdcntrbtn(prjct-lvl),miller2_dsbltsss(mrkr),miller2_cntrrgnd,miller2_thsss(mrkr),miller2_gndrqlt(mrkr),miller2_trddvlpmnt(mrkr),miller2_bltrld(ntrntnlmrkr),miller2_fstcprcnt,miller2_stts,miller2_nvrmntlsstnblt(mrkr),miller2_rgnstntp,miller2_sctrd,miller2_knwldgfrdvlpmnt(mrkr),miller2_bdvrst(mrkr),miller2_dsrtfctn(mrkr),miller2_prtcptrdvlpmntndgdgvrnnc,miller2_rbnsss(mrkr),miller2_chldrnsss(mrkr),miller2_ndgnssss(mrkr),miller2_ctstlfrdvlpmnt(mrkr),miller2_rgnstnd,miller2_rgnstnnm,miller2_rgnstnclss,miller2_rgnstnsb-clss,miller2_cntnntd,miller2_cntnntnm,miller2_prjctbrwsrcntrd,miller2_cntrrgnnm,miller2_cntrrgnprcnt,miller2_sctrnm,miller2_sctrprcnt,miller2_mntspnt
2009/2010,600000.0,0,X1,0,0,0,1,0.0,Closed,1,Foreign Non-Profit Making,72050,1,0,0,1,0,0,0,0,1002035,International Crisis Group,Civil Society,NGO,2,Africa,X1,Africa MC,0.5,Relief co-ordination; protection and support services,1.0,150000.0
2009/2010,600000.0,0,X2,0,0,0,1,0.0,Closed,1,Foreign Non-Profit Making,72050,1,0,0,1,0,0,0,0,1002035,International Crisis Group,Civil Society,NGO,1,America,X2,Americas MC,0.1,Relief co-ordination; protection and support services,1.0,30000.0
2009/2010,600000.0,0,X3,0,0,0,1,0.0,Closed,1,Foreign Non-Profit Making,72050,1,0,0,1,0,0,0,0,1002035,International Crisis Group,Civil Society,NGO,3,Asia,X3,Asia MC,0.3,Relief co-ordination; protection and support services,1.0,90000.0
2009/2010,600000.0,0,X4,0,0,0,1,0.0,Closed,1,Foreign Non-Profit Making,72050,1,0,0,1,0,0,0,0,1002035,International Crisis Group,Civil Society,NGO,5,Europe,X4,Europe MC,0.1,Relief co-ordination; protection and support services,1.0,30000.0
2009/2010,1800000.0,0,YE,0,0,0,1,0.0,Closed,0,Foreign Non-Profit Making,72040,0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Multilateral,UNITED NATIONS,3,Asia,YE,Yemen,1.0,Emergency food aid,1.0,500000.0
2009/2010,3000000.0,0,CO,0,0,0,1,0.0,Closed,0,Foreign Non-Profit Making,72040,0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Multilateral,UNITED NATIONS,1,America,CO,Colombia,1.0,Emergency food aid,1.0,1500000.0
2009/2010,6500000.0,0,TD,0,1,0,1,0.0,Closed,0,Foreign Non-Profit Making,72040,0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Multilateral,UNITED NATIONS,2,Africa,TD,Chad,1.0,Emergency food aid,1.0,6500000.0
2009/2010,22450000.0,0,SD,0,0,0,1,0.0,Closed,0,Foreign Non-Profit Making,72040,0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Multilateral,UNITED NATIONS,2,Africa,SD,Sudan,1.0,Emergency food aid,1.0,3950000.0
2009/2010,14000000.0,0,X1,0,1,0,0,0.0,Closed,0,Foreign Non-Profit Making,72010,0,0,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,UNITED NATIONS,2,Africa,X1,Africa MC,0.45,Material relief assistance and services,1.0,6300000.0
2009/2010,14000000.0,0,X2,0,1,0,0,0.0,Closed,0,Foreign Non-Profit Making,72010,0,0,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,UNITED NATIONS,1,America,X2,Americas MC,0.05,Material relief assistance and services,1.0,700000.0
2009/2010,14000000.0,0,X3,0,1,0,0,0.0,Closed,0,Foreign Non-Profit Making,72010,0,0,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,UNITED NATIONS,3,Asia,X3,Asia MC,0.45,Material relief assistance and services,1.0,6300000.0
2009/2010,14000000.0,0,X4,0,1,0,0,0.0,Closed,0,Foreign Non-Profit Making,72010,0,0,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,UNITED NATIONS,5,Europe,X4,Europe MC,0.05,Material relief assistance and services,1.0,700000.0
2009/2010,500000.0,0,X3,0,0,0,1,0.0,Closed,0,Canadian Non-Profit Making,72010,0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,INTERNATIONAL NGO,3,Asia,X3,Asia MC,1.0,Material relief assistance and services,1.0,500000.0
2009/2010,2700000.0,0,X1,0,0,0,1,0.0,Closed,0,Foreign Non-Profit Making,72050,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,UNITED NATIONS,2,Africa,X1,Africa MC,0.5,Relief co-ordination; protection and support services,1.0,1350000.0
2009/2010,2700000.0,0,X2,0,0,0,1,0.0,Closed,0,Foreign Non-Profit Making,72050,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,UNITED NATIONS,1,America,X2,Americas MC,0.15,Relief co-ordination; protection and support services,1.0,405000.0
2009/2010,2700000.0,0,X3,0,0,0,1,0.0,Closed,0,Foreign Non-Profit Making,72050,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,UNITED NATIONS,3,Asia,X3,Asia MC,0.3,Relief co-ordination; protection and support services,1.0,810000.0
2009/2010,2700000.0,0,X4,0,0,0,1,0.0,Closed,0,Foreign Non-Profit Making,72050,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,UNITED NATIONS,5,Europe,X4,Europe MC,0.05,Relief co-ordination; protection and support services,1.0,135000.0
2009/2010,30000000.0,0,AF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31110,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,AF,Afghanistan,0.0065,Agricultural policy and administrative management,0.2,39000.0
2009/2010,30000000.0,0,AF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31120,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,AF,Afghanistan,0.0065,Agricultural development,0.2,39000.0
2009/2010,30000000.0,0,AF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31150,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,AF,Afghanistan,0.0065,Agricultural inputs,0.1,19500.0
2009/2010,30000000.0,0,AF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31161,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,AF,Afghanistan,0.0065,Food crop production,0.1,19500.0
2009/2010,30000000.0,0,AF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31166,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,AF,Afghanistan,0.0065,Agricultural extension,0.1,19500.0
2009/2010,30000000.0,0,AF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31182,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,AF,Afghanistan,0.0065,Agricultural research,0.1,19500.0
2009/2010,30000000.0,0,AF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31191,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,AF,Afghanistan,0.0065,Agricultural services,0.1,19500.0
2009/2010,30000000.0,0,AF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31193,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,AF,Afghanistan,0.0065,Agricultural financial services,0.1,19500.0
2009/2010,30000000.0,0,BD,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31110,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,BD,Bangladesh,0.105,Agricultural policy and administrative management,0.2,630000.0
2009/2010,30000000.0,0,BD,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31120,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,BD,Bangladesh,0.105,Agricultural development,0.2,630000.0
2009/2010,30000000.0,0,BD,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31150,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,BD,Bangladesh,0.105,Agricultural inputs,0.1,315000.0
2009/2010,30000000.0,0,BD,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31161,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,BD,Bangladesh,0.105,Food crop production,0.1,315000.0
2009/2010,30000000.0,0,BD,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31166,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,BD,Bangladesh,0.105,Agricultural extension,0.1,315000.0
2009/2010,30000000.0,0,BD,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31182,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,BD,Bangladesh,0.105,Agricultural research,0.1,315000.0
2009/2010,30000000.0,0,BD,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31191,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,BD,Bangladesh,0.105,Agricultural services,0.1,315000.0
2009/2010,30000000.0,0,BD,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31193,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,3,Asia,BD,Bangladesh,0.105,Agricultural financial services,0.1,315000.0
2009/2010,30000000.0,0,BI,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31110,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BI,Burundi,0.0081,Agricultural policy and administrative management,0.2,48600.0
2009/2010,30000000.0,0,BI,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31120,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BI,Burundi,0.0081,Agricultural development,0.2,48600.0
2009/2010,30000000.0,0,BI,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31150,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BI,Burundi,0.0081,Agricultural inputs,0.1,24300.0
2009/2010,30000000.0,0,BI,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31161,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BI,Burundi,0.0081,Food crop production,0.1,24300.0
2009/2010,30000000.0,0,BI,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31166,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BI,Burundi,0.0081,Agricultural extension,0.1,24300.0
2009/2010,30000000.0,0,BI,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31182,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BI,Burundi,0.0081,Agricultural research,0.1,24300.0
2009/2010,30000000.0,0,BI,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31191,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BI,Burundi,0.0081,Agricultural services,0.1,24300.0
2009/2010,30000000.0,0,BI,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31193,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BI,Burundi,0.0081,Agricultural financial services,0.1,24300.0
2009/2010,30000000.0,0,BJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31110,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BJ,Benin,0.0073,Agricultural policy and administrative management,0.2,43800.0
2009/2010,30000000.0,0,BJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31120,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BJ,Benin,0.0073,Agricultural development,0.2,43800.0
2009/2010,30000000.0,0,BJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31150,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BJ,Benin,0.0073,Agricultural inputs,0.1,21900.0
2009/2010,30000000.0,0,BJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31161,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BJ,Benin,0.0073,Food crop production,0.1,21900.0
2009/2010,30000000.0,0,BJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31166,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BJ,Benin,0.0073,Agricultural extension,0.1,21900.0
2009/2010,30000000.0,0,BJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31182,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BJ,Benin,0.0073,Agricultural research,0.1,21900.0
2009/2010,30000000.0,0,BJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31191,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BJ,Benin,0.0073,Agricultural services,0.1,21900.0
2009/2010,30000000.0,0,BJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31193,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,BJ,Benin,0.0073,Agricultural financial services,0.1,21900.0
2009/2010,30000000.0,0,CF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31110,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Agricultural policy and administrative management,0.2,34200.0
2009/2010,30000000.0,0,CF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31120,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Agricultural development,0.2,34200.0
2009/2010,30000000.0,0,CF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31150,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Agricultural inputs,0.1,17100.0
2009/2010,30000000.0,0,CF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31161,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Food crop production,0.1,17100.0
2009/2010,30000000.0,0,CF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31166,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Agricultural extension,0.1,17100.0
2009/2010,30000000.0,0,CF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31182,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Agricultural research,0.1,17100.0
2009/2010,30000000.0,0,CF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31191,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Agricultural services,0.1,17100.0
2009/2010,30000000.0,0,CF,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31193,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Agricultural financial services,0.1,17100.0
2009/2010,30000000.0,0,DJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31110,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,DJ,Djibouti,0.004,Agricultural policy and administrative management,0.2,24000.0
2009/2010,30000000.0,0,DJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31120,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,DJ,Djibouti,0.004,Agricultural development,0.2,24000.0
2009/2010,30000000.0,0,DJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31150,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,DJ,Djibouti,0.004,Agricultural inputs,0.1,12000.0
2009/2010,30000000.0,0,DJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31161,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,DJ,Djibouti,0.004,Food crop production,0.1,12000.0
2009/2010,30000000.0,0,DJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31166,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,DJ,Djibouti,0.004,Agricultural extension,0.1,12000.0
2009/2010,30000000.0,0,DJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31182,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,DJ,Djibouti,0.004,Agricultural research,0.1,12000.0
2009/2010,30000000.0,0,DJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31191,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,DJ,Djibouti,0.004,Agricultural services,0.1,12000.0
2009/2010,30000000.0,0,DJ,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31193,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,DJ,Djibouti,0.004,Agricultural financial services,0.1,12000.0
2009/2010,30000000.0,0,ET,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31110,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,ET,Ethiopia,0.222,Agricultural policy and administrative management,0.2,1332000.0
2009/2010,30000000.0,0,ET,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31120,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,ET,Ethiopia,0.222,Agricultural development,0.2,1332000.0
2009/2010,30000000.0,0,ET,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31150,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,ET,Ethiopia,0.222,Agricultural inputs,0.1,666000.0
2009/2010,30000000.0,0,ET,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31161,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,ET,Ethiopia,0.222,Food crop production,0.1,666000.0
2009/2010,30000000.0,0,ET,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31166,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,ET,Ethiopia,0.222,Agricultural extension,0.1,666000.0
2009/2010,30000000.0,0,ET,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31182,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,ET,Ethiopia,0.222,Agricultural research,0.1,666000.0
2009/2010,30000000.0,0,ET,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31191,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,ET,Ethiopia,0.222,Agricultural services,0.1,666000.0
2009/2010,30000000.0,0,ET,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31193,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,ET,Ethiopia,0.222,Agricultural financial services,0.1,666000.0
2009/2010,30000000.0,0,GN,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31110,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,GN,Guinea,0.0081,Agricultural policy and administrative management,0.2,48600.0
2009/2010,30000000.0,0,GN,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31120,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,GN,Guinea,0.0081,Agricultural development,0.2,48600.0
2009/2010,30000000.0,0,GN,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31150,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,GN,Guinea,0.0081,Agricultural inputs,0.1,24300.0
2009/2010,30000000.0,0,GN,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31161,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,GN,Guinea,0.0081,Food crop production,0.1,24300.0
2009/2010,30000000.0,0,GN,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31166,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,GN,Guinea,0.0081,Agricultural extension,0.1,24300.0
2009/2010,30000000.0,0,GN,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31182,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,GN,Guinea,0.0081,Agricultural research,0.1,24300.0
2009/2010,30000000.0,0,GN,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31191,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,GN,Guinea,0.0081,Agricultural services,0.1,24300.0
2009/2010,30000000.0,0,GN,0,1,1,1,0.1,Operational,1,Foreign Non-Profit Making,31193,0,0,0,0,0,0,0,0,1001306,World Bank,Multilateral,IFI,2,Africa,GN,Guinea,0.0081,Agricultural financial services,0.1,24300.0
