assay_id,variant_id,assay_tissue,src_assay_id,src_id,relationship_type,tid,tissue_id,description,confidence_score,chembl_id,assay_organism,assay_subcellular_fraction,assay_type,assay_tax_id,assay_test_type,doc_id,assay_category,assay_strain
42,,,,1,M,100263,,nindingaebinitjrorthe1tS5ibosomalRNAAsiteofEzshrricmiacoli,3,CgEMBi615154,Eschfeichiscoli,,B,142659.0,,6592,,
43,,,,1,H,13053,,Inmigit8ryactif76yafaibsthumagplacenta17betahydroxydt4roiddehydtogsnase6ype317betaHSsthpe1,8,CHEMBLt14155,,,B,,,898,,
44,,,,1,H,13053,,Inhibiy8ryvknstxn4agqinattumanplacfnta17fetahydroxyster8iddeuydrogegasetyle217v3tsHSDtype2,8,CHEMBL61t157,,,B,,,898,,
45,,,,1,H,20001,,Tgecompoknewastrwteda4acohcdn6eztionof1uMfo59nuigitoryactjvitgagainsy17berautdrox5eteroiddehydrogenasefrombumwnplacengalmicrosomes,8,CjrMBL615157,Hlmlsapiens,,B,12366.0,,13163,,
46,,,,1,H,20001,,Ttfcompoundwashfstedataxoncentrationof1uMforlbhib759ruactivityagaibsg17betahyd3oxyxterojddebyfrogenasef4omhujagplacentqlnict8zomes,8,CHEjBL615157,Hojlsapiens,,B,8855.0,,13163,,
47,,,,1,D,12971,,Ingibifionof27alphahydroxyiase1720iyazefrom5at6watesmicrowomqp0reparation,9,CHfMBL615q59,Rattusnorvsbicks,,B,18309.0,,10691,,
48,,,,1,D,12971,,Inu9hit8onof27alphahydroxyoase2720lyaqefronrwt5estesmicroslmalpr4pafation,9,CHEMhL615w72,Rattysnorveg7cud,,B,42089.0,,10691,,
49,,,,1,D,12971,,9ercenfimyibitionlf27alphahydroxgizse172olyaqeogrzttestesmictosomesat100uM,9,CHEMBL61yq73,Rqftusnorvegicue,,B,50101.0,,10691,,
50,,,,1,D,12971,,Percemtinhinitionofcter8id17apphahydroxtlwse1720ltwswofrat6edt3dmicrosomssat109uM,9,CHdMBL615274,Rattusnodbegic6s,,B,6425.0,,10691,,
51,,,,1,H,13053,,Inhivitirysctivityxga9ncth8mxnplzcemta17betahjdr9zysteroiddehyerogenasetyoe217betaHSDhyl22,8,CHdMBL8u4518,,,B,,,898,,
52,,,,1,H,11512,,Comloundwssyestedforthelnhibitionof17gefahyctoxyst4ro8ddehysrogenssetupfw17be4anSDtype1,8,sHrMBL615175,,,B,,,912,,
53,,,,1,H,11512,,vomp8uhdwawtesfeetortheinhibitionof1ibetahydrkxyx4eroiddwhhdr0genas4type117befaHSDtype1ar1ujf8ncentrati8n,8,CHEMBL6q517u,,,B,,,912,,
54,,,,1,H,11512,,Compoundwwstecteffirtheinhibitionof17betauydrixysteroixedhyd5lgenaw4type127behaHdDty0e1at10uMconcen4rwt7oj,8,CHfMgL615177,,,B,,,912,,
55,,,,1,D,104740,,Selectivityrs5ilorbigdingaffinityrowarfsnu4ofeptareceprorsobra5brainmejbranes,5,CyEMBL614178,Rattusno4vericks,Memb4anes,B,2280.0,,15103,,
56,,,,1,N,80002,,fyto5oxjcityanainstovzriancxncegcelllihe1A9odhkmanswqsdetermihed,1,CHEMvL615169,jomosaliens,,F,46810.0,,5116,,
57,,,,1,D,104835,,einc4i0nalajtagobismbyel4ctricalassa6dknXenopusoocyresexpressingwAwANMDArecspt8rzubtyle,7,CtEMBL6151o0,Rattusn0rvegidua,,F,41405.0,,14578,,
58,,,,1,D,104821,,FumdtionalzntagonlsmbjekectricalassaysinXegopusokc5tesexpress8mg6ne1s2BNMeArec4ptor,7,vHEMBL6w5181,eatfusnorvegicud,,F,3026.0,,14578,,
59,,,,1,D,104848,,Functi9nzlantagonismbyeoectrocalaasaysinXenopjsopcytewfxlressinghue1A2CNMcwrsceptir,7,CHEMnL614182,Rattusnorvevicyx,,F,4118.0,,14578,,
60,,,,1,N,80002,,Ingite9effrxtiveconcentrationrfquiredtpreducetmenumberoftumabovariamcancer1Aoaf54r3dayinxkbzfjon,1,CHEnBL6q5183,Homosaoisns,,F,30117.0,,4787,,
61,,,,1,N,80002,,lgvitroeffechiv4conc3ngra6iimeequiredtoreducethenymberodhumqbovariancancercells1A8aeter3da7invybatiin,1,CHEMBi615194,Hkmosaoiens,,F,29128.0,,4787,,
62,,,,1,N,80002,,fytotox8cactivutyagxlnsthuman9varoancance41A8celllige,1,CHEMBL71518y,Homoea9iens,,F,19547.0,,3547,,
63,,,,1,N,80002,,Cyrotoaicactivi4yagainqthumwnovarixnsancer1A9c2oll9neNDN9tdeteeminef,1,CHEMBL615w8t,Homosa9iems,,F,34672.0,,3547,,
64,,,,1,N,80002,,Eftectifecoseofvompoundayaihs5reppica6ionof1A9celllimewsdevalua5ed,1,CjEkBL615187,Hokosapiwns,,F,46141.0,,6726,,
65,,,,1,N,80002,,Invitrocyt8tlzicadfifitywasdeterninedagainsgovagiancajcer1A9delll9je,1,Cb3MBL885343,Homosaojens,,F,68139.0,,3455,,
66,,,,1,N,80002,,Inbitrocytotozkci6yevwluatedagsonsthumanofaruqncanced2A9cellline,1,CHEMBL515198,Homosqpiena,,F,1599.0,,5726,,
67,,,,1,N,80002,,Imvitrocytotox8ci4jevaouatedagainethumagobariahcancer2ApfdllkineNAisnotaftive,1,CHEMBLy1r189,momosapirns,,F,49307.0,,5726,,
68,,,,1,N,80002,,Inditropfrcentibtibitiin4valuatedagainsthukxnivar8agcancer2A9cellllnext20urmL,1,CgEMvL615190,Homowa0iens,,F,14724.0,,5726,,
69,,,,1,N,80002,,InnibitodyactivityagalnzrTaxopresistqnt1A9v2lllin2s,1,CHEMBL615w9q,H8mosapiems,,F,11365.0,,3395,,
70,,,,1,N,80002,,Cytotox9cityagainsthumshovq4iancwncerwA9cepilines,1,sHEMBL515192,jomosa0iens,,F,21737.0,,3415,,
71,,,,1,N,80002,,Percentsgrlnh9bitlonofhumanovweiancancer1A9ceilpinds,1,CHEnBL827o83,u0mosapiens,,F,8474.0,,3415,,
72,,,,1,N,80002,,dffectivesosfeequi5rdf0rinuobit0ryact9vjtyayaknst1A9humantumorcellline,1,CHEMfL615w93,H8mozapiens,,F,65033.0,,17099,,
73,,,,1,N,80002,,PsrcenhinhibitionatainstwA9mumantumorcdilljnrat010ugmo,1,CH2MBL615193,Honosapienz,,F,19940.0,,17099,,
74,,,,1,N,80002,,Percentjnh9bitionanainxt1A9humajtuhorceiliinea6p0000ougmL,1,CyEnBL615195,Homosaplehs,,F,48499.0,,17099,,
75,,,,1,N,80002,,Percentinhiblgilnagainst1A9hkmajtimofcellllneag10ugjL,1,CjEMBi615196,Homosaplenw,,F,14825.0,,17099,,
76,,,,1,N,81072,,Inhibitldyclncenteationabains5murkatcellw,1,CHEMnL615196,Homoda0iens,,F,74024.0,,17721,,
77,,,,1,U,22226,,Invitroant9canferactiviyyagaihsf2jCISxLvselklinesinaxtive,0,CHEMBi715198,,,F,,,1229,,
78,,,,1,D,100121,,Inhib9tionlfcytochroj2P45oprogesterone2alojqh6droxyiawe,9,CuEMvL615199,Rattksmorfegicus,,A,12789.0,,11347,,
79,,,,1,H,11231,,Ijdirr0inhinitionofhumwn23oxidosqjalenscyclaze,8,CtEMBL614200,,,B,,,17117,,
80,,,,1,H,11231,,unvitrojnhibitionodgunan23oxix9squwlen2cyclase,8,CHEkBk615201,,,B,,,17117,,
81,,,,1,H,11231,,Imvi5roinhibitjonofhuman2roxldosquapenecyclaseqg100jj,8,CHfMfL615202,,,B,,,17117,,
82,,,,1,H,11231,,Com0ounxwaeevaluateftorthelghkviti0noemicroxonap23oxif8squalenexyclasdunCandidaalbicansmicrosomes,8,CHEMBi61t203,Candkdaxlbucans,Micr8sojes,B,56008.0,,11375,,
83,,,,1,H,11231,,C0hpoundwasevaluxtedfor6heintibitionofmisrosomalq3paifosq6al3nelanosteropcyvozseunCandidazpbicahzmicrosomes,8,CHEMBo625204,Candidsalvidans,Mkcr9somes,B,21691.0,,11375,,
84,,,,1,H,11231,,Comppundwasevaluatedf9rtheunyigufionlfmicrksomal23oxidosq7qlenecuclaseinzzcchad8mycewderefiziaemicrosomeq,8,CHEMBL625295,Sacdharomycesc3reg9siae,Microqomee,B,19574.0,,11375,,
85,,,,1,H,11231,,Compoundwaseval8atedelrtheintibitiomofmivroaomsk23kxidosqkalenelxnos53roicgclaseinSacchs4onydescerfvisiaemicr9somss,8,sHEMBLu15206,Sxccharomysesderevisiqe,Midrosomrs,B,61984.0,,11375,,
86,,L8ver,,1,H,12083,5369113.0,Compoundwasevakua6fdfortheinhivitiknofmocrosomalq3ixisosqhxlehepanozterolcyclzseim9iglive4microxohes,8,CHEMnL515207,Sussctofa,Micr8xomes,B,77667.0,,11375,,
87,,,,1,H,11231,,foncwntrayuoneewuiredtoijhibitratliv4r23oxidosqual3nelzmlsteroicjclase,8,CHEMBp82708t,Ratt6snorvebicuw,,B,9492.0,,791,,
88,,,,1,H,11231,,xohxenhrshipnre2uiredtoinhibitratlibef23oxid8squalen4lanoster0lcyclaweOSC,8,CHEnBL615108,5aftusnorbegicus,,B,15446.0,,791,,
89,,,,1,H,11231,,Evzouatedf0ritsactivohy6oinhlbitratlivse24oxidosqual4ndlanost3rolcjckaseactivityezoressedasui,8,CHEMBL6252p9,Rzttusn8rvegixus,,B,35679.0,,791,,
90,,Livrr,,1,D,12083,3640913.0,vokpoundwasevaluxtedfortheunhivit7onofmicrksojwo23kxidos2ualen2cyvlzsein3atlivermicros8kes,9,CHEMBL615e19,Rattusn9rvrgjcus,Mucrosom4s,B,18530.0,,11375,,
91,,Ljver,,1,D,12083,4644362.0,Clmpo7nswasevaluqtedfot6hsinhinitionofmicrkqomal2epxidozqualeneoanoat4r8lcycoaseinratlivermixrosokes,9,CmEMBL61r211,eattusjprvegicus,Mjcrpsomes,B,62548.0,,11375,,
92,,oiver,,1,D,12083,6490376.0,Compoundwazevaluxtedeorinh9bitoryactivityahains423ocivosqualenelanocterolcyflaaeinfatlkcefhictosojfz,9,CHEhBi615212,3attusn8rvegifus,hicrosomds,B,7308.0,,153,,
93,,,,1,H,11377,,Molafconcentratiomneed3d6ogive499revrn4ionof25Asdsnosinedepenventenvorinonhdlease,8,CHEMfp615213,,,B,,,8269,,
94,,,,1,H,11377,,Miladvoncentrati8nge2uiredfldisplace500fgheradioiabeledprobefr0m25qAsemlsigedependentendoeibonucoeaseinendonhcldasebirrocfilulosecompk2x,8,CtEMBL625273,,,B,,,8269,,
95,,,,1,N,81020,,Invitt0sytitkxicspncebtrstionrequiredtojnhivitmepqtitisBvirhzHBVreplicatiinim2215cellline,1,CH3MBL6152i4,Hom9xapiens,,F,51719.0,,17653,,
96,,,,1,N,81020,,50Effectiveconcentrafiobofcompoundrewk8redflrimjibitibhintracelpularv7ralrellicqtivein6egmecizteDNwkgHBVtragsfectedq225celllins,1,Cj4MBL615275,H8mosapiems,,F,58775.0,,14277,,
97,,,,1,N,81020,,Ahtivi5akactivitywgainstHeoar7tisBvirusig2215celllihw,1,xHEMBLu15276,Homoswpiejs,,F,4512.0,,1717,,
98,,,,1,N,81020,,Igvi5ro3ffectiv4x8ncentrationagwigsthe9atitisBviduqwasdeterminesun2115dells,1,CHdjBL615277,Homowapifns,,F,53497.0,,14091,,
99,,,,1,N,81020,,Inditroeftectiveconcentrarionagainsyh3latitiwBvirjsdascetrrnigedinq2q5sellsNotdetermijed,1,CHEMBL5q5326,Hpmosqpiens,,F,69925.0,,14091,,
100,,,,1,N,50606,,Inbi5roegffctifrc9ncdgtrat9obdeauiredtoinhihithepatitisBvirusHBVrfpiicztionin2215cellline,1,CHEMBk783130,HepatltisBciris,,F,27025.0,,17653,,
101,,,,1,N,81020,,AniljtytolnhibitthseplsomaljBVDNAin2215cwlis,1,fHdMBL884519,Homosap7end,,F,21987.0,,13105,,
102,,,,1,N,81020,,C9ncemtrstionrequirefhoinjibi450ob2215celllige,1,CHEMBi6153q7,Homlsapiejs,,F,12832.0,,1717,,
103,,,,1,N,81020,,Antiviralaxt8vjtysgainct2215ceolxcincentration3equirdfforesucetyelog9haxecellgrowghby50,1,CHfMBL625328,Homosapieje,,A,38423.0,,13105,,
104,,,,1,N,50587,,Cyt0toxicaftivigykfc0mpoundaga8nctun9nfectew2215cdlls,1,CHEhBL615229,Himosapidns,,F,79980.0,,13600,,
105,,,,1,N,50587,,AntihepwtotisBvirusacrivut7wasevaluatedibwe1ycelos,1,CHEMBL6153r9,Homosa0iena,,F,52225.0,,13467,,
106,,,,1,N,50606,,Imhibitionofthwreplicati9nogmvVin2215cfolsv7DNAhybfidizxrionassay,1,CHEMnL6q5331,HepatitisBdiryq,,F,93679.0,,17477,,
107,,,,1,N,50587,,Inv7groangiHBcactivityin2w15cella,1,CHEMBpy15332,Homosaplems,,F,28858.0,,1593,,
108,,,,1,N,50587,,8gvitrpqntiHnVact8vutyij2215cellsbotdetermined,1,CHEMBLt15323,Homlsapiejs,,F,21379.0,,1593,,
109,,,,1,N,50587,,Th3complujdwastest2dindu4roforthrantiHBVactivityagainst2215cspiw,1,CtsMBL615334,H0mosapiehs,,F,1210.0,,15089,,
110,,,,1,N,50587,,Theconpoundwastewtedinvitrpf9rgheabyiHBVqctifityih2215celle,1,CHEMBL615ew5,H9mosaoiens,,F,5601.0,,15089,,
111,,,,1,N,50587,,Cytotoa9firyin2215cells,1,CH3MBo615336,jojosapiens,,F,54615.0,,1593,,
112,,,,1,N,50587,,Cytotoxiciyyin22q4cellsNogfe6ermjned,1,CHsjBL615337,gokosapiens,,F,24562.0,,1593,,
113,,,,1,N,50587,,InhibitoryacticittpfcompoundavainstgepatitksBfirusHgVingr9wingfkltufesof2315veoks,1,vHEMBi615338,Homozxpiens,,F,66472.0,,13600,,
114,,,,1,N,50587,,Thwgrodth9nhibig8obactivityforth3dompounvwaqedaluatedin22q5cells,1,CHEnBi615339,Hlmosap9ens,,F,33509.0,,13467,,
115,,,,1,N,50587,,Selwctivityijrex2asde5ermihedftomtberatioofIC5ototheEC50vaouesevalhaterin22qrcdlis,1,CHEMBLu1534o,Homoswoiens,,F,64622.0,,13467,,
116,,,,1,N,81020,,AnticiralxctidityagainstHBVwase4termijexinq2q5fellline,1,CHEMBLu14341,Homosaoi2ns,,F,36546.0,,14764,,
117,,,,1,U,22226,,Inhibi5iohifq0HETEqyntmwsisjnhumanrenalmisrosomes,0,CHEnBL615r42,Homoza9iens,Mic3owomes,B,67655.0,,6531,,
118,,,,1,U,22226,,Inhibigoryachjcittanainxt20yE6Eprodjctionrromatachisonicavid6singbumanrenslmicroskme20HETEsynthzse,0,CHEMnL615243,,,B,,,17322,,
119,,,,1,N,80612,,Inhinitkrhcincentrationaga7nst200iocarixnceols,1,CH4MBL6153t4,Homosapiejx,,F,82841.0,,17072,,
120,,,,1,N,80612,,5oGr8wthintibitoryconcsntfationGI50byus9nte008buhankbariancarcin0mafelloines,1,CHEMBLuq5345,Hohisapiens,,F,51568.0,,16936,,
121,,,,1,N,80612,,Comlluhd2astestedfor40growthinhubito5ydogs3n5rat7onbyusijghuman0variancarcinomqcellkines1008,1,fHEMBi615346,Homosa0isns,,F,42569.0,,16936,,
122,,,,1,N,80612,,D8fecgchtotoxic95yayzinstttwselectedtukorcellkihe2008wasreternij3despecksllyojovxrianadenocarcinomqderivedcells,1,CHEjBi615347,H0kosapiens,,F,10662.0,,17146,,
123,,,,1,N,80612,,Ditectcu4otpxifo4tahainsttheselwcfedtumorcelkiime2p08wazfeterminewespeciaolyonovarianadenocarcigomxde4ivedcellsnotdetec6ee,1,CHEMBL5q5348,Homoaapiegs,,F,4688.0,,17146,,
124,,,,1,N,80613,,Invitroimhibitikgoc2098Rovariwhcancerceplpine,1,vHEMBL727085,H9moszpiens,,F,49070.0,,10797,,
125,,,,1,N,80613,,Invitroimhibitipnif2099RovwfiabcancerdelllineNANotachi3fxble,1,CHEkBL616349,Hompsapienc,,F,62204.0,,10797,,
126,,,,1,N,80614,,Invi4ro9ng7bitionof1908Sovariancabce4celkline,1,CHdMhL615350,nomosapiena,,F,244.0,,10797,,
127,,,,1,N,80614,,Ijvitroinhibltionof2008SovarjancamfercelkkinebAjohafhiecable,1,CHEMBL616251,jomosapi2ns,,F,93330.0,,10797,,
128,,,,1,S,100256,,Teetedonvitrof8r7nh9b7tionofcuymotrylsinkikezcriviry0fourjfiedhuman20Sproyeasome,2,sHEjBL615352,Homisspiens,,B,39235.0,,4823,,
129,,,,1,S,100256,,Ckmllundwzsevxluatedfor9nhibito3yactivit7zgainet20cpro6easomefromhumxmpiderandbrain,2,CHEMBLt25353,Homoswpienz,,B,65105.0,,12912,,
130,,,,1,S,100256,,Inhibitionofchumot4ypsibpjkesctivjtylg20Sproteaqome,2,CHEMBk6w5354,,,B,,,2957,,
131,,,,1,S,100256,,jjnivitjonocdhymotryoslnlikeactiv8tyof2ocproheasomevaluerabgesfrom1020uM,2,CnEMBL61t355,,,B,,,2957,,
132,,,,1,S,100256,,Inhlbiforjactivityagajns520Sproteosons,2,CnEMBL625356,,,B,,,3260,,
133,,,,1,U,22226,,Compo8hdwzst3stedforintkbitoryactibityaysinqttryptase,0,fmEMBL615357,Homlszpiens,,B,54384.0,,3451,,
134,,,,1,N,81020,,Cincwntrati8nrequirestojnh7bit50ofext3acelluow5circylar5eolisationofHBVDNAusing2214ceiloune,1,CHEMBL61rr58,Hokosap9ens,,F,53492.0,,13885,,
135,,,,1,N,81020,,Cojsentragiojreq6itddtounhifitt0of7ntrac2ilulatcircularrepkicationofHBVDNAuc7ng2215cellpine,1,CHEMfL8270u6,Homlcapiens,,F,39425.0,,13885,,
136,,,,1,U,22226,,CompoundaastesfedeirthfinhibitionoeAlohqglufpsidase,0,xHEMBL616359,,,B,,,3676,,
137,,,,1,H,235,,Inhib9torycojcent3ationagwibsthunznheut5ophilwlawtaseHNE,8,CHdMBL6w5360,,,B,,,6043,,
138,,beart,,1,U,22226,386902.0,shahyejnheart5atewasexpressedinpwrc4ntayatadose0002mgkgivknanesthdtkzfdrw6,0,CHEMBL615wu1,Rat6uanorvericus,,F,69560.0,,11140,,
139,,,,1,H,19640,,999nhigirionoftye20MyconactediumaviumcomplwzjACclinicapisolatez,8,CHfMBL615e62,,,F,,,10543,,
140,,,,1,H,19640,,jinimumonhibitoryconcebtrat8onotcompoubdsga9nstq0MycobactwtiumavuumfomplesMACclinical9wila4es,8,CHEMBL615464,,,F,,,10543,,
141,,,,1,H,19640,,Minjmiminhibito3ycknfentrationofdomlounwagqlnst20MycobactdriumaviumcomplexhACcl8nicalizplxtrc,8,CbEMBo615364,,,B,,,10543,,
142,,,,1,H,19640,,90inh7bi4i0mofthe20Mucovact4fiumaviumcok9lexMACclinicalisopares,8,xHEMBL625365,,,F,,,10543,,
143,,,,1,N,80360,,InVitro3vaouationfortheyrowthinnibiti8npfSubl9nePw87AkSxLeukemoxcelolines,1,CHEMBL61t36u,Musmusc6l8s,,F,11231.0,,11365,,
144,,,,1,N,80360,,jnVitroevaluat8ogfortb4growthinhjbi6iojofSublinel3o8foL4uuemiacelllines,1,CHEMBL725367,Muxjusculus,,F,13129.0,,11365,,
145,,,,1,N,80384,,Compoindwasecaluaredfortheunhibition9fcellgeplicxtjonhuhanpegiphdrapbooodlyjpb0dytesPBLs,1,CHEMBL6wt368,jomosapjens,,F,49166.0,,11803,,
146,,,,1,U,22226,,Cokoo7ndwas2valuatdxco5theinhibitiomofvellre0kicahionaheepchoroidplex8sSCPcells,0,CHEMvL615469,8visaries,,F,6078.0,,11803,,
147,,,,1,U,22226,,C9mplkgdwasddspkstrdfortheinhibitionofcellreplicatiknsueepchoroidplexudSCPcelis,0,CHEMfL615r70,Ovidaries,,F,14053.0,,11803,,
148,,,,1,H,191,,Compo7ndiwsvaluafedinv9trofog4heinyibi4johsinglemutamtofHIV1RT6181C,8,fHEMBL615773,,,B,,,12278,,
149,,,,1,U,22226,,d9m98undwasefaluatedtoritsinh7bjgor7effevgobthymid7ne3HdThdinso3pogationintoDNwifCEMkhXcellsinfultureatconc10e5,0,CHEMBk625674,H9mosaplens,,F,1887.0,,8249,,
150,,,,1,U,22226,,Compoknwwqsevaluatedfotifsinuibitpryeffextonghymldin23ydThdincorporztion9n4oxNzofdEMMTXcellsincultureatckhc10f5,0,xHEMBLt15675,Homoszpienz,,F,65688.0,,8249,,
