assay_id,assay_subcellular_fraction,assay_test_type,assay_type,tissue_id,assay_tax_id,doc_id,description,assay_category,assay_organism,assay_strain,assay_tissue,assay_cell_type,tid
80,,,B,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,,11231
81,,,B,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,,,11231
82,Microsomes,,B,,5476.0,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,Candida albicans,,,,11231
83,Microsomes,,B,,5476.0,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,Candida albicans,,,,11231
84,Microsomes,,B,,4932.0,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,Saccharomyces cerevisiae,,,,11231
85,Microsomes,,B,,4932.0,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,Saccharomyces cerevisiae,,,,11231
86,Microsomes,,B,2107.0,9823.0,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,Sus scrofa,,Liver,,12083
87,,,B,,10116.0,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,Rattus norvegicus,,,,11231
88,,,B,,10116.0,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,Rattus norvegicus,,,,11231
89,,,B,,10116.0,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,Rattus norvegicus,,,,11231
90,Microsomes,,B,2107.0,10116.0,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,Rattus norvegicus,,Liver,,12083
91,Microsomes,,B,2107.0,10116.0,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,Rattus norvegicus,,Liver,,12083
92,Microsomes,,B,2107.0,10116.0,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,Rattus norvegicus,,Liver,,12083
93,,,B,,,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,,,11377
94,,,B,,,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,,,11377
95,,,F,,9606.0,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,Homo sapiens,,,HepG2,81020
96,,,F,,9606.0,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,Homo sapiens,,,HepG2,81020
97,,,F,,9606.0,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,Homo sapiens,,,HepG2,81020
98,,,F,,9606.0,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,Homo sapiens,,,HepG2,81020
99,,,F,,9606.0,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,Homo sapiens,,,HepG2,81020
100,,,F,,10407.0,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,Hepatitis B virus,,,,50606
101,,,F,,9606.0,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,Homo sapiens,,,HepG2,81020
102,,,F,,9606.0,1717,Concentration required to inhibit 50% of 2.2.15 cell line,,Homo sapiens,,,HepG2,81020
103,,,A,,9606.0,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,Homo sapiens,,,HepG2,81020
104,,,F,,9606.0,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,Homo sapiens,,,2.2.15,50587
105,,,F,,9606.0,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,Homo sapiens,,,2.2.15,50587
106,,,F,,10407.0,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,Hepatitis B virus,,,2.2.15,50606
107,,,F,,9606.0,1593,In vitro anti-HBV activity in 2.2.15 cells,,Homo sapiens,,,2.2.15,50587
108,,,F,,9606.0,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,Homo sapiens,,,2.2.15,50587
109,,,F,,9606.0,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,Homo sapiens,,,2.2.15,50587
110,,,F,,9606.0,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,Homo sapiens,,,2.2.15,50587
111,,,F,,9606.0,1593,Cytotoxicity in 2.2.15 cells,,Homo sapiens,,,2.2.15,50587
112,,,F,,9606.0,1593,Cytotoxicity in 2.2.15 cells; Not determined,,Homo sapiens,,,2.2.15,50587
113,,,F,,9606.0,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,Homo sapiens,,,2.2.15,50587
114,,,F,,9606.0,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,Homo sapiens,,,2.2.15,50587
115,,,F,,9606.0,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,Homo sapiens,,,2.2.15,50587
116,,,F,,9606.0,14764,Antiviral activity against HBV was determined in 2.215 cell line,,Homo sapiens,,,HepG2,81020
117,Microsomes,,B,,9606.0,6531,Inhibition of 20-HETE synthesis in human renal microsomes,,Homo sapiens,,,,22226
118,,,B,,,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,,,22226
119,,,F,,9606.0,17072,Inhibitory concentration against 2008 (ovarian) cells,,Homo sapiens,,,2008,80612
120,,,F,,9606.0,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,Homo sapiens,,,2008,80612
121,,,F,,9606.0,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,Homo sapiens,,,2008,80612
122,,,F,,9606.0,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,Homo sapiens,,,2008,80612
123,,,F,,9606.0,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,Homo sapiens,,,2008,80612
124,,,F,,9606.0,10797,In vitro inhibition of 2008/R ovarian cancer cell line,,Homo sapiens,,,2008/R,80613
125,,,F,,9606.0,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,Homo sapiens,,,2008/R,80613
126,,,F,,9606.0,10797,In vitro inhibition of 2008/S ovarian cancer cell line,,Homo sapiens,,,2008/S,80614
127,,,F,,9606.0,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,Homo sapiens,,,2008/S,80614
128,,,B,,9606.0,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,Homo sapiens,,,,100256
129,,,B,,9606.0,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,Homo sapiens,,,,100256
130,,,B,,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,,,100256
131,,,B,,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,,,100256
132,,,B,,,3260,Inhibitory activity against 20S proteosome,,,,,,100256
133,,,B,,9606.0,3451,Compound was tested for inhibitory activity against tryptase,,Homo sapiens,,,,22226
134,,,F,,9606.0,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,Homo sapiens,,,HepG2,81020
135,,,F,,9606.0,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,Homo sapiens,,,HepG2,81020
136,,,B,,,3676,Compound was tested for the inhibition of Alpha-glucosidase,,,,,,22226
137,,,B,,,6043,Inhibitory concentration against human neutrophil elastase (HNE),,,,,,235
138,,,F,948.0,10116.0,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,Rattus norvegicus,,Heart,,22226
139,,,F,,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,19640
140,,,F,,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,19640
141,,,B,,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,19640
142,,,F,,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,,19640
143,,,F,,10090.0,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,Mus musculus,,,P338,80360
144,,,F,,10090.0,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,Mus musculus,,,P338,80360
145,,,F,,9606.0,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,Homo sapiens,,,PBL,80384
146,,,F,,9940.0,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,Ovis aries,,,,22226
147,,,F,,9940.0,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,Ovis aries,,,,22226
148,,,B,,,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,,,,191
149,,,F,,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,Homo sapiens,,,,22226
150,,,F,,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,Homo sapiens,,,,22226
151,,,F,,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,Homo sapiens,,,CCRF-CEM,22226
152,,,F,,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,Homo sapiens,,,CCRF-CEM,22226
153,,,F,,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,Homo sapiens,,,CCRF-CEM,22226
154,,,F,,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,Homo sapiens,,,CCRF-CEM,22226
155,,,F,,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,Homo sapiens,,,,22226
156,,,F,,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,Homo sapiens,,,,22226
157,,,B,,,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,,,,104290
158,,,F,,1314.0,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,Streptococcus pyogenes,,,,50264
159,,,F,,10335.0,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,Human herpesvirus 3,,,,50527
160,,,F,,10335.0,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,vericilla zoster virus,,,HEL,50527
161,,,F,,10335.0,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,,vericilla zoster virus,,,,50527
162,,,F,,10335.0,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,,vericilla zoster virus,,,,50527
163,,,F,,561.0,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,escherichia cloac,,,,50145
164,,,B,,,9707,Ratio of Ki at A2 to Ki at A1 receptors,,,,,,22226
165,,,B,,5476.0,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,Candida albicans,,,,11143
166,,,B,,284593.0,2205,"Inhibition of 1,3-beta-glucan synthase",,Candida glabrata CBS 138,,,,18077
167,,,F,,9606.0,11900,Inhibition of growth of 1-87 human tumor cell line,,Homo sapiens,,,1-87 tumor cell line,80609
168,,,B,,10116.0,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,,Rattus norvegicus,,,,12166
169,,,B,,3847.0,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),,Glycine max,,,,100171
170,,,B,,3847.0,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,,Glycine max,,,,100171
171,,,B,,3847.0,16474,% inhibition against soybean 1-lipoxygenase (SLO),,Glycine max,,,,100171
172,,,B,,3847.0,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,,Glycine max,,,,100171
173,,,B,,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,,Glycine max,,,,100171
174,,,B,,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,,Glycine max,,,,100171
175,,,B,,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,,Glycine max,,,,100171
176,,,B,,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,,Glycine max,,,,100171
177,,,B,,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,,Glycine max,,,,100171
178,,,B,,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,,Glycine max,,,,100171
179,,,B,,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,,Glycine max,,,,100171
180,,,B,,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,,Glycine max,,,,100171
181,,,B,,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,,Glycine max,,,,100171
182,,,B,,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,,Glycine max,,,,100171
183,,,B,,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,,Glycine max,,,,100171
184,,,B,,10090.0,10413,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,,Mus musculus,,,,22226
185,,,F,,10090.0,16929,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),,Mus musculus,,,C3H 10T1/2,80049
186,,,F,,,1229,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,,,,,,22226
187,,,B,,,16587,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),,,,,,11489
188,,,B,,,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),,,,,,11862
189,,,B,,,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,,,,,,11862
190,,,B,,,16587,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,,,,,,11489
191,,,B,,,16587,Inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 2 at a concentration of 0.2 mM; NI means no inhibition,,,,,,11862
192,,,F,,9913.0,8058,Evaluated for inhibition of bovine adrenal cortical mitochondrial 11 beta-hydroxylase,,Bos taurus,,,,12347
193,,,B,,10116.0,9065,Effect on adrenal 11-beta-hydroxylase activity at 10e-4 M; No significant effect,,Rattus norvegicus,,,,100120
194,,,B,2369.0,10116.0,8865,Inhibition of 11 beta-hydroxylase from rat adrenal gland,,Rattus norvegicus,,Adrenal gland,,100120
195,,,B,,10116.0,9066,Inhibition of rat adrenal 11-beta-hydroxylase,,Rattus norvegicus,,,,100120
196,,,B,,10116.0,8394,Inhibition of rat adrenal 11-beta-hydroxylase,,Rattus norvegicus,,,,100120
197,,,B,,10116.0,8394,Inhibition of rat adrenal 11-beta-hydroxylase at 10e-5 M,,Rattus norvegicus,,,,100120
198,,,B,,,6431,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 1 of wistar rat liver cytosol at 10 uM was determined using [3H]cortisone,,,,,,10328
199,,,B,,,6431,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,,,,,,11490
200,,,B,,,6431,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,,,,,,11490
201,,,F,,,9295,Compound was tested for the percent of inhibition against 12-LO at 10 uM,,,,,,11134
202,,,B,,,10193,In vitro inhibitory activity against rat platelet 12-lipoxygenase at 10 uM,,,,,,12052
