ppersonale_id,data_pagamento,pagamento_id,inventario_id,data_restituzione,ammontare,npersonale_id,noleggio_id,cliente_id,data_noleggio
2,2005-07-28 14:19:59,1925,668,2005-07-29 14:09:59,4.99,2,7982,71,2005-07-28 14:19:59
2,2005-08-20 10:17:08,11235,4108,2005-08-28 15:35:08,8.99,1,13729,415,2005-08-20 10:17:08
1,2005-07-07 11:54:33,13062,2534,2005-07-08 10:49:33,4.99,2,4214,484,2005-07-07 11:54:33
1,2005-08-01 19:15:09,8404,3133,2005-08-04 19:35:09,0.99,1,10728,309,2005-08-01 19:15:09
1,2005-07-29 05:16:21,3262,1206,2005-08-06 23:16:21,6.99,1,8370,121,2005-07-29 05:16:21
1,2005-07-07 19:02:05,12206,1948,2005-07-09 20:51:05,0.99,2,4348,452,2005-07-07 19:02:05
1,2005-07-11 22:07:26,8490,491,2005-07-16 22:39:26,2.99,1,6384,313,2005-07-11 22:07:26
2,2005-05-27 18:57:02,3587,3890,2005-06-05 18:38:02,2.99,1,447,133,2005-05-27 18:57:02
2,2005-08-01 14:48:45,132,2587,2005-08-04 13:41:45,4.99,2,10609,5,2005-08-01 14:48:45
1,2005-06-17 20:54:58,34,352,2005-06-24 00:41:58,2.99,2,2128,2,2005-06-17 20:54:58
2,2005-07-30 18:39:43,5057,2119,2005-08-04 22:41:43,5.99,2,9360,186,2005-07-30 18:39:43
1,2005-08-20 22:24:35,11618,178,2005-08-30 02:26:35,5.99,1,14058,430,2005-08-20 22:24:35
1,2005-06-15 19:32:52,6568,4348,2005-06-16 13:45:52,0.99,1,1452,243,2005-06-15 19:32:52
2,2005-08-17 11:25:25,13506,40,2005-08-25 13:03:25,6.99,2,11799,501,2005-08-17 11:25:25
2,2005-07-31 06:20:58,15863,4318,2005-08-06 06:09:58,6.99,2,9666,592,2005-07-31 06:20:58
1,2005-07-07 07:26:19,390,1774,2005-07-14 07:50:19,5.99,2,4127,15,2005-07-07 07:26:19
1,2005-05-28 20:23:23,2770,3226,2005-06-06 19:31:23,9.99,2,658,103,2005-05-28 20:23:23
2,2005-07-06 18:46:34,14264,1695,2005-07-07 13:15:34,4.99,1,3887,530,2005-07-06 18:46:34
2,2005-07-08 20:05:38,15375,3576,2005-07-14 14:55:38,2.99,2,4890,574,2005-07-08 20:05:38
2,2005-08-02 10:05:30,11760,3260,2005-08-07 08:30:30,0.99,1,11160,436,2005-08-02 10:05:30
2,2005-08-23 13:22:56,5495,4343,2005-08-26 10:35:56,4.99,2,15772,202,2005-08-23 13:22:56
1,2005-05-25 14:31:25,656,2984,2005-06-01 10:07:25,7.99,1,90,25,2005-05-25 14:31:25
1,2005-08-20 11:38:16,10470,989,2005-08-27 08:01:16,2.99,1,13764,386,2005-08-20 11:38:16
1,2005-07-29 19:55:25,3302,3526,2005-08-05 18:48:25,5.99,1,8772,122,2005-07-29 19:55:25
2,2005-07-28 21:10:30,3734,2446,2005-08-05 16:52:30,3.99,2,8160,138,2005-07-28 21:10:30
2,2005-08-19 02:15:32,6265,3753,2005-08-27 21:26:32,2.99,2,12853,232,2005-08-19 02:15:32
2,2006-02-14 15:16:03,11423,258,,2.99,2,15441,422,2006-02-14 15:16:03
2,2005-07-09 06:34:40,10745,2390,2005-07-10 03:44:40,4.99,2,5103,397,2005-07-09 06:34:40
2,2005-07-27 23:19:29,8570,15,2005-07-29 23:04:29,2.99,1,7586,316,2005-07-27 23:19:29
1,2005-08-19 08:53:57,7456,65,2005-08-28 08:56:57,3.99,2,13037,275,2005-08-19 08:53:57
1,2005-08-20 03:53:16,12325,3122,2005-08-25 04:02:16,4.99,1,13547,456,2005-08-20 03:53:16
2,2005-06-17 22:05:40,1261,3303,2005-06-21 02:53:40,0.99,1,2144,46,2005-06-17 22:05:40
1,2005-07-06 23:32:44,14942,2009,2005-07-14 01:35:44,3.99,2,3990,558,2005-07-06 23:32:44
1,2005-08-20 18:52:17,14848,1687,2005-08-28 15:19:17,2.99,1,13972,553,2005-08-20 18:52:17
2,2005-07-12 21:20:11,10212,2611,2005-07-21 18:55:11,7.99,2,6893,377,2005-07-12 21:20:11
1,2005-06-15 10:11:42,720,2045,2005-06-16 15:00:42,4.99,1,1310,27,2005-06-15 10:11:42
2,2005-08-18 06:43:56,2109,1355,2005-08-23 10:19:56,1.99,2,12328,77,2005-08-18 06:43:56
2,2005-07-11 18:04:26,5641,486,2005-07-20 14:22:26,6.99,2,6306,208,2005-07-11 18:04:26
2,2005-08-19 11:55:13,5971,2804,2005-08-21 05:55:13,2.99,2,13123,220,2005-08-19 11:55:13
1,2005-08-18 20:30:33,12834,1884,2005-08-27 01:22:33,4.99,2,12702,474,2005-08-18 20:30:33
1,2005-07-06 10:46:15,2028,1914,2005-07-07 09:25:15,0.99,2,3711,75,2005-07-06 10:46:15
2,2005-08-23 14:58:06,877,3628,2005-08-28 13:30:06,6.99,1,15816,31,2005-08-23 14:58:06
2,2005-08-18 20:13:08,10142,3989,2005-08-19 18:02:08,2.99,2,12696,374,2005-08-18 20:13:08
2,2005-08-17 01:54:13,15813,192,2005-08-26 02:00:13,5.99,2,11578,590,2005-08-17 01:54:13
2,2005-08-17 00:59:47,8746,480,2005-08-22 05:09:47,0.99,1,11548,323,2005-08-17 00:59:47
1,2005-05-25 21:07:59,11829,2047,2005-05-28 18:51:59,2.99,1,126,439,2005-05-25 21:07:59
2,2005-07-12 03:11:55,5933,2851,2005-07-16 02:08:55,1.99,2,6501,219,2005-07-12 03:11:55
2,2005-07-10 22:06:48,11333,4372,2005-07-12 23:58:48,0.99,2,5933,419,2005-07-10 22:06:48
1,2005-05-31 19:34:52,15050,666,2005-06-06 17:40:52,5.99,1,1139,562,2005-05-31 19:34:52
2,2005-07-10 04:48:29,10746,3412,2005-07-18 10:33:29,4.99,2,5598,397,2005-07-10 04:48:29
1,2005-07-31 22:36:00,4880,141,2005-08-02 00:03:00,4.99,2,10156,179,2005-07-31 22:36:00
2,2005-08-20 21:31:58,7040,2035,2005-08-22 16:28:58,2.99,1,14035,260,2005-08-20 21:31:58
2,2005-07-29 08:40:36,4411,3742,2005-08-01 10:23:36,4.99,1,8478,162,2005-07-29 08:40:36
1,2005-06-17 05:11:27,5395,3903,2005-06-23 23:16:27,2.99,1,1910,199,2005-06-17 05:11:27
2,2005-08-22 04:26:34,8135,1736,2005-08-31 10:04:34,6.99,1,14898,299,2005-08-22 04:26:34
2,2005-08-18 21:07:28,1558,1505,2005-08-24 17:46:28,4.99,1,12713,56,2005-08-18 21:07:28
1,2005-07-10 07:53:51,2916,1878,2005-07-14 12:57:51,5.99,2,5661,108,2005-07-10 07:53:51
1,2005-07-27 14:33:00,5267,861,2005-08-01 15:01:00,2.99,2,7349,195,2005-07-27 14:33:00
1,2005-08-23 17:09:56,15688,528,2005-08-31 14:51:56,6.99,2,15896,585,2005-08-23 17:09:56
2,2005-07-11 16:38:16,6363,835,2005-07-13 10:57:16,4.99,2,6281,236,2005-07-11 16:38:16
