assays_ss_d,assays_ss_sbclllr_frctn,assays_ss_strn,assays_ss_tst_tp,assays_ss_tx_d,assays_tss_d,assays_src_ss_d,assays_vrnt_d,assays_td,assays_ss_ctgr,assays_src_d,assays_rltnshp_tp,assays_cnfdnc_scr,assays_crtd_b,assays_chmbl_d,assays_cll_d,assays_b_frmt
45,,,,9606.0,,,,20001,,1,H,8,Autocuration,CHEMBL615157,,BAO_0000019
46,,,,9606.0,,,,20001,,1,H,8,Autocuration,CHEMBL615158,,BAO_0000019
47,,,,10116.0,,,,12971,,1,D,9,Expert,CHEMBL615159,,BAO_0000019
48,,,,10116.0,,,,12971,,1,D,9,Expert,CHEMBL615172,,BAO_0000019
49,,,,10116.0,,,,12971,,1,D,9,Expert,CHEMBL615173,,BAO_0000019
50,,,,10116.0,,,,12971,,1,D,9,Expert,CHEMBL615174,,BAO_0000019
51,,,,,,,,13053,,1,H,8,Autocuration,CHEMBL884518,,BAO_0000019
52,,,,,,,,11512,,1,H,8,Autocuration,CHEMBL615175,,BAO_0000357
53,,,,,,,,11512,,1,H,8,Autocuration,CHEMBL615176,,BAO_0000357
54,,,,,,,,11512,,1,H,8,Autocuration,CHEMBL615177,,BAO_0000357
55,Membranes,,,10116.0,,,,104740,,1,D,5,Autocuration,CHEMBL615178,,BAO_0000249
56,,,,9606.0,,,,80002,,1,N,1,Intermediate,CHEMBL615179,506.0,BAO_0000219
57,,,,10116.0,,,,104835,,1,D,7,Autocuration,CHEMBL615180,,BAO_0000219
58,,,,10116.0,,,,104821,,1,D,7,Autocuration,CHEMBL615181,,BAO_0000219
59,,,,10116.0,,,,104848,,1,D,7,Autocuration,CHEMBL615182,,BAO_0000219
60,,,,9606.0,,,,80002,,1,N,1,Expert,CHEMBL615183,506.0,BAO_0000219
61,,,,9606.0,,,,80002,,1,N,1,Intermediate,CHEMBL615184,506.0,BAO_0000219
62,,,,9606.0,,,,80002,,1,N,1,Intermediate,CHEMBL615185,506.0,BAO_0000219
63,,,,9606.0,,,,80002,,1,N,1,Intermediate,CHEMBL615186,506.0,BAO_0000219
64,,,,9606.0,,,,80002,,1,N,1,Intermediate,CHEMBL615187,506.0,BAO_0000219
65,,,,9606.0,,,,80002,,1,N,1,Expert,CHEMBL885343,506.0,BAO_0000219
66,,,,9606.0,,,,80002,,1,N,1,Intermediate,CHEMBL615188,506.0,BAO_0000219
67,,,,9606.0,,,,80002,,1,N,1,Intermediate,CHEMBL615189,506.0,BAO_0000219
68,,,,9606.0,,,,80002,,1,N,1,Intermediate,CHEMBL615190,506.0,BAO_0000219
69,,,,9606.0,,,,80002,,1,N,1,Intermediate,CHEMBL615191,506.0,BAO_0000219
70,,,,9606.0,,,,80002,,1,N,1,Expert,CHEMBL615192,506.0,BAO_0000219
71,,,,9606.0,,,,80002,,1,N,1,Expert,CHEMBL827083,506.0,BAO_0000219
72,,,,9606.0,,,,80002,,1,N,1,Expert,CHEMBL615193,506.0,BAO_0000219
73,,,,9606.0,,,,80002,,1,N,1,Intermediate,CHEMBL615194,506.0,BAO_0000219
74,,,,9606.0,,,,80002,,1,N,1,Intermediate,CHEMBL615195,506.0,BAO_0000219
75,,,,9606.0,,,,80002,,1,N,1,Intermediate,CHEMBL615196,506.0,BAO_0000219
76,,,,9606.0,,,,81072,,1,N,1,Intermediate,CHEMBL615197,503.0,BAO_0000219
77,,,,,,,,22226,,1,U,0,Intermediate,CHEMBL615198,,BAO_0000019
78,,,,10116.0,,,,100121,,1,D,9,Expert,CHEMBL615199,,BAO_0000357
79,,,,,,,,11231,,1,H,8,Expert,CHEMBL615200,,BAO_0000357
80,,,,,,,,11231,,1,H,8,Expert,CHEMBL615201,,BAO_0000357
81,,,,,,,,11231,,1,H,8,Expert,CHEMBL615202,,BAO_0000357
82,Microsomes,,,5476.0,,,,11231,,1,H,8,Autocuration,CHEMBL615203,,BAO_0000251
83,Microsomes,,,5476.0,,,,11231,,1,H,8,Autocuration,CHEMBL615204,,BAO_0000251
84,Microsomes,,,4932.0,,,,11231,,1,H,8,Autocuration,CHEMBL615205,,BAO_0000251
85,Microsomes,,,4932.0,,,,11231,,1,H,8,Autocuration,CHEMBL615206,,BAO_0000251
86,Microsomes,,,9823.0,2107.0,,,12083,,1,H,8,Autocuration,CHEMBL615207,,BAO_0000251
87,,,,10116.0,,,,11231,,1,H,8,Autocuration,CHEMBL827084,,BAO_0000019
88,,,,10116.0,,,,11231,,1,H,8,Autocuration,CHEMBL615208,,BAO_0000019
89,,,,10116.0,,,,11231,,1,H,8,Autocuration,CHEMBL615209,,BAO_0000019
90,Microsomes,,,10116.0,2107.0,,,12083,,1,D,9,Autocuration,CHEMBL615210,,BAO_0000251
91,Microsomes,,,10116.0,2107.0,,,12083,,1,D,9,Autocuration,CHEMBL615211,,BAO_0000251
92,Microsomes,,,10116.0,2107.0,,,12083,,1,D,9,Autocuration,CHEMBL615212,,BAO_0000251
93,,,,,,,,11377,,1,H,8,Expert,CHEMBL615213,,BAO_0000357
94,,,,,,,,11377,,1,H,8,Expert,CHEMBL615273,,BAO_0000357
95,,,,9606.0,,,,81020,,1,N,1,Expert,CHEMBL615274,726.0,BAO_0000219
96,,,,9606.0,,,,81020,,1,N,1,Intermediate,CHEMBL615275,726.0,BAO_0000219
97,,,,9606.0,,,,81020,,1,N,1,Intermediate,CHEMBL615276,726.0,BAO_0000219
98,,,,9606.0,,,,81020,,1,N,1,Intermediate,CHEMBL615277,726.0,BAO_0000219
99,,,,9606.0,,,,81020,,1,N,1,Intermediate,CHEMBL615326,726.0,BAO_0000219
100,,,,10407.0,,,,50606,,1,N,1,Expert,CHEMBL883130,,BAO_0000218
101,,,,9606.0,,,,81020,,1,N,1,Intermediate,CHEMBL884519,726.0,BAO_0000219
102,,,,9606.0,,,,81020,,1,N,1,Intermediate,CHEMBL615327,726.0,BAO_0000219
103,,,,9606.0,,,,81020,,1,N,1,Intermediate,CHEMBL615328,726.0,BAO_0000219
104,,,,9606.0,,,,50587,,1,N,1,Intermediate,CHEMBL615329,,BAO_0000218
105,,,,9606.0,,,,50587,,1,N,1,Intermediate,CHEMBL615330,,BAO_0000218
106,,,,10407.0,,,,50606,,1,N,1,Expert,CHEMBL615331,,BAO_0000218
107,,,,9606.0,,,,50587,,1,N,1,Intermediate,CHEMBL615332,,BAO_0000218
108,,,,9606.0,,,,50587,,1,N,1,Intermediate,CHEMBL615333,,BAO_0000218
109,,,,9606.0,,,,50587,,1,N,1,Intermediate,CHEMBL615334,,BAO_0000218
110,,,,9606.0,,,,50587,,1,N,1,Intermediate,CHEMBL615335,,BAO_0000218
111,,,,9606.0,,,,50587,,1,N,1,Intermediate,CHEMBL615336,,BAO_0000218
112,,,,9606.0,,,,50587,,1,N,1,Intermediate,CHEMBL615337,,BAO_0000218
113,,,,9606.0,,,,50587,,1,N,1,Intermediate,CHEMBL615338,,BAO_0000218
114,,,,9606.0,,,,50587,,1,N,1,Intermediate,CHEMBL615339,,BAO_0000218
115,,,,9606.0,,,,50587,,1,N,1,Intermediate,CHEMBL615340,,BAO_0000218
116,,,,9606.0,,,,81020,,1,N,1,Intermediate,CHEMBL615341,726.0,BAO_0000219
117,Microsomes,,,9606.0,,,,22226,,1,U,0,Autocuration,CHEMBL615342,,BAO_0000251
118,,,,,,,,22226,,1,U,0,Autocuration,CHEMBL615343,,BAO_0000019
119,,,,9606.0,,,,80612,,1,N,1,Intermediate,CHEMBL615344,388.0,BAO_0000219
120,,,,9606.0,,,,80612,,1,N,1,Intermediate,CHEMBL615345,388.0,BAO_0000219
121,,,,9606.0,,,,80612,,1,N,1,Intermediate,CHEMBL615346,388.0,BAO_0000219
122,,,,9606.0,,,,80612,,1,N,1,Intermediate,CHEMBL615347,388.0,BAO_0000219
123,,,,9606.0,,,,80612,,1,N,1,Intermediate,CHEMBL615348,388.0,BAO_0000219
124,,,,9606.0,,,,80613,,1,N,1,Intermediate,CHEMBL827085,561.0,BAO_0000219
125,,,,9606.0,,,,80613,,1,N,1,Intermediate,CHEMBL615349,561.0,BAO_0000219
126,,,,9606.0,,,,80614,,1,N,1,Intermediate,CHEMBL615350,389.0,BAO_0000219
127,,,,9606.0,,,,80614,,1,N,1,Intermediate,CHEMBL615351,389.0,BAO_0000219
128,,,,9606.0,,,,100256,,1,S,2,Expert,CHEMBL615352,,BAO_0000220
129,,,,9606.0,,,,100256,,1,S,2,Intermediate,CHEMBL615353,,BAO_0000220
130,,,,,,,,100256,,1,S,2,Expert,CHEMBL615354,,BAO_0000220
131,,,,,,,,100256,,1,S,2,Expert,CHEMBL615355,,BAO_0000220
132,,,,,,,,100256,,1,S,2,Intermediate,CHEMBL615356,,BAO_0000220
133,,,,9606.0,,,,22226,,1,U,0,Autocuration,CHEMBL615357,,BAO_0000019
134,,,,9606.0,,,,81020,,1,N,1,Intermediate,CHEMBL615358,726.0,BAO_0000219
135,,,,9606.0,,,,81020,,1,N,1,Intermediate,CHEMBL827086,726.0,BAO_0000219
136,,,,,,,,22226,,1,U,0,Autocuration,CHEMBL615359,,BAO_0000019
137,,,,,,,,235,,1,H,8,Autocuration,CHEMBL615360,,BAO_0000357
138,,,,10116.0,948.0,,,22226,,1,U,0,Autocuration,CHEMBL615361,,BAO_0000218
139,,,,,,,,19640,,1,H,8,Autocuration,CHEMBL615362,,BAO_0000019
140,,,,,,,,19640,,1,H,8,Expert,CHEMBL615363,,BAO_0000019
141,,,,,,,,19640,,1,H,8,Autocuration,CHEMBL615364,,BAO_0000357
142,,,,,,,,19640,,1,H,8,Expert,CHEMBL615365,,BAO_0000019
143,,,,10090.0,,,,80360,,1,N,1,Intermediate,CHEMBL615366,524.0,BAO_0000219
144,,,,10090.0,,,,80360,,1,N,1,Intermediate,CHEMBL615367,524.0,BAO_0000219
145,,,,9606.0,,,,80384,,1,N,1,Intermediate,CHEMBL615368,554.0,BAO_0000219
146,,,,9940.0,,,,22226,,1,U,0,Autocuration,CHEMBL615369,,BAO_0000019
147,,,,9940.0,,,,22226,,1,U,0,Autocuration,CHEMBL615370,,BAO_0000019
148,,,,,,,,191,,1,H,8,Autocuration,CHEMBL615673,,BAO_0000357
149,,,,9606.0,,,,22226,,1,U,0,Autocuration,CHEMBL615674,,BAO_0000019
150,,,,9606.0,,,,22226,,1,U,0,Autocuration,CHEMBL615675,,BAO_0000019
151,,,,9606.0,,,,22226,,1,U,0,Autocuration,CHEMBL615676,635.0,BAO_0000219
152,,,,9606.0,,,,22226,,1,U,0,Autocuration,CHEMBL615677,635.0,BAO_0000219
153,,,,9606.0,,,,22226,,1,U,0,Autocuration,CHEMBL615678,635.0,BAO_0000219
154,,,,9606.0,,,,22226,,1,U,0,Autocuration,CHEMBL615679,635.0,BAO_0000219
155,,,,9606.0,,,,22226,,1,U,0,Autocuration,CHEMBL615680,,BAO_0000019
156,,,,9606.0,,,,22226,,1,U,0,Autocuration,CHEMBL615681,,BAO_0000019
157,,,,,,,,104290,,1,H,6,Autocuration,CHEMBL857972,,BAO_0000249
158,,,,1314.0,,,,50264,,1,N,1,Intermediate,CHEMBL857899,,BAO_0000218
159,,,,10335.0,,,,50527,,1,N,1,Intermediate,CHEMBL615371,,BAO_0000218
160,,,,10335.0,,,,50527,,1,N,1,Expert,CHEMBL615372,468.0,BAO_0000218
161,,,,10335.0,,,,50527,,1,N,1,Intermediate,CHEMBL615373,,BAO_0000218
162,,,,10335.0,,,,50527,,1,N,1,Intermediate,CHEMBL615374,,BAO_0000218
163,,,,561.0,,,,50145,,1,N,1,Intermediate,CHEMBL615375,,BAO_0000218
164,,,,,,,,22226,,1,U,0,Autocuration,CHEMBL615376,,BAO_0000019
165,,,,5476.0,,,,11143,,1,H,8,Expert,CHEMBL615377,,BAO_0000249
166,,,,284593.0,,,,18077,,1,H,8,Expert,CHEMBL615378,,BAO_0000357
167,,,,9606.0,,,,80609,,1,N,1,Intermediate,CHEMBL615379,832.0,BAO_0000219
168,,,,10116.0,,,,12166,,1,D,9,Expert,CHEMBL615380,,BAO_0000219
169,,,,3847.0,,,,100171,,1,D,9,Autocuration,CHEMBL615381,,BAO_0000357
170,,,,3847.0,,,,100171,,1,D,9,Autocuration,CHEMBL615382,,BAO_0000357
171,,,,3847.0,,,,100171,,1,D,9,Autocuration,CHEMBL615383,,BAO_0000357
172,,,,3847.0,,,,100171,,1,D,9,Autocuration,CHEMBL615384,,BAO_0000357
173,,,,3847.0,,,,100171,,1,D,9,Autocuration,CHEMBL615385,,BAO_0000357
174,,,,3847.0,,,,100171,,1,D,9,Autocuration,CHEMBL615386,,BAO_0000357
175,,,,3847.0,,,,100171,,1,D,9,Autocuration,CHEMBL615387,,BAO_0000357
176,,,,3847.0,,,,100171,,1,D,9,Autocuration,CHEMBL615388,,BAO_0000357
177,,,,3847.0,,,,100171,,1,D,9,Autocuration,CHEMBL615214,,BAO_0000357
178,,,,3847.0,,,,100171,,1,D,9,Autocuration,CHEMBL827087,,BAO_0000357
179,,,,3847.0,,,,100171,,1,D,9,Autocuration,CHEMBL615215,,BAO_0000357
180,,,,3847.0,,,,100171,,1,D,9,Autocuration,CHEMBL615216,,BAO_0000357
181,,,,3847.0,,,,100171,,1,D,9,Autocuration,CHEMBL615217,,BAO_0000357
182,,,,3847.0,,,,100171,,1,D,9,Autocuration,CHEMBL615218,,BAO_0000357
183,,,,3847.0,,,,100171,,1,D,9,Autocuration,CHEMBL615219,,BAO_0000357
184,,,,10090.0,,,,22226,,1,U,0,Autocuration,CHEMBL615220,,BAO_0000019
185,,,,10090.0,,,,80049,,1,N,1,Intermediate,CHEMBL615221,294.0,BAO_0000219
186,,,,,,,,22226,,1,U,0,Intermediate,CHEMBL615222,,BAO_0000019
187,,,,,,,,11489,,1,H,8,Autocuration,CHEMBL615223,,BAO_0000357
188,,,,,,,,11862,,1,H,8,Autocuration,CHEMBL615224,,BAO_0000357
189,,,,,,,,11862,,1,H,8,Autocuration,CHEMBL615225,,BAO_0000357
190,,,,,,,,11489,,1,H,8,Autocuration,CHEMBL615226,,BAO_0000357
191,,,,,,,,11862,,1,H,8,Autocuration,CHEMBL615227,,BAO_0000357
192,,,,9913.0,,,,12347,,1,D,9,Expert,CHEMBL615228,,BAO_0000019
193,,,,10116.0,,,,100120,,1,D,9,Expert,CHEMBL615229,,BAO_0000357
194,,,,10116.0,2369.0,,,100120,,1,D,9,Expert,CHEMBL615230,,BAO_0000357
195,,,,10116.0,,,,100120,,1,D,9,Expert,CHEMBL615231,,BAO_0000357
196,,,,10116.0,,,,100120,,1,D,9,Expert,CHEMBL884520,,BAO_0000357
197,,,,10116.0,,,,100120,,1,D,9,Expert,CHEMBL615232,,BAO_0000357
198,,,,,,,,10328,,1,H,8,Autocuration,CHEMBL615233,,BAO_0000019
199,,,,,,,,11490,,1,H,8,Autocuration,CHEMBL827088,,BAO_0000357
200,,,,,,,,11490,,1,H,8,Autocuration,CHEMBL615234,,BAO_0000357
201,,,,,,,,11134,,1,H,8,Autocuration,CHEMBL615235,,BAO_0000019
202,,,,,,,,12052,,1,H,8,Autocuration,CHEMBL615236,,BAO_0000019
203,,,,,,,,11134,,1,H,8,Autocuration,CHEMBL615237,,BAO_0000019
204,,,,,,,,11134,,1,H,8,Autocuration,CHEMBL615238,,BAO_0000019
205,,,,,,,,11134,,1,H,8,Autocuration,CHEMBL615239,,BAO_0000019
206,,,,9606.0,,,,11134,,1,D,9,Autocuration,CHEMBL615240,,BAO_0000019
207,,,,,,,,11835,,1,H,8,Expert,CHEMBL615241,,BAO_0000019
208,,,,,,,,11601,,1,H,8,Expert,CHEMBL615242,,BAO_0000357
209,,,,,,,,11134,,1,H,8,Autocuration,CHEMBL615243,,BAO_0000019
210,,,,,,,,11134,,1,H,8,Autocuration,CHEMBL615244,,BAO_0000019
211,,,,,,,,11134,,1,H,8,Autocuration,CHEMBL615245,,BAO_0000019
212,,,,,,,,11134,,1,H,8,Autocuration,CHEMBL615246,,BAO_0000019
213,,,,,,,,11134,,1,H,8,Autocuration,CHEMBL615247,,BAO_0000019
214,,,,,,,,11134,,1,H,8,Autocuration,CHEMBL615248,,BAO_0000019
215,,,,,,,,11601,,1,H,8,Autocuration,CHEMBL615249,,BAO_0000357
216,,,,,,,,11601,,1,H,8,Autocuration,CHEMBL615250,,BAO_0000357
217,,,,,,,,12052,,1,H,8,Autocuration,CHEMBL615251,,BAO_0000019
218,,,,,,,,12052,,1,H,8,Autocuration,CHEMBL615252,,BAO_0000019
219,,,,,,,,12052,,1,H,8,Expert,CHEMBL828340,,BAO_0000019
220,,,,,,,,12052,,1,H,8,Autocuration,CHEMBL615253,,BAO_0000019
221,,,,,,,,12052,,1,H,8,Autocuration,CHEMBL615254,,BAO_0000019
222,,,,,,,,12052,,1,H,8,Autocuration,CHEMBL615255,,BAO_0000019
223,,,,,,,,12052,,1,H,8,Autocuration,CHEMBL615256,,BAO_0000019
224,,,,,,,,12052,,1,H,8,Autocuration,CHEMBL615257,,BAO_0000019
225,,,,,,,,12052,,1,H,8,Autocuration,CHEMBL615258,,BAO_0000019
226,,,,9606.0,,,,80007,,1,N,1,Intermediate,CHEMBL615259,621.0,BAO_0000219
227,,,,9606.0,,,,80007,,1,N,1,Expert,CHEMBL615260,621.0,BAO_0000219
228,,,,9606.0,,,,80007,,1,N,1,Intermediate,CHEMBL615261,621.0,BAO_0000219
229,,,,9606.0,,,,80007,,1,N,1,Intermediate,CHEMBL615262,621.0,BAO_0000219
230,,,,9606.0,,,,80007,,1,N,1,Expert,CHEMBL615263,621.0,BAO_0000219
231,,,,9606.0,,,,80007,,1,N,1,Expert,CHEMBL838393,621.0,BAO_0000219
232,,,,9606.0,,,,80007,,1,N,1,Intermediate,CHEMBL615264,621.0,BAO_0000219
233,,,,9606.0,,,,84,,1,D,9,Expert,CHEMBL615265,,BAO_0000357
234,,,,9606.0,,,,68,,1,D,9,Expert,CHEMBL615266,,BAO_0000357
235,,,,,,,,68,,1,H,8,Expert,CHEMBL615267,,BAO_0000357
236,,,,,,,,10201,,1,H,8,Expert,CHEMBL615268,,BAO_0000357
237,,,,,,,,10201,,1,H,8,Expert,CHEMBL615269,,BAO_0000357
238,,,,,,,,10201,,1,H,8,Expert,CHEMBL615270,,BAO_0000357
239,,,,,,,,12220,,1,H,8,Autocuration,CHEMBL615271,,BAO_0000357
240,,,,562.0,,,,11303,,1,H,8,Autocuration,CHEMBL615272,,BAO_0000357
241,,,,562.0,,,,11303,,1,H,8,Autocuration,CHEMBL615103,,BAO_0000357
242,,,,562.0,,,,11303,,1,H,8,Autocuration,CHEMBL615104,,BAO_0000357
243,,,,,,,,12220,,1,H,8,Autocuration,CHEMBL615105,,BAO_0000357
244,,,,,,,,12220,,1,H,8,Autocuration,CHEMBL872866,,BAO_0000357
245,,,,9823.0,,,,11303,,1,H,8,Autocuration,CHEMBL615106,,BAO_0000357
246,,,,9823.0,,,,11303,,1,H,8,Autocuration,CHEMBL615107,,BAO_0000019
247,,,,9823.0,,,,11303,,1,H,8,Autocuration,CHEMBL615108,,BAO_0000357
248,,,,9823.0,,,,11303,,1,H,8,Autocuration,CHEMBL615109,,BAO_0000357
249,,,,9823.0,,,,11303,,1,H,8,Autocuration,CHEMBL615110,,BAO_0000357
250,,,,9823.0,,,,11303,,1,H,8,Autocuration,CHEMBL840105,,BAO_0000019
251,,,,9823.0,,,,11303,,1,H,8,Autocuration,CHEMBL615111,,BAO_0000019
252,,,,9823.0,,,,11303,,1,H,8,Autocuration,CHEMBL615112,,BAO_0000019
253,,,,9823.0,,,,11303,,1,H,8,Autocuration,CHEMBL615113,,BAO_0000019
254,,,,9823.0,,,,11303,,1,H,8,Autocuration,CHEMBL615114,,BAO_0000019
255,,,,9823.0,,,,11303,,1,H,8,Autocuration,CHEMBL615115,,BAO_0000357
256,,,,9823.0,,,,11303,,1,H,8,Autocuration,CHEMBL615116,,BAO_0000019
257,,,,,,,,11303,,1,H,8,Autocuration,CHEMBL615698,,BAO_0000357
258,,,,9823.0,,,,22226,,1,U,0,Autocuration,CHEMBL615699,,BAO_0000019
259,,,,9823.0,,,,22226,,1,U,0,Autocuration,CHEMBL615700,,BAO_0000019
260,,,,4932.0,,,,100249,,1,H,8,Expert,CHEMBL615701,,BAO_0000357
261,,,,10116.0,,,,22226,,1,U,0,Autocuration,CHEMBL615702,,BAO_0000019
262,,,,10116.0,,,,22226,,1,U,0,Autocuration,CHEMBL615703,,BAO_0000019
263,,,,10116.0,,,,22226,,1,U,0,Autocuration,CHEMBL615704,,BAO_0000019
264,,,,,,,,104698,,1,H,6,Autocuration,CHEMBL615705,,BAO_0000019
265,,,,,,,,104698,,1,H,6,Autocuration,CHEMBL615706,,BAO_0000019
266,,,,10141.0,2116.0,,,20033,,1,D,9,Intermediate,CHEMBL615707,,BAO_0000221
267,,,,,,,,10623,,1,H,8,Expert,CHEMBL615708,,BAO_0000019
268,,,,,,,,121,,1,H,8,Autocuration,CHEMBL615709,,BAO_0000357
269,,,,10116.0,,,,22226,,1,U,0,Autocuration,CHEMBL615710,,BAO_0000218
270,,,,,,,,12688,,1,H,8,Autocuration,CHEMBL615711,,BAO_0000019
271,,,,9606.0,,,,121,,1,D,9,Expert,CHEMBL615712,,BAO_0000357
272,,,,9606.0,,,,121,,1,D,9,Expert,CHEMBL836325,,BAO_0000357
273,,,,,,,,12198,,1,H,8,Autocuration,CHEMBL615713,,BAO_0000019
274,,,,,,,,12198,,1,H,8,Autocuration,CHEMBL615714,,BAO_0000357
275,,,,,,,,12198,,1,H,8,Autocuration,CHEMBL615715,,BAO_0000019
276,,,,,,,,12198,,1,H,8,Autocuration,CHEMBL615716,,BAO_0000019
277,,,,,,,,104714,,1,H,4,Autocuration,CHEMBL615717,,BAO_0000019
278,,,,,,,,10577,,1,H,8,Expert,CHEMBL881818,,BAO_0000019
279,,,,9913.0,,,,105,,1,H,8,Expert,CHEMBL884540,,BAO_0000357
280,,,,10116.0,,,,104744,,1,D,5,Autocuration,CHEMBL615718,,BAO_0000224
281,,,,,,,,104744,,1,H,4,Autocuration,CHEMBL615719,,BAO_0000224
282,Membranes,,,,,,,104744,,1,H,4,Autocuration,CHEMBL615720,,BAO_0000249
283,Membranes,,,,,,,104744,,1,H,4,Autocuration,CHEMBL615721,,BAO_0000249
284,,,,,,,,104744,,1,H,4,Autocuration,CHEMBL615722,,BAO_0000019
285,,,,,,,,51,,1,H,8,Autocuration,CHEMBL615723,,BAO_0000019
286,,,,,10000000.0,,,51,,1,H,8,Autocuration,CHEMBL615724,,BAO_0000221
287,,,,,10000000.0,,,51,,1,H,8,Autocuration,CHEMBL615725,,BAO_0000221
288,,,,,10000000.0,,,51,,1,H,8,Autocuration,CHEMBL615726,,BAO_0000221
289,,,In vivo,,,,,10576,,1,H,8,Autocuration,CHEMBL615727,,BAO_0000218
290,,,,10141.0,,,,105570,,1,D,9,Intermediate,CHEMBL615728,,BAO_0000019
291,,,,,,,,279,,1,H,8,Autocuration,CHEMBL857971,449.0,BAO_0000219
292,,,,,,,,107,,1,H,8,Autocuration,CHEMBL615729,,BAO_0000357
293,,,,10116.0,,,,12687,,1,D,9,Expert,CHEMBL615730,,BAO_0000019
294,,,,,,,,12687,,1,H,8,Expert,CHEMBL615731,,BAO_0000019
295,,,,,,,,12687,,1,H,8,Expert,CHEMBL615732,,BAO_0000019
296,,,,,,,,12687,,1,H,8,Expert,CHEMBL615733,,BAO_0000019
