miller2_fsclr,miller2_ctstlfrdvlpmnt(mrkr),miller2_cntnntd,miller2_brnchd,miller2_rgnstnsb-clss,miller2_rtcprcnt,miller2_brnchnm,miller2_rgnlprgrm(mrkr),miller2_chldrnsss(mrkr),miller2_thsss(mrkr),miller2_cfl(mrkr),miller2_rgnstntp,miller2_dsrtfctn(mrkr),miller2_prgrmmngprcss(nw),miller2_fstcprcnt,miller2_sctnnm,miller2_mntspnt,miller2_rgnstnd,miller2_knwldgfrdvlpmnt(mrkr),miller2_sctrnm,miller2_stts,miller2_dvsnnm,miller2_rgnstnnm,miller2_prtcptrdvlpmntndgdgvrnnc,miller2_clmtchngdpttn(mrkr),miller2_bdvrst(mrkr),miller2_rbnsss(mrkr),miller2_ndgnssss(mrkr),miller2_dsbltsss(mrkr),miller2_gndrqlt(mrkr),miller2_rgnstnclss,miller2_cntnntnm,miller2_prjctbrwsrcntrd,miller2_cntrrgnd,miller2_cntrrgnnm,miller2_cntrrgnprcnt,miller2_sctrd,miller2_sctrprcnt
2009/2010,0,3,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,900000.0,1014663,0,Material relief assistance and services,Terminating,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,Asia,X3,X3,Asia MC,0.3,72010,1.0
2009/2010,0,5,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,150000.0,1014663,0,Material relief assistance and services,Terminating,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,Europe,X4,X4,Europe MC,0.05,72010,1.0
2009/2010,0,2,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,1500000.0,1014663,0,Material relief assistance and services,Terminating,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,Africa,X1,X1,Africa MC,0.5,72010,1.0
2009/2010,0,1,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,450000.0,1014663,0,Material relief assistance and services,Terminating,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,America,X2,X2,Americas MC,0.15,72010,1.0
2009/2010,0,3,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,900000.0,1014663,0,Material relief assistance and services,Terminating,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,Asia,X3,X3,Asia MC,0.3,72010,1.0
2009/2010,0,5,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,150000.0,1014663,0,Material relief assistance and services,Terminating,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,1,Civil Society,Europe,X4,X4,Europe MC,0.05,72010,1.0
2009/2010,0,3,B5100,NGO,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,500000.0,1015332,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,Mines Advisory Group,0,0,0,0,0,0,0,Civil Society,Asia,LK,LK,Sri Lanka,1.0,72010,1.0
2009/2010,0,3,B5100,NGO,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,500000.0,1015331,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,The Halo Trust,0,0,0,0,0,0,0,Civil Society,Asia,LK,LK,Sri Lanka,1.0,72010,1.0
2009/2010,0,2,B5100,NGO,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,150000.0,1002035,1,Relief co-ordination; protection and support services,Closed,MHDInternational Humanitarian Assistance,International Crisis Group,1,0,0,0,0,0,0,Civil Society,Africa,X1,X1,Africa MC,0.5,72050,1.0
2009/2010,0,1,B5100,NGO,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,30000.0,1002035,1,Relief co-ordination; protection and support services,Closed,MHDInternational Humanitarian Assistance,International Crisis Group,1,0,0,0,0,0,0,Civil Society,America,X2,X2,Americas MC,0.1,72050,1.0
2009/2010,0,3,B5100,NGO,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,90000.0,1002035,1,Relief co-ordination; protection and support services,Closed,MHDInternational Humanitarian Assistance,International Crisis Group,1,0,0,0,0,0,0,Civil Society,Asia,X3,X3,Asia MC,0.3,72050,1.0
2009/2010,0,5,B5100,NGO,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,30000.0,1002035,1,Relief co-ordination; protection and support services,Closed,MHDInternational Humanitarian Assistance,International Crisis Group,1,0,0,0,0,0,0,Civil Society,Europe,X4,X4,Europe MC,0.1,72050,1.0
2009/2010,0,3,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,500000.0,1001721,0,Emergency food aid,Closed,MHDInternational Humanitarian Assistance,WFP - World Food Programme,0,0,0,0,0,0,0,Multilateral,Asia,YE,YE,Yemen,1.0,72040,1.0
2009/2010,0,1,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,1500000.0,1001721,0,Emergency food aid,Closed,MHDInternational Humanitarian Assistance,WFP - World Food Programme,0,0,0,0,0,0,0,Multilateral,America,CO,CO,Colombia,1.0,72040,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,6500000.0,1001721,0,Emergency food aid,Closed,MHDInternational Humanitarian Assistance,WFP - World Food Programme,0,0,0,0,0,0,1,Multilateral,Africa,TD,TD,Chad,1.0,72040,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,3950000.0,1001721,0,Emergency food aid,Closed,MHDInternational Humanitarian Assistance,WFP - World Food Programme,0,0,0,0,0,0,0,Multilateral,Africa,SD,SD,Sudan,1.0,72040,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,6300000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,1,Multilateral,Africa,X1,X1,Africa MC,0.45,72010,1.0
2009/2010,0,1,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,700000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,1,Multilateral,America,X2,X2,Americas MC,0.05,72010,1.0
2009/2010,0,3,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,6300000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,1,Multilateral,Asia,X3,X3,Asia MC,0.45,72010,1.0
2009/2010,0,5,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHO Huma Organization & Food Assistance,700000.0,1001730,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,UNHCR - United Nations High Commissioner for Refugees,0,0,0,0,0,0,1,Multilateral,Europe,X4,X4,Europe MC,0.05,72010,1.0
2009/2010,0,3,B5100,INTERNATIONAL NGO,0.0,MFM Global Issues and Development,0,0,0,0,Canadian Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,500000.0,1014663,0,Material relief assistance and services,Closed,MHDInternational Humanitarian Assistance,ICRC Appeals via CRCS,0,0,0,0,0,0,0,Civil Society,Asia,X3,X3,Asia MC,1.0,72010,1.0
2009/2010,0,2,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,1350000.0,1003586,0,Relief co-ordination; protection and support services,Closed,MHDInternational Humanitarian Assistance,OCHA - Office for the Coordination of Humanitarian Affairs,0,0,0,0,0,0,0,Multilateral,Africa,X1,X1,Africa MC,0.5,72050,1.0
2009/2010,0,1,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,405000.0,1003586,0,Relief co-ordination; protection and support services,Closed,MHDInternational Humanitarian Assistance,OCHA - Office for the Coordination of Humanitarian Affairs,0,0,0,0,0,0,0,Multilateral,America,X2,X2,Americas MC,0.15,72050,1.0
2009/2010,0,3,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,810000.0,1003586,0,Relief co-ordination; protection and support services,Closed,MHDInternational Humanitarian Assistance,OCHA - Office for the Coordination of Humanitarian Affairs,0,0,0,0,0,0,0,Multilateral,Asia,X3,X3,Asia MC,0.3,72050,1.0
2009/2010,0,5,B5100,UNITED NATIONS,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.0,MHI International Humanitarian Assis ops,135000.0,1003586,0,Relief co-ordination; protection and support services,Closed,MHDInternational Humanitarian Assistance,OCHA - Office for the Coordination of Humanitarian Affairs,0,0,0,0,0,0,0,Multilateral,Europe,X4,X4,Europe MC,0.05,72050,1.0
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,39000.0,1001306,0,Agricultural policy and administrative management,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31110,0.2
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,39000.0,1001306,0,Agricultural development,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31120,0.2
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,19500.0,1001306,0,Agricultural inputs,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31150,0.1
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,19500.0,1001306,0,Food crop production,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31161,0.1
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,19500.0,1001306,0,Agricultural extension,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31166,0.1
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,19500.0,1001306,0,Agricultural research,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31182,0.1
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,19500.0,1001306,0,Agricultural services,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31191,0.1
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,19500.0,1001306,0,Agricultural financial services,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31193,0.1
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,630000.0,1001306,0,Agricultural policy and administrative management,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,BD,BD,Bangladesh,0.105,31110,0.2
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,630000.0,1001306,0,Agricultural development,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,BD,BD,Bangladesh,0.105,31120,0.2
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,315000.0,1001306,0,Agricultural inputs,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,BD,BD,Bangladesh,0.105,31150,0.1
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,315000.0,1001306,0,Food crop production,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,BD,BD,Bangladesh,0.105,31161,0.1
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,315000.0,1001306,0,Agricultural extension,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,BD,BD,Bangladesh,0.105,31166,0.1
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,315000.0,1001306,0,Agricultural research,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,BD,BD,Bangladesh,0.105,31182,0.1
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,315000.0,1001306,0,Agricultural services,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,BD,BD,Bangladesh,0.105,31191,0.1
2009/2010,0,3,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,315000.0,1001306,0,Agricultural financial services,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Asia,BD,BD,Bangladesh,0.105,31193,0.1
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,48600.0,1001306,0,Agricultural policy and administrative management,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BI,BI,Burundi,0.0081,31110,0.2
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,48600.0,1001306,0,Agricultural development,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BI,BI,Burundi,0.0081,31120,0.2
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,24300.0,1001306,0,Agricultural inputs,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BI,BI,Burundi,0.0081,31150,0.1
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,24300.0,1001306,0,Food crop production,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BI,BI,Burundi,0.0081,31161,0.1
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,24300.0,1001306,0,Agricultural extension,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BI,BI,Burundi,0.0081,31166,0.1
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,24300.0,1001306,0,Agricultural research,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BI,BI,Burundi,0.0081,31182,0.1
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,24300.0,1001306,0,Agricultural services,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BI,BI,Burundi,0.0081,31191,0.1
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,24300.0,1001306,0,Agricultural financial services,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BI,BI,Burundi,0.0081,31193,0.1
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,43800.0,1001306,0,Agricultural policy and administrative management,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BJ,BJ,Benin,0.0073,31110,0.2
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,43800.0,1001306,0,Agricultural development,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BJ,BJ,Benin,0.0073,31120,0.2
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,21900.0,1001306,0,Agricultural inputs,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BJ,BJ,Benin,0.0073,31150,0.1
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,21900.0,1001306,0,Food crop production,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BJ,BJ,Benin,0.0073,31161,0.1
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,21900.0,1001306,0,Agricultural extension,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BJ,BJ,Benin,0.0073,31166,0.1
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,21900.0,1001306,0,Agricultural research,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BJ,BJ,Benin,0.0073,31182,0.1
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,21900.0,1001306,0,Agricultural services,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BJ,BJ,Benin,0.0073,31191,0.1
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,21900.0,1001306,0,Agricultural financial services,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,BJ,BJ,Benin,0.0073,31193,0.1
2009/2010,0,2,B5100,IFI,0.0,MFM Global Issues and Development,0,0,0,0,Foreign Non-Profit Making,0,Uncoded: Pre-APP,0.1,*Bretton Woods Inst Fin Prog,34200.0,1001306,0,Agricultural policy and administrative management,Operational,MED Economic Development,World Bank,0,0,0,0,0,0,1,Multilateral,Africa,CF,CF,Central Afr.Rep,0.0057,31110,0.2
