assays_assay_id,assays_tid,assays_assay_test_type,assays_bao_format,assays_cell_id,assays_assay_cell_type,assays_description,assays_assay_category,assays_src_assay_id,assays_relationship_type,assays_curated_by,assays_assay_type,assays_assay_tax_id,assays_chembl_id,assays_variant_id,assays_tissue_id,assays_assay_tissue,assays_assay_subcellular_fraction,assays_confidence_score,assays_src_id
21,12054,,BAO_0000357,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,H,Autocuration,B,,CHEMBL615135,,,,,8,1
22,12054,,BAO_0000357,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,H,Autocuration,B,,CHEMBL615136,,,,,8,1
23,12054,,BAO_0000357,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,H,Autocuration,B,,CHEMBL615137,,,,,8,1
24,12054,,BAO_0000357,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,H,Autocuration,B,,CHEMBL615138,,,,,8,1
25,22226,,BAO_0000219,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,U,Autocuration,B,,CHEMBL836324,,,,,0,1
26,12054,,BAO_0000357,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,H,Autocuration,B,9986.0,CHEMBL615139,,,,,8,1
27,12054,,BAO_0000357,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,H,Autocuration,B,9986.0,CHEMBL615140,,,,,8,1
28,12426,,BAO_0000219,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,H,Autocuration,B,,CHEMBL615141,,,,,8,1
29,12054,,BAO_0000357,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,H,Autocuration,B,3847.0,CHEMBL615142,,,,,8,1
30,12054,,BAO_0000357,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,H,Autocuration,B,3847.0,CHEMBL615143,,,,,8,1
31,12054,,BAO_0000357,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,H,Autocuration,B,3847.0,CHEMBL615144,,,,,8,1
32,12054,,BAO_0000357,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,H,Autocuration,B,3847.0,CHEMBL872867,,,,,8,1
33,12054,,BAO_0000357,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,H,Autocuration,B,3847.0,CHEMBL615145,,,,,8,1
34,12054,,BAO_0000357,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,H,Autocuration,B,3847.0,CHEMBL615146,,,,,8,1
35,12054,,BAO_0000357,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,H,Autocuration,B,3847.0,CHEMBL615147,,,,,8,1
36,22226,,BAO_0000019,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,U,Autocuration,A,10116.0,CHEMBL615148,,,,,0,1
37,22226,,BAO_0000019,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,U,Autocuration,B,562.0,CHEMBL615149,,,,,0,1
38,22226,,BAO_0000019,,,Dissociation constant with dimeric 16S rRNA RNA construct B,,,U,Autocuration,B,,CHEMBL615150,,,,,0,1
39,22222,,BAO_0000225,,,Dissociation constant towards 16S rRNA construct A,,,M,Intermediate,B,,CHEMBL615151,,,,,3,1
40,22222,,BAO_0000225,,,Dissociation constant towards 16S rRNA construct B,,,M,Intermediate,B,,CHEMBL615152,,,,,3,1
41,100263,,BAO_0000225,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,M,Expert,B,562.0,CHEMBL615153,,,,,3,1
42,100263,,BAO_0000225,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,M,Expert,B,562.0,CHEMBL615154,,,,,3,1
43,13053,,BAO_0000019,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,H,Autocuration,B,,CHEMBL615155,,,,,8,1
44,13053,,BAO_0000019,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,H,Autocuration,B,,CHEMBL615156,,,,,8,1
45,20001,,BAO_0000019,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,H,Autocuration,B,9606.0,CHEMBL615157,,,,,8,1
46,20001,,BAO_0000019,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,H,Autocuration,B,9606.0,CHEMBL615158,,,,,8,1
47,12971,,BAO_0000019,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,D,Expert,B,10116.0,CHEMBL615159,,,,,9,1
48,12971,,BAO_0000019,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,D,Expert,B,10116.0,CHEMBL615172,,,,,9,1
49,12971,,BAO_0000019,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,D,Expert,B,10116.0,CHEMBL615173,,,,,9,1
50,12971,,BAO_0000019,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,D,Expert,B,10116.0,CHEMBL615174,,,,,9,1
51,13053,,BAO_0000019,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,H,Autocuration,B,,CHEMBL884518,,,,,8,1
52,11512,,BAO_0000357,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,H,Autocuration,B,,CHEMBL615175,,,,,8,1
53,11512,,BAO_0000357,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,H,Autocuration,B,,CHEMBL615176,,,,,8,1
54,11512,,BAO_0000357,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,H,Autocuration,B,,CHEMBL615177,,,,,8,1
55,104740,,BAO_0000249,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,D,Autocuration,B,10116.0,CHEMBL615178,,,,Membranes,5,1
56,80002,,BAO_0000219,506.0,1A9,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,,N,Intermediate,F,9606.0,CHEMBL615179,,,,,1,1
57,104835,,BAO_0000219,,Oocytes,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,,D,Autocuration,F,10116.0,CHEMBL615180,,,,,7,1
58,104821,,BAO_0000219,,Oocytes,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,,D,Autocuration,F,10116.0,CHEMBL615181,,,,,7,1
59,104848,,BAO_0000219,,Oocytes,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,,D,Autocuration,F,10116.0,CHEMBL615182,,,,,7,1
60,80002,,BAO_0000219,506.0,1A9,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,,N,Expert,F,9606.0,CHEMBL615183,,,,,1,1
61,80002,,BAO_0000219,506.0,1A9,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,,N,Intermediate,F,9606.0,CHEMBL615184,,,,,1,1
62,80002,,BAO_0000219,506.0,1A9,Cytotoxic activity against human ovarian cancer (1A9) cell line,,,N,Intermediate,F,9606.0,CHEMBL615185,,,,,1,1
63,80002,,BAO_0000219,506.0,1A9,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,,N,Intermediate,F,9606.0,CHEMBL615186,,,,,1,1
64,80002,,BAO_0000219,506.0,1A9,Effective dose of compound against replication of 1A9 cell line was evaluated,,,N,Intermediate,F,9606.0,CHEMBL615187,,,,,1,1
65,80002,,BAO_0000219,506.0,1A9,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,,N,Expert,F,9606.0,CHEMBL885343,,,,,1,1
66,80002,,BAO_0000219,506.0,1A9,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,,N,Intermediate,F,9606.0,CHEMBL615188,,,,,1,1
67,80002,,BAO_0000219,506.0,1A9,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,,N,Intermediate,F,9606.0,CHEMBL615189,,,,,1,1
68,80002,,BAO_0000219,506.0,1A9,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,,N,Intermediate,F,9606.0,CHEMBL615190,,,,,1,1
69,80002,,BAO_0000219,506.0,1A9,Inhibitory activity against Taxol resistant 1A9 cell lines,,,N,Intermediate,F,9606.0,CHEMBL615191,,,,,1,1
70,80002,,BAO_0000219,506.0,1A9,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,,N,Expert,F,9606.0,CHEMBL615192,,,,,1,1
71,80002,,BAO_0000219,506.0,1A9,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,,N,Expert,F,9606.0,CHEMBL827083,,,,,1,1
72,80002,,BAO_0000219,506.0,1A9,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,,N,Expert,F,9606.0,CHEMBL615193,,,,,1,1
73,80002,,BAO_0000219,506.0,1A9,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,,N,Intermediate,F,9606.0,CHEMBL615194,,,,,1,1
74,80002,,BAO_0000219,506.0,1A9,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,,N,Intermediate,F,9606.0,CHEMBL615195,,,,,1,1
75,80002,,BAO_0000219,506.0,1A9,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,,N,Intermediate,F,9606.0,CHEMBL615196,,,,,1,1
76,81072,,BAO_0000219,503.0,Jurkat,Inhibitory concentration against Jurkat cells,,,N,Intermediate,F,9606.0,CHEMBL615197,,,,,1,1
77,22226,,BAO_0000019,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,U,Intermediate,F,,CHEMBL615198,,,,,0,1
78,100121,,BAO_0000357,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,D,Expert,A,10116.0,CHEMBL615199,,,,,9,1
79,11231,,BAO_0000357,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,H,Expert,B,,CHEMBL615200,,,,,8,1
80,11231,,BAO_0000357,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,H,Expert,B,,CHEMBL615201,,,,,8,1
81,11231,,BAO_0000357,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,H,Expert,B,,CHEMBL615202,,,,,8,1
82,11231,,BAO_0000251,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,,H,Autocuration,B,5476.0,CHEMBL615203,,,,Microsomes,8,1
83,11231,,BAO_0000251,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,,H,Autocuration,B,5476.0,CHEMBL615204,,,,Microsomes,8,1
84,11231,,BAO_0000251,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,,H,Autocuration,B,4932.0,CHEMBL615205,,,,Microsomes,8,1
85,11231,,BAO_0000251,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,,H,Autocuration,B,4932.0,CHEMBL615206,,,,Microsomes,8,1
86,12083,,BAO_0000251,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,,H,Autocuration,B,9823.0,CHEMBL615207,,2107.0,Liver,Microsomes,8,1
87,11231,,BAO_0000019,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,H,Autocuration,B,10116.0,CHEMBL827084,,,,,8,1
88,11231,,BAO_0000019,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,H,Autocuration,B,10116.0,CHEMBL615208,,,,,8,1
89,11231,,BAO_0000019,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,H,Autocuration,B,10116.0,CHEMBL615209,,,,,8,1
90,12083,,BAO_0000251,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,,D,Autocuration,B,10116.0,CHEMBL615210,,2107.0,Liver,Microsomes,9,1
91,12083,,BAO_0000251,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,D,Autocuration,B,10116.0,CHEMBL615211,,2107.0,Liver,Microsomes,9,1
92,12083,,BAO_0000251,,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,D,Autocuration,B,10116.0,CHEMBL615212,,2107.0,Liver,Microsomes,9,1
93,11377,,BAO_0000357,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,H,Expert,B,,CHEMBL615213,,,,,8,1
94,11377,,BAO_0000357,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,H,Expert,B,,CHEMBL615273,,,,,8,1
95,81020,,BAO_0000219,726.0,HepG2,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,N,Expert,F,9606.0,CHEMBL615274,,,,,1,1
96,81020,,BAO_0000219,726.0,HepG2,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,,N,Intermediate,F,9606.0,CHEMBL615275,,,,,1,1
97,81020,,BAO_0000219,726.0,HepG2,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,,N,Intermediate,F,9606.0,CHEMBL615276,,,,,1,1
98,81020,,BAO_0000219,726.0,HepG2,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,,N,Intermediate,F,9606.0,CHEMBL615277,,,,,1,1
99,81020,,BAO_0000219,726.0,HepG2,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,,N,Intermediate,F,9606.0,CHEMBL615326,,,,,1,1
100,50606,,BAO_0000218,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,N,Expert,F,10407.0,CHEMBL883130,,,,,1,1
101,81020,,BAO_0000219,726.0,HepG2,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,,N,Intermediate,F,9606.0,CHEMBL884519,,,,,1,1
102,81020,,BAO_0000219,726.0,HepG2,Concentration required to inhibit 50% of 2.2.15 cell line,,,N,Intermediate,F,9606.0,CHEMBL615327,,,,,1,1
103,81020,,BAO_0000219,726.0,HepG2,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,,N,Intermediate,A,9606.0,CHEMBL615328,,,,,1,1
104,50587,,BAO_0000218,,2.2.15,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,,N,Intermediate,F,9606.0,CHEMBL615329,,,,,1,1
105,50587,,BAO_0000218,,2.2.15,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,,N,Intermediate,F,9606.0,CHEMBL615330,,,,,1,1
106,50606,,BAO_0000218,,2.2.15,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,,N,Expert,F,10407.0,CHEMBL615331,,,,,1,1
107,50587,,BAO_0000218,,2.2.15,In vitro anti-HBV activity in 2.2.15 cells,,,N,Intermediate,F,9606.0,CHEMBL615332,,,,,1,1
108,50587,,BAO_0000218,,2.2.15,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,,N,Intermediate,F,9606.0,CHEMBL615333,,,,,1,1
109,50587,,BAO_0000218,,2.2.15,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,,N,Intermediate,F,9606.0,CHEMBL615334,,,,,1,1
110,50587,,BAO_0000218,,2.2.15,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,,N,Intermediate,F,9606.0,CHEMBL615335,,,,,1,1
111,50587,,BAO_0000218,,2.2.15,Cytotoxicity in 2.2.15 cells,,,N,Intermediate,F,9606.0,CHEMBL615336,,,,,1,1
112,50587,,BAO_0000218,,2.2.15,Cytotoxicity in 2.2.15 cells; Not determined,,,N,Intermediate,F,9606.0,CHEMBL615337,,,,,1,1
113,50587,,BAO_0000218,,2.2.15,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,,N,Intermediate,F,9606.0,CHEMBL615338,,,,,1,1
114,50587,,BAO_0000218,,2.2.15,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,,N,Intermediate,F,9606.0,CHEMBL615339,,,,,1,1
115,50587,,BAO_0000218,,2.2.15,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,,N,Intermediate,F,9606.0,CHEMBL615340,,,,,1,1
116,81020,,BAO_0000219,726.0,HepG2,Antiviral activity against HBV was determined in 2.215 cell line,,,N,Intermediate,F,9606.0,CHEMBL615341,,,,,1,1
117,22226,,BAO_0000251,,,Inhibition of 20-HETE synthesis in human renal microsomes,,,U,Autocuration,B,9606.0,CHEMBL615342,,,,Microsomes,0,1
118,22226,,BAO_0000019,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,U,Autocuration,B,,CHEMBL615343,,,,,0,1
119,80612,,BAO_0000219,388.0,2008,Inhibitory concentration against 2008 (ovarian) cells,,,N,Intermediate,F,9606.0,CHEMBL615344,,,,,1,1
120,80612,,BAO_0000219,388.0,2008,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,,N,Intermediate,F,9606.0,CHEMBL615345,,,,,1,1
121,80612,,BAO_0000219,388.0,2008,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,,N,Intermediate,F,9606.0,CHEMBL615346,,,,,1,1
122,80612,,BAO_0000219,388.0,2008,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,,N,Intermediate,F,9606.0,CHEMBL615347,,,,,1,1
123,80612,,BAO_0000219,388.0,2008,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,,N,Intermediate,F,9606.0,CHEMBL615348,,,,,1,1
124,80613,,BAO_0000219,561.0,2008/R,In vitro inhibition of 2008/R ovarian cancer cell line,,,N,Intermediate,F,9606.0,CHEMBL827085,,,,,1,1
125,80613,,BAO_0000219,561.0,2008/R,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,,N,Intermediate,F,9606.0,CHEMBL615349,,,,,1,1
126,80614,,BAO_0000219,389.0,2008/S,In vitro inhibition of 2008/S ovarian cancer cell line,,,N,Intermediate,F,9606.0,CHEMBL615350,,,,,1,1
127,80614,,BAO_0000219,389.0,2008/S,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,,N,Intermediate,F,9606.0,CHEMBL615351,,,,,1,1
128,100256,,BAO_0000220,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,,S,Expert,B,9606.0,CHEMBL615352,,,,,2,1
129,100256,,BAO_0000220,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,,S,Intermediate,B,9606.0,CHEMBL615353,,,,,2,1
130,100256,,BAO_0000220,,,Inhibition of chymotrypsin-like activity of 20S proteasome,,,S,Expert,B,,CHEMBL615354,,,,,2,1
131,100256,,BAO_0000220,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,S,Expert,B,,CHEMBL615355,,,,,2,1
132,100256,,BAO_0000220,,,Inhibitory activity against 20S proteosome,,,S,Intermediate,B,,CHEMBL615356,,,,,2,1
133,22226,,BAO_0000019,,,Compound was tested for inhibitory activity against tryptase,,,U,Autocuration,B,9606.0,CHEMBL615357,,,,,0,1
134,81020,,BAO_0000219,726.0,HepG2,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,,N,Intermediate,F,9606.0,CHEMBL615358,,,,,1,1
135,81020,,BAO_0000219,726.0,HepG2,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,,N,Intermediate,F,9606.0,CHEMBL827086,,,,,1,1
136,22226,,BAO_0000019,,,Compound was tested for the inhibition of Alpha-glucosidase,,,U,Autocuration,B,,CHEMBL615359,,,,,0,1
137,235,,BAO_0000357,,,Inhibitory concentration against human neutrophil elastase (HNE),,,H,Autocuration,B,,CHEMBL615360,,,,,8,1
138,22226,,BAO_0000218,,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,,U,Autocuration,F,10116.0,CHEMBL615361,,948.0,Heart,,0,1
139,19640,,BAO_0000019,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,H,Autocuration,F,,CHEMBL615362,,,,,8,1
140,19640,,BAO_0000019,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,H,Expert,F,,CHEMBL615363,,,,,8,1
141,19640,,BAO_0000357,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,H,Autocuration,B,,CHEMBL615364,,,,,8,1
142,19640,,BAO_0000019,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,H,Expert,F,,CHEMBL615365,,,,,8,1
143,80360,,BAO_0000219,524.0,P338,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,,N,Intermediate,F,10090.0,CHEMBL615366,,,,,1,1
144,80360,,BAO_0000219,524.0,P338,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,,N,Intermediate,F,10090.0,CHEMBL615367,,,,,1,1
145,80384,,BAO_0000219,554.0,PBL,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,,N,Intermediate,F,9606.0,CHEMBL615368,,,,,1,1
146,22226,,BAO_0000019,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,,U,Autocuration,F,9940.0,CHEMBL615369,,,,,0,1
147,22226,,BAO_0000019,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,,U,Autocuration,F,9940.0,CHEMBL615370,,,,,0,1
148,191,,BAO_0000357,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,H,Autocuration,B,,CHEMBL615673,,,,,8,1
149,22226,,BAO_0000019,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,,U,Autocuration,F,9606.0,CHEMBL615674,,,,,0,1
150,22226,,BAO_0000019,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,,U,Autocuration,F,9606.0,CHEMBL615675,,,,,0,1
151,22226,,BAO_0000219,635.0,CCRF-CEM,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,,U,Autocuration,F,9606.0,CHEMBL615676,,,,,0,1
152,22226,,BAO_0000219,635.0,CCRF-CEM,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,,U,Autocuration,F,9606.0,CHEMBL615677,,,,,0,1
