assay_id,assay_subcellular_fraction,assay_strain,assay_test_type,assay_tax_id,tissue_id,src_assay_id,variant_id,tid,assay_category,src_id,doc_id,description,assay_type,assay_organism,assay_tissue,assay_cell_type
15,,,,1280.0,,,,50185,,1,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,Staphylococcus aureus,,
16,,,,1280.0,,,,50185,,1,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,Staphylococcus aureus,,
17,,,,10116.0,,,,100122,,1,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,Rattus norvegicus,,
18,,,,,,,,12054,,1,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,
19,,,,,,,,12054,,1,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,
20,,,,,,,,12054,,1,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,
21,,,,,,,,12054,,1,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,
22,,,,,,,,12054,,1,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,
23,,,,,,,,12054,,1,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,
24,,,,,,,,12054,,1,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,
25,,,,,,,,22226,,1,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,
26,,,,9986.0,,,,12054,,1,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,Oryctolagus cuniculus,,
27,,,,9986.0,,,,12054,,1,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,Oryctolagus cuniculus,,
28,,,,,,,,12426,,1,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,
29,,,,3847.0,,,,12054,,1,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,soya bean,,
30,,,,3847.0,,,,12054,,1,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,Glycine max,,
31,,,,3847.0,,,,12054,,1,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,Glycine max,,
32,,,,3847.0,,,,12054,,1,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,Glycine max,,
33,,,,3847.0,,,,12054,,1,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,Glycine max,,
34,,,,3847.0,,,,12054,,1,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,Glycine max,,
35,,,,3847.0,,,,12054,,1,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,Glycine max,,
36,,,,10116.0,,,,22226,,1,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,Rattus norvegicus,,
37,,,,562.0,,,,22226,,1,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,Escherichia coli,,
38,,,,,,,,22226,,1,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,
39,,,,,,,,22222,,1,3782,Dissociation constant towards 16S rRNA construct A,B,,,
40,,,,,,,,22222,,1,3782,Dissociation constant towards 16S rRNA construct B,B,,,
41,,,,562.0,,,,100263,,1,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,Escherichia coli,,
42,,,,562.0,,,,100263,,1,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,Escherichia coli,,
43,,,,,,,,13053,,1,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,
44,,,,,,,,13053,,1,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,
45,,,,9606.0,,,,20001,,1,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,Homo sapiens,,
46,,,,9606.0,,,,20001,,1,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,Homo sapiens,,
47,,,,10116.0,,,,12971,,1,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,Rattus norvegicus,,
48,,,,10116.0,,,,12971,,1,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,Rattus norvegicus,,
49,,,,10116.0,,,,12971,,1,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,Rattus norvegicus,,
50,,,,10116.0,,,,12971,,1,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,Rattus norvegicus,,
51,,,,,,,,13053,,1,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,
52,,,,,,,,11512,,1,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,
53,,,,,,,,11512,,1,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,
54,,,,,,,,11512,,1,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,
55,Membranes,,,10116.0,,,,104740,,1,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,Rattus norvegicus,,
56,,,,9606.0,,,,80002,,1,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,Homo sapiens,,1A9
57,,,,10116.0,,,,104835,,1,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,Rattus norvegicus,,Oocytes
58,,,,10116.0,,,,104821,,1,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,Rattus norvegicus,,Oocytes
59,,,,10116.0,,,,104848,,1,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,Rattus norvegicus,,Oocytes
60,,,,9606.0,,,,80002,,1,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,Homo sapiens,,1A9
61,,,,9606.0,,,,80002,,1,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,Homo sapiens,,1A9
62,,,,9606.0,,,,80002,,1,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,Homo sapiens,,1A9
63,,,,9606.0,,,,80002,,1,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,Homo sapiens,,1A9
64,,,,9606.0,,,,80002,,1,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,Homo sapiens,,1A9
65,,,,9606.0,,,,80002,,1,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,Homo sapiens,,1A9
66,,,,9606.0,,,,80002,,1,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,Homo sapiens,,1A9
67,,,,9606.0,,,,80002,,1,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,Homo sapiens,,1A9
68,,,,9606.0,,,,80002,,1,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,Homo sapiens,,1A9
69,,,,9606.0,,,,80002,,1,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,Homo sapiens,,1A9
70,,,,9606.0,,,,80002,,1,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,Homo sapiens,,1A9
71,,,,9606.0,,,,80002,,1,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,Homo sapiens,,1A9
72,,,,9606.0,,,,80002,,1,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,Homo sapiens,,1A9
73,,,,9606.0,,,,80002,,1,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,Homo sapiens,,1A9
74,,,,9606.0,,,,80002,,1,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,Homo sapiens,,1A9
75,,,,9606.0,,,,80002,,1,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,Homo sapiens,,1A9
76,,,,9606.0,,,,81072,,1,17721,Inhibitory concentration against Jurkat cells,F,Homo sapiens,,Jurkat
77,,,,,,,,22226,,1,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,
78,,,,10116.0,,,,100121,,1,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,Rattus norvegicus,,
79,,,,,,,,11231,,1,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,
80,,,,,,,,11231,,1,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,
81,,,,,,,,11231,,1,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,
82,Microsomes,,,5476.0,,,,11231,,1,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,Candida albicans,,
83,Microsomes,,,5476.0,,,,11231,,1,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,Candida albicans,,
84,Microsomes,,,4932.0,,,,11231,,1,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,Saccharomyces cerevisiae,,
85,Microsomes,,,4932.0,,,,11231,,1,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,Saccharomyces cerevisiae,,
86,Microsomes,,,9823.0,2107.0,,,12083,,1,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,Sus scrofa,Liver,
87,,,,10116.0,,,,11231,,1,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,Rattus norvegicus,,
88,,,,10116.0,,,,11231,,1,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,Rattus norvegicus,,
89,,,,10116.0,,,,11231,,1,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,Rattus norvegicus,,
90,Microsomes,,,10116.0,2107.0,,,12083,,1,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,Rattus norvegicus,Liver,
91,Microsomes,,,10116.0,2107.0,,,12083,,1,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,Rattus norvegicus,Liver,
92,Microsomes,,,10116.0,2107.0,,,12083,,1,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,Rattus norvegicus,Liver,
93,,,,,,,,11377,,1,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,
94,,,,,,,,11377,,1,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,
95,,,,9606.0,,,,81020,,1,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,Homo sapiens,,HepG2
96,,,,9606.0,,,,81020,,1,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,Homo sapiens,,HepG2
97,,,,9606.0,,,,81020,,1,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,Homo sapiens,,HepG2
98,,,,9606.0,,,,81020,,1,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,Homo sapiens,,HepG2
99,,,,9606.0,,,,81020,,1,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,Homo sapiens,,HepG2
100,,,,10407.0,,,,50606,,1,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,Hepatitis B virus,,
101,,,,9606.0,,,,81020,,1,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,Homo sapiens,,HepG2
102,,,,9606.0,,,,81020,,1,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,Homo sapiens,,HepG2
103,,,,9606.0,,,,81020,,1,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,Homo sapiens,,HepG2
104,,,,9606.0,,,,50587,,1,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,Homo sapiens,,2.2.15
105,,,,9606.0,,,,50587,,1,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,Homo sapiens,,2.2.15
106,,,,10407.0,,,,50606,,1,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,Hepatitis B virus,,2.2.15
107,,,,9606.0,,,,50587,,1,1593,In vitro anti-HBV activity in 2.2.15 cells,F,Homo sapiens,,2.2.15
108,,,,9606.0,,,,50587,,1,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,Homo sapiens,,2.2.15
109,,,,9606.0,,,,50587,,1,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,Homo sapiens,,2.2.15
110,,,,9606.0,,,,50587,,1,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,Homo sapiens,,2.2.15
111,,,,9606.0,,,,50587,,1,1593,Cytotoxicity in 2.2.15 cells,F,Homo sapiens,,2.2.15
112,,,,9606.0,,,,50587,,1,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,Homo sapiens,,2.2.15
113,,,,9606.0,,,,50587,,1,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,Homo sapiens,,2.2.15
114,,,,9606.0,,,,50587,,1,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,Homo sapiens,,2.2.15
115,,,,9606.0,,,,50587,,1,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,Homo sapiens,,2.2.15
116,,,,9606.0,,,,81020,,1,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,Homo sapiens,,HepG2
117,Microsomes,,,9606.0,,,,22226,,1,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,Homo sapiens,,
118,,,,,,,,22226,,1,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,
119,,,,9606.0,,,,80612,,1,17072,Inhibitory concentration against 2008 (ovarian) cells,F,Homo sapiens,,2008
120,,,,9606.0,,,,80612,,1,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,Homo sapiens,,2008
121,,,,9606.0,,,,80612,,1,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,Homo sapiens,,2008
122,,,,9606.0,,,,80612,,1,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,Homo sapiens,,2008
123,,,,9606.0,,,,80612,,1,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,Homo sapiens,,2008
124,,,,9606.0,,,,80613,,1,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,Homo sapiens,,2008/R
125,,,,9606.0,,,,80613,,1,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,Homo sapiens,,2008/R
126,,,,9606.0,,,,80614,,1,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,Homo sapiens,,2008/S
127,,,,9606.0,,,,80614,,1,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,Homo sapiens,,2008/S
128,,,,9606.0,,,,100256,,1,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,Homo sapiens,,
129,,,,9606.0,,,,100256,,1,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,Homo sapiens,,
130,,,,,,,,100256,,1,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,
131,,,,,,,,100256,,1,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,
132,,,,,,,,100256,,1,3260,Inhibitory activity against 20S proteosome,B,,,
133,,,,9606.0,,,,22226,,1,3451,Compound was tested for inhibitory activity against tryptase,B,Homo sapiens,,
134,,,,9606.0,,,,81020,,1,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,Homo sapiens,,HepG2
135,,,,9606.0,,,,81020,,1,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,Homo sapiens,,HepG2
136,,,,,,,,22226,,1,3676,Compound was tested for the inhibition of Alpha-glucosidase,B,,,
137,,,,,,,,235,,1,6043,Inhibitory concentration against human neutrophil elastase (HNE),B,,,
138,,,,10116.0,948.0,,,22226,,1,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,Rattus norvegicus,Heart,
139,,,,,,,,19640,,1,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,
140,,,,,,,,19640,,1,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,
141,,,,,,,,19640,,1,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,
142,,,,,,,,19640,,1,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,
143,,,,10090.0,,,,80360,,1,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,Mus musculus,,P338
144,,,,10090.0,,,,80360,,1,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,Mus musculus,,P338
145,,,,9606.0,,,,80384,,1,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,Homo sapiens,,PBL
146,,,,9940.0,,,,22226,,1,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,Ovis aries,,
147,,,,9940.0,,,,22226,,1,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,Ovis aries,,
148,,,,,,,,191,,1,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,
149,,,,9606.0,,,,22226,,1,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,Homo sapiens,,
150,,,,9606.0,,,,22226,,1,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,Homo sapiens,,
151,,,,9606.0,,,,22226,,1,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,Homo sapiens,,CCRF-CEM
152,,,,9606.0,,,,22226,,1,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,Homo sapiens,,CCRF-CEM
153,,,,9606.0,,,,22226,,1,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,Homo sapiens,,CCRF-CEM
154,,,,9606.0,,,,22226,,1,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,Homo sapiens,,CCRF-CEM
155,,,,9606.0,,,,22226,,1,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,Homo sapiens,,
156,,,,9606.0,,,,22226,,1,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,Homo sapiens,,
157,,,,,,,,104290,,1,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,
158,,,,1314.0,,,,50264,,1,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,Streptococcus pyogenes,,
159,,,,10335.0,,,,50527,,1,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,Human herpesvirus 3,,
160,,,,10335.0,,,,50527,,1,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,vericilla zoster virus,,HEL
161,,,,10335.0,,,,50527,,1,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,vericilla zoster virus,,
162,,,,10335.0,,,,50527,,1,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,vericilla zoster virus,,
163,,,,561.0,,,,50145,,1,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,escherichia cloac,,
164,,,,,,,,22226,,1,9707,Ratio of Ki at A2 to Ki at A1 receptors,B,,,
165,,,,5476.0,,,,11143,,1,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,Candida albicans,,
166,,,,284593.0,,,,18077,,1,2205,"Inhibition of 1,3-beta-glucan synthase",B,Candida glabrata CBS 138,,
167,,,,9606.0,,,,80609,,1,11900,Inhibition of growth of 1-87 human tumor cell line,F,Homo sapiens,,1-87 tumor cell line
168,,,,10116.0,,,,12166,,1,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,Rattus norvegicus,,
169,,,,3847.0,,,,100171,,1,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,Glycine max,,
170,,,,3847.0,,,,100171,,1,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,Glycine max,,
171,,,,3847.0,,,,100171,,1,16474,% inhibition against soybean 1-lipoxygenase (SLO),B,Glycine max,,
172,,,,3847.0,,,,100171,,1,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,Glycine max,,
173,,,,3847.0,,,,100171,,1,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,Glycine max,,
174,,,,3847.0,,,,100171,,1,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,Glycine max,,
175,,,,3847.0,,,,100171,,1,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,Glycine max,,
176,,,,3847.0,,,,100171,,1,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,B,Glycine max,,
177,,,,3847.0,,,,100171,,1,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,B,Glycine max,,
178,,,,3847.0,,,,100171,,1,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,B,Glycine max,,
179,,,,3847.0,,,,100171,,1,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,B,Glycine max,,
180,,,,3847.0,,,,100171,,1,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,B,Glycine max,,
181,,,,3847.0,,,,100171,,1,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,B,Glycine max,,
182,,,,3847.0,,,,100171,,1,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,B,Glycine max,,
183,,,,3847.0,,,,100171,,1,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,B,Glycine max,,
184,,,,10090.0,,,,22226,,1,10413,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,B,Mus musculus,,
185,,,,10090.0,,,,80049,,1,16929,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),F,Mus musculus,,C3H 10T1/2
186,,,,,,,,22226,,1,1229,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,F,,,
187,,,,,,,,11489,,1,16587,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,
188,,,,,,,,11862,,1,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,
189,,,,,,,,11862,,1,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,B,,,
190,,,,,,,,11489,,1,16587,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,B,,,
