miller2_fsclr,miller2_chldrnsss(mrkr),miller2_rgnstnd,miller2_rtcprcnt,miller2_sctrprcnt,miller2_rgnstnnm,miller2_nvrmntlsstnblt(mrkr),miller2_cntnntd,miller2_fstcprcnt,miller2_prjctnmbr,miller2_rbnsss(mrkr),miller2_pbtp,miller2_cntrrgnd,miller2_cntnntnm,miller2_brnchd,miller2_mxmmcdcntrbtn(prjct-lvl),miller2_clmtchngdpttn(mrkr),miller2_prjctbrwsrcntrd,miller2_sctrnm,miller2_trddvlpmnt(mrkr),miller2_fndcntrd,miller2_prgrmmngprcss(nw),miller2_dsbltsss(mrkr),miller2_gndrqlt(mrkr),miller2_clmtchngmtgtn(mrkr),miller2_prtcptrdvlpmntndgdgvrnnc,miller2_bdvrst(mrkr),miller2_thsss(mrkr),miller2_ndgnssss(mrkr),miller2_ctstlfrdvlpmnt(mrkr),miller2_knwldgfrdvlpmnt(mrkr),miller2_rgnstntp,miller2_rgnstnclss,miller2_rgnstnsb-clss,miller2_cntrrgnnm,miller2_cntrrgnprcnt,miller2_sctrd,miller2_mntspnt
2009/2010,0,1014663,0.0,1.0,ICRC Appeals via CRCS,0,3,0.0,M013172001,0,Not PBA,X3,Asia,B5100,3000000.0,0,X3,Material relief assistance and services,0,5311,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Asia MC,0.3,72010,900000.0
2009/2010,0,1014663,0.0,1.0,ICRC Appeals via CRCS,0,5,0.0,M013172001,0,Not PBA,X4,Europe,B5100,3000000.0,0,X4,Material relief assistance and services,0,5311,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Europe MC,0.05,72010,150000.0
2009/2010,0,1014663,0.0,1.0,ICRC Appeals via CRCS,0,2,0.0,M013173001,0,Not PBA,X1,Africa,B5100,3000000.0,0,X1,Material relief assistance and services,0,5311,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Africa MC,0.5,72010,1500000.0
2009/2010,0,1014663,0.0,1.0,ICRC Appeals via CRCS,0,1,0.0,M013173001,0,Not PBA,X2,America,B5100,3000000.0,0,X2,Material relief assistance and services,0,5311,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Americas MC,0.15,72010,450000.0
2009/2010,0,1014663,0.0,1.0,ICRC Appeals via CRCS,0,3,0.0,M013173001,0,Not PBA,X3,Asia,B5100,3000000.0,0,X3,Material relief assistance and services,0,5311,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Asia MC,0.3,72010,900000.0
2009/2010,0,1014663,0.0,1.0,ICRC Appeals via CRCS,0,5,0.0,M013173001,0,Not PBA,X4,Europe,B5100,3000000.0,0,X4,Material relief assistance and services,0,5311,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Europe MC,0.05,72010,150000.0
2009/2010,0,1015332,0.0,1.0,Mines Advisory Group,1,3,0.0,M013174001,0,Not PBA,LK,Asia,B5100,500000.0,0,LK,Material relief assistance and services,0,5303,Uncoded: Pre-APP,0,0,0,0,0,0,0,0,0,Foreign Non-Profit Making,Civil Society,NGO,Sri Lanka,1.0,72010,500000.0
2009/2010,0,1015331,0.0,1.0,The Halo Trust,1,3,0.0,M013175001,0,Not PBA,LK,Asia,B5100,500000.0,0,LK,Material relief assistance and services,0,5303,Uncoded: Pre-APP,0,0,0,0,0,0,0,0,0,Foreign Non-Profit Making,Civil Society,NGO,Sri Lanka,1.0,72010,500000.0
2009/2010,0,1002035,0.0,1.0,International Crisis Group,1,2,0.0,M013176001,0,Not PBA,X1,Africa,B5100,600000.0,0,X1,Relief co-ordination; protection and support services,0,5230,Uncoded: Pre-APP,0,0,0,1,0,0,0,0,1,Foreign Non-Profit Making,Civil Society,NGO,Africa MC,0.5,72050,150000.0
2009/2010,0,1002035,0.0,1.0,International Crisis Group,1,1,0.0,M013176001,0,Not PBA,X2,America,B5100,600000.0,0,X2,Relief co-ordination; protection and support services,0,5230,Uncoded: Pre-APP,0,0,0,1,0,0,0,0,1,Foreign Non-Profit Making,Civil Society,NGO,Americas MC,0.1,72050,30000.0
2009/2010,0,1002035,0.0,1.0,International Crisis Group,1,3,0.0,M013176001,0,Not PBA,X3,Asia,B5100,600000.0,0,X3,Relief co-ordination; protection and support services,0,5230,Uncoded: Pre-APP,0,0,0,1,0,0,0,0,1,Foreign Non-Profit Making,Civil Society,NGO,Asia MC,0.3,72050,90000.0
2009/2010,0,1002035,0.0,1.0,International Crisis Group,1,5,0.0,M013176001,0,Not PBA,X4,Europe,B5100,600000.0,0,X4,Relief co-ordination; protection and support services,0,5230,Uncoded: Pre-APP,0,0,0,1,0,0,0,0,1,Foreign Non-Profit Making,Civil Society,NGO,Europe MC,0.1,72050,30000.0
2009/2010,0,1001721,0.0,1.0,WFP - World Food Programme,0,3,0.0,M013177001,0,Not PBA,YE,Asia,B5100,1800000.0,0,YE,Emergency food aid,0,5309,Uncoded: Pre-APP,0,0,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Yemen,1.0,72040,500000.0
2009/2010,0,1001721,0.0,1.0,WFP - World Food Programme,0,1,0.0,M013178001,0,Not PBA,CO,America,B5100,3000000.0,0,CO,Emergency food aid,0,5309,Uncoded: Pre-APP,0,0,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Colombia,1.0,72040,1500000.0
2009/2010,0,1001721,0.0,1.0,WFP - World Food Programme,0,2,0.0,M013180001,0,Not PBA,TD,Africa,B5100,6500000.0,0,TD,Emergency food aid,0,5309,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Chad,1.0,72040,6500000.0
2009/2010,0,1001721,0.0,1.0,WFP - World Food Programme,0,2,0.0,M013181001,0,Not PBA,SD,Africa,B5100,22450000.0,0,SD,Emergency food aid,0,5309,Uncoded: Pre-APP,0,0,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Sudan,1.0,72040,3950000.0
2009/2010,0,1001730,0.0,1.0,UNHCR - United Nations High Commissioner for Refugees,0,2,0.0,M013182001,0,Not PBA,X1,Africa,B5100,14000000.0,0,X1,Material relief assistance and services,0,5311,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Africa MC,0.45,72010,6300000.0
2009/2010,0,1001730,0.0,1.0,UNHCR - United Nations High Commissioner for Refugees,0,1,0.0,M013182001,0,Not PBA,X2,America,B5100,14000000.0,0,X2,Material relief assistance and services,0,5311,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Americas MC,0.05,72010,700000.0
2009/2010,0,1001730,0.0,1.0,UNHCR - United Nations High Commissioner for Refugees,0,3,0.0,M013182001,0,Not PBA,X3,Asia,B5100,14000000.0,0,X3,Material relief assistance and services,0,5311,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Asia MC,0.45,72010,6300000.0
2009/2010,0,1001730,0.0,1.0,UNHCR - United Nations High Commissioner for Refugees,0,5,0.0,M013182001,0,Not PBA,X4,Europe,B5100,14000000.0,0,X4,Material relief assistance and services,0,5311,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Europe MC,0.05,72010,700000.0
2009/2010,0,1014663,0.0,1.0,ICRC Appeals via CRCS,0,3,0.0,M013183001,0,Not PBA,X3,Asia,B5100,500000.0,0,X3,Material relief assistance and services,0,5303,Uncoded: Pre-APP,0,0,0,0,0,0,0,0,0,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Asia MC,1.0,72010,500000.0
2009/2010,0,1003586,0.0,1.0,OCHA - Office for the Coordination of Humanitarian Affairs,0,2,0.0,M013184001,0,Not PBA,X1,Africa,B5100,2700000.0,0,X1,Relief co-ordination; protection and support services,0,5303,Uncoded: Pre-APP,0,0,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Africa MC,0.5,72050,1350000.0
2009/2010,0,1003586,0.0,1.0,OCHA - Office for the Coordination of Humanitarian Affairs,0,1,0.0,M013184001,0,Not PBA,X2,America,B5100,2700000.0,0,X2,Relief co-ordination; protection and support services,0,5303,Uncoded: Pre-APP,0,0,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Americas MC,0.15,72050,405000.0
2009/2010,0,1003586,0.0,1.0,OCHA - Office for the Coordination of Humanitarian Affairs,0,3,0.0,M013184001,0,Not PBA,X3,Asia,B5100,2700000.0,0,X3,Relief co-ordination; protection and support services,0,5303,Uncoded: Pre-APP,0,0,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Asia MC,0.3,72050,810000.0
2009/2010,0,1003586,0.0,1.0,OCHA - Office for the Coordination of Humanitarian Affairs,0,5,0.0,M013184001,0,Not PBA,X4,Europe,B5100,2700000.0,0,X4,Relief co-ordination; protection and support services,0,5303,Uncoded: Pre-APP,0,0,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Europe MC,0.05,72050,135000.0
2009/2010,0,1001306,0.0,0.2,World Bank,1,3,0.1,M013185001,0,Not PBA,AF,Asia,B5100,30000000.0,0,AF,Agricultural policy and administrative management,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Afghanistan,0.0065,31110,39000.0
2009/2010,0,1001306,0.0,0.2,World Bank,1,3,0.1,M013185001,0,Not PBA,AF,Asia,B5100,30000000.0,0,AF,Agricultural development,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Afghanistan,0.0065,31120,39000.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,3,0.1,M013185001,0,Not PBA,AF,Asia,B5100,30000000.0,0,AF,Agricultural inputs,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Afghanistan,0.0065,31150,19500.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,3,0.1,M013185001,0,Not PBA,AF,Asia,B5100,30000000.0,0,AF,Food crop production,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Afghanistan,0.0065,31161,19500.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,3,0.1,M013185001,0,Not PBA,AF,Asia,B5100,30000000.0,0,AF,Agricultural extension,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Afghanistan,0.0065,31166,19500.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,3,0.1,M013185001,0,Not PBA,AF,Asia,B5100,30000000.0,0,AF,Agricultural research,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Afghanistan,0.0065,31182,19500.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,3,0.1,M013185001,0,Not PBA,AF,Asia,B5100,30000000.0,0,AF,Agricultural services,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Afghanistan,0.0065,31191,19500.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,3,0.1,M013185001,0,Not PBA,AF,Asia,B5100,30000000.0,0,AF,Agricultural financial services,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Afghanistan,0.0065,31193,19500.0
2009/2010,0,1001306,0.0,0.2,World Bank,1,3,0.1,M013185001,0,Not PBA,BD,Asia,B5100,30000000.0,0,BD,Agricultural policy and administrative management,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Bangladesh,0.105,31110,630000.0
2009/2010,0,1001306,0.0,0.2,World Bank,1,3,0.1,M013185001,0,Not PBA,BD,Asia,B5100,30000000.0,0,BD,Agricultural development,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Bangladesh,0.105,31120,630000.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,3,0.1,M013185001,0,Not PBA,BD,Asia,B5100,30000000.0,0,BD,Agricultural inputs,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Bangladesh,0.105,31150,315000.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,3,0.1,M013185001,0,Not PBA,BD,Asia,B5100,30000000.0,0,BD,Food crop production,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Bangladesh,0.105,31161,315000.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,3,0.1,M013185001,0,Not PBA,BD,Asia,B5100,30000000.0,0,BD,Agricultural extension,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Bangladesh,0.105,31166,315000.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,3,0.1,M013185001,0,Not PBA,BD,Asia,B5100,30000000.0,0,BD,Agricultural research,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Bangladesh,0.105,31182,315000.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,3,0.1,M013185001,0,Not PBA,BD,Asia,B5100,30000000.0,0,BD,Agricultural services,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Bangladesh,0.105,31191,315000.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,3,0.1,M013185001,0,Not PBA,BD,Asia,B5100,30000000.0,0,BD,Agricultural financial services,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Bangladesh,0.105,31193,315000.0
2009/2010,0,1001306,0.0,0.2,World Bank,1,2,0.1,M013185001,0,Not PBA,BI,Africa,B5100,30000000.0,0,BI,Agricultural policy and administrative management,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Burundi,0.0081,31110,48600.0
2009/2010,0,1001306,0.0,0.2,World Bank,1,2,0.1,M013185001,0,Not PBA,BI,Africa,B5100,30000000.0,0,BI,Agricultural development,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Burundi,0.0081,31120,48600.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,BI,Africa,B5100,30000000.0,0,BI,Agricultural inputs,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Burundi,0.0081,31150,24300.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,BI,Africa,B5100,30000000.0,0,BI,Food crop production,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Burundi,0.0081,31161,24300.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,BI,Africa,B5100,30000000.0,0,BI,Agricultural extension,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Burundi,0.0081,31166,24300.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,BI,Africa,B5100,30000000.0,0,BI,Agricultural research,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Burundi,0.0081,31182,24300.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,BI,Africa,B5100,30000000.0,0,BI,Agricultural services,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Burundi,0.0081,31191,24300.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,BI,Africa,B5100,30000000.0,0,BI,Agricultural financial services,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Burundi,0.0081,31193,24300.0
2009/2010,0,1001306,0.0,0.2,World Bank,1,2,0.1,M013185001,0,Not PBA,BJ,Africa,B5100,30000000.0,0,BJ,Agricultural policy and administrative management,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Benin,0.0073,31110,43800.0
2009/2010,0,1001306,0.0,0.2,World Bank,1,2,0.1,M013185001,0,Not PBA,BJ,Africa,B5100,30000000.0,0,BJ,Agricultural development,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Benin,0.0073,31120,43800.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,BJ,Africa,B5100,30000000.0,0,BJ,Agricultural inputs,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Benin,0.0073,31150,21900.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,BJ,Africa,B5100,30000000.0,0,BJ,Food crop production,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Benin,0.0073,31161,21900.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,BJ,Africa,B5100,30000000.0,0,BJ,Agricultural extension,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Benin,0.0073,31166,21900.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,BJ,Africa,B5100,30000000.0,0,BJ,Agricultural research,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Benin,0.0073,31182,21900.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,BJ,Africa,B5100,30000000.0,0,BJ,Agricultural services,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Benin,0.0073,31191,21900.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,BJ,Africa,B5100,30000000.0,0,BJ,Agricultural financial services,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Benin,0.0073,31193,21900.0
2009/2010,0,1001306,0.0,0.2,World Bank,1,2,0.1,M013185001,0,Not PBA,CF,Africa,B5100,30000000.0,0,CF,Agricultural policy and administrative management,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Central Afr.Rep,0.0057,31110,34200.0
2009/2010,0,1001306,0.0,0.2,World Bank,1,2,0.1,M013185001,0,Not PBA,CF,Africa,B5100,30000000.0,0,CF,Agricultural development,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Central Afr.Rep,0.0057,31120,34200.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,CF,Africa,B5100,30000000.0,0,CF,Agricultural inputs,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Central Afr.Rep,0.0057,31150,17100.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,CF,Africa,B5100,30000000.0,0,CF,Food crop production,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Central Afr.Rep,0.0057,31161,17100.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,CF,Africa,B5100,30000000.0,0,CF,Agricultural extension,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Central Afr.Rep,0.0057,31166,17100.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,CF,Africa,B5100,30000000.0,0,CF,Agricultural research,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Central Afr.Rep,0.0057,31182,17100.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,CF,Africa,B5100,30000000.0,0,CF,Agricultural services,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Central Afr.Rep,0.0057,31191,17100.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,CF,Africa,B5100,30000000.0,0,CF,Agricultural financial services,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Central Afr.Rep,0.0057,31193,17100.0
2009/2010,0,1001306,0.0,0.2,World Bank,1,2,0.1,M013185001,0,Not PBA,DJ,Africa,B5100,30000000.0,0,DJ,Agricultural policy and administrative management,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Djibouti,0.004,31110,24000.0
2009/2010,0,1001306,0.0,0.2,World Bank,1,2,0.1,M013185001,0,Not PBA,DJ,Africa,B5100,30000000.0,0,DJ,Agricultural development,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Djibouti,0.004,31120,24000.0
2009/2010,0,1001306,0.0,0.1,World Bank,1,2,0.1,M013185001,0,Not PBA,DJ,Africa,B5100,30000000.0,0,DJ,Agricultural inputs,1,5461,Uncoded: Pre-APP,0,1,0,0,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,IFI,Djibouti,0.004,31150,12000.0
