Fiscal year,Division name,CFLI (marker),Maximum CIDA contribution (project-level),Youth issues (marker),Section name,Fund centre ID,ICT as a tool for development (marker),Bilateral aid (international marker),Urban issues (marker),Status,Amount spent,Knowledge for development (marker),Disability issues (marker),FSTC percent,Section ID,Branch name,Sector ID,Branch ID,Programming process (new),Biodiversity (marker),Desertification (marker),Continent name,Continent ID,CountryRegion percent,Sector percent,Organisation sub-class,Regional program (marker),Untied amount(Project-level budget),Enviromental sustainability (marker),Project number,Project Browser country ID,Fund centre name,Organisation type,Organisation ID,Division ID,IRTC percent,CIDA business delivery model (old),PBA type,Climate change adaptation (marker),Climate change mitigation (marker),Participatory development and good governance,Trade development (marker)
2009/2010,NDD Americas Programming,0,3441416.83,0,Caricom - Adm,4439,1,1,0,Closed,13163.27,0,0,1.0,S4429,NGM Americas,24040,B4400,Uncoded: Pre-APP,0,0,America,1,1.0,1.0,CONSULTING SERVICES,0,3441416.83,0,A019362001,JM,Caribbean Regional - Jamaica,Canadian Profit Making,1000378,D4400,0.0,Responsive,Not PBA,0,0,0,0
2009/2010,NDD Americas Programming,0,3441416.83,0,Caricom - Adm,4439,1,1,0,Closed,7256.25,0,0,1.0,S4429,NGM Americas,24040,B4400,Uncoded: Pre-APP,0,0,America,1,1.0,1.0,CONSULTING SERVICES,0,3441416.83,0,A019362001,JM,Caribbean Regional - Jamaica,Canadian Profit Making,1001165,D4400,0.0,Responsive,Not PBA,0,0,0,0
2009/2010,EDD Europe-Middle East Programming,0,16700508.62,0,Middle East and North Africa,4263,1,1,0,Closed,73931.99,0,0,1.0,S4256,"EGM Europe, Middle East and Maghreb",15150,B3100,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.2,CONSULTING SERVICES,0,0.0,1,A019608001,EG,Egypt,Canadian Profit Making,1000335,D3100,0.0,Directive,Not PBA,0,0,1,0
2009/2010,EDD Europe-Middle East Programming,0,16700508.62,0,Middle East and North Africa,4263,1,1,0,Closed,18482.9975,0,0,1.0,S4256,"EGM Europe, Middle East and Maghreb",24030,B3100,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.05,CONSULTING SERVICES,0,0.0,1,A019608001,EG,Egypt,Canadian Profit Making,1000335,D3100,0.0,Directive,Not PBA,0,0,1,0
2009/2010,EDD Europe-Middle East Programming,0,16700508.62,0,Middle East and North Africa,4263,1,1,0,Closed,18482.9975,0,0,1.0,S4256,"EGM Europe, Middle East and Maghreb",25010,B3100,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.05,CONSULTING SERVICES,0,0.0,1,A019608001,EG,Egypt,Canadian Profit Making,1000335,D3100,0.0,Directive,Not PBA,0,0,1,0
2009/2010,EDD Europe-Middle East Programming,0,16700508.62,0,Middle East and North Africa,4263,1,1,0,Closed,18482.9975,0,0,1.0,S4256,"EGM Europe, Middle East and Maghreb",32110,B3100,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.05,CONSULTING SERVICES,0,0.0,1,A019608001,EG,Egypt,Canadian Profit Making,1000335,D3100,0.0,Directive,Not PBA,0,0,1,0
2009/2010,EDD Europe-Middle East Programming,0,16700508.62,0,Middle East and North Africa,4263,1,1,0,Closed,92414.9875,0,0,1.0,S4256,"EGM Europe, Middle East and Maghreb",32130,B3100,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.25,CONSULTING SERVICES,0,0.0,1,A019608001,EG,Egypt,Canadian Profit Making,1000335,D3100,0.0,Directive,Not PBA,0,0,1,0
2009/2010,EDD Europe-Middle East Programming,0,16700508.62,0,Middle East and North Africa,4263,1,1,0,Closed,55448.9925,0,0,1.0,S4256,"EGM Europe, Middle East and Maghreb",32182,B3100,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.15,CONSULTING SERVICES,0,0.0,1,A019608001,EG,Egypt,Canadian Profit Making,1000335,D3100,0.0,Directive,Not PBA,0,0,1,0
2009/2010,EDD Europe-Middle East Programming,0,16700508.62,0,Middle East and North Africa,4263,1,1,0,Closed,18482.9975,0,0,1.0,S4256,"EGM Europe, Middle East and Maghreb",41010,B3100,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.05,CONSULTING SERVICES,0,0.0,1,A019608001,EG,Egypt,Canadian Profit Making,1000335,D3100,0.0,Directive,Not PBA,0,0,1,0
2009/2010,EDD Europe-Middle East Programming,0,16700508.62,0,Middle East and North Africa,4263,1,1,0,Closed,73931.99,0,0,1.0,S4256,"EGM Europe, Middle East and Maghreb",41020,B3100,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.2,CONSULTING SERVICES,0,0.0,1,A019608001,EG,Egypt,Canadian Profit Making,1000335,D3100,0.0,Directive,Not PBA,0,0,1,0
2009/2010,EDD Europe-Middle East Programming,0,328400.96,0,Middle East and North Africa,4259,0,1,0,Closed,114.33,0,0,0.998334353,S4256,"EGM Europe, Middle East and Maghreb",43010,B3100,Uncoded: Pre-APP,0,0,Africa,2,1.0,1.0,FEDERAL,0,0.0,0,A020161001,DZ,*Algeria,Canadian Non-Profit Making,10050,D3100,0.0,Directive,Not PBA,0,0,0,0
2009/2010,NDD Americas Programming,0,4610501.0,0,Ha�ti & Dominican Republic Section,4452,0,1,0,Closed,103009.4,0,0,1.0,S4449,NGM Americas,15150,B4400,Uncoded: Pre-APP,0,0,America,1,1.0,0.2,FEDERAL,0,4000000.0,0,A020195001,HT,Haiti,Canadian Non-Profit Making,10050,D4400,0.0,Directive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,4610501.0,0,Ha�ti & Dominican Republic Section,4452,0,1,0,Closed,412037.6,0,0,1.0,S4449,NGM Americas,15160,B4400,Uncoded: Pre-APP,0,0,America,1,1.0,0.8,FEDERAL,0,4000000.0,0,A020195001,HT,Haiti,Canadian Non-Profit Making,10050,D4400,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WED Southern & Eastern Africa,0,4229943.14,0,"Ethiopia, PanAfrica, SubRegional",4229,0,1,0,Closed,799.502,0,0,1.0,S4227,WGM Sub-Saharan Africa,15110,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.2,SPECIALIZED INSTITUTE,0,0.0,0,A020222001,ET,Ethiopia,Canadian Non-Profit Making,1000852,D4270,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WED Southern & Eastern Africa,0,4229943.14,0,"Ethiopia, PanAfrica, SubRegional",4229,0,1,0,Closed,799.502,0,0,1.0,S4227,WGM Sub-Saharan Africa,15111,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.2,SPECIALIZED INSTITUTE,0,0.0,0,A020222001,ET,Ethiopia,Canadian Non-Profit Making,1000852,D4270,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WED Southern & Eastern Africa,0,4229943.14,0,"Ethiopia, PanAfrica, SubRegional",4229,0,1,0,Closed,799.502,0,0,1.0,S4227,WGM Sub-Saharan Africa,15130,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.2,SPECIALIZED INSTITUTE,0,0.0,0,A020222001,ET,Ethiopia,Canadian Non-Profit Making,1000852,D4270,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WED Southern & Eastern Africa,0,4229943.14,0,"Ethiopia, PanAfrica, SubRegional",4229,0,1,0,Closed,799.502,0,0,1.0,S4227,WGM Sub-Saharan Africa,15150,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.2,SPECIALIZED INSTITUTE,0,0.0,0,A020222001,ET,Ethiopia,Canadian Non-Profit Making,1000852,D4270,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WED Southern & Eastern Africa,0,4229943.14,0,"Ethiopia, PanAfrica, SubRegional",4229,0,1,0,Closed,799.502,0,0,1.0,S4227,WGM Sub-Saharan Africa,15160,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.2,SPECIALIZED INSTITUTE,0,0.0,0,A020222001,ET,Ethiopia,Canadian Non-Profit Making,1000852,D4270,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WWD West & Central Africa,0,4518387.69,0,Senegal Program,4238,0,1,0,Terminating,2307.3284,0,0,1.0,S4233,WGM Sub-Saharan Africa,15110,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.34,CONSULTING SERVICES,0,4518387.69,0,A020246001,SN,Senegal,Canadian Profit Making,1014497,D4207,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,4518387.69,0,Senegal Program,4238,0,1,0,Terminating,2157.8406,0,0,1.0,S4233,WGM Sub-Saharan Africa,15110,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.34,CONSULTANT,0,4518387.69,0,A020246001,SN,Senegal,Canadian Profit Making,Information not available,D4207,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,4518387.69,0,Senegal Program,4238,0,1,0,Terminating,4478.9316,0,0,1.0,S4233,WGM Sub-Saharan Africa,24040,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.66,CONSULTING SERVICES,0,4518387.69,0,A020246001,SN,Senegal,Canadian Profit Making,1014497,D4207,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,4518387.69,0,Senegal Program,4238,0,1,0,Terminating,4188.7494,0,0,1.0,S4233,WGM Sub-Saharan Africa,24040,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.66,CONSULTANT,0,4518387.69,0,A020246001,SN,Senegal,Canadian Profit Making,Information not available,D4207,0.0,Directive,Not PBA,0,0,0,0
2009/2010,NDD Americas Programming,0,7850039.11,0,Caricom - Adm,4438,0,1,0,Closed,539373.76,0,0,1.0,S4429,NGM Americas,11130,B4400,Uncoded: Pre-APP,0,0,America,1,1.0,1.0,CONSULTING SERVICES,0,7850039.11,0,A020252001,GY,Caribbean Regional - Guyana,Canadian Profit Making,1000975,D4400,0.0,Directive,Not PBA,0,0,0,0
2009/2010,OAD Asia Programming,0,13000520.92,0,Philippines and Mongolia,4128,1,1,0,Closed,12432.9,0,0,1.0,S4130,OGM Asia Pacific,15110,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,0.5,FEDERAL,0,0.0,1,A020272001,PH,Philippines,Canadian Non-Profit Making,10050,D4100,0.0,Directive,Not PBA,0,0,1,0
2009/2010,OAD Asia Programming,0,13000520.92,0,Philippines and Mongolia,4128,1,1,0,Closed,9946.32,0,0,1.0,S4130,OGM Asia Pacific,15111,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,0.4,FEDERAL,0,0.0,1,A020272001,PH,Philippines,Canadian Non-Profit Making,10050,D4100,0.0,Directive,Not PBA,0,0,1,0
2009/2010,OAD Asia Programming,0,13000520.92,0,Philippines and Mongolia,4128,1,1,0,Closed,2486.58,0,0,1.0,S4130,OGM Asia Pacific,15150,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,0.1,FEDERAL,0,0.0,1,A020272001,PH,Philippines,Canadian Non-Profit Making,10050,D4100,0.0,Directive,Not PBA,0,0,1,0
2009/2010,OAD Asia Programming,0,2645994.04,0,"OAA Afghanistan, Pakistan and Sri Lanka",4124,0,1,0,Terminating,106986.01,0,0,1.0,S4141,OGM Asia Pacific,15110,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,1.0,FEDERAL,0,0.0,0,A020279001,PK,Pakistan,Canadian Non-Profit Making,10050,D4100,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WED Southern & Eastern Africa,0,7747230.74,0,Mozambique Program,4280,0,1,0,Closed,73711.97,0,0,1.0,S4271,WGM Sub-Saharan Africa,15110,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,1.0,CONSULTING SERVICES,0,0.0,0,A020392001,MW,Malawi,Canadian Profit Making,1000601,D4270,0.0,Directive,Not PBA,0,0,1,0
2009/2010,OAD Asia Programming,0,4947637.32,0,Bangladesh Section,4122,0,1,0,Closed,500000.0,0,0,0.5,S4122,OGM Asia Pacific,43010,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,1.0,FEDERAL,0,0.0,0,A020395001,BD,Bangladesh,Canadian Non-Profit Making,10050,D4100,0.0,Directive,Not PBA,0,0,1,0
2009/2010,OAD Asia Programming,0,4947637.32,0,Bangladesh Section,4122,0,1,0,Closed,2362.0,0,0,0.5,S4122,OGM Asia Pacific,43010,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,1.0,Unknown,0,0.0,0,A020395001,BD,Bangladesh,Uncoded,Information not available,D4100,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WED Southern & Eastern Africa,0,9096651.0,0,Mozambique Program,4274,0,1,0,Closed,667.81,0,0,1.0,S4271,WGM Sub-Saharan Africa,14031,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.5,CONSULTANT,0,0.0,0,A020398001,MZ,Mozambique,Canadian Profit Making,Information not available,D4270,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WED Southern & Eastern Africa,0,9096651.0,0,Mozambique Program,4274,0,1,0,Closed,667.81,0,0,1.0,S4271,WGM Sub-Saharan Africa,14032,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.5,CONSULTANT,0,0.0,0,A020398001,MZ,Mozambique,Canadian Profit Making,Information not available,D4270,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,2457111.5,0,Central Africa & Great Lakes Program,4289,0,1,0,Closed,582248.05,0,0,1.0,S4287,WGM Sub-Saharan Africa,43010,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,1.0,FEDERAL,0,2457111.5,1,A020449003,CM,Cameroon,Canadian Non-Profit Making,10050,D4207,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WWD West & Central Africa,0,2457111.5,0,Central Africa & Great Lakes Program,4289,0,1,0,Closed,863.16,0,0,1.0,S4287,WGM Sub-Saharan Africa,43010,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,1.0,SUPPLIER OF GOODS/SERVICES,0,2457111.5,1,A020449003,CM,Cameroon,Canadian Profit Making,1000948,D4207,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WWD West & Central Africa,0,2457111.5,0,Central Africa & Great Lakes Program,4289,0,1,0,Closed,140613.87,0,0,1.0,S4287,WGM Sub-Saharan Africa,43010,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,1.0,COOPERANT,0,2457111.5,1,A020449003,CM,Cameroon,Canadian Profit Making,Information not available,D4207,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WWD West & Central Africa,0,2457111.5,0,Central Africa & Great Lakes Program,4289,0,1,0,Closed,2361.97,0,0,1.0,S4287,WGM Sub-Saharan Africa,43010,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,1.0,Unknown,0,2457111.5,1,A020449003,CM,Cameroon,Uncoded,Information not available,D4207,0.0,Directive,Not PBA,0,0,1,0
2009/2010,WWD West & Central Africa,0,11427061.07,0,Senegal Program,4242,0,1,0,Closed,442790.91,0,0,1.0,S4233,WGM Sub-Saharan Africa,15150,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.5,ASSOCIATIONS,0,11427061.07,0,A020715001,GN,*Guinea,Canadian Non-Profit Making,1000171,D4207,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,11427061.07,0,Senegal Program,4242,0,1,0,Closed,4131.87,0,0,1.0,S4233,WGM Sub-Saharan Africa,15150,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.5,CONSULTING SERVICES,0,11427061.07,0,A020715001,GN,*Guinea,Canadian Profit Making,1001142,D4207,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,11427061.07,0,Senegal Program,4242,0,1,0,Closed,132837.27300000002,0,0,1.0,S4233,WGM Sub-Saharan Africa,31161,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.15,ASSOCIATIONS,0,11427061.07,0,A020715001,GN,*Guinea,Canadian Non-Profit Making,1000171,D4207,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,11427061.07,0,Senegal Program,4242,0,1,0,Closed,1239.5610000000001,0,0,1.0,S4233,WGM Sub-Saharan Africa,31161,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.15,CONSULTING SERVICES,0,11427061.07,0,A020715001,GN,*Guinea,Canadian Profit Making,1001142,D4207,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,11427061.07,0,Senegal Program,4242,0,1,0,Closed,88558.18199999999,0,0,1.0,S4233,WGM Sub-Saharan Africa,31166,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.1,ASSOCIATIONS,0,11427061.07,0,A020715001,GN,*Guinea,Canadian Non-Profit Making,1000171,D4207,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,11427061.07,0,Senegal Program,4242,0,1,0,Closed,826.3739999999999,0,0,1.0,S4233,WGM Sub-Saharan Africa,31166,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.1,CONSULTING SERVICES,0,11427061.07,0,A020715001,GN,*Guinea,Canadian Profit Making,1001142,D4207,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,11427061.07,0,Senegal Program,4242,0,1,0,Closed,132837.27300000002,0,0,1.0,S4233,WGM Sub-Saharan Africa,31181,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.15,ASSOCIATIONS,0,11427061.07,0,A020715001,GN,*Guinea,Canadian Non-Profit Making,1000171,D4207,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,11427061.07,0,Senegal Program,4242,0,1,0,Closed,1239.5610000000001,0,0,1.0,S4233,WGM Sub-Saharan Africa,31181,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.15,CONSULTING SERVICES,0,11427061.07,0,A020715001,GN,*Guinea,Canadian Profit Making,1001142,D4207,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,11427061.07,0,Senegal Program,4242,0,1,0,Closed,88558.18199999999,0,0,1.0,S4233,WGM Sub-Saharan Africa,31191,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.1,ASSOCIATIONS,0,11427061.07,0,A020715001,GN,*Guinea,Canadian Non-Profit Making,1000171,D4207,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,11427061.07,0,Senegal Program,4242,0,1,0,Closed,826.3739999999999,0,0,1.0,S4233,WGM Sub-Saharan Africa,31191,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,0.1,CONSULTING SERVICES,0,11427061.07,0,A020715001,GN,*Guinea,Canadian Profit Making,1001142,D4207,0.0,Directive,Not PBA,0,0,0,0
2009/2010,OAD Asia Programming,0,4308867.95,0,"OAA Afghanistan, Pakistan and Sri Lanka",4118,0,1,0,Closed,92293.62400000001,0,0,1.0,S4141,OGM Asia Pacific,15150,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,0.8,NGO,0,0.0,0,A020790001,LK,Sri Lanka,Canadian Non-Profit Making,1000136,D4100,0.0,Directive,Not PBA,0,0,0,0
2009/2010,OAD Asia Programming,0,4308867.95,0,"OAA Afghanistan, Pakistan and Sri Lanka",4118,0,1,0,Closed,23073.406000000003,0,0,1.0,S4141,OGM Asia Pacific,15160,B4100,Uncoded: Pre-APP,0,0,Asia,3,1.0,0.2,NGO,0,0.0,0,A020790001,LK,Sri Lanka,Canadian Non-Profit Making,1000136,D4100,0.0,Directive,Not PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,3063216.68,0,Mali Program Section,4216,0,1,0,Closed,57631.03,0,0,0.0,S4215,WGM Sub-Saharan Africa,11110,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,1.0,FEDERAL,0,0.0,0,A020891001,ML,Mali,Canadian Non-Profit Making,10050,D4207,0.0,Directive,Other PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,3063216.68,0,Mali Program Section,4216,0,1,0,Closed,23.9,0,0,0.0,S4215,WGM Sub-Saharan Africa,11110,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,1.0,Unknown,0,0.0,0,A020891001,ML,Mali,Uncoded,Information not available,D4207,0.0,Directive,Other PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,16726210.87,0,Mali Program Section,4216,0,1,0,Closed,10023.66,0,0,1.0,S4215,WGM Sub-Saharan Africa,11130,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,1.0,FEDERAL,0,16726210.87,0,A020892001,ML,Mali,Canadian Non-Profit Making,10050,D4207,0.0,Directive,Other PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,16726210.87,0,Mali Program Section,4216,0,1,0,Closed,50605.0,0,0,1.0,S4215,WGM Sub-Saharan Africa,11130,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,1.0,CONSULTING SERVICES,0,16726210.87,0,A020892001,ML,Mali,Canadian Profit Making,1001126,D4207,0.0,Directive,Other PBA,0,0,0,0
2009/2010,WWD West & Central Africa,0,16726210.87,0,Mali Program Section,4216,0,1,0,Closed,2019764.66,0,0,1.0,S4215,WGM Sub-Saharan Africa,11130,B4200,Uncoded: Pre-APP,0,0,Africa,2,1.0,1.0,CONSULTING SERVICES,0,16726210.87,0,A020892001,ML,Mali,Canadian Profit Making,1014203,D4207,0.0,Directive,Other PBA,0,0,0,0
2009/2010,NDD Americas Programming,0,1488850.78,0,South America,4422,0,1,0,Closed,64.46300000000001,0,0,1.0,S4413,NGM Americas,11220,B4400,Uncoded: Pre-APP,0,0,America,1,0.1,0.1,FEDERAL,1,0.0,1,A020910001,UY,*Southern Cone,Canadian Non-Profit Making,10050,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,1488850.78,0,South America,4422,0,1,0,Closed,24.000999999999998,0,0,1.0,S4413,NGM Americas,11220,B4400,Uncoded: Pre-APP,0,0,America,1,0.1,0.1,Unknown,1,0.0,1,A020910001,UY,*Southern Cone,Uncoded,Information not available,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,1488850.78,0,South America,4422,0,1,0,Closed,51.5704,0,0,1.0,S4413,NGM Americas,12220,B4400,Uncoded: Pre-APP,0,0,America,1,0.1,0.08,FEDERAL,1,0.0,1,A020910001,UY,*Southern Cone,Canadian Non-Profit Making,10050,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,1488850.78,0,South America,4422,0,1,0,Closed,19.2008,0,0,1.0,S4413,NGM Americas,12220,B4400,Uncoded: Pre-APP,0,0,America,1,0.1,0.08,Unknown,1,0.0,1,A020910001,UY,*Southern Cone,Uncoded,Information not available,D4400,0.0,Responsive,Not PBA,0,0,1,0
2009/2010,NDD Americas Programming,0,1488850.78,0,South America,4422,0,1,0,Closed,12.8926,0,0,1.0,S4413,NGM Americas,13030,B4400,Uncoded: Pre-APP,0,0,America,1,0.1,0.02,FEDERAL,1,0.0,1,A020910001,UY,*Southern Cone,Canadian Non-Profit Making,10050,D4400,0.0,Responsive,Not PBA,0,0,1,0
