assays_ss_d,assays_vrnt_d,assays_src_d,assays_ss_sbclllr_frctn,assays_ss_rgnsm,assays_cll_d,assays_ss_cll_tp,assays_td,assays_rltnshp_tp,assays_cnfdnc_scr,assays_crtd_b,assays_src_ss_d,assays_chmbl_d,assays_b_frmt,assays_tss_d
80,,1,,,,,11231,H,8,Expert,,CHEMBL615201,BAO_0000357,
81,,1,,,,,11231,H,8,Expert,,CHEMBL615202,BAO_0000357,
82,,1,Microsomes,Candida albicans,,,11231,H,8,Autocuration,,CHEMBL615203,BAO_0000251,
83,,1,Microsomes,Candida albicans,,,11231,H,8,Autocuration,,CHEMBL615204,BAO_0000251,
84,,1,Microsomes,Saccharomyces cerevisiae,,,11231,H,8,Autocuration,,CHEMBL615205,BAO_0000251,
85,,1,Microsomes,Saccharomyces cerevisiae,,,11231,H,8,Autocuration,,CHEMBL615206,BAO_0000251,
86,,1,Microsomes,Sus scrofa,,,12083,H,8,Autocuration,,CHEMBL615207,BAO_0000251,2107.0
87,,1,,Rattus norvegicus,,,11231,H,8,Autocuration,,CHEMBL827084,BAO_0000019,
88,,1,,Rattus norvegicus,,,11231,H,8,Autocuration,,CHEMBL615208,BAO_0000019,
89,,1,,Rattus norvegicus,,,11231,H,8,Autocuration,,CHEMBL615209,BAO_0000019,
90,,1,Microsomes,Rattus norvegicus,,,12083,D,9,Autocuration,,CHEMBL615210,BAO_0000251,2107.0
91,,1,Microsomes,Rattus norvegicus,,,12083,D,9,Autocuration,,CHEMBL615211,BAO_0000251,2107.0
92,,1,Microsomes,Rattus norvegicus,,,12083,D,9,Autocuration,,CHEMBL615212,BAO_0000251,2107.0
93,,1,,,,,11377,H,8,Expert,,CHEMBL615213,BAO_0000357,
94,,1,,,,,11377,H,8,Expert,,CHEMBL615273,BAO_0000357,
95,,1,,Homo sapiens,726.0,HepG2,81020,N,1,Expert,,CHEMBL615274,BAO_0000219,
96,,1,,Homo sapiens,726.0,HepG2,81020,N,1,Intermediate,,CHEMBL615275,BAO_0000219,
97,,1,,Homo sapiens,726.0,HepG2,81020,N,1,Intermediate,,CHEMBL615276,BAO_0000219,
98,,1,,Homo sapiens,726.0,HepG2,81020,N,1,Intermediate,,CHEMBL615277,BAO_0000219,
99,,1,,Homo sapiens,726.0,HepG2,81020,N,1,Intermediate,,CHEMBL615326,BAO_0000219,
100,,1,,Hepatitis B virus,,,50606,N,1,Expert,,CHEMBL883130,BAO_0000218,
101,,1,,Homo sapiens,726.0,HepG2,81020,N,1,Intermediate,,CHEMBL884519,BAO_0000219,
102,,1,,Homo sapiens,726.0,HepG2,81020,N,1,Intermediate,,CHEMBL615327,BAO_0000219,
103,,1,,Homo sapiens,726.0,HepG2,81020,N,1,Intermediate,,CHEMBL615328,BAO_0000219,
104,,1,,Homo sapiens,,2.2.15,50587,N,1,Intermediate,,CHEMBL615329,BAO_0000218,
105,,1,,Homo sapiens,,2.2.15,50587,N,1,Intermediate,,CHEMBL615330,BAO_0000218,
106,,1,,Hepatitis B virus,,2.2.15,50606,N,1,Expert,,CHEMBL615331,BAO_0000218,
107,,1,,Homo sapiens,,2.2.15,50587,N,1,Intermediate,,CHEMBL615332,BAO_0000218,
108,,1,,Homo sapiens,,2.2.15,50587,N,1,Intermediate,,CHEMBL615333,BAO_0000218,
109,,1,,Homo sapiens,,2.2.15,50587,N,1,Intermediate,,CHEMBL615334,BAO_0000218,
110,,1,,Homo sapiens,,2.2.15,50587,N,1,Intermediate,,CHEMBL615335,BAO_0000218,
111,,1,,Homo sapiens,,2.2.15,50587,N,1,Intermediate,,CHEMBL615336,BAO_0000218,
112,,1,,Homo sapiens,,2.2.15,50587,N,1,Intermediate,,CHEMBL615337,BAO_0000218,
113,,1,,Homo sapiens,,2.2.15,50587,N,1,Intermediate,,CHEMBL615338,BAO_0000218,
114,,1,,Homo sapiens,,2.2.15,50587,N,1,Intermediate,,CHEMBL615339,BAO_0000218,
115,,1,,Homo sapiens,,2.2.15,50587,N,1,Intermediate,,CHEMBL615340,BAO_0000218,
116,,1,,Homo sapiens,726.0,HepG2,81020,N,1,Intermediate,,CHEMBL615341,BAO_0000219,
117,,1,Microsomes,Homo sapiens,,,22226,U,0,Autocuration,,CHEMBL615342,BAO_0000251,
118,,1,,,,,22226,U,0,Autocuration,,CHEMBL615343,BAO_0000019,
119,,1,,Homo sapiens,388.0,2008,80612,N,1,Intermediate,,CHEMBL615344,BAO_0000219,
120,,1,,Homo sapiens,388.0,2008,80612,N,1,Intermediate,,CHEMBL615345,BAO_0000219,
121,,1,,Homo sapiens,388.0,2008,80612,N,1,Intermediate,,CHEMBL615346,BAO_0000219,
122,,1,,Homo sapiens,388.0,2008,80612,N,1,Intermediate,,CHEMBL615347,BAO_0000219,
123,,1,,Homo sapiens,388.0,2008,80612,N,1,Intermediate,,CHEMBL615348,BAO_0000219,
124,,1,,Homo sapiens,561.0,2008/R,80613,N,1,Intermediate,,CHEMBL827085,BAO_0000219,
125,,1,,Homo sapiens,561.0,2008/R,80613,N,1,Intermediate,,CHEMBL615349,BAO_0000219,
126,,1,,Homo sapiens,389.0,2008/S,80614,N,1,Intermediate,,CHEMBL615350,BAO_0000219,
127,,1,,Homo sapiens,389.0,2008/S,80614,N,1,Intermediate,,CHEMBL615351,BAO_0000219,
128,,1,,Homo sapiens,,,100256,S,2,Expert,,CHEMBL615352,BAO_0000220,
129,,1,,Homo sapiens,,,100256,S,2,Intermediate,,CHEMBL615353,BAO_0000220,
130,,1,,,,,100256,S,2,Expert,,CHEMBL615354,BAO_0000220,
131,,1,,,,,100256,S,2,Expert,,CHEMBL615355,BAO_0000220,
132,,1,,,,,100256,S,2,Intermediate,,CHEMBL615356,BAO_0000220,
133,,1,,Homo sapiens,,,22226,U,0,Autocuration,,CHEMBL615357,BAO_0000019,
134,,1,,Homo sapiens,726.0,HepG2,81020,N,1,Intermediate,,CHEMBL615358,BAO_0000219,
135,,1,,Homo sapiens,726.0,HepG2,81020,N,1,Intermediate,,CHEMBL827086,BAO_0000219,
136,,1,,,,,22226,U,0,Autocuration,,CHEMBL615359,BAO_0000019,
137,,1,,,,,235,H,8,Autocuration,,CHEMBL615360,BAO_0000357,
138,,1,,Rattus norvegicus,,,22226,U,0,Autocuration,,CHEMBL615361,BAO_0000218,948.0
139,,1,,,,,19640,H,8,Autocuration,,CHEMBL615362,BAO_0000019,
140,,1,,,,,19640,H,8,Expert,,CHEMBL615363,BAO_0000019,
141,,1,,,,,19640,H,8,Autocuration,,CHEMBL615364,BAO_0000357,
142,,1,,,,,19640,H,8,Expert,,CHEMBL615365,BAO_0000019,
143,,1,,Mus musculus,524.0,P338,80360,N,1,Intermediate,,CHEMBL615366,BAO_0000219,
144,,1,,Mus musculus,524.0,P338,80360,N,1,Intermediate,,CHEMBL615367,BAO_0000219,
145,,1,,Homo sapiens,554.0,PBL,80384,N,1,Intermediate,,CHEMBL615368,BAO_0000219,
146,,1,,Ovis aries,,,22226,U,0,Autocuration,,CHEMBL615369,BAO_0000019,
147,,1,,Ovis aries,,,22226,U,0,Autocuration,,CHEMBL615370,BAO_0000019,
148,,1,,,,,191,H,8,Autocuration,,CHEMBL615673,BAO_0000357,
149,,1,,Homo sapiens,,,22226,U,0,Autocuration,,CHEMBL615674,BAO_0000019,
150,,1,,Homo sapiens,,,22226,U,0,Autocuration,,CHEMBL615675,BAO_0000019,
151,,1,,Homo sapiens,635.0,CCRF-CEM,22226,U,0,Autocuration,,CHEMBL615676,BAO_0000219,
152,,1,,Homo sapiens,635.0,CCRF-CEM,22226,U,0,Autocuration,,CHEMBL615677,BAO_0000219,
153,,1,,Homo sapiens,635.0,CCRF-CEM,22226,U,0,Autocuration,,CHEMBL615678,BAO_0000219,
154,,1,,Homo sapiens,635.0,CCRF-CEM,22226,U,0,Autocuration,,CHEMBL615679,BAO_0000219,
155,,1,,Homo sapiens,,,22226,U,0,Autocuration,,CHEMBL615680,BAO_0000019,
156,,1,,Homo sapiens,,,22226,U,0,Autocuration,,CHEMBL615681,BAO_0000019,
157,,1,,,,,104290,H,6,Autocuration,,CHEMBL857972,BAO_0000249,
158,,1,,Streptococcus pyogenes,,,50264,N,1,Intermediate,,CHEMBL857899,BAO_0000218,
159,,1,,Human herpesvirus 3,,,50527,N,1,Intermediate,,CHEMBL615371,BAO_0000218,
160,,1,,vericilla zoster virus,468.0,HEL,50527,N,1,Expert,,CHEMBL615372,BAO_0000218,
161,,1,,vericilla zoster virus,,,50527,N,1,Intermediate,,CHEMBL615373,BAO_0000218,
162,,1,,vericilla zoster virus,,,50527,N,1,Intermediate,,CHEMBL615374,BAO_0000218,
163,,1,,escherichia cloac,,,50145,N,1,Intermediate,,CHEMBL615375,BAO_0000218,
164,,1,,,,,22226,U,0,Autocuration,,CHEMBL615376,BAO_0000019,
165,,1,,Candida albicans,,,11143,H,8,Expert,,CHEMBL615377,BAO_0000249,
166,,1,,Candida glabrata CBS 138,,,18077,H,8,Expert,,CHEMBL615378,BAO_0000357,
167,,1,,Homo sapiens,832.0,1-87 tumor cell line,80609,N,1,Intermediate,,CHEMBL615379,BAO_0000219,
168,,1,,Rattus norvegicus,,,12166,D,9,Expert,,CHEMBL615380,BAO_0000219,
169,,1,,Glycine max,,,100171,D,9,Autocuration,,CHEMBL615381,BAO_0000357,
170,,1,,Glycine max,,,100171,D,9,Autocuration,,CHEMBL615382,BAO_0000357,
171,,1,,Glycine max,,,100171,D,9,Autocuration,,CHEMBL615383,BAO_0000357,
172,,1,,Glycine max,,,100171,D,9,Autocuration,,CHEMBL615384,BAO_0000357,
173,,1,,Glycine max,,,100171,D,9,Autocuration,,CHEMBL615385,BAO_0000357,
174,,1,,Glycine max,,,100171,D,9,Autocuration,,CHEMBL615386,BAO_0000357,
175,,1,,Glycine max,,,100171,D,9,Autocuration,,CHEMBL615387,BAO_0000357,
176,,1,,Glycine max,,,100171,D,9,Autocuration,,CHEMBL615388,BAO_0000357,
177,,1,,Glycine max,,,100171,D,9,Autocuration,,CHEMBL615214,BAO_0000357,
178,,1,,Glycine max,,,100171,D,9,Autocuration,,CHEMBL827087,BAO_0000357,
179,,1,,Glycine max,,,100171,D,9,Autocuration,,CHEMBL615215,BAO_0000357,
180,,1,,Glycine max,,,100171,D,9,Autocuration,,CHEMBL615216,BAO_0000357,
181,,1,,Glycine max,,,100171,D,9,Autocuration,,CHEMBL615217,BAO_0000357,
182,,1,,Glycine max,,,100171,D,9,Autocuration,,CHEMBL615218,BAO_0000357,
183,,1,,Glycine max,,,100171,D,9,Autocuration,,CHEMBL615219,BAO_0000357,
184,,1,,Mus musculus,,,22226,U,0,Autocuration,,CHEMBL615220,BAO_0000019,
185,,1,,Mus musculus,294.0,C3H 10T1/2,80049,N,1,Intermediate,,CHEMBL615221,BAO_0000219,
186,,1,,,,,22226,U,0,Intermediate,,CHEMBL615222,BAO_0000019,
187,,1,,,,,11489,H,8,Autocuration,,CHEMBL615223,BAO_0000357,
188,,1,,,,,11862,H,8,Autocuration,,CHEMBL615224,BAO_0000357,
189,,1,,,,,11862,H,8,Autocuration,,CHEMBL615225,BAO_0000357,
190,,1,,,,,11489,H,8,Autocuration,,CHEMBL615226,BAO_0000357,
191,,1,,,,,11862,H,8,Autocuration,,CHEMBL615227,BAO_0000357,
192,,1,,Bos taurus,,,12347,D,9,Expert,,CHEMBL615228,BAO_0000019,
193,,1,,Rattus norvegicus,,,100120,D,9,Expert,,CHEMBL615229,BAO_0000357,
194,,1,,Rattus norvegicus,,,100120,D,9,Expert,,CHEMBL615230,BAO_0000357,2369.0
195,,1,,Rattus norvegicus,,,100120,D,9,Expert,,CHEMBL615231,BAO_0000357,
196,,1,,Rattus norvegicus,,,100120,D,9,Expert,,CHEMBL884520,BAO_0000357,
197,,1,,Rattus norvegicus,,,100120,D,9,Expert,,CHEMBL615232,BAO_0000357,
198,,1,,,,,10328,H,8,Autocuration,,CHEMBL615233,BAO_0000019,
199,,1,,,,,11490,H,8,Autocuration,,CHEMBL827088,BAO_0000357,
200,,1,,,,,11490,H,8,Autocuration,,CHEMBL615234,BAO_0000357,
201,,1,,,,,11134,H,8,Autocuration,,CHEMBL615235,BAO_0000019,
202,,1,,,,,12052,H,8,Autocuration,,CHEMBL615236,BAO_0000019,
203,,1,,,,,11134,H,8,Autocuration,,CHEMBL615237,BAO_0000019,
204,,1,,,,,11134,H,8,Autocuration,,CHEMBL615238,BAO_0000019,
205,,1,,,,,11134,H,8,Autocuration,,CHEMBL615239,BAO_0000019,
206,,1,,Homo sapiens,,,11134,D,9,Autocuration,,CHEMBL615240,BAO_0000019,
207,,1,,,,,11835,H,8,Expert,,CHEMBL615241,BAO_0000019,
208,,1,,,,,11601,H,8,Expert,,CHEMBL615242,BAO_0000357,
209,,1,,,,,11134,H,8,Autocuration,,CHEMBL615243,BAO_0000019,
210,,1,,,,,11134,H,8,Autocuration,,CHEMBL615244,BAO_0000019,
211,,1,,,,,11134,H,8,Autocuration,,CHEMBL615245,BAO_0000019,
212,,1,,,,,11134,H,8,Autocuration,,CHEMBL615246,BAO_0000019,
213,,1,,,,,11134,H,8,Autocuration,,CHEMBL615247,BAO_0000019,
214,,1,,,,,11134,H,8,Autocuration,,CHEMBL615248,BAO_0000019,
215,,1,,,,,11601,H,8,Autocuration,,CHEMBL615249,BAO_0000357,
216,,1,,,,,11601,H,8,Autocuration,,CHEMBL615250,BAO_0000357,
217,,1,,,,,12052,H,8,Autocuration,,CHEMBL615251,BAO_0000019,
218,,1,,,,,12052,H,8,Autocuration,,CHEMBL615252,BAO_0000019,
219,,1,,,,,12052,H,8,Expert,,CHEMBL828340,BAO_0000019,
220,,1,,,,,12052,H,8,Autocuration,,CHEMBL615253,BAO_0000019,
221,,1,,,,,12052,H,8,Autocuration,,CHEMBL615254,BAO_0000019,
222,,1,,,,,12052,H,8,Autocuration,,CHEMBL615255,BAO_0000019,
223,,1,,,,,12052,H,8,Autocuration,,CHEMBL615256,BAO_0000019,
224,,1,,,,,12052,H,8,Autocuration,,CHEMBL615257,BAO_0000019,
225,,1,,,,,12052,H,8,Autocuration,,CHEMBL615258,BAO_0000019,
226,,1,,Homo sapiens,621.0,41M,80007,N,1,Intermediate,,CHEMBL615259,BAO_0000219,
227,,1,,Homo sapiens,621.0,41M,80007,N,1,Expert,,CHEMBL615260,BAO_0000219,
228,,1,,Homo sapiens,621.0,41M,80007,N,1,Intermediate,,CHEMBL615261,BAO_0000219,
229,,1,,Homo sapiens,621.0,41M,80007,N,1,Intermediate,,CHEMBL615262,BAO_0000219,
230,,1,,Homo sapiens,621.0,41M,80007,N,1,Expert,,CHEMBL615263,BAO_0000219,
231,,1,,Homo sapiens,621.0,41M,80007,N,1,Expert,,CHEMBL838393,BAO_0000219,
232,,1,,Homo sapiens,621.0,41M,80007,N,1,Intermediate,,CHEMBL615264,BAO_0000219,
233,,1,,Homo sapiens,,,84,D,9,Expert,,CHEMBL615265,BAO_0000357,
234,,1,,Homo sapiens,,,68,D,9,Expert,,CHEMBL615266,BAO_0000357,
235,,1,,,,,68,H,8,Expert,,CHEMBL615267,BAO_0000357,
236,,1,,,,,10201,H,8,Expert,,CHEMBL615268,BAO_0000357,
237,,1,,,,,10201,H,8,Expert,,CHEMBL615269,BAO_0000357,
238,,1,,,,,10201,H,8,Expert,,CHEMBL615270,BAO_0000357,
239,,1,,,,,12220,H,8,Autocuration,,CHEMBL615271,BAO_0000357,
240,,1,,Escherichia coli,,,11303,H,8,Autocuration,,CHEMBL615272,BAO_0000357,
241,,1,,Escherichia coli,,,11303,H,8,Autocuration,,CHEMBL615103,BAO_0000357,
242,,1,,Escherichia coli,,,11303,H,8,Autocuration,,CHEMBL615104,BAO_0000357,
243,,1,,,,,12220,H,8,Autocuration,,CHEMBL615105,BAO_0000357,
244,,1,,,,,12220,H,8,Autocuration,,CHEMBL872866,BAO_0000357,
245,,1,,Sus scrofa,,,11303,H,8,Autocuration,,CHEMBL615106,BAO_0000357,
246,,1,,Sus scrofa,,,11303,H,8,Autocuration,,CHEMBL615107,BAO_0000019,
247,,1,,Sus scrofa,,,11303,H,8,Autocuration,,CHEMBL615108,BAO_0000357,
248,,1,,Sus scrofa,,,11303,H,8,Autocuration,,CHEMBL615109,BAO_0000357,
249,,1,,Sus scrofa,,,11303,H,8,Autocuration,,CHEMBL615110,BAO_0000357,
250,,1,,Sus scrofa,,,11303,H,8,Autocuration,,CHEMBL840105,BAO_0000019,
251,,1,,Sus scrofa,,,11303,H,8,Autocuration,,CHEMBL615111,BAO_0000019,
252,,1,,Sus scrofa,,,11303,H,8,Autocuration,,CHEMBL615112,BAO_0000019,
253,,1,,Sus scrofa,,,11303,H,8,Autocuration,,CHEMBL615113,BAO_0000019,
254,,1,,Sus scrofa,,,11303,H,8,Autocuration,,CHEMBL615114,BAO_0000019,
255,,1,,Sus scrofa,,,11303,H,8,Autocuration,,CHEMBL615115,BAO_0000357,
256,,1,,Sus scrofa,,,11303,H,8,Autocuration,,CHEMBL615116,BAO_0000019,
257,,1,,,,,11303,H,8,Autocuration,,CHEMBL615698,BAO_0000357,
258,,1,,Sus scrofa,,,22226,U,0,Autocuration,,CHEMBL615699,BAO_0000019,
259,,1,,Sus scrofa,,,22226,U,0,Autocuration,,CHEMBL615700,BAO_0000019,
260,,1,,Saccharomyces cerevisiae,,,100249,H,8,Expert,,CHEMBL615701,BAO_0000357,
261,,1,,Rattus norvegicus,,,22226,U,0,Autocuration,,CHEMBL615702,BAO_0000019,
262,,1,,Rattus norvegicus,,,22226,U,0,Autocuration,,CHEMBL615703,BAO_0000019,
263,,1,,Rattus norvegicus,,,22226,U,0,Autocuration,,CHEMBL615704,BAO_0000019,
264,,1,,,,,104698,H,6,Autocuration,,CHEMBL615705,BAO_0000019,
265,,1,,,,,104698,H,6,Autocuration,,CHEMBL615706,BAO_0000019,
266,,1,,Cavia porcellus,,,20033,D,9,Intermediate,,CHEMBL615707,BAO_0000221,2116.0
267,,1,,,,,10623,H,8,Expert,,CHEMBL615708,BAO_0000019,
268,,1,,,,,121,H,8,Autocuration,,CHEMBL615709,BAO_0000357,
269,,1,,Rattus norvegicus,,,22226,U,0,Autocuration,,CHEMBL615710,BAO_0000218,
270,,1,,,,,12688,H,8,Autocuration,,CHEMBL615711,BAO_0000019,
271,,1,,Homo sapiens,,,121,D,9,Expert,,CHEMBL615712,BAO_0000357,
272,,1,,Homo sapiens,,,121,D,9,Expert,,CHEMBL836325,BAO_0000357,
273,,1,,,,,12198,H,8,Autocuration,,CHEMBL615713,BAO_0000019,
274,,1,,,,,12198,H,8,Autocuration,,CHEMBL615714,BAO_0000357,
275,,1,,,,,12198,H,8,Autocuration,,CHEMBL615715,BAO_0000019,
276,,1,,,,,12198,H,8,Autocuration,,CHEMBL615716,BAO_0000019,
277,,1,,,,,104714,H,4,Autocuration,,CHEMBL615717,BAO_0000019,
278,,1,,,,,10577,H,8,Expert,,CHEMBL881818,BAO_0000019,
279,,1,,Bos taurus,,,105,H,8,Expert,,CHEMBL884540,BAO_0000357,
280,,1,,Rattus norvegicus,,,104744,D,5,Autocuration,,CHEMBL615718,BAO_0000224,
281,,1,,,,,104744,H,4,Autocuration,,CHEMBL615719,BAO_0000224,
282,,1,Membranes,,,,104744,H,4,Autocuration,,CHEMBL615720,BAO_0000249,
283,,1,Membranes,,,,104744,H,4,Autocuration,,CHEMBL615721,BAO_0000249,
284,,1,,,,,104744,H,4,Autocuration,,CHEMBL615722,BAO_0000019,
285,,1,,,,,51,H,8,Autocuration,,CHEMBL615723,BAO_0000019,
286,,1,,,,,51,H,8,Autocuration,,CHEMBL615724,BAO_0000221,10000000.0
287,,1,,,,,51,H,8,Autocuration,,CHEMBL615725,BAO_0000221,10000000.0
288,,1,,,,,51,H,8,Autocuration,,CHEMBL615726,BAO_0000221,10000000.0
289,,1,,,,,10576,H,8,Autocuration,,CHEMBL615727,BAO_0000218,
