categoria_id,nome_categoria,film_id
11,Horror,475
12,Music,378
16,Travel,848
13,New,93
4,Classics,14
15,Sports,187
16,Travel,787
4,Classics,970
12,Music,592
5,Comedy,478
14,Sci-Fi,177
3,Children,424
9,Foreign,192
16,Travel,903
15,Sports,291
12,Music,244
15,Sports,631
15,Sports,779
7,Drama,146
13,New,551
16,Travel,84
12,Music,284
2,Animation,805
15,Sports,322
1,Action,823
11,Horror,800
14,Sci-Fi,312
9,Foreign,845
14,Sci-Fi,55
3,Children,68
3,Children,553
11,Horror,904
1,Action,659
7,Drama,179
7,Drama,709
7,Drama,209
15,Sports,796
11,Horror,277
16,Travel,472
14,Sci-Fi,620
1,Action,542
9,Foreign,431
5,Comedy,332
4,Classics,578
13,New,847
5,Comedy,188
13,New,25
16,Travel,299
9,Foreign,500
4,Classics,184
16,Travel,518
8,Family,695
5,Comedy,774
2,Animation,886
1,Action,915
9,Foreign,545
12,Music,174
10,Games,919
6,Documentary,734
10,Games,316
5,Comedy,247
14,Sci-Fi,449
6,Documentary,576
13,New,364
15,Sports,844
3,Children,864
10,Games,215
13,New,954
2,Animation,208
8,Family,377
8,Family,634
3,Children,354
16,Travel,784
2,Animation,541
8,Family,147
3,Children,468
12,Music,636
2,Animation,649
12,Music,516
8,Family,273
9,Foreign,792
1,Action,253
8,Family,975
6,Documentary,960
14,Sci-Fi,298
15,Sports,323
2,Animation,300
9,Foreign,15
3,Children,392
11,Horror,702
12,Music,411
11,Horror,998
7,Drama,218
14,Sci-Fi,602
14,Sci-Fi,863
4,Classics,633
8,Family,83
15,Sports,599
5,Comedy,932
9,Foreign,493
7,Drama,403
4,Classics,196
10,Games,807
5,Comedy,276
12,Music,562
15,Sports,890
4,Classics,471
8,Family,810
14,Sci-Fi,390
3,Children,509
4,Classics,482
8,Family,710
9,Foreign,641
3,Children,735
1,Action,825
8,Family,479
1,Action,511
15,Sports,279
6,Documentary,926
16,Travel,294
8,Family,175
11,Horror,854
7,Drama,643
6,Documentary,58
7,Drama,585
10,Games,840
10,Games,438
5,Comedy,604
3,Children,110
15,Sports,940
14,Sci-Fi,711
