assays_assay_id,assays_assay_tissue,assays_curated_by,assays_description,assays_src_id,assays_variant_id,assays_assay_subcellular_fraction,assays_tid,assays_relationship_type,assays_confidence_score,assays_src_assay_id,assays_chembl_id,assays_cell_id,assays_bao_format,assays_tissue_id
7539,,Intermediate,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,1,,,50597,N,1,,CHEMBL618661,,BAO_0000218,
7540,,Intermediate,Half life in rats,1,,,50597,N,1,,CHEMBL873807,,BAO_0000218,
7541,,Intermediate,Half life in Dawley rat,1,,,50597,N,1,,CHEMBL618662,,BAO_0000218,
7542,,Intermediate,Half life period after 3 mg/kg iv administration,1,,,50597,N,1,,CHEMBL618663,,BAO_0000218,
7543,,Intermediate,Half life period after 3 mg/kg iv administration in rat,1,,,50597,N,1,,CHEMBL618664,,BAO_0000218,
7544,,Intermediate,Half life period after 3 mg/kg iv administration in the rat,1,,,50597,N,1,,CHEMBL618665,,BAO_0000218,
7545,,Intermediate,Half life period in female Sprague-Dawley rats,1,,,50597,N,1,,CHEMBL876498,,BAO_0000218,
7546,,Intermediate,Half life period in rat,1,,,50597,N,1,,CHEMBL618666,,BAO_0000218,
7547,,Intermediate,Half-life in rats was determined,1,,,50597,N,1,,CHEMBL620440,,BAO_0000218,
7548,,Intermediate,Half-life in rats with metabolic oxidation,1,,,50597,N,1,,CHEMBL620441,,BAO_0000218,
7549,,Intermediate,Half-life in rats,1,,,50597,N,1,,CHEMBL620442,,BAO_0000218,
7550,,Intermediate,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,1,,,50597,N,1,,CHEMBL620443,,BAO_0000218,
7551,,Intermediate,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,1,,,50597,N,1,,CHEMBL620444,,BAO_0000218,
7552,,Intermediate,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,1,,,50597,N,1,,CHEMBL620445,,BAO_0000218,
7553,,Intermediate,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,1,,,50597,N,1,,CHEMBL620446,,BAO_0000218,
7554,Plasma,Intermediate,Biological half-life measured in plasma of rat,1,,,50597,N,1,,CHEMBL620447,,BAO_0000218,1969.0
7555,Plasma,Intermediate,Biological half-life measured in plasma of rat; 22-25,1,,,50597,N,1,,CHEMBL621129,,BAO_0000218,1969.0
7556,Plasma,Intermediate,Biological half-life measured in plasma of rat; 9-16,1,,,50597,N,1,,CHEMBL621130,,BAO_0000218,1969.0
7557,,Intermediate,Compound was evaluated for its half life when administered intravenously in rat,1,,,50597,N,1,,CHEMBL873808,,BAO_0000218,
7558,,Intermediate,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,1,,,50597,N,1,,CHEMBL876598,,BAO_0000218,
7559,,Intermediate,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,1,,,50597,N,1,,CHEMBL621131,,BAO_0000218,
7560,,Intermediate,Half life (T1/2) after oral administration in rat,1,,,50597,N,1,,CHEMBL621132,,BAO_0000218,
7561,,Intermediate,Half life of compound after iv administration of 20 mg/kg dose in rat,1,,,50597,N,1,,CHEMBL621133,,BAO_0000218,
7562,,Expert,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,1,,,50597,N,1,,CHEMBL621312,,BAO_0000218,
7563,,Intermediate,Half life of compound was determined in rat,1,,,50597,N,1,,CHEMBL621313,,BAO_0000218,
7564,Blood,Intermediate,Half life of compound was determined in rat blood,1,,,50597,N,1,,CHEMBL621314,,BAO_0000218,178.0
7565,,Intermediate,Half life at 1 mg/kg was determined in rat,1,,,50597,N,1,,CHEMBL621315,,BAO_0000218,
7566,,Intermediate,Half life at 10 mg/kg was determined in rat,1,,,50597,N,1,,CHEMBL621316,,BAO_0000218,
7567,,Intermediate,Half life in rats,1,,,50597,N,1,,CHEMBL621317,,BAO_0000218,
7568,,Intermediate,Half life in rats in hours,1,,,50597,N,1,,CHEMBL621318,,BAO_0000218,
7569,,Intermediate,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,1,,,50597,N,1,,CHEMBL621319,,BAO_0000218,
7570,,Intermediate,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,1,,,50597,N,1,,CHEMBL621377,,BAO_0000218,
7571,,Intermediate,Half life was determined,1,,,50597,N,1,,CHEMBL621378,,BAO_0000218,
7572,,Intermediate,Half life after i.v. administration,1,,,50597,N,1,,CHEMBL876599,,BAO_0000218,
7573,,Intermediate,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,1,,,50597,N,1,,CHEMBL621379,,BAO_0000218,
7574,Plasma,Intermediate,Half life in rat plasma,1,,,50597,N,1,,CHEMBL621380,,BAO_0000218,1969.0
7575,Plasma,Intermediate,Half life in rat plasma; Not detected,1,,,50597,N,1,,CHEMBL621381,,BAO_0000218,1969.0
7576,,Intermediate,Half life in rats,1,,,50597,N,1,,CHEMBL618515,,BAO_0000218,
7577,,Intermediate,Half life period of compound was determined after peroral administration,1,,,50597,N,1,,CHEMBL618516,,BAO_0000218,
7578,,Intermediate,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,1,,,50597,N,1,,CHEMBL618517,,BAO_0000218,
7579,,Intermediate,Half life period in rat,1,,,50597,N,1,,CHEMBL618518,,BAO_0000218,
7580,,Intermediate,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,1,,,50597,N,1,,CHEMBL618519,,BAO_0000218,
7581,,Intermediate,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,1,,,50597,N,1,,CHEMBL618698,,BAO_0000218,
7582,,Intermediate,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,1,,,50597,N,1,,CHEMBL618862,,BAO_0000218,
7583,,Intermediate,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,1,,,50597,N,1,,CHEMBL618863,,BAO_0000218,
7584,,Intermediate,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,1,,,50597,N,1,,CHEMBL618864,,BAO_0000218,
7585,,Intermediate,Half life time in rat the dose of 2 mg/kg,1,,,50597,N,1,,CHEMBL618865,,BAO_0000218,
7586,,Intermediate,Half-life 24 hr after 10 mg/kg iv administration in rats,1,,,50597,N,1,,CHEMBL618866,,BAO_0000218,
7587,,Intermediate,Half-life 24 hr after 2 mg/kg iv administration in rats,1,,,50597,N,1,,CHEMBL618867,,BAO_0000218,
7588,,Intermediate,Half-life consistent with the observed metabolic steady state in rats,1,,,50597,N,1,,CHEMBL875828,,BAO_0000218,
7589,,Intermediate,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,1,,,50597,N,1,,CHEMBL618868,,BAO_0000218,
7590,,Intermediate,Half-life for oxidative metabolic stability was determined using male human,1,,,50597,N,1,,CHEMBL618869,,BAO_0000218,
7591,,Intermediate,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",1,,,50597,N,1,,CHEMBL618870,,BAO_0000218,
7592,Plasma,Intermediate,Half-life in rat plasma,1,,,50597,N,1,,CHEMBL618871,,BAO_0000218,1969.0
7593,Plasma,Intermediate,Half-life in rat plasma was determined,1,,,50597,N,1,,CHEMBL618872,,BAO_0000218,1969.0
7594,,Intermediate,Half-life in rats was determined,1,,,50597,N,1,,CHEMBL873816,,BAO_0000218,
7595,,Autocuration,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,1,,,22224,U,0,,CHEMBL618873,,BAO_0000218,
7596,,Autocuration,Area under curve after oral dose of 0.1 mg//kg,1,,,22224,U,0,,CHEMBL621602,,BAO_0000019,
7597,,Autocuration,Area under curve after oral dose of 0.3 mg/kg,1,,,22224,U,0,,CHEMBL621603,,BAO_0000218,
7598,,Autocuration,Area under curve after oral dose of 1 mg/kg,1,,,22224,U,0,,CHEMBL621604,,BAO_0000218,
7599,,Autocuration,Area under curve after oral dose of 10 mg/kg,1,,,22224,U,0,,CHEMBL621605,,BAO_0000218,
7600,,Autocuration,Area under curve after oral dose of 23.4 mg/kg,1,,,22224,U,0,,CHEMBL621606,,BAO_0000218,
7601,,Autocuration,Area under curve after oral dose of 3 mg/kg,1,,,22224,U,0,,CHEMBL621607,,BAO_0000218,
7602,,Autocuration,Area under curve after oral dose of 3.87 mg/kg,1,,,22224,U,0,,CHEMBL621608,,BAO_0000218,
7603,,Autocuration,Area under curve was determined,1,,,22224,U,0,,CHEMBL621609,,BAO_0000019,
7604,,Autocuration,Area under curve at a dose of 10 mg/kg,1,,,22224,U,0,,CHEMBL621610,,BAO_0000218,
7605,,Intermediate,Area under curve was determined; ND=No data,1,,,50597,N,1,,CHEMBL621611,,BAO_0000218,
7606,,Intermediate,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,1,,,50597,N,1,,CHEMBL621612,,BAO_0000218,
7607,,Intermediate,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,1,,,50597,N,1,,CHEMBL622308,,BAO_0000218,
7608,,Intermediate,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,1,,,50597,N,1,,CHEMBL622309,,BAO_0000218,
7609,,Intermediate,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,1,,,50597,N,1,,CHEMBL622310,,BAO_0000218,
7610,,Intermediate,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,1,,,50597,N,1,,CHEMBL622311,,BAO_0000218,
7611,,Intermediate,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,1,,,50597,N,1,,CHEMBL622312,,BAO_0000218,
7612,,Intermediate,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,1,,,50597,N,1,,CHEMBL622931,,BAO_0000218,
7613,,Intermediate,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,1,,,50597,N,1,,CHEMBL622932,,BAO_0000218,
7614,Plasma,Intermediate,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,1,,,50597,N,1,,CHEMBL622736,,BAO_0000218,1969.0
7615,Plasma,Intermediate,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,1,,,50597,N,1,,CHEMBL622737,,BAO_0000218,1969.0
7616,Plasma,Intermediate,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,1,,,50597,N,1,,CHEMBL622738,,BAO_0000218,1969.0
7617,Plasma,Intermediate,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,1,,,50597,N,1,,CHEMBL622739,,BAO_0000218,1969.0
7618,Plasma,Intermediate,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,1,,,50597,N,1,,CHEMBL622740,,BAO_0000218,1969.0
7619,Plasma,Intermediate,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,1,,,50597,N,1,,CHEMBL622741,,BAO_0000218,1969.0
7620,Plasma,Intermediate,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,1,,,50597,N,1,,CHEMBL622742,,BAO_0000218,1969.0
7621,Plasma,Intermediate,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,1,,,50597,N,1,,CHEMBL622743,,BAO_0000218,1969.0
7622,Plasma,Intermediate,AUC in mice,1,,,50594,N,1,,CHEMBL622744,,BAO_0000218,1969.0
7623,,Autocuration,Area under curve was measured from the graph obtained from concentration Vs time,1,,,22224,U,0,,CHEMBL624134,,BAO_0000019,
7624,,Autocuration,Area under curve value of compound per hour after oral administration,1,,,22224,U,0,,CHEMBL624135,,BAO_0000019,
7625,,Intermediate,Area under curve was determined after oral administration in rats,1,,,50597,N,1,,CHEMBL624136,,BAO_0000218,
7626,,Intermediate,Area under curve was determined after oral administration in rats; No data,1,,,50597,N,1,,CHEMBL624137,,BAO_0000218,
7627,,Intermediate,Area under curve was determined after oral administration in rats;No data,1,,,50597,N,1,,CHEMBL624320,,BAO_0000218,
7628,,Intermediate,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,1,,,50588,N,1,,CHEMBL624321,,BAO_0000218,
7629,,Intermediate,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,1,,,50597,N,1,,CHEMBL624322,,BAO_0000218,
7630,,Intermediate,Area under curve was determined for the compound after iv dose of 5.06 in rats,1,,,50597,N,1,,CHEMBL624323,,BAO_0000218,
7631,,Intermediate,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,1,,,50597,N,1,,CHEMBL624324,,BAO_0000218,
7632,,Intermediate,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,1,,,50597,N,1,,CHEMBL624325,,BAO_0000218,
7633,,Intermediate,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,1,,,50597,N,1,,CHEMBL624326,,BAO_0000218,
7634,,Intermediate,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,1,,,50597,N,1,,CHEMBL624327,,BAO_0000218,
7635,,Intermediate,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,1,,,50597,N,1,,CHEMBL624328,,BAO_0000218,
7636,,Intermediate,Area under curve was determined in Dogs after peroral administration,1,,,50588,N,1,,CHEMBL627848,,BAO_0000218,
7637,,Intermediate,Area under curve was determined in Rats after peroral administration,1,,,50597,N,1,,CHEMBL627849,,BAO_0000218,
7638,,Intermediate,Area under curve was determined in carotid blood of rat when administered intradermally,1,,,50597,N,1,,CHEMBL627850,,BAO_0000218,
7639,,Intermediate,Area under curve was determined in portal blood of rat when administered intradermally,1,,,50597,N,1,,CHEMBL627851,,BAO_0000218,
7640,,Intermediate,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,1,,,50594,N,1,,CHEMBL627852,,BAO_0000218,
7641,,Intermediate,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,1,,,50594,N,1,,CHEMBL627853,,BAO_0000218,
7642,,Intermediate,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),1,,,50594,N,1,,CHEMBL627854,,BAO_0000218,
7643,,Intermediate,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,1,,,50594,N,1,,CHEMBL627855,,BAO_0000218,
7644,,Intermediate,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),1,,,50594,N,1,,CHEMBL627856,,BAO_0000218,
7645,,Intermediate,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,1,,,50594,N,1,,CHEMBL875339,,BAO_0000218,
7646,,Intermediate,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),1,,,50594,N,1,,CHEMBL627857,,BAO_0000218,
7647,Spleen,Intermediate,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,1,,,50597,N,1,,CHEMBL627858,,BAO_0000218,2106.0
7648,Blood,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627859,,BAO_0000218,178.0
7649,Brain,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627860,,BAO_0000218,955.0
7650,Heart,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627019,,BAO_0000218,948.0
7651,Liver,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627020,,BAO_0000218,2107.0
7652,Lung,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627021,,BAO_0000218,2048.0
7653,Muscle tissue,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627022,,BAO_0000218,2385.0
7654,,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627023,,BAO_0000218,
7655,Spleen,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627024,,BAO_0000218,2106.0
7656,Thyroid gland,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627025,,BAO_0000218,2046.0
7657,Kidney,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627026,,BAO_0000218,2113.0
7658,Blood,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627027,,BAO_0000218,178.0
7659,Brain,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627028,,BAO_0000218,955.0
7660,Heart,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627029,,BAO_0000218,948.0
7661,Kidney,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627030,,BAO_0000218,2113.0
7662,Liver,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627031,,BAO_0000218,2107.0
7663,Lung,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in lung; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627032,,BAO_0000218,2048.0
7664,Muscle tissue,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in muscle; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627033,,BAO_0000218,2385.0
7665,,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in skin; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627034,,BAO_0000218,
7666,Spleen,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in spleen; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627035,,BAO_0000218,2106.0
7667,Thyroid gland,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in thyroid; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627036,,BAO_0000218,2046.0
7668,Blood,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in blood; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL875340,,BAO_0000218,178.0
7669,Heart,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in heart; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627037,,BAO_0000218,948.0
7670,Kidney,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in kidney; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627038,,BAO_0000218,2113.0
7671,Liver,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in liver; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627039,,BAO_0000218,2107.0
7672,Muscle tissue,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in muscle; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL627040,,BAO_0000218,2385.0
7673,Spleen,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in spleen; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL624663,,BAO_0000218,2106.0
7674,Thyroid gland,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in thyroid; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL625963,,BAO_0000218,2046.0
7675,Brain,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in brain; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL876799,,BAO_0000218,955.0
7676,Lung,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in lung; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL626133,,BAO_0000218,2048.0
7677,,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in skin; Expressed as percent dose/organ,1,,,50597,N,1,,CHEMBL626134,,BAO_0000218,
7678,,Intermediate,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,1,,,50597,N,1,,CHEMBL626135,,BAO_0000218,
7679,,Intermediate,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,1,,,50597,N,1,,CHEMBL626136,,BAO_0000218,
7680,,Intermediate,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg; Below detection limit,1,,,50597,N,1,,CHEMBL626137,,BAO_0000218,
7681,,Intermediate,In vivo concentration in rat plasma exposure at 8 hour after oral administration 50 mg/kg,1,,,50597,N,1,,CHEMBL626138,,BAO_0000218,
7682,,Intermediate,In vivo concentration in rat plasma exposure at 8 hour after oral administration 50 mg/kg,1,,,50597,N,1,,CHEMBL626139,,BAO_0000218,
7683,,Intermediate,C max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,1,,,50597,N,1,,CHEMBL626140,,BAO_0000218,
7684,,Intermediate,C max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,1,,,50597,N,1,,CHEMBL626141,,BAO_0000218,
7685,,Intermediate,C24h in rat p.o. at 20 mg/kg concentration,1,,,50597,N,1,,CHEMBL626142,,BAO_0000218,
7686,Muscle tissue,Intermediate,Biodistribution in normal rat muscle in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,,,50597,N,1,,CHEMBL627930,,BAO_0000218,2385.0
7687,Muscle tissue,Intermediate,Biodistribution in normal rat muscle in the presence of 0.01 M Gd/0.05 M lig,1,,,50597,N,1,,CHEMBL627931,,BAO_0000218,2385.0
7688,Muscle tissue,Intermediate,Biodistribution in normal rat muscle in the presence of NAC Gd 0.01 M lig at 2 hr,1,,,50597,N,1,,CHEMBL627932,,BAO_0000218,2385.0
7689,Spleen,Intermediate,Biodistribution in normal rat spleen in the presence of 0.005 M Gd/0.01 M lig at 2 hr,1,,,50597,N,1,,CHEMBL627933,,BAO_0000218,2106.0
7690,Spleen,Intermediate,Biodistribution in normal rat spleen in the presence of 0.01 M Gd/0.05 M lig,1,,,50597,N,1,,CHEMBL627934,,BAO_0000218,2106.0
7691,Spleen,Intermediate,Biodistribution in normal rat spleen in the presence of NAC Gd 0.01 M lig at 2 hr,1,,,50597,N,1,,CHEMBL627935,,BAO_0000218,2106.0
7692,Blood,Intermediate,Biodistribution in rat blood in the presence of 0.001 M/0.008 M GdDTPA-AEP,1,,,50597,N,1,,CHEMBL627936,,BAO_0000218,178.0
7693,Blood,Intermediate,Biodistribution in rat blood in the presence of 0.01 M GdDTPA-BDP,1,,,50597,N,1,,CHEMBL627937,,BAO_0000218,178.0
7694,Blood,Intermediate,Biodistribution in rat blood in the presence of 0.01 M/0.01 M GdDTPA-AEP,1,,,50597,N,1,,CHEMBL627938,,BAO_0000218,178.0
7695,Blood,Intermediate,Biodistribution in rat blood in the presence of 0.05 M Gd/0.15 M lig,1,,,50597,N,1,,CHEMBL627939,,BAO_0000218,178.0
7696,Blood,Intermediate,Biodistribution in rat blood in the presence of 0.05 M GdDTPA-BDP,1,,,50597,N,1,,CHEMBL627940,,BAO_0000218,178.0
7697,Blood,Intermediate,Biodistribution in rat blood in the presence of 0.05 M/0.05 M GdDTPA-AEP,1,,,50597,N,1,,CHEMBL627941,,BAO_0000218,178.0
7698,Blood,Intermediate,Biodistribution in rat blood in the presence of 0.05 M/0.08 M GdDTPA-HPDP,1,,,50597,N,1,,CHEMBL876800,,BAO_0000218,178.0
7699,Blood,Intermediate,Biodistribution in rat blood in the presence of 0.10 M GdDTPA-BDP,1,,,50597,N,1,,CHEMBL627942,,BAO_0000218,178.0
7700,Blood,Intermediate,Biodistribution in rat blood in the presence of 0.10 M/0.11 M GdDTPA-AEP,1,,,50597,N,1,,CHEMBL627943,,BAO_0000218,178.0
