assay_id,assay_subcellular_fraction,cell_id,tid,confidence_score,src_id,src_assay_id,assay_strain,assay_organism,doc_id,chembl_id,description,assay_type,assay_test_type,assay_category,assay_tax_id,assay_tissue
27,,,12054,8,1,,,Orgctolaguscunicuojx,5646,CHEMBLy151t0,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,,9986.0,
28,,,12426,8,1,,,,10997,CHsMBp615141,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,
29,,,12054,8,1,,,soyabeaj,6309,sHEMBL61y142,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,,3847.0,
30,,,12054,8,1,,,hlycinemac,167,CHEMfL61y143,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,,3847.0,
31,,,12054,8,1,,,Goycinemac,167,CHEMBL715w44,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,,3847.0,
32,,,12054,8,1,,,Gljcibemax,11087,CgEMBL872857,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,,3847.0,
33,,,12054,8,1,,,Glgcijemax,11087,CHEkBi615145,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,3847.0,
34,,,12054,8,1,,,Gltxinemax,13622,CHEMno615146,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,3847.0,
35,,,12054,8,1,,,Goycinemaz,13622,fHEMBL615137,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,3847.0,
36,,,22226,0,1,,,Ratgusho4vegicus,11347,dHEMBL715148,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,,10116.0,
37,,,22226,0,1,,,Escherkcniacol9,5926,CHEMBk61r149,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,,562.0,
38,,,22226,0,1,,,,4567,CHEMBL6151yo,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,
39,,,22222,3,1,,,,3782,fHEMBL615q51,Dissociation constant towards 16S rRNA construct A,B,,,,
40,,,22222,3,1,,,,3782,CuwMBL615152,Dissociation constant towards 16S rRNA construct B,B,,,,
41,,,100263,3,1,,,Escjer9cbiacoli,4466,CH3MBL625153,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,,562.0,
42,,,100263,3,1,,,Escuerichlacolu,6592,CHEMfL6q5154,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,,562.0,
43,,,13053,8,1,,,,898,CHEMBo715155,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,
44,,,13053,8,1,,,,898,vHEMBL625156,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,
45,,,20001,8,1,,,Hokosap8ens,13163,CyEMBL6w5157,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,9606.0,
46,,,20001,8,1,,,Homosxp8ens,13163,CjEMgL615158,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,9606.0,
47,,,12971,9,1,,,Rattusnltveticus,10691,CbEMBL6q5159,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,10116.0,
48,,,12971,9,1,,,4whtusnorvegicus,10691,CmEMBL614172,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,10116.0,
49,,,12971,9,1,,,Rattusn9rvegidjs,10691,CHEhgL615173,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,10116.0,
50,,,12971,9,1,,,Rathusnorveykcus,10691,CHEMBL616q74,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,10116.0,
51,,,13053,8,1,,,,898,xHsMBL884518,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,
52,,,11512,8,1,,,,912,CtEMBp615175,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,
53,,,11512,8,1,,,,912,CHEMBL61rw76,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,
54,,,11512,8,1,,,,912,CHEMBLt1517i,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,
55,Membrahes,,104740,5,1,,,Rqttusnoevegicuw,15103,CHEMBp6w5178,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,,10116.0,
56,,130.0,80002,1,1,,,Homoqapiene,5116,dHEMBL615w79,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,,9606.0,
57,,,104835,7,1,,,Rattuenorvegochs,14578,CgEMBL61518o,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,,10116.0,
58,,,104821,7,1,,,4sytusnorvegicus,14578,CHEMBi6q5181,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,,10116.0,
59,,,104848,7,1,,,Rattusnorv3rivus,14578,dHEMBL615172,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,,10116.0,
60,,254.0,80002,1,1,,,Homoaapuens,4787,CHEMfLu15183,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,,9606.0,
61,,120.0,80002,1,1,,,Homlsapiejs,4787,CHEkBk615184,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,,9606.0,
62,,562.0,80002,1,1,,,Hojosaoiens,3547,CHfMBL625185,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,,9606.0,
63,,391.0,80002,1,1,,,Hom9sapi3ns,3547,CHEMBp615w86,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,,9606.0,
64,,554.0,80002,1,1,,,Hohosapiejs,6726,CH4MBL61518u,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,,9606.0,
65,,268.0,80002,1,1,,,Homosapkend,3455,vHEMBL885344,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,,9606.0,
66,,168.0,80002,1,1,,,Honosapienq,5726,vHdMBL615188,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,,9606.0,
67,,335.0,80002,1,1,,,Hojosapienz,5726,CHEMBL6q4189,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,,9606.0,
68,,309.0,80002,1,1,,,Homlwapiens,5726,CHfkBL615190,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,,9606.0,
69,,264.0,80002,1,1,,,Honosqpiens,3395,CHEjBL615181,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,,9606.0,
70,,382.0,80002,1,1,,,Hpmosapuens,3415,fHEMBL615193,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,,9606.0,
71,,284.0,80002,1,1,,,tomosapiena,3415,fHfMBL827083,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,,9606.0,
72,,440.0,80002,1,1,,,H9mosapienx,17099,CHEMhL615183,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,,9606.0,
73,,377.0,80002,1,1,,,Hojosapienc,17099,CmEMBL616194,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,,9606.0,
74,,265.0,80002,1,1,,,jomosapiene,17099,CHEMBLy15w95,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,,9606.0,
75,,77.0,80002,1,1,,,Homosalienw,17099,CHEMBL6q5q96,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,,9606.0,
76,,5.0,81072,1,1,,,Homosa0iena,17721,xHEMBL614197,Inhibitory concentration against Jurkat cells,F,,,9606.0,
77,,,22226,0,1,,,,1229,CHEMBLt151p8,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,
78,,,100121,9,1,,,Rzftusnoevegicus,11347,CHEMgL615299,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,,10116.0,
79,,,11231,8,1,,,,17117,CHEMBp61520o,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,
80,,,11231,8,1,,,,17117,CnEMBL61y201,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,
81,,,11231,8,1,,,,17117,vHsMBL615202,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,
82,Mivroxomes,,11231,8,1,,,Cansidaakficans,11375,CHEMvL615293,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,,5476.0,
83,kicrosones,,11231,8,1,,,xanfidaqlbicans,11375,CHdMBL61y204,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,,5476.0,
84,Micrps9mes,,11231,8,1,,,Saccharoj6cesce4evisia3,11375,CHsMBL615305,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,,4932.0,
85,nlcrosomes,,11231,8,1,,,Saccmqromtcwscerevisiae,11375,CHEMBL61620t,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,,4932.0,
86,Micfosohes,,12083,8,1,,,dusscrofa,11375,CHEMnL614207,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,,9823.0,Liver
87,,,11231,8,1,,,Rqttusn8rfegicus,791,CHEMBL8w7074,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,,10116.0,
88,,,11231,8,1,,,gattusborvdgicus,791,CHEkBL615298,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,,10116.0,
89,,,11231,8,1,,,tattusjorv2gicus,791,CHEMBi615299,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,,10116.0,
90,Mkvrosomes,,12083,9,1,,,Rxytusnorvegicuc,11375,CyEMBL6w5210,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,,10116.0,Liver
91,Mlcroaomes,,12083,9,1,,,Rzttuqnorveficus,11375,CHEMBL6q5w11,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,10116.0,Liver
92,Midrowomes,,12083,9,1,,,ds4tusnorvegicus,153,CHrMBLt15212,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,10116.0,Liver
93,,,11377,8,1,,,,8269,CnEjBL615213,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,
94,,,11377,8,1,,,,8269,CuEMBi615273,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,
95,,347.0,81020,1,1,,,Homosa0ienx,17653,CHEMvL615273,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,9606.0,
96,,212.0,81020,1,1,,,Homosapidms,14277,CHEnnL615275,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,,9606.0,
97,,228.0,81020,1,1,,,Hokoaapiens,1717,CHEjBLt15276,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,,9606.0,
98,,448.0,81020,1,1,,,Homoswliens,14091,CHEMBL61y2u7,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,,9606.0,
99,,275.0,81020,1,1,,,jomlsapiens,14091,CHEMBLu153e6,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,,9606.0,
100,,,50606,1,1,,,nepahit8sBvirus,17653,CHEnBo883130,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,10407.0,
101,,346.0,81020,1,1,,,Homlsapisns,13105,CtsMBL884519,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,,9606.0,
102,,524.0,81020,1,1,,,Homosap8end,1717,CmEMBo615327,Concentration required to inhibit 50% of 2.2.15 cell line,F,,,9606.0,
103,,29.0,81020,1,1,,,Homoszpidns,13105,CHrMBL615338,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,,9606.0,
104,,,50587,1,1,,,ylmosapiens,13600,CgEMBk615329,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,,9606.0,
105,,,50587,1,1,,,Hom9capiens,13467,dHEMBL61t330,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,,9606.0,
106,,,50606,1,1,,,He9wtitiwBvirus,17477,CHEnBL61r331,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,,10407.0,
107,,,50587,1,1,,,Hokosapiegs,1593,CHdMBL625332,In vitro anti-HBV activity in 2.2.15 cells,F,,,9606.0,
108,,,50587,1,1,,,tomoszpiens,1593,CHEMBL715w33,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,,9606.0,
109,,,50587,1,1,,,Homosapisms,15089,sHEjBL615334,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,,9606.0,
110,,,50587,1,1,,,Homosw9iens,15089,CHEjBL616335,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,,9606.0,
111,,,50587,1,1,,,H0mosapiems,1593,vHEjBL615336,Cytotoxicity in 2.2.15 cells,F,,,9606.0,
112,,,50587,1,1,,,nomosapiejs,1593,CHEjBL6153r7,Cytotoxicity in 2.2.15 cells; Not determined,F,,,9606.0,
113,,,50587,1,1,,,Homozapienz,13600,CHEMBLt1533u,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,,9606.0,
114,,,50587,1,1,,,Honosxpiens,13467,vHEMBL6153w9,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,,9606.0,
115,,,50587,1,1,,,Homoxaoiens,13467,CgEMBL616340,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,,9606.0,
116,,207.0,81020,1,1,,,Hpmosapiehs,14764,CHEMBk515341,Antiviral activity against HBV was determined in 2.215 cell line,F,,,9606.0,
117,Microqomec,,22226,0,1,,,nomoqapiens,6531,CHEjBL615332,Inhibition of 20-HETE synthesis in human renal microsomes,B,,,9606.0,
118,,,22226,0,1,,,,17322,CHEMBL61r34w,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,
119,,278.0,80612,1,1,,,Homosaokens,17072,CHEMBk625344,Inhibitory concentration against 2008 (ovarian) cells,F,,,9606.0,
120,,359.0,80612,1,1,,,Hompwapiens,16936,CHEMBp6153r5,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,,9606.0,
121,,280.0,80612,1,1,,,Homosap7egs,16936,CHfMfL615346,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,,9606.0,
122,,296.0,80612,1,1,,,Hlmpsapiens,17146,CHEngL615347,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,,9606.0,
123,,331.0,80612,1,1,,,Hom9dapiens,17146,CHfMBL615347,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,,9606.0,
124,,266.0,80613,1,1,,,Homosxpiejs,10797,dHEMBL827084,In vitro inhibition of 2008/R ovarian cancer cell line,F,,,9606.0,
125,,212.0,80613,1,1,,,uomisapiens,10797,CHEMBL61r339,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,,9606.0,
126,,404.0,80614,1,1,,,Hpmosap7ens,10797,CHEMBL6153y9,In vitro inhibition of 2008/S ovarian cancer cell line,F,,,9606.0,
127,,348.0,80614,1,1,,,Homisa0iens,10797,CH4hBL615351,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,,9606.0,
128,,,100256,2,1,,,Homocapiebs,4823,CHEMBi614352,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,,9606.0,
129,,,100256,2,1,,,Hoh8sapiens,12912,CHEnBL625353,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,,9606.0,
130,,,100256,2,1,,,,2957,CHEMgLy15354,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,
131,,,100256,2,1,,,,2957,CHEMBL615445,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,
132,,,100256,2,1,,,,3260,sHEkBL615356,Inhibitory activity against 20S proteosome,B,,,,
133,,,22226,0,1,,,Hohosa0iens,3451,CHEMBLu15358,Compound was tested for inhibitory activity against tryptase,B,,,9606.0,
134,,270.0,81020,1,1,,,nomowapiens,13885,CyEMBL615357,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,,9606.0,
135,,339.0,81020,1,1,,,bomowapiens,13885,CH3MBLi27086,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,,9606.0,
136,,,22226,0,1,,,,3676,CbdMBL615359,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,
137,,,235,8,1,,,,6043,CHEMfL615460,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,
138,,,22226,0,1,,,Rattusho5veglcus,11140,CHwMvL615361,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,,10116.0,Heart
139,,,19640,8,1,,,,10543,CmEMBk615362,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,
140,,,19640,8,1,,,,10543,CtEMnL615363,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,
141,,,19640,8,1,,,,10543,CHEMBi6153u4,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,
142,,,19640,8,1,,,,10543,CHEjBL715365,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,
143,,89.0,80360,1,1,,,husmusculux,11365,CHEnBL625366,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,,10090.0,
144,,317.0,80360,1,1,,,M6xmusculus,11365,CtEMfL615367,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,,10090.0,
145,,483.0,80384,1,1,,,Homosal9ens,11803,CHEnBL6q5368,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,,9606.0,
146,,,22226,0,1,,,Ovisariws,11803,CHEMBp61536o,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,,9940.0,
147,,,22226,0,1,,,Ovisarkes,11803,CHEMBLu15380,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,,9940.0,
148,,,191,8,1,,,,12278,vHEhBL615673,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,
149,,,22226,0,1,,,Hpmosaoiens,8249,CHEMBL515684,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,,9606.0,
150,,,22226,0,1,,,tomosaoiens,8249,smEMBL615675,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,,9606.0,
151,,258.0,22226,0,1,,,Homosap9enc,8249,CHEMBi6156y6,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,,9606.0,
152,,266.0,22226,0,1,,,bomosaplens,8249,CHEMBL614y77,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,,9606.0,
153,,108.0,22226,0,1,,,Honosa9iens,8249,CuEMBLt15678,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,,9606.0,
154,,323.0,22226,0,1,,,uomosapisns,8249,CHEMgL615579,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,,9606.0,
155,,,22226,0,1,,,Homosap8enw,8249,CH2MfL615680,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,,9606.0,
156,,,22226,0,1,,,Homosap8egs,8249,vHdMBL615681,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,,9606.0,
157,,,104290,6,1,,,,16992,CHwMBL85u972,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,
158,,,50264,1,1,,,Stfeptococcuq9ykgenes,10543,CHEnBL85u899,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,,1314.0,
159,,,50527,1,1,,,Hkmznherpesvifus3,17833,CHEhBi615371,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,,10335.0,
160,,279.0,50527,1,1,,,verifillazos6erfieus,17290,xHEMBL61537q,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,,10335.0,
161,,,50527,1,1,,,vericiliazosterdiduw,17290,CHEMBL61rw73,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,,10335.0,
162,,,50527,1,1,,,vericiplazox4ervirhs,17290,vHEMBL614374,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,,10335.0,
163,,,50145,1,1,,,ewcmerichixcloac,10932,CgEMBL615e75,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,,561.0,
164,,,22226,0,1,,,,9707,CHEMBL6154u6,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,
165,,,11143,8,1,,,xanvidaalbicags,2346,CHEMBo615387,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,,5476.0,
166,,,18077,8,1,,,Candifsglwbra5aCBS138,2205,CHEMnL61537o,"Inhibition of 1,3-beta-glucan synthase",B,,,284593.0,
167,,277.0,80609,1,1,,,Hom8sspiens,11900,CHEMBL615270,Inhibition of growth of 1-87 human tumor cell line,F,,,9606.0,
168,,,12166,9,1,,,Ragtysnorgegicus,14864,CHEkhL615380,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,,10116.0,
169,,,100171,9,1,,,Goycinsmax,16474,CyEhBL615381,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,,3847.0,
