assay_id,tissue_id,cell_id,chembl_id,curated_by,src_assay_id,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,src_id,bao_format,variant_id
176,,,CHEMBL615388,Autocuration,,,,,100171,D,9,1,BAO_0000357,
177,,,CHEMBL615214,Autocuration,,,,,100171,D,9,1,BAO_0000357,
178,,,CHEMBL827087,Autocuration,,,,,100171,D,9,1,BAO_0000357,
179,,,CHEMBL615215,Autocuration,,,,,100171,D,9,1,BAO_0000357,
180,,,CHEMBL615216,Autocuration,,,,,100171,D,9,1,BAO_0000357,
181,,,CHEMBL615217,Autocuration,,,,,100171,D,9,1,BAO_0000357,
182,,,CHEMBL615218,Autocuration,,,,,100171,D,9,1,BAO_0000357,
183,,,CHEMBL615219,Autocuration,,,,,100171,D,9,1,BAO_0000357,
184,,,CHEMBL615220,Autocuration,,,,,22226,U,0,1,BAO_0000019,
185,,294.0,CHEMBL615221,Intermediate,,,C3H 10T1/2,,80049,N,1,1,BAO_0000219,
186,,,CHEMBL615222,Intermediate,,,,,22226,U,0,1,BAO_0000019,
187,,,CHEMBL615223,Autocuration,,,,,11489,H,8,1,BAO_0000357,
188,,,CHEMBL615224,Autocuration,,,,,11862,H,8,1,BAO_0000357,
189,,,CHEMBL615225,Autocuration,,,,,11862,H,8,1,BAO_0000357,
190,,,CHEMBL615226,Autocuration,,,,,11489,H,8,1,BAO_0000357,
191,,,CHEMBL615227,Autocuration,,,,,11862,H,8,1,BAO_0000357,
192,,,CHEMBL615228,Expert,,,,,12347,D,9,1,BAO_0000019,
193,,,CHEMBL615229,Expert,,,,,100120,D,9,1,BAO_0000357,
194,2369.0,,CHEMBL615230,Expert,,Adrenal gland,,,100120,D,9,1,BAO_0000357,
195,,,CHEMBL615231,Expert,,,,,100120,D,9,1,BAO_0000357,
196,,,CHEMBL884520,Expert,,,,,100120,D,9,1,BAO_0000357,
197,,,CHEMBL615232,Expert,,,,,100120,D,9,1,BAO_0000357,
198,,,CHEMBL615233,Autocuration,,,,,10328,H,8,1,BAO_0000019,
199,,,CHEMBL827088,Autocuration,,,,,11490,H,8,1,BAO_0000357,
200,,,CHEMBL615234,Autocuration,,,,,11490,H,8,1,BAO_0000357,
201,,,CHEMBL615235,Autocuration,,,,,11134,H,8,1,BAO_0000019,
202,,,CHEMBL615236,Autocuration,,,,,12052,H,8,1,BAO_0000019,
203,,,CHEMBL615237,Autocuration,,,,,11134,H,8,1,BAO_0000019,
204,,,CHEMBL615238,Autocuration,,,,,11134,H,8,1,BAO_0000019,
205,,,CHEMBL615239,Autocuration,,,,,11134,H,8,1,BAO_0000019,
206,,,CHEMBL615240,Autocuration,,,,,11134,D,9,1,BAO_0000019,
207,,,CHEMBL615241,Expert,,,,,11835,H,8,1,BAO_0000019,
208,,,CHEMBL615242,Expert,,,,,11601,H,8,1,BAO_0000357,
209,,,CHEMBL615243,Autocuration,,,,,11134,H,8,1,BAO_0000019,
210,,,CHEMBL615244,Autocuration,,,,,11134,H,8,1,BAO_0000019,
211,,,CHEMBL615245,Autocuration,,,,,11134,H,8,1,BAO_0000019,
212,,,CHEMBL615246,Autocuration,,,,,11134,H,8,1,BAO_0000019,
213,,,CHEMBL615247,Autocuration,,,,,11134,H,8,1,BAO_0000019,
214,,,CHEMBL615248,Autocuration,,,,,11134,H,8,1,BAO_0000019,
215,,,CHEMBL615249,Autocuration,,,,,11601,H,8,1,BAO_0000357,
216,,,CHEMBL615250,Autocuration,,,,,11601,H,8,1,BAO_0000357,
217,,,CHEMBL615251,Autocuration,,,,,12052,H,8,1,BAO_0000019,
218,,,CHEMBL615252,Autocuration,,,,,12052,H,8,1,BAO_0000019,
219,,,CHEMBL828340,Expert,,,,,12052,H,8,1,BAO_0000019,
220,,,CHEMBL615253,Autocuration,,,,,12052,H,8,1,BAO_0000019,
221,,,CHEMBL615254,Autocuration,,,,,12052,H,8,1,BAO_0000019,
222,,,CHEMBL615255,Autocuration,,,,,12052,H,8,1,BAO_0000019,
223,,,CHEMBL615256,Autocuration,,,,,12052,H,8,1,BAO_0000019,
224,,,CHEMBL615257,Autocuration,,,,,12052,H,8,1,BAO_0000019,
225,,,CHEMBL615258,Autocuration,,,,,12052,H,8,1,BAO_0000019,
226,,621.0,CHEMBL615259,Intermediate,,,41M,,80007,N,1,1,BAO_0000219,
227,,621.0,CHEMBL615260,Expert,,,41M,,80007,N,1,1,BAO_0000219,
228,,621.0,CHEMBL615261,Intermediate,,,41M,,80007,N,1,1,BAO_0000219,
229,,621.0,CHEMBL615262,Intermediate,,,41M,,80007,N,1,1,BAO_0000219,
230,,621.0,CHEMBL615263,Expert,,,41M,,80007,N,1,1,BAO_0000219,
231,,621.0,CHEMBL838393,Expert,,,41M,,80007,N,1,1,BAO_0000219,
232,,621.0,CHEMBL615264,Intermediate,,,41M,,80007,N,1,1,BAO_0000219,
233,,,CHEMBL615265,Expert,,,,,84,D,9,1,BAO_0000357,
234,,,CHEMBL615266,Expert,,,,,68,D,9,1,BAO_0000357,
235,,,CHEMBL615267,Expert,,,,,68,H,8,1,BAO_0000357,
236,,,CHEMBL615268,Expert,,,,,10201,H,8,1,BAO_0000357,
237,,,CHEMBL615269,Expert,,,,,10201,H,8,1,BAO_0000357,
238,,,CHEMBL615270,Expert,,,,,10201,H,8,1,BAO_0000357,
239,,,CHEMBL615271,Autocuration,,,,,12220,H,8,1,BAO_0000357,
240,,,CHEMBL615272,Autocuration,,,,,11303,H,8,1,BAO_0000357,
241,,,CHEMBL615103,Autocuration,,,,,11303,H,8,1,BAO_0000357,
242,,,CHEMBL615104,Autocuration,,,,,11303,H,8,1,BAO_0000357,
243,,,CHEMBL615105,Autocuration,,,,,12220,H,8,1,BAO_0000357,
244,,,CHEMBL872866,Autocuration,,,,,12220,H,8,1,BAO_0000357,
245,,,CHEMBL615106,Autocuration,,,,,11303,H,8,1,BAO_0000357,
246,,,CHEMBL615107,Autocuration,,,,,11303,H,8,1,BAO_0000019,
247,,,CHEMBL615108,Autocuration,,,,,11303,H,8,1,BAO_0000357,
248,,,CHEMBL615109,Autocuration,,,,,11303,H,8,1,BAO_0000357,
249,,,CHEMBL615110,Autocuration,,,,,11303,H,8,1,BAO_0000357,
250,,,CHEMBL840105,Autocuration,,,,,11303,H,8,1,BAO_0000019,
251,,,CHEMBL615111,Autocuration,,,,,11303,H,8,1,BAO_0000019,
252,,,CHEMBL615112,Autocuration,,,,,11303,H,8,1,BAO_0000019,
253,,,CHEMBL615113,Autocuration,,,,,11303,H,8,1,BAO_0000019,
254,,,CHEMBL615114,Autocuration,,,,,11303,H,8,1,BAO_0000019,
255,,,CHEMBL615115,Autocuration,,,,,11303,H,8,1,BAO_0000357,
256,,,CHEMBL615116,Autocuration,,,,,11303,H,8,1,BAO_0000019,
257,,,CHEMBL615698,Autocuration,,,,,11303,H,8,1,BAO_0000357,
258,,,CHEMBL615699,Autocuration,,,,,22226,U,0,1,BAO_0000019,
259,,,CHEMBL615700,Autocuration,,,,,22226,U,0,1,BAO_0000019,
260,,,CHEMBL615701,Expert,,,,,100249,H,8,1,BAO_0000357,
261,,,CHEMBL615702,Autocuration,,,,,22226,U,0,1,BAO_0000019,
262,,,CHEMBL615703,Autocuration,,,,,22226,U,0,1,BAO_0000019,
263,,,CHEMBL615704,Autocuration,,,,,22226,U,0,1,BAO_0000019,
264,,,CHEMBL615705,Autocuration,,,,,104698,H,6,1,BAO_0000019,
265,,,CHEMBL615706,Autocuration,,,,,104698,H,6,1,BAO_0000019,
266,2116.0,,CHEMBL615707,Intermediate,,Ileum,,,20033,D,9,1,BAO_0000221,
267,,,CHEMBL615708,Expert,,,,,10623,H,8,1,BAO_0000019,
268,,,CHEMBL615709,Autocuration,,,,,121,H,8,1,BAO_0000357,
269,,,CHEMBL615710,Autocuration,,,,,22226,U,0,1,BAO_0000218,
270,,,CHEMBL615711,Autocuration,,,,,12688,H,8,1,BAO_0000019,
271,,,CHEMBL615712,Expert,,,,,121,D,9,1,BAO_0000357,
272,,,CHEMBL836325,Expert,,,,,121,D,9,1,BAO_0000357,
273,,,CHEMBL615713,Autocuration,,,,,12198,H,8,1,BAO_0000019,
274,,,CHEMBL615714,Autocuration,,,,,12198,H,8,1,BAO_0000357,
275,,,CHEMBL615715,Autocuration,,,,,12198,H,8,1,BAO_0000019,
276,,,CHEMBL615716,Autocuration,,,,,12198,H,8,1,BAO_0000019,
277,,,CHEMBL615717,Autocuration,,,,,104714,H,4,1,BAO_0000019,
278,,,CHEMBL881818,Expert,,,,,10577,H,8,1,BAO_0000019,
279,,,CHEMBL884540,Expert,,,,,105,H,8,1,BAO_0000357,
280,,,CHEMBL615718,Autocuration,,,,,104744,D,5,1,BAO_0000224,
281,,,CHEMBL615719,Autocuration,,,,,104744,H,4,1,BAO_0000224,
282,,,CHEMBL615720,Autocuration,,,,Membranes,104744,H,4,1,BAO_0000249,
283,,,CHEMBL615721,Autocuration,,,,Membranes,104744,H,4,1,BAO_0000249,
284,,,CHEMBL615722,Autocuration,,,,,104744,H,4,1,BAO_0000019,
285,,,CHEMBL615723,Autocuration,,,,,51,H,8,1,BAO_0000019,
286,10000000.0,,CHEMBL615724,Autocuration,,Hippocampus,,,51,H,8,1,BAO_0000221,
287,10000000.0,,CHEMBL615725,Autocuration,,Hippocampus,,,51,H,8,1,BAO_0000221,
288,10000000.0,,CHEMBL615726,Autocuration,,Hippocampus,,,51,H,8,1,BAO_0000221,
289,,,CHEMBL615727,Autocuration,,,,,10576,H,8,1,BAO_0000218,
290,,,CHEMBL615728,Intermediate,,,,,105570,D,9,1,BAO_0000019,
291,,449.0,CHEMBL857971,Autocuration,,,CHO,,279,H,8,1,BAO_0000219,
292,,,CHEMBL615729,Autocuration,,,,,107,H,8,1,BAO_0000357,
293,,,CHEMBL615730,Expert,,,,,12687,D,9,1,BAO_0000019,
294,,,CHEMBL615731,Expert,,,,,12687,H,8,1,BAO_0000019,
295,,,CHEMBL615732,Expert,,,,,12687,H,8,1,BAO_0000019,
296,,,CHEMBL615733,Expert,,,,,12687,H,8,1,BAO_0000019,
297,,,CHEMBL615734,Expert,,,,,12687,H,8,1,BAO_0000019,
298,,,CHEMBL615735,Autocuration,,,,,12687,H,8,1,BAO_0000019,
299,,,CHEMBL615736,Expert,,,,,12687,H,8,1,BAO_0000019,
300,2116.0,,CHEMBL615737,Intermediate,,Ileum,,,20033,D,9,1,BAO_0000221,
301,2116.0,,CHEMBL615738,Intermediate,,Ileum,,,20033,D,9,1,BAO_0000221,
302,2116.0,,CHEMBL615739,Intermediate,,Ileum,,,20033,D,9,1,BAO_0000221,
303,,,CHEMBL615278,Autocuration,,,,,10623,H,8,1,BAO_0000357,
304,,,CHEMBL615279,Expert,,,,,10623,D,9,1,BAO_0000019,
305,,,CHEMBL615280,Expert,,,,,168,H,8,1,BAO_0000357,
306,,,CHEMBL615281,Autocuration,,,,,22226,U,0,1,BAO_0000019,
307,,,CHEMBL615282,Autocuration,,,,,22226,U,0,1,BAO_0000019,
308,,,CHEMBL615283,Autocuration,,,,,22226,U,0,1,BAO_0000019,
309,,649.0,CHEMBL615284,Autocuration,,,HL-60,,80156,N,1,1,BAO_0000219,
310,,,CHEMBL615285,Autocuration,,,,,22226,U,0,1,BAO_0000019,
311,,,CHEMBL615286,Autocuration,,,,,22226,U,0,1,BAO_0000019,
312,,,CHEMBL615287,Autocuration,,,Oocytes,,104703,D,7,1,BAO_0000219,
313,,,CHEMBL615288,Intermediate,,,,,100256,S,2,1,BAO_0000220,
314,,,CHEMBL615289,Intermediate,,,,,100256,S,2,1,BAO_0000220,
315,,478.0,CHEMBL615290,Intermediate,,,A2780,,81034,N,1,1,BAO_0000219,
316,,478.0,CHEMBL884522,Intermediate,,,A2780,,81034,N,1,1,BAO_0000219,
317,,,CHEMBL615291,Autocuration,,,,,22226,U,0,1,BAO_0000019,
318,,,CHEMBL615292,Intermediate,,,,,22222,M,3,1,BAO_0000225,
319,,,CHEMBL615293,Intermediate,,,,,22222,M,3,1,BAO_0000225,
320,,,CHEMBL615294,Intermediate,,,,,22222,M,3,1,BAO_0000225,
321,,,CHEMBL615295,Intermediate,,,,,22222,M,3,1,BAO_0000225,
322,,,CHEMBL825021,Autocuration,,,,,22226,U,0,1,BAO_0000019,
323,,,CHEMBL615296,Autocuration,,,,,22226,U,0,1,BAO_0000019,
324,,,CHEMBL615297,Autocuration,,,,,22226,U,0,1,BAO_0000019,
