Fiscal year,Branch name,Gender equality (marker),Organisation type,ICT as a tool for development (marker),Urban issues (marker),Bilateral aid (international marker),Section name,Division ID,Division name,Organisation name,Climate change mitigation (marker),Organisation ID,IRTC percent,Project number,CountryRegion percent,FSTC percent,Fund centre ID,Amount spent,Untied amount(Project-level budget),Branch ID,Continent name,Indigenous issues (marker),CIDA business delivery model (old),Children issues (marker),Status,Maximum CIDA contribution (project-level),Section ID,Regional program (marker),Fund centre name,CFLI (marker),Programming process (new),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Desertification (marker),Participatory development and good governance,Trade development (marker)
2009/2010,WGM Sub-Saharan Africa,2,Canadian Non-Profit Making,0,0,1,"Ethiopia, PanAfrica, SubRegional",D4270,WED Southern & Eastern Africa,Parliamentary Centre,0,1000852,0.0,A020222001,1.0,1.0,4229,799.502,0.0,B4200,Africa,0,Directive,0,Closed,4229943.14,S4227,0,Ethiopia,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Non-Profit Making,0,0,1,"Ethiopia, PanAfrica, SubRegional",D4270,WED Southern & Eastern Africa,Parliamentary Centre,0,1000852,0.0,A020222001,1.0,1.0,4229,799.502,0.0,B4200,Africa,0,Directive,0,Closed,4229943.14,S4227,0,Ethiopia,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Non-Profit Making,0,0,1,"Ethiopia, PanAfrica, SubRegional",D4270,WED Southern & Eastern Africa,Parliamentary Centre,0,1000852,0.0,A020222001,1.0,1.0,4229,799.502,0.0,B4200,Africa,0,Directive,0,Closed,4229943.14,S4227,0,Ethiopia,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Non-Profit Making,0,0,1,"Ethiopia, PanAfrica, SubRegional",D4270,WED Southern & Eastern Africa,Parliamentary Centre,0,1000852,0.0,A020222001,1.0,1.0,4229,799.502,0.0,B4200,Africa,0,Directive,0,Closed,4229943.14,S4227,0,Ethiopia,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Non-Profit Making,0,0,1,"Ethiopia, PanAfrica, SubRegional",D4270,WED Southern & Eastern Africa,Parliamentary Centre,0,1000852,0.0,A020222001,1.0,1.0,4229,799.502,0.0,B4200,Africa,0,Directive,0,Closed,4229943.14,S4227,0,Ethiopia,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Profit Making,0,0,1,Senegal Program,D4207,WWD West & Central Africa,Thompson Consultant Inc.,0,1014497,0.0,A020246001,1.0,1.0,4238,2307.3284,4518387.69,B4200,Africa,0,Directive,0,Terminating,4518387.69,S4233,0,Senegal,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Profit Making,0,0,1,Senegal Program,D4207,WWD West & Central Africa,Information not available,0,Information not available,0.0,A020246001,1.0,1.0,4238,2157.8406,4518387.69,B4200,Africa,0,Directive,0,Terminating,4518387.69,S4233,0,Senegal,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Profit Making,0,0,1,Senegal Program,D4207,WWD West & Central Africa,Thompson Consultant Inc.,0,1014497,0.0,A020246001,1.0,1.0,4238,4478.9316,4518387.69,B4200,Africa,0,Directive,0,Terminating,4518387.69,S4233,0,Senegal,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Profit Making,0,0,1,Senegal Program,D4207,WWD West & Central Africa,Information not available,0,Information not available,0.0,A020246001,1.0,1.0,4238,4188.7494,4518387.69,B4200,Africa,0,Directive,0,Terminating,4518387.69,S4233,0,Senegal,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,NGM Americas,0,Canadian Profit Making,0,0,1,Caricom - Adm,D4400,NDD Americas Programming,CRC Sogema Inc.,0,1000975,0.0,A020252001,1.0,1.0,4438,539373.76,7850039.11,B4400,America,0,Directive,0,Closed,7850039.11,S4429,0,Caribbean Regional - Guyana,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,OGM Asia Pacific,1,Canadian Non-Profit Making,1,0,1,Philippines and Mongolia,D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A020272001,1.0,1.0,4128,12432.9,0.0,B4100,Asia,0,Directive,0,Closed,13000520.92,S4130,0,Philippines,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,1,Canadian Non-Profit Making,1,0,1,Philippines and Mongolia,D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A020272001,1.0,1.0,4128,9946.32,0.0,B4100,Asia,0,Directive,0,Closed,13000520.92,S4130,0,Philippines,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,1,Canadian Non-Profit Making,1,0,1,Philippines and Mongolia,D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A020272001,1.0,1.0,4128,2486.58,0.0,B4100,Asia,0,Directive,0,Closed,13000520.92,S4130,0,Philippines,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,OGM Asia Pacific,1,Canadian Non-Profit Making,0,0,1,"OAA Afghanistan, Pakistan and Sri Lanka",D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A020279001,1.0,1.0,4124,106986.01,0.0,B4100,Asia,0,Directive,0,Terminating,2645994.04,S4141,0,Pakistan,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,1,Canadian Profit Making,0,0,1,Mozambique Program,D4270,WED Southern & Eastern Africa,Agriteam Canada,0,1000601,0.0,A020392001,1.0,1.0,4280,73711.97,0.0,B4200,Africa,0,Directive,0,Closed,7747230.74,S4271,0,Malawi,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,OGM Asia Pacific,0,Canadian Non-Profit Making,0,0,1,Bangladesh Section,D4100,OAD Asia Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A020395001,1.0,0.5,4122,500000.0,0.0,B4100,Asia,0,Directive,0,Closed,4947637.32,S4122,0,Bangladesh,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,OGM Asia Pacific,0,Uncoded,0,0,1,Bangladesh Section,D4100,OAD Asia Programming,Information not available,0,Information not available,0.0,A020395001,1.0,0.5,4122,2362.0,0.0,B4100,Asia,0,Directive,0,Closed,4947637.32,S4122,0,Bangladesh,0,Uncoded: Pre-APP,Not PBA,0,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,0,Canadian Profit Making,0,0,1,Mozambique Program,D4270,WED Southern & Eastern Africa,Information not available,0,Information not available,0.0,A020398001,1.0,1.0,4274,667.81,0.0,B4200,Africa,0,Directive,0,Closed,9096651.0,S4271,0,Mozambique,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,0,Canadian Profit Making,0,0,1,Mozambique Program,D4270,WED Southern & Eastern Africa,Information not available,0,Information not available,0.0,A020398001,1.0,1.0,4274,667.81,0.0,B4200,Africa,0,Directive,0,Closed,9096651.0,S4271,0,Mozambique,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Non-Profit Making,0,0,1,Central Africa & Great Lakes Program,D4207,WWD West & Central Africa,Department of Foreign Affairs and International Trade,0,10050,0.0,A020449003,1.0,1.0,4289,582248.05,2457111.5,B4200,Africa,0,Directive,0,Closed,2457111.5,S4287,0,Cameroon,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Profit Making,0,0,1,Central Africa & Great Lakes Program,D4207,WWD West & Central Africa,D�M�NAGEMENT OUTAOUAIS INC.,0,1000948,0.0,A020449003,1.0,1.0,4289,863.16,2457111.5,B4200,Africa,0,Directive,0,Closed,2457111.5,S4287,0,Cameroon,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Profit Making,0,0,1,Central Africa & Great Lakes Program,D4207,WWD West & Central Africa,Information not available,0,Information not available,0.0,A020449003,1.0,1.0,4289,140613.87,2457111.5,B4200,Africa,0,Directive,0,Closed,2457111.5,S4287,0,Cameroon,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,2,Uncoded,0,0,1,Central Africa & Great Lakes Program,D4207,WWD West & Central Africa,Information not available,0,Information not available,0.0,A020449003,1.0,1.0,4289,2361.97,2457111.5,B4200,Africa,0,Directive,0,Closed,2457111.5,S4287,0,Cameroon,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,WGM Sub-Saharan Africa,0,Canadian Non-Profit Making,0,0,1,Senegal Program,D4207,WWD West & Central Africa,UPA DI - Union des producteurs agricoles d�veloppement,0,1000171,0.0,A020715001,1.0,1.0,4242,442790.91,11427061.07,B4200,Africa,0,Directive,0,Closed,11427061.07,S4233,0,*Guinea,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,0,Canadian Profit Making,0,0,1,Senegal Program,D4207,WWD West & Central Africa,Le Groupe Conseil Baastel Lt�e,0,1001142,0.0,A020715001,1.0,1.0,4242,4131.87,11427061.07,B4200,Africa,0,Directive,0,Closed,11427061.07,S4233,0,*Guinea,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,0,Canadian Non-Profit Making,0,0,1,Senegal Program,D4207,WWD West & Central Africa,UPA DI - Union des producteurs agricoles d�veloppement,0,1000171,0.0,A020715001,1.0,1.0,4242,132837.27300000002,11427061.07,B4200,Africa,0,Directive,0,Closed,11427061.07,S4233,0,*Guinea,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,0,Canadian Profit Making,0,0,1,Senegal Program,D4207,WWD West & Central Africa,Le Groupe Conseil Baastel Lt�e,0,1001142,0.0,A020715001,1.0,1.0,4242,1239.5610000000001,11427061.07,B4200,Africa,0,Directive,0,Closed,11427061.07,S4233,0,*Guinea,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,0,Canadian Non-Profit Making,0,0,1,Senegal Program,D4207,WWD West & Central Africa,UPA DI - Union des producteurs agricoles d�veloppement,0,1000171,0.0,A020715001,1.0,1.0,4242,88558.18199999999,11427061.07,B4200,Africa,0,Directive,0,Closed,11427061.07,S4233,0,*Guinea,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,0,Canadian Profit Making,0,0,1,Senegal Program,D4207,WWD West & Central Africa,Le Groupe Conseil Baastel Lt�e,0,1001142,0.0,A020715001,1.0,1.0,4242,826.3739999999999,11427061.07,B4200,Africa,0,Directive,0,Closed,11427061.07,S4233,0,*Guinea,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,0,Canadian Non-Profit Making,0,0,1,Senegal Program,D4207,WWD West & Central Africa,UPA DI - Union des producteurs agricoles d�veloppement,0,1000171,0.0,A020715001,1.0,1.0,4242,132837.27300000002,11427061.07,B4200,Africa,0,Directive,0,Closed,11427061.07,S4233,0,*Guinea,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,0,Canadian Profit Making,0,0,1,Senegal Program,D4207,WWD West & Central Africa,Le Groupe Conseil Baastel Lt�e,0,1001142,0.0,A020715001,1.0,1.0,4242,1239.5610000000001,11427061.07,B4200,Africa,0,Directive,0,Closed,11427061.07,S4233,0,*Guinea,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,0,Canadian Non-Profit Making,0,0,1,Senegal Program,D4207,WWD West & Central Africa,UPA DI - Union des producteurs agricoles d�veloppement,0,1000171,0.0,A020715001,1.0,1.0,4242,88558.18199999999,11427061.07,B4200,Africa,0,Directive,0,Closed,11427061.07,S4233,0,*Guinea,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,0,Canadian Profit Making,0,0,1,Senegal Program,D4207,WWD West & Central Africa,Le Groupe Conseil Baastel Lt�e,0,1001142,0.0,A020715001,1.0,1.0,4242,826.3739999999999,11427061.07,B4200,Africa,0,Directive,0,Closed,11427061.07,S4233,0,*Guinea,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,OGM Asia Pacific,0,Canadian Non-Profit Making,0,0,1,"OAA Afghanistan, Pakistan and Sri Lanka",D4100,OAD Asia Programming,Foundation for International Training,0,1000136,0.0,A020790001,1.0,1.0,4118,92293.62400000001,0.0,B4100,Asia,0,Directive,1,Closed,4308867.95,S4141,0,Sri Lanka,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,OGM Asia Pacific,0,Canadian Non-Profit Making,0,0,1,"OAA Afghanistan, Pakistan and Sri Lanka",D4100,OAD Asia Programming,Foundation for International Training,0,1000136,0.0,A020790001,1.0,1.0,4118,23073.406000000003,0.0,B4100,Asia,0,Directive,1,Closed,4308867.95,S4141,0,Sri Lanka,0,Uncoded: Pre-APP,Not PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Non-Profit Making,0,0,1,Mali Program Section,D4207,WWD West & Central Africa,Department of Foreign Affairs and International Trade,0,10050,0.0,A020891001,1.0,0.0,4216,57631.03,0.0,B4200,Africa,0,Directive,1,Closed,3063216.68,S4215,0,Mali,0,Uncoded: Pre-APP,Other PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Uncoded,0,0,1,Mali Program Section,D4207,WWD West & Central Africa,Information not available,0,Information not available,0.0,A020891001,1.0,0.0,4216,23.9,0.0,B4200,Africa,0,Directive,1,Closed,3063216.68,S4215,0,Mali,0,Uncoded: Pre-APP,Other PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Non-Profit Making,0,0,1,Mali Program Section,D4207,WWD West & Central Africa,Department of Foreign Affairs and International Trade,0,10050,0.0,A020892001,1.0,1.0,4216,10023.66,16726210.87,B4200,Africa,0,Directive,0,Closed,16726210.87,S4215,0,Mali,0,Uncoded: Pre-APP,Other PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Profit Making,0,0,1,Mali Program Section,D4207,WWD West & Central Africa,CAC International,0,1001126,0.0,A020892001,1.0,1.0,4216,50605.0,16726210.87,B4200,Africa,0,Directive,0,Closed,16726210.87,S4215,0,Mali,0,Uncoded: Pre-APP,Other PBA,0,0,0,0,0
2009/2010,WGM Sub-Saharan Africa,2,Canadian Profit Making,0,0,1,Mali Program Section,D4207,WWD West & Central Africa,Consortium CRC SOGEMA Inc. et l'Universit� d'Ottawa,0,1014203,0.0,A020892001,1.0,1.0,4216,2019764.66,16726210.87,B4200,Africa,0,Directive,0,Closed,16726210.87,S4215,0,Mali,0,Uncoded: Pre-APP,Other PBA,0,0,0,0,0
2009/2010,NGM Americas,0,Canadian Non-Profit Making,0,0,1,South America,D4400,NDD Americas Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A020910001,0.1,1.0,4422,64.46300000000001,0.0,B4400,America,0,Responsive,1,Closed,1488850.78,S4413,1,*Southern Cone,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,NGM Americas,0,Uncoded,0,0,1,South America,D4400,NDD Americas Programming,Information not available,0,Information not available,0.0,A020910001,0.1,1.0,4422,24.000999999999998,0.0,B4400,America,0,Responsive,1,Closed,1488850.78,S4413,1,*Southern Cone,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,NGM Americas,0,Canadian Non-Profit Making,0,0,1,South America,D4400,NDD Americas Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A020910001,0.1,1.0,4422,51.5704,0.0,B4400,America,0,Responsive,1,Closed,1488850.78,S4413,1,*Southern Cone,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,NGM Americas,0,Uncoded,0,0,1,South America,D4400,NDD Americas Programming,Information not available,0,Information not available,0.0,A020910001,0.1,1.0,4422,19.2008,0.0,B4400,America,0,Responsive,1,Closed,1488850.78,S4413,1,*Southern Cone,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,NGM Americas,0,Canadian Non-Profit Making,0,0,1,South America,D4400,NDD Americas Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A020910001,0.1,1.0,4422,12.8926,0.0,B4400,America,0,Responsive,1,Closed,1488850.78,S4413,1,*Southern Cone,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,NGM Americas,0,Uncoded,0,0,1,South America,D4400,NDD Americas Programming,Information not available,0,Information not available,0.0,A020910001,0.1,1.0,4422,4.8002,0.0,B4400,America,0,Responsive,1,Closed,1488850.78,S4413,1,*Southern Cone,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,NGM Americas,0,Canadian Non-Profit Making,0,0,1,South America,D4400,NDD Americas Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A020910001,0.1,1.0,4422,515.7040000000001,0.0,B4400,America,0,Responsive,1,Closed,1488850.78,S4413,1,*Southern Cone,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,NGM Americas,0,Uncoded,0,0,1,South America,D4400,NDD Americas Programming,Information not available,0,Information not available,0.0,A020910001,0.1,1.0,4422,192.00799999999998,0.0,B4400,America,0,Responsive,1,Closed,1488850.78,S4413,1,*Southern Cone,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
2009/2010,NGM Americas,0,Canadian Non-Profit Making,0,0,1,South America,D4400,NDD Americas Programming,Department of Foreign Affairs and International Trade,0,10050,0.0,A020910001,0.3,1.0,4422,193.389,0.0,B4400,America,0,Responsive,1,Closed,1488850.78,S4413,1,*Southern Cone,0,Uncoded: Pre-APP,Not PBA,1,0,0,1,0
