Fiscal year,CountryRegion name,Organisation ID,Indigenous issues (marker),Branch name,Sector percent,Organisation type,Section ID,Children issues (marker),Project Browser country ID,Biodiversity (marker),Continent name,Sector ID,Organisation class,Division ID,Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Division name,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker)
2009/2010,Jamaica,1000378,0,NGM Americas,1.0,Canadian Profit Making,S4429,0,JM,0,America,24040,Civil Society,D4400,A019362001,Closed,3441416.83,B4400,NDD Americas Programming,Caricom - Adm,0,4439,Caribbean Regional - Jamaica,3441416.83,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Jamaica,1001165,0,NGM Americas,1.0,Canadian Profit Making,S4429,0,JM,0,America,24040,Civil Society,D4400,A019362001,Closed,3441416.83,B4400,NDD Americas Programming,Caricom - Adm,0,4439,Caribbean Regional - Jamaica,3441416.83,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Egypt,1000335,0,"EGM Europe, Middle East and Maghreb",0.2,Canadian Profit Making,S4256,0,EG,0,Africa,15150,Civil Society,D3100,A019608001,Closed,16700508.62,B3100,EDD Europe-Middle East Programming,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Egypt,1000335,0,"EGM Europe, Middle East and Maghreb",0.05,Canadian Profit Making,S4256,0,EG,0,Africa,24030,Civil Society,D3100,A019608001,Closed,16700508.62,B3100,EDD Europe-Middle East Programming,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Egypt,1000335,0,"EGM Europe, Middle East and Maghreb",0.05,Canadian Profit Making,S4256,0,EG,0,Africa,25010,Civil Society,D3100,A019608001,Closed,16700508.62,B3100,EDD Europe-Middle East Programming,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Egypt,1000335,0,"EGM Europe, Middle East and Maghreb",0.05,Canadian Profit Making,S4256,0,EG,0,Africa,32110,Civil Society,D3100,A019608001,Closed,16700508.62,B3100,EDD Europe-Middle East Programming,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Egypt,1000335,0,"EGM Europe, Middle East and Maghreb",0.25,Canadian Profit Making,S4256,0,EG,0,Africa,32130,Civil Society,D3100,A019608001,Closed,16700508.62,B3100,EDD Europe-Middle East Programming,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Egypt,1000335,0,"EGM Europe, Middle East and Maghreb",0.15,Canadian Profit Making,S4256,0,EG,0,Africa,32182,Civil Society,D3100,A019608001,Closed,16700508.62,B3100,EDD Europe-Middle East Programming,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Egypt,1000335,0,"EGM Europe, Middle East and Maghreb",0.05,Canadian Profit Making,S4256,0,EG,0,Africa,41010,Civil Society,D3100,A019608001,Closed,16700508.62,B3100,EDD Europe-Middle East Programming,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Egypt,1000335,0,"EGM Europe, Middle East and Maghreb",0.2,Canadian Profit Making,S4256,0,EG,0,Africa,41020,Civil Society,D3100,A019608001,Closed,16700508.62,B3100,EDD Europe-Middle East Programming,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Algeria,10050,0,"EGM Europe, Middle East and Maghreb",1.0,Canadian Non-Profit Making,S4256,0,DZ,0,Africa,43010,Governmental,D3100,A020161001,Closed,328400.96,B3100,EDD Europe-Middle East Programming,Middle East and North Africa,0,4259,*Algeria,0.0,0.998334353,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Haiti,10050,0,NGM Americas,0.2,Canadian Non-Profit Making,S4449,0,HT,0,America,15150,Governmental,D4400,A020195001,Closed,4610501.0,B4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,0,4452,Haiti,4000000.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Haiti,10050,0,NGM Americas,0.8,Canadian Non-Profit Making,S4449,0,HT,0,America,15160,Governmental,D4400,A020195001,Closed,4610501.0,B4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,0,4452,Haiti,4000000.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Ethiopia,1000852,0,WGM Sub-Saharan Africa,0.2,Canadian Non-Profit Making,S4227,0,ET,0,Africa,15110,Civil Society,D4270,A020222001,Closed,4229943.14,B4200,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Ethiopia,1000852,0,WGM Sub-Saharan Africa,0.2,Canadian Non-Profit Making,S4227,0,ET,0,Africa,15111,Civil Society,D4270,A020222001,Closed,4229943.14,B4200,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Ethiopia,1000852,0,WGM Sub-Saharan Africa,0.2,Canadian Non-Profit Making,S4227,0,ET,0,Africa,15130,Civil Society,D4270,A020222001,Closed,4229943.14,B4200,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Ethiopia,1000852,0,WGM Sub-Saharan Africa,0.2,Canadian Non-Profit Making,S4227,0,ET,0,Africa,15150,Civil Society,D4270,A020222001,Closed,4229943.14,B4200,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Ethiopia,1000852,0,WGM Sub-Saharan Africa,0.2,Canadian Non-Profit Making,S4227,0,ET,0,Africa,15160,Civil Society,D4270,A020222001,Closed,4229943.14,B4200,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Senegal,1014497,0,WGM Sub-Saharan Africa,0.34,Canadian Profit Making,S4233,0,SN,0,Africa,15110,Civil Society,D4207,A020246001,Terminating,4518387.69,B4200,WWD West & Central Africa,Senegal Program,0,4238,Senegal,4518387.69,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Senegal,Information not available,0,WGM Sub-Saharan Africa,0.34,Canadian Profit Making,S4233,0,SN,0,Africa,15110,Individual,D4207,A020246001,Terminating,4518387.69,B4200,WWD West & Central Africa,Senegal Program,0,4238,Senegal,4518387.69,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Senegal,1014497,0,WGM Sub-Saharan Africa,0.66,Canadian Profit Making,S4233,0,SN,0,Africa,24040,Civil Society,D4207,A020246001,Terminating,4518387.69,B4200,WWD West & Central Africa,Senegal Program,0,4238,Senegal,4518387.69,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Senegal,Information not available,0,WGM Sub-Saharan Africa,0.66,Canadian Profit Making,S4233,0,SN,0,Africa,24040,Individual,D4207,A020246001,Terminating,4518387.69,B4200,WWD West & Central Africa,Senegal Program,0,4238,Senegal,4518387.69,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Guyana,1000975,0,NGM Americas,1.0,Canadian Profit Making,S4429,0,GY,0,America,11130,Civil Society,D4400,A020252001,Closed,7850039.11,B4400,NDD Americas Programming,Caricom - Adm,0,4438,Caribbean Regional - Guyana,7850039.11,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Philippines,10050,0,OGM Asia Pacific,0.5,Canadian Non-Profit Making,S4130,0,PH,0,Asia,15110,Governmental,D4100,A020272001,Closed,13000520.92,B4100,OAD Asia Programming,Philippines and Mongolia,0,4128,Philippines,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Philippines,10050,0,OGM Asia Pacific,0.4,Canadian Non-Profit Making,S4130,0,PH,0,Asia,15111,Governmental,D4100,A020272001,Closed,13000520.92,B4100,OAD Asia Programming,Philippines and Mongolia,0,4128,Philippines,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Philippines,10050,0,OGM Asia Pacific,0.1,Canadian Non-Profit Making,S4130,0,PH,0,Asia,15150,Governmental,D4100,A020272001,Closed,13000520.92,B4100,OAD Asia Programming,Philippines and Mongolia,0,4128,Philippines,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Pakistan,10050,0,OGM Asia Pacific,1.0,Canadian Non-Profit Making,S4141,0,PK,0,Asia,15110,Governmental,D4100,A020279001,Terminating,2645994.04,B4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Malawi,1000601,0,WGM Sub-Saharan Africa,1.0,Canadian Profit Making,S4271,0,MW,0,Africa,15110,Civil Society,D4270,A020392001,Closed,7747230.74,B4200,WED Southern & Eastern Africa,Mozambique Program,0,4280,Malawi,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Bangladesh,10050,0,OGM Asia Pacific,1.0,Canadian Non-Profit Making,S4122,0,BD,0,Asia,43010,Governmental,D4100,A020395001,Closed,4947637.32,B4100,OAD Asia Programming,Bangladesh Section,0,4122,Bangladesh,0.0,0.5,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Bangladesh,Information not available,0,OGM Asia Pacific,1.0,Uncoded,S4122,0,BD,0,Asia,43010,Unknown,D4100,A020395001,Closed,4947637.32,B4100,OAD Asia Programming,Bangladesh Section,0,4122,Bangladesh,0.0,0.5,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Mozambique,Information not available,0,WGM Sub-Saharan Africa,0.5,Canadian Profit Making,S4271,0,MZ,0,Africa,14031,Individual,D4270,A020398001,Closed,9096651.0,B4200,WED Southern & Eastern Africa,Mozambique Program,0,4274,Mozambique,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Mozambique,Information not available,0,WGM Sub-Saharan Africa,0.5,Canadian Profit Making,S4271,0,MZ,0,Africa,14032,Individual,D4270,A020398001,Closed,9096651.0,B4200,WED Southern & Eastern Africa,Mozambique Program,0,4274,Mozambique,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Cameroon,10050,0,WGM Sub-Saharan Africa,1.0,Canadian Non-Profit Making,S4287,0,CM,0,Africa,43010,Governmental,D4207,A020449003,Closed,2457111.5,B4200,WWD West & Central Africa,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Cameroon,1000948,0,WGM Sub-Saharan Africa,1.0,Canadian Profit Making,S4287,0,CM,0,Africa,43010,Civil Society,D4207,A020449003,Closed,2457111.5,B4200,WWD West & Central Africa,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Cameroon,Information not available,0,WGM Sub-Saharan Africa,1.0,Canadian Profit Making,S4287,0,CM,0,Africa,43010,Individual,D4207,A020449003,Closed,2457111.5,B4200,WWD West & Central Africa,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Cameroon,Information not available,0,WGM Sub-Saharan Africa,1.0,Uncoded,S4287,0,CM,0,Africa,43010,Unknown,D4207,A020449003,Closed,2457111.5,B4200,WWD West & Central Africa,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Guinea,1000171,0,WGM Sub-Saharan Africa,0.5,Canadian Non-Profit Making,S4233,0,GN,0,Africa,15150,Civil Society,D4207,A020715001,Closed,11427061.07,B4200,WWD West & Central Africa,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Guinea,1001142,0,WGM Sub-Saharan Africa,0.5,Canadian Profit Making,S4233,0,GN,0,Africa,15150,Civil Society,D4207,A020715001,Closed,11427061.07,B4200,WWD West & Central Africa,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Guinea,1000171,0,WGM Sub-Saharan Africa,0.15,Canadian Non-Profit Making,S4233,0,GN,0,Africa,31161,Civil Society,D4207,A020715001,Closed,11427061.07,B4200,WWD West & Central Africa,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Guinea,1001142,0,WGM Sub-Saharan Africa,0.15,Canadian Profit Making,S4233,0,GN,0,Africa,31161,Civil Society,D4207,A020715001,Closed,11427061.07,B4200,WWD West & Central Africa,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Guinea,1000171,0,WGM Sub-Saharan Africa,0.1,Canadian Non-Profit Making,S4233,0,GN,0,Africa,31166,Civil Society,D4207,A020715001,Closed,11427061.07,B4200,WWD West & Central Africa,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Guinea,1001142,0,WGM Sub-Saharan Africa,0.1,Canadian Profit Making,S4233,0,GN,0,Africa,31166,Civil Society,D4207,A020715001,Closed,11427061.07,B4200,WWD West & Central Africa,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Guinea,1000171,0,WGM Sub-Saharan Africa,0.15,Canadian Non-Profit Making,S4233,0,GN,0,Africa,31181,Civil Society,D4207,A020715001,Closed,11427061.07,B4200,WWD West & Central Africa,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Guinea,1001142,0,WGM Sub-Saharan Africa,0.15,Canadian Profit Making,S4233,0,GN,0,Africa,31181,Civil Society,D4207,A020715001,Closed,11427061.07,B4200,WWD West & Central Africa,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Guinea,1000171,0,WGM Sub-Saharan Africa,0.1,Canadian Non-Profit Making,S4233,0,GN,0,Africa,31191,Civil Society,D4207,A020715001,Closed,11427061.07,B4200,WWD West & Central Africa,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Guinea,1001142,0,WGM Sub-Saharan Africa,0.1,Canadian Profit Making,S4233,0,GN,0,Africa,31191,Civil Society,D4207,A020715001,Closed,11427061.07,B4200,WWD West & Central Africa,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Sri Lanka,1000136,0,OGM Asia Pacific,0.8,Canadian Non-Profit Making,S4141,1,LK,0,Asia,15150,Civil Society,D4100,A020790001,Closed,4308867.95,B4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Sri Lanka,1000136,0,OGM Asia Pacific,0.2,Canadian Non-Profit Making,S4141,1,LK,0,Asia,15160,Civil Society,D4100,A020790001,Closed,4308867.95,B4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Mali,10050,0,WGM Sub-Saharan Africa,1.0,Canadian Non-Profit Making,S4215,1,ML,0,Africa,11110,Governmental,D4207,A020891001,Closed,3063216.68,B4200,WWD West & Central Africa,Mali Program Section,0,4216,Mali,0.0,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Mali,Information not available,0,WGM Sub-Saharan Africa,1.0,Uncoded,S4215,1,ML,0,Africa,11110,Unknown,D4207,A020891001,Closed,3063216.68,B4200,WWD West & Central Africa,Mali Program Section,0,4216,Mali,0.0,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Mali,10050,0,WGM Sub-Saharan Africa,1.0,Canadian Non-Profit Making,S4215,0,ML,0,Africa,11130,Governmental,D4207,A020892001,Closed,16726210.87,B4200,WWD West & Central Africa,Mali Program Section,0,4216,Mali,16726210.87,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Mali,1001126,0,WGM Sub-Saharan Africa,1.0,Canadian Profit Making,S4215,0,ML,0,Africa,11130,Civil Society,D4207,A020892001,Closed,16726210.87,B4200,WWD West & Central Africa,Mali Program Section,0,4216,Mali,16726210.87,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Mali,1014203,0,WGM Sub-Saharan Africa,1.0,Canadian Profit Making,S4215,0,ML,0,Africa,11130,Civil Society,D4207,A020892001,Closed,16726210.87,B4200,WWD West & Central Africa,Mali Program Section,0,4216,Mali,16726210.87,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,South America,10050,0,NGM Americas,0.1,Canadian Non-Profit Making,S4413,1,UY,0,America,11220,Governmental,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,Information not available,0,NGM Americas,0.1,Uncoded,S4413,1,UY,0,America,11220,Unknown,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,10050,0,NGM Americas,0.08,Canadian Non-Profit Making,S4413,1,UY,0,America,12220,Governmental,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,Information not available,0,NGM Americas,0.08,Uncoded,S4413,1,UY,0,America,12220,Unknown,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,10050,0,NGM Americas,0.02,Canadian Non-Profit Making,S4413,1,UY,0,America,13030,Governmental,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,Information not available,0,NGM Americas,0.02,Uncoded,S4413,1,UY,0,America,13030,Unknown,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,10050,0,NGM Americas,0.8,Canadian Non-Profit Making,S4413,1,UY,0,America,15110,Governmental,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,Information not available,0,NGM Americas,0.8,Uncoded,S4413,1,UY,0,America,15110,Unknown,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,10050,0,NGM Americas,0.1,Canadian Non-Profit Making,S4413,1,AR,0,America,11220,Governmental,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,Information not available,0,NGM Americas,0.1,Uncoded,S4413,1,AR,0,America,11220,Unknown,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,10050,0,NGM Americas,0.08,Canadian Non-Profit Making,S4413,1,AR,0,America,12220,Governmental,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,Information not available,0,NGM Americas,0.08,Uncoded,S4413,1,AR,0,America,12220,Unknown,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,10050,0,NGM Americas,0.02,Canadian Non-Profit Making,S4413,1,AR,0,America,13030,Governmental,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,Information not available,0,NGM Americas,0.02,Uncoded,S4413,1,AR,0,America,13030,Unknown,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,10050,0,NGM Americas,0.8,Canadian Non-Profit Making,S4413,1,AR,0,America,15110,Governmental,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,Information not available,0,NGM Americas,0.8,Uncoded,S4413,1,AR,0,America,15110,Unknown,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,10050,0,NGM Americas,0.1,Canadian Non-Profit Making,S4413,1,CL,0,America,11220,Governmental,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,South America,Information not available,0,NGM Americas,0.1,Uncoded,S4413,1,CL,0,America,11220,Unknown,D4400,A020910001,Closed,1488850.78,B4400,NDD Americas Programming,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
