assay_type,assay_cell_type,cell_id,assay_test_type,assay_category,tissue_id,assay_strain,confidence_score,assay_tax_id,tid,src_id,curated_by,src_assay_id,variant_id,assay_id,assay_subcellular_fraction,doc_id,relationship_type,chembl_id,bao_format,assay_tissue,description,assay_organism
A,,,,,,,9,10116.0,100122,1,Expert,,,17,,11347,D,CHEMBL884521,BAO_0000357,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,Rattus norvegicus
B,,,,,,,8,,12054,1,Autocuration,,,18,,16474,H,CHEMBL615132,BAO_0000357,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),
B,,,,,,,8,,12054,1,Autocuration,,,19,,10091,H,CHEMBL615133,BAO_0000019,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,
B,,,,,,,8,,12054,1,Autocuration,,,20,,16474,H,CHEMBL615134,BAO_0000357,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),
B,,,,,,,8,,12054,1,Autocuration,,,21,,16474,H,CHEMBL615135,BAO_0000357,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),
B,,,,,,,8,,12054,1,Autocuration,,,22,,16474,H,CHEMBL615136,BAO_0000357,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),
B,,,,,,,8,,12054,1,Autocuration,,,23,,16474,H,CHEMBL615137,BAO_0000357,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,
B,,,,,,,8,,12054,1,Autocuration,,,24,,16474,H,CHEMBL615138,BAO_0000357,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,
B,,,,,,,0,,22226,1,Autocuration,,,25,,14352,U,CHEMBL836324,BAO_0000219,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",
B,,,,,,,8,9986.0,12054,1,Autocuration,,,26,,5646,H,CHEMBL615139,BAO_0000357,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,Oryctolagus cuniculus
B,,,,,,,8,9986.0,12054,1,Autocuration,,,27,,5646,H,CHEMBL615140,BAO_0000357,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),Oryctolagus cuniculus
B,,,,,,,8,,12426,1,Autocuration,,,28,,10997,H,CHEMBL615141,BAO_0000219,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,
B,,,,,,,8,3847.0,12054,1,Autocuration,,,29,,6309,H,CHEMBL615142,BAO_0000357,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,soya bean
B,,,,,,,8,3847.0,12054,1,Autocuration,,,30,,167,H,CHEMBL615143,BAO_0000357,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,Glycine max
B,,,,,,,8,3847.0,12054,1,Autocuration,,,31,,167,H,CHEMBL615144,BAO_0000357,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,Glycine max
B,,,,,,,8,3847.0,12054,1,Autocuration,,,32,,11087,H,CHEMBL872867,BAO_0000357,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,Glycine max
B,,,,,,,8,3847.0,12054,1,Autocuration,,,33,,11087,H,CHEMBL615145,BAO_0000357,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,Glycine max
B,,,,,,,8,3847.0,12054,1,Autocuration,,,34,,13622,H,CHEMBL615146,BAO_0000357,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,Glycine max
B,,,,,,,8,3847.0,12054,1,Autocuration,,,35,,13622,H,CHEMBL615147,BAO_0000357,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,Glycine max
A,,,,,,,0,10116.0,22226,1,Autocuration,,,36,,11347,U,CHEMBL615148,BAO_0000019,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,Rattus norvegicus
B,,,,,,,0,562.0,22226,1,Autocuration,,,37,,5926,U,CHEMBL615149,BAO_0000019,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,Escherichia coli
B,,,,,,,0,,22226,1,Autocuration,,,38,,4567,U,CHEMBL615150,BAO_0000019,,Dissociation constant with dimeric 16S rRNA RNA construct B,
B,,,,,,,3,,22222,1,Intermediate,,,39,,3782,M,CHEMBL615151,BAO_0000225,,Dissociation constant towards 16S rRNA construct A,
B,,,,,,,3,,22222,1,Intermediate,,,40,,3782,M,CHEMBL615152,BAO_0000225,,Dissociation constant towards 16S rRNA construct B,
B,,,,,,,3,562.0,100263,1,Expert,,,41,,4466,M,CHEMBL615153,BAO_0000225,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,Escherichia coli
B,,,,,,,3,562.0,100263,1,Expert,,,42,,6592,M,CHEMBL615154,BAO_0000225,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,Escherichia coli
B,,,,,,,8,,13053,1,Autocuration,,,43,,898,H,CHEMBL615155,BAO_0000019,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),
B,,,,,,,8,,13053,1,Autocuration,,,44,,898,H,CHEMBL615156,BAO_0000019,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),
B,,,,,,,8,9606.0,20001,1,Autocuration,,,45,,13163,H,CHEMBL615157,BAO_0000019,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,Homo sapiens
B,,,,,,,8,9606.0,20001,1,Autocuration,,,46,,13163,H,CHEMBL615158,BAO_0000019,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,Homo sapiens
B,,,,,,,9,10116.0,12971,1,Expert,,,47,,10691,D,CHEMBL615159,BAO_0000019,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",Rattus norvegicus
B,,,,,,,9,10116.0,12971,1,Expert,,,48,,10691,D,CHEMBL615172,BAO_0000019,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",Rattus norvegicus
B,,,,,,,9,10116.0,12971,1,Expert,,,49,,10691,D,CHEMBL615173,BAO_0000019,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",Rattus norvegicus
B,,,,,,,9,10116.0,12971,1,Expert,,,50,,10691,D,CHEMBL615174,BAO_0000019,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",Rattus norvegicus
B,,,,,,,8,,13053,1,Autocuration,,,51,,898,H,CHEMBL884518,BAO_0000019,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),
B,,,,,,,8,,11512,1,Autocuration,,,52,,912,H,CHEMBL615175,BAO_0000357,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),
B,,,,,,,8,,11512,1,Autocuration,,,53,,912,H,CHEMBL615176,BAO_0000357,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,
B,,,,,,,8,,11512,1,Autocuration,,,54,,912,H,CHEMBL615177,BAO_0000357,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,
B,,,,,,,5,10116.0,104740,1,Autocuration,,,55,Membranes,15103,D,CHEMBL615178,BAO_0000249,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,Rattus norvegicus
F,1A9,506.0,,,,,1,9606.0,80002,1,Intermediate,,,56,,5116,N,CHEMBL615179,BAO_0000219,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,Homo sapiens
F,Oocytes,,,,,,7,10116.0,104835,1,Autocuration,,,57,,14578,D,CHEMBL615180,BAO_0000219,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,Rattus norvegicus
F,Oocytes,,,,,,7,10116.0,104821,1,Autocuration,,,58,,14578,D,CHEMBL615181,BAO_0000219,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,Rattus norvegicus
F,Oocytes,,,,,,7,10116.0,104848,1,Autocuration,,,59,,14578,D,CHEMBL615182,BAO_0000219,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,Rattus norvegicus
F,1A9,506.0,,,,,1,9606.0,80002,1,Expert,,,60,,4787,N,CHEMBL615183,BAO_0000219,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,Homo sapiens
F,1A9,506.0,,,,,1,9606.0,80002,1,Intermediate,,,61,,4787,N,CHEMBL615184,BAO_0000219,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,Homo sapiens
F,1A9,506.0,,,,,1,9606.0,80002,1,Intermediate,,,62,,3547,N,CHEMBL615185,BAO_0000219,,Cytotoxic activity against human ovarian cancer (1A9) cell line,Homo sapiens
F,1A9,506.0,,,,,1,9606.0,80002,1,Intermediate,,,63,,3547,N,CHEMBL615186,BAO_0000219,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,Homo sapiens
F,1A9,506.0,,,,,1,9606.0,80002,1,Intermediate,,,64,,6726,N,CHEMBL615187,BAO_0000219,,Effective dose of compound against replication of 1A9 cell line was evaluated,Homo sapiens
F,1A9,506.0,,,,,1,9606.0,80002,1,Expert,,,65,,3455,N,CHEMBL885343,BAO_0000219,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,Homo sapiens
F,1A9,506.0,,,,,1,9606.0,80002,1,Intermediate,,,66,,5726,N,CHEMBL615188,BAO_0000219,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),Homo sapiens
F,1A9,506.0,,,,,1,9606.0,80002,1,Intermediate,,,67,,5726,N,CHEMBL615189,BAO_0000219,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,Homo sapiens
F,1A9,506.0,,,,,1,9606.0,80002,1,Intermediate,,,68,,5726,N,CHEMBL615190,BAO_0000219,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,Homo sapiens
F,1A9,506.0,,,,,1,9606.0,80002,1,Intermediate,,,69,,3395,N,CHEMBL615191,BAO_0000219,,Inhibitory activity against Taxol resistant 1A9 cell lines,Homo sapiens
F,1A9,506.0,,,,,1,9606.0,80002,1,Expert,,,70,,3415,N,CHEMBL615192,BAO_0000219,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,Homo sapiens
F,1A9,506.0,,,,,1,9606.0,80002,1,Expert,,,71,,3415,N,CHEMBL827083,BAO_0000219,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,Homo sapiens
F,1A9,506.0,,,,,1,9606.0,80002,1,Expert,,,72,,17099,N,CHEMBL615193,BAO_0000219,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,Homo sapiens
F,1A9,506.0,,,,,1,9606.0,80002,1,Intermediate,,,73,,17099,N,CHEMBL615194,BAO_0000219,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,Homo sapiens
F,1A9,506.0,,,,,1,9606.0,80002,1,Intermediate,,,74,,17099,N,CHEMBL615195,BAO_0000219,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,Homo sapiens
F,1A9,506.0,,,,,1,9606.0,80002,1,Intermediate,,,75,,17099,N,CHEMBL615196,BAO_0000219,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,Homo sapiens
F,Jurkat,503.0,,,,,1,9606.0,81072,1,Intermediate,,,76,,17721,N,CHEMBL615197,BAO_0000219,,Inhibitory concentration against Jurkat cells,Homo sapiens
F,,,,,,,0,,22226,1,Intermediate,,,77,,1229,U,CHEMBL615198,BAO_0000019,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,
A,,,,,,,9,10116.0,100121,1,Expert,,,78,,11347,D,CHEMBL615199,BAO_0000357,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,Rattus norvegicus
B,,,,,,,8,,11231,1,Expert,,,79,,17117,H,CHEMBL615200,BAO_0000357,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",
B,,,,,,,8,,11231,1,Expert,,,80,,17117,H,CHEMBL615201,BAO_0000357,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",
B,,,,,,,8,,11231,1,Expert,,,81,,17117,H,CHEMBL615202,BAO_0000357,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",
B,,,,,,,8,5476.0,11231,1,Autocuration,,,82,Microsomes,11375,H,CHEMBL615203,BAO_0000251,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",Candida albicans
B,,,,,,,8,5476.0,11231,1,Autocuration,,,83,Microsomes,11375,H,CHEMBL615204,BAO_0000251,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",Candida albicans
B,,,,,,,8,4932.0,11231,1,Autocuration,,,84,Microsomes,11375,H,CHEMBL615205,BAO_0000251,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",Saccharomyces cerevisiae
B,,,,,,,8,4932.0,11231,1,Autocuration,,,85,Microsomes,11375,H,CHEMBL615206,BAO_0000251,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",Saccharomyces cerevisiae
B,,,,,2107.0,,8,9823.0,12083,1,Autocuration,,,86,Microsomes,11375,H,CHEMBL615207,BAO_0000251,Liver,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",Sus scrofa
B,,,,,,,8,10116.0,11231,1,Autocuration,,,87,,791,H,CHEMBL827084,BAO_0000019,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",Rattus norvegicus
B,,,,,,,8,10116.0,11231,1,Autocuration,,,88,,791,H,CHEMBL615208,BAO_0000019,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",Rattus norvegicus
B,,,,,,,8,10116.0,11231,1,Autocuration,,,89,,791,H,CHEMBL615209,BAO_0000019,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",Rattus norvegicus
B,,,,,2107.0,,9,10116.0,12083,1,Autocuration,,,90,Microsomes,11375,D,CHEMBL615210,BAO_0000251,Liver,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",Rattus norvegicus
B,,,,,2107.0,,9,10116.0,12083,1,Autocuration,,,91,Microsomes,11375,D,CHEMBL615211,BAO_0000251,Liver,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Rattus norvegicus
B,,,,,2107.0,,9,10116.0,12083,1,Autocuration,,,92,Microsomes,153,D,CHEMBL615212,BAO_0000251,Liver,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Rattus norvegicus
B,,,,,,,8,,11377,1,Expert,,,93,,8269,H,CHEMBL615213,BAO_0000357,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),
B,,,,,,,8,,11377,1,Expert,,,94,,8269,H,CHEMBL615273,BAO_0000357,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,
F,HepG2,726.0,,,,,1,9606.0,81020,1,Expert,,,95,,17653,N,CHEMBL615274,BAO_0000219,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,Homo sapiens
F,HepG2,726.0,,,,,1,9606.0,81020,1,Intermediate,,,96,,14277,N,CHEMBL615275,BAO_0000219,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,Homo sapiens
F,HepG2,726.0,,,,,1,9606.0,81020,1,Intermediate,,,97,,1717,N,CHEMBL615276,BAO_0000219,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,Homo sapiens
F,HepG2,726.0,,,,,1,9606.0,81020,1,Intermediate,,,98,,14091,N,CHEMBL615277,BAO_0000219,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,Homo sapiens
F,HepG2,726.0,,,,,1,9606.0,81020,1,Intermediate,,,99,,14091,N,CHEMBL615326,BAO_0000219,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,Homo sapiens
F,,,,,,,1,10407.0,50606,1,Expert,,,100,,17653,N,CHEMBL883130,BAO_0000218,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,Hepatitis B virus
F,HepG2,726.0,,,,,1,9606.0,81020,1,Intermediate,,,101,,13105,N,CHEMBL884519,BAO_0000219,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,Homo sapiens
F,HepG2,726.0,,,,,1,9606.0,81020,1,Intermediate,,,102,,1717,N,CHEMBL615327,BAO_0000219,,Concentration required to inhibit 50% of 2.2.15 cell line,Homo sapiens
A,HepG2,726.0,,,,,1,9606.0,81020,1,Intermediate,,,103,,13105,N,CHEMBL615328,BAO_0000219,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,Homo sapiens
F,2.2.15,,,,,,1,9606.0,50587,1,Intermediate,,,104,,13600,N,CHEMBL615329,BAO_0000218,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,Homo sapiens
F,2.2.15,,,,,,1,9606.0,50587,1,Intermediate,,,105,,13467,N,CHEMBL615330,BAO_0000218,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,Homo sapiens
F,2.2.15,,,,,,1,10407.0,50606,1,Expert,,,106,,17477,N,CHEMBL615331,BAO_0000218,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",Hepatitis B virus
F,2.2.15,,,,,,1,9606.0,50587,1,Intermediate,,,107,,1593,N,CHEMBL615332,BAO_0000218,,In vitro anti-HBV activity in 2.2.15 cells,Homo sapiens
F,2.2.15,,,,,,1,9606.0,50587,1,Intermediate,,,108,,1593,N,CHEMBL615333,BAO_0000218,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,Homo sapiens
F,2.2.15,,,,,,1,9606.0,50587,1,Intermediate,,,109,,15089,N,CHEMBL615334,BAO_0000218,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,Homo sapiens
F,2.2.15,,,,,,1,9606.0,50587,1,Intermediate,,,110,,15089,N,CHEMBL615335,BAO_0000218,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,Homo sapiens
F,2.2.15,,,,,,1,9606.0,50587,1,Intermediate,,,111,,1593,N,CHEMBL615336,BAO_0000218,,Cytotoxicity in 2.2.15 cells,Homo sapiens
F,2.2.15,,,,,,1,9606.0,50587,1,Intermediate,,,112,,1593,N,CHEMBL615337,BAO_0000218,,Cytotoxicity in 2.2.15 cells; Not determined,Homo sapiens
F,2.2.15,,,,,,1,9606.0,50587,1,Intermediate,,,113,,13600,N,CHEMBL615338,BAO_0000218,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,Homo sapiens
F,2.2.15,,,,,,1,9606.0,50587,1,Intermediate,,,114,,13467,N,CHEMBL615339,BAO_0000218,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,Homo sapiens
F,2.2.15,,,,,,1,9606.0,50587,1,Intermediate,,,115,,13467,N,CHEMBL615340,BAO_0000218,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,Homo sapiens
F,HepG2,726.0,,,,,1,9606.0,81020,1,Intermediate,,,116,,14764,N,CHEMBL615341,BAO_0000219,,Antiviral activity against HBV was determined in 2.215 cell line,Homo sapiens
B,,,,,,,0,9606.0,22226,1,Autocuration,,,117,Microsomes,6531,U,CHEMBL615342,BAO_0000251,,Inhibition of 20-HETE synthesis in human renal microsomes,Homo sapiens
B,,,,,,,0,,22226,1,Autocuration,,,118,,17322,U,CHEMBL615343,BAO_0000019,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,
F,2008,388.0,,,,,1,9606.0,80612,1,Intermediate,,,119,,17072,N,CHEMBL615344,BAO_0000219,,Inhibitory concentration against 2008 (ovarian) cells,Homo sapiens
F,2008,388.0,,,,,1,9606.0,80612,1,Intermediate,,,120,,16936,N,CHEMBL615345,BAO_0000219,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,Homo sapiens
F,2008,388.0,,,,,1,9606.0,80612,1,Intermediate,,,121,,16936,N,CHEMBL615346,BAO_0000219,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),Homo sapiens
F,2008,388.0,,,,,1,9606.0,80612,1,Intermediate,,,122,,17146,N,CHEMBL615347,BAO_0000219,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,Homo sapiens
F,2008,388.0,,,,,1,9606.0,80612,1,Intermediate,,,123,,17146,N,CHEMBL615348,BAO_0000219,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,Homo sapiens
F,2008/R,561.0,,,,,1,9606.0,80613,1,Intermediate,,,124,,10797,N,CHEMBL827085,BAO_0000219,,In vitro inhibition of 2008/R ovarian cancer cell line,Homo sapiens
F,2008/R,561.0,,,,,1,9606.0,80613,1,Intermediate,,,125,,10797,N,CHEMBL615349,BAO_0000219,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,Homo sapiens
F,2008/S,389.0,,,,,1,9606.0,80614,1,Intermediate,,,126,,10797,N,CHEMBL615350,BAO_0000219,,In vitro inhibition of 2008/S ovarian cancer cell line,Homo sapiens
F,2008/S,389.0,,,,,1,9606.0,80614,1,Intermediate,,,127,,10797,N,CHEMBL615351,BAO_0000219,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,Homo sapiens
B,,,,,,,2,9606.0,100256,1,Expert,,,128,,4823,S,CHEMBL615352,BAO_0000220,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,Homo sapiens
B,,,,,,,2,9606.0,100256,1,Intermediate,,,129,,12912,S,CHEMBL615353,BAO_0000220,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,Homo sapiens
B,,,,,,,2,,100256,1,Expert,,,130,,2957,S,CHEMBL615354,BAO_0000220,,Inhibition of chymotrypsin-like activity of 20S proteasome,
B,,,,,,,2,,100256,1,Expert,,,131,,2957,S,CHEMBL615355,BAO_0000220,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,
B,,,,,,,2,,100256,1,Intermediate,,,132,,3260,S,CHEMBL615356,BAO_0000220,,Inhibitory activity against 20S proteosome,
B,,,,,,,0,9606.0,22226,1,Autocuration,,,133,,3451,U,CHEMBL615357,BAO_0000019,,Compound was tested for inhibitory activity against tryptase,Homo sapiens
F,HepG2,726.0,,,,,1,9606.0,81020,1,Intermediate,,,134,,13885,N,CHEMBL615358,BAO_0000219,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,Homo sapiens
F,HepG2,726.0,,,,,1,9606.0,81020,1,Intermediate,,,135,,13885,N,CHEMBL827086,BAO_0000219,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,Homo sapiens
B,,,,,,,0,,22226,1,Autocuration,,,136,,3676,U,CHEMBL615359,BAO_0000019,,Compound was tested for the inhibition of Alpha-glucosidase,
B,,,,,,,8,,235,1,Autocuration,,,137,,6043,H,CHEMBL615360,BAO_0000357,,Inhibitory concentration against human neutrophil elastase (HNE),
F,,,,,948.0,,0,10116.0,22226,1,Autocuration,,,138,,11140,U,CHEMBL615361,BAO_0000218,Heart,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,Rattus norvegicus
