title,year,id,venue,authors
efficient and tunable similar set retrieval,2001,89,sigmod conference,"dimitrios gunopulos , aristides gionis , nick koudas"
fast and accurate text classification via multiple linear discriminant projections,2002,90,vldb,"mahesh v. soundalgekar , soumen chakrabarti , shourya roy"
"business process coordination : state of the art , trends , and open issues",2001,91,vldb,"meichun hsu , rivka ladin , umeshwar dayal"
work and information practices in the sciences of biodiversity,2000,92,vldb,geoffrey c. bowker
data modeling of time-based media,1994,93,sigmod conference,"simon j. gibbs , christian breiteneder , dennis tsichritzis"
space optimization in deductive databases,1995,94,acm trans . database syst .,"s. sudarshan , divesh srivastava , raghu ramakrishnan , jeffrey f. naughton"
chair 's message,2000,95,sigmod record,richard t. snodgrass
trade press news - announcement and preface,1994,96,sigmod record,rafael alonso
improving index performance through prefetching,2001,97,sigmod conference,"shimin chen , todd c. mowry , phillip b. gibbons"
new programs at darpa and nsf,1996,98,sigmod record,xiaolei qian
investigation of algebraic query optimisation techniques for database programming languages,1994,99,vldb,"alexandra poulovassilis , carol small"
"physical data independence , constraints , and optimization with universal plans",1999,100,vldb,"lucian popa , alin deutsch , val tannen"
an adaptive query execution system for data integration,1999,101,sigmod conference,"daniel s. weld , alon y. levy , marc friedman , zachary g. ives , daniela florescu"
the semantic web paving the way to the knowledge society,2001,102,vldb,pierre-paul sondag
parallel algorithms for high-dimensional similarity joins for data mining applications,1997,103,vldb,"rakesh agrawal , john c. shafer"
path sharing and predicate evaluation for high-performance xml filtering,2003,104,acm trans . database syst .,"yanlei diao , hao zhang , peter m. fischer , michael j. franklin , mehmet altinel"
processing set expressions over continuous update streams,2003,105,sigmod conference,"sumit ganguly , minos n. garofalakis , rajeev rastogi"
performance measurements of compressed bitmap indices,1999,106,vldb,theodore johnson
hierarchical prefix cubes for range-sum queries,1999,107,vldb,"chee yong chan , yannis e. ioannidis"
removing permissions in the flexible authorization framework,2003,108,acm trans . database syst .,"åsa hagström , duminda wijesekera , francesco parisi-presicce , sushil jajodia"
ariadne : a system for constructing mediators for internet sources,1998,109,sigmod conference,"ion muslea , greg barish , andrew philpot , craig a. knoblock , steven minton , josé luis ambite , pragnesh jay modi , sheila tejada , naveen ashish"
multiway spatial joins,2001,110,acm trans . database syst .,"dimitris papadias , nikos mamoulis"
implementing data cubes efficiently,1996,111,sigmod conference,"anand rajaraman , jeffrey d. ullman , venky harinarayan"
recent design trade-offs in sql3,1994,112,sigmod record,"nelson mendonça mattos , linda g. demichiel"
sqlj-part 1 : sql routines using the java programming language,1999,113,sigmod record,"andrew eisenberg , jim melton"
similarity-based queries for time series data,1997,114,sigmod conference,"alberto o. mendelzon , davood rafiei"
"a distributed scientific data archive using the web , xml and sql/med",1999,115,sigmod record,"alistair n. dunlop , jasmin l. wason , denis a. nicole , mark papiani"
viator - a tool family for graphical networking and data view creation,2002,116,vldb,"katja tham , axel kilian , dieter merkel , peter rieger , stephan heymann , gunnar wegner , johann christoph freytag"
information warfare and security - book review,2001,117,sigmod record,h. v. jagadish
the persistent cache : improving oid indexing in temporal object-oriented database systems,1999,118,vldb,kjetil nørvåg
estimating the selectivity of spatial queries using the ` correlation ' fractal dimension,1995,119,vldb,"christos faloutsos , alberto belussi"
semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution,1999,120,vldb j.,"dennis mcleod , goksel aslan"
performance evaluation of a new distributed deadlock detection algorithm,1994,121,sigmod record,"chim-fu yeung , kam-yiu lam , sheung-lun hung"
sql and management of external data,2001,122,sigmod record,"jan-eike michels , jim melton , krishna g. kulkarni , peter m. schwarz , kathy zeidenstein , vanja josifovski"
"aquery : query language for ordered data , optimization techniques , and experiments",2003,123,vldb,"alberto lerner , dennis shasha"
resource scheduling in enhanced pay-per-view continuous media databases,1997,124,vldb,"banu özden , minos n. garofalakis , abraham silberschatz"
review : a real time virtual walkthrough system,2001,125,sigmod conference,"yixin ruan , zhiyong huang , kian-lee tan , jason chionh , lidan shou"
a modified random perturbation method for database security,1994,126,acm trans . database syst .,"norman s. matloff , patrick tendick"
managing web data,1999,127,sigmod conference,dan suciu
loading the data warehouse across various parallel architectures,1996,128,vldb,vijay v. raghavan
hodfa : an architectural framework for homogenizing heterogeneous legacy database,1995,129,sigmod record,"qing li , kamalakar karlapalem , chung-dak shum"
"database tuning : principles , experiments , and troubleshooting techniques",2002,130,vldb,"philippe bonnet , dennis shasha"
reminiscences an influential papers,2003,131,sigmod record,"jeffrey f. naughton , minos n. garofalakis , kenneth a. ross"
application of oodb and sgml techniques in text database : an electronic dictionary system,1995,132,sigmod record,jian zhang
java and relational databases : sqlj ( tutorial ),1998,133,sigmod conference,"johannes klein , richard pledereder , gray clossman , brian becker , phil shaw , mark hapner"
covering indexes for branching path queries,2002,134,sigmod conference,"raghav kaushik , henry f. korth , jeffrey f. naughton , philip bohannon"
semint : a system prototype for semantic integration in heterogeneous databases,1995,135,sigmod conference,"wen-syan li , chris clifton"
career-enhancing services at sigmod online,2001,136,sigmod record,"alexandros labrinidis , alberto o. mendelzon"
revisiting commit processing in distributed database systems,1997,137,sigmod conference,"krithi ramamritham , jayant r. haritsa , ramesh gupta"
type-checking oql queries in the odmg type systems,1999,138,acm trans . database syst .,suad alagic
things every update replication customer should know,1995,139,sigmod conference,rob golding
in memory of gísli r. hjaltason,2003,140,sigmod record,björn þór jónsson
query optimization by predicate move-around,1994,141,vldb,"inderpal singh mumick , alon y. levy , yehoshua sagiv"
catching the boat with strudel : experiences with a web-site management system,1998,142,sigmod conference,"jaewoo kang , dan suciu , alon y. levy , daniela florescu , mary f. fernandez"
adaptable query optimization and evaluation in temporal middleware,2001,143,sigmod conference,"christian s. jensen , richard t. snodgrass , giedrius slivinskas"
birch : an efficient data clustering method for very large databases,1996,144,sigmod conference,"raghu ramakrishnan , miron livny , tian zhang"
time-parameterized queries in spatio-temporal databases,2002,145,sigmod conference,"dimitris papadias , yufei tao"
scalable parallel data mining for association rules,1997,146,sigmod conference,"eui-hong han , vipin kumar , george karypis"
an algebraic approach to static analysis of active database rules,2000,147,acm trans . database syst .,"jennifer widom , elena baralis"
os support for vldbs : unix enhancements for the teradata data base,1995,148,vldb,"sorana rabinovici , john catozzi"
dwarf : shrinking the petacube,2002,149,sigmod conference,"yannis kotidis , yannis sismanis , antonios deligiannakis , nick roussopoulos"
thinksheet : a tool for tailoring complex documents,1996,150,sigmod conference,"dao-i lin , peter piatko , roman yangarber , dennis shasha"
on-line reorganization of sparsely-populated b + trees,1996,151,sigmod conference,"betty salzberg , chendong zou"
handling very large databases with informix extended parallel server,2000,152,sigmod conference,andreas weininger
including group-by in query optimization,1994,153,vldb,"surajit chaudhuri , kyuseok shim"
value-cognizant speculative concurrency control,1995,154,vldb,"azer bestavros , spyridon braoudakis"
data mining : practical machine learning tools and techniques - book review,2002,155,sigmod record,james geller
report on the 8th international workshop on knowledge representation meets databases ( krdb ),2001,156,sigmod record,"dan suciu , maurizio lenzerini , daniele nardi , werner nutt"
starts : stanford proposal for internet meta-searching ( experience paper ),1997,157,sigmod conference,"hector garcia-molina , luis gravano , kevin chen-chuan chang , andreas paepcke"
the x-tree : an index structure for high-dimensional data,1996,158,vldb,"hans-peter kriegel , stefan berchtold , daniel a. keim"
eliminating fuzzy duplicates in data warehouses,2002,159,vldb,"rohit ananthakrishna , venkatesh ganti , surajit chaudhuri"
a database striptease or how to manage your personal databases,2003,160,vldb,"michael j. franklin , surajit chaudhuri , alejandro p. buchmann , gerhard weikum , daniel a. keim , martin l. kersten"
an ebxml infrastructure implementation through uddi registries and rosettanet pips,2002,161,sigmod conference,"yildiray kabak , gokce laleci , sait pektas , serkan toprak , yusuf tambag , gokhan kurt , asuman dogac , pinar pembecioglu"
temporal database system implementations,1995,162,sigmod record,michael h. böhlen
xsearch : a semantic search engine for xml,2003,163,vldb,"yaron kanza , yehoshua sagiv , sara cohen , jonathan mamou"
opossum : desk-top schema management through customizable visualization,1995,164,vldb,"miron livny , eben m. haber , yannis e. ioannidis"
atomicity and isolation for transactional processes,2002,165,acm trans . database syst .,"hans-jörg schek , gustavo alonso , heiko schuldt , catriel beeri"
logical logging to extend recovery to new domains,1999,166,sigmod conference,"david b. lomet , mark r. tuttle"
the impress ddt : a database design toolbox based on a formal specification language,1994,167,sigmod conference,"jacek skowronek , maurice van keulen , jan flokstra"
online aggregation,1997,168,sigmod conference,"helen j. wang , peter j. haas , joseph m. hellerstein"
"semi-automatic , self-adaptive control of garbage collection rates in object databases",1996,169,sigmod conference,"artur klauser , alexander l. wolf , benjamin g. zorn , jonathan e. cook"
a single pass computing engine for interactive analysis of vldbs,1998,170,vldb,ted mihalisin
fast nearest neighbor search in medical image databases,1996,171,vldb,"zenon protopapas , christos faloutsos , eliot siegel , flip korn , nikolaos sidiropoulos"
metadata for digital media : introduction to the special issue,1994,172,sigmod record,"amit p. sheth , wolfgang klas"
"in reply to domains , relations and religious wars",1996,173,sigmod record,hugh darwen
bank of america case study : the information currency advantage,1998,174,vldb,"mark jahnke , felipe cariño"
tree pattern query minimization,2002,175,vldb j.,"divesh srivastava , sungran cho , laks v. s. lakshmanan , sihem amer-yahia"
fine-grained sharing in a page server oodbms,1994,176,sigmod conference,"michael j. carey , markos zaharioudakis , michael j. franklin"
adept : an agent-based approach to business process management,1998,177,sigmod record,"timothy j. norman , nicholas r. jennings , peyman faratin"
introduction to the career forum column,2001,178,sigmod record,alexandros labrinidis
image mining in iris : integrated retinal information system,2000,179,sigmod conference,"kheng guan goh , wynne hsu , mong-li lee"
enterprise information architectures -- they 're finally changing,1994,180,sigmod conference,wesley p. melling
integrating information for on demand computing,2003,181,vldb,nelson mendonça mattos
thémis : a database programming language handling integrity constraints,1995,182,vldb j.,"anne doucet , véronique benzaken"
an introduction to deductive database languages and systems,1994,183,vldb j.,"kotagiri ramamohanarao , james harland"
information management challenges from the aerospace industry,2002,184,vldb,suryanarayana m. sripada
state of the art in workflow management research and products,1996,185,sigmod conference,c. mohan
videoanywhere : a system for searching and managing distributed video assets,1999,186,sigmod record,"amit p. sheth , kshitij shah , clemens bertram"
phoenix project : fault-tolerant applications,2002,187,sigmod record,"roger s. barga , david b. lomet"
cluster validity methods : part i,2002,188,sigmod record,"michalis vazirgiannis , yannis batistakis , maria halkidi"
directv and oracle rdb : the challenges of vldb transaction processing,1995,189,sigmod conference,william l. gettys
ensuring relaxed atomicity for flexible transactions in multidatabase systems,1994,190,sigmod conference,"bharat k. bhargava , aidong zhang , marian h. nodine , omran a. bukhres"
"replication , consistency , and practicality : are these mutually exclusive ?",1998,191,sigmod conference,"avishai wool , henry f. korth , yuri breitbart , todd a. anderson"
a-topss - a publish/subscribe system supporting approximate matching,2002,192,vldb,"hans-arno jacobsen , haifeng liu"
searching in metric spaces with user-defined and approximate distances,2002,193,acm trans . database syst .,"marco patella , paolo ciaccia"
algorithms for deferred view maintenance,1996,194,sigmod conference,"leonid libkin , inderpal singh mumick , latha s. colby , howard trickey , timothy griffin"
design and development of a stream service in a heterogenous client environment,2000,195,vldb,"stavros christodoulakis , nikos pappas"
cougar : the network is the database,2002,196,sigmod conference,"wai fu fung , david sun , johannes gehrke"
the data that you wo n't find in databases : tutorial panel on data exchange formats,1995,197,sigmod conference,"david maier , peter buneman"
effective timestamping in databases,2000,198,vldb j.,"christian s. jensen , kristian torp , richard t. snodgrass"
silkroute : a framework for publishing relational data in xml,2002,199,acm trans . database syst .,"dan suciu , yana kadiyska , wang chiew tan , mary f. fernandez , atsuyuki morishima"
the tpr * - tree : an optimized spatio-temporal access method for predictive queries,2003,200,vldb,"dimitris papadias , jimeng sun , yufei tao"
editor 's notes,1996,201,sigmod record,jennifer widom
mapping adaptation under evolving schemas,2003,202,vldb,"yannis velegrakis , lucian popa , renée j. miller"
the nd-tree : a dynamic indexing technique for multidimensional non-ordered discrete data spaces,2003,203,vldb,"gang qian , qiang xue , sakti pramanik , qiang zhu"
transactional publish / subscribe : the proactive multicast of database changes,1998,204,sigmod conference,arvola chan
exploiting constraint-like data characterizations in query optimization,2001,205,sigmod conference,"jarek gryz , calisto zuzarte , parke godfrey"
metu interoperable database system,1996,206,sigmod conference,"sema mancuhan , ismailcem budak arpinar , fatma ozcan , pinar koksal , asuman dogac , gökhan özhan , cevdet dengi , ugur halici , cem evrendilek , sena nural , ebru kilic"
clustering techniques for minimizing external path length,1996,207,vldb,"a. a. diwan , s. sudarshan , sanjeeva rane , s. seshadri"
the national medical knowledge bank,1998,208,vldb,warren sterling
guest editorial,2003,209,vldb j.,"vijay atluri , anupam joshi , yelena yesha"
report on fqas 2002 : fifth international conference on flexible query answering systems,2003,210,sigmod record,"amihai motro , troels andreasen"
an automated system for web portal personalization,2002,211,vldb,"philip s. yu , charu c. aggarwal"
webfilter : a high-throughput xml-based publish and subscribe system,2001,212,vldb,"françoise fabret , dennis shasha , hans-arno jacobsen , françois llirbat , joão pereira"
ogdi : toward interoperability among geospatial databases,1997,213,sigmod record,"denis gouin , henry kucera , christian larouche , gilles clement , paul morin"
editor 's notes,2000,214,sigmod record,michael j. franklin
dimensionality reduction for similarity searching in dynamic databases,1998,215,sigmod conference,"ambuj k. singh , kothuri venkata ravi kanth , divyakant agrawal"
push technology personalization through event correlation,2000,216,vldb,"asaf adi , david botzer , tali yatzkar-haham , opher etzion"
oracle industrial exhibit,1998,217,vldb,amy pogue
a one-pass algorithm for accurately estimating quantiles for disk-resident data,1997,218,vldb,"khaled alsabti , vineet singh , sanjay ranka"
editor 's notes,2001,219,sigmod record,ling liu
translating web data,2002,220,vldb,"renée j. miller , ronald fagin , yannis velegrakis , mauricio a. hernández , lucian popa"
repository system engineering,1996,221,sigmod conference,philip a. bernstein
sigmod sister societies,2000,222,sigmod record,"z. meral özsoyoglu , stefano ceri , victor vianu , masaru kitsuregawa , leonid a. kalinichenko , hongjun lu , richard t. snodgrass"
semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems,2001,223,vldb j.,"michael gertz , can türker"
"adaptable pointer swizzling strategies in object bases : design , realization , and quantitative analysis",1995,224,vldb j.,"alfons kemper , donald kossmann"
implementing xquery,2002,225,sigmod conference,paul cotton
mining surprising patterns using temporal description length,1998,226,vldb,"soumen chakrabarti , byron dom , sunita sarawagi"
continually evaluating similarity-based pattern queries on a streaming time series,2002,227,sigmod conference,"like gao , xiaoyang sean wang"
efficient approximation of optimization queries under parametric aggregation constraints,2003,228,vldb,"dimitrios gunopulos , nick koudas , divesh srivastava , michail vlachos , sudipto guha"
the aditi deductive database system,1994,229,vldb j.,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi"
on random sampling over joins,1999,230,sigmod conference,"vivek r. narasayya , surajit chaudhuri , rajeev motwani"
feedbackbypass : a new approach to interactive similarity query processing,2001,231,vldb,"paolo ciaccia , florian waas , ilaria bartolini"
a multimedia presentation algebra,1999,232,sigmod conference,"maria luisa sapino , sibel adali , v. s. subrahmanian"
a structured approach for the definition of the semantics of active databases,1995,233,acm trans . database syst .,"letizia tanca , piero fraternali"
fast algorithms for mining association rules in large databases,1994,234,vldb,"ramakrishnan srikant , rakesh agrawal"
"large-scale , standards-based earth observation imagery and web mapping services",2003,235,vldb,peter baumann
combinatorial pattern discovery for scientific data : some preliminary results,1994,236,sigmod conference,"kaizhong zhang , jason tsong-li wang , bruce a. shapiro , thomas g. marr , gung-wei chirn , dennis shasha"
partition based spatial-merge join,1996,237,sigmod conference,"david j. dewitt , jignesh m. patel"
webservice composition with o'grape and osiris,2003,238,vldb,"christoph schuler , hans-jörg schek , patrick neukomm , roger weber , heiko schuldt"
optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering,1999,239,vldb,"daniel a. keim , alexander hinneburg"
the database group at university of hagen ( fernuniversitaet ),1995,240,sigmod record,"silke mittrach , gunter schlageter , thomas berkel , andreas scherer , eberhard heuel , wolfgang wilkes"
extended wavelets for multiple measures,2003,241,sigmod conference,"antonios deligiannakis , nick roussopoulos"
business modelling using sql spreadsheets,2003,242,vldb,"nathan folkert , abhinav gupta , andrew witkowski , srikanth bellamkonda , lei sheng , tolga bozkaya , sankar subramanian"
optimal multi-step k-nearest neighbor search,1998,243,sigmod conference,"thomas seidl , hans-peter kriegel"
"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",2002,244,sigmod conference,charu c. aggarwal
an experimental system for object-based sharing in federated databases,1996,245,vldb j.,"shahram ghandeharizadeh , doug fang"
the lotus notes storage system,1995,246,sigmod conference,kenneth moore
schema-driven customization of web services,2003,247,vldb,"bernd amann , serge abiteboul , jérôme baumgarten , omar benjelloun , tova milo , frederic dang ngoc"
evaluation of remote backup algorithms for transaction-processing systems,1994,248,acm trans . database syst .,"christos a. polyzois , hector garcia-molina"
using schematically heterogeneous structures,1998,249,sigmod conference,renée j. miller
generalised hash teams for join and group-by,1999,250,vldb,"donald kossmann , alfons kemper , christian wiesner"
"tpc-ds , taking decision support benchmarking to the next level",2002,251,sigmod conference,"bryan smith , meikel pöss , lubor kollár , per-åke larson"
heterogeneous database query optimization in db2 universal datajoiner,1998,252,vldb,"shivakumar venkataraman , tian zhang"
processing object-oriented queries with invertible late bound functions,1995,253,vldb,"tore risch , staffan flodin"
combining fuzzy information : an overview,2002,254,sigmod record,ronald fagin
"nexusscout : an advanced location-based application on a distributed , open mediation platform",2003,255,vldb,"matthias großmann , thomas schwarz , daniela nicklas"
incremental clustering for mining in a data warehousing environment,1998,256,vldb,"xiaowei xu , michael wimmer , jörg sander , martin ester , hans-peter kriegel"
efficient similarity search and classification via rank aggregation,2003,257,sigmod conference,"ravi kumar , d. sivakumar , ronald fagin"
using extended feature objects for partial similarity retrieval,1997,258,vldb j.,"hans-peter kriegel , stefan berchtold , daniel a. keim"
composing web services on the semantic web,2003,259,vldb j.,"athman bouguettaya , brahim medjahed , ahmed k. elmagarmid"
irisnet : internet-scale resource-intensive sensor services,2003,260,sigmod conference,"amol deshpande , suman kumar nath , phillip b. gibbons , srinivasan seshan"
range queries in olap data cubes,1997,261,sigmod conference,"ching-tien ho , rakesh agrawal , nimrod megiddo , ramakrishnan srikant"
a characterization of the sensitivity of query optimization to storage access cost parameters,2003,262,sigmod conference,"tapas kanungo , frederick reiss"
online dynamic reordering for interactive data processing,1999,263,vldb,"bhaskaran raman , joseph m. hellerstein , vijayshankar raman"
