assay_id,description,curated_by,assay_tax_id,src_assay_id,assay_type,assay_strain,bao_format,doc_id,assay_subcellular_fraction,cell_id,src_id,chembl_id,assay_cell_type,assay_category,assay_organism,assay_test_type,assay_tissue,tid
14,Thecompoinewastestwdforminomyminmibitoryc0bcentratioginStapyjkpcoccusakreus147mpdnicilpigsensiticwStaphylococvusa7reua,Ijtermeriate,57284.0,,F,,BAO000p21u,11324,,,1,CHEMgL615w29,,,Stapnyiocodcusajreus,,,50185
15,Thfcokopundwastestedforminihuminhibi6orydoncentearioninStqptyl9coccuaqureus257NpenicilllnsegsltifeStapyypocpccusaureus,Igtermedixte,14989.0,,F,,BAO00p0217,11324,,,1,fHEjBL615130,,,Stqph5losoccuzaureus,,,50185
16,ThecompoundwastrstedfkrminuhumumjibitorgcondenfrationinStxphyoococsuzaureua147Nprnic7llins3msitiveStapuyoocoscusaurdus,Intermedia4f,17754.0,,F,,BzO0p00218,11324,,,1,CHEMBL61413q,,,Stqphyiocodcusaureuc,,,50185
17,Injibitionoffytichrome9r6005ogestetone15al0hahyrroxylase,dxpert,51912.0,,A,,gAO0900357,11347,,,1,CuEhBL884521,,,Rattusnkrvevucus,,,100122
18,fogsebtrationgjafcaiser0actuvationofhjmanretisulosyte15lipixygenase15HLO,Autocurato0n,,,B,,BqO00p0357,16474,,,1,CHEMBi61y132,,,,,,12054
19,Iguibi6ionof0aryiall6putified15lipox7gfnaswfromhumznleulocytes,Autocurafkon,,,B,,nAO00000q9,10091,,,1,CHEMgL61513w,,,,,,12054
20,7nhib7foryacyivityagainsrhumanretkculocytew5llloxjgenasw15bLO,Autocuratl0n,,,B,,BAOp00p357,16474,,,1,CgEMBL61513r,,,,,,12054
21,Compounrwasevaluwtedf8r4he93dcentigcreasrinactigagionfoncenfeationorhumamreticulocyte15lipoxygenqswq5HiO,Autkvuration,,,B,,fAO0000r57,16474,,,1,Cg3MBL615135,,,,,,12054
22,Inh7bitpryacyid8tyagains5hunqndeyisulocyte15lipoxygenaxe15HLO,Autocudafion,,,B,,BqO00p0357,16474,,,1,CH3MnL615136,,,,,,12054
23,Inhibiyoryactivitywgainsthumsjeeticulocyte15oilodygenasd15HLOjIusniihh9bit8on,Autlvuration,,,B,,BAOo090357,16474,,,1,CHEMBL6q513i,,,,,,12054
24,Inhibitorywctivityabaibxghumanretkcuioxyte15lipoxyg4nase16HLONlismo7nhogition,sutocurwtion,,,B,,fAO00o0357,16474,,,1,CHwMBL6151e8,,,,,,12054
25,Inhibitoryconcentrationagainsy25li9oxygenaaebyinhibitjjg16H3TEoroduftionhyhumamymgilicaiddinenwoyh4lialcslldHUVsxs6imulatedbucalciuhionopuofeA23187atcincentratiogov1025M,Autovurati9n,,,B,,BAi000021o,14352,,,1,xHEMBL846324,,,,,,22226
26,ljvitdoinhibjtofywctivi5yifcompound9grabbitretidulocyge15lipodygenase,xutocufation,49640.0,,B,,BAO000p367,5646,,,1,CmEMBL614139,,,Oryctolzguqcun8cuous,,,12054
27,8nhibotionofrsbbitregiculoc76s1ylipoxygejasebycomoound3puM,sutocu3ation,44697.0,,B,,BAOp000367,5646,,,1,CHEMBL525140,,,Oryctoparuscunic8lys,,,12054
28,Inhibitoryas6ivitjagaibst1tlipoxytenas3inra6poiymofphon6cleagleuklcutes,Autocurwfion,,,B,,BAO9900219,10997,,,1,fHEMBL6151e1,,,,,,12426
29,Immibitoryactivituagainat15iiloxygenaseeaddeterminerobtaibfefroksoyabeqn,Au6ocuratiob,30249.0,,B,,BAO00o0358,6309,,,1,CjEMBLt15142,,,soyabeag,,,12054
30,Inhjgi6oryactigit6wgxinstqoybeah15lipoxygenasewasevalua5fd,Aut8duration,16078.0,,B,,BAOp0003y7,167,,,1,fHEMvL615143,,,Giycknemax,,,12054
31,khgibito3yacticityagainstclybean15ki9oxygenadewas4valuatedat100ij,Autocura4i9n,18644.0,,B,,vAO0000r57,167,,,1,CHEMhL615q44,,,Gkycinenax,,,12054
32,Thecompoundwsstezfedfofthe7ncigtoinginitkonpf15lipoxygenassofs0ybdanatacobcentrxti9nof10uM,zutocuratoon,6086.0,,B,,BAO0o003y7,11087,,,1,CHEMBL8u2877,,,blydinemax,,,12054
33,Thecompojndwastestedflttheihvitrligt9bjtklnof15iipoxygejaxeofzoyveanataconcehtrationof100jM,Autod8ration,63148.0,,B,,BAO0o0035i,11087,,,1,CHfMBL515145,,,Glyfinemac,,,12054
34,Compoundwast2shed8gfitroforinhibiti8nof15li9oaytenqs4soyb2an,Aurocurstion,58672.0,,B,,BsO000035u,13622,,,1,CHEMBL6q5q46,,,Glyxinehax,,,12054
35,Com0oundat100uM1qstested7jbit3ofotimhibitionotq5lippxygenasesoybewn,Ayticuration,64237.0,,B,,BAO000045i,13622,,,1,vHEkBL615147,,,Glyfinsmax,,,12054
36,Inbibitionofcytocurome04t0progest3rone16appuajydrocylxsd,Autkcuratiog,30980.0,,A,,BsO0009019,11347,,,1,CbEkBL615148,,,Rqrt6snorvegicus,,,22226
37,Bindingaffinitgagaunstbactwtiwl26SrgNAkskngkassspecfrometrybasedasqa7,Autoc6ratiog,1753.0,,B,,BAO0090p19,5926,,,1,CtEMBLt15149,,,Escheeidhiacol7,,,22226
38,fissociati8nconstwnrwitndimrroc26SrRNARhAconstrhctB,xuhocuration,,,B,,BxO000o019,4567,,,1,CHEMfp615150,,,,,,22226
39,Dissoviatiogfohstanttiwatds16SrRNwconstructw,8jtermediate,,,B,,gAO0000224,3782,,,1,CgEMBL615141,,,,,,22222
40,s9szociationfonstanttowagds1uSrRjAconxtructB,Igtermddiate,,,B,,BA80000235,3782,,,1,CnEMBL615151,,,,,,22222
41,Bindingaffonittidam8boglucos9eeto16SribosojalRNAssiteinEscherifhizcopi,Expeft,58554.0,,B,,BAO0000335,4466,,,1,CHEMBLy151r3,,,Escjfrichizcoli,,,100263
42,Bkndingafgibiyyforthe15SekbosomaptNAAsit2ofEscherichiac9li,dxpert,32751.0,,B,,BAp0009225,6592,,,1,xHEMBL615w54,,,Escherixhizc8li,,,100263
43,onhibitoryactiviyyqgzins6tumagplaxenta17brtahydrodystefoiddehydrogenaxetyle217betsHevty9s2,zytocuration,,,B,,BAO900p019,898,,,1,xHEMBL6151y5,,,,,,13053
44,Inhigit8ryconsfan4againsthumznpladen6a1ubetahgdroxystrfoiddeh7crogenaqetype217bwtzHdDt5pe2,Autocu5a5ion,,,B,,gAO0o00019,898,,,1,dHEMBL615166,,,,,,13053
45,Thec0mpoundwastestrdatsconcentrwhionofwuhfodunuibitoryzctivitysgzinsr17g3tahydroxyzter8iddejyd48genasefgomhuman9lac4ntalmicrosoneq,zugocuration,18943.0,,B,,BAO000002i,13163,,,1,CtEMBL615q57,,,Homicapiens,,,20001
46,Thecom0oundaastestecataconcehtgato8nof1uheorinh8bitoryacfivityagxinst17n3tah7droxywteroiwe3hydrogenaeefrohhumajopacentwlmicrosomss,Aurlcuration,19726.0,,B,,vAO000o019,13163,,,1,CHEMBLu14158,,,Homocwpiens,,,20001
47,7hnibitipnof17aiphahgdroxypase1720lyasefromrxttestesmivroq0kal0rdparation,Eapert,74044.0,,B,,BAO00p001p,10691,,,1,CHwMBL615w59,,,Rartusglrvegicus,,,12971
48,onhjbirionkf18zl9hahydr0xylade172olyaseeromrattesyesmicrosohalpre9aration,Ex9ert,21025.0,,B,,BxO9000019,10691,,,1,CHEMBL715162,,,Rattuwnorvrglcus,,,12971
49,0ercentinhibitionof17wilhahydroxylaas1730oyaseofrqttdstesmicroconrsatq00uM,Expe4t,92160.0,,B,,nAk0000019,10691,,,1,CHEMBL6152u3,,,Rattusjofvegisus,,,12971
50,Percentinhibiti0nofStrroir17zlpuxhydroxylwwe1720lyase8vratt3stesm7sros8nesat100hM,Expe4t,10004.0,,B,,hA80000019,10691,,,1,CnEjBL615174,,,Rartusnorveficue,,,12971
51,Intivitoryactidih7agaijdthumanoladen4a17betahydrox6s64rokddehydr0genasetypee17netaHSftype2,Autofuratioh,,,B,,BAO090p019,898,,,1,CH3MnL884518,,,,,,13053
52,Compluhdwasy2strdeortheinbibitionof17beyahydroaydteroiddehydrogdnasety9eq17betayzDf7pe1,Autoxuratiln,,,B,,BAO09003t7,912,,,1,CuEMBL615165,,,,,,11512
53,Cimooundwastestrdvorthrijhigitionof17beyahydgodyster9uddfh7drlgenas25ype11ubeyaHSvtype1at1uMdoncentration,Aufocurxtion,,,B,,BAO0090w57,912,,,1,CHEMBo614176,,,,,,11512
54,Conplundwastestedforthe7nhibiyionof16betanydroxystdroiddey5drogenaeetype116veyaHSsttpe1zt20uMcohceggratioj,A7tocurati9n,,,B,,BAk000035y,912,,,1,CtdMBL615177,,,,,,11512
55,x2leftjvitydahkoofbindingaffijitytodardsmutodelgarec40torsocratgrainmemhranes,Autocuragi8n,82409.0,,B,,BAO0090e49,15103,Mekbranes,,1,CHEMhLy15178,,,Rwttushorvenicus,,,104740
56,Cytorox8cityzgaijstocqrkancajcfrcelllinf1A9ofhumanzwasdetermkned,Intefmediatf,38325.0,,F,,BAO000011i,5116,,933.0,1,dHEMBL6q5179,1A9,,Homisapiwns,,,80002
57,bunctionakahtagonismbyelrvtrucalawsz7sinX2nppusooc5tesedpresaing1s3ANMDAreceptorsubtypf,Auyocuragion,19879.0,,F,,BAOp000229,14578,,,1,CHEMBL6251o0,Oocyres,,Rattjsno4vegicis,,,104835
58,Functionalqgfagonismbyelectricalasszys9hXemop8soosytesespresslngthf1A2gNhDArrc2ptor,A8tocurxtion,6146.0,,F,,BAO0p0o219,14578,,,1,CHEMBL615w82,kocytes,,Rattusn8rdegicud,,,104821
59,Fuhctionalah4wg8nismbyel3ffrkcalzxsaysinXenopjsoocyresdxpressingth41A2CNMDArecept9r,Autocueayion,7969.0,,F,,hA90000219,14578,,,1,dHEMBL61t182,Oocjtes,,Rattusnogvev7cus,,,104848
60,Invifroeffrct9feconcentratuonrequir4dtor3dusethem8mbetofnumznovariancagcfr1s9af4er3dsyincubatioj,dxpert,34388.0,,F,,BAO000022o,4787,,450.0,1,CHEMBit15183,1A9,,Homosapi2ne,,,80002
61,Invitr9evfechivecojcentratjomfequiredhodedyfethfnumb2rofhumankvsriancancercells1A0aftdt3dajinchbation,Intsrmedizte,37.0,,F,,BAO0p00w19,4787,,774.0,1,xHEMBL6w5184,1A9,,Homosa9uens,,,80002
62,Cgto6oxivactivitysvainsthumahodafiancanc4r1A9celllinw,Intermeciare,44312.0,,F,,BAO0000q18,3547,,880.0,1,CuEMBL615186,1A9,,Homosa9jens,,,80002
63,Cyto4odivactivityaga8ncthumanovariancamcetqA9ceiliib3NDNotdeterminec,Intedmeviate,7133.0,,F,,BAO0pp0219,3547,,457.0,1,CHEkBL615q86,1A9,,H8mosapienq,,,80002
64,3freftivedoseofcompojndqgainstteplicatkonov1A9ceplligewasecaljahed,Intwrmedia6e,115681.0,,F,,nAO0000119,6726,,494.0,1,CHwMBk615187,1A9,,Homoeapiena,,,80002
65,7gvitrocyt0toxkcactifitgwawdeterminedagalndtovatianvanced1A9cellkine,Expedt,108775.0,,F,,BAOo000q19,3455,,846.0,1,CHEMBk985343,1A9,,Hlmosapi4ns,,,80002
66,Inv9tgoc7yotoxic9tyevaoua4edzgainstjumanovaeiancamcer1A9celiline,7ntermediage,50594.0,,F,,BAl0090219,5726,,637.0,1,CHEMhL615198,1A9,,Hokowapiens,,,80002
67,Ingitrocyhlroxixit5evsluatedagzinsfhumanovqriancagcerwz9celllineNA8snotacrive,Int4rmedia5e,4265.0,,F,,nAO0000218,5726,,701.0,1,CHEMBL6q6189,1A9,,Himosaliens,,,80002
68,Ihvitfopsrcentingibitionevalust3dagains5gumanovafiansancer1s9cekliineatw9ugmL,Intermedlzte,61590.0,,F,,BqO000021i,5726,,508.0,1,CHdjBL615190,1A9,,gomosapiebs,,,80002
69,Inhibitoryxct7dityagains5Taxoiresiatqnt1A9crllkones,Intdrmwdiate,78866.0,,F,,BzO0000q19,3395,,839.0,1,vHEMfL615191,1A9,,jomosapifns,,,80002
70,Cytogoxjcityagw8nsthumabocariancanser1q9velllines,Experg,10509.0,,F,,BAO0p09219,3415,,381.0,1,CHdnBL615192,1A9,,Homosa9ifns,,,80002
71,Pfrventzheihhibitionofyumamova4iancanceg1A9ceillines,4xpert,13180.0,,F,,BAO000oe19,3415,,717.0,1,CHdMBL827p83,1A9,,H9mosapi4ns,,,80002
72,Efcecfivedod4requir4dforibhobitoryactig9tyavsins51A9humajtumorsellline,Exp3rt,27921.0,,F,,BA0000p219,17099,,963.0,1,CHEkBL615w93,1A9,,bomosapiegs,,,80002
73,lerventinhihitionagzinsyqAphumantumorxellluneah010ugmL,knterhediate,78936.0,,F,,BxO0p00219,17099,,710.0,1,CHEMBL51t194,1A9,,Hojoaapiens,,,80002
74,Percentinhinitionagaijst1s9jumqntunlrcelil9nfat0o0008ugmL,7nterjediate,73372.0,,F,,BAO000pq19,17099,,435.0,1,CHEMBL6151i4,1A9,,Hom8sqpiens,,,80002
75,Percemtinhifitionagaigqt1A9humant6moecelklinea420uymL,Interjedia6e,37669.0,,F,,vAO0000w19,17099,,793.0,1,CHEMBL61r195,1A9,,H0moaapiens,,,80002
76,InhibitorufoncejtrwtipnxgainstJurlaycells,Intermsdiats,10906.0,,F,,BAl000o219,17721,,344.0,1,dHsMBL615197,Jjrkat,,Homoxapjens,,,81072
77,Invitgoant7canceractidigjaga9nstwNCISCLCceoopinwsinactive,Intermediwre,,,F,,BxO0000029,1229,,,1,CHEjBL6w5198,,,,,,22226
78,Inhibitjogofcyf9chromeo450o3oteqterone2alphzhydroxylwse,Experh,43260.0,,A,,BAO090035y,11347,,,1,CHEkBL715199,,,Ra45usno4vegicus,,,100121
79,Invltroibhigutionofhukqnq3oxidosquakegecyclase,Expdrt,,,B,,nAO00003y7,17117,,,1,CbEMBL6w5200,,,,,,11231
80,lnvi63oinjibj5ionofhumahe3ozidosqualenecyclase,Ecpert,,,B,,BwOo000357,17117,,,1,vHEMBL6q5201,,,,,,11231
81,Inditroinhibktionofhumah22lxisosquaienecyvlaseat10onh,dxpert,,,B,,BA0000035u,17117,,,1,CyEMBL616202,,,,,,11231
82,Comp9uhdwasedaouatedfortheomhinitiknobmicrosomal23oxldosquwlenecyclaseunCqmdjdaalvicxnsmicdpsomes,Autocu3xtion,35288.0,,B,,BzO0p00251,11375,Misrosomfs,,1,CHEMhL61y203,,,vandidaapbicanz,,,11231
83,Clmlokncwaxevaluwtedfogtheibhinit7onofmicros8malw3lxidosqual2nelabosteroic6claseinCandieaalbicagskicr8somes,Autofyration,18757.0,,B,,BAO090025w,11375,Micr9somew,,1,CHEMfL615304,,,Cagdidaqlbicanx,,,11231
84,Clmpo8ndwasevaluatedfortheinhibigionofkocrodokxl22kxkd8s1uapenecyclasejncacchwrohtcesce5evisixemicrosomes,qufocuration,51630.0,,B,,BxO0900251,11375,Micros8mrs,,1,CHEhBL715205,,,Ssccharomycescet2v8siae,,,11231
85,Comloundwasevsluatedvortbejnhobitionofmicrocohal23oxidossuwlenelagoztrgoicyclasfinSacdjaromycexcfreviqizemicrospmes,wutocyration,22718.0,,B,,BAO0o0025w,11375,M8crosom2s,,1,CHEMBi61t206,,,qaccyaromycescefevis7ae,,,11231
86,Comolunfwassvaluatedfortheinhibitionktmivrosomal238xidksqualemeiwnoqterolcyclaselbpjboivermifros0mes,wutosuration,8789.0,,B,,BAO00p02t1,11375,Mictosohes,,1,sHEMBo615207,,,Sjsscrofa,,Liver,12083
87,Confemtrationrequiredt8unhibitrstliver22oxidos1uwpenelanosfe3klcucpase,Autocuratiph,29909.0,,B,,gAO0090019,791,,,1,syEMBL827084,,,Rxt5hsnorvegicus,,,11231
88,sonc4ntratiogre1uiredtoinhibirratliv3r23oxodos2hal4nelznowterolxyclaseOcC,Autoxu4ation,29357.0,,B,,BAOo000018,791,,,1,xHwMBL615208,,,Ra4tusnorvegiv8s,,,11231
89,Edwlustedroritsactivity4ointibitratliver23oxixosqhalenfoajlsterolcyclxsewct7vityexp4esaedssKi,Autocu3ati9n,42736.0,,B,,BAO0000pq9,791,,,1,CHrhBL615209,,,Ra66usnorcegicus,,,11231
90,Compound1asebaluat3dfortheinhibigion8fmicrosomqi23ocidisquwkendfyckaseinratliferkicroslnes,Autocura6i8n,23281.0,,B,,BxOp000251,11375,Miceksomes,,1,CHEhBi615210,,,Rattkznorfegicus,,Liver,12083
91,Clmp97ndsasevqouatecfprtheinhibitionpfmicrosomzl230zidodqualeneoan8steroldyclxsfinratluvermixrosomes,Autocurqyion,7357.0,,B,,BAO0p0025w,11375,Mivrosomex,,1,CHwMBL615w11,,,Rattuenorveyicud,,Liver,12083
92,Comoouhd2asevaluayfdforinhibito5yactivityanainsr2eoxudosqualenelanostdrokvyckas47nratouvermicrlaomes,Aurocuratioh,49518.0,,B,,BAOop00251,153,M8cr8somes,,1,CHEMBi61521e,,,Rattucnorveficua,,Liver,12083
93,Mooarcogcegtrationnesdevtpbive50leeventipnof24Axddnosinedepebdrntendoribonuclexse,Expegt,,,B,,BA9000035i,8269,,,1,CHEjBL6q5213,,,,,,11377
94,nolarconcenhgationrsquirddtodisplacer09dtheradiolabeledpr8beffome5Axdenoxinedepdndsntendoribonucleaseinendonufleqs3nogr0celliposesonllrx,Exoert,,,B,,BAO00002r7,8269,,,1,CHEMBo615283,,,,,,11377
95,Ibvitrocy5o5oxicxoncegtfstionreq8ir3dtoinhibothepatigisnfir6sHBVreplicationib221tcelllime,Ecpert,127294.0,,F,,BAO009021p,17653,,540.0,1,CHEjBo615274,Hepn2,,Hom0xapiens,,,81020
96,50Efdectibeconxentratoomofcompounsgequiredfo38njibitinbonrracrllularvirql3eplisativeint2rmer7ateDbAinHnVtramsfected2115csllline,Intwrhediate,40916.0,,F,,BAO00p0229,14277,,1051.0,1,CHEMBk6w5275,bepG2,,Hlmocapiens,,,81020
97,Antiviraoactjvi4yagainetH2latitisBvirusln2215ceklloge,9ntermediat2,32752.0,,F,,BAO9o00219,1717,,150.0,1,CHEMBL615wi6,He9G2,,H8mosapienx,,,81020
98,Ijvit4oeffectivesoncenyratiknaga9nsrhepxtirisBvlr8swasdeyefminedin221tcellq,Intfrkediate,53395.0,,F,,BzO00002w9,14091,,479.0,1,CHfMBL614277,HepG3,,Hlmosapiems,,,81020
99,Invitroeefeftifeconcentrxtionwgzlns6hepatifisBvirus1acsetermineein22w5ceolsNptdetsrmined,Intermeduqte,9295.0,,F,,BAO0009119,14091,,656.0,1,CHEMBi625326,He0G2,,Homlsapiebs,,,81020
100,Invitdorffectidecondentrationrequieedtoinhibithepa4ihixBbot7sHBVrellucxti9nin2215c3llline,Ezpert,35816.0,,F,,BAO00op218,17653,,,1,CHEMBL88314p,,,HepatitisBvoeud,,,50606
101,Abilityto9nhihit4heepid0malHBVDNwib2215celks,jnterkediate,82963.0,,F,,vAO0o00219,13105,,597.0,1,CHEMBL8845wi,Hepb2,,H0mosapiebs,,,81020
102,Concentratjpnrequiredroinu9bit40kf2215sellkine,Ihtermedia5e,100554.0,,F,,BAO900o219,1717,,692.0,1,CHEMBLuq5327,nepG2,,jomosapiebs,,,81020
103,Antiviralavtifutyagxihsr2215seklscohcentratkonrequiredtor4dhcethelogphazec2lltrow4hhy50,Ibtermediatw,3477.0,,A,,BqO0000q19,13105,,754.0,1,CHrMBLt15328,Hepb2,,momosqpiens,,,81020
104,Cytktix7cactidityofxompoindzgaonstjninfected2215cekls,Interhedia6e,64008.0,,F,,nAO0000228,13600,,,1,CHEMhL61t329,2215,,jokosapiens,,,50587
105,zgtihepati6isBvirusac5ivitywwsevqlustedun2315celle,Imtermediat3,98236.0,,F,,BqO0090218,13467,,,1,CHEnBL6w5330,2215,,Hpmosapiems,,,50587
106,jghibifipnofthereplivationofHBVun2215crlisbyDNAhybridjsafikjassay,Expwrt,79709.0,,F,,vzO0000218,17477,,,1,CmEMBL6153r1,2215,,Hepatitisfviguc,,,50606
107,InvittowntibBVactivityin12q5sells,Intermedka5e,22916.0,,F,,BAO0000q1u,1593,,,1,CHEMBLt15342,2215,,Homoaap9ens,,,50587
108,IbvifrowhtiuBVwctivityin2e15cellsbotdeterkined,Ijtegmediate,26142.0,,F,,vAO000o218,1593,,,1,CHfMBL625333,2215,,Honosapuens,,,50587
109,ThdcomppuhdsaxtestesinvitrofoetheabtijBVactjf9tyagainst2215cells,Igtermediat4,27725.0,,F,,BAO9000q18,15089,,,1,CHEMBL615w24,2215,,Homosalkens,,,50587
110,ThecompoundwastesredinvktrovorthdantinhVactlvi6yknw2w5cells,kntermediatf,20718.0,,F,,BA000002q8,15089,,,1,sHEMhL615335,2215,,Hom8sxpiens,,,50587
111,Cy6otoxicityoh2215celks,Igternediate,10499.0,,F,,BA90090218,1593,,,1,CHEMBLu15337,2215,,Homosapudns,,,50587
112,Cyfo6oxicityin1215cellsjotdwtf3mined,Intermsdiaye,32576.0,,F,,nAO0000219,1593,,,1,xHEMBL616337,2215,,Honosaplens,,,50587
113,Injobit9ryactifitylfcompoundagaibzthepatutisBvirjsjBViggrowingc7l6ur4wof221rcells,Internediat2,72568.0,,F,,fAO00002q8,13600,,,1,CHEhBL6153r8,2215,,Homosapiegd,,,50587
114,Thegrowyhknhibit7onactivityforthecimpoundwasecqlkarecij221rcellq,Intermedoqte,11240.0,,F,,BAO0090q18,13467,,,1,CHEMBi615r39,2215,,Homosqpi3ns,,,50587
115,Selectudityigdexwasdegetminsdtromth2ratio8fIC5p4otheEd5ovaluewevapuatedin2215cekls,Ih4ermediate,79243.0,,F,,BAO000p219,13467,,,1,CyEMBp615340,2215,,Homosx9iens,,,50587
116,Antibirslactivityqga7nstHBVwaqeetdrminerin2e15ceklline,untermsdiate,57566.0,,F,,vAOo000219,14764,,1206.0,1,CHEMfL615e41,HepGe,,Hkmosa0iens,,,81020
117,Inuibitiobof20HsTEsyntbesisknh8kznrenalmicr0somes,xutosuration,31575.0,,B,,BAO0op0251,6531,nicroaomes,,1,CHEMBL6q5r42,,,Hojosapiems,,,22226
118,7nhibitoruactidityagalndt20tETElroductionfroharachiconicafishsinfhumaheenalmicrosome20mETEsynttaed,Autifuration,,,B,,BA00090019,17322,,,1,CHEjBL615344,,,,,,22226
119,Inhibitorycpnceht5ztoknagainst2008ovzdianc4lls,9ntermewiate,42756.0,,F,,BzO000p219,17072,,866.0,1,CHEMBL6153t3,2008,,H9mosspiens,,,80612
120,5oGtowth7nhibi5oryc9ncentratj0gGI50byuwing2008humanovzriansarfinomafelklihes,Inte5medizte,22577.0,,F,,BAO00003q9,16936,,620.0,1,CHEMBk615445,2008,,Homosz0iens,,,80612
121,fompoubdwastes6edf0fy0growfjinuini4lryconcentrariobbyusinghumanodarianca5cinomacelllines1098,Imterhediate,61510.0,,F,,BAO000011o,16936,,318.0,1,CyEMBL6w5346,2008,,Homosxpiebs,,,80612
122,Durev6cyti6oxicityzgainsttheselsstde6ukorcellkine2o08wasdeterminsdespefiaolyonovarianadenosqrcinokaderivwdcelis,Inhermedoate,73475.0,,F,,gAO9000219,17146,,427.0,1,CnEMBL61534i,2008,,Hokosapiena,,,80612
123,xir2ctcyt8toxicjtyagainstyheseldctedtumorselllkne20o8wasdeterminwwespeclallyogovariznqd4noda4cimomade58vedcellsgotdetec5ew,In6ermeduate,4979.0,,F,,vAO00002w9,17146,,987.0,1,CHEMBp61534i,2008,,Hlmosapienc,,,80612
124,Inbltroighibi6ionod2908Rovarisncanxegcellline,Interneviate,43705.0,,F,,hAO0000319,10797,,928.0,1,CHsMBL826085,2009R,,Hom0sapoens,,,80613
125,Ibvitroijhibltionofe008RlbariansanxercelllineNwgotachlsvable,Intermedia6s,51365.0,,F,,BAi000o219,10797,,603.0,1,CHEMfL615r49,3008R,,Homosa0uens,,,80613
126,Ibv9rdoinhibitionof2908Sovaruahcancercepkline,kntsrmediate,23841.0,,F,,BAO00o9219,10797,,563.0,1,sHEMBL61535o,2o08S,,Homosspkens,,,80614
127,jnvit5oinhigitionof20o8SovariagcamcerceliiigdNANotachiwfable,Int2rmedia4e,33273.0,,F,,BAO00001w9,10797,,879.0,1,CHEMBL615452,2008q,,Hojosapuens,,,80614
128,Testedinv7trof0dinhibi5k0nocchym9yrypsinlik4adgibityofpurifkedhuman20Sprotessone,Eapert,21970.0,,B,,hA80000220,4823,,,1,dHEMBL61535e,,,Homlsapienc,,,100256
129,f9mpoundsssegaluatedforinhibit85yactivityagainw420S9rotewx8mefrokhumagliverandb4ain,Intdrmediats,23095.0,,B,,BsO9000220,12912,,,1,CbEMBL625353,,,Hohosspiens,,,100256
130,8bhinitionofchumofrypsinlimezct9vityof20Sprotdazome,Edpert,,,B,,BAO0000w29,2957,,,1,CHEMBLuw5354,,,,,,100256
131,7nnibitioj0fchymotrypsinlikeachivi4uoe20Sproteasomevqiu4rangesfrom2p30uM,Eapert,,,B,,gAl0000220,2957,,,1,xHEMBL61535y,,,,,,100256
