city,country_id,city_id,country
Le Mans,34,297,France
Toulon,34,543,France
Toulouse,34,544,France
Cayenne,35,105,French Guiana
Faaa,36,167,French Polynesia
Papeete,36,397,French Polynesia
Banjul,37,54,Gambia
Duisburg,38,148,Germany
Erlangen,38,160,Germany
Halle/Saale,38,198,Germany
Mannheim,38,325,Germany
Saarbrcken,38,439,Germany
Siegen,38,477,Germany
Witten,38,575,Germany
Athenai,39,38,Greece
Patras,39,401,Greece
Nuuk,40,371,Greenland
Citt del Vaticano,41,121,Holy See (Vatican City State)
Kowloon and New Kowloon,42,279,Hong Kong
Szkesfehrvr,43,512,Hungary
Adoni,44,8,India
Ahmadnagar,44,9,India
Allappuzha (Alleppey),44,18,India
Ambattur,44,22,India
Amroha,44,24,India
Balurghat,44,51,India
Berhampore (Baharampur),44,71,India
Bhavnagar,44,73,India
Bhilwara,44,74,India
Bhimavaram,44,75,India
Bhopal,44,76,India
Bhusawal,44,77,India
Bijapur,44,78,India
Chandrapur,44,107,India
Chapra,44,110,India
Dhule (Dhulia),44,144,India
Etawah,44,164,India
Firozabad,44,169,India
Gandhinagar,44,176,India
Gulbarga,44,191,India
Haldia,44,195,India
Halisahar,44,197,India
Hoshiarpur,44,208,India
Hubli-Dharwad,44,211,India
Jaipur,44,231,India
Jhansi,44,239,India
Jodhpur,44,243,India
Kamarhati,44,257,India
Kanchrapara,44,261,India
Karnal,44,263,India
Katihar,44,264,India
Kumbakonam,44,283,India
Miraj,44,336,India
Munger (Monghyr),44,346,India
Mysore,44,350,India
Nagaon,44,354,India
Palghat (Palakkad),44,395,India
Parbhani,44,398,India
Pathankot,44,399,India
Patiala,44,400,India
Pudukkottai,44,416,India
Pune,44,417,India
Purnea (Purnia),44,418,India
Rae Bareli,44,425,India
Rajkot,44,426,India
Rampur,44,427,India
Ranchi,44,429,India
Sambhal,44,448,India
Satna,44,464,India
Shimoga,44,473,India
Shivapuri,44,475,India
Siliguri (Shiliguri),44,478,India
Tambaram,44,522,India
Udaipur,44,550,India
Uluberia,44,554,India
Uttarpara-Kotrung,44,559,India
Valparai,44,564,India
Varanasi (Benares),44,566,India
Vijayawada,44,568,India
Yamuna Nagar,44,582,India
Cianjur,45,117,Indonesia
Ciomas,45,118,Indonesia
Ciparay,45,119,Indonesia
Gorontalo,45,184,Indonesia
Jakarta,45,232,Indonesia
Lhokseumawe,45,301,Indonesia
Madiun,45,318,Indonesia
Pangkal Pinang,45,396,Indonesia
Pemalang,45,403,Indonesia
Pontianak,45,412,Indonesia
Probolinggo,45,415,Indonesia
Purwakarta,45,419,Indonesia
Surakarta,45,509,Indonesia
Tegal,45,532,Indonesia
Arak,46,31,Iran
Esfahan,46,162,Iran
Kermanshah,46,265,Iran
Najafabad,46,356,Iran
Qomsheh,46,423,Iran
Shahr-e Kord,46,467,Iran
Sirjan,46,481,Iran
Tabriz,46,514,Iran
Mosul,47,344,Iraq
Ashdod,48,34,Israel
Ashqelon,48,36,Israel
Bat Yam,48,57,Israel
Tel Aviv-Jaffa,48,533,Israel
Alessandria,49,17,Italy
Bergamo,49,70,Italy
Brescia,49,91,Italy
Brindisi,49,93,Italy
Livorno,49,309,Italy
Syrakusa,49,511,Italy
Udine,49,551,Italy
Akishima,50,10,Japan
Fukuyama,50,172,Japan
Higashiosaka,50,203,Japan
Hino,50,204,Japan
Hiroshima,50,205,Japan
Isesaki,50,224,Japan
Iwaki,50,226,Japan
Iwakuni,50,227,Japan
Iwatsuki,50,228,Japan
Izumisano,50,229,Japan
Kakamigahara,50,253,Japan
Kamakura,50,256,Japan
Kanazawa,50,260,Japan
Koriyama,50,276,Japan
Kurashiki,50,284,Japan
Kuwana,50,287,Japan
Matsue,50,331,Japan
Miyakonojo,50,338,Japan
Nagareyama,50,355,Japan
Okayama,50,376,Japan
Okinawa,50,377,Japan
Omiya,50,380,Japan
Onomichi,50,382,Japan
Otsu,50,386,Japan
Sagamihara,50,440,Japan
