Fiscal year,Sector name,CIDA business delivery model (old),Indigenous issues (marker),CountryRegion name,Programming process (new),Section name,Organisation ID,Organisation sub-class,Fund centre name,Fund centre ID,Untied amount(Project-level budget),Organisation name,Desertification (marker),Biodiversity (marker),Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Section ID,Regional program (marker),FSTC percent,IRTC percent,CFLI (marker),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Participatory development and good governance
2009/2010,Informal/semi-formal financial intermediaries,Responsive,0,Jamaica,Uncoded: Pre-APP,Caricom - Adm,1000378,CONSULTING SERVICES,Caribbean Regional - Jamaica,4439,3441416.83,DEVPAR FINANCIAL CONSULTING LTD,0,0,A019362001,Closed,3441416.83,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Informal/semi-formal financial intermediaries,Responsive,0,Jamaica,Uncoded: Pre-APP,Caricom - Adm,1001165,CONSULTING SERVICES,Caribbean Regional - Jamaica,4439,3441416.83,MM LYNCH CONSULTANTS INTERNATIONAL,0,0,A019362001,Closed,3441416.83,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Democratic participation and civil society,Directive,0,Egypt,Uncoded: Pre-APP,Middle East and North Africa,1000335,CONSULTING SERVICES,Egypt,4263,0.0,Cowater International Inc.,0,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Formal sector financial intermediaries,Directive,0,Egypt,Uncoded: Pre-APP,Middle East and North Africa,1000335,CONSULTING SERVICES,Egypt,4263,0.0,Cowater International Inc.,0,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Business support services and institutions,Directive,0,Egypt,Uncoded: Pre-APP,Middle East and North Africa,1000335,CONSULTING SERVICES,Egypt,4263,0.0,Cowater International Inc.,0,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Industrial policy and administrative management,Directive,0,Egypt,Uncoded: Pre-APP,Middle East and North Africa,1000335,CONSULTING SERVICES,Egypt,4263,0.0,Cowater International Inc.,0,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Small and medium-sized enterprises (SME) development,Directive,0,Egypt,Uncoded: Pre-APP,Middle East and North Africa,1000335,CONSULTING SERVICES,Egypt,4263,0.0,Cowater International Inc.,0,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Technological research and development,Directive,0,Egypt,Uncoded: Pre-APP,Middle East and North Africa,1000335,CONSULTING SERVICES,Egypt,4263,0.0,Cowater International Inc.,0,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Environmental policy and administrative management,Directive,0,Egypt,Uncoded: Pre-APP,Middle East and North Africa,1000335,CONSULTING SERVICES,Egypt,4263,0.0,Cowater International Inc.,0,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Biosphere protection,Directive,0,Egypt,Uncoded: Pre-APP,Middle East and North Africa,1000335,CONSULTING SERVICES,Egypt,4263,0.0,Cowater International Inc.,0,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Multisector aid,Directive,0,Algeria,Uncoded: Pre-APP,Middle East and North Africa,10050,FEDERAL,*Algeria,4259,0.0,Department of Foreign Affairs and International Trade,0,0,A020161001,Closed,328400.96,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,0.998334353,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Democratic participation and civil society,Directive,0,Haiti,Uncoded: Pre-APP,Ha�ti & Dominican Republic Section,10050,FEDERAL,Haiti,4452,4000000.0,Department of Foreign Affairs and International Trade,0,0,A020195001,Closed,4610501.0,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,0,1.0,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Human rights,Directive,0,Haiti,Uncoded: Pre-APP,Ha�ti & Dominican Republic Section,10050,FEDERAL,Haiti,4452,4000000.0,Department of Foreign Affairs and International Trade,0,0,A020195001,Closed,4610501.0,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,0,1.0,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Public sector policy and administrative management,Directive,0,Ethiopia,Uncoded: Pre-APP,"Ethiopia, PanAfrica, SubRegional",1000852,SPECIALIZED INSTITUTE,Ethiopia,4229,0.0,Parliamentary Centre,0,0,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,0,1.0,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Public finance management,Directive,0,Ethiopia,Uncoded: Pre-APP,"Ethiopia, PanAfrica, SubRegional",1000852,SPECIALIZED INSTITUTE,Ethiopia,4229,0.0,Parliamentary Centre,0,0,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,0,1.0,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Legal and judicial development,Directive,0,Ethiopia,Uncoded: Pre-APP,"Ethiopia, PanAfrica, SubRegional",1000852,SPECIALIZED INSTITUTE,Ethiopia,4229,0.0,Parliamentary Centre,0,0,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,0,1.0,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Democratic participation and civil society,Directive,0,Ethiopia,Uncoded: Pre-APP,"Ethiopia, PanAfrica, SubRegional",1000852,SPECIALIZED INSTITUTE,Ethiopia,4229,0.0,Parliamentary Centre,0,0,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,0,1.0,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Human rights,Directive,0,Ethiopia,Uncoded: Pre-APP,"Ethiopia, PanAfrica, SubRegional",1000852,SPECIALIZED INSTITUTE,Ethiopia,4229,0.0,Parliamentary Centre,0,0,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,0,1.0,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Public sector policy and administrative management,Directive,0,Senegal,Uncoded: Pre-APP,Senegal Program,1014497,CONSULTING SERVICES,Senegal,4238,4518387.69,Thompson Consultant Inc.,0,0,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Public sector policy and administrative management,Directive,0,Senegal,Uncoded: Pre-APP,Senegal Program,Information not available,CONSULTANT,Senegal,4238,4518387.69,Information not available,0,0,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Informal/semi-formal financial intermediaries,Directive,0,Senegal,Uncoded: Pre-APP,Senegal Program,1014497,CONSULTING SERVICES,Senegal,4238,4518387.69,Thompson Consultant Inc.,0,0,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Informal/semi-formal financial intermediaries,Directive,0,Senegal,Uncoded: Pre-APP,Senegal Program,Information not available,CONSULTANT,Senegal,4238,4518387.69,Information not available,0,0,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Teacher training,Directive,0,Guyana,Uncoded: Pre-APP,Caricom - Adm,1000975,CONSULTING SERVICES,Caribbean Regional - Guyana,4438,7850039.11,CRC Sogema Inc.,0,0,A020252001,Closed,7850039.11,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Public sector policy and administrative management,Directive,0,Philippines,Uncoded: Pre-APP,Philippines and Mongolia,10050,FEDERAL,Philippines,4128,0.0,Department of Foreign Affairs and International Trade,0,0,A020272001,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,0,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Public finance management,Directive,0,Philippines,Uncoded: Pre-APP,Philippines and Mongolia,10050,FEDERAL,Philippines,4128,0.0,Department of Foreign Affairs and International Trade,0,0,A020272001,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,0,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Democratic participation and civil society,Directive,0,Philippines,Uncoded: Pre-APP,Philippines and Mongolia,10050,FEDERAL,Philippines,4128,0.0,Department of Foreign Affairs and International Trade,0,0,A020272001,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,0,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Public sector policy and administrative management,Directive,0,Pakistan,Uncoded: Pre-APP,"OAA Afghanistan, Pakistan and Sri Lanka",10050,FEDERAL,Pakistan,4124,0.0,Department of Foreign Affairs and International Trade,0,0,A020279001,Terminating,2645994.04,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,1.0,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Public sector policy and administrative management,Directive,0,Malawi,Uncoded: Pre-APP,Mozambique Program,1000601,CONSULTING SERVICES,Malawi,4280,0.0,Agriteam Canada,0,0,A020392001,Closed,7747230.74,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,0,1.0,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Multisector aid,Directive,0,Bangladesh,Uncoded: Pre-APP,Bangladesh Section,10050,FEDERAL,Bangladesh,4122,0.0,Department of Foreign Affairs and International Trade,0,0,A020395001,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,0,0.5,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Multisector aid,Directive,0,Bangladesh,Uncoded: Pre-APP,Bangladesh Section,Information not available,Unknown,Bangladesh,4122,0.0,Information not available,0,0,A020395001,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,0,0.5,0.0,0,1,Not PBA,0,0,0,1
2009/2010,Basic drinking water supply,Directive,0,Mozambique,Uncoded: Pre-APP,Mozambique Program,Information not available,CONSULTANT,Mozambique,4274,0.0,Information not available,0,0,A020398001,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Basic sanitation,Directive,0,Mozambique,Uncoded: Pre-APP,Mozambique Program,Information not available,CONSULTANT,Mozambique,4274,0.0,Information not available,0,0,A020398001,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Multisector aid,Directive,0,Cameroon,Uncoded: Pre-APP,Central Africa & Great Lakes Program,10050,FEDERAL,Cameroon,4289,2457111.5,Department of Foreign Affairs and International Trade,0,0,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,0,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Multisector aid,Directive,0,Cameroon,Uncoded: Pre-APP,Central Africa & Great Lakes Program,1000948,SUPPLIER OF GOODS/SERVICES,Cameroon,4289,2457111.5,D�M�NAGEMENT OUTAOUAIS INC.,0,0,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,0,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Multisector aid,Directive,0,Cameroon,Uncoded: Pre-APP,Central Africa & Great Lakes Program,Information not available,COOPERANT,Cameroon,4289,2457111.5,Information not available,0,0,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,0,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Multisector aid,Directive,0,Cameroon,Uncoded: Pre-APP,Central Africa & Great Lakes Program,Information not available,Unknown,Cameroon,4289,2457111.5,Information not available,0,0,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,0,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Democratic participation and civil society,Directive,0,Guinea,Uncoded: Pre-APP,Senegal Program,1000171,ASSOCIATIONS,*Guinea,4242,11427061.07,UPA DI - Union des producteurs agricoles d�veloppement,0,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Democratic participation and civil society,Directive,0,Guinea,Uncoded: Pre-APP,Senegal Program,1001142,CONSULTING SERVICES,*Guinea,4242,11427061.07,Le Groupe Conseil Baastel Lt�e,0,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Food crop production,Directive,0,Guinea,Uncoded: Pre-APP,Senegal Program,1000171,ASSOCIATIONS,*Guinea,4242,11427061.07,UPA DI - Union des producteurs agricoles d�veloppement,0,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Food crop production,Directive,0,Guinea,Uncoded: Pre-APP,Senegal Program,1001142,CONSULTING SERVICES,*Guinea,4242,11427061.07,Le Groupe Conseil Baastel Lt�e,0,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Agricultural extension,Directive,0,Guinea,Uncoded: Pre-APP,Senegal Program,1000171,ASSOCIATIONS,*Guinea,4242,11427061.07,UPA DI - Union des producteurs agricoles d�veloppement,0,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Agricultural extension,Directive,0,Guinea,Uncoded: Pre-APP,Senegal Program,1001142,CONSULTING SERVICES,*Guinea,4242,11427061.07,Le Groupe Conseil Baastel Lt�e,0,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Agricultural education/training,Directive,0,Guinea,Uncoded: Pre-APP,Senegal Program,1000171,ASSOCIATIONS,*Guinea,4242,11427061.07,UPA DI - Union des producteurs agricoles d�veloppement,0,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Agricultural education/training,Directive,0,Guinea,Uncoded: Pre-APP,Senegal Program,1001142,CONSULTING SERVICES,*Guinea,4242,11427061.07,Le Groupe Conseil Baastel Lt�e,0,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Agricultural services,Directive,0,Guinea,Uncoded: Pre-APP,Senegal Program,1000171,ASSOCIATIONS,*Guinea,4242,11427061.07,UPA DI - Union des producteurs agricoles d�veloppement,0,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Agricultural services,Directive,0,Guinea,Uncoded: Pre-APP,Senegal Program,1001142,CONSULTING SERVICES,*Guinea,4242,11427061.07,Le Groupe Conseil Baastel Lt�e,0,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Democratic participation and civil society,Directive,0,Sri Lanka,Uncoded: Pre-APP,"OAA Afghanistan, Pakistan and Sri Lanka",1000136,NGO,Sri Lanka,4118,0.0,Foundation for International Training,0,0,A020790001,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Human rights,Directive,0,Sri Lanka,Uncoded: Pre-APP,"OAA Afghanistan, Pakistan and Sri Lanka",1000136,NGO,Sri Lanka,4118,0.0,Foundation for International Training,0,0,A020790001,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,1.0,0.0,0,1,Not PBA,0,0,0,0
2009/2010,Education policy and administrative management,Directive,0,Mali,Uncoded: Pre-APP,Mali Program Section,10050,FEDERAL,Mali,4216,0.0,Department of Foreign Affairs and International Trade,0,0,A020891001,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,0.0,0.0,0,1,Other PBA,0,0,0,0
2009/2010,Education policy and administrative management,Directive,0,Mali,Uncoded: Pre-APP,Mali Program Section,Information not available,Unknown,Mali,4216,0.0,Information not available,0,0,A020891001,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,0.0,0.0,0,1,Other PBA,0,0,0,0
2009/2010,Teacher training,Directive,0,Mali,Uncoded: Pre-APP,Mali Program Section,10050,FEDERAL,Mali,4216,16726210.87,Department of Foreign Affairs and International Trade,0,0,A020892001,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,1.0,0.0,0,1,Other PBA,0,0,0,0
2009/2010,Teacher training,Directive,0,Mali,Uncoded: Pre-APP,Mali Program Section,1001126,CONSULTING SERVICES,Mali,4216,16726210.87,CAC International,0,0,A020892001,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,1.0,0.0,0,1,Other PBA,0,0,0,0
2009/2010,Teacher training,Directive,0,Mali,Uncoded: Pre-APP,Mali Program Section,1014203,CONSULTING SERVICES,Mali,4216,16726210.87,Consortium CRC SOGEMA Inc. et l'Universit� d'Ottawa,0,0,A020892001,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,1.0,0.0,0,1,Other PBA,0,0,0,0
2009/2010,Primary education,Responsive,0,South America,Uncoded: Pre-APP,South America,10050,FEDERAL,*Southern Cone,4422,0.0,Department of Foreign Affairs and International Trade,0,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Primary education,Responsive,0,South America,Uncoded: Pre-APP,South America,Information not available,Unknown,*Southern Cone,4422,0.0,Information not available,0,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Basic health care,Responsive,0,South America,Uncoded: Pre-APP,South America,10050,FEDERAL,*Southern Cone,4422,0.0,Department of Foreign Affairs and International Trade,0,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Basic health care,Responsive,0,South America,Uncoded: Pre-APP,South America,Information not available,Unknown,*Southern Cone,4422,0.0,Information not available,0,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Family planning,Responsive,0,South America,Uncoded: Pre-APP,South America,10050,FEDERAL,*Southern Cone,4422,0.0,Department of Foreign Affairs and International Trade,0,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Family planning,Responsive,0,South America,Uncoded: Pre-APP,South America,Information not available,Unknown,*Southern Cone,4422,0.0,Information not available,0,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Public sector policy and administrative management,Responsive,0,South America,Uncoded: Pre-APP,South America,10050,FEDERAL,*Southern Cone,4422,0.0,Department of Foreign Affairs and International Trade,0,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Public sector policy and administrative management,Responsive,0,South America,Uncoded: Pre-APP,South America,Information not available,Unknown,*Southern Cone,4422,0.0,Information not available,0,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Primary education,Responsive,0,South America,Uncoded: Pre-APP,South America,10050,FEDERAL,*Southern Cone,4422,0.0,Department of Foreign Affairs and International Trade,0,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Primary education,Responsive,0,South America,Uncoded: Pre-APP,South America,Information not available,Unknown,*Southern Cone,4422,0.0,Information not available,0,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Basic health care,Responsive,0,South America,Uncoded: Pre-APP,South America,10050,FEDERAL,*Southern Cone,4422,0.0,Department of Foreign Affairs and International Trade,0,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Basic health care,Responsive,0,South America,Uncoded: Pre-APP,South America,Information not available,Unknown,*Southern Cone,4422,0.0,Information not available,0,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Family planning,Responsive,0,South America,Uncoded: Pre-APP,South America,10050,FEDERAL,*Southern Cone,4422,0.0,Department of Foreign Affairs and International Trade,0,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,1.0,0.0,0,1,Not PBA,1,0,0,1
2009/2010,Family planning,Responsive,0,South America,Uncoded: Pre-APP,South America,Information not available,Unknown,*Southern Cone,4422,0.0,Information not available,0,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,1.0,0.0,0,1,Not PBA,1,0,0,1
