assays_ss_cll_tp,assays_ss_tst_tp,assays_vrnt_d,assays_cll_d,assays_crtd_b,assays_b_frmt,assays_ss_d,assays_cnfdnc_scr,assays_ss_tx_d,assays_rltnshp_tp,assays_ss_ctgr,assays_src_ss_d,assays_dc_d,assays_chmbl_d,assays_ss_strn,assays_dscrptn,assays_ss_tss,assays_ss_tp,assays_td,assays_src_d,assays_ss_sbclllr_frctn,assays_tss_d,assays_ss_rgnsm
,,,,Intermediate,BAO_0000218,7563,1,10116.0,N,,,17267,CHEMBL621313,,Half life of compound was determined in rat,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7564,1,10116.0,N,,,4727,CHEMBL621314,,Half life of compound was determined in rat blood,Blood,A,50597,1,,178.0,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7565,1,10116.0,N,,,17651,CHEMBL621315,,Half life at 1 mg/kg was determined in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7566,1,10116.0,N,,,17651,CHEMBL621316,,Half life at 10 mg/kg was determined in rat,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7567,1,10116.0,N,,,401,CHEMBL621317,,Half life in rats,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7568,1,10116.0,N,,,4942,CHEMBL621318,,Half life in rats in hours,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7569,1,10116.0,N,,,17735,CHEMBL621319,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7570,1,10116.0,N,,,6056,CHEMBL621377,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7571,1,10116.0,N,,,5213,CHEMBL621378,,Half life was determined,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7572,1,10116.0,N,,,6616,CHEMBL876599,,Half life after i.v. administration,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7573,1,10116.0,N,,,5937,CHEMBL621379,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7574,1,10116.0,N,,,5819,CHEMBL621380,,Half life in rat plasma,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7575,1,10116.0,N,,,5819,CHEMBL621381,,Half life in rat plasma; Not detected,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7576,1,10116.0,N,,,6803,CHEMBL618515,,Half life in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7577,1,10116.0,N,,,17804,CHEMBL618516,,Half life period of compound was determined after peroral administration,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7578,1,10116.0,N,,,17804,CHEMBL618517,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7579,1,10116.0,N,,,5948,CHEMBL618518,,Half life period in rat,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7580,1,10116.0,N,,,1916,CHEMBL618519,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7581,1,10116.0,N,,,1916,CHEMBL618698,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7582,1,10116.0,N,,,1916,CHEMBL618862,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7583,1,10116.0,N,,,4890,CHEMBL618863,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7584,1,10116.0,N,,,17764,CHEMBL618864,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7585,1,10116.0,N,,,4727,CHEMBL618865,,Half life time in rat the dose of 2 mg/kg,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7586,1,10116.0,N,,,17509,CHEMBL618866,,Half-life 24 hr after 10 mg/kg iv administration in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7587,1,10116.0,N,,,17509,CHEMBL618867,,Half-life 24 hr after 2 mg/kg iv administration in rats,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7588,1,10116.0,N,,,6597,CHEMBL875828,,Half-life consistent with the observed metabolic steady state in rats,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7589,1,10116.0,N,,,17735,CHEMBL618868,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7590,1,10116.0,N,,,6597,CHEMBL618869,,Half-life for oxidative metabolic stability was determined using male human,,A,50597,1,,,Rattus norvegicus
,In vivo,,,Intermediate,BAO_0000218,7591,1,10116.0,N,,,17670,CHEMBL618870,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7592,1,10116.0,N,,,1696,CHEMBL618871,,Half-life in rat plasma,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7593,1,10116.0,N,,,1742,CHEMBL618872,,Half-life in rat plasma was determined,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7594,1,10116.0,N,,,17800,CHEMBL873816,,Half-life in rats was determined,,A,50597,1,,,Rattus norvegicus
,,,,Autocuration,BAO_0000218,7595,0,,U,,,12923,CHEMBL618873,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,,A,22224,1,,,
,,,,Autocuration,BAO_0000019,7596,0,,U,,,11954,CHEMBL621602,,Area under curve after oral dose of 0.1 mg//kg,,A,22224,1,,,
,,,,Autocuration,BAO_0000218,7597,0,,U,,,11954,CHEMBL621603,,Area under curve after oral dose of 0.3 mg/kg,,A,22224,1,,,
,,,,Autocuration,BAO_0000218,7598,0,,U,,,11954,CHEMBL621604,,Area under curve after oral dose of 1 mg/kg,,A,22224,1,,,
,,,,Autocuration,BAO_0000218,7599,0,,U,,,11954,CHEMBL621605,,Area under curve after oral dose of 10 mg/kg,,A,22224,1,,,
,,,,Autocuration,BAO_0000218,7600,0,,U,,,11954,CHEMBL621606,,Area under curve after oral dose of 23.4 mg/kg,,A,22224,1,,,
,,,,Autocuration,BAO_0000218,7601,0,,U,,,11954,CHEMBL621607,,Area under curve after oral dose of 3 mg/kg,,A,22224,1,,,
,,,,Autocuration,BAO_0000218,7602,0,,U,,,11954,CHEMBL621608,,Area under curve after oral dose of 3.87 mg/kg,,A,22224,1,,,
,,,,Autocuration,BAO_0000019,7603,0,,U,,,5237,CHEMBL621609,,Area under curve was determined,,A,22224,1,,,
,,,,Autocuration,BAO_0000218,7604,0,,U,,,4026,CHEMBL621610,,Area under curve at a dose of 10 mg/kg,,A,22224,1,,,
,,,,Intermediate,BAO_0000218,7605,1,10116.0,N,,,5237,CHEMBL621611,,Area under curve was determined; ND=No data,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7606,1,10116.0,N,,,14793,CHEMBL621612,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7607,1,10116.0,N,,,14793,CHEMBL622308,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7608,1,10116.0,N,,,14793,CHEMBL622309,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7609,1,10116.0,N,,,14793,CHEMBL622310,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7610,1,10116.0,N,,,14793,CHEMBL622311,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7611,1,10116.0,N,,,14793,CHEMBL622312,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7612,1,10116.0,N,,,14793,CHEMBL622931,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7613,1,10116.0,N,,,14793,CHEMBL622932,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7614,1,10116.0,N,,,14793,CHEMBL622736,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7615,1,10116.0,N,,,14793,CHEMBL622737,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7616,1,10116.0,N,,,14793,CHEMBL622738,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7617,1,10116.0,N,,,14793,CHEMBL622739,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7618,1,10116.0,N,,,14793,CHEMBL622740,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7619,1,10116.0,N,,,14793,CHEMBL622741,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7620,1,10116.0,N,,,14793,CHEMBL622742,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7621,1,10116.0,N,,,14793,CHEMBL622743,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,Plasma,A,50597,1,,1969.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7622,1,10090.0,N,,,11637,CHEMBL622744,,AUC in mice,Plasma,A,50594,1,,1969.0,Mus musculus
,,,,Autocuration,BAO_0000019,7623,0,,U,,,11149,CHEMBL624134,,Area under curve was measured from the graph obtained from concentration Vs time,,A,22224,1,,,
,,,,Autocuration,BAO_0000019,7624,0,,U,,,10016,CHEMBL624135,,Area under curve value of compound per hour after oral administration,,A,22224,1,,,
,,,,Intermediate,BAO_0000218,7625,1,10116.0,N,,,17796,CHEMBL624136,,Area under curve was determined after oral administration in rats,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7626,1,10116.0,N,,,17796,CHEMBL624137,,Area under curve was determined after oral administration in rats; No data,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7627,1,10116.0,N,,,17796,CHEMBL624320,,Area under curve was determined after oral administration in rats;No data,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7628,1,9615.0,N,,,12923,CHEMBL624321,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,,A,50588,1,,,Canis lupus familiaris
,,,,Intermediate,BAO_0000218,7629,1,10116.0,N,,,15372,CHEMBL624322,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7630,1,10116.0,N,,,15372,CHEMBL624323,,Area under curve was determined for the compound after iv dose of 5.06 in rats,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7631,1,10116.0,N,,,15372,CHEMBL624324,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7632,1,10116.0,N,,,15372,CHEMBL624325,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7633,1,10116.0,N,,,15372,CHEMBL624326,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7634,1,10116.0,N,,,15372,CHEMBL624327,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7635,1,10116.0,N,,,15372,CHEMBL624328,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7636,1,9615.0,N,,,14169,CHEMBL627848,,Area under curve was determined in Dogs after peroral administration,,A,50588,1,,,Canis lupus familiaris
,,,,Intermediate,BAO_0000218,7637,1,10116.0,N,,,14169,CHEMBL627849,,Area under curve was determined in Rats after peroral administration,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7638,1,10116.0,N,,,14258,CHEMBL627850,,Area under curve was determined in carotid blood of rat when administered intradermally,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7639,1,10116.0,N,,,14258,CHEMBL627851,,Area under curve was determined in portal blood of rat when administered intradermally,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7640,1,10090.0,N,,,15011,CHEMBL627852,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,A,50594,1,,,Mus musculus
,,,,Intermediate,BAO_0000218,7641,1,10090.0,N,,,15011,CHEMBL627853,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,A,50594,1,,,Mus musculus
,,,,Intermediate,BAO_0000218,7642,1,10090.0,N,,,15011,CHEMBL627854,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),,A,50594,1,,,Mus musculus
,,,,Intermediate,BAO_0000218,7643,1,10090.0,N,,,15011,CHEMBL627855,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,A,50594,1,,,Mus musculus
,,,,Intermediate,BAO_0000218,7644,1,10090.0,N,,,15011,CHEMBL627856,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),,A,50594,1,,,Mus musculus
,,,,Intermediate,BAO_0000218,7645,1,10090.0,N,,,15011,CHEMBL875339,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,A,50594,1,,,Mus musculus
,,,,Intermediate,BAO_0000218,7646,1,10090.0,N,,,15011,CHEMBL627857,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),,A,50594,1,,,Mus musculus
,In vivo,,,Intermediate,BAO_0000218,7647,1,10116.0,N,,,11195,CHEMBL627858,,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,Spleen,A,50597,1,,2106.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7648,1,10116.0,N,,,10130,CHEMBL627859,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7649,1,10116.0,N,,,10130,CHEMBL627860,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,Brain,A,50597,1,,955.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7650,1,10116.0,N,,,10130,CHEMBL627019,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,Heart,A,50597,1,,948.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7651,1,10116.0,N,,,10130,CHEMBL627020,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,Liver,A,50597,1,,2107.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7652,1,10116.0,N,,,10130,CHEMBL627021,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,Lung,A,50597,1,,2048.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7653,1,10116.0,N,,,10130,CHEMBL627022,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,Muscle tissue,A,50597,1,,2385.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7654,1,10116.0,N,,,10130,CHEMBL627023,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,,A,50597,1,,,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7655,1,10116.0,N,,,10130,CHEMBL627024,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,Spleen,A,50597,1,,2106.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7656,1,10116.0,N,,,10130,CHEMBL627025,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,Thyroid gland,A,50597,1,,2046.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7657,1,10116.0,N,,,10130,CHEMBL627026,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,Kidney,A,50597,1,,2113.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7658,1,10116.0,N,,,10130,CHEMBL627027,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,Blood,A,50597,1,,178.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7659,1,10116.0,N,,,10130,CHEMBL627028,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,Brain,A,50597,1,,955.0,Rattus norvegicus
,,,,Intermediate,BAO_0000218,7660,1,10116.0,N,,,10130,CHEMBL627029,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,Heart,A,50597,1,,948.0,Rattus norvegicus
