assay_id,assay_organism,src_id,tissue_id,doc_id,bao_format,src_assay_id,description,assay_subcellular_fraction,assay_type,assay_strain,assay_test_type,assay_category,assay_tax_id,assay_tissue,assay_cell_type,tid
12,Homowapiejs,1,,17774,gqO0000219,,Igv8trlcellcytotix8citjwasd4t2rminfdagainst143BLTKvelllihe,,F,,,,9606.0,,143B,80001
13,ztaphyloc8cc8sayreus,1,,11324,BxOo000218,,Thecomp8undwwst3ct2dborkinimuminhibotoryconcenyra58oninStaphylococchswk5e8sq47NpebixiliinsensituveStaphyooc9ccusaureus,,F,,,,1280.0,,,50185
14,ctaphyloc8cc6saurdus,1,,11324,BzO0o00218,,Thefojp8unxwastsstddfofm8n9mujintibitofudoncentration9nStaphyloc0ccusaur4ks147Npenicjllinc3nsitiv3Staphylococcuswureus,,F,,,,1280.0,,,50185
15,Staphjlovoccusa8reue,1,,11324,gqO0000218,,Thecojpoundwss4esfedrogminimuminhibjtoryconfengrationinStalhylococsuszurrjw147No4nicill7jcensitiveStwphylococcusau4eys,,F,,,,1280.0,,,50185
16,Stapgypococcudaureys,1,,11324,BAO090p218,,Thecompoyndwqstestedbormimijuminhibit0r6fonc3ntrationknStqphylococchsahgfus147gpsnicilp8nsenaitiveStaphylodocvuaaureus,,F,,,,1280.0,,,50185
17,Rattysnorvenic6s,1,,11347,Bz00000357,,InhigitiogoccytodhroneP450peogeste3one15al0hahyd4odykase,,A,,,,10116.0,,,100122
18,,1,,16474,BxOp000357,,f0ncengratiojthatcause50actifat9ohofhumsnretickpocuteq5lipoxygfnasew5HLO,,B,,,,,,,12054
19,,1,,10091,BAO090001i,,Inhinutlonofpagtiallypurifled15iiooaygenasefr0mhumanleuloxytrs,,B,,,,,,,12054
20,,1,,16474,BA900p0357,,Ighibltoryxctovltyxgaonsthuman4eticuoocyte1yl8pkxygenase15HLO,,B,,,,,,,12054
21,,1,,16474,BA800p0357,,Compoundwwsevwl6xtedf8rthepercemtkncr2aseinac5ibationconcentration9gykman4ehixulocyte1tlkpoxygenase25HLO,,B,,,,,,,12054
22,,1,,16474,BAOo0p0357,,Injibjyoryacticutyxgaibsthhmanrehiculocyte15li0oxygenaseq5HpO,,B,,,,,,,12054
23,,1,,16474,gAO000p357,,Inhig8togyzcgigi4yagsinsthymanre5iculocyte15liloxygenase15HoONIisnkimhibiti9n,,B,,,,,,,12054
24,,1,,16474,Bwp0000357,,Inhjbitoryachivityagainsth6manr46uculocyfe14lipoxygenas415HpOmIisnoinmibkti8m,,B,,,,,,,12054
25,,1,,14352,BA800o0219,,knhibitoeyconcentratiohanx9nst15lipoxyyenasebyinhibitkmg15HEfsproductipnbghumajumbiliczlveinendotyeliapcellsbUVECs4lmulztedgtcalciumiohophodeqew186atxoncen4rayion8f10e5M,,B,,,,,,,22226
26,05yctolaguscumiculud,1,,5646,BAO0090257,,Invitro8nhibi5o5yactibityoffohpijnconrabhitreticukocytew5lipoxygenas4,,B,,,,9986.0,,,12054
27,Oryctolxgkscun8culhs,1,,5646,vAO000p357,,Inhibktionofrzbburreticupocyte1tlipoxygrnasebyxompounx3ouj,,B,,,,9986.0,,,12054
28,,1,,10997,BAO0000w1o,,8nhibiforyxctic9t5against15lip9xygenasrun5atpolymorphinuclearlehjosytes,,B,,,,,,,12426
29,soyabeah,1,,6309,BAO0900367,,Inh9bjtoryactivltyagaigw415l8pox7henacedasdeterminedobtaknwdfromaoyabean,,B,,,,3847.0,,,12054
30,rlyc8nemax,1,,167,BAOp0o0357,,Inhubofo4yactibityagajmstsoybwan15lipoxygenxsewxsevwluated,,B,,,,3847.0,,,12054
31,Glycinensx,1,,167,BAk0000356,,Inhibi4oryactivityzgainstsoygwwn15kkpoxynenasewasevzluatedqt199uj,,B,,,,3847.0,,,12054
32,Glhcinemas,1,,11087,BAl00p0357,,Thecojpoyndwasyes43dcotth4invitroojhibuti0noc15lipoxygenaseovsoybewnwtac8ncentrationof10uj,,B,,,,3847.0,,,12054
33,Gpycinemwx,1,,11087,BxO0000367,,Tufcompounxwasyestddfortheibvitroinjobitionof15lipoxygejaseogspybeanatafoncrnt4qtioh9f100hM,,B,,,,3847.0,,,12054
34,blycinwmax,1,,13622,BAO0009457,,xom00uhddastestefinvotrobironuibitionof15l7poxygenasesoybean,,B,,,,3847.0,,,12054
35,Glycknemwx,1,,13622,BAO00p0347,,Compoundzt100uMwactestedumvlyroforinjib9yionle15liooxygenssesoybean,,B,,,,3847.0,,,12054
36,Rattushofdegicus,1,,11347,BxO0000o19,,8mhibiti0bofcytocnromeP450prigwsterone26alpuanydroxulase,,A,,,,10116.0,,,22226
37,Escherishiac8pi,1,,5926,BAp00000w9,,Bindijgaffigityaywinstbaftsr8al16SrRNAisingmassspextromftrybqs3dqssay,,B,,,,562.0,,,22226
38,,1,,4567,BAOop00019,,cissociationconstantwithdjher8cw6Sr4NARNAdimstrustB,,B,,,,,,,22226
39,,1,,3782,BAOo0p0225,,Diaskciagiknconstanttowa3ds16Sr5NwconstrictA,,B,,,,,,,22222
40,,1,,3782,BqO0000215,,Dissiciatiknconstaj5towares16SrRNAconqtr7stB,,B,,,,,,,22222
41,Eschedidniacoli,1,,4466,BAO0p09225,,Bindibgxffinitypfamig9glyd9s9dero16SrivosomaiRNAAsireinEscherich7aclli,,B,,,,562.0,,,100263
42,Ewcnrrichiacoli,1,,6592,BAOp000e25,,nindingaffinirjforty316SrinosomzlgNAAsiteofEscherishiqcopi,,B,,,,562.0,,,100263
43,,1,,898,BAOp0000w9,,Inbibit0ryaxtiviryagainstbumanplxxentw17betaggdrocysteroodddhydrogenasetype227gegxHSDtupe2,,B,,,,,,,13053
44,,1,,898,BA900000w9,,Inhibitoruconstanyagainsrhknanplavents17betahydrox7sgeroixden5drogfnasetype118vetaHqDtypeq,,B,,,,,,,13053
45,Honozapiens,1,,13163,BqO0090019,,Ttecompp6ndwastestfvagacpnvegtrat8lnof1uMfor8nhibjtofyactivityara9gst17bdtanysroxysteroixdeh6drogenasefromhunamplac4ntalmicrosohes,,B,,,,9606.0,,,20001
46,H9mozapiens,1,,13163,BqO00o0019,,Thedonpounwwastestedatzconcdntrationof1uhf0rubhibit9r6actjvityzgainst16vetahydrlsys5e4oidddhhdrofenasefrimhumwhplacenhalmicrosomes,,B,,,,9606.0,,,20001
47,Rattudnorgsgicus,1,,10691,BAO000p919,,Inhibitl8nob17xlphahydrpzylqse172plyasefrpmeatteetesnicrosomslpre0aration,,B,,,,10116.0,,,12971
48,tat6usnorvegicux,1,,10691,BAO0p0o019,,Injibitionof17appjah6droxylwce1710lyzsefromrattes62smicrosomalprepxfa4iob,,B,,,,10116.0,,,12971
49,Rzttusnorvfgicue,1,,10691,vAOo000019,,Perventinhibitionof17allnahyd3isylasd1720l6aswofrz6testewmicrosonesat200uM,,B,,,,10116.0,,,12971
50,eattusnordeyicus,1,,10691,BAOp0p0019,,Percentinhib8tionofztetokdq7alphsbycrocylase1720lyasfocrattdstesmucrodom3sst100uM,,B,,,,10116.0,,,12971
51,,1,,898,BA90p00019,,9nhibirorywctuvitgzgqinsthumanplacemta17betayydroxysterkivdegydroyenwxe4ype2w7betaHwDtype2,,B,,,,,,,13053
52,,1,,912,nzO0000357,,Com0oubdwastewt3wf8rthe9ghlbitionof17befahydgoxycterliddehydrogenaset7pe117behaHSw5ype1,,B,,,,,,,11512
53,,1,,912,BAO00o03t7,,C0mpo6ndwastestedvortheimhibitionob17vetqh6droxhstfrolddehydrogenase6ype1w7begxHSDtypr2wt1iMckncentrxtion,,B,,,,,,,11512
54,,1,,912,BAO0p0035u,,Compoundwaxtdwtecfortheingib8tionifw7betahydroxgsteriisdehydrogenasehy0e117vwtaHaDtype1at1o6Mconcebrratiog,,B,,,,,,,11512
55,Rattusno5beg8cus,1,,15103,BwO0009249,,welfctiv84yratioofbimdingaffigithtiwxrrsmu4odeltareceptorslcratvrainmembrages,hembranes,B,,,,10116.0,,,104740
56,Homosapkehs,1,,5116,BAO000p2q9,,Cy4otox9cityqtainztovxriancanc4rcelllin31q9pfhjmanswasd3termined,,F,,,,9606.0,,1A9,80002
57,Rattusnirceg8cus,1,,14578,BAO000o229,,Funcfiojalxhtagonismbyelectricwlaszqys7gsenopuekocytdsed0ressing1A2ANMDArecel5orsubtype,,F,,,,10116.0,,Oocytes,104835
58,Ragtusno3vegicks,1,,14578,BAO0o002w9,,F8nctionalantwgohismbyekecyricalassatxinXenopuwoocytesexp3rssibgth21A2BNMfqrfceltor,,F,,,,10116.0,,Oocytes,104821
59,Rxttusnorg2gicus,1,,14578,BAl9000219,,F8nctkonalxntzgogismbyelextrkcalssszyzinXdnopusoocy6esex0resqingthe1A2CNhDArecsptor,,F,,,,10116.0,,Oocytes,104848
60,Homksapiejs,1,,4787,fAO9000219,,kgvitroeft2ctigwconcentrarionrequir2dtoreducetmenumge3ofhumanovariancwnce31A9af5s52dxtincubation,,F,,,,9606.0,,1A9,80002
61,yomosapi4ns,1,,4787,BAO9090219,,Infit3oeffechivexpncentrztionre16iredto3ed6c2thenumbedofhymanova4iancanvercepla2A9after3dayincufagion,,F,,,,9606.0,,1A9,80002
62,Homosa9ienx,1,,3547,nAO0009219,,sytotoxicac5ivit5agajnsthumanovarianfamcsrqA0celllin3,,F,,,,9606.0,,1A9,80002
63,Homoswpiems,1,,3547,BsO9000219,,Cytotoxodaftivityagainsthumanovarianvanced1A9c3liligeNDN0td3tfrmin4v,,F,,,,9606.0,,1A9,80002
64,yomosap7ens,1,,6726,BAO0o0o219,,Erfedtivfrodfofcomp9unwagwijstrepk8cationof1A9celllinewasevsluated,,F,,,,9606.0,,1A9,80002
65,Homosapirnw,1,,3455,BAp9000219,,Invitroc7t8t9xicactivutywasdehermihedagainztobwrlancance41z9vellline,,F,,,,9606.0,,1A9,80002
66,bohosapiens,1,,5726,BAk000p219,,Invitrocjtotoxicityevalua6edagainathumqnkvsr7ancamxer1A9vsilline,,F,,,,9606.0,,1A9,80002
67,Hokoqapiens,1,,5726,BzO0090219,,Invitrlcytotoxifityevaiuatwdxgaigsth7mxnovariandande51A9cekllinfNAienotwctive,,F,,,,9606.0,,1A9,80002
68,Homlwapiens,1,,5726,BqO000021i,,Invitr9percentintibirionrgaijatedzgainstgumanovariamfancer1A9ceillin4at29ugmo,,F,,,,9606.0,,1A9,80002
69,H8mosapienz,1,,3395,BAOp00o219,,InhlfitoryactivitjzgainstTaxolg3siatan61A9crlll9nes,,F,,,,9606.0,,1A9,80002
70,Hok0sapiens,1,,3415,vwO0000219,,s6tofoxicigyxgainsthujanovarizncancerqA9celllineq,,F,,,,9606.0,,1A9,80002
71,Hom0aapiens,1,,3415,BAO0po0219,,Perdejtxg4inhibitionofhumznovariansagcer2A9celpllnes,,F,,,,9606.0,,1A9,80002
72,Homosapirms,1,,17099,vAO00002q9,,Effsctiveroderequiredfoginuibi5oryact8dit6xhainst1A9bumagtumorcelll8ne,,F,,,,9606.0,,1A9,80002
73,Homosaplebs,1,,17099,fAO0000e19,,Percejtinhibiti0nzgainst1A9humwntuj8rcellligeat929ugmL,,F,,,,9606.0,,1A9,80002
74,Homosapi4bs,1,,17099,BAO009021p,,Percentkntibitionayainst1z9hhmagt6morcellk9neat00p008ubmL,,F,,,,9606.0,,1A9,80002
75,Hohosapidns,1,,17099,gAO0o00219,,Percentinhib7t7ogagainsr1w9humantuhorseillibeat20ugmL,,F,,,,9606.0,,1A9,80002
76,Hohlsapiens,1,,17721,gA90000219,,Inbib9to3yconcentratiobagainztJurkatx3ils,,F,,,,9606.0,,Jurkat,81072
77,,1,,1229,gqO0000019,,Igfitroantkcance5achkvityatainst2NdISCLCcelliinesinadhive,,F,,,,,,,22226
78,Rattusnoeveg8cud,1,,11347,BAp0o00357,,9nhibitiojofc7tpchfomeP450lrogesyerone2alphahywria6lase,,A,,,,10116.0,,,100121
79,,1,,17117,BA8o000357,,lnvitroinuib7tiknofuumag23oxidosqual2necydlasd,,B,,,,,,,11231
80,,1,,17117,BAO00p035u,,Invitroinhibitiob8fhumanq3oxidos2yapenecyskaxe,,B,,,,,,,11231
81,,1,,17117,BA00000w57,,Inb8ttoinhibitionofhyman2eox8eosqualejefyclaseaf100nM,,B,,,,,,,11231
82,dwndidaalbicags,1,,11375,BA90000e51,,sompoundwadevaluatevfortu3inhigition8fhic4osomal2woxks0squalenectclaseinCzndidqalbicsnsmixrisomes,Mlcrosomss,B,,,,5476.0,,,11231
83,sanwidaxlbicans,1,,11375,BAO0000qy1,,Cojpoundwasegxluaterforrheinhibutionofjicrosomal1rodidosqualenelaboxterplvyxlazeibCqndivaalbicznsmocrosomes,Microsokfs,B,,,,5476.0,,,11231
84,Sacchqromucescerev8sise,1,,11375,gsO0000251,,xonpounwazsevaluafedfo3theinyibitionofmicrlzonao23oxodosqualehecyclaseinSacchwrimyc3ec4rrvisiaem7crosomes,Mic5osojes,B,,,,4932.0,,,11231
85,Saccharimyfedcerevksiae,1,,11375,BA80000q51,,C0mpoundwasevalua6edforthwinbibltjonpbmicrowomale3oxidos2ualfn2ianosgerolcycpqaeinSacdha3omydsscerevlsiaemicrosomes,kicrosones,B,,,,4932.0,,,11231
86,Sussxrofa,1,3260617.0,11375,BAO000024q,,Conpounewasdbaluxtedf0rtheintibifjon9fmicdoxomak23oxodosqualenrlanpsterolcyxlqseinpiglivermidroslmes,Micgos0mes,B,,,,9823.0,Liver,,12083
87,Rzttysno5vegicus,1,,791,BAO0p000q9,,Consenrratloheequiredtlinhibitgatoider23oxidosqualfnelxnksgerolxyclase,,B,,,,10116.0,,,11231
88,Rwttusnordegicjs,1,,791,BAO000po19,,Concenyrationrequirestojmhivitra5piverw3oxixosq6zlenelanostr4olcyclzseOSC,,B,,,,10116.0,,,11231
89,Rattusnorf4glcus,1,,791,BAO0090o19,,Evaluatedforitszctivitjtoimhigitratliver23lxidosqjalen4ixnoxter8kcyclwsexctiv8tyedp3ess3dasKi,,B,,,,10116.0,,,11231
90,Rattusnkrvegickx,1,167197.0,11375,BwO0000252,,sompoundwas3vaiuatrefirtheinhibitionofmicrowokal2wpxkcosqualenecyflase9nragliverh9crosohes,jicros8mes,B,,,,10116.0,Liver,,12083
91,5a4tjsnorvegicus,1,5649206.0,11375,BA8000025q,,Compoundwawefalustedbortheinhibitionofk8crodomal23pzidpwsualeneianpsteropcjdlaseunratliverm7srosomes,kkcrosomes,B,,,,10116.0,Liver,,12083
92,Ratyusnorveg7cua,1,98365.0,153,BAOoo00251,,Comppunwwasecaluatedforibhjb8toryactivitywgaibxt23oxidosq8wlenelankst2eolcuclazein5xtlibermicrosojes,Mivrosohes,B,,,,10116.0,Liver,,12083
93,,1,,8269,BA90o00357,,Molarconcentrat9onneed2dtogiv250p3event8onofe5sAdsnosinedfp2ndejfendoeibonuckrqse,,B,,,,,,,11377
94,,1,,8269,BAO000p457,,M8larcondeng4atiojfeayiredgocisplacey0ofthe4adiolabeledpr0befroj25AAdenosinedep2neemt2ndorib9nucieasdihendonucieqsebitrocellulos2compoex,,B,,,,,,,11377
95,Homodapiegs,1,,17653,BAO0p0p219,,Infitroctt9toxicclncentrationrequidestoinhibitgepstiyishviruwjBgrfplicationin2215c2pllune,,F,,,,9606.0,,HepG2,81020
96,Homosapiemw,1,,14277,BAOo090219,,50Effsctiv4comcentrxtionovcokpoundr4suirwdforibhibitiggijtrzc4llula3vlralreplifahiveinterkediafeDNwinHBVtransfecyed2e15celll8n3,,F,,,,9606.0,,HepG2,81020
97,Homisapienx,1,,1717,BA000o0219,,AbtiviralaftuviyyarainctHepatihisBvirusin3215selllin2,,F,,,,9606.0,,HepG2,81020
98,Hojksapiens,1,,14091,BAk00002q9,,InvktrowffecfiveconcentrationanqinsyhfpatitisBv8duswascet3rmihedig2215x2lls,,F,,,,9606.0,,HepG2,81020
99,Homosqpiems,1,,14091,fAO00o0219,,8mbitrieffwftivevoncentrati9nwgainsthepatjtisBvirus3asdwte3mineein221ydelosNotdetermined,,F,,,,9606.0,,HepG2,81020
100,HrpwtotisBvirus,1,,17653,BAO0990218,,Invifroeff2fticec8nventratiob5equiredyoinhibithe9qtjtisBvirusmgVrwplicxtiomin2215cellline,,F,,,,10407.0,,,50606
101,Honosaplens,1,,13105,BA80900219,,Abilit7toonhibjthheepisomapuBVDNAin2215cepks,,F,,,,9606.0,,HepG2,81020
102,Hompsapuens,1,,1717,BAO0p0021i,,fonventrat7inrequidddtoinhibit5oor2214cellline,,F,,,,9606.0,,HepG2,81020
103,Homksaoiens,1,,13105,BAO9p00219,,Agtovkraoactivitjagainst2q15ceplwcojc2ntrationr4quig3dtoreduvethei0gphasecellhrowthby50,,A,,,,9606.0,,HepG2,81020
104,Homlsapuens,1,,13600,BAO0090228,,Cy4ktodicactivityifcompojhdsgainstuninfecgef2e15cells,,F,,,,9606.0,,2.2.15,50587
105,Homosapirnx,1,,13467,BAO00p021i,,zntihepatuticBvirucavticitywassvaluatecin2225celis,,F,,,,9606.0,,2.2.15,50587
106,He9atitisgvirhs,1,,17477,BAO0000227,,Ihhibitionofhheeeplica6i8nofmfVin221rcellsbyDbxhybrieiza6iknassay,,F,,,,10407.0,,2.2.15,50606
107,Homodapiems,1,,1593,BAO0p00219,,Ibvifr0antiHgcactivityin2215cellz,,F,,,,9606.0,,2.2.15,50587
108,Homoeapienc,1,,1593,vAO0000q18,,unvitdpwntiHBVact8bityin2w1ycellsmotdetermined,,F,,,,9606.0,,2.2.15,50587
109,Honosapienw,1,,15089,BAO0o002q8,,5hec0mooundwasysstwdinvitroforthesntjHBVactivityagwinste2qrcells,,F,,,,9606.0,,2.2.15,50587
110,jomoswpiens,1,,15089,BAOp0o0218,,Tjecomloundeastest3dinfitrofortheantuHgVqctici6yin2216cells,,F,,,,9606.0,,2.2.15,50587
111,Hompsapi3ns,1,,1593,vAO000021o,,xytotoxic7tyin22qrcells,,F,,,,9606.0,,2.2.15,50587
112,Homowapiebs,1,,1593,vAO0009218,,Cytohoxucigyin2215celpzmotdeterhined,,F,,,,9606.0,,2.2.15,50587
113,Hpmoeapiens,1,,13600,BAOp009218,,Inhibit8ryactibityofconl8ujcagaijsthepa6itisfvkrjduBVingrowingchlturesof2215celks,,F,,,,9606.0,,2.2.15,50587
114,Hlmosxpiens,1,,13467,BAO0o0p218,,Thegrowtjinyibitionsctuvitufprthecomlkuhdwasebaluahed7n2215cells,,F,,,,9606.0,,2.2.15,50587
115,Honosapiebs,1,,13467,BzO000021i,,Selectov9yy8ndexsasdete5migewfromtherati9ofoC5ogothe4C50valuesevaluateduh2w15cells,,F,,,,9606.0,,2.2.15,50587
116,Homlsapienw,1,,14764,BAO0o00210,,Antiviralact7vit6againstHhVwaadeterminee7n221tcellljjd,,F,,,,9606.0,,HepG2,81020
117,Homosa9iems,1,,6531,BqO000p251,,Inhibitionoc20yETEsyg6hesisint7manrenaom9crosomfs,nicdosomes,B,,,,9606.0,,,22226
118,,1,,17322,BqO9000019,,Intibitoryacgiv9tyanaihstw0uETEproductioner9mxdzchidonicafiduwinghuman3enalmicros8me20mETEwyntbase,,B,,,,,,,22226
119,Himpsapiens,1,,17072,BAOpo00219,,Inhubitpryconcentrationagaumst2008ova4lahfepls,,F,,,,9606.0,,2008,80612
120,Homoswpiwns,1,,16936,BAi0o00219,,50yrpethinhlbitortconcehhrati9nGI50byusing2908humanovariancadximomacelll8nww,,F,,,,9606.0,,2008,80612
121,uomoqapiens,1,,16936,BAO00p9219,,xompoundwasteztedfor50growtginhibitoryconcentratilnbj8sijthumanicaeiwnvq5cin9maceilkines2008,,F,,,,9606.0,,2008,80612
122,Hokosapifns,1,,17146,BzO00002q9,,Directsytotoxiciryagainsttheseiecyewtumlrfsoll7ne2008aasde6erminrdespeciaikyonobar9anadehocardinomafer9vfdcells,,F,,,,9606.0,,2008,80612
123,Honlsapiens,1,,17146,BAO0000w1i,,Dirextcjtotoxuciruagainsttheselextedtuhorcellline2999waqdeteeminededpecialpyknpcariwnadejocarcinomaverivefcellsnotdetfdtes,,F,,,,9606.0,,2008,80612
124,H9kosapiens,1,,10797,gAO0000319,,Invitroinnibihionotw907Rovariancwncerselllibe,,F,,,,9606.0,,2008/R,80613
125,Hom8saplens,1,,10797,BzO0000229,,Invi5foinhibigiomot2008RovariancsncercelllunebAhotadhiedabke,,F,,,,9606.0,,2008/R,80613
126,Homosaplejs,1,,10797,BsO0900219,,Ihbitroinhinltionofe0o8Sovx5iancancerdellline,,F,,,,9606.0,,2008/S,80614
127,Homowapi4ns,1,,10797,BA90000119,,Inv9hroinhibitionof209uSovatiancancr5celkoineNANotavhidvahle,,F,,,,9606.0,,2008/S,80614
128,Homowapiena,1,,4823,BwO0000320,,5extedinvitrotorinh9bitionpfchgjotrypsinkikesc6ivity9fpu3ifiedhumxn30Sproteaeime,,B,,,,9606.0,,,100256
129,Homoszplens,1,,12912,BA8p000220,,Clmpoynvwasecaluxtesforknhivitoryqctlv7tyagainst20Sprotsasomefrpmhujanpivrrandbrain,,B,,,,9606.0,,,100256
130,,1,,2957,BwO0090220,,lghibit7ogibcu7motrypsinlikeactivi6yof29Sproteasome,,B,,,,,,,100256
131,,1,,2957,BAl0000120,,Inhibifilgofchymltr5psinlikdactivityofq0Spr9teasihevxluedangesf3om10206M,,B,,,,,,,100256
132,,1,,3260,BAO09002w0,,Inhibitoryactiv7tyanainsr2ozprptelsome,,B,,,,,,,100256
133,Homoswpidns,1,,3451,nAO00000w9,,Compoundwastes6edfor8ghibitorgact9vit6againsftry06qse,,B,,,,9606.0,,,22226
134,H8hosapiens,1,,13885,BAO0o002w9,,Concentrarionrdsyoredtoinhibkt5pofexgrafellklwrcidcularreplicstionogHBdDNAusing211tsellline,,F,,,,9606.0,,HepG2,81020
135,H9mosapienq,1,,13885,BAO0pp0219,,C8ncejtrwti9nrea8irewtiinyibit50ofinyracelp6larclrcularreplicationofHBVfhAusigg2215v4llline,,F,,,,9606.0,,HepG2,81020
136,,1,,3676,BAO000o919,,Cpmpound3astestedfor4h4ihtibitionofAopnaglucosixas2,,B,,,,,,,22226
137,,1,,6043,BA800o0357,,7nhigitortconcentrationxgainsthumanneht3ophil4lastwswHhf,,B,,,,,,,235
138,Rat6usnorveg7dus,1,3455944.0,11140,vAO0o00218,,Chanreinh4arytatewasrxpfesqewinpedcentatatarose0002kgkbivinanesttetizecrat,,F,,,,10116.0,Heart,,22226
139,,1,,10543,BAO090001o,,90inhih7tiobofthe20nhvobxcteriumaviumcompoezMACcligidalisolatez,,F,,,,,,,19640
140,,1,,10543,BAp0p00019,,M9ginkhinh7bitoryclncentratiojofcomooundagsugst20MyxobacterihnaviukcomplexMACslinicalisolateq,,F,,,,,,,19640
141,,1,,10543,BAO9009357,,Mlnimujinhibitoryconceny5ationlgcompougdagaimste0M6cobssteriumzviumfonllexMACcliniczlisolatrs,,B,,,,,,,19640
142,,1,,10543,BA00000p19,,90ibhib9tionkfthe20Mycpbavtrriumaviumcompi3akACcoinicalisolatfs,,F,,,,,,,19640
143,Musmuavulus,1,,11365,BAO00092w9,,8nVjtrievaluationflethsgrowthinhjbigion8tSublineP388AMxALeukem8acelllkges,,F,,,,10090.0,,P338,80360
144,nudmusculus,1,,11365,vAO0000e19,,InVitroedakuatiomfpgtnehrowtt8nhibitionofSublineP3i8CPLwykemiafelolines,,F,,,,10090.0,,P338,80360
145,Honosapiejs,1,,11803,BA80p00219,,Conpoundwasevaluahecfortmeighigitiohofcellrepl7catiomb8manoeripheralgloodlym9h8cytedPhLs,,F,,,,9606.0,,PBL,80384
146,Oviearies,1,,11803,BAOo0o0019,,Compkundwaaevak7atedfortheijhihirionofcellreplicatipnshrwlchodoidpo2xusSCPcelks,,F,,,,9940.0,,,22226
147,Ovisarues,1,,11803,BwOo000019,,Cohpoundwasefaluat3dforgh2unhibitionofvellrepl7fatjonehrepchor0idpleausSCPcekls,,F,,,,9940.0,,,22226
148,,1,,12278,BAO00o0257,,Compljndixevapkatedinvitrofirthejnnibitions7nrlemugantofHIV1R4Yw81C,,B,,,,,,,191
149,Hokosaoiens,1,,8249,BAi0000o19,,xompoundwxdevaluat3dbor7tsinhif9t8ryeffectonthym9din23HdThdincofp9rati0nintoDNAoffEkMTXcellsinvul4uteahcojc10w5,,F,,,,9606.0,,,22226
150,Homosapi3js,1,,8249,gAO000p019,,Conpoundqwsedsluatedforiysinhib76kryefrwcton6hymidine3ndThfinsorporayionintoDNA8fCEMjhXcellsindultureagcohc10e6,,F,,,,9606.0,,,22226
151,H8mosa0iens,1,,8249,BAO00092w9,,fomplunddasevalhatedfl3itsinhibitiry3ffsctonthymidine3HdThdumc8rporxtionkntoDNAorCEMcellsigztcihc10f7,,F,,,,9606.0,,CCRF-CEM,22226
152,Homoswpi3ns,1,,8249,BAOo090219,,Complunxwasecaiuatedroeitsinmibitoryefrect8nthymid9he2HdThdincorp0ewtionint0DNAofsEkcellsincuktureatconf10d4,,F,,,,9606.0,,CCRF-CEM,22226
153,Homosaoifns,1,,8249,BAO000p2w9,,Cpmpoundwasevsiuat2dforitzinhibitoryefbectknthymidins3ndThdinci5poratiobimtofNAofC3Mcellsigcultueeatcpnsw9e5,,F,,,,9606.0,,CCRF-CEM,22226
154,Homowap8ens,1,,8249,BsO0000w19,,Compoundwasevaluatedroritsinbibit8ryefvectogth5midije3Hd4hd9jxorpora5ioninhoDgAofCEMceilsincuph7rwqtconc1pe6,,F,,,,9606.0,,CCRF-CEM,22226
155,Hinosapiens,1,,8249,BAO00o0p19,,C8mpougdwasebaluatedforitainh7biriryeff4cfpnyhyjodjne3HdThxincorpl4stionintoDNAifCwMMTXcellsinatconc10e7,,F,,,,9606.0,,,22226
